date,quarterlyFreeCashFlow,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyDilutedEPS,quarterlyStockholdersEquity,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyOtherIntangibleAssets,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable
1986-12-31,,,,,,,,,,,,,,,,,,,,,,,,,2800000,,,,,,,,,,,,,,,,,,,,,,,28000000,,,,,,28000000,,,,,,,,,,,,,,28000000,,,,,,,,,
1987-03-31,,,,,,,,,,,,,15356000.0,,,,,,,,,,,,4400000,,,,,,,0.28,,,,,15356000.0,,,,0.28,,,,,,,35200000,,,,,,35200000,,,,,,,,,,,,,,35200000,,,,,,,,,
1987-06-30,,,,,,,,,,,,,15356000.0,,,,,,,,,,,,3200000,,,,,,,0.2,,,,,15356000.0,,,,0.2,,,,,,,24500000,,,,,,24500000,,,,,,,,,,,,,,24500000,,,,,,,,,
1987-09-30,,,,,,,,,,,,,15356000.0,,,,,,,,,,,,3000000,,,,,,,0.19,,,,,15356000.0,,,,0.19,,,,,,,22200000,,,,,,22200000,,,,,,,,,,,,,,22200000,,,,,,,,,
1987-12-31,,,,,,,,,,,,,,,,,,,,,,,,,3100000,,,,,,,,,,,,,,,,,,,,,,,26100000,,,,,,26100000,,,,,,,,,,,,,,26100000,,,,,,,,,
1988-03-31,,,,,,,,,,,,,15356000.0,,,,,,,,,,,,5200000,,,,,,,0.33,,,,,15356000.0,,,,0.33,,,,,,,41000000,,,,,,41000000,,,,,,,,,,,,,,41000000,,,,,,,,,
1988-06-30,,,,,,,,,,,,,15356000.0,,,,,,,,,,,,3000000,,,,,,,0.19,,,,,15356000.0,,,,0.19,,,,,,,23400000,,,,,,23400000,,,,,,,,,,,,,,23400000,,,,,,,,,
1988-09-30,,,,,,,,,,,,,15354000.0,,,,,,,,,,,,3300000,,,,,,,0.2,,,,,15354000.0,,,,0.2,,,,,,,23800000,,,,,,23800000,,,,,,,,,,,,,,23800000,,,,,,,,,
1988-12-31,,,,,,,,,,,,,,,,,,,,,,,,,2400000,,,,,,,,,,,,,,,,,,,,,,,27300000,,,,,,27300000,,,,,,,,,,,,,,27300000,,,,,,,,,
1989-03-31,,,,,,,,,,,,,15354000.0,,,,,,,,,,,,6800000,,,,,,,0.44,,,,,15354000.0,,,,0.44,,,,,,,40000000,,,,,,40000000,,,,,,,,,,,,,,40000000,,,,,,,,,
1989-06-30,,,,,,,,,,,,3800000.0,15200000.0,,,,,,,,,,,3900000.0,3900000,,,,,,,0.25,,,,,15200000.0,,,,0.25,,,,,,,24400000,,,,,,24400000,,,,,,,,,,,,,,24400000,,,,,,,,,
1989-09-30,,,,,,,,,,,,2700000.0,15000000.0,,,,,,,,,,,2800000.0,2800000,,,,,,,0.18,,,,,15000000.0,,,,0.18,,,,,,,23300000,,,,,,23300000,,,,,,,,,,,,,,23300000,,,,,,,,,
1989-12-31,,,,,,,,,,,,2500000.0,,,,,,,,,,,,2600000.0,2600000,,,,,,,,,,,,,,,,,,,,,,,28300000,,,,,,28300000,,,,,,,,,,,,,,28300000,,,,,,,,,
1990-03-31,,,,,,,,,,,,4700000.0,15161290.0,,,,,,,,,,,4800000.0,4800000,,,,,,,0.31,,,,,15161290.0,,,,0.31,,,,,,,39200000,,,,,,39200000,,,,,,,,,,,,,,39200000,,,,,,,,,
1990-06-30,,,,,,,,,,,,3900000.0,15000000.0,,,,,,,,,,,4000000.0,4000000,,,,,,,0.26,,,,,15000000.0,,,,0.26,,,,,,,24600000,,,,,,24600000,,,,,,,,,,,,,,24600000,,,,,,,,,
1990-09-30,,,,,,,,,,,,5100000.0,15000000.0,,,,,,,,,,,5200000.0,5200000,,,,,,,0.34,,,,,15000000.0,,,,0.34,,,,,,,22700000,,,,,,22700000,,,,,,,,,,,,,,22700000,,,,,,,,,
1990-12-31,,,,,,,,,,,,3400000.0,,,,,,,,,,,,3500000.0,3500000,,,,,,,,,,,,,,,,,,,,,,,27700000,,,,,,27700000,,,,,,,,,,,,,,27700000,,,,,,,,,
1991-03-31,,,,,,,,,,,,5700000.0,15000000.0,,,,,,,,,,,5800000.0,5800000,,,,,,,0.38,,,,,15000000.0,,,,0.38,,,,,,,42500000,,,,,,42500000,,,,,,,,,,,,,,42500000,,,,,,,,,
1991-06-30,,,,,,,,,,,,2300000.0,14375000.0,,,,,,,,,,,2400000.0,2400000,,,,,,,0.16,,,,,14375000.0,,,,0.16,,,,,,,25000000,,,,,,25000000,,,,,,,,,,,,,,25000000,,,,,,,,,
1991-09-30,,,,,,,,,,,,3200000.0,15238095.0,,,,,,,,,,,3300000.0,3300000,,,,,,,0.21,,,,,15238095.0,,,,0.21,,,,,,,23300000,,,,,,23300000,,,,,,,,,,,,,,23300000,,,,,,,,,
1991-12-31,,,,,,,,,,,,3200000.0,,,,,,,,,,,,3300000.0,3300000,,,,,,,,,,,,,,,,,,,,,,,32100000,,,,,,32100000,,,,,,,,,,,,,,32100000,,,,,,,,,
1992-03-31,,,,,,,,,,,,4700000.0,15161290.0,,,,,,,,,,,4700000.0,4700000,,,,,,,0.31,,,,,15161290.0,,,,0.31,,,,,,,37000000,,,,,,37000000,,,,,,,,,,,,,,37000000,,,,,,,,,
1992-06-30,,,,,,,,,,,,2500000.0,15625000.0,,,,,,,,,,,2500000.0,2500000,,,,,,,0.16,,,,,15625000.0,,,,0.16,,,,,,,25700000,,,,,,25700000,,,,,,,,,,,,,,25700000,,,,,,,,,
1992-09-30,,,,,,,,,,,,2300000.0,15333333.0,,,,,,,,,,,2300000.0,2300000,,,,,,,0.15,,,,,15333333.0,,,,0.15,,,,,,,22000000,,,,,,22000000,,,,,,,,,,,,,,22000000,,,,,,,,,
1992-12-31,,,,,,,,,,,,4200000.0,,,,,,,,,,,,4200000.0,4200000,,,,,,,,,,,,,,,,,,,,,,,34500000,,,,,,34500000,,,,,,,,,,,,,,34500000,,,,,,,,,
1993-03-31,,,,,,,,,,,,6600000.0,15348837.0,,,,,,,,,,,6600000.0,6600000,,,,,,,0.43,,,,,15348837.0,,,,0.43,,,,,,,51100000,,,,,,51100000,,,,,,,,,,,,,,51100000,,,,,,,,,
1993-06-30,,,,,,,,,,,,2300000.0,15333333.0,,,,,,,,,,,2300000.0,2300000,,,,,,,0.15,,,,,15333333.0,,,,0.15,,,,,,,33800000,,,,,,33800000,,,,,,,,,,,,,,33800000,,,,,,,,,
1993-09-30,,,,,,,,,,,,2500000.0,15625000.0,,,,,,,,,,,2500000.0,2500000,,,,,,,0.16,,,,,15625000.0,,,,0.16,,,,,,,29800000,,,,,,29800000,,,,,,,,,,,,,,29800000,,,,,,,,,
1993-12-31,,,,,,,,,,,,3800000.0,,,,,,,,,,,,3800000.0,3800000,,,,,,,,,,,,,,,,,,,,,,,38600000,,,,,,38600000,,,,,,,,,,,,,,38600000,,,,,,,,,
1994-03-31,9900000.0,20500000.0,,13900000.0,24300000.0,327000000.0,366300000.0,,127000000.0,197400000.0,,8000000.0,15384615.0,,,2400000.0,600000.0,0.0,,500000.0,12600000.0,7900000.0,31200000.0,8000000.0,8000000,239800000.0,61400000.0,52200000.0,600000.0,-5500000.0,-3200000.0,0.52,126500000.0,,-2300000.0,17000000.0,15384615.0,7900000.0,,,0.52,4900000.0,10400000.0,9300000.0,29600000.0,3100000.0,7900000.0,14200000,-2800000.0,-3200000.0,3200000.0,,100000.0,55500000,-133000000.0,4800000.0,600000.0,13100000.0,31500000.0,371800000.0,39300000.0,238800000.0,12200000.0,,4200000.0,57700000.0,,17200000,,,1900000.0,,,,,,
1994-06-30,-1100000.0,17800000.0,,10000000.0,12400000.0,323000000.0,353400000.0,,126600000.0,194500000.0,,2200000.0,14666667.0,,,2400000.0,600000.0,-500000.0,,800000.0,14000000.0,2300000.0,21300000.0,2200000.0,2200000,232300000.0,55400000.0,50000000.0,-1400000.0,-5300000.0,-3200000.0,0.15,121100000.0,,-800000.0,16500000.0,14666667.0,2300000.0,,,0.15,4100000.0,8600000.0,4900000.0,29600000.0,7900000.0,2300000.0,4800000,-3700000.0,-4500000.0,-1200000.0,,0.0,33700000,-134700000.0,-5600000.0,600000.0,3400000.0,27000000.0,375200000.0,30400000.0,240500000.0,3100000.0,,900000.0,56700000.0,,7800000,,,2600000.0,,,,,,
1994-09-30,-7100000.0,12900000.0,,7800000.0,10200000.0,321600000.0,349900000.0,,126300000.0,194800000.0,,1300000.0,14444444.0,,,2500000.0,5100000.0,0.0,,500000.0,14700000.0,1800000.0,20000000.0,1300000.0,1300000,231800000.0,48400000.0,50700000.0,-600000.0,-600000.0,-3200000.0,0.09,118100000.0,,5500000.0,16200000.0,14444444.0,1800000.0,,,0.09,4000000.0,8300000.0,3900000.0,29500000.0,2300000.0,1800000.0,3800000,1000000.0,-6100000.0,-3700000.0,,1400000.0,30200000,-136100000.0,-500000.0,5100000.0,-1000000.0,26300000.0,380700000.0,28300000.0,244600000.0,1800000.0,,500000.0,54800000.0,,6800000,,,100000.0,,,,,,
1994-12-31,1900000.0,15600000.0,,12300000.0,14100000.0,322900000.0,359100000.0,,127100000.0,192000000.0,,3800000.0,,,,2400000.0,10400000.0,100000.0,,800000.0,14700000.0,2600000.0,23700000.0,3900000.0,3900000,241800000.0,26200000.0,47900000.0,0.0,-12700000.0,-3300000.0,,117300000.0,,-3800000.0,16100000.0,,2600000.0,,,,6600000.0,13100000.0,2500000.0,29500000.0,1800000.0,2600000.0,7600000,2800000.0,-8900000.0,500000.0,,0.0,37800000,-139400000.0,800000.0,100000.0,10800000.0,39200000.0,389900000.0,36200000.0,250500000.0,6200000.0,,2300000.0,55400000.0,,10900000,,,6600000.0,,,,,,
1995-03-31,7900000.0,19600000.0,,13900000.0,21000000.0,327100000.0,363400000.0,,129300000.0,194900000.0,,7100000.0,15434783.0,,,2600000.0,6600000.0,0.0,,600000.0,13300000.0,3300000.0,29800000.0,7100000.0,7100000,241600000.0,48500000.0,48100000.0,1300000.0,-7300000.0,-3300000.0,0.46,121800000.0,,-2300000.0,16900000.0,15434783.0,3300000.0,,,0.46,5800000.0,10100000.0,3200000.0,29500000.0,2600000.0,3300000.0,12900000,-4800000.0,-5000000.0,2800000.0,,100000.0,50800000,-141600000.0,800000.0,6600000.0,12900000.0,36300000.0,394400000.0,36300000.0,252800000.0,10900000.0,,3800000.0,59200000.0,,16100000,,,3000000.0,,,,,,
1995-06-30,400000.0,18200000.0,,11700000.0,13800000.0,334200000.0,366100000.0,,128600000.0,195900000.0,,3000000.0,15000000.0,,,2500000.0,10600000.0,0.0,,700000.0,13100000.0,2000000.0,26400000.0,3000000.0,3000000,242700000.0,50200000.0,49200000.0,300000.0,-7400000.0,-3300000.0,0.2,123400000.0,,-1700000.0,19800000.0,15000000.0,2000000.0,,,0.2,5100000.0,7700000.0,5100000.0,29500000.0,3300000.0,2000000.0,6600000,0.0,-5700000.0,-2100000.0,,100000.0,40200000,-144000000.0,-1400000.0,-100000.0,6100000.0,36400000.0,399300000.0,31900000.0,255300000.0,4800000.0,,1800000.0,58900000.0,,9800000,,,5300000.0,,,,,,
1995-09-30,-108900000.0,18400000.0,,21000000.0,16400000.0,459700000.0,518000000.0,,190400000.0,274100000.0,,2600000.0,16250000.0,,,3100000.0,10600000.0,63500000.0,,1300000.0,21300000.0,8900000.0,29100000.0,3100000.0,3100000,362100000.0,53200000.0,50900000.0,400000.0,-114800000.0,-4200000.0,0.16,155900000.0,,-3000000.0,22300000.0,16250000.0,8900000.0,,,0.16,7100000.0,16300000.0,6300000.0,36200000.0,2000000.0,8900000.0,6800000,118700000.0,-111800000.0,-3300000.0,,1100000.0,45500000,-146800000.0,6900000.0,10600000.0,2900000.0,45300000.0,473000000.0,58300000.0,326200000.0,5000000.0,,1900000.0,57800000.0,,10700000,,,2000000.0,,,,,,
1995-12-31,95800000.0,39100000.0,,51500000.0,29800000.0,468100000.0,558700000.0,,212800000.0,298500000.0,,4900000.0,,,,3500000.0,4100000.0,-900000.0,,600000.0,21700000.0,4600000.0,38900000.0,4900000.0,4900000,399700000.0,51900000.0,53700000.0,-2300000.0,-31300000.0,-3700000.0,,159000000.0,,-108200000.0,26900000.0,,4600000.0,,,,12800000.0,15600000.0,5700000.0,37500000.0,8900000.0,4600000.0,12000000,13600000.0,82300000.0,100000.0,,1200000.0,68700000,-150500000.0,-4300000.0,4100000.0,13500000.0,58800000.0,487400000.0,90600000.0,336900000.0,7600000.0,,2700000.0,59200000.0,,16200000,,2300000.0,6400000.0,,,,,,
1996-03-31,12100000.0,62000000.0,,73700000.0,53500000.0,475200000.0,582600000.0,,211900000.0,294700000.0,,12500000.0,17857143.0,,,4000000.0,600000.0,-700000.0,,600000.0,19200000.0,5100000.0,43700000.0,12600000.0,12600000,413500000.0,54400000.0,51400000.0,1600000.0,-12600000.0,-4100000.0,0.7,169100000.0,,-2300000.0,19900000.0,17857143.0,5100000.0,,,0.7,9400000.0,13900000.0,,37500000.0,4600000.0,5100000.0,23800000,-9200000.0,-10300000.0,8000000.0,,-700000.0,97200000,-154700000.0,600000.0,600000.0,22400000.0,76500000.0,494700000.0,107400000.0,340000000.0,19800000.0,,7200000.0,75000000.0,,28400000,,,1900000.0,,,,,,
1996-06-30,-700000.0,56400000.0,,65400000.0,31000000.0,478600000.0,572300000.0,,212500000.0,293500000.0,,2600000.0,18571429.0,,,3900000.0,3600000.0,-600000.0,,2000000.0,18600000.0,3400000.0,25700000.0,2700000.0,2700000,404900000.0,54100000.0,51000000.0,3700000.0,-7400000.0,-4000000.0,0.14,167400000.0,,100000.0,19200000.0,18571429.0,3400000.0,,,0.14,6300000.0,9300000.0,,37500000.0,5100000.0,3400000.0,6500000,-1100000.0,-7500000.0,1700000.0,,0.0,56700000,-158200000.0,-1800000.0,3600000.0,6800000.0,69300000.0,501800000.0,93700000.0,343600000.0,3900000.0,,1200000.0,73200000.0,,11100000,,,1900000.0,,,,,,
1996-09-30,-7700000.0,50100000.0,,56800000.0,26500000.0,470200000.0,558100000.0,,213700000.0,273600000.0,,500000.0,16666667.0,,,4100000.0,19100000.0,-600000.0,,900000.0,21500000.0,1600000.0,23200000.0,600000.0,600000,395000000.0,61700000.0,39800000.0,-3100000.0,-11300000.0,-4100000.0,0.03,163100000.0,,-6100000.0,18700000.0,16666667.0,1600000.0,,,0.03,8000000.0,10200000.0,,163100000.0,3400000.0,1600000.0,4500000,12000000.0,-5200000.0,-5700000.0,,0.0,49700000,-162400000.0,-1700000.0,19100000.0,-2500000.0,79400000.0,503300000.0,87900000.0,340900000.0,800000.0,,200000.0,,,8500000,,,2000000.0,,,,,,
1996-12-31,-2500000.0,52100000.0,,89300000.0,54800000.0,916000000.0,1113700000.0,,457000000.0,594800000.0,,7300000.0,,,,6800000.0,1200000.0,-80500000.0,,6100000.0,50800000.0,36800000.0,85600000.0,7400000.0,7400000,759400000.0,159300000.0,80400000.0,-6600000.0,-137800000.0,-4100000.0,,167600000.0,,-99100000.0,70100000.0,,36800000.0,,,,20800000.0,99400000.0,9800000.0,35000000.0,1600000.0,36800000.0,15500000,138700000.0,-36700000.0,7200000.0,,6500000.0,140400000,-162900000.0,35100000.0,100000.0,34200000.0,152800000.0,682000000.0,197700000.0,519100000.0,14200000.0,,6800000.0,66100000.0,,21800000,,,12600000.0,,,,,,
1997-03-31,13600000.0,63000000.0,,53800000.0,210800000.0,908600000.0,1050800000.0,,440200000.0,569500000.0,,9700000.0,17636364.0,,,7900000.0,5300000.0,-600000.0,,1700000.0,30700000.0,30800000.0,73600000.0,9800000.0,9800000,689300000.0,145600000.0,77600000.0,14500000.0,2900000.0,-4200000.0,0.55,168900000.0,,100000.0,45600000.0,17636364.0,30800000.0,,7000000.0,0.55,26900000.0,42200000.0,,35000000.0,36800000.0,30800000.0,28000000,-26700000.0,-4200000.0,-5300000.0,,-300000.0,284400000,-166600000.0,-6000000.0,100000.0,17800000.0,110600000.0,680200000.0,142200000.0,513600000.0,14900000.0,,5100000.0,77300000.0,-2700000.0,35300000,,,7000000.0,,,,,,
1997-06-30,8000000.0,37400000.0,,50300000.0,120700000.0,918300000.0,1047900000.0,,430500000.0,550100000.0,,2500000.0,17857143.0,,,8000000.0,72900000.0,-7100000.0,,2500000.0,28000000.0,26800000.0,44700000.0,2500000.0,2500000,680600000.0,123100000.0,77400000.0,1900000.0,-10300000.0,-4100000.0,0.14,167500000.0,,-18900000.0,40300000.0,17857143.0,26800000.0,,14000000.0,0.14,24500000.0,11100000.0,,167500000.0,30800000.0,26800000.0,4400000,-7000000.0,-5400000.0,12500000.0,,-100000.0,165400000,-166200000.0,-4000000.0,72900000.0,13400000.0,121400000.0,690800000.0,129600000.0,524600000.0,3200000.0,,700000.0,,0.0,11800000,,,2800000.0,,,,,,
1997-09-30,-8900000.0,46500000.0,,98600000.0,136200000.0,929500000.0,1090600000.0,,193900000.0,319100000.0,,3100000.0,18235294.0,,,7800000.0,5600000.0,-6300000.0,,3800000.0,25100000.0,10200000.0,48800000.0,3100000.0,3100000,667200000.0,130100000.0,77800000.0,3400000.0,-10900000.0,-4200000.0,0.17,167600000.0,,100000.0,44800000.0,18235294.0,10200000.0,,0.0,0.17,27200000.0,86700000.0,,167600000.0,26800000.0,10200000.0,4000000,-6400000.0,-9500000.0,-15900000.0,,100000.0,185000000,-171700000.0,-16600000.0,-100000.0,600000.0,138700000.0,702700000.0,161100000.0,531000000.0,4600000.0,,1500000.0,,0.0,12700000,,,17900000.0,,,,,,
1997-12-31,10900000.0,47700000.0,,90700000.0,214300000.0,949700000.0,1106100000.0,,457800000.0,582600000.0,,8300000.0,,,,7900000.0,7800000.0,11400000.0,,3600000.0,36000000.0,14300000.0,68800000.0,8300000.0,8300000,736000000.0,121600000.0,81800000.0,-11500000.0,-26400000.0,-4400000.0,,170400000.0,,-100000.0,46300000.0,,14300000.0,,15600000.0,,15400000.0,89100000.0,5900000.0,35000000.0,10200000.0,14300000.0,22500000,-300000.0,-20000000.0,12100000.0,,4700000.0,283100000,-175300000.0,4100000.0,7800000.0,30900000.0,144600000.0,720900000.0,156400000.0,545600000.0,12100000.0,,3800000.0,72900000.0,-17700000.0,30300000,,,-300000.0,,,,,,
1998-03-31,16300000.0,51000000.0,,73400000.0,205500000.0,970700000.0,1104000000.0,,428000000.0,548600000.0,,10300000.0,17758621.0,,,7700000.0,20100000.0,-7700000.0,,3400000.0,28100000.0,17900000.0,78700000.0,10300000.0,10300000,683000000.0,131600000.0,80300000.0,8000000.0,-28300000.0,-4400000.0,0.58,174800000.0,,-12500000.0,49500000.0,17758621.0,17900000.0,,,0.58,13900000.0,54700000.0,,35000000.0,14300000.0,17900000.0,29200000,10200000.0,-5400000.0,-4300000.0,,-600000.0,284200000,-180500000.0,3500000.0,20100000.0,21700000.0,125800000.0,730800000.0,133300000.0,550300000.0,14800000.0,,4500000.0,139800000.0,,37700000,,40800000.0,6100000.0,,,,,,
1998-06-30,9200000.0,52100000.0,,67800000.0,132600000.0,1018800000.0,1140000000.0,,428600000.0,549600000.0,,2700000.0,18000000.0,,,7600000.0,66400000.0,6400000.0,,2700000.0,30400000.0,9900000.0,51400000.0,2700000.0,2700000,732800000.0,168200000.0,79600000.0,-2400000.0,-54100000.0,-4400000.0,0.15,173500000.0,,-45800000.0,48000000.0,18000000.0,9900000.0,,,0.15,13100000.0,56300000.0,,35000000.0,17900000.0,9900000.0,3400000,34500000.0,-2300000.0,6300000.0,,-600000.0,184000000,-184600000.0,-7900000.0,66400000.0,11500000.0,174800000.0,739300000.0,121200000.0,554700000.0,3200000.0,,500000.0,138500000.0,,11900000,,-100000.0,7900000.0,,,,,,
1998-09-30,-1400000.0,31600000.0,,43400000.0,142200000.0,1068300000.0,1167200000.0,,560200000.0,680500000.0,,3900000.0,18571429.0,,,9300000.0,8500000.0,-700000.0,,4600000.0,26000000.0,11200000.0,53300000.0,3900000.0,3900000,772200000.0,210900000.0,78800000.0,4500000.0,-62300000.0,-4300000.0,0.2,173900000.0,,-48700000.0,49800000.0,19500000.0,11200000.0,,,0.21,18300000.0,43300000.0,,35100000.0,9900000.0,11200000.0,3500000,61700000.0,-3400000.0,-7300000.0,,-700000.0,195500000,-190300000.0,1300000.0,-100000.0,2000000.0,83300000.0,749500000.0,98900000.0,559200000.0,4500000.0,,600000.0,138800000.0,-7200000.0,12500000,,900000.0,12000000.0,,,,,,
