date,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyBasicEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation,quarterlyDilutedEPS,quarterlyOperatingIncome,quarterlyResearchAndDevelopment,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyDeferredIncomeTax,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue
1999-09-30,,400000,1300000,3800000,100000.0,,,,-2000000,,,2156867.0,-100000.0,,-2200000,-2200000,,-2200000,2400000,-100000,100000.0,2400000,2400000,,,,,-1.019998,700000,-1900000,800000.0,100000,,2156867.0,100000,,,,,0.0,4400000,200000.0,400000,,2300000,-100000.0,,3100000,500000,,,,400000,-2000000,,,,-1.019998,-2100000,1700000,-48700000,,300000.0,2900000,2500000,800000,,100000,-1900000,0,-2500000,0.0,,,,,
1999-12-31,,300000,1200000,12900000,,,,2900000.0,6300000,,,,,,-2400000,-2400000,,-2400000,8700000,-100000,100000.0,8700000,11600000,,,,,,1000000,-2000000,800000.0,0,,,100000,,,,,0.0,2400000,-200000.0,700000,,2200000,0.0,,11900000,400000,,,,400000,-2300000,0.0,,,,-2400000,2000000,-51100000,,400000.0,2900000,11700000,1000000,,0,-1900000,8200000,-2500000,-100000.0,,,,,
2000-03-31,,257101,1362390,15791389,72722.0,,,4800000.0,897277,,,2726617.0,,,-1139882,-1139882,,-1139882,9580282,-97769,72722.0,9580282,14380282,,,,0.0,-0.419999,766975,-1473924,849852.0,89309,,2726617.0,48717,,1903000.0,,,1666.0,8683005,1204595.0,509874,,2445258,-41121.0,,15024414,436063,,,,423229,-1167941,,2412322.0,,-0.419999,-1240663,1936473,-52193759,,-350116.0,2975796,14428999,766975,,1131873,-1417276,2412322,-2552567,-56648.0,,,,,
2000-06-30,,265316,1829433,12426765,75970.0,,,3625000.0,-2631092,,,2785037.0,,,-2840413,-2840413,,-2840413,6949190,-249727,75970.0,6949190,10574190,,,,0.0,-1.019998,1104596,-2862695,894917.0,382595,,2785037.0,23142,,728000.0,,,1675.0,9580282,94220.0,839280,,3050097,-81565.0,,11322169,490185,,,,551921,-2879907,,313168.0,,-1.019998,-2955877,2483942,-55034172,,69910.0,3141532,10597332,1104596,,18250,-2694533,313168,-2589611,-168162.0,,,,,
2000-09-30,,302223,1745543,40014760,86478.0,,,8592886.0,22605585,,,3383858.0,,,-2252104,-2252104,,-2252104,29554775,-355336,86478.0,29554775,38147661,,,,0.0,-0.659999,1316325,-2007595,903721.0,29847,,3383858.0,121556,,-9304114.0,,,2144.0,6949190,208693.0,1014102,,2799927,-47304.0,,38698435,557911,,,,811975,-2504756,,24660484.0,,-0.659999,-2591234,2155538,-57286276,,466063.0,3449225,38269217,1316325,,122215,-1699563,24660484,-2637250,-308032.0,,,,,
2000-12-31,,431988,1957128,35088393,181327.0,,,6213586.0,-3656262,,,,,,-3007557,-3007557,,-3007557,25898513,-392912,181327.0,25898513,32112099,,,,0.0,,1722792,-3597718,890532.0,29847,,,1019166,,-11683414.0,,,2151.0,29554775,206327.0,1290804,,3659847,-112567.0,,33365601,786143,,,,1036749,-3272193,,54023.0,,,-3453520,2692377,-60293833,,-491143.0,3695298,33131265,1722792,,25000,-3317373,54023,-2658549,-280345.0,,,,,
2001-03-31,,0,2977994,30456128,,400099.0,,4618206.0,-3896777,,,3588286.0,,,-3178710,-3178710,,-3178710,22001736,-1113918,93052.0,22001736,26619942,,,,0.0,-0.899998,1617801,-3809361,954764.0,29847,,3588286.0,858192,,-13278794.0,,,2153.0,25898513,15980.0,1217702,,3556746,-94232.0,,28838327,964131,,,,1993383,-3447714,,6816.0,,-0.899998,-3540766,2592615,-63472543,,295983.0,4713700,27478134,1617801,,15980,-2789675,6816,-2720317,-1019686.0,,,,,
2001-06-30,,0,3512547,39372503,,369032.0,,6596477.0,6130629,,,3630863.0,,,-3546015,-3546015,,-3546015,28132365,-644405,109852.0,28132365,34728842,,,,0.0,-0.959998,1614158,-3968159,1058738.0,29847,,3630863.0,1131114,,-11300523.0,,,2307.0,22001736,87264.0,1245126,,3872194,-138974.0,,37758345,709527,,,,2423962,-3675078,,10237762.0,,-0.959998,-3784930,3162667,-67018558,,-26565.0,5202738,35859956,1614158,,87264,-3462728,10237762,-2778776,-505431.0,,,,,
2001-09-30,,0,4321919,33140200,,431711.0,,3157173.0,-3519847,,,3853814.0,,,-15596194,-15596194,-12523088.0,-15596194,24612518,-926394,117022.0,24612518,27769691,,,,0.0,-4.019992,1581630,-3737482,1114738.0,29847,,3853814.0,1048590,,-2216739.0,,,2316.0,28132365,307549.0,1149919,,3652594,-95000.0,,31558570,877615,,,,3177334,-3228023,,312635.0,,-4.019992,-3345045,2774979,-82614752,,49996.0,6023962,28818281,1581630,,307549,-2906088,312635,-2846628,-831394.0,,,,,
2001-12-31,,508632,6304037,33815113,,,,14527670.0,-13543067,,,,,,-4604255,-4604255,0.0,-4604255,11069451,-10083466,236546.0,11069451,25597121,,,,0.0,,3281066,-5484532,1376402.0,29847,,,198923,,1038956.0,,,2322.0,24612518,295309.0,2772434,,5027184,-147770.0,,30534047,806544,,,,4897788,-4495329,,204037.0,,,-4731875,4220640,-87219007,,464071.0,7839246,27511076,3281066,,295309,-3663638,204037,-2941458,-1820894.0,,,,,
2002-03-31,,0,7035750,45137124,,471548.0,,7939685.0,18816192,,,3907028.0,,,-7816093,-7816093,,-7816093,29885643,1698700,265964.0,29885643,37825328,,,,0.0,-1.979996,4719853,-5322523,1479989.0,29847,,3907028.0,276046,,-2852652.0,,2696377.0,2632.0,11069451,237695.0,4248305,,8133639,-148587.0,,40417271,1084519,,,,5525914,-7629980,,21590925.0,,-1.979996,-7895944,7049120,-95035100,,3076696.0,8688277,38101374,4719853,,237695,-4473433,21590925,-3162363,-849090.0,,,,,
2002-06-30,,0,7266129,37531705,,402349.0,,16234538.0,-16440541,,,4392178.0,,,-10497859,-10497859,-2686956.0,-10497859,13445102,-8285231,340415.0,13445102,29679640,,,,0.0,-2.399995,3955415,-8670658,1568441.0,29847,,4392178.0,84829,,414720.0,,2513555.0,2644.0,29885643,197691.0,3553066,,8119801,-141952.0,,33576290,895706,,,,5667841,-7581695,,86506.0,,-2.399995,-7922110,7224095,-105532959,,-1074328.0,9116526,30265576,3955415,,197691,-8241816,86506,-3448685,-428842.0,,,,,
2002-09-30,,445765,7713844,30743002,,,,9878147.0,-856221,,,4407359.0,,,-7051265,-7051265,-1791304.0,-7051265,12588881,3089590,347915.0,12588881,22467028,,,,0.0,-1.619997,4915861,-4600525,1632340.0,29847,,4407359.0,54987,,-265147.0,,,2645.0,13445102,232192.0,4470096,,5603322,-1255739.0,,25827141,1009299,,,,6051657,-5023215,,-18017.0,,-1.619997,-5371130,4594023,-112584224,,984252.0,9789257,23029158,4915861,,232192,-3927794,-18017,-3737600,-672731.0,,,,,
2002-12-31,,581389,8201769,28603757,,,,8908682.0,-2203918,,,,,,-3993834,-3993834,0.0,-3993834,10384963,1097602,379041.0,10384963,19293645,,,,0.0,,5122134,-4446816,1587632.0,29847,,,595093,,729956.0,,,2656.0,12588881,169206.0,4540745,,4321071,1092874.0,,23481623,774417,,,,6584290,-3772824,,318296.0,,,-4151865,3546654,-116578058,,-339940.0,10591476,20401988,5122134,,169206,-3619816,318296,-4007186,-827000.0,,,,,
2003-03-31,,0,8751338,21332738,,490502.0,,4541011.0,-3213240,,,4428003.0,,,-3418817,-3418817,,-3418817,7171723,3108743,333186.0,7171723,11712734,-997700.0,,,0.0,-0.779998,1619953,-7125778,1655744.0,29847,,4428003.0,349369,,353783.0,,4989198.0,2657.0,10384963,257923.0,1129451,,3739296,-105112.0,,19712785,933401,,,,7065747,-3148187,,26152.0,,-0.779998,-3481373,2805895,-119996875,,-3262504.0,11369119,12581400,1619953,,257923,-6348135,26152,-4303372,-777643.0,,,,,
2003-06-30,,0,8846729,39624493,,485380.0,,21262148.0,1906618,,,4896768.0,,,-3497928,-3497928,,-3497928,9078341,-16024369,345319.0,9078341,30340489,-18862570.0,,,0.0,-0.719999,1296276,-3386043,1714806.0,29847,,4896768.0,0,,1491261.0,,3278911.0,3118.0,7171723,162410.0,810896,,3716363,-99562.0,,38328217,1177081,,,,7102076,-3208634,,20975882.0,,-0.719999,-3553953,2539282,-123494803,,107714.0,11707221,30777764,1296276,,162410,-3044895,20975882,-4605145,-341148.0,,,,,
2003-09-30,,490089,8800849,37115097,,,,21129486.0,-2548317,,,5197754.0,,,-4603655,-4603655,,-4603655,6530024,791703,349665.0,6530024,27659510,-6927681.0,,,0.0,-0.899998,2308872,-3669324,1764624.0,29847,,5197754.0,654738,,2454087.0,,8023169.0,3121.0,9078341,414352.0,1818783,,5093894,-93318.0,,34806225,1560026,,,,7006378,-4329877,,118837.0,,-0.899998,-4679542,3533868,-128098458,,795133.0,11907106,28314248,2308872,,414352,-3458857,118837,-4900728,-210467.0,,,,,
2003-12-31,,0,8754504,47145023,,698061.0,,25074221.0,5994891,,,,,,-3096228,-3096228,,-3096228,12524915,-3332707,456179.0,12524915,37599136,-17633937.0,,,0.0,,3750993,-4939556,1716231.0,29847,,,791383,,-289803.0,,14711064.0,3447.0,6530024,135181.0,3052932,,7293791,-99143.0,,43394030,888440,,,,7008426,-6702431,,13956463.0,,,-7158610,6405351,-131194686,,1305476.0,12207338,38390519,3750993,,135181,-4628865,13956463,-5198912,-310691.0,,,,,
2004-03-31,,0,8644572,45801796,,969008.0,,27722217.0,-3837553,,,5935126.0,,,-7532512,-7532512,,-7532512,8687362,-3095212,428274.0,8687362,36409579,-13123205.0,,,0.0,-1.259997,2750411,-7877457,1842308.0,29847,,5935126.0,747645,,-418677.0,,10346335.0,3609.0,12524915,99451.0,1781403,,7852189,-169077.0,,43051385,1238201,,,,6772417,-7324464,,6985851.0,,-1.259997,-7752738,6613988,-138727198,,-956844.0,12355424,37157224,2750411,,99451,-7728192,6985851,-5583007,-149265.0,,,,,
2004-06-30,,0,8493627,38142082,,558774.0,,18129230.0,2357547,,,6018181.0,,,-7147962,-7147962,,-7147962,11044909,9277574,,11044909,29174139,0.0,,,0.0,-1.199998,2166913,-7187443,,1928352,,6018181.0,474316,,-424825.0,,9586839.0,3612.0,8687362,36271.0,1608139,,7267897,-95335.0,,35975169,1116027,,,,6565275,-7231626,,53486.0,,-1.199998,-7231626,6151870,-145875160,,-315031.0,12553060,29648455,2166913,,36271,-6973513,53486,-5987785,-213930.0,,,,,
2004-09-30,,0,8569580,32373194,,612370.0,,10762976.0,1296940,,,6020643.0,,,-5106966,-5106966,,-5106966,12341849,6943768,,12341849,23104825,0.0,,,0.0,-0.839998,1349437,-6099843,1946660.0,34709,,6020643.0,698789,,-295279.0,,7495800.0,3612.0,11044909,9151.0,737067,,5131909,-99017.0,,31023757,964700,,,,6588211,-5122758,,0.0,,-0.839998,-5122758,4167209,-150982126,,-1041949.0,13001141,23803614,1349437,,9151,-5646828,0,-6412930,-453015.0,,,,,
2004-12-31,,0,8320240,28518631,,793402.0,,2860487.0,4312980,,,,,,-4990254,-4990254,,-4990254,16654829,7711837,518583.0,16654829,19515316,0.0,,,0.0,,2249598,-3687548,1968987.0,37609,,,683075,,-132641.0,,8065127.0,3614.0,12341849,285588.0,1456196,,5222461,-99162.0,,26269033,1416803,,,,6313644,-4418290,,34563.0,,,-4936873,3805658,-155972380,,912975.0,13042690,20198391,2249598,,285588,-3433420,34563,-6729046,-254128.0,,,,,
2005-03-31,,0,8223604,45698213,,703863.0,,2834650.0,17702013,,,7075932.0,,,-5499179,-5499179,,-5499179,34356842,-229952,484038.0,34356842,37191492,-3187858.0,,,0.0,-0.779998,2277914,-4646710,2042217.0,37609,,7075932.0,283117,,,,3346336.0,4415.0,16654829,45192.0,1574051,,5590434,-121230.0,,43420299,1448530,,,,6143778,-5061204,,22311475.0,,-0.779998,-5545242,4141904,-161471559,,428274.0,13307129,37474609,2277914,,45192,-4379510,22311475,-7163351,-267200.0,,,,,
2005-06-30,,0,8112015,40542949,,670222.0,,4840163.0,-7010767,,,7361275.0,,,-4932642,-4932642,,-4932642,27346075,-2388019,491566.0,27346075,32186238,-4461639.0,,,0.0,-0.659999,1926660,-4996796,2066631.0,37609,,7361275.0,244696,,,,2456126.0,4418.0,34356842,39317.0,1256438,,5187684,-76414.0,,38616289,1272529,,,,6007775,-4656801,,67956.0,,-0.659999,-5148367,3915155,-166404201,,-312833.0,13603260,32430934,1926660,,39317,-4690704,67956,-7595485,-306092.0,,,,,
2005-09-30,,0,8016538,39516477,,881328.0,,3400631.0,210705,,,7364063.0,,,-1692471,-1692471,,-1692471,27556780,1039570,491922.0,27556780,30957411,4641914.0,,,0.0,-0.24,2522589,-1149816,2091142.0,37609,,7364063.0,542528,,,,-3202382.0,4418.0,27346075,3281805.0,1641261,,5199445,-79011.0,,36993888,1052244,,,,5887787,-1425718,,0.0,,-0.24,-1917640,4147201,-168096672,,298097.0,13917192,31499939,2522589,,3281805,-828865,0,-8029405,-320951.0,,,,,
2005-12-31,,0,7754588,56407982,,886369.0,1236446.0,12453348.0,7040954,,,,,,-4551572,-4551572,,-4551572,34597734,-9336733,530146.0,34597734,47051082,-10132998.0,,,0.0,,2747973,-5343527,2117710.0,37609,,,365866,,12968.0,,1093249.0,5118.0,27556780,1417446.0,1861604,,6322556,276655.0,,53660009,1409066,,,,5599269,-4374964,,21147575.0,,,-4905110,4913490,-172648244,,-834400.0,13996192,48653394,2747973,,1417446,-4769888,21147575,-8396923,-573639.0,,,,,
2006-03-31,,237904,7351839,58119048,,721388.0,840153.0,12579208.0,2269567,,,8619192.0,,,-9061150,-9061150,,-9061150,36867301,-413515,525141.0,36867301,49446509,-1026087.0,,,0.0,-1.079998,2209804,-5577561,2163209.0,34709,,8619192.0,480547,,14858.0,,902117.0,5293.0,34597734,65962.0,1250512,,9584971,0.0,,55909244,2821726,,,,5153921,-8993868,,7971098.0,,-1.079998,-9519009,6763245,-181709394,,-78657.0,13550844,50767209,2209804,,65962,-5288016,7971098,-8396923,-289545.0,,,,,
2006-06-30,,314167,7282640,52384016,,662500.0,44389.0,12709104.0,-5102918,,,8824359.0,,,-6902029,-6902029,,-6902029,31764383,-597874,512783.0,31764383,44473487,-2179435.0,,,0.0,-0.779998,2264821,-5079002,2312323.0,34709,,8824359.0,0,,17200.0,,2051881.0,5296.0,36867301,18558.0,1288154,,7437640,0.0,,50119195,1515711,,,,4935608,-6906299,,103638.0,,-0.779998,-7419082,5921929,-188611423,,747828.0,14204712,45101376,2264821,,18558,-4608682,103638,-9269104,-470320.0,,,,,
2006-09-30,,346037,7252756,46542091,,680881.0,61342.0,12846772.0,-6186135,,,8827359.0,,,-6780646,-6780646,,-6780646,25578248,-629749,522712.0,25578248,38425020,-1195113.0,,,0.0,-0.779998,2182879,-6065580,2472389.0,34709,,8827359.0,0,,19327.0,,1059572.0,5297.0,31764383,13252.0,1155961,,7285981,0.0,,44359212,1347114,,,,4745658,-6750017,1003550.0,14986.0,,-0.779998,-7272729,5938867,-195392069,,-318368.0,14473570,39289335,2182879,,13252,-5571372,14986,-9727912,-494208.0,,,,,
2006-12-31,,377908,6922833,40862746,,1371353.0,51498.0,12992931.0,-5419047,,,,,,-8329187,-8329187,,-8329187,20159201,-346884,529739.0,20159201,33152132,-10569291.0,,,0.0,,3150845,-5345115,2558541.0,34709,,,0,,18418.0,,10422223.0,5318.0,25578248,17519.0,1401584,,8789748,0.0,,37711901,2068201,,,,4329583,-8242490,1609649.0,73136.0,,,-8772229,6721547,-203721256,,1044500.0,14504295,33939913,3150845,,17519,-5145299,73136,-10174712,-199816.0,,,,,
2007-03-31,,1435490,6999667,35307047,,1021336.0,551783.0,12081196.0,-5194286,,,8873639.0,,,-9722975,-9722975,,-9722975,14964915,299732,479630.0,14964915,27046111,,,,,-1.079998,4346755,-6103980,2611476.0,284709,,8873639.0,0,,16377.0,,909694.0,5328.0,20159201,536042.0,1889929,,10621526,0.0,,30960292,4303885,,,,4103482,-9605854,2973407.0,,,-1.079998,-10085484,6317641,-213444231,,722422.0,14706889,28307380,4346755,,536042,-5494018,0,-10603407,-609962.0,,,,,
2007-06-30,2106675.0,1336821,9993254,31208514,,1132036.0,1119780.0,10056789.0,-5701403,0.0,,8926744.0,2106675.0,,-8536620,-8536620,,-8536620,9263512,1471033,488461.0,9263512,19320301,,,69434.0,,-0.959998,6993569,-7773017,2769042.0,34709,,8926744.0,0,,,,2118447.0,5365.0,14964915,2351424.0,2348603,,11191612,0.0,,24214945,2030796,,,,7189503,-8351727,994066.0,,,-0.959998,-8840188,9160816,-221980851,,-186668.0,18223690,21215260,4886894,,2351424,-7236020,63584,-11034187,-536997.0,,,,,
2007-09-30,2088797.0,2880398,10110722,26864835,,1325351.0,1751367.0,10188487.0,-5402240,0.0,,8948966.0,2088797.0,,-7034944,-7034944,1296322.0,-7034944,3861272,-788188,538677.0,3861272,14049759,0.0,,70261.0,0.0,-0.779998,11639127,-5275727,2976692.0,34709,,8948966.0,0,,,,-131698.0,5373.0,9263512,2911406.0,5274320,,11424992,0.0,,15225708,1544512,,,,7099321,-7974909,979090.0,5185.0,,-0.779998,-8513586,9880480,-222230361,,2193917.0,18571537,16754113,9550330,,2911406,-4619237,5185,-11472216,-656490.0,,,,,
2007-12-31,2070704.0,4745992,9926479,38637930,,1171666.0,2869760.0,271851.0,20941290,433150.0,,,2503854.0,,-4127194,-4127194,1405545.0,-4127194,24802562,9592991,507091.0,24802562,25074413,0.0,,71099.0,0.0,,12256183,-7651525,3066625.0,34709,,,0,,,,9916636.0,6445.0,3861272,5186319.0,3026072,,10854637,0.0,737500.0,26381747,1453172,,,,6825145,-5161227,-4170864.0,18676179.0,,,-5668318,9401465,-226357555,,-3088040.0,18641694,28711451,9752329,,5186319,-7327880,18676179,-11816549,-323645.0,,,,,
2008-03-31,2098349.0,6086926,10116514,35479866,,1064891.0,4053301.0,274209.0,-4841753,453767.0,,10887019.0,2552116.0,,-15014476,-15014476,-11183603.0,-15014476,19960809,-352699,348554.0,19960809,20235018,-2358.0,,25994.0,0.0,-1.379997,14693728,-4764999,3404340.0,34709,,10887019.0,1075033,,,,,7043.0,24802562,5624617.0,3367551,,9455490,0.0,1596250.0,20786138,1982679,,,,6677465,-3482319,12851164.0,,,-1.379997,-3830873,7472811,-241372031,,-2611714.0,18789309,25363352,12141612,,5624617,-4426033,-63021,-12111844,-338966.0,,,,,
