date,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCommonStockIssuance,quarterlyDilutedEPS,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyResearchAndDevelopment,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments
1994-03-31,-1500000.0,201700000.0,2300000.0,1200000.0,1200000,17900000.0,9800000.0,9400000.0,8000000.0,,0.03335,,,84200000.0,39000000.0,1300000.0,1300000.0,200000.0,-2200000.0,200000.0,,2200000.0,1700000.0,23523238.0,,,1800000.0,17900000.0,1000000.0,243300000.0,1200000.0,-4900000.0,329300000.0,361400000.0,200000.0,,387200000.0,,,0.03335,-1300000.0,900000.0,7900000.0,,15000000.0,,118100000.0,0.0,4700000,,-7200000.0,200000.0,12200000.0,14800000.0,,1500000.0,32100000.0,35600000.0,,3700000.0,,,,2000000.0,800000.0,,300200000.0,24200000,3400000.0,2600000,-7200000.0,-87000000.0,23523238.0,,,,
1994-06-30,700000.0,201100000.0,2300000.0,2300000.0,2300000,25200000.0,12600000.0,9400000.0,10900000.0,,0.064477,,,84200000.0,39100000.0,-1500000.0,1300000.0,900000.0,-2500000.0,900000.0,,2200000.0,200000.0,23523238.0,,,1900000.0,25200000.0,2400000.0,252800000.0,2300000.0,-3400000.0,334300000.0,370900000.0,-800000.0,,392600000.0,,,0.064477,-600000.0,-600000.0,7900000.0,,13700000.0,,118100000.0,0.0,9500000,,-5700000.0,900000.0,13700000.0,21100000.0,,1200000.0,36600000.0,45700000.0,,4000000.0,,,,4000000.0,1700000.0,,303900000.0,30500000,4000000.0,7400000,-5700000.0,-88700000.0,23523238.0,,,,
1994-09-30,3000000.0,213600000.0,9400000.0,5200000.0,5200000,-100000.0,17000000.0,13800000.0,13200000.0,,0.14674,,,97100000.0,39700000.0,-300000.0,1300000.0,3900000.0,-2400000.0,3900000.0,,2200000.0,900000.0,23523238.0,,,2000000.0,13900000.0,2400000.0,260100000.0,5200000.0,4000000.0,337400000.0,381000000.0,-100000.0,,398300000.0,,,0.14674,2800000.0,,9700000.0,,14400000.0,,120900000.0,0.0,13200000,,-5400000.0,3900000.0,13800000.0,24900000.0,,1700000.0,43600000.0,40500000.0,,4200000.0,,,,8800000.0,3600000.0,,307500000.0,38700000,-900000.0,11100000,-5400000.0,-90800000.0,23523238.0,,,,
1994-12-31,-1600000.0,209900000.0,3600000.0,2600000.0,2600000,24100000.0,14100000.0,10500000.0,10900000.0,,,,,92900000.0,39900000.0,300000.0,1200000.0,2300000.0,-2400000.0,2300000.0,,21800000.0,3900000.0,,,,2100000.0,24100000.0,900000.0,262400000.0,2600000.0,-6700000.0,343500000.0,383600000.0,300000.0,,407600000.0,,,,-2500000.0,,8400000.0,,16100000.0,,121200000.0,-100000.0,9500000,,-9100000.0,2300000.0,11600000.0,18900000.0,,3900000.0,40100000.0,46600000.0,,2200000.0,,,,5400000.0,2800000.0,44600000.0,314900000.0,29400000,3900000.0,7300000,-10300000.0,-92700000.0,,,,,
1995-03-31,-1300000.0,210800000.0,2400000.0,600000.0,600000,27500000.0,12900000.0,8300000.0,10000000.0,,0.015563,,,92800000.0,40500000.0,-200000.0,1300000.0,1000000.0,-2200000.0,1000000.0,,2200000.0,2300000.0,23535000.0,,,2300000.0,27500000.0,900000.0,262100000.0,600000.0,-2700000.0,346900000.0,381500000.0,300000.0,,413000000.0,,,0.015563,-600000.0,600000.0,5100000.0,,15300000.0,,119400000.0,0.0,5700000,,-5100000.0,1000000.0,13000000.0,16500000.0,,1800000.0,34600000.0,45500000.0,,4000000.0,,,,1000000.0,400000.0,,317800000.0,24800000,1400000.0,3500000,-5100000.0,-95200000.0,23535000.0,,,,
1995-06-30,3800000.0,197300000.0,8000000.0,2900000.0,2900000,48500000.0,15200000.0,10200000.0,9200000.0,,0.082263,,,77600000.0,41100000.0,-1300000.0,1300000.0,4900000.0,-2500000.0,4900000.0,,2200000.0,1000000.0,23535000.0,,,2300000.0,48500000.0,900000.0,273100000.0,2900000.0,100000.0,353200000.0,393000000.0,300000.0,,421600000.0,,,0.082263,2800000.0,200000.0,6300000.0,,14400000.0,,119900000.0,0.0,10800000,,-7900000.0,4900000.0,13700000.0,22200000.0,,2100000.0,39800000.0,70000000.0,,4100000.0,,,,5100000.0,2200000.0,,323800000.0,32400000,3700000.0,8500000,-7900000.0,-97800000.0,23535000.0,,,,
1995-09-30,-3000000.0,226700000.0,3900000.0,5300000.0,5300000,20100000.0,15400000.0,14800000.0,11600000.0,,0.148963,,,107500000.0,41700000.0,600000.0,1200000.0,1900000.0,-2600000.0,1900000.0,,2200000.0,4900000.0,23535000.0,,,2400000.0,20100000.0,1000000.0,276800000.0,5300000.0,-1300000.0,356700000.0,400300000.0,-500000.0,,427500000.0,,,0.148963,-4700000.0,1200000.0,8900000.0,,16900000.0,,123500000.0,0.0,13000000,,-5200000.0,1900000.0,14100000.0,24800000.0,,1500000.0,43600000.0,44400000.0,,4600000.0,,,,8900000.0,3600000.0,,327100000.0,39600000,-1700000.0,10700000,-5200000.0,-100400000.0,23535000.0,,,,
1995-12-31,-1500000.0,230300000.0,4600000.0,2800000.0,2800000,24100000.0,15600000.0,12400000.0,10800000.0,,,,,107500000.0,41400000.0,1300000.0,1700000.0,300000.0,-2300000.0,300000.0,,21700000.0,1900000.0,,,,2600000.0,24100000.0,800000.0,282600000.0,2800000.0,-3000000.0,363300000.0,406300000.0,-30100000.0,,437900000.0,,,,-2100000.0,0.0,6800000.0,,19200000.0,,123700000.0,0.0,8400000,,-7600000.0,300000.0,14300000.0,20500000.0,,3900000.0,43000000.0,46500000.0,,3800000.0,,,,5000000.0,2200000.0,47200000.0,334900000.0,32900000,1500000.0,6200000,-7600000.0,-103000000.0,,,,,
1996-03-31,2300000.0,230400000.0,10400000.0,2200000.0,2200000,23400000.0,15500000.0,9800000.0,9100000.0,,0.06003,,,107300000.0,43000000.0,200000.0,1700000.0,2700000.0,-2400000.0,2700000.0,,2100000.0,300000.0,23535000.0,,,2600000.0,23400000.0,800000.0,284800000.0,2200000.0,5200000.0,366000000.0,408200000.0,300000.0,,443600000.0,,,0.06003,5500000.0,700000.0,9600000.0,,18000000.0,,123400000.0,0.0,8800000,,-5200000.0,2700000.0,14400000.0,20600000.0,,2000000.0,42200000.0,48500000.0,,4600000.0,,,,3800000.0,1600000.0,,337600000.0,30400000,-2900000.0,6200000,-5200000.0,-106000000.0,23535000.0,,,,
1996-06-30,300000.0,229400000.0,3700000.0,4100000.0,4100000,32400000.0,15200000.0,13200000.0,12400000.0,,0.115613,,,107300000.0,42200000.0,-1600000.0,1900000.0,2900000.0,-2500000.0,2900000.0,,2100000.0,2700000.0,23565000.0,,,2600000.0,32400000.0,700000.0,294400000.0,4100000.0,-5600000.0,373300000.0,419700000.0,-800000.0,,453900000.0,,,0.115613,-3100000.0,200000.0,11600000.0,,14700000.0,,125300000.0,0.0,13800000,,-9300000.0,2900000.0,15500000.0,26700000.0,,2500000.0,46400000.0,59200000.0,,5200000.0,,,,7000000.0,2900000.0,,345000000.0,39900000,5900000.0,11200000,-9300000.0,-108900000.0,23565000.0,,,,
1996-09-30,4400000.0,230500000.0,10700000.0,5400000.0,5400000,34400000.0,20400000.0,15800000.0,13600000.0,500000.0,0.151187,,,107300000.0,42800000.0,-900000.0,2100000.0,7300000.0,-2400000.0,7300000.0,,2100000.0,2900000.0,23634000.0,,,2600000.0,34400000.0,700000.0,303100000.0,5400000.0,4100000.0,377400000.0,431900000.0,300000.0,,461200000.0,,,0.151187,3400000.0,-1600000.0,12100000.0,,17600000.0,,128800000.0,0.0,15800000,,-6600000.0,7300000.0,16300000.0,29500000.0,,3500000.0,54500000.0,66900000.0,,4800000.0,,,,9600000.0,4200000.0,,349400000.0,45300000,300000.0,13200000,-6600000.0,-111800000.0,23634000.0,,,,
1996-12-31,-3600000.0,232100000.0,6500000.0,1800000.0,1800000,16500000.0,15300000.0,13100000.0,9600000.0,20800000.0,,,,107200000.0,42400000.0,800000.0,1300000.0,3800000.0,-2500000.0,3800000.0,,24300000.0,7300000.0,,,,2700000.0,16500000.0,700000.0,282000000.0,1800000.0,-4400000.0,387100000.0,430900000.0,500000.0,,471900000.0,,,,2700000.0,1300000.0,12900000.0,,16500000.0,,148900000.0,0.0,8000000,,-10900000.0,3800000.0,17500000.0,22900000.0,,700000.0,43800000.0,44700000.0,,5900000.0,,,,3300000.0,1500000.0,50900000.0,357800000.0,36000000,800000.0,5400000,-10900000.0,-114100000.0,,,,,
1997-03-31,-3100000.0,234900000.0,3300000.0,1300000.0,1300000,13000000.0,15100000.0,10500000.0,9800000.0,4000000.0,0.031127,,,109600000.0,43000000.0,-500000.0,1300000.0,600000.0,-2800000.0,600000.0,,2100000.0,3800000.0,26874000.0,,,2500000.0,13000000.0,800000.0,277100000.0,1300000.0,-800000.0,388300000.0,425900000.0,-100000.0,,476600000.0,,,0.031127,-1000000.0,500000.0,8800000.0,,14900000.0,,148800000.0,0.0,8200000,,-4100000.0,600000.0,16300000.0,21700000.0,,2500000.0,37600000.0,36900000.0,,5300000.0,,,,2400000.0,1100000.0,,359300000.0,32200000,-2400000.0,5400000,-4100000.0,-117300000.0,26874000.0,,,,
1997-06-30,-100000.0,236100000.0,11000000.0,3100000.0,3100000,14200000.0,16500000.0,12400000.0,11900000.0,1400000.0,0.075593,,,111300000.0,43700000.0,-1900000.0,1400000.0,600000.0,-2800000.0,600000.0,,2100000.0,600000.0,26874000.0,,,2500000.0,14200000.0,1200000.0,284000000.0,3100000.0,1700000.0,395700000.0,433100000.0,-1700000.0,,487200000.0,,,0.075593,5500000.0,100000.0,11900000.0,,13000000.0,,149100000.0,0.0,12500000,,-9300000.0,600000.0,17300000.0,26900000.0,,2300000.0,37400000.0,42600000.0,,5500000.0,,,,5300000.0,2200000.0,,366700000.0,39300000,-1700000.0,9600000,-9300000.0,-120500000.0,26874000.0,,,,
1997-09-30,2300000.0,238800000.0,8200000.0,6000000.0,6000000,19200000.0,21700000.0,17100000.0,13100000.0,2200000.0,0.148963,,,113500000.0,44000000.0,0.0,1500000.0,2900000.0,-2800000.0,2900000.0,,2100000.0,600000.0,26874000.0,,,2500000.0,19200000.0,1500000.0,296000000.0,6000000.0,-1800000.0,403300000.0,448400000.0,-300000.0,,497400000.0,,,0.148963,-1000000.0,200000.0,11000000.0,,15800000.0,,152400000.0,0.0,15200000,,-10000000.0,2900000.0,16200000.0,28600000.0,,3000000.0,45100000.0,51900000.0,,5500000.0,,,,9900000.0,3900000.0,,374300000.0,45700000,4100000.0,12400000,-10000000.0,-123100000.0,26874000.0,,,,
1997-12-31,1300000.0,242600000.0,6200000.0,3700000.0,3700000,26200000.0,18200000.0,11100000.0,12200000.0,-6100000.0,,,,115300000.0,46200000.0,300000.0,1300000.0,4200000.0,-2800000.0,4200000.0,,24400000.0,2900000.0,,,,2700000.0,26200000.0,1400000.0,304000000.0,3700000.0,-5100000.0,412600000.0,457100000.0,400000.0,,508600000.0,,,,300000.0,0.0,11800000.0,,17700000.0,,153100000.0,0.0,11400000,,-11300000.0,4200000.0,16900000.0,25400000.0,,2200000.0,44500000.0,56200000.0,,5900000.0,,,,6300000.0,2600000.0,53700000.0,383600000.0,36500000,6400000.0,8500000,-11300000.0,-125000000.0,,,,,
1998-03-31,-2000000.0,258300000.0,7000000.0,1800000.0,1800000,12200000.0,16600000.0,8000000.0,11500000.0,15000000.0,0.044467,,,130300000.0,46700000.0,500000.0,1200000.0,2200000.0,-2800000.0,2200000.0,,2000000.0,4200000.0,26874000.0,,,2700000.0,12200000.0,1400000.0,303400000.0,1800000.0,-600000.0,417500000.0,455500000.0,400000.0,,517100000.0,,,0.044467,1100000.0,2000000.0,11100000.0,,15500000.0,,152100000.0,0.0,8700000,,-7600000.0,2200000.0,16400000.0,22000000.0,,2100000.0,38000000.0,39900000.0,,5400000.0,,,,3300000.0,1500000.0,,388600000.0,30000000,-1400000.0,5600000,-7600000.0,-128500000.0,26874000.0,,,,
1998-06-30,-700000.0,262100000.0,7700000.0,2800000.0,2800000,18200000.0,15300000.0,10500000.0,11600000.0,0.0,0.068923,,,130800000.0,47300000.0,900000.0,1300000.0,1500000.0,-2900000.0,1500000.0,,2000000.0,2200000.0,26874000.0,,,2800000.0,18200000.0,1300000.0,312600000.0,2800000.0,-3800000.0,426300000.0,464600000.0,-400000.0,,529500000.0,,,0.068923,-1700000.0,1000000.0,12000000.0,,14600000.0,,152000000.0,0.0,10000000,,-11500000.0,1500000.0,17700000.0,24500000.0,,5600000.0,38300000.0,45500000.0,,5400000.0,,,,5100000.0,2300000.0,,397600000.0,35000000,3200000.0,6800000,-11500000.0,-131900000.0,26874000.0,,,,
1998-09-30,-1200000.0,266800000.0,11500000.0,6400000.0,6400000,19300000.0,20500000.0,14700000.0,15600000.0,0.0,0.157857,,,130800000.0,48200000.0,-400000.0,1300000.0,300000.0,-2800000.0,300000.0,,2000000.0,1500000.0,26874000.0,,,2800000.0,19300000.0,1500000.0,323300000.0,6400000.0,200000.0,435100000.0,478800000.0,300000.0,,541800000.0,,,0.157857,-1000000.0,400000.0,11600000.0,,14700000.0,,155500000.0,0.0,18000000,,-11300000.0,300000.0,17900000.0,32300000.0,,5700000.0,43700000.0,51400000.0,,5200000.0,,,,11100000.0,4700000.0,,405800000.0,47000000,-1500000.0,14400000,-11300000.0,-136000000.0,26874000.0,,,,
1998-12-31,300000.0,259500000.0,5200000.0,3600000.0,3600000,38300000.0,15300000.0,9700000.0,12900000.0,,,,,120800000.0,50100000.0,-300000.0,1000000.0,600000.0,-2900000.0,600000.0,,24400000.0,300000.0,,,,2900000.0,38300000.0,1200000.0,328400000.0,3600000.0,-6200000.0,445400000.0,484700000.0,500000.0,,553100000.0,,,,-1900000.0,1800000.0,10200000.0,,15500000.0,,156300000.0,0.0,11400000,,-11400000.0,600000.0,18100000.0,26500000.0,,1700000.0,39300000.0,63800000.0,,6100000.0,,,,5200000.0,1600000.0,57000000.0,414700000.0,36200000,6600000.0,8400000,-11400000.0,-138400000.0,,,,,
