date,quarterlyInvestmentsAndAdvances,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCapitalExpenditure,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyCurrentDebt,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlyCurrentLiabilities,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPretaxIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyOtherCurrentAssets,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,quarterlyEbitda,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyOtherCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentAssets,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares
2014-12-31,617267000000,436109000000,0,2189367000000,2007895000000,60947000000,51603000000,176714000000,-5740000000.0,55207000000,73621000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,769711000000,380141000000,0,2367685000000,2177055000000,61916000000,90715000000,185574000000,-5710000000.0,56206000000,80604000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,720531000000,294938000000,0,2367864000000,2169871000000,55785000000,33957000000,192578000000,-5352000000.0,50433000000,88072000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,775861000000,426769000000,0,2364232000000,2129617000000,54443000000,63138000000,228586000000,-5605000000.0,48838000000,130081000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,847546000000,299465000000,0,2327781000000,2097221000000,51550000000,52155000000,224653000000,-5818000000.0,45732000000,128268000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,878995000000,481686000000,0,2639964000000,2398227000000,53078000000,120303000000,237455000000,-6159000000.0,46919000000,138137000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,891524000000,423261000000,0,2645753000000,2398409000000,53924000000,52950000000,242739000000,-6663000000.0,47261000000,143589000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,982222000000,375408000000,0,2774445000000,2522120000000,55425000000,69080000000,248045000000,-7036000000.0,48389000000,151231000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,1090871000000,431524000000,0,2952903000000,2667996000000,56885000000,58982000000,280546000000,-7455000000.0,49430000000,160147000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,1067792000000,385357000000,0,2988440000000,2691573000000,59951000000,72661000000,291810000000,-8172000000.0,51779000000,166971000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
