date,quarterlyOperatingExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyGrossProfit,quarterlyDilutedEPS,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlySaleOfInvestment,quarterlyTaxProvision,quarterlyCurrentDebt,quarterlyChangeInInventory,quarterlyGoodwill
2011-09-30,35520000,122303000.0,,122303000.0,154287000,-17329000,2278000.0,,1785287000.0,,-1918000.0,-3410000,-50212000,10916000,-148473000.0,-22853000,7527000.0,279294000.0,225000,234000,32511000.0,0.0,14838000.0,-3836000,22883000,1597139000.0,,650111000.0,47057000,0.00196,-404000,-7246000,122303000,,,48425000.0,155083000.0,25359000,589000.0,8160000,0.001962,-427537000.0,684726000.0,69940000,114695500.0,,22064000,733151000.0,2334074000.0,225000,2178991000.0,1933760000.0,25474000,-31984000,-10033000,11537000,0.0,114784000.0,,,-2207000,,1137000.0,38897000,3000.0,,,,,,,,,,,,
2011-12-31,33203000,69491000.0,,69491000.0,122303000,-10847000,2284000.0,,1806471000.0,,1544000.0,-38390000,-42193000,9737000,-164783000.0,-24391000,8921000.0,272390000.0,1995000,2007000,31762000.0,0.0,12658000.0,2224000,20295000,1567340000.0,,639149000.0,45237000,,-303000,-36166000,69491000,0.0,,47801000.0,98867000.0,27613000,-307000.0,6472000,,-467249000.0,672703000.0,65532000,,,-12843000,720504000.0,2291629000.0,1995000,2192762000.0,1971254000.0,25547000,-52812000,-9963000,12034000,0.0,,,,-4939000,,542000.0,39647000,3008000.0,,,,,,,,,,,,
2012-03-31,35507000,35120000.0,,35120000.0,69491000,-184563000,2295000.0,,1973458000.0,,84000.0,-220595000,160338000,11033000,-181719000.0,-27183000,9438000.0,296731000.0,-315000,-307000,36169000.0,0.0,12388000.0,-219000,22716000,1535757000.0,,836466000.0,48527000,-0.002748,-2321000,-220814000,35120000,,,43244000.0,65435000.0,26716000,508000.0,8150000,-0.002748,-509066000.0,874905000.0,71243000,114612147.0,,-194490000,918149000.0,2457596000.0,-315000,2392161000.0,2155177000.0,26105000,-34371000,-9916000,13020000,0.0,114612147.0,,,-2039000,,,40377000,0.0,,,,,,,,,,,,
2012-06-30,50120000,23977000.0,,23977000.0,35120000,-163211000,2291000.0,,2001932000.0,,863000.0,-5654000,-28523000,15932000,-199601000.0,-29293000,67347000.0,295665000.0,-19322000,-19314000,32688000.0,0.0,11297000.0,1278000,24730000,1475005000.0,,859318000.0,51531000,-0.16,-4856000,-4376000,23977000,,,59217000.0,51923000.0,30250000,4787000.0,17452000,-0.16,-567211000.0,899004000.0,76261000,114718000.0,,16102000,958221000.0,2436867000.0,-19322000,2384944000.0,2201533000.0,21756000,-11143000,-22019000,1411000,0.0,114718000.0,,,-864000,,,32375000,0.0,,,,,,,,,,,,
2012-09-30,39723000,8340000.0,,8340000.0,23977000,-26758000,2143000.0,,1985675000.0,,-2854000.0,-22728000,-24532000,14132000,-217397000.0,-15312000,2988000.0,287741000.0,-2952000,-2931000,30598000.0,0.0,14220000.0,-4319000,25809000,1286589000.0,,1000479000.0,52289000,-0.02,-1341000,-27047000,8340000,,,67260000.0,60193000.0,28975000,2520000.0,10265000,-0.02,-601002000.0,1040595000.0,78098000,109132000.0,,13214000,1107855000.0,2403913000.0,-2952000,2343720000.0,2203072000.0,35942000,-15637000,-150462000,12566000,0.0,109132000.0,,,2633000,,4643000.0,42024000,0.0,,,,,,,,,,,,
2012-12-31,34444000,15956000.0,,15956000.0,8340000,-42069000,2147000.0,,1992607000.0,-1817000.0,584000.0,-31318000,5942000,11896000,-235157000.0,62489000,71653000.0,282934000.0,-1836000,-1817000,11309000.0,0.0,13317000.0,-990000,22053000,1254266000.0,,1037359000.0,51368000,-0.02,-2188000,-31308000,15956000,,,63443000.0,66896000.0,28634000,5118000.0,5805000,-0.02,-633717000.0,1086052000.0,73421000,107206000.0,,259050000,1149495000.0,2414090000.0,-1836000,2347194000.0,2227764000.0,32982000,7616000,-205000,16924000,0.0,107206000.0,,,709000,24450000.0,5118000.0,38718000,0.0,,,,,,,,,,,,
2013-03-31,34838000,120958000.0,,120958000.0,15956000,-302175000,2243000.0,,2294639000.0,1347000.0,-5428000.0,-3739000,169190000,10916000,-368460000.0,-3814000,-23312000.0,408827000.0,1351000,1347000,11211000.0,802000.0,17861000.0,143000,23904000,1328853000.0,,1135693000.0,51903000,0.02,-1017000,-92125000,120958000,,-30856000.0,66929000.0,229328000.0,28564000,-1606000.0,6448000,0.02,-664607000.0,1179619000.0,75807000,108551500.0,,24198000,1246548000.0,2590204000.0,1351000,2360876000.0,2663099000.0,27937000,105002000,-272000,17065000,0.0,109452000.0,,,-4554000,24237000.0,4323000.0,40827000,105749000.0,,,,,,,,,,,,
2013-06-30,35800000,120871000.0,,120871000.0,120958000,-21497000,2261000.0,,2275029000.0,13925000.0,931000.0,-2371000,-35199000,4314000,-392102000.0,-1295000,1059000.0,403174000.0,14025000,13925000,10823000.0,5761000.0,97289000.0,-788000,22557000,1330518000.0,,1114204000.0,54068000,0.12,-648000,-8769000,120871000,,-32242000.0,71661000.0,257487000.0,29013000,-8922000.0,6217000,0.12,-683076000.0,1159481000.0,76625000,112805000.0,,41510000,1231142000.0,2574753000.0,14025000,2317266000.0,2667131000.0,43881000,-87000,0,18268000,0.0,113890000.0,,,9033000,28966000.0,340000.0,47822000,19835000.0,0.0,,,,,,,,,,,
2013-09-30,35561000,82181000.0,,82181000.0,120871000,-6630000,2358000.0,,2402952000.0,4625000.0,-9072000.0,-10376000,64850000,15188000,-415615000.0,80000,1009000.0,428595000.0,4823000,4625000,11262000.0,3656000.0,64456000.0,-10321000,25774000,1405806000.0,,1125792000.0,56132000,0.04,-1393000,-150397000,82181000,,-32499000.0,86795000.0,209500000.0,29077000,1955000.0,5980000,0.04,-712148000.0,1176014000.0,81906000,116257000.0,,36481000,1262809000.0,2681520000.0,4823000,2472020000.0,2818567000.0,46857000,-38690000,-15000,20571000,0.0,117511500.0,,,10257000,32327000.0,466000.0,49394000,103914000.0,0.0,,,,,,,,,,,
2013-12-31,39725000,18081000.0,,18081000.0,82181000,-1661000,2369000.0,,2526991000.0,3680000.0,-2362000.0,-8896000,30160000,13264000,-441169000.0,-340000,948000.0,459699000.0,4062000,3680000,11797000.0,759000.0,109337000.0,1955000,24818000,1387206000.0,,1214241000.0,58185000,0.04,-2200000,-123409000,18081000,,-33763000.0,82893000.0,175000000.0,33250000,-2223000.0,5803000,0.04,-742060000.0,1269692000.0,83003000,118402500.0,,20253000,1352585000.0,2752334000.0,4062000,2577334000.0,2968160000.0,29149000,-64100000,-235000,18460000,0.0,119669500.0,,,-6805000,35339000.0,519000.0,50866000,11159000.0,0.0,,,,,,,,,,,
2014-03-31,41241000,27359000.0,,27359000.0,18081000,-11901000,2373000.0,,2498989000.0,5434000.0,-1739000.0,-5570000,-18205000,13249000,-477487000.0,-1680000,0.0,459353000.0,5292000,5434000,11399000.0,708000.0,112591000.0,-396000,29589000,1359204000.0,,1232282000.0,60863000,0.04,-1791000,-5966000,27359000,,-34052000.0,78973000.0,186980000.0,34111000,841000.0,6299000,0.04,-770878000.0,1284777000.0,90452000,118643500.0,,27879000,1363750000.0,2735246000.0,5292000,2548266000.0,2976476000.0,33449000,9278000,-572000,19622000,0.0,119911500.0,,,-8424000,32802000.0,1388000.0,53625000,0.0,0.0,,,,,,,,,,,
2014-06-30,39505000,132719000.0,,132719000.0,27359000,-223313000,2389000.0,,2685472000.0,2883000.0,-1125000.0,-4694000,179317000,13149000,-509042000.0,-1892000,0.0,474044000.0,2855000,2883000,11686000.0,857000.0,114459000.0,14160000,27064000,1346568000.0,,1520445000.0,61882000,0.02,-7070000,-113720000,132719000,,-34109000.0,81198000.0,280048000.0,32879000,866000.0,5903000,0.02,-802366000.0,1575112000.0,88946000,119012500.0,,35069000,1656310000.0,3014571000.0,2855000,2734523000.0,3194514000.0,39763000,105360000,0,22377000,0.0,120275500.0,,,1059000,34032000.0,866000.0,49634000,18016000.0,0.0,,,,,,,,,,,
2014-09-30,41737000,18415000.0,,18415000.0,132719000,-88175000,2389000.0,,2721684000.0,16220000.0,-1579000.0,-13903000,-67347000,15552000,-518647000.0,-4827000,22930000.0,455765000.0,16032000,16220000,11520000.0,807000.0,141561000.0,-23082000,28526000,1329099000.0,,1497136000.0,66751000,0.14,6501000,-103295000,18415000,,-34345000.0,98163000.0,222755000.0,34178000,-1539000.0,5935000,0.14,-820978000.0,1547976000.0,95277000,119484000.0,,42435000,1646139000.0,2986801000.0,16032000,2764046000.0,3240331000.0,56338000,-114304000,0,25014000,0.0,120716000.0,,,13692000,31935000.0,1025000.0,67574000,0.0,0.0,,,,,,,,,,,
2014-12-31,42896000,10413000.0,,10413000.0,18415000,-181847000,1251000.0,,2822844000.0,21457000.0,-4809000.0,-4870000,-10230000,15539000,-549976000.0,-8245000,0.0,462776000.0,21192000,21457000,12425000.0,0.0,144106000.0,7070000,28329000,1447139000.0,,1412461000.0,66567000,0.17,13225000,-36721000,10413000,,-34652000.0,101042000.0,175318000.0,36020000,1104000.0,6810000,0.17,-836044000.0,1464187000.0,94896000,122439000.0,,34079000,1565229000.0,3041650000.0,21192000,2866332000.0,3372820000.0,38949000,-8002000,-484000,23671000,0.0,123732000.0,,,-5344000,32687000.0,1104000.0,73082000,133998000.0,0.0,,,,,,,,,,,
2015-03-31,43170000,13517000.0,,13517000.0,10413000,-100960000,1252000.0,,2825410000.0,6942000.0,-723000.0,-6524000,8054000,14359000,-583166000.0,-419000,0.0,465325000.0,6804000,6942000,12464000.0,34201000.0,75537000.0,-321000,30697000,1418256000.0,,1458598000.0,67755000,0.05,-3352000,-42145000,13517000,,-36275000.0,84823000.0,144244000.0,35788000,2010000.0,6575000,0.05,-865549000.0,1517184000.0,98452000,125175000.0,,30671000,1602007000.0,3049086000.0,6804000,2904842000.0,3408576000.0,37195000,3104000,-1292000,24585000,0.0,127105000.0,,,-9605000,38947000.0,1914000.0,57896000,,0.0,,,,,,,,,,,
2015-06-30,44290000,16577000.0,,16577000.0,13517000,-133211000,1252000.0,,2989817000.0,9488000.0,-3162000.0,-6607000,143870000,14979000,-617105000.0,-604000,0.0,482344000.0,9292000,9488000,23585000.0,0.0,148343000.0,4871000,29237000,1392446000.0,,1639001000.0,70006000,0.07,-1317000,-190781000,16577000,,-36309000.0,85003000.0,181169000.0,37117000,-1314000.0,6224000,0.07,-892543000.0,1712227000.0,99243000,125194000.0,,43364000,1797230000.0,3218112000.0,9292000,3036943000.0,3606922000.0,49971000,3060000,-6000,25716000,0.0,127124000.0,,,1813000,43176000.0,1190000.0,62533000,,0.0,,,,,,,,,,,
2015-09-30,46948000,11146000.0,,11146000.0,16577000,-88978000,1270000.0,,2959086000.0,6554000.0,-2136000.0,-4199000,-55686000,14439000,-641619000.0,-701000,0.0,473871000.0,6463000,6554000,26970000.0,32319000.0,72066000.0,-1556000,32921000,1406416000.0,,1575965000.0,70954000,0.05,-3080000,-1238000,11146000,,-36307000.0,95029000.0,144988000.0,39806000,1358000.0,6430000,0.05,-923556000.0,1650206000.0,103875000,126863000.0,,47294000,1745235000.0,3179586000.0,6463000,3034598000.0,3600705000.0,51493000,-5431000,-24000,24006000,0.0,128793000.0,,,1076000,39261000.0,1358000.0,61511000,44324000.0,0.0,,,,,,,,,,,
2015-12-31,45304000,13070000.0,,13070000.0,11146000,-43707000,1270000.0,,2959468000.0,10573000.0,-1487000.0,-11940000,-15412000,14330000,-676144000.0,-879000,0.0,472916000.0,10372000,10573000,26611000.0,0.0,141703000.0,1717000,30535000,1379424000.0,,1590696000.0,71448000,0.08,-1307000,-35100000,13070000,,-37481000.0,94933000.0,170665000.0,38903000,-122000.0,6349000,0.08,-950652000.0,1670409000.0,101983000,127035000.0,,40496000,1765342000.0,3172300000.0,10372000,3001635000.0,3635612000.0,52436000,1924000,-345000,26144000,0.0,128965000.0,,,3013000,46295000.0,1262000.0,63858000,0.0,0.0,,,,,,,,,,,
2016-03-31,44601000,13827000.0,,13827000.0,13070000,-89761000,1307000.0,,3093825000.0,10036000.0,-1438000.0,-8824000,128614000,14773000,-712381000.0,-8000,0.0,489679000.0,9860000,10036000,31538000.0,0.0,143012000.0,-799000,33353000,1444113000.0,,1667320000.0,73897000,0.08,-4552000,-168309000,13827000,,-37473000.0,85453000.0,173526000.0,37091000,1803000.0,6773000,0.08,-979332000.0,1756015000.0,107250000,129336000.0,,31628000,1841468000.0,3310519000.0,9860000,3136993000.0,3806206000.0,40452000,757000,-1901000,29296000,0.0,131240000.0,,,-11362000,47993000.0,1803000.0,62637000,91757000.0,0.0,,,,,,,,,,,
2016-06-30,51551000,8148000.0,,8148000.0,13827000,-226030000,1378000.0,,3316885000.0,13516000.0,771000.0,-13002000,105708000,14648000,-741186000.0,-558000,0.0,504627000.0,13074000,13516000,37226000.0,0.0,145851000.0,373000,35061000,1619759000.0,,1631642000.0,78083000,0.09,1542000,-167335000,8148000,,-38545000.0,90123000.0,170267000.0,44271000,1230000.0,6813000,0.1,-1006888000.0,1729964000.0,113144000,136528000.0,,42946000,1820087000.0,3532289000.0,13074000,3362022000.0,4058071000.0,55948000,-5679000,-386000,26532000,0.0,140512000.0,,,169000,46241000.0,1230000.0,72902000,201227000.0,0.0,,,,,,,,,,,
2016-09-30,55157000,17938000.0,,17938000.0,8148000,-641662000,1417000.0,,3475698000.0,6639000.0,-13384000.0,-12238000,163369000,16938000,-779378000.0,-4826000,0.0,514162000.0,6427000,6639000,36928000.0,0.0,160837000.0,2569000,36885000,1712006000.0,,1712598000.0,81367000,0.04,-2721000,-205436000,17938000,,-40637000.0,104202000.0,192464000.0,47366000,2103000.0,7293000,0.05,-1042977000.0,1808435000.0,118252000,138807000.0,,39619000,1912637000.0,3715890000.0,6427000,3523426000.0,4255076000.0,51857000,9790000,-138000,26210000,0.0,143138000.0,,,-6067000,44828000.0,2103000.0,71441000,125907000.0,0.0,,,,,,,,,,,
2016-12-31,54330000,11231000.0,,11231000.0,17938000,-12482000,1417000.0,,3503020000.0,17154000.0,-8029000.0,-8930000,3090000,15787000,-817593000.0,-2692000,0.0,513889000.0,16551000,17154000,37056000.0,0.0,173461000.0,-65000,38452000,1687274000.0,,1768905000.0,83465000,0.11,3684000,-65235000,11231000,,-42519000.0,105034000.0,198506000.0,46557000,-1553000.0,7894000,0.12,-1068961000.0,1862393000.0,121917000,141727000.0,,46508000,1967427000.0,3747844000.0,16551000,3549338000.0,4320613000.0,55438000,-6707000,-217000,29135000,0.0,146050000.0,,,-5387000,49859000.0,1935000.0,79498000,0.0,0.0,,,,,,,,,,,
2017-03-31,55479000,16034000.0,,16034000.0,11231000,-50155000,1418000.0,,3503920000.0,14000000.0,-7771000.0,-12894000,-5127000,16382000,-856986000.0,-1318000,0.0,512860000.0,13545000,14000000,36009000.0,0.0,179719000.0,5771000,39020000,1657001000.0,,1811208000.0,84973000,0.09,534000,-37083000,16034000,,-42536000.0,98222000.0,203796000.0,46213000,1691000.0,8423000,0.1,-1098561000.0,1904940000.0,123993000,141780000.0,,34119000,2003162000.0,3753017000.0,13545000,3549221000.0,4360906000.0,47013000,4803000,-3118000,29494000,0.0,146117000.0,,-85000.0,-15023000,51409000.0,2530000.0,77438000,0.0,0.0,,,,,,,,,,,
2017-06-30,63825000,91444000.0,,91444000.0,16034000,-417164000,2006000.0,,5889161000.0,-5852000.0,4802000.0,-13128000,2257459000,17945000,-907728000.0,-19231000,0.0,744066000.0,-5918000,-5852000,78779000.0,0.0,175340000.0,-25133000,43523000,3221066000.0,68901000.0,2784162000.0,96002000,-0.03,-20438000,-2275557000,91444000,,-43147000.0,135214000.0,299960000.0,54323000,1264000.0,8472000,-0.03,-1164607000.0,2924459000.0,139525000,176464000.0,,80380000,3059673000.0,6366758000.0,-5918000,6066798000.0,6796889000.0,93508000,75410000,-221000,32177000,0.0,176464000.0,,-816000.0,28233000,55286000.0,1309000.0,67446000,1624222000.0,0.0,,,,,,,,,,,
2017-09-30,78774000,9410000.0,,9410000.0,91444000,-136125000,2007000.0,0.0,6004285000.0,13957000.0,-17520000.0,-16968000,4776000,26188000,-973566000.0,-8831000,0.0,756616000.0,13763000,13957000,69852000.0,0.0,206030000.0,15707000,56331000,3175565000.0,68303000.0,2856758000.0,119100000,0.07,-744000,-174831000,9410000,,-60194000.0,159070000.0,232909000.0,68521000,1654000.0,8283000,0.07,-1212051000.0,2994145000.0,175431000,200674000.0,0.0,71053000,3153215000.0,6413522000.0,13763000,6180613000.0,6977851000.0,88021000,-82034000,-74000,40326000,0.0,204795000.0,,-615000.0,3025000,61402000.0,1654000.0,110636000,0.0,0.0,,,,,,,,,,,
2017-12-31,80311000,100356000.0,61222000.0,100356000.0,9410000,-131580000,2049000.0,0.0,5947874000.0,43472000.0,-13244000.0,-21843000,-16040000,25860000,-1021691000.0,-984000,0.0,745913000.0,42526000,43472000,68203000.0,0.0,207857000.0,10363000,53273000,3278782000.0,68577000.0,2781031000.0,120334000,0.2,29146000,32375000,118560000,,-61210000.0,167852000.0,326417000.0,69987000,10206000.0,8225000,0.21,-1232069000.0,2918282000.0,173607000,204434000.0,0.0,57158000,3086134000.0,6449582000.0,42526000,6123165000.0,6969565000.0,79001000,95336000,0,40023000,0.0,208626000.0,,274000.0,-7017000,61222000.0,1377000.0,141418000,122734000.0,0.0,,,,,,,,,,,
