date,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyChangesInAccountReceivables,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDilutedAverageShares,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyChangeInInventory,quarterlyInventory,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1995-09-30,,0,,6600000,,17000000,82300000,0.0075,100000,,-15400000,4200000,0.0,3100000.0,,3100000.0,,9300000.0,11900000,,,70016000.0,,57200000,4700000,,59800000,6700000,-7000000,4800000,5400000,44400000,2500000,,10700000.0,,300000.0,2400000,,6700000,10000000,-2300000,59200000,26600000,71500000,17000000,,118900000,4100000,47400000,0.0075,1100000,,,36600000,3000000,,100000,23700000,4100000,4100000,8900000,-6900000,,70016000.0,0,-100000,,53600000,,,33500000,,,,,
1995-12-31,,0,,5500000,,18700000,133900000,,0,,-16400000,27300000,10000000.0,2800000.0,,2800000.0,,200000.0,13000000,-5700000.0,,,,50900000,600000,,68400000,5300000,-8800000,30200000,5000000,52000000,1900000,,200000.0,,47900000.0,-300000,,6400000,1500000,-8200000,62700000,18200000,98600000,17600000,,153600000,3600000,55000000,,300000,1100000.0,,19700000,3000000,,0,24000000,3600000,3600000,400000,-31100000,800000.0,,0,400000,-5400000.0,59000000,,,26900000,,,,,
1996-03-31,,2800000,,6500000,,16300000,139700000,0.00625,100000,,-17000000,24000000,9100000.0,2800000.0,,2800000.0,,200000.0,25900000,-300000.0,,83424000.0,,55300000,3800000,,75100000,6100000,-7500000,900000,5600000,58100000,2400000,,,,,0,,6100000,1700000,-3700000,66800000,31700000,111800000,16300000,,173100000,4100000,61300000,0.00625,1300000,,-6500000.0,33400000,3200000,,0,22400000,4100000,4100000,400000,-4700000,,83424000.0,0,300000,,74200000,,,32900000,,,,,
1996-06-30,,0,,7900000,,20500000,145100000,0.0075,100000,,-18400000,11200000,16800000.0,3500000.0,,3500000.0,,200000.0,19100000,-8000000.0,,83560000.0,,68800000,-3100000,,83200000,7700000,-8300000,400000,7200000,64800000,3000000,,,,,600000,,7700000,1700000,-11400000,71800000,26500000,105300000,20500000,,173300000,4900000,68000000,0.0075,1400000,,-5200000.0,28200000,3200000,,1400000,28200000,4900000,4900000,300000,3300000,,83560000.0,0,200000,,77800000,,,40600000,,,,,
1996-09-30,,0,,8500000,,21000000,150800000,0.008125,100000,,-19900000,9700000,4200000.0,3700000.0,,3700000.0,,100000.0,19500000,1000000.0,,83632000.0,,70400000,6500000,,91500000,8200000,-8400000,100000,8600000,71600000,3100000,,,,200000.0,300000,,8200000,1500000,-1900000,77200000,28200000,105600000,21000000,,180500000,5400000,74900000,0.008125,1200000,,-2200000.0,29700000,3300000,,0,29200000,5400000,5400000,300000,-6300000,,83632000.0,0,300000,,80300000,,,41200000,,,,,
1996-12-31,,0,,7100000,,28000000,155800000,,-200000,,-21400000,3800000,4800000.0,1200000.0,,1200000.0,,3200000.0,17300000,-15800000.0,,,,64700000,-2300000,,101200000,6700000,-10300000,3300000,5200000,79800000,2600000,,,,300000.0,-2500000,,6700000,2100000,-12600000,81700000,25700000,100200000,21900000,,183600000,4500000,83400000,,400000,,1400000.0,27800000,3600000,,0,34700000,4500000,4500000,200000,-3500000,1500000.0,,0,400000,,83900000,,,30000000,,,,,
1997-03-31,,1200000,,8000000,,21300000,161900000,0.0075,0,,-22900000,2900000,,3800000.0,,3800000.0,,5100000.0,20900000,,,84016000.0,,68500000,9500000,,109800000,7900000,-9000000,2100000,9200000,86900000,3000000,,,,100000.0,2600000,,7900000,2200000,500000,86700000,35200000,108500000,21300000,,199300000,5000000,90800000,0.0075,2000000,,,37400000,3900000,,0,29200000,5000000,5000000,200000,-9000000,,84016000.0,0,100000,,90200000,,,39300000,,,,,
1997-06-30,,0,,9700000,,25200000,168700000,0.009375,-500000,,-24800000,2600000,,2000000.0,,2000000.0,,11800000.0,22300000,,,84240000.0,,82400000,-1800000,,116500000,9500000,-7000000,7200000,10300000,91700000,3600000,,,,600000.0,-1800000,,9500000,2200000,-8800000,92700000,44400000,119100000,25200000,,215300000,6100000,96200000,0.009375,2000000,,,46600000,4500000,,0,34700000,6100000,6100000,200000,-7300000,,84240000.0,0,200000,,100100000,,,47700000,,,,,
1997-09-30,,0,,10500000,,26100000,175900000,0.02,-300000,,-26900000,3900000,,1600000.0,,1600000.0,,100000.0,25400000,,,84392000.0,,87500000,6500000,,125500000,10400000,-9100000,2500000,12300000,98600000,3900000,,,,500000.0,-400000,,10400000,16000000,-2600000,99300000,37800000,126400000,26100000,,229700000,6600000,103300000,0.02,2100000,,,53800000,4700000,,0,36500000,6600000,6600000,13900000,-9300000,,84392000.0,0,100000,,107300000,,,51000000,,,,,
1997-12-31,,0,,9300000,,33300000,182000000,,0,,-29100000,7500000,,2300000.0,,2300000.0,,100000.0,29700000,,,,,78000000,3700000,,137500000,9200000,-12100000,9100000,10600000,108400000,3900000,,,,300000.0,700000,,9200000,25200000,-8400000,104800000,40400000,134100000,25000000,,247600000,5400000,113500000,,500000,,,65600000,5100000,,0,42500000,5400000,5400000,22600000,-12100000,2100000.0,,0,300000,,111800000,,,35500000,,,,,
1998-03-31,,2300000,,9400000,,40100000,189600000,0.0175,100000,,-30100000,21800000,,1900000.0,,1900000.0,,2000000.0,50000000,,,84796000.0,,118300000,3700000,,170200000,10600000,-64700000,60500000,31900000,140100000,3600000,,-2100000.0,,500000.0,-400000,,10600000,130700000,-61000000,110600000,83900000,252100000,40100000,,404200000,5800000,152100000,0.0175,6600000,,,214600000,12000000,,0,50700000,5800000,5800000,124100000,-64600000,,84796000.0,0,-1200000,,204700000,,,67600000,,,,,
1998-06-30,,0,,12400000,,52500000,197700000,0.0225,-100000,,-74700000,16000000,,1400000.0,,1400000.0,,7000000.0,44800000,,,85000000.0,,165200000,-7000000,,225400000,13700000,-5300000,9500000,28600000,150700000,4700000,,-14700000.0,,400000.0,-500000,,13700000,143400000,-12300000,118200000,80400000,256900000,52500000,,421500000,7700000,164600000,0.0225,12600000,,,223800000,13900000,,-100000,66200000,7700000,7700000,130800000,-3000000,,85000000.0,0,-1400000,,213900000,,,99000000,,,,,
1998-09-30,,0,,13500000,,53900000,206700000,0.02375,-500000,,-78400000,14200000,,1600000.0,,1600000.0,,7100000.0,40100000,,,85148000.0,,172800000,-13400000,,241600000,15500000,-16600000,30500000,37000000,163200000,5100000,,-21800000.0,,500000.0,200000,,15500000,163200000,-30000000,126600000,84200000,277100000,53900000,,454100000,8400000,177000000,0.025,2700000,,,247400000,13800000,,200000,69400000,8400000,8400000,160500000,-16900000,,85148000.0,0,-2000000,,234800000,,,103400000,,,,,
1998-12-31,,0,,14700000,,67000000,218400000,,200000,,-39300000,35600000,,1700000.0,,1700000.0,,13700000.0,66700000,,,,,160000000,-2400000,,210300000,16900000,-20400000,18800000,22100000,171000000,5800000,,38500000.0,,1700000.0,100000,,16900000,172400000,-22800000,135500000,102500000,310900000,54800000,,493300000,8900000,182400000,,2200000,,,274900000,11400000,,-100000,83900000,8900000,8900000,170200000,-16300000,,,0,6000000,,246000000,,,76100000,,,,,
1999-03-31,,1700000,,13900000,,54700000,342400000,0.025,600000,,-42800000,8500000,,3200000.0,,3200000.0,,10300000.0,76600000,,,98912000.0,,166400000,18300000,,223500000,16300000,-15300000,-8200000,27800000,180700000,5300000,,9700000.0,,5200000.0,1500000,,16300000,56400000,3000000,144100000,114700000,321800000,54700000,,513500000,8600000,191700000,0.025,700000,,,171100000,11000000,,106800000,71000000,8600000,8600000,55700000,-8600000,,98912000.0,0,-2300000,,260800000,,,95400000,,,,,
1999-06-30,,0,,19100000,,62200000,375400000,0.02875,200000,,-47000000,10100000,,4100000.0,,4100000.0,,13800000.0,82300000,,,101356000.0,,196100000,-1600000,,239000000,19600000,-17100000,18800000,33500000,192000000,7300000,,-13400000.0,,126000000.0,900000,,19600000,52300000,-18700000,155900000,129600000,351500000,62200000,,557300000,11800000,205800000,0.03,600000,,,181900000,13800000,,-106700000,81800000,11800000,11800000,51700000,-16300000,,101356000.0,0,-600000,,285400000,,,114300000,,,,,
1999-09-30,300000.0,0,,21700000,,65800000,389700000,0.0325,100000,,-51300000,3500000,,2700000.0,,3200000.0,,17800000.0,79600000,,,101464000.0,,208400000,16800000,,260600000,22200000,-21700000,3300000,43200000,209300000,8300000,,3400000.0,500000.0,700000.0,-1400000,,22200000,51000000,-4900000,169300000,140600000,350300000,65800000,,581300000,13400000,231000000,0.03375,600000,,,191600000,21700000,,-100000,88000000,13400000,13400000,50400000,-21500000,,101464000.0,2700000,-600000,,288800000,,,120400000,,,,,
1999-12-31,500000.0,2700000,,18300000,,83600000,403000000,,300000,,-56300000,5400000,,9800000.0,,10300000.0,,19400000.0,64900000,,,,,183200000,-3800000,,292800000,18800000,-31900000,42200000,30700000,236500000,6500000,,200000.0,500000.0,700000.0,7100000,,18800000,92400000,-35700000,180900000,115000000,364400000,65700000,,610400000,11800000,246000000,,500000,,,207400000,9500000,,0,102400000,11800000,11800000,90700000,-31400000,1200000.0,,9800000,4400000,,293900000,,,80800000,,,,,
2000-03-31,510000.0,9791000,,18596000,,65226000,417274000,0.115,164000,,-61256000,3452000,,9432000.0,,9932000.0,,19523000.0,61651000,,,101656000.0,,195758000,11518000,,313855000,19486000,-21988000,9558000,32755000,252599000,7029000,,-49000.0,500000.0,151000.0,-359000,,19486000,102332000,-10470000,192475000,113929000,371805000,65226000,,633535000,11567000,261730000,0.115,483000,,,216261000,9131000,,0,84712000,11567000,11567000,100303000,-21435000,1546000.0,102472000.0,9432000,-890000,,307947000,,,111046000,,,,,
2000-06-30,512000.0,9432000,,23159000,,72468000,433925000,0.14,112000,,-66482000,5546000,,10985000.0,,11485000.0,,19358000.0,67126000,,,102222000.0,,226359000,2897000,,334397000,24793000,-21069000,19457000,35760000,267915000,8800000,,,500000.0,1688000.0,1553000,,24793000,120819000,-18172000,206828000,122244000,398351000,72468000,,676988000,14359000,278637000,0.14,488000,,,243063000,10722000,,1000,97261000,14359000,14359000,118236000,-20801000,2095000.0,103096000.0,10985000,-1634000,,328143000,,,129098000,,,,,
2000-09-30,514000.0,10985000,,26729000,,77058000,452180000,0.16,-584000,,-72240000,4730000,,12269000.0,,12769000.0,,19177000.0,72471000,,,102602000.0,,251413000,2964000,,354862000,28805000,-21472000,19855000,37526000,282622000,10157000,,,500000.0,1290000.0,1284000,,28805000,140653000,-18508000,223400000,129174000,429161000,77058000,,722007000,16572000,292846000,0.16,448000,,,269827000,10224000,,-1000,105863000,16572000,16572000,136983000,-21535000,3222000.0,103712000.0,12269000,-2076000,,347922000,,,145550000,,,,,
2000-12-31,515000.0,12269000,,14681000,,102662000,463731000,,-11083000,,-76167000,5583000,,9204000.0,,9704000.0,,49121000.0,68947000,,,,,216891000,-11547000,,323021000,17021000,-17458000,-14772000,34864000,246854000,5465000,,,500000.0,2225000.0,-3065000,,17021000,99332000,-29005000,232616000,152932000,449204000,77850000,,715995000,9216000,266791000,,4783000,,,252264000,19937000,,0,119683000,9216000,9216000,90463000,23254000,4086000.0,,9204000,5583000,,372069000,,,97208000,,,,,
2001-03-31,517000.0,9204000,,19802000,,80585000,478085000,0.12,-564000,,-82517000,3854000,,11539000.0,,12039000.0,,24421000.0,62612000,-3755000.0,,103182000.0,,239063000,8562000,,334641000,21952000,-11923000,6156000,32916000,252124000,7485000,,,500000.0,1037000.0,2335000,,21952000,129530000,-3361000,244933000,122400000,457929000,80585000,,730015000,12317000,272086000,0.12,4733000,,,251930000,19962000,,499000,102537000,12317000,12317000,119784000,-12383000,5013000.0,104094000.0,11539000,-2150000,,383136000,,58808000.0,136526000,,,,,
2001-06-30,522000.0,11539000,,29001000,,87047000,505770000,0.17,-296000,,-89408000,3666000,,16801000.0,,17301000.0,,14908000.0,72056000,15168000.0,,103646000.0,,280676000,33154000,,354223000,30880000,-16629000,-11764000,40323000,264815000,11015000,,,500000.0,6268000.0,5262000,,30880000,122759000,16525000,262919000,129474000,476628000,87047000,,758003000,17986000,281375000,0.175,4686000,,,252233000,16560000,,-488000,117927000,17986000,17986000,112197000,-16128000,5876000.0,104854000.0,16801000,-1879000,,397709000,,41401000.0,162749000,,,,,
2001-09-30,526000.0,16801000,,32390000,,91219000,533665000,0.19,362000,,-96357000,1311000,,33279000.0,,33779000.0,,15241000.0,67566000,,,104808000.0,,293996000,30548000,,365038000,34257000,-17913000,-2373000,57018000,268681000,12250000,,,500000.0,5178000.0,16478000,,34257000,115881000,12635000,283060000,140444000,504863000,91219000,,789990000,20140000,285127000,0.19,4636000,,,256325000,16446000,,3000,125476000,20140000,20140000,104309000,-11697000,6936000.0,106410000.0,33279000,-1867000,,395694000,,39109000.0,168520000,,,,,
2001-12-31,528000.0,33279000,,25533000,,95136000,556291000,,3175000,,-103361000,3495000,,15041000.0,,15541000.0,,16843000.0,61875000,,,,,278377000,-22235000,,392365000,26742000,-22056000,41635000,15514000,289004000,9625000,,,500000.0,4619000.0,-18238000,,26742000,179432000,-44291000,298968000,121136000,550663000,95136000,,856859000,15908000,306196000,,4673000,,,300568000,17192000,,-14000,121878000,15908000,15908000,165618000,-37638000,9141000.0,,15041000,6521000,,447793000,26904000.0,41486000.0,156499000,,,,,
2002-03-31,529000.0,15041000,,26767000,,97390000,575024000,0.155,553000,,-111226000,4429000,,20391000.0,,20891000.0,,11069000.0,72351000,11319000.0,,105768000.0,,295489000,27961000,,413249000,28638000,-21428000,-1901000,53654000,302023000,10125000,,,500000.0,1347000.0,5350000,,28638000,181332000,6533000,315610000,138427000,573531000,97390000,,894783000,16642000,321252000,0.155,4609000,,,319759000,19229000,,0,126028000,16642000,16642000,168145000,-20710000,8578000.0,107214000.0,20391000,-1871000,,462061000,,46244000.0,169461000,,,,,
2002-06-30,531000.0,20391000,,36242000,,106417000,602786000,0.21,-320000,,-119692000,3752000,,27352000.0,,27852000.0,,4515000.0,95775000,,,106116000.0,,343181000,32859000,,436569000,37769000,-23915000,-2792000,22730000,316877000,13695000,,,500000.0,2158000.0,6961000,,37769000,185642000,8944000,338157000,156017000,608220000,106417000,,944445000,22547000,336225000,0.21,5293000,,,341659000,19348000,,0,144186000,22547000,22547000,170560000,-23106000,9789000.0,107396000.0,27352000,-1527000,,479546000,32997000.0,52777000.0,198995000,,,,,
2002-09-30,533000.0,27352000,,38751000,,111473000,630139000,0.225,-1492000,,-128847000,3482000,,31881000.0,,32381000.0,,748000.0,92643000,,,106374000.0,,359579000,44304000,,463221000,40723000,-27267000,-11168000,36259000,334374000,14655000,,,500000.0,2540000.0,4529000,,40723000,178520000,17037000,362253000,166304000,619818000,111473000,,974963000,24096000,355145000,0.225,5178000,,,344824000,20771000,,0,152196000,24096000,24096000,160619000,-28607000,12723000.0,107430000.0,31881000,-1972000,,490402000,36654000.0,50133000.0,207383000,,,,,
2002-12-31,534000.0,31881000,,29222000,,99819000,650524000,,-4147000,,-137922000,4235000,,29333000.0,,29333000.0,,682000.0,85370000,,,,,314241000,-591000,,491523000,31171000,-29647000,31005000,26948000,353601000,10515000,,,,1220000.0,-2548000,,31171000,211473000,-30238000,380960000,147422000,631045000,99819000,,1009419000,18707000,378374000,,5064000,,,358895000,24773000,,0,130990000,18707000,18707000,190470000,-32962000,15939000.0,,29333000,6310000,,504098000,34422000.0,45421000.0,183251000,,,,,
2003-03-31,535000.0,29333000,,31578000,,107605000,673110000,0.185,-1801000,,-147788000,5014000,,19744000.0,,19744000.0,,578000.0,112552000,37616000.0,,106804000.0,,339475000,57344000,,523440000,33341000,-32189000,-33014000,29867000,375652000,11850000,,,,2190000.0,-9589000,,33341000,179906000,25155000,400688000,175647000,626592000,107605000,,1028663000,19728000,402071000,0.185,7187000,,,355553000,26419000,,0,140946000,19728000,19728000,155371000,-33919000,17348000.0,107506000.0,19744000,-1763000,,502506000,32096000.0,51644000.0,198529000,,,,,
2003-06-30,539000.0,19744000,,43074000,,120987000,710132000,0.25,-308000,,-157108000,5020000,,26230000.0,,26230000.0,,475000.0,142750000,28687000.0,,107268000.0,,393112000,55611000,,557916000,44726000,-35410000,-13807000,37609000,400808000,16150000,,,,6350000.0,6486000,,44726000,164445000,20201000,427612000,219225000,666473000,120987000,,1093802000,26924000,427329000,0.25,7103000,,,383670000,26521000,,0,165713000,26924000,26924000,135317000,-35318000,22025000.0,108444000.0,26230000,-1652000,,528006000,38391000.0,56344000.0,227399000,,,,,
2003-09-30,543000.0,26230000,,47183000,,127291000,748998000,0.27,-2816000,,-167071000,4719000,,33045000.0,,33045000.0,,407000.0,154767000,,,108180000.0,,412182000,59164000,,589309000,48362000,-32448000,-17713000,49651000,422238000,17650000,,,,7456000.0,6815000,,48362000,142586000,26716000,457145000,249033000,689326000,127291000,,1140617000,29533000,451291000,0.275,7133000,,,391619000,29053000,,0,175653000,29533000,29533000,110216000,-34636000,25237000.0,109728000.0,33045000,-1179000,,538463000,44208000.0,55870000.0,236529000,,,,,
2003-12-31,547000.0,33045000,,38207000,,117177000,784285000,,5584000,,-177084000,4399000,,21094000.0,,21094000.0,,925000.0,176513000,,,,,367047000,722000,,626142000,38846000,-36450000,18019000,23755000,449058000,14305000,,,,8166000.0,-11951000,,38846000,157439000,-35728000,481047000,245868000,687485000,117177000,,1187592000,23902000,500107000,,7014000,,,403307000,51049000,,0,156023000,23902000,23902000,120977000,-30692000,29448000.0,,21094000,5927000,,554309000,44675000.0,52235000.0,211024000,,,,,
2004-03-31,548000.0,21094000,,43326000,,125566000,814805000,0.245,-492000,,-185550000,9219000,,45337000.0,,45337000.0,,833000.0,216536000,54886000.0,,109388000.0,,403294000,82012000,,663294000,43772000,-40078000,-17866000,32047000,477744000,16200000,,,,2380000.0,24243000,,43772000,140530000,41934000,508173000,297642000,722638000,125566000,,1252977000,27126000,530339000,0.25,7129000,,,438172000,52595000,,0,169338000,27126000,27126000,100823000,-39903000,32578000.0,110762000.0,45337000,-446000,,561914000,48226000.0,58068000.0,233956000,,,,,
