date,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments,quarterlyCashDividendsPaid
1995-11-30,,,861500000.0,,151304348.0,14900000.0,,,41500000.0,319400000.0,,723000000.0,0.0,68100000,,0.0,-69100000.0,150500000.0,205900000.0,-26800000.0,-5300000.0,475800000.0,464200000.0,137800000.0,,9100000.0,0.23,,55400000.0,20600000.0,521400000.0,700800000.0,463000000,8500000.0,55400000,-69100000.0,-160700000.0,-3500000.0,8500000.0,57100000.0,34800000,34800000,126300000.0,,,151304348.0,3500000.0,257100000.0,,,600000.0,0.0,422500000.0,2900000.0,2900000.0,12700000.0,,6400000.0,,,,18500000.0,0.23,2000000.0,473300000.0,34800000,17700000.0,-12000000.0,720500000.0,1196300000.0,0.0,,,,,,
1996-02-29,,,907500000.0,,151666667.0,-67900000.0,,,31800000.0,335700000.0,,752800000.0,0.0,57100000,,0.0,-51800000.0,146300000.0,189700000.0,-65500000.0,10500000.0,533100000.0,527700000.0,132600000.0,,11800000.0,0.18,,43400000.0,16100000.0,548700000.0,739000000.0,425800000,68300000.0,43400000,-51800000.0,-168500000.0,100000.0,,-16400000.0,27300000,27300000,107600000.0,,,151666667.0,2500000.0,236100000.0,,,,0.0,488100000.0,3000000.0,3000000.0,13700000.0,,0.0,,,,84400000.0,0.18,2700000.0,539500000.0,27300000,17500000.0,-68200000.0,759200000.0,1292300000.0,-100000.0,,,,,,
1996-05-31,,,964200000.0,,150400000.0,-6100000.0,,,41500000.0,376800000.0,,794900000.0,0.0,75600000,,0.0,-62300000.0,170200000.0,230700000.0,-41700000.0,-8700000.0,592700000.0,589800000.0,155100000.0,,19300000.0,0.25,,59700000.0,22100000.0,586300000.0,787600000.0,524200000,21900000.0,60500000,-62300000.0,-176600000.0,-2500000.0,,37900000.0,37600000,37600000,115200000.0,,,150400000.0,8400000.0,293500000.0,,,,-100000.0,531300000.0,4800000.0,4800000.0,15100000.0,,0.0,,,700000.0,97800000.0,0.25,6300000.0,609100000.0,37600000,17400000.0,-24400000.0,811300000.0,1404000000.0,100000.0,,,,,,
1996-08-31,,,1061200000.0,,,-2900000.0,,,37800000.0,381300000.0,,865600000.0,0.0,131700000,,0.0,-96300000.0,262600000.0,372300000.0,-24700000.0,3600000.0,613100000.0,612900000.0,240600000.0,,19900000.0,,,108500000.0,41000000.0,628800000.0,862900000.0,829600000,-100000.0,109700000,-105000000.0,-198300000.0,-900000.0,,95600000.0,67500000,67500000,117200000.0,,,,3300000.0,457300000.0,,,,-1200000.0,555900000.0,3900000.0,3900000.0,22000000.0,,0.0,,,,114400000.0,,5200000.0,632800000.0,67500000,17200000.0,-9400000.0,885300000.0,1498400000.0,0.0,,,,,,
1996-11-30,,,1115300000.0,,115337257.0,-31900000.0,,,44000000.0,417300000.0,,906500000.0,0.0,79300000,,0.0,-54200000.0,195900000.0,257700000.0,-54600000.0,-10900000.0,676700000.0,541100000.0,178400000.0,,152800000.0,0.25,,60800000.0,22800000.0,666800000.0,899800000.0,569100000,41500000.0,61800000,-54200000.0,-215500000.0,0.0,19800000.0,12700000.0,38000000,38000000,121900000.0,,,115337257.0,2900000.0,311400000.0,,133000000.0,,200000.0,610500000.0,3900000.0,3900000.0,17500000.0,,3900000.0,,,1200000.0,1900000.0,0.25,6900000.0,693900000.0,38000000,17000000.0,-41500000.0,923700000.0,1600400000.0,0.0,,,,,,
1997-02-28,,,1164400000.0,,147000000.0,-85700000.0,,,41300000.0,390600000.0,,940300000.0,0.0,67200000,,0.0,-49100000.0,195700000.0,244900000.0,-53700000.0,800000.0,731100000.0,509100000.0,177700000.0,,235200000.0,0.19,,47100000.0,17700000.0,696200000.0,931100000.0,538000000,87300000.0,49200000,-49100000.0,-233300000.0,700000.0,19300000.0,-37500000.0,29400000,29400000,118500000.0,,,154736842.0,4400000.0,293100000.0,,215900000.0,,0.0,664200000.0,4600000.0,4600000.0,18000000.0,,0.0,,,2100000.0,,0.2,5500000.0,744300000.0,29400000,16900000.0,-86600000.0,953500000.0,1684600000.0,0.0,,,,,,
1997-05-31,,,1224600000.0,,148709677.0,13500000.0,,,46400000.0,467800000.0,,990500000.0,0.0,94900000,,0.0,-67100000.0,210300000.0,287100000.0,-86400000.0,-8300000.0,824200000.0,609100000.0,192200000.0,,227400000.0,0.3,,74100000.0,28000000.0,742300000.0,980100000.0,637900000,-2000000.0,76800000,-67100000.0,-244500000.0,200000.0,17700000.0,69400000.0,46100000,46100000,141300000.0,,,153666667.0,4200000.0,350800000.0,,209700000.0,,0.0,750600000.0,4800000.0,4800000.0,18100000.0,,0.0,,,2700000.0,,0.31,5900000.0,836500000.0,46100000,16800000.0,2300000.0,1002800000.0,1827000000.0,0.0,,,,,,
1997-08-31,,,1336900000.0,,,19500000.0,,,46000000.0,449800000.0,,1075200000.0,0.0,157500000,,0.0,-125000000.0,286700000.0,420000000.0,41100000.0,15500000.0,778800000.0,592500000.0,262500000.0,,216300000.0,,,130500000.0,49000000.0,823800000.0,1081100000.0,946300000,-8200000.0,133300000,-127100000.0,-255800000.0,-100000.0,17900000.0,132900000.0,81500000,81500000,142700000.0,,,,3100000.0,526300000.0,,198400000.0,,0.0,709400000.0,4700000.0,4700000.0,24200000.0,,0.0,,,2800000.0,,,7500000.0,808800000.0,81500000,16600000.0,5800000.0,1105200000.0,1884000000.0,0.0,,,,,,
1997-11-30,,,1419600000.0,,153225806.0,-4900000.0,,,45200000.0,465300000.0,,1131800000.0,0.0,98300000,,0.0,-70400000.0,221400000.0,300100000.0,-15400000.0,-5700000.0,796900000.0,602900000.0,201800000.0,,219600000.0,0.31,,76100000.0,28600000.0,871300000.0,1132000000.0,675300000,13600000.0,78700000,-70400000.0,-287600000.0,-300000.0,16600000.0,56500000.0,47500000,47500000,137600000.0,,,153225806.0,9000000.0,375200000.0,,203000000.0,,-100000.0,724900000.0,4400000.0,4400000.0,19600000.0,,4700000.0,,,2500000.0,,0.31,9000000.0,822500000.0,47500000,16400000.0,-13900000.0,1157400000.0,1954300000.0,0.0,,,,,,
1998-02-28,,,1463400000.0,,149565217.0,-64600000.0,,,43000000.0,399200000.0,,1168600000.0,0.0,78600000,,0.0,-55200000.0,216100000.0,274200000.0,5000000.0,2100000.0,787300000.0,533300000.0,195600000.0,,278900000.0,0.22,,55100000.0,20700000.0,905700000.0,1166900000.0,607100000,63300000.0,58100000,-55200000.0,-296500000.0,400000.0,15100000.0,-7600000.0,34400000,34400000,134100000.0,,,156363636.0,2500000.0,332900000.0,,263800000.0,,0.0,719800000.0,4800000.0,4800000.0,20500000.0,,0.0,,,3000000.0,,0.23,10300000.0,812200000.0,34400000,16300000.0,-62800000.0,1193500000.0,1980800000.0,0.0,,,,,,
1998-05-31,,,1570000000.0,,154000000.0,39900000.0,,,59600000.0,466100000.0,,1224700000.0,0.0,112900000,,0.0,-173700000.0,243000000.0,333500000.0,-24800000.0,-17800000.0,853300000.0,634600000.0,220600000.0,,351400000.0,0.35,,86200000.0,32300000.0,877700000.0,1243600000.0,743700000,76400000.0,90500000,-173700000.0,-326400000.0,1100000.0,13400000.0,98400000.0,53900000,53900000,168500000.0,,,154000000.0,7500000.0,410200000.0,,338000000.0,,-100000.0,768500000.0,5900000.0,5900000.0,22400000.0,,0.0,,,4200000.0,,0.35,58100000.0,986000000.0,53900000,55700000.0,-75300000.0,1357400000.0,2210700000.0,0.0,,,,,,
1998-08-31,,,1778500000.0,-23400000.0,,72500000.0,,,99500000.0,683400000.0,,1302100000.0,0.0,189300000,,6600000.0,-137900000.0,386900000.0,542100000.0,-12100000.0,600000.0,1117100000.0,859800000.0,352800000.0,,586200000.0,,,146700000.0,54600000.0,1051700000.0,1427500000.0,1216900000,-81200000.0,155200000,-137900000.0,-351000000.0,800000.0,41100000.0,219800000.0,92100000,92100000,176400000.0,,,,8700000.0,674800000.0,,545100000.0,,0.0,966600000.0,6600000.0,6600000.0,34100000.0,,0.0,,,8500000.0,,,22200000.0,1446000000.0,92100000,181300000.0,81900000.0,1631000000.0,2748100000.0,100000.0,,,,,,
1998-11-30,,,1941200000.0,-50300000.0,150882353.0,-25200000.0,,,86200000.0,659900000.0,,1303600000.0,0.0,118000000,,7100000.0,-190700000.0,315000000.0,404700000.0,-38400000.0,-13500000.0,1138000000.0,854400000.0,286700000.0,,782200000.0,0.34,,81300000.0,30000000.0,1103000000.0,1574500000.0,900900000,150300000.0,89700000,-190700000.0,-366700000.0,400000.0,37100000.0,40900000.0,51300000,51300000,194500000.0,,,150882353.0,500000.0,496200000.0,,745100000.0,,100000.0,1005000000.0,7100000.0,7100000.0,28300000.0,,6600000.0,,,8500000.0,,0.34,47500000.0,1636600000.0,51300000,180200000.0,-149800000.0,1802200000.0,2940200000.0,100000.0,,,,,,
1999-02-28,,,1995700000.0,-27200000.0,150000000.0,-87100000.0,,,103000000.0,634900000.0,,1319300000.0,0.0,95700000,,6300000.0,-74400000.0,314600000.0,381900000.0,-28000000.0,22400000.0,1145100000.0,845400000.0,286200000.0,,929600000.0,0.24,,57000000.0,21000000.0,1139000000.0,1600200000.0,852500000,73900000.0,67300000,-74400000.0,-395500000.0,-700000.0,90200000.0,-300000.0,36000000,36000000,210500000.0,,,150000000.0,6800000.0,470600000.0,,839400000.0,,-100000.0,995800000.0,6300000.0,6300000.0,28400000.0,,7100000.0,,,10200000.0,,0.24,68200000.0,1775000000.0,36000000,280800000.0,-74700000.0,1949200000.0,3094300000.0,-100000.0,,,,,,
