date,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyEbitda,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyPurchaseOfInvestment,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyInventory
2014-04-30,10476000,89230000,2013893000.0,487320000.0,-633778000.0,12523000,-39560000,-0.32,563934000.0,28874000,11824000,-670406000,29213000,159737000,-52083000,183084000.0,2206690000.0,-59389000,192797000.0,1051254000.0,21697000,-335325000,353230000,152994000.0,481000.0,12033000.0,-5007000.0,73889000.0,183084000.0,65171000,0.0,1619950000.0,2996000.0,246001000.0,1865951000.0,-2744000.0,307000,-26317000.0,89125000.0,-59082000,581326000,182000.0,,-9873000,-4695000,7708000.0,-7013000.0,8000000.0,60000,47949000.0,-63869000.0,14453000.0,-59389000,0.0,1155436000.0,57419000,32312000.0,1000000.0,99136000.0,30098000.0,-352366000,102318000,-6999000,246001000,-2430000,-59389000,,154401000,-0.32,473812000.0,388054000.0,,,,,,
2014-07-31,10665000,105445000,1980810000.0,489465000.0,-702993000.0,14474000,-47295000,-0.38,566592000.0,40782000,-37420000,-375779000,-5717000,186780000,-61769000,184319000.0,2194898000.0,-69215000,214088000.0,1056057000.0,-9011000,16633000,422380000,180313000.0,-37000.0,6561000.0,-3284000.0,72447000.0,184319000.0,77464000,0.0,1559748000.0,15169000.0,262634000.0,1822382000.0,-4418000.0,493000,0.0,105855000.0,-68722000,246001000,183000.0,,-28409000,7467000,7765000.0,-1441000.0,7470000.0,-7702000,54152000.0,-74458000.0,14181000.0,-69215000,20064000.0,1138841000.0,65640000,32312000.0,0.0,100534000.0,30180000.0,18192000,121140000,-6953000,262634000,-23000,-69215000,10000000.0,182909000,-0.38,479293000.0,409026000.0,,,,,,
2014-10-31,13631000,109477000,2009746000.0,537633000.0,-762905000.0,15682000,-35784000,-0.33,565469000.0,47008000,13343000,-454219000,24633000,215070000,-51466000,184310000.0,2232318000.0,-59912000,222572000.0,1103102000.0,41042000,-70492000,368984000,203290000.0,64000.0,9610000.0,0.0,66807000.0,184310000.0,85270000,0.0,1642517000.0,2615000.0,192142000.0,1834659000.0,-1123000.0,399000,0.0,116640000.0,-59513000,262634000,185000.0,,-27699000,1583000,7778000.0,-18598000.0,6939000.0,91000,52511000.0,-86650000.0,13807000.0,-59912000,0.0,1129216000.0,71789000,32312000.0,0.0,118943000.0,34508000.0,-112934000,143281000,-8047000,192142000,4056000,-59912000,10000000.0,194747000,-0.33,484855000.0,441324000.0,,,,,,
2015-01-31,11610000,117739000,2109039000.0,641265000.0,-822371000.0,16526000,-33858000,-0.32,591393000.0,39384000,10610000,-247436000,40221000,226273000,-50384000,185696000.0,2358633000.0,-59466000,249594000.0,1232658000.0,48275000,106050000,328042000,234259000.0,-140000.0,10623000.0,0.0,85593000.0,185696000.0,88963000,0.0,1559517000.0,0.0,298192000.0,1857709000.0,-1474000.0,811000,0.0,140136000.0,-58655000,192142000,186000.0,,-37665000,15100000,7809000.0,-69824000.0,6409000.0,1115000,53681000.0,-94123000.0,15299000.0,-59466000,20471000.0,1125975000.0,69955000,32312000.0,0.0,188357000.0,24132000.0,42941000,156318000,-8271000,298192000,-483000,-59466000,10000000.0,206702000,-0.32,490501000.0,547151000.0,,,,,,
2015-04-30,11612000,127112000,2120993000.0,666554000.0,-883929000.0,18569000,-34835000,-0.33,599980000.0,47274000,63879000,-385575000,78162000,250957000,-53404000,187390000.0,2382561000.0,-61558000,261568000.0,1266534000.0,94059000,-27708000,291407000,263388000.0,-279000.0,13320000.0,0.0,81211000.0,187390000.0,99335000,0.0,1651051000.0,3564000.0,270484000.0,1921535000.0,-1448000.0,918000,0.0,154537000.0,-60640000,298192000,188000.0,,-30180000,2533000,7885000.0,59717000.0,5878000.0,417000,52571000.0,-108851000.0,22539000.0,-61558000,20364000.0,1116027000.0,77914000,32312000.0,0.0,128493000.0,31336000.0,-124348000,173043000,-7236000,270484000,2752000,-61558000,10000000.0,226447000,-0.33,496230000.0,572212000.0,,,,,,
2015-07-31,15166000,142912000,2140528000.0,706271000.0,-953350000.0,19888000,-47752000,-0.37,605638000.0,64764000,-10281000,-492220000,-14886000,282696000,-67640000,189360000.0,2443884000.0,-69421000,303356000.0,1311909000.0,15511000,-39906000,452248000,297238000.0,320000.0,23668000.0,0.0,81281000.0,189360000.0,115345000,0.0,1676351000.0,19172000.0,230578000.0,1906929000.0,-1016000.0,-1998000,-7961000.0,172701000.0,-71419000,270484000,190000.0,,-25792000,18518000,7952000.0,-27570000.0,6504000.0,362000,66915000.0,-124537000.0,22312000.0,-69421000,0.0,1131975000.0,92079000,39930000.0,0.0,156282000.0,31706000.0,-73725000,190617000,-3779000,230578000,1428000,-69421000,27892000.0,258257000,-0.37,502045000.0,601807000.0,,,,,,
2015-10-31,11859000,149666000,2157075000.0,751681000.0,-1031161000.0,22260000,-47914000,-0.41,633945000.0,68659000,14866000,-624077000,30179000,305266000,-70174000,190727000.0,2511153000.0,-77811000,354078000.0,1385626000.0,55146000,-10685000,620457000,328821000.0,-54000.0,16953000.0,0.0,93206000.0,190727000.0,124020000,0.0,1676454000.0,2360000.0,219893000.0,1896347000.0,-663000.0,915000,-23577000.0,195004000.0,-76896000,230578000,191000.0,,-40280000,1943000,8001000.0,-14727000.0,21658000.0,246000,65173000.0,-133817000.0,32792000.0,-77811000,0.0,1125527000.0,101754000,51945000.0,0.0,170851000.0,45995000.0,-67477000,203512000,-6722000,219893000,-3719000,-77811000,29042000.0,273686000,-0.41,507947000.0,624819000.0,,,,,,
2016-01-31,14619000,162944000,2362308000.0,922679000.0,-1112289000.0,25222000,-48219000,-0.42,671258000.0,69273000,56506000,-640519000,70505000,323427000,-73441000,192485000.0,2730094000.0,-81128000,367786000.0,1593937000.0,98491000,80194000,643995000,364561000.0,799000.0,19605000.0,,130988000.0,192485000.0,131244000,0.0,1669372000.0,20560000.0,300087000.0,1969459000.0,-66000.0,1182000,102000.0,214158000.0,-79946000,219893000,193000.0,,-41985000,21115000,8094000.0,-122684000.0,18511000.0,621000,57738000.0,-150403000.0,32794000.0,-81128000,0.0,1136157000.0,102680000,50325000.0,-760000.0,293407000.0,43122000.0,-39269000,220747000,-6505000,300087000,6363000,-81128000,28742000.0,294188000,-0.42,507476000.0,768741000.0,,,,,,
2016-04-30,12154000,168674000,2372131000.0,970252000.0,-1192911000.0,26124000,-45332000,-0.41,677745000.0,78235000,126988000,-634056000,125575000,345430000,-73649000,194529000.0,2776153000.0,-80622000,404022000.0,1647997000.0,161466000,104517000,625788000,423790000.0,-9032000.0,18975000.0,,127970000.0,194529000.0,141778000,0.0,1675486000.0,3381000.0,404604000.0,2080090000.0,0.0,1135000,,254697000.0,-79487000,300087000,195000.0,,-34478000,3757000,8031000.0,101047000.0,16949000.0,376000,23535000.0,-169093000.0,35700000.0,-80622000,0.0,1128156000.0,108627000,50727000.0,388000.0,193100000.0,66372000.0,-61344000,236803000,-21000,404604000,-1722000,-80622000,28842000.0,310452000,-0.41,514075000.0,798086000.0,,,,,,
2016-07-31,14748000,184882000,2430090000.0,1007553000.0,-1300936000.0,26662000,-60235000,-0.55,681405000.0,88222000,-20281000,-557380000,-30284000,377723000,-86897000,197223000.0,2829804000.0,-108025000,399714000.0,1688958000.0,6258000,925000,568282000,442568000.0,-2588000.0,17135000.0,,124269000.0,197223000.0,161886000,0.0,1662381000.0,25395000.0,405529000.0,2067910000.0,0.0,-65000,-3670000.0,255118000.0,-108090000,404604000,198000.0,,-26539000,25590000,7914000.0,-55992000.0,18363000.0,195000,43485000.0,-187450000.0,36371000.0,-108025000,0.0,1140846000.0,117852000,52819000.0,-4684000.0,248658000.0,58880000.0,-30779000,259871000,-21193000,405529000,1542000,-108025000,13592000.0,346768000,-0.55,520765000.0,854845000.0,,,,,,
2016-10-31,13367000,207270000,2294595000.0,1098096000.0,-1415002000.0,30453000,-79431000,-0.57,687014000.0,100098000,43941000,-380620000,41607000,409582000,-109884000,199479000.0,2922569000.0,-114066000,627974000.0,1785110000.0,71459000,-18972000,512932000,540474000.0,2622000.0,28374000.0,,123179000.0,199479000.0,185311000,0.0,1527238000.0,4491000.0,386557000.0,1913795000.0,0.0,1077000,-144209000.0,334265000.0,-112989000,405529000,200000.0,,-27518000,4926000,7206000.0,-20360000.0,56220000.0,435000,48071000.0,-206209000.0,36288000.0,-114066000,23067000.0,1137459000.0,126885000,158195000.0,3900000.0,268945000.0,66075000.0,-95220000,282697000,-3105000,386557000,2260000,-114066000,14004000.0,392581000,-0.57,527547000.0,900441000.0,,,,,,
2017-01-31,10273000,221170000,2496526000.0,1296448000.0,-1520567000.0,32646000,-73589000,-0.52,707070000.0,105717000,77194000,-345482000,66401000,436672000,-106235000,201530000.0,3166424000.0,-105565000,669898000.0,2003518000.0,109472000,153366000,417636000,596638000.0,2071000.0,26824000.0,,135970000.0,201530000.0,191556000,0.0,1456822000.0,24812000.0,539923000.0,1996745000.0,0.0,-2961000,0.0,365877000.0,-108526000,386557000,202000.0,,-32278000,25408000,6952000.0,-113334000.0,48787000.0,596000,53570000.0,-230761000.0,36677000.0,-105565000,27537000.0,1162906000.0,130181000,158354000.0,100000.0,383908000.0,61582000.0,18458000,306491000,-2291000,539923000,4256000,-105565000,14004000.0,412726000,-0.52,534423000.0,1097417000.0,,,,,,
2017-04-30,23265000,206911000,2533820000.0,1289444000.0,-1470678000.0,33377000,-26823000,-0.31,698440000.0,107788000,149429000,-613701000,79636000,479861000,-60200000,203818000.0,3308741000.0,-64044000,774921000.0,1987884000.0,180022000,-40790000,450944000,652826000.0,-190000.0,28182000.0,,120389000.0,203818000.0,196439000,0.0,1616770000.0,2253000.0,498931000.0,2115701000.0,,2181000,,404102000.0,-61863000,541894000,205000.0,,-30593000,2209000,6986000.0,111815000.0,43915000.0,-44000,54207000.0,-248724000.0,36658000.0,-64044000,51819000.0,1320857000.0,136711000,158193000.0,-29539000.0,297894000.0,71161000.0,-222889000,343150000,-1663000,501104000,-565000,-64044000,14454000.0,403350000,-0.31,541393000.0,1079874000.0,,,,,,
2017-07-31,22727000,227651000,2586224000.0,1676574000.0,-1553210000.0,34021000,-47608000,-0.4,360156000.0,121523000,-23402000,-290197000,-80087000,525320000,-81629000,207028000.0,3407127000.0,-82532000,820903000.0,2036730000.0,15126000,249428000,553066000,705055000.0,-22197000.0,39948000.0,,104178000.0,207028000.0,221103000,0.0,1349191000.0,32274000.0,748599000.0,2097790000.0,,1841000,0.0,438754000.0,-80691000,501104000,208000.0,332422000.0,-38528000,32242000,6840000.0,-71422000.0,39110000.0,-32000,66763000.0,-266301000.0,39940000.0,-82532000,54015000.0,1370397000.0,158195000,158540000.0,-22996000.0,370557000.0,80410000.0,201345000,367125000,938000,750532000,10778000,-82532000,19248000.0,448754000,-0.4,216038000.0,1118565000.0,,,,,,
2017-10-31,25482000,232305000,3693772000.0,1749546000.0,-1638756000.0,34982000,-45077000,-0.41,1274896000.0,122479000,107675000,-936055000,46728000,555389000,-80059000,209188000.0,4564716000.0,-85546000,870944000.0,3024442000.0,144031000,587565000,405569000,767878000.0,-16310000.0,35837000.0,,100135000.0,209188000.0,239588000,0.0,1874139000.0,1974000.0,1336984000.0,3211123000.0,,1745000,0.0,487234000.0,-83801000,750532000,210000.0,336936000.0,-36356000,1039314000,12285000.0,19070000.0,34305000.0,-175566000,70814000.0,-280644000.0,38267000.0,-85546000,56304000.0,1540274000.0,163555000,158418000.0,-1000000.0,349309000.0,108074000.0,-595458000,391834000,-3742000,1338097000,-7383000,-85546000,24320000.0,471893000,-0.41,1136494000.0,1129031000.0,,,,,,
2018-01-31,20402000,239409000,3956978000.0,2058874000.0,-1727856000.0,34594000,-46741000,-0.42,1308185000.0,126635000,79489000,-692243000,33425000,582480000,-81335000,210909000.0,4947424000.0,-89100000,990446000.0,3367059000.0,126548000,-202443000,426728000,855587000.0,-46413000.0,20998000.0,,110906000.0,210909000.0,253454000,0.0,2133495000.0,32555000.0,1134355000.0,3267850000.0,,669000,-5744000.0,546609000.0,-88431000,1338097000,211000.0,341509000.0,-47059000,32497000,18438000.0,-174076000.0,34234000.0,-58000,109718000.0,-308978000.0,47434000.0,-89100000,63060000.0,1580365000.0,170952000,159376000.0,1000000.0,528208000.0,121879000.0,-361978000,411528000,-7096000,1135654000,-10079000,-89100000,29205000.0,492863000,-0.42,1149845000.0,1426241000.0,,,,,,
2018-04-30,25210000,248352000,3880809000.0,2196654000.0,-1801839000.0,38664000,-32600000,-0.35,1073878000.0,132659000,135371000,-910526000,62110000,618643000,-71264000,213055000.0,4927832000.0,-74410000,1047023000.0,3270532000.0,184233000,-98219000,714035000,945556000.0,-30766000.0,30249000.0,,95270000.0,213055000.0,263584000,,2329623000.0,,1036045000.0,3365668000.0,,-702000,,611293000.0,-75112000,1135654000,215000.0,570251000.0,-48862000,2554000,18302000.0,168702000.0,29146000.0,-57000,110938000.0,-334263000.0,39366000.0,-74410000,,1657300000.0,177971000,159398000.0,,354209000.0,112977000.0,-284586000,440672000,-3848000,1037435000,7954000,-74410000,31605000.0,511936000,-0.35,939242000.0,1319794000.0,,,,,,
2018-07-31,29657000,267632000,3614038000.0,1913947000.0,-1887995000.0,42226000,-46756000,-0.4,1075889000.0,147063000,3270000,-527216000,-75174000,671720000,-88982000,215932000.0,4765060000.0,-86156000,1151022000.0,2989836000.0,57616000,658383000,1570143000,1024575000.0,-12431000.0,32910000.0,,89376000.0,215932000.0,292840000,,1291352000.0,,1693743000.0,2985095000.0,-350005000.0,-1213000,-26737000.0,678525000.0,-87369000,1037435000,218000.0,226877000.0,-54346000,-311378000,17515000.0,-104758000.0,35927000.0,-59000,121074000.0,-346050000.0,36381000.0,-86156000,,1775224000.0,200230000,175073000.0,,457496000.0,119972000.0,912307000,471490000,1613000,1695818000,5987000,-86156000,32405000.0,560472000,-0.4,950132000.0,1393848000.0,,,,,,
2018-10-31,-483000,384940000,2271279000.0,2055885000.0,-2041823000.0,57602000,-125153000,-0.7,1111265000.0,187971000,58869000,-118669000,22537000,743189000,-182755000,217694000.0,5000299000.0,-153331000,2729020000.0,3167150000.0,114296000,-1151292000,390930000,1109255000.0,3768000.0,28779000.0,,109694000.0,217694000.0,318003000,,1041709000.0,,540430000.0,1582139000.0,-3000.0,-2807000,-1447600000.0,735443000.0,-156138000,1695818000,220000.0,229684000.0,-55427000,2704000,12348000.0,-9379000.0,332583000.0,-60000,132229000.0,-373812000.0,40432000.0,-153331000,,1833149000.0,223001000,1377615000.0,-11000.0,486044000.0,131170000.0,-1268079000,520188000,26617000,544526000,-12148000,-153331000,40203000.0,702943000,-0.7,961139000.0,1460650000.0,,,,,,
2019-01-31,23633000,337758000,2700596000.0,2430691000.0,-2146304000.0,59619000,-60664000,-0.47,1131613000.0,184772000,196191000,-476473000,86850000,788628000,-120283000,220351000.0,5520746000.0,-104361000,2820150000.0,3562304000.0,250513000,97677000,383466000,1197144000.0,-809000.0,29093000.0,,111652000.0,220351000.0,337405000,,1139864000.0,,638554000.0,1778418000.0,-22000.0,-772000,0.0,796907000.0,-105133000,544526000,221000.0,232514000.0,-54322000,49409000,12044000.0,-215092000.0,313240000.0,-72000,147360000.0,-400237000.0,47697000.0,-104361000,,1958442000.0,233748000,1379125000.0,11000.0,704680000.0,123542000.0,-202426000,554880000,15150000,642203000,4084000,-104361000,50546000.0,675163000,-0.47,972264000.0,1837618000.0,,,,,,
2019-04-30,41443000,357391000,2665134000.0,2443079000.0,-2262960000.0,61165000,-62221000,-0.52,1336347000.0,185235000,143628000,-473254000,37595000,825055000,-123386000,223309000.0,5824174000.0,-116275000,3159040000.0,3779426000.0,209163000,144843000,511045000,1165934000.0,13113000.0,35146000.0,,95708000.0,223309000.0,347831000,64107000.0,1110141000.0,,781772000.0,1891913000.0,,30000,,1165934000.0,-116245000,642203000,225000.0,235408000.0,-65535000,3362000,11601000.0,157379000.0,293897000.0,-93000,140468000.0,-437426000.0,11095000.0,-116275000,,2044748000.0,243219000,1379125000.0,23000.0,542843000.0,129182000.0,-67355000,581836000,7141000,787046000,1503000,-116275000,52879000.0,705222000,-0.52,983507000.0,1734442000.0,,,,,,
