date,quarterlyFreeCashFlow,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyDilutedEPS,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyChangesInAccountReceivables,quarterlyBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlyBasicAverageShares,quarterlyOtherCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGrossPPE,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCashItems,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyTaxProvision,quarterlyDilutedAverageShares,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2016-09-30,34164000,,76691000,834439000.0,1214738000.0,169770000.0,3.63,85488000.0,532356000.0,20874000,1384508000.0,36218000,225000.0,7529000.0,-419000,123701000,11407000.0,128845000,946889000.0,4329000,9703000.0,20874000,20874000,48807000,21903000.0,277190000.0,-8571000.0,85025000,-27158000,30968000.0,437619000.0,102741000,125000,3.65,-6748000.0,123701000.0,123701000.0,-1254000.0,5720257.0,0.0,496250000.0,-474000.0,59000.0,5625000.0,43820000,205536000,82429000.0,6500000,3893000,1920971000.0,-1297674000.0,67992000,-33828000,-19874000,424000,0.0,2493000.0,112450000.0,40620000,,495960000.0,623297000.0,19746000,5755161.0,84367000,-9630000.0,20960000,3187000,,,,,,,,,
2016-12-31,23672000,29524000.0,75082000,831617000.0,1211334000.0,185937000.0,4.23,84928000.0,530886000.0,24388000,1397271000.0,36583000,277000.0,7588000.0,-228000,138040000,-2381000.0,131645000,942760000.0,99000,9305000.0,24388000,24388000,48615000,22190000.0,276297000.0,-8571000.0,85198000,-33637000,37073000.0,454511000.0,123701000,-5988000,4.27,1516000.0,138040000.0,138040000.0,-1255000.0,5714862.0,0.0,497480000.0,-446000.0,59000.0,6250000.0,46447000,206727000,82703000.0,-5242000,-966000,1837440000.0,-1217819000.0,58259000,-34587000,-10283000,409000,0.0,0.0,111143000.0,38958000,,511776000.0,619621000.0,14570000,5760834.0,83129000,-229000.0,14339000,2645000,,,,,,,,,
2017-03-31,41200000,,69083000,830103000.0,1204828000.0,218666000.0,5.8,84928000.0,529407000.0,33215000,1423494000.0,38404000,0.0,7606000.0,-5616000,173467000,-7977000.0,138344000,942648000.0,6433000,5701000.0,33215000,33215000,45733000,22614000.0,276770000.0,-8579000.0,84137000,-26985000,31039000.0,480846000.0,138040000,6034000,5.86,-1143000.0,173467000.0,173467000.0,-1254000.0,5671838.0,0.0,497460000.0,-444000.0,59000.0,6875000.0,54207000,207427000,68298000.0,9488000,472000,1867683000.0,-1250944000.0,78260000,-37060000,-15848000,400000,0.0,14758000.0,112545000.0,53034000,,536412000.0,616739000.0,19819000,5730901.0,99044000,-399000.0,35427000,2427000,,,,,,,,,
2017-06-30,11724000,,83849000,1486700000.0,1959094000.0,165400000.0,4.97,178374000.0,1167458000.0,28576000,2124494000.0,46891000,0.0,11782000.0,-15112000,89793000,-6096000.0,157193000,1621346000.0,-784000,5664000.0,28576000,28576000,51194000,36795000.0,294850000.0,-8586000.0,98084000,-768821000,45812000.0,503148000.0,173467000,-4293000,5.03,-729145000.0,89793000.0,89793000.0,-93754000.0,5678394.0,0.0,971673000.0,-442000.0,59000.0,11250000.0,59109000,241042000,86601000.0,-40195000,7360000,2072527000.0,-1269144000.0,52599000,-40875000,632548000,791000,0.0,,134646000.0,46543000,,556401000.0,803383000.0,17967000,5745617.0,105216000,0.0,-83674000,2418000,,,,,,,,,
2017-09-30,40016000,,91894000,1488328000.0,1962267000.0,202966000.0,5.48,177809000.0,1164070000.0,31514000,2165233000.0,45580000,0.0,14019000.0,474000,118701000,7455000.0,161952000,1639609000.0,-2228000,5508000.0,31514000,31514000,51968000,37158000.0,298324000.0,-10023000.0,97548000,-47655000,54085000.0,525624000.0,89793000,-8273000,5.55,3487000.0,118701000.0,118701000.0,-2817000.0,5680600.0,0.0,968557000.0,-441000.0,60000.0,12813000.0,64404000,253846000,101310000.0,7472000,3475000,2093507000.0,-1283114000.0,88929000,-48913000,-12366000,992000,0.0,,151281000.0,48157000,836000.0,577892000.0,810393000.0,16643000,5753910.0,107756000,0.0,28908000,3076000,,,,,,,,,
2017-12-31,56350000,39283000.0,92213000,1376309000.0,1975945000.0,242384000.0,24.89,172129000.0,1160682000.0,143153000,2218329000.0,50744000,0.0,13457000.0,-967000,161752000,13600000.0,165501000,1546913000.0,-3327000,6179000.0,143153000,143153000,55381000,38266000.0,205636000.0,-10028000.0,102731000,-47706000,51141000.0,671416000.0,118701000,3467000,25.18,2185000.0,161752000.0,161752000.0,-2817000.0,5684785.0,0.0,965745000.0,-352000.0,60000.0,14375000.0,62770000,257714000,117963000.0,3327000,-97664000,2172830000.0,-1340938000.0,104698000,-48348000,-13941000,991000,0.0,,170604000.0,45986000,0.0,723354000.0,831892000.0,-97167000,5750420.0,106793000,-129000.0,43051000,2822000,,,,,,,,,
2018-03-31,48847000,,94739000,1381779000.0,1966560000.0,247226000.0,7.08,172129000.0,1157273000.0,40653000,2213786000.0,48778000,11642000.0,14723000.0,-10186000,185493000,-11663000.0,171022000,1513876000.0,-6017000,11489000.0,40653000,40653000,50949000,17780000.0,212864000.0,-10035000.0,99727000,-45619000,25477000.0,699910000.0,161752000,4453000,7.13,,185493000.0,185493000.0,-2816000.0,5702539.0,,962933000.0,-351000.0,59000.0,15938000.0,71295000,265761000,98379000.0,-10391000,5710000,2192671000.0,-1372662000.0,94692000,-45845000,-25332000,970000,,,132097000.0,50555000,,759004000.0,820009000.0,9902000,5742648.0,114056000,-2295000.0,23741000,2338000,,,,,,,,,
2018-06-30,54370000,,91783000,1381390000.0,1963138000.0,264920000.0,7.65,172129000.0,1151915000.0,43785000,2228058000.0,49033000,12762000.0,14953000.0,-4601000,203522000,-3776000.0,176631000,1512125000.0,-1852000,11458000.0,43785000,43785000,54196000,18791000.0,216713000.0,-10005000.0,103229000,-46197000,34281000.0,715933000.0,185493000,-8804000,7.7,,203522000.0,203522000.0,-2817000.0,5687095.0,,959817000.0,-351000.0,59000.0,17500000.0,73402000,268414000,94444000.0,-1149000,3849000,2226032000.0,-1406298000.0,101910000,-47540000,-37684000,1042000,,,130735000.0,56597000,,792784000.0,819734000.0,12812000,5722869.0,120583000,-20261000.0,18029000,2506000,,,,,,,,,
2018-09-30,46970000,,91956000,1383304000.0,1977619000.0,290329000.0,6.7,172129000.0,1147048000.0,38314000,2267948000.0,50414000,10476000.0,15460000.0,1942000,236901000,1002000.0,176312000,1522613000.0,-1637000,11452000.0,38314000,38314000,59439000,18681000.0,225780000.0,-11411000.0,109853000,-63787000,28168000.0,745335000.0,203522000,6113000,6.75,,236901000.0,236901000.0,-4380000.0,5674224.0,,956832000.0,-350000.0,59000.0,19063000.0,66459000,268268000,101565000.0,6586000,9067000,2277547000.0,-1440341000.0,111015000,-64045000,-13849000,1076000,,,139309000.0,49362000,0.0,819687000.0,837206000.0,11048000,5717575.0,115236000,0.0,33379000,2418000,,,,,,,,,
2018-12-31,41821000,34012000.0,91791000,1394163000.0,1985371000.0,317863000.0,7.34,172129000.0,1142056000.0,42008000,2303234000.0,49506000,9980000.0,15279000.0,5559000,264113000,-13416000.0,178061000,1527876000.0,-174000,11412000.0,42008000,42008000,57632000,18954000.0,242127000.0,-11403000.0,107138000,-58692000,29947000.0,775358000.0,236901000,-1779000,7.4,,264113000.0,264113000.0,-4378000.0,5674067.0,,953851000.0,-96000.0,59000.0,20625000.0,70923000,269852000,94134000.0,-13667000,16347000,2324937000.0,-1476958000.0,100152000,-58331000,-14248000,1075000,,,133713000.0,55470000,0.0,850292000.0,847979000.0,13462000,5723528.0,120255000,-4026000.0,27212000,3224000,,,,,,,,,
2019-03-31,50000000,,94518000,1713998000.0,2381868000.0,242369000.0,6.78,355347000.0,1385475000.0,38739000,2624237000.0,53844000,58707000.0,18096000.0,-4964000,187559000,1442000.0,184087000,1855202000.0,699000,21698000.0,38739000,38739000,61443000,24096000.0,269816000.0,-11395000.0,115287000,-404969000,28410000.0,769035000.0,264113000,2831000,6.83,,187559000.0,187559000.0,-4531000.0,5674120.0,,1039427000.0,-29165000.0,59000.0,24892000.0,68800000,278605000,92216000.0,-549000,7102000,2477883000.0,-1512487000.0,104378000,-54378000,224037000,1118000,,,141204000.0,51403000,-356917000.0,877644000.0,965396000.0,12664000,5716585.0,123343000,-5073000.0,-76554000,3021000,,,,,,,,,
2019-06-30,46596000,,95688000,1643496000.0,2393736000.0,155716000.0,6.35,355347000.0,1280637000.0,36395000,2549452000.0,54835000,99614000.0,18516000.0,-9471000,102283000,3562000.0,189962000,1786544000.0,-10542000,25781000.0,36395000,36395000,60103000,23078000.0,263245000.0,-11424000.0,114938000,-60848000,30340000.0,762908000.0,187559000,-1930000,6.41,,102283000.0,102283000.0,-686649000.0,5673669.0,,1035210000.0,-63135000.0,59000.0,17153000.0,75024000,285650000,102817000.0,2851000,4545000,2528411000.0,-1551013000.0,108116000,-61520000,-132544000,1291000,,,143048000.0,45966000,0.0,902615000.0,977398000.0,9571000,5730238.0,119317000,0.0,-85276000,3082000,,,,,,,,,
2019-09-30,60834000,,94898000,1680389000.0,2412209000.0,196118000.0,8.68,358014000.0,1278110000.0,49835000,2608327000.0,48737000,134482000.0,16079000.0,-213000,145848000,,190093000,1833568000.0,-780000,26057000.0,49835000,49835000,58861000,22567000.0,267797000.0,-12848000.0,107598000,-61805000,30931000.0,774759000.0,102283000,-591000,8.77,,145848000.0,145848000.0,-4260000.0,5682167.0,,1030993000.0,-91201000.0,59000.0,17215000.0,82495000,284991000,113397000.0,6516000,11065000,2578456000.0,-1581311000.0,122691000,-61857000,-17321000,1118000,,,153179000.0,65636000,0.0,939602000.0,997145000.0,15801000,5741666.0,130452000,0.0,43565000,3058000,,,,,,,,,
