date,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyInventory,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2014-12-31,2497379000,88014000,325458000,811435000,811435000,19294000,22370000.0,372213000,369944000.0,-245353000.0,,376277000,3593955000,621630000.0,2329470000,,983298000,2406296000,1750511000,5344466000,255771000.0,0.0,313965000,1240190000,0.0,31991000,2643435000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,3030044000,94493000,308285000,554235000,554235000,19294000,60777000.0,478540000,0.0,,,566873000,4013495000,566873000.0,2317206000,,983298000,3045331000,1932883000,5946378000,326401000.0,0.0,384595000,1269860000,0.0,40523000,2701801000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,3247205000,95645000,283103000,1265831000,1265831000,20504000,44891000.0,475160000,0.0,-263597000.0,823626000.0,577176000,4346352000,840773000.0,2538978000,,995610000,2945787000,2002101000,6348453000,263496000.0,0.0,323205000,1386638000,0.0,30260000,2862183000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,3633498000,99538000,273038000,746734000,746734000,19450000,35534000.0,449020000,0.0,,1059863000.0,706659000,4637490000,706659000.0,2281345000,,995610000,3733567000,2135559000,6773049000,732951000.0,0.0,771606000,1111502000,0.0,50620000,3052951000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,4264214000,106387000,231075000,1298972000,1298972000,18943000,670000.0,553287000,0.0,-319280000.0,1322115000.0,858522000,4927426000,1177802000.0,2438929000,,1008479000,3522906000,2301877000,7229303000,438792000.0,0.0,457735000,922452000,0.0,20893000,2896664000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,4710868000,110283000,201848000,1054511000,1054511000,17746000,1008000.0,539659000,0.0,,1567585000.0,890924000,5464771000,890924000.0,2591621000,,1008479000,4297259000,2294756000,7759527000,375892000.0,0.0,393638000,1160682000,0.0,54500000,2985259000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,5165801000,110283000,179450000,1785305000,1785305000,15904000,,793120000,,-403338000.0,,890382000,6448848000,1293720000.0,2552018000,,996789000,4540238000,2302685000,8751533000,953645000.0,,969549000,685750000,,26024000,3521567000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,5578611000,111394000,160693000,946604000,946604000,13858000,-65342000.0,488943000,80264000.0,,,880024000,6690265000,880024000.0,2389732000,65342000.0,996789000,2749104000,2258320000,8948585000,905173000.0,,919031000,949950000,65342000.0,35301000,3308763000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,5966990000,112994000,148172000,2646375000,2646375000,11062000,,684958000,,-512615000.0,,874637000,8224700000,1387252000.0,3725718000,,1006337000,2585247000,2263544000,10488244000,719941000.0,,731003000,1873909000,,63698000,4456721000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,6399418000,116483000,136529000,2324029000,2324029000,10268000,,497262000,,,,1134991000,8724065000,1134991000.0,3852147000,,1006337000,3366398000,2571969000,11296034000,729517000.0,,983664000,2540724000,,132848000,4835811000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
