date,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyOperatingIncome,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyCashAndCashEquivalents,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyDilutedAverageShares,quarterlyResearchAndDevelopment
1986-12-31,,,,,,,,,,130200000,,,130200000,,,,,,-126100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130200000,,
1987-03-31,,,,,,,,,,543600000,,,543600000,0.26,,,,,22000000,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,206044000.0,,,,,,,,,,,,,,,,,,,,543600000,206044000.0,
1987-06-30,,,,,,,,,,340800000,,,340800000,0.07,,,,,13000000,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,211094000.0,,,,,,,,,,,,,,,,,,,,340800000,211094000.0,
1987-09-30,,,,,,,,,,335700000,,,335700000,0.03,,,,,5100000,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,225068000.0,,,,,,,,,,,,,,,,,,,,335700000,225068000.0,
1987-12-31,,,,,,,,,,559700000,,,559700000,,,,,,-15800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559700000,,
1988-03-31,,,,,,,,,,627400000,,,627400000,0.57,,,,,33700000,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,227610000.0,,,,,,,,,,,,,,,,,,,,627400000,227610000.0,
1988-06-30,,,,,,,,,,304000000,,,304000000,-0.01,,,,,-2200000,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,227622000.0,,,,,,,,,,,,,,,,,,,,304000000,227622000.0,
1988-09-30,,,,,,,,,,292000000,,,292000000,-0.05,,,,,-20300000,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,,,,,,,,,227760000.0,,,,,,,,,,,,,,,,,,,,292000000,227760000.0,
1988-12-31,,,,,,,,,,449700000,,,449700000,,,,,,-16100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449700000,,
1989-03-31,,,,,,,,,,515000000,,,515000000,0.13,,,,,30000000,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,227982000.0,,,,,,,,,,,,,,,,,,,,515000000,227982000.0,
1989-06-30,,,,,,,,,,338000000,,,338000000,-0.03,,,,,-5900000,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,228090000.0,,,,,,,,,,,,,,,,,,,,338000000,228090000.0,
1989-09-30,,,,,,,,,,325500000,,,325500000,0.01,,,,,5000000,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,228846000.0,,,,,,,,,,,,,,,,,,,,325500000,228846000.0,
1989-12-31,,,,,,,,,,538800000,,,538800000,,,,,,23400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538800000,,
1990-03-31,,,,,,,,,,548200000,,,548200000,0.12,,29100000.0,,,32000000,32000000.0,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,242500000.0,,,,,,,,,,,,,,,,,,,,548200000,242500000.0,
1990-06-30,,,,,,,,,,383000000,,,383000000,0.02,,5200000.0,,,8100000,8100000.0,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,260000000.0,,,,,,,,,,,,,,,,,,,,383000000,260000000.0,
1990-09-30,,,,,,,,,,348900000,,,348900000,-0.08,,-18200000.0,,,-15300000,-15300000.0,,,,,,,,,,,,,,,,,,,,,,,,-0.08,,,,,,,,,,,227500000.0,,,,,,,,,,,,,,,,,,,,348900000,227500000.0,
1990-12-31,,,,,,,,,,542000000,,,542000000,,,49300000.0,,,52200000,52200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542000000,,
1991-03-31,,,,,,,,,,607600000,,,607600000,0.16,,39900000.0,,,42800000,42800000.0,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,249375000.0,,,,,,,,,,,,,,,,,,,,607600000,249375000.0,
1991-06-30,,,,,,,,,,448000000,,,448000000,0.05,,11100000.0,,,14000000,14000000.0,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,222000000.0,,,,,,,,,,,,,,,,,,,,448000000,222000000.0,
1991-09-30,,,,,,,,,,430000000,,,430000000,0.02,,2800000.0,,,5700000,5700000.0,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,242857143.0,,,,,,,,,,,,,,,,,,,,430000000,242857143.0,
1991-12-31,,,,,,,,,,619100000,,,619100000,,,44600000.0,,,47500000,47500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619100000,,
1992-03-31,,,,,,,,,,583200000,,,583200000,0.15,,36600000.0,,,39500000,39500000.0,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,244000000.0,,,,,,,,,,,,,,,,,,,,583200000,244000000.0,
1992-06-30,,,,,,,,,,546400000,,,546400000,0.05,,13200000.0,,,6200000,16100000.0,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,264000000.0,,,,,,,,,,,,,,,,,,,,546400000,264000000.0,
1992-09-30,,,,,,,,,,554900000,,,554900000,0.06,,15000000.0,,,18600000,18600000.0,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,250000000.0,,,,,,,,,,,,,,,,,,,,554900000,250000000.0,
1992-12-31,,,,,,,,,,763600000,,,763600000,,,58900000.0,,,64000000,64000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763600000,,
1993-03-31,,,,,,,,,,750800000,,,750800000,0.41,,120500000.0,,,125600000,125600000.0,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,280232558.0,,,,,,,,,,,,,,,,,,,,750800000,293902439.0,
1993-06-30,,,,,,,,,,541900000,,,541900000,0.11,,33900000.0,,,36100000,36100000.0,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,308181818.0,,,,,,,,,,,,,,,,,,,,541900000,308181818.0,
1993-09-30,,,,,,,,,,572200000,,,572200000,0.05,,15800000.0,,,18000000,18000000.0,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,316000000.0,,,,,,,,,,,,,,,,,,,,572200000,316000000.0,
1993-12-31,,,,,,,,,,573300000,,,573300000,,,49800000.0,,,52100000,52100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573300000,,
1994-03-31,55500000.0,93100000.0,726900000.0,625000000.0,-24000000.0,,,592500000.0,,582000000,,4429800000.0,98400000,0.16,5054800000.0,50600000.0,57300000.0,3291900000.0,52800000,52800000.0,99000000.0,972200000.0,1762900000.0,800000.0,44600000.0,,,-109800000.0,413600000.0,376500000.0,,8300000.0,582000000.0,642500000.0,104900000.0,17200000.0,,,1592800000.0,44600000.0,483600000.0,,,0.16,24800000.0,,3698000000.0,77600000.0,44600000.0,64300000.0,203500000.0,-65800000.0,313300000.0,38000000.0,316250000.0,,731800000.0,9900000.0,-33000000.0,-1406900000.0,,-19700000.0,123100000.0,,,5104900000.0,11900000.0,2900000.0,,,-2400000.0,,313300000.0,,153900000,316250000.0,
1994-06-30,54100000.0,95400000.0,814800000.0,590700000.0,-24100000.0,,,631300000.0,,633900000,,4422200000.0,109700000,0.19,5012900000.0,60700000.0,66300000.0,3196200000.0,74000000,62900000.0,96400000.0,948700000.0,1816700000.0,4100000.0,29400000.0,,,-9000000.0,414300000.0,336000000.0,,-22100000.0,633900000.0,632000000.0,128900000.0,41200000.0,,,1432700000.0,29400000.0,524200000.0,,,0.19,43000000.0,,3736900000.0,117000000.0,29400000.0,44600000.0,204100000.0,-94200000.0,80400000.0,33900000.0,319473684.0,,685300000.0,-26900000.0,-166700000.0,-1457600000.0,,-15200000.0,160500000.0,,,5194500000.0,-2000000.0,56600000.0,,320100000.0,-2700000.0,,80400000.0,,163800000,319473684.0,
1994-09-30,1200000.0,61400000.0,739300000.0,1270700000.0,-24000000.0,,,662900000.0,,467300000,,3636600000.0,70500000,0.18,4907300000.0,53400000.0,-84500000.0,3159500000.0,32200000,55600000.0,725100000.0,876200000.0,1747800000.0,-3100000.0,28000000.0,,,-138000000.0,363300000.0,393800000.0,,5000000.0,467300000.0,649600000.0,123800000.0,11700000.0,,,1544000000.0,28000000.0,396800000.0,,,0.18,16400000.0,,3048800000.0,48600000.0,28000000.0,29400000.0,204300000.0,-133100000.0,167500000.0,33600000.0,296666667.0,,587800000.0,31500000.0,88000000.0,-1166800000.0,0.0,-1400000.0,48600000.0,,,4215600000.0,3700000.0,-123200000.0,,208500000.0,-2600000.0,5600000.0,167500000.0,,71700000,296666667.0,
1994-12-31,39500000.0,68900000.0,1473900000.0,1456800000.0,-40400000.0,,,716500000.0,,477300000,,3769300000.0,78600000,,5226100000.0,73200000.0,-139800000.0,3720600000.0,34200000,75400000.0,856100000.0,938900000.0,1505500000.0,17100000.0,36100000.0,,,-170200000.0,361400000.0,452300000.0,,19000000.0,477300000.0,662900000.0,112300000.0,11100000.0,,,1307800000.0,36100000.0,398700000.0,,,,16400000.0,,3124000000.0,50600000.0,36100000.0,28000000.0,204400000.0,-175200000.0,890000000.0,39100000.0,,,645300000.0,-14500000.0,142900000.0,-1187100000.0,0.0,8100000.0,35400000.0,-307000000.0,,4311100000.0,12200000.0,-67100000.0,,222500000.0,-1300000.0,1400000.0,890000000.0,,118100000,,
1995-03-31,83500000.0,125600000.0,2233400000.0,2178200000.0,-26200000.0,,,1779200000.0,,958000000,,7980500000.0,165700000,3.86,10158700000.0,1086800000.0,47500000.0,7260400000.0,83200000,1088900000.0,636300000.0,2178800000.0,2567600000.0,-73300000.0,615000000.0,,,1827300000.0,1634300000.0,716100000.0,,-7500000.0,958000000.0,1345800000.0,210800000.0,34500000.0,,,2848200000.0,615000000.0,792300000.0,,,3.86,49700000.0,,7042000000.0,132900000.0,615000000.0,36100000.0,204500000.0,-135900000.0,187300000.0,67300000.0,281554404.0,,938500000.0,-191900000.0,-1431800000.0,-1261500000.0,,578900000.0,183400000.0,,,8303500000.0,10700000.0,6000000.0,,411800000.0,-2100000.0,,187300000.0,,249200000,281554404.0,
1995-06-30,89900000.0,127500000.0,1899500000.0,1536500000.0,-31000000.0,,,1831500000.0,,947400000,,8344100000.0,136300000,0.26,9880600000.0,79900000.0,-23600000.0,6767100000.0,83300000,83300000.0,343700000.0,2025900000.0,3113500000.0,-228400000.0,382900000.0,,,-401100000.0,1341900000.0,623600000.0,,16900000.0,947400000.0,1349100000.0,186300000.0,8800000.0,,,2841700000.0,382900000.0,811100000.0,,,0.27,-1900000.0,,7337200000.0,81400000.0,382900000.0,615000000.0,347300000.0,-213600000.0,185900000.0,63700000.0,295925926.0,,1006900000.0,700000.0,-21000000.0,-1367700000.0,,-232100000.0,190000000.0,,,8704900000.0,16200000.0,-12000000.0,,371700000.0,-1800000.0,,185900000.0,,226200000,307307692.0,
1995-09-30,99400000.0,126500000.0,1944600000.0,1262300000.0,-31200000.0,,,1868800000.0,,712400000,,8836700000.0,147000000,0.2,10099000000.0,61400000.0,-69700000.0,7017500000.0,68500000,68500000.0,332300000.0,2165000000.0,3081500000.0,-92900000.0,63600000.0,,,-510200000.0,1364300000.0,653600000.0,,-29300000.0,712400000.0,1373600000.0,212800000.0,20900000.0,,,2907900000.0,63600000.0,565400000.0,,,0.2,36700000.0,,7814700000.0,105200000.0,63600000.0,382900000.0,278500000.0,-248100000.0,231500000.0,62700000.0,307000000.0,,1022000000.0,2900000.0,12500000.0,-1444200000.0,1400000.0,-319300000.0,178400000.0,,,9258900000.0,-4200000.0,14700000.0,,348800000.0,-2600000.0,3300000.0,231500000.0,,246400000,307000000.0,
1995-12-31,96600000.0,146900000.0,2049900000.0,1343800000.0,-30700000.0,,,1915600000.0,,837000000,,9151000000.0,138100000,,10494800000.0,74800000.0,47000000.0,7307700000.0,64400000,77500000.0,387100000.0,2383800000.0,3187100000.0,-26000000.0,90400000.0,,,-331100000.0,1258000000.0,677300000.0,,31800000.0,837000000.0,1568200000.0,189000000.0,13500000.0,,,2874000000.0,90400000.0,698900000.0,,,,17500000.0,,8014700000.0,81900000.0,90400000.0,63600000.0,278800000.0,-229900000.0,319900000.0,69700000.0,,,1136300000.0,-8900000.0,81000000.0,-1464000000.0,0.0,26800000.0,276900000.0,-800000.0,,9478700000.0,102700000.0,-26100000.0,,472000000.0,-2300000.0,59300000.0,319900000.0,,234700000,,
1996-03-31,112800000.0,146500000.0,2142800000.0,1555300000.0,-38200000.0,,,1982300000.0,,893700000,,9958100000.0,247800000,0.32,11513400000.0,102300000.0,68900000.0,8230900000.0,104900000,104900000.0,431100000.0,2393200000.0,3282500000.0,-233300000.0,87600000.0,,,-563900000.0,1126800000.0,829700000.0,,-14800000.0,893700000.0,1600800000.0,206900000.0,-1600000.0,,,3694900000.0,87600000.0,645900000.0,,,0.32,61000000.0,,8987100000.0,165900000.0,87600000.0,90400000.0,268400000.0,-115600000.0,528700000.0,80300000.0,319687500.0,,971000000.0,-2600000.0,376600000.0,-1637200000.0,,-2800000.0,184500000.0,,,10624300000.0,7800000.0,-41000000.0,,487300000.0,-2700000.0,26300000.0,528700000.0,,360600000,319687500.0,
1996-06-30,106200000.0,149100000.0,1924700000.0,1461300000.0,-38300000.0,,,2024400000.0,,837500000,,10119100000.0,194500000,0.24,11580400000.0,77800000.0,-6500000.0,8243800000.0,80400000,80400000.0,432000000.0,2434900000.0,3336600000.0,6900000.0,65500000.0,,,-200900000.0,1090500000.0,758100000.0,,2600000.0,837500000.0,1594700000.0,205700000.0,4400000.0,,,3884200000.0,65500000.0,643000000.0,,,0.24,29100000.0,,9059900000.0,109500000.0,65500000.0,87600000.0,267500000.0,-158200000.0,394700000.0,89400000.0,324166667.0,,1059200000.0,-2400000.0,27100000.0,-1733200000.0,,-22100000.0,151700000.0,,,10793100000.0,-5500000.0,-29400000.0,,439500000.0,-2500000.0,10500000.0,394700000.0,,300700000,324166667.0,
1996-09-30,107400000.0,149600000.0,1863000000.0,1444700000.0,-38300000.0,,,2057100000.0,,842200000,-29400000.0,10349200000.0,183300000,0.21,11793900000.0,68400000.0,-78800000.0,8449800000.0,71000000,71000000.0,467400000.0,2449500000.0,3344100000.0,-31600000.0,40500000.0,,,-349900000.0,1100200000.0,739500000.0,,-2100000.0,842200000.0,1614600000.0,197300000.0,11700000.0,,,4137300000.0,40500000.0,658900000.0,,,0.21,32600000.0,,9210800000.0,103600000.0,40500000.0,65500000.0,267600000.0,-254400000.0,354400000.0,91400000.0,325714286.0,,1138400000.0,1700000.0,149300000.0,-1815800000.0,,-25000000.0,175600000.0,,,11026600000.0,8200000.0,-11000000.0,,408400000.0,-2300000.0,5900000.0,354400000.0,,290700000,325714286.0,
1996-12-31,85000000.0,181700000.0,2199300000.0,1890100000.0,-43600000.0,,,2119500000.0,,957800000,-19600000.0,10528700000.0,214600000,,12418800000.0,103400000.0,-92100000.0,8997800000.0,106000000,106000000.0,499600000.0,2421600000.0,3421000000.0,17100000.0,115300000.0,,,-305000000.0,1186900000.0,1070600000.0,,-1800000.0,957800000.0,1626600000.0,204600000.0,43700000.0,,,4376900000.0,115300000.0,743200000.0,,,,60400000.0,,9386300000.0,166400000.0,115300000.0,40500000.0,321200000.0,-290700000.0,329100000.0,91900000.0,,,1142400000.0,-3000000.0,181200000.0,-1826000000.0,,74800000.0,198600000.0,-100000.0,,11212300000.0,61900000.0,-7900000.0,,683300000.0,-2200000.0,11600000.0,329100000.0,,299600000,,
1997-03-31,115900000.0,169100000.0,1907000000.0,1451200000.0,-43700000.0,,,2181700000.0,,1001400000,-80300000.0,10656600000.0,251000000,0.32,12107800000.0,103300000.0,245100000.0,8593900000.0,105900000,105900000.0,425000000.0,2450500000.0,3513900000.0,-600000.0,79600000.0,,,-233200000.0,1143100000.0,699700000.0,,-42000000.0,1001400000.0,1648300000.0,246900000.0,7100000.0,,,4236400000.0,79600000.0,750400000.0,,,0.32,57300000.0,,9412600000.0,163200000.0,79600000.0,115300000.0,322100000.0,-155600000.0,293500000.0,94900000.0,322812500.0,,1244000000.0,0.0,-203200000.0,-1932200000.0,,-35700000.0,400700000.0,,,11344800000.0,26600000.0,152300000.0,,470400000.0,-2600000.0,15000000.0,293500000.0,,366900000,322812500.0,
1997-06-30,129200000.0,197600000.0,1920300000.0,1704100000.0,-43800000.0,,,2245700000.0,,1020600000,-11100000.0,11044300000.0,242400000,0.32,12748400000.0,105200000.0,-149200000.0,9075500000.0,107800000,107800000.0,438100000.0,2499100000.0,3587300000.0,-4300000.0,143600000.0,,,-285100000.0,1137100000.0,850900000.0,,100000.0,1020600000.0,1650600000.0,271500000.0,2600000.0,,,4656100000.0,143600000.0,778200000.0,,440500000.0,0.33,34900000.0,,9589900000.0,142700000.0,143600000.0,79600000.0,322300000.0,-261900000.0,307400000.0,97200000.0,318787879.0,,1013900000.0,-1000000.0,236400000.0,-2036700000.0,,64000000.0,112700000.0,,,11626600000.0,13200000.0,-98100000.0,,475800000.0,-2500000.0,6900000.0,307400000.0,,371600000,328750000.0,
1997-09-30,-29700000.0,216600000.0,3057900000.0,1889900000.0,-43800000.0,,,2193500000.0,,1121000000,-23200000.0,11363800000.0,199100000,-0.03,13253700000.0,-10800000.0,-292700000.0,9619300000.0,65300000,-8400000.0,509400000.0,2517800000.0,3528500000.0,8100000.0,94000000.0,,,-397700000.0,1185500000.0,1000700000.0,,-14300000.0,1121000000.0,1659700000.0,285800000.0,11100000.0,,,4043600000.0,94000000.0,921900000.0,,437000000.0,-0.03,41400000.0,,9860600000.0,106700000.0,94000000.0,143600000.0,304200000.0,-393800000.0,1197400000.0,99100000.0,360000000.0,,1066200000.0,1100000.0,247000000.0,-2149000000.0,,-49600000.0,101100000.0,,,12009600000.0,5700000.0,55400000.0,,675000000.0,-2400000.0,11700000.0,1197400000.0,,323600000,360000000.0,
1997-12-31,284100000.0,247700000.0,3027400000.0,2255900000.0,-50200000.0,,,2209400000.0,,1266600000,-19600000.0,11623100000.0,266100000,,13879000000.0,63900000.0,-45700000.0,10190200000.0,71500000,66100000.0,543200000.0,2597500000.0,3571700000.0,4100000.0,81300000.0,,,-354500000.0,1407000000.0,1330900000.0,,-17500000.0,1266600000.0,1718900000.0,300500000.0,-48300000.0,,,4565300000.0,81300000.0,1000500000.0,,435200000.0,,44400000.0,,10055600000.0,115900000.0,81300000.0,94000000.0,467300000.0,-350800000.0,734100000.0,97400000.0,,,1132300000.0,-17800000.0,36700000.0,-2228800000.0,,-12700000.0,305100000.0,,,12284400000.0,36300000.0,42400000.0,,886300000.0,-4500000.0,29300000.0,734100000.0,,396000000,,
1998-03-31,152400000.0,274700000.0,3473200000.0,2689100000.0,-64600000.0,,,2986900000.0,,1959800000,-14800000.0,13724200000.0,262000000,0.16,16413300000.0,65900000.0,-163700000.0,11893300000.0,72900000,68100000.0,607500000.0,3003900000.0,4346600000.0,-11300000.0,173200000.0,,,-389000000.0,1521200000.0,1486100000.0,,12600000.0,1959800000.0,2036100000.0,422300000.0,-31500000.0,,,5416200000.0,173200000.0,1697800000.0,,605500000.0,0.16,45500000.0,,11750000000.0,118400000.0,173200000.0,122100000.0,546500000.0,-374900000.0,947200000.0,109800000.0,411875000.0,,1368700000.0,20000000.0,228900000.0,-3181900000.0,,51100000.0,211200000.0,,,14931900000.0,37800000.0,-49800000.0,,1004800000.0,-46100000.0,41600000.0,947200000.0,,417300000,411875000.0,
1998-06-30,129500000.0,263600000.0,4104500000.0,3203100000.0,-65300000.0,,,2982400000.0,,1780600000,-278800000.0,14368900000.0,257900000,0.14,17572000000.0,59100000.0,-318800000.0,13020900000.0,60700000,60700000.0,1004800000.0,3073400000.0,4368000000.0,1200000.0,135500000.0,,,-723400000.0,1964000000.0,1580600000.0,,-60500000.0,1780600000.0,2069600000.0,482200000.0,-32900000.0,,,5843000000.0,135500000.0,1522700000.0,,598800000.0,0.14,42300000.0,,12067600000.0,103000000.0,135500000.0,173200000.0,545000000.0,-460400000.0,1091600000.0,118700000.0,422142857.0,,1702500000.0,10500000.0,544100000.0,-3310300000.0,,-37700000.0,141600000.0,,,15377900000.0,22200000.0,-73800000.0,,1048900000.0,-38100000.0,21300000.0,1091600000.0,,408400000,422142857.0,
