date,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlyDilutedAverageShares,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyRetainedEarnings,quarterlyCashDividendsPaid,quarterlyDilutedEPS,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyAccountsPayable,quarterlyInvestmentsAndAdvances,quarterlySaleOfInvestment,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyFreeCashFlow,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyOtherNonCurrentAssets,quarterlyCurrentAssets,quarterlyOtherIncomeExpense,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyCurrentDebt,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyInventory,quarterlyTotalNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyResearchAndDevelopment,quarterlyAccountsReceivable,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory,quarterlyAccumulatedDepreciation
2013-09-30,324794000000.0,670055000000,26340000000.0,,58991000000,637164000000.0,-4000000.0,325971428571.0,48556000000,512000000.0,827175000000.0,58815000000.0,152802000000,,13338000000,139938000000.0,275282000000,139938000000.0,116383000000,-6187000000,231742000000.0,,0.14,-71677000000,822857000000,45653000000,45636000000,1381000000.0,40004000000,13770647000000.0,-50830000000.0,153911000000.0,2653327000000.0,235695000000,-301703000000,60060000000,0.14,45636000000,14599419000000.0,325971428571.0,269095000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,324794000000.0,822857000000,26484000000.0,,35681000000,3329320000000.0,,,54920000000,47000000.0,843108000000.0,34857000000.0,-9058000000,,7507000000,150859000000.0,-113550000000,150859000000.0,110975000000,-12881000000,243482000000.0,-52862000000.0,,34642000000,813799000000,28174000000,28327000000,1381000000.0,52778000000,13717565000000.0,-15000000.0,163328000000.0,2636195000000.0,186146000000,-138669000000,60661000000,,28327000000,14562102000000.0,,-126431000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,324794000000.0,813799000000,26466000000.0,,70311000000,824584000000.0,-18000000.0,333937500000.0,50290000000,167000000.0,903632000000.0,72470000000.0,116646000000,,16789000000,149395000000.0,172274000000,149395000000.0,136100000000,-5027000000,296703000000.0,-593000000.0,0.16,-56967000000,930445000000,53522000000,53430000000,1381000000.0,39283000000,14416967000000.0,-37600000000.0,159213000000.0,2706063000000.0,122221000000,-174328000000,62214000000,0.16,53430000000,15322116000000.0,333937500000.0,167247000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,324794000000.0,930445000000,26139000000.0,,65273000000,3943518000000.0,-97108000000.0,,52813000000,484000000.0,906216000000.0,62123000000.0,263089000000,,14728000000,148126000000.0,307324000000,148126000000.0,130535000000,-3992000000,272499000000.0,-5292000000.0,,-46745000000,1193534000000,50545000000,50602000000,1381000000.0,39946000000,15098875000000.0,37600000000.0,171223000000.0,2821339000000.0,203818000000,-247056000000,66180000000,,50602000000,16006612000000.0,,303332000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,324794000000.0,1193534000000,25853000000.0,,61687000000,970598000000.0,,322713333333.0,49604000000,-43000000.0,957124000000.0,61645000000.0,-485649000000,,13249000000,148410000000.0,-414000000000,148410000000.0,127331000000,-4832000000,320913000000.0,-200192000000.0,0.15,-68568000000,707885000000,48438000000,48407000000,1381000000.0,42103000000,15000556000000.0,-42000000.0,185783000000.0,2961050000000.0,106642000000,-170335000000,71182000000,0.15,48407000000,15959249000000.0,322713333333.0,-418832000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,324794000000.0,707885000000,26117000000.0,,34986000000,3743120000000.0,,,69236000000,33258000000.0,1031066000000.0,34706000000.0,30356000000,,7981000000,154950000000.0,-30983000000,154950000000.0,126892000000,-12146000000,329989000000.0,138481000000.0,,31855000000,738241000000,27005000000,27022000000,1381000000.0,58660000000,14941533000000.0,40004000000.0,192876000000.0,3060708000000.0,309229000000,-267439000000,69822000000,,27022000000,15974152000000.0,,-43129000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,324794000000.0,738241000000,25775000000.0,,70200000000,929748000000.0,-74229000000.0,318329411765.0,50320000000,28229000000.0,1123672000000.0,69035000000.0,292172000000,,15881000000,152378000000.0,385266000000,152378000000.0,139443000000,-3228000000,384009000000.0,-791000000.0,0.17,-137730000000,1030413000000,54319000000,54116000000,1381000000.0,40227000000,15711010000000.0,39947000000.0,184772000000.0,3191606000000.0,185840000000,-320448000000,70698000000,0.17,54116000000,16836530000000.0,318329411765.0,382038000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,324794000000.0,1030413000000,25963000000.0,,64479000000,3995163000000.0,-102025000000.0,,51702000000,31527000000.0,1120329000000.0,63769000000.0,-137730000000,,14234000000,150244000000.0,135082000000,150244000000.0,134704000000,-4157000000,356323000000.0,-4599000000.0,,-262291000000,892683000000,50245000000,50199000000,1381000000.0,40836000000,16337512000000.0,-14000000.0,193887000000.0,3475095000000.0,268245000000,-526991000000,73639000000,,50199000000,17459554000000.0,,130925000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,324794000000.0,892683000000,25749000000.0,,62337000000,1162177000000.0,-115426000000.0,325966666667.0,52074000000,42591000000.0,1173505000000.0,63011000000.0,-260771000000,,13531000000,149230000000.0,-9171000000,149230000000.0,133134000000,-3434000000,405224000000.0,-61577000000.0,0.15,-182896000000,631912000000,48806000000,48895000000,1381000000.0,42731000000,16534383000000.0,-12000000.0,211893000000.0,3708876000000.0,247489000000,-426705000000,75113000000,0.15,48895000000,17709510000000.0,325966666667.0,-12605000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,324794000000.0,631912000000,25776000000.0,,33841000000,3830141000000.0,-216327000000.0,,65029000000,32690000000.0,1210091000000.0,37056000000.0,190057000000,,6437000000,156178000000.0,309171000000,156178000000.0,128902000000,-10868000000,412005000000.0,5432000000.0,,-184777000000,821969000000,27404000000,27372000000,1381000000.0,54649000000,16579508000000.0,16000000.0,225383000000.0,3970938000000.0,304457000000,-478638000000,70203000000,,27372000000,17791393000000.0,,298303000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,324794000000.0,821969000000,25419000000.0,,69076000000,1051612000000.0,-243175000000.0,341800000000.0,50994000000,33199000000.0,1261601000000.0,68884000000.0,-79949000000,,14508000000,153031000000.0,191116000000,153031000000.0,138048000000,-2367000000,464449000000.0,-3390000000.0,0.16,-221031000000,742020000000,54568000000,54688000000,1381000000.0,38573000000,17150375000000.0,0.0,215852000000.0,4257993000000.0,282862000000,-501730000000,66943000000,0.16,54688000000,18413470000000.0,341800000000.0,188749000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,324794000000.0,742020000000,25323000000.0,,62381000000,3611058000000.0,-198909000000.0,,42417000000,38912000000.0,1256333000000.0,61355000000.0,114773000000,,11898000000,150651000000.0,343653000000,150651000000.0,122340000000,-2831000000,438172000000.0,-4869000000.0,,-236756000000,856793000000,50483000000,50460000000,1381000000.0,39621000000,17421419000000.0,955000000.0,217250000000.0,4472197000000.0,413944000000,-647941000000,63860000000,,50460000000,18680221000000.0,,340822000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,324794000000.0,856793000000,25265000000.0,,60465000000,966799000000.0,-112827000000.0,326813333333.0,42601000000,43988000000.0,1310436000000.0,59368000000.0,-124759000000,0.0,11341000000,149485000000.0,-25279000000,149485000000.0,125775000000,-3730000000,487125000000.0,-56577000000.0,0.15,-102739000000,732034000000,49124000000,49022000000,1381000000.0,41198000000,17751076000000.0,6000000.0,222906000000.0,4604516000000.0,351949000000,-450990000000,63239000000,0.15,49022000000,19064101000000.0,326813333333.0,-29009000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,324794000000.0,732034000000,25266000000.0,,34702000000,4074372000000.0,-150382000000.0,,58963000000,38654000000.0,1318193000000.0,34988000000.0,95664000000,882000000.0,4817000000,158669000000.0,206483000000,158669000000.0,119862000000,-13709000000,496083000000.0,-6090000000.0,,-83211000000,827698000000,29885000000,29771000000,1381000000.0,55621000000,18248470000000.0,831000000.0,229115000000.0,4740661000000.0,367232000000,-438713000000,65044000000,,29771000000,19570061000000.0,,192774000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,324794000000.0,827698000000,25028000000.0,,68944000000,1042341000000.0,-134831000000.0,348187500000.0,56971000000,43332000000.0,1362744000000.0,67788000000.0,126664000000,,13165000000,155622000000.0,294126000000,155622000000.0,148386000000,-2342000000,549383000000.0,-3072000000.0,0.16,-224948000000,954362000000,55779000000,55710000000,1381000000.0,38409000000,18957939000000.0,0.0,214881000000.0,5044206000000.0,412409000000,-635389000000,65885000000,0.16,55710000000,20323984000000.0,348187500000.0,291784000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,324794000000.0,954362000000,24913000000.0,,64266000000,3573963000000.0,-173334000000.0,,43234000000,44266000000.0,1355200000000.0,64263000000.0,-84006000000,,11375000000,153226000000.0,48747000000,153226000000.0,128565000000,-2476000000,515102000000.0,-5245000000.0,,-122019000000,870356000000,52891000000,52883000000,1381000000.0,39998000000,19215145000000.0,-1000000.0,218217000000.0,5231424000000.0,509648000000,-629348000000,67392000000,,52883000000,20573586000000.0,,46271000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,324794000000.0,870356000000,24574000000.0,,61960000000,696324000000.0,-125888000000.0,321356250000.0,44284000000,52204000000.0,1405981000000.0,60227000000.0,122786000000,,10488000000,152189000000.0,253261000000,152189000000.0,131431000000,-3882000000,566666000000.0,-58378000000.0,0.16,-85477000000,993142000000,51472000000,51417000000,1381000000.0,41786000000,19513757000000.0,1000000.0,225884000000.0,5348955000000.0,564578000000,-646873000000,68571000000,0.16,51417000000,20923117000000.0,321356250000.0,249379000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,404693000000.0,993142000000,24535000000.0,,44308000000,3564141000000.0,-145738000000.0,,59028000000,49582000000.0,1426415000000.0,43080000000.0,8104000000,,11317000000,155258000000.0,37283000000,155258000000.0,128645000000,-7311000000,577573000000.0,-3684000000.0,,-48617000000,1001246000000,32991000000,32952000000,1381000000.0,56817000000,19623985000000.0,-35000000.0,228805000000.0,5522031000000.0,623416000000,-665629000000,69921000000,,32952000000,21053382000000.0,,29972000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,404693000000.0,1001246000000,24120000000.0,,71346000000,563142000000.0,-165425000000.0,345505882353.0,51710000000,49745000000.0,1459992000000.0,,41169000000,,12306000000,152946000000.0,-117938000000,152946000000.0,155862000000,-4888000000,597779000000.0,-4026000000.0,0.17,54014000000,1042415000000,59040000000,58736000000,1381000000.0,39081000000,20175420000000.0,,207028000000.0,626347000000.0,624965000000,-566499000000,70466000000,0.17,58736000000,21639047000000.0,345505882353.0,-122826000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,429882000000.0,1042415000000,23985000000.0,,70206000000,3569037000000.0,-371654000000.0,,48296000000,50504000000.0,1565226000000.0,,-174812000000,,13270000000,150640000000.0,-103514000000,150640000000.0,150434000000,-331000000,588077000000.0,-52157000000.0,,-202580000000,867603000000,56936000000,57053000000,1381000000.0,42618000000,20351140000000.0,,202368000000.0,680766000000.0,536741000000,-737242000000,73995000000,,57053000000,21920851000000.0,,-103845000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,429882000000.0,867603000000,23578000000.0,-2035000000.0,68499000000,701896000000.0,-244960000000.0,328364705882.0,45561000000,61653000000.0,1630380000000.0,,161060000000,,12671000000,149250000000.0,333839000000,149250000000.0,151123000000,-2209000000,643980000000.0,-4743000000.0,0.17,-235765000000,1028663000000,55828000000,55822000000,1381000000.0,43684000000,21065457000000.0,-49000000.0,213605000000.0,650758000000.0,488652000000,-720327000000,79023000000,0.17,55822000000,22700325000000.0,328364705882.0,331630000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,429882000000.0,1028663000000,23575000000.0,-51000000.0,41623000000,3488116000000.0,-239614000000.0,,65907000000,37702000000.0,1670294000000.0,,-50222000000,,10796000000,152452000000.0,-6460000000,152452000000.0,141191000000,-9620000000,652944000000.0,-23466000000.0,,-54756000000,978441000000,30827000000,31172000000,1381000000.0,61817000000,20934684000000.0,42000000.0,,2422326000000.0,417265000000,-467398000000,83480000000,,31172000000,22609471000000.0,,-16080000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,429882000000.0,979473000000,23225000000.0,,74664000000,771094000000.0,-238673000000.0,360300000000.0,56277000000,49930000000.0,1732411000000.0,,176457000000,,12543000000,149321000000.0,263874000000,149321000000.0,172986000000,-468000000,711817000000.0,-6283000000.0,0.17,-80341000000,1155930000000,62121000000,61251000000,1381000000.0,40009000000,21920411000000.0,,,1825535000000.0,428176000000,-508249000000,89350000000,0.17,61251000000,23657926000000.0,360300000000.0,263406000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,429882000000.0,1155930000000,23155000000.0,,71198000000,3370978000000.0,-211157000000.0,,48457000000,62885000000.0,1732667000000.0,,-392849000000,,10947000000,147969000000.0,-274386000000,147969000000.0,150218000000,-3351000000,673396000000.0,-71058000000.0,,-179635000000,762049000000,60251000000,60194000000,1381000000.0,43204000000,22237018000000.0,,,720561000000.0,507154000000,-683067000000,94588000000,,60194000000,23975153000000.0,,-277737000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,429882000000.0,762049000000,22842000000.0,-961000000.0,71460000000,839408000000.0,-310201000000.0,348388235294.0,49391000000,,1917649000000.0,,324082000000,,12041000000,146908000000.0,112649000000,146908000000.0,151821000000,-2697000000,732608000000.0,-4816000000.0,0.17,12239000000,1086131000000,59419000000,59226000000,1381000000.0,45508000000,22947501000000.0,1091351000000.0,,862281000000.0,539435000000,-524281000000,94893000000,0.17,59226000000,24870961000000.0,348388235294.0,109952000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
