date,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyLongTermDebt,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2015-03-31,0.0,5176968.772041,-40973062.10907,1326487976.079066,0.0,1218472087.668831,1214376622.656033,65424173.006428,,45155783.901851,3655178.508294,14541462.462366,4182721.792781,4095465.012797,118529930.137772,-627746889.265107,1234545747.166868,122200318.543495,19718431.234406,,1409637283.235876,175091536.069009,0.0,141918749.777901,0.0,,,20322024.006034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,,6157842.404725,,1260561005.519473,0.0,1161267746.986739,1161267746.986739,67110546.234295,,,6007571.013864,20601140.185324,6634112.386688,,62285438.623925,-747031930.174409,1194408747.335093,163073199.513853,26758982.590049,,1386174749.796794,191766002.4617,0.0,189832182.103902,0.0,,,34350561.871512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,0.0,7019000.0,-29322000.0,1221360000.0,0.0,1020558000.0,1020558000.0,72305000.0,,35868000.0,3751000.0,0.0,6546000.0,,55358000.0,-897680000.0,1035488000.0,185860000.0,7019000.0,,1348150000.0,312662000.0,0.0,192879000.0,110250000.0,,,22799000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,,7798000.0,,1207083000.0,236915000.0,565485000.0,565485000.0,72381000.0,608000.0,,10480000.0,,5862000.0,,167451000.0,-1000078000.0,835105000.0,263143000.0,107798000.0,19123000.0,1508508000.0,673403000.0,0.0,370941000.0,110250000.0,100000000.0,7988000.0,30227000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,,6566000.0,-33996000.0,1177836000.0,914000.0,580160000.0,569860000.0,72481000.0,,39061000.0,125862000.0,,5065000.0,10300000.0,0.0,-1105306000.0,810915000.0,353472000.0,206566000.0,19123000.0,1679700000.0,868785000.0,0.0,560038000.0,0.0,200000000.0,151505000.0,63904000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,,6951000.0,,1122579000.0,267383000.0,204150000.0,109350000.0,82781000.0,200000000.0,,190565000.0,,7026000.0,94800000.0,352749000.0,-1191299000.0,890363000.0,798743000.0,6951000.0,19123000.0,1868863000.0,978500000.0,0.0,805694000.0,0.0,0.0,273461000.0,91510000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,,7682000.0,-64209000.0,2580248000.0,,1401297000.0,508419000.0,86617000.0,,70483000.0,323310000.0,,6274000.0,892878000.0,,-1203309000.0,2016093000.0,580238000.0,7682000.0,19123000.0,3110977000.0,1094884000.0,,587920000.0,,0.0,442231000.0,79556000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,,8672000.0,,2698006000.0,,2290275000.0,1319081000.0,102610000.0,1257969000.0,,529183000.0,,6605000.0,971194000.0,,,2954653000.0,2835500000.0,8672000.0,19123000.0,5479113000.0,2524460000.0,,2844172000.0,,,364484000.0,183278000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,,11677000.0,-67950000.0,2794519000.0,,2017084000.0,280371000.0,102898000.0,1700000000.0,76836000.0,902651000.0,,8886000.0,1736713000.0,,,3303394000.0,3233382000.0,11677000.0,27006000.0,5981885000.0,2678491000.0,,3245059000.0,,,595793000.0,213467000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,4826000.0,16809000.0,,5020647000.0,,3769129000.0,2658998000.0,105636000.0,1000000000.0,98186000.0,1434649000.0,,98186000.0,1110131000.0,,,5191216000.0,2991391000.0,65173000.0,54576000.0,8013179000.0,2821963000.0,,3056564000.0,,,965620000.0,214382000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
