date,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyBasicAverageShares,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyCommonStockIssuance,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyOtherNonCashItems,quarterlyCurrentDeferredRevenue,quarterlyCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable
1986-12-31,,,,,22100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000000,,,,,,,,,,,,,,,,,,,,399000000,399000000,,,,,
1987-03-31,,,,,23000000,,146418000.0,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,146418000.0,,,,,,,,,,,421000000,,,,,,,,,,,,,,,,,0.11,,,421000000,421000000,,,,,
1987-06-30,,,,,13000000,,146418000.0,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,146418000.0,,,,,,,,,,,313400000,,,,,,,,,,,,,,,,,0.05,,,313400000,313400000,,,,,
1987-09-30,,,,,14000000,,146418000.0,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,146418000.0,,,,,,,,,,,324600000,,,,,,,,,,,,,,,,,0.05,,,324600000,324600000,,,,,
1987-12-31,,,,,15000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392600000,,,,,,,,,,,,,,,,,,,,392600000,392600000,,,,,
1988-03-31,,,,,38400000,,146486000.0,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,146486000.0,,,,,,,,,,,465300000,,,,,,,,,,,,,,,,,0.22,,,465300000,465300000,,,,,
1988-06-30,,,,,19100000,,146564000.0,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,146564000.0,,,,,,,,,,,315400000,,,,,,,,,,,,,,,,,0.09,,,315400000,315400000,,,,,
1988-09-30,,,,,22300000,,146564000.0,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,146564000.0,,,,,,,,,,,318000000,,,,,,,,,,,,,,,,,0.15,,,318000000,318000000,,,,,
1988-12-31,,,,,43100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425500000,,,,,,,,,,,,,,,,,,,,425500000,425500000,,,,,
1989-03-31,,,,,48300000,,146620000.0,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,146620000.0,,,,,,,,,,,466700000,,,,,,,,,,,,,,,,,0.33,,,466700000,466700000,,,,,
1989-06-30,,,,21300000.0,21300000,,148333333.0,,,,,,,,,,,,,,,,,,0.12,,,,,,,,17800000.0,,,,,,,148333333.0,,,,,,,,,,,322800000,,,,,,,,,,,,,,,,,0.12,,,322800000,322800000,,,,,
1989-09-30,,,,23300000.0,23300000,,142142857.0,,,,,,,,,,,,,,,,,,0.14,,,,,,,,19900000.0,,,,,,,142142857.0,,,,,,,,,,,318500000,,,,,,,,,,,,,,,,,0.14,,,318500000,318500000,,,,,
1989-12-31,,,,40900000.0,40900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,37800000.0,,,,,,,,,,,,,,,,,,451700000,,,,,,,,,,,,,,,,,,,,451700000,451700000,,,,,
1990-03-31,,,,45700000.0,45700000,,137096774.0,,,,,,,,,,,,,,,,,,0.31,,,,,,,,42500000.0,,,,,,,137096774.0,,,,,,,,,,,453600000,,,,,,,,,,,,,,,,,0.31,,,453600000,453600000,,,,,
1990-06-30,,,,21100000.0,21100000,,137692308.0,,,,,,,,,,,,,,,,,,0.13,,,,,,,,17900000.0,,,,,,,137692308.0,,,,,,,,,,,325900000,,,,,,,,,,,,,,,,,0.13,,,325900000,325900000,,,,,
1990-09-30,,,,27900000.0,27900000,,137222222.0,,,,,,,,,,,,,,,,,,0.18,,,,,,,,24700000.0,,,,,,,137222222.0,,,,,,,,,,,317800000,,,,,,,,,,,,,,,,,0.18,,,317800000,317800000,,,,,
1990-12-31,,,,30700000.0,30700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,27400000.0,,,,,,,,,,,,,,,,,,423700000,,,,,,,,,,,,,,,,,,,,423700000,423700000,,,,,
1991-03-31,,,,46100000.0,46100000,,137272727.0,,,,,,,,,,,,,,,,,,0.33,,,,,,,,45300000.0,,,,,,,137272727.0,,,,,,,,,,,462300000,,,,,,,,,,,,,,,,,0.33,,,462300000,462300000,,,,,
1991-06-30,,,,20300000.0,20300000,,130000000.0,,,,,,,,,,,,,,,,,,0.15,,,,,,,,19500000.0,,,,,,,130000000.0,,,,,,,,,,,320400000,,,,,,,,,,,,,,,,,0.15,,,320400000,320400000,,,,,
1991-09-30,,,,25300000.0,25300000,,128947368.0,,,,,,,,,,,,,,,,,,0.19,,,,,,,,24500000.0,,,,,,,128947368.0,,,,,,,,,,,323400000,,,,,,,,,,,,,,,,,0.19,,,323400000,323400000,,,,,
1991-12-31,,,,41700000.0,41700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,40900000.0,,,,,,,,,,,,,,,,,,429000000,,,,,,,,,,,,,,,,,,,,429000000,429000000,,,,,
1992-03-31,,,,48200000.0,48200000,,135428571.0,,,,,,,,,,,,,,,,,,0.35,,,,,,,,47400000.0,,,,,,,135428571.0,,,,,,,,,,,474000000,,,,,,,,,,,,,,,,,0.35,,,474000000,474000000,,,,,
1992-06-30,,,,18600000.0,18600000,,136923077.0,,,,,,,,,,,,,,,,,,0.13,,,,,,,,17800000.0,,,,,,,136923077.0,,,,,,,,,,,329300000,,,,,,,,,,,,,,,,,0.13,,,329300000,329300000,,,,,
1992-09-30,,,,20800000.0,20800000,,133333333.0,,,,,,,,,,,,,,,,,,0.15,,,,,,,,20000000.0,,,,,,,133333333.0,,,,,,,,,,,316500000,,,,,,,,,,,,,,,,,0.15,,,316500000,316500000,,,,,
1992-12-31,,,,49000000.0,49000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,48200000.0,,,,,,,,,,,,,,,,,,462600000,,,,,,,,,,,,,,,,,,,,462600000,462600000,,,,,
1993-03-31,,,,58600000.0,58600000,,131363636.0,,,,,,,,,,,,,,,,,,0.44,,,,,,,,57800000.0,,,,,,,131363636.0,,,,,,,,,,,521600000,,,,,,,,,,,,,,,,,0.44,,,521600000,521600000,,,,,
1993-06-30,,,,21700000.0,21700000,,130625000.0,,,,,,,,,,,,,,,,,,0.16,,,,,,,,20900000.0,,,,,,,130625000.0,,,,,,,,,,,348800000,,,,,,,,,,,,,,,,,0.16,,,348800000,348800000,,,,,
1993-09-30,,,,27300000.0,27300000,,132500000.0,,,,,,,,,,,,,,,,,,0.2,,,,,,,,26500000.0,,,,,,,132500000.0,,,,,,,,,,,342500000,,,,,,,,,,,,,,,,,0.2,,,342500000,342500000,,,,,
1993-12-31,,,,48600000.0,48600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,47800000.0,,,,,,,,,,,,,,,,,,464900000,,,,,,,,,,,,,,,,,,,,464900000,464900000,,,,,
1994-03-31,217000000.0,37700000.0,1869900000.0,65000000.0,65000000,149400000.0,131020408.0,210800000.0,151900000.0,,270600000.0,700000.0,,,1214600000.0,703000000.0,109100000.0,-1100000.0,53900000.0,-24500000.0,53900000.0,,1072200000.0,16100000.0,0.49,,25700000.0,149400000.0,,2612200000.0,195700000.0,3936000000.0,64200000.0,,164200000.0,3600800000.0,0.0,,5481400000.0,131020408.0,-14300000.0,202100000.0,103700000.0,-15100000.0,,20300000.0,-3900000.0,,1323800000.0,200000.0,176500000,,-53700000.0,53900000.0,166100000.0,42400000.0,295000000.0,64400000.0,,589100000.0,,335200000.0,,,,3386200000.0,102800000.0,0.49,37800000.0,421600000.0,565600000,128900000,-52800000.0,-125600000.0,-2095200000.0,,
1994-06-30,5900000.0,-17100000.0,1747800000.0,21500000.0,21500000,356900000.0,129375000.0,142000000.0,78100000.0,,125700000.0,500000.0,,,1072500000.0,711900000.0,136200000.0,-1900000.0,36800000.0,-24200000.0,36800000.0,,1070700000.0,53900000.0,0.16,,24200000.0,356900000.0,,2574700000.0,210100000.0,3877200000.0,20700000.0,,-41000000.0,3606600000.0,0.0,,5514100000.0,129375000.0,-19500000.0,152700000.0,-53300000.0,-300000.0,,19500000.0,-3300000.0,,1302500000.0,900000.0,110700000,,-46300000.0,36800000.0,160200000.0,-27100000.0,222300000.0,39800000.0,,677300000.0,,270600000.0,,,,3378300000.0,37000000.0,0.16,15500000.0,419000000.0,348000000,62100000,-46900000.0,23400000.0,-2135800000.0,,
1994-09-30,62000000.0,0.0,1881700000.0,28500000.0,28500000,292500000.0,125909091.0,119400000.0,43200000.0,,108200000.0,600000.0,,,1187200000.0,719500000.0,176400000.0,1000000.0,36700000.0,-24100000.0,36700000.0,,1067400000.0,36800000.0,0.22,,24700000.0,292500000.0,,2613000000.0,231400000.0,3899300000.0,27700000.0,,7000000.0,3627900000.0,0.0,,5540700000.0,125909091.0,-19400000.0,148200000.0,-35900000.0,7500000.0,,15100000.0,-3200000.0,,1286300000.0,-7900000.0,119800000,,-62800000.0,36700000.0,155200000.0,-40200000.0,226400000.0,63800000.0,,585600000.0,,271400000.0,,,,3378400000.0,47700000.0,0.22,19200000.0,423700000.0,334600000,71200000,-55000000.0,700000.0,-2162300000.0,,
1994-12-31,51500000.0,3700000.0,1866400000.0,49000000.0,49000000,-100000.0,,114700000.0,86300000.0,,178700000.0,300000.0,,,1180300000.0,698500000.0,162500000.0,5100000.0,40400000.0,-23900000.0,40400000.0,,1058400000.0,36700000.0,,,25400000.0,340800000.0,,2649200000.0,195400000.0,3944500000.0,48200000.0,,5600000.0,3616600000.0,-100000.0,,5597100000.0,,-15700000.0,158500000.0,-35200000.0,-3600000.0,,38700000.0,-2500000.0,,1295300000.0,-4700000.0,142200000,,-51300000.0,40400000.0,156900000.0,13900000.0,249600000.0,43100000.0,,641000000.0,,327900000.0,,,,3395000000.0,74200000.0,,25200000.0,446900000.0,428300000,92700000,-45900000.0,3500000.0,-2202100000.0,,
1995-03-31,242800000.0,-4300000.0,1876900000.0,60300000.0,60300000,185000000.0,129347826.0,218000000.0,117300000.0,,237000000.0,1400000.0,,,1183900000.0,703600000.0,116600000.0,-800000.0,36200000.0,-25900000.0,36200000.0,,1055700000.0,40400000.0,0.46,,25800000.0,185000000.0,,2591100000.0,196100000.0,3910700000.0,59500000.0,,192900000.0,3627600000.0,600000.0,,5664000000.0,129347826.0,-14000000.0,146000000.0,139100000.0,-17100000.0,,13000000.0,-8900000.0,,1319600000.0,-8100000.0,171800000,,-58200000.0,36200000.0,162800000.0,45800000.0,285500000.0,62400000.0,,576100000.0,,283100000.0,,,,3415800000.0,97900000.0,0.46,37600000.0,481200000.0,522500000,122700000,-49900000.0,-188900000.0,-2248200000.0,,
1995-06-30,51500000.0,12500000.0,2037900000.0,26900000.0,26900000,90600000.0,124285714.0,189500000.0,64400000.0,,132100000.0,1400000.0,,,1343500000.0,701900000.0,127900000.0,-100000.0,48700000.0,-25600000.0,48700000.0,,1052900000.0,36200000.0,0.21,,26400000.0,90600000.0,,2594100000.0,197400000.0,3892300000.0,26100000.0,,4900000.0,3629300000.0,-200000.0,,5700700000.0,124285714.0,-23500000.0,114800000.0,-11300000.0,-4900000.0,,22000000.0,-9000000.0,,1298200000.0,-400000.0,120700000,,-47700000.0,48700000.0,157400000.0,-11200000.0,228400000.0,42600000.0,,421600000.0,,263000000.0,,,,3417600000.0,45700000.0,0.21,18800000.0,482800000.0,360500000,71000000,-46600000.0,8600000.0,-2283100000.0,,
1995-09-30,56200000.0,-30100000.0,1878900000.0,36400000.0,36400000,100000.0,127142857.0,179600000.0,55200000.0,,120900000.0,1100000.0,,,1176200000.0,700300000.0,158400000.0,-1200000.0,18500000.0,-27300000.0,18500000.0,,1051600000.0,48700000.0,0.28,,25800000.0,265900000.0,,2597100000.0,203500000.0,3895000000.0,35600000.0,,17500000.0,3634700000.0,200000.0,,5748200000.0,127142857.0,-12900000.0,115000000.0,-52000000.0,4300000.0,,28200000.0,-8400000.0,,1297900000.0,-12000000.0,138100000,,-52300000.0,18500000.0,162000000.0,-30500000.0,249400000.0,69400000.0,,587200000.0,,260300000.0,,,,3416600000.0,61100000.0,0.28,24700000.0,493900000.0,370300000,87400000,-38700000.0,-33900000.0,-2331600000.0,,
1995-12-31,41000000.0,10000000.0,1902500000.0,51900000.0,51900000,-100000.0,,129300000.0,120400000.0,,195000000.0,3500000.0,,,1175700000.0,712600000.0,140200000.0,-2000000.0,28500000.0,-23300000.0,28500000.0,,1050900000.0,18500000.0,,,26500000.0,360100000.0,,2697300000.0,212400000.0,3999500000.0,51100000.0,,-13600000.0,3682900000.0,100000.0,,5810800000.0,,-25900000.0,151700000.0,-86000000.0,15000000.0,,27500000.0,-6500000.0,,1302200000.0,-31200000.0,159600000,,-86500000.0,28500000.0,165900000.0,17300000.0,274000000.0,62000000.0,,669200000.0,,316600000.0,,,,3437100000.0,79200000.0,,27300000.0,518800000.0,469000000,108100000,-54600000.0,55500000.0,-2373700000.0,,
1996-03-31,154800000.0,12700000.0,1983700000.0,67500000.0,67500000,-100000.0,124814815.0,205500000.0,165400000.0,,268400000.0,600000.0,,,1252200000.0,711300000.0,96200000.0,500000.0,41300000.0,-26300000.0,41300000.0,,1015900000.0,28500000.0,0.54,,27100000.0,291000000.0,,2808900000.0,211900000.0,4080300000.0,67400000.0,,119800000.0,3696100000.0,100000.0,,5848700000.0,124814815.0,-73500000.0,180600000.0,30000000.0,15000000.0,,81300000.0,-6600000.0,,1271400000.0,-13900000.0,188800000,,-49000000.0,41300000.0,172300000.0,44000000.0,307600000.0,62500000.0,,704100000.0,,384200000.0,,,,3426400000.0,109000000.0,0.54,41500000.0,560400000.0,576000000,135300000,-35000000.0,-93000000.0,-2422300000.0,,
1996-06-30,3900000.0,-9900000.0,2003700000.0,23400000.0,23400000,-100000.0,123157895.0,137200000.0,79800000.0,,134900000.0,800000.0,,,1254900000.0,712800000.0,122400000.0,1500000.0,31300000.0,-25800000.0,31300000.0,,1014400000.0,41300000.0,0.19,,27600000.0,359100000.0,,2795800000.0,212900000.0,4055500000.0,23400000.0,,-41300000.0,3693400000.0,0.0,,5886200000.0,123157895.0,-10900000.0,156400000.0,-38600000.0,-2100000.0,,128600000.0,-5800000.0,,1259700000.0,-600000.0,119600000,,-46100000.0,31300000.0,164600000.0,-26100000.0,230000000.0,22400000.0,,679600000.0,,362100000.0,,,,3416800000.0,39500000.0,0.19,16100000.0,558100000.0,364900000,65400000,-45200000.0,32200000.0,-2469400000.0,,
1996-09-30,57100000.0,31600000.0,1951300000.0,34400000.0,34400000,100000.0,122857143.0,127000000.0,59600000.0,,120500000.0,900000.0,,,1190700000.0,714100000.0,173600000.0,6700000.0,62900000.0,-25700000.0,62900000.0,,1013800000.0,31300000.0,0.28,,28400000.0,494500000.0,,2856100000.0,213500000.0,4111900000.0,34400000.0,,12600000.0,3697800000.0,100000.0,,5935800000.0,122857143.0,-14500000.0,146100000.0,-74100000.0,2000000.0,,118000000.0,-4900000.0,,1255800000.0,-8500000.0,128800000,,-54000000.0,62900000.0,162000000.0,-51300000.0,235800000.0,96300000.0,,794500000.0,,414100000.0,,,,3412100000.0,52400000.0,0.28,18000000.0,566900000.0,356300000,73800000,-44500000.0,28500000.0,-2523700000.0,,
1996-12-31,105200000.0,-36500000.0,1900900000.0,51400000.0,51400000,-100000.0,,168400000.0,165400000.0,,246800000.0,3400000.0,,,1127100000.0,711000000.0,151500000.0,-3000000.0,26300000.0,-26200000.0,26300000.0,,1013200000.0,62900000.0,,,28400000.0,573900000.0,,3031500000.0,231400000.0,4274300000.0,51400000.0,,26800000.0,3763200000.0,300000.0,,5991100000.0,,-44200000.0,251700000.0,18500000.0,12500000.0,,167900000.0,-1600000.0,,1242800000.0,-4200000.0,170800000,,-86000000.0,26300000.0,159100000.0,22200000.0,277600000.0,24400000.0,,1022200000.0,,511100000.0,,,,3444900000.0,86900000.0,,35500000.0,591400000.0,524400000,118500000,-78400000.0,-55800000.0,-2546200000.0,,
1997-03-31,305100000.0,65900000.0,2302500000.0,70800000.0,70800000,200000.0,120000000.0,294900000.0,262600000.0,,282200000.0,208500000.0,,,1372100000.0,743800000.0,104500000.0,9300000.0,92300000.0,-26800000.0,92300000.0,,1017700000.0,26300000.0,0.59,,28300000.0,430200000.0,,3466700000.0,346100000.0,4910600000.0,70800000.0,,258500000.0,4318300000.0,200000.0,,6571100000.0,120000000.0,-56600000.0,299800000.0,179500000.0,-7800000.0,,132900000.0,-1900000.0,,1443900000.0,-19400000.0,183900000,,-325400000.0,92300000.0,169200000.0,49700000.0,297000000.0,63900000.0,,1053000000.0,,592300000.0,,,,3891700000.0,109100000.0,0.59,38300000.0,635900000.0,579200000,127800000,-46600000.0,86200000.0,-2679400000.0,,
1997-06-30,-78300000.0,-62800000.0,2543800000.0,28200000.0,28200000,361900000.0,128181818.0,229900000.0,286600000.0,,127100000.0,6800000.0,,,1608300000.0,741600000.0,126400000.0,3900000.0,29400000.0,-28300000.0,29400000.0,,1016500000.0,92300000.0,0.22,,32000000.0,361900000.0,,3452300000.0,481500000.0,4856300000.0,28200000.0,,-154600000.0,4328600000.0,-600000.0,,6483900000.0,128181818.0,-47200000.0,177900000.0,-161900000.0,-25600000.0,,85300000.0,300000.0,,1404000000.0,-6100000.0,137700000,,-82100000.0,29400000.0,323000000.0,-21900000.0,396300000.0,82300000.0,,799100000.0,,527700000.0,,,,3761100000.0,45200000.0,0.22,17000000.0,634100000.0,523400000,73300000,-76300000.0,97600000.0,-2722800000.0,,
1997-09-30,129900000.0,-1100000.0,2558000000.0,35900000.0,35900000,100000.0,123793103.0,231400000.0,252900000.0,,132000000.0,1600000.0,,,1608700000.0,738300000.0,151000000.0,3300000.0,28300000.0,-28200000.0,28300000.0,,1015900000.0,29400000.0,0.29,,32900000.0,278800000.0,,3384200000.0,484000000.0,4795900000.0,35900000.0,,64900000.0,4272000000.0,-200000.0,,6473000000.0,123793103.0,-1800000.0,179200000.0,2400000.0,-500000.0,,91700000.0,500000.0,,1411700000.0,42200000.0,150400000,,-22600000.0,28300000.0,378700000.0,-24700000.0,464400000.0,93600000.0,,718700000.0,,523900000.0,,,,3702600000.0,56100000.0,0.29,20200000.0,641700000.0,596400000,85700000,-65000000.0,-108400000.0,-2770400000.0,,
1997-12-31,71800000.0,2400000.0,2671900000.0,55900000.0,55900000,-100000.0,,225500000.0,338800000.0,,229900000.0,1700000.0,,,1667900000.0,757300000.0,140300000.0,400000.0,30800000.0,-28300000.0,30800000.0,,1015400000.0,28300000.0,,,32400000.0,267300000.0,,3527700000.0,485900000.0,4937000000.0,55900000.0,,40800000.0,4306300000.0,100000.0,,6512100000.0,,-29900000.0,226800000.0,-85500000.0,32400000.0,,120800000.0,200000.0,,1409300000.0,-36200000.0,181700000,,-61200000.0,30800000.0,457700000.0,8200000.0,577100000.0,70400000.0,,750300000.0,,630700000.0,,,,3752200000.0,87700000.0,,31800000.0,667800000.0,807000000,119400000,-31000000.0,-8100000.0,-2759900000.0,,
1998-03-31,189600000.0,9600000.0,2672500000.0,60700000.0,60700000,100000.0,123877551.0,270000000.0,371800000.0,,284400000.0,3300000.0,,,1670800000.0,746600000.0,104300000.0,8400000.0,40400000.0,-29800000.0,40400000.0,,1015300000.0,30800000.0,0.48,,31300000.0,198500000.0,,3479600000.0,522100000.0,4900500000.0,60700000.0,,141400000.0,4312700000.0,100000.0,,6529400000.0,126458333.0,-23300000.0,203900000.0,103100000.0,-30000000.0,,71300000.0,1800000.0,,1420900000.0,-25900000.0,179400000,,-64400000.0,40400000.0,378800000.0,36000000.0,494900000.0,57100000.0,,703400000.0,,587800000.0,,,,3723200000.0,93000000.0,0.49,32300000.0,697900000.0,779300000,116100000,-48200000.0,-115600000.0,-2806200000.0,,
1998-06-30,101700000.0,-3700000.0,2676100000.0,29400000.0,29400000,-100000.0,122500000.0,184100000.0,264300000.0,,222000000.0,3500000.0,,,1670900000.0,738000000.0,114700000.0,-900000.0,36700000.0,-29500000.0,36700000.0,,1014100000.0,40400000.0,0.24,,32100000.0,273600000.0,,3466900000.0,538800000.0,4814000000.0,29400000.0,,37600000.0,4338800000.0,300000.0,,6591300000.0,122500000.0,-76000000.0,201100000.0,32100000.0,-12700000.0,,59500000.0,-400000.0,,1347100000.0,-15200000.0,141500000,,-78600000.0,36700000.0,352500000.0,-10300000.0,430400000.0,54200000.0,,689000000.0,,475200000.0,,,,3733800000.0,44800000.0,0.24,15400000.0,698600000.0,652400000,77900000,-64100000.0,-26800000.0,-2857500000.0,,
