date,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyTotalAssets,quarterlyBasicEPS,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyInventory,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyEbitda,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyOtherIntangibleAssets,quarterlyGoodwill
1989-03-31,,,,,,,,,1544000.0,21800000,21800000,,0.49,,,,,,1544000.0,800000,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,21800000,,,,,,,,,
1989-06-30,,,,,,,,,1739130.0,18800000,18800000,,0.23,,400000.0,,,,1739130.0,400000,400000.0,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,18800000,,,,,,,,,
1989-09-30,,,,,,,,,1612903.0,19500000,19500000,,0.31,,500000.0,,,,1612903.0,500000,500000.0,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,19500000,,,,,,,,,
1989-12-31,,,,,,,,,,21200000,21200000,,,,100000.0,,,,,100000,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21200000,,,,,,,,,
1990-03-31,,,,,,,,,1666667.0,23400000,23400000,,0.48,,800000.0,,,,1666667.0,800000,800000.0,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,23400000,,,,,,,,,
1990-06-30,,,,,,,,,1600000.0,21100000,21100000,,0.25,,400000.0,,,,1600000.0,400000,400000.0,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,21100000,,,,,,,,,
1990-09-30,,,,,,,,,1428571.0,20800000,20800000,,0.21,,300000.0,,,,1428571.0,300000,300000.0,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,20800000,,,,,,,,,
1990-12-31,,,,,,,,,,22600000,22600000,,,,700000.0,,,,,700000,700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22600000,,,,,,,,,
1991-03-31,,,,,,,,,1666667.0,22800000,22800000,,0.36,,600000.0,,,,1666667.0,600000,600000.0,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,22800000,,,,,,,,,
1991-06-30,,,,,,,,,1538462.0,20400000,20400000,,0.26,,400000.0,,,,1538462.0,400000,400000.0,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,20400000,,,,,,,,,
1991-09-30,,,,,,,,,1666667.0,21900000,21900000,,0.18,,300000.0,,,,1666667.0,300000,300000.0,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,21900000,,,,,,,,,
1991-12-31,,,,,,,,,,22700000,22700000,,,,500000.0,,,,,500000,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22700000,,,,,,,,,
1992-03-31,,,,,,,,,1818182.0,22800000,22800000,,0.33,,600000.0,,,,1818182.0,600000,600000.0,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,22800000,,,,,,,,,
1992-06-30,,,,,,,,,4000000.0,34300000,34300000,,0.2,,800000.0,,,,4000000.0,900000,900000.0,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,34300000,,,,,,,,,
1992-09-30,,,,,,,,,4000000.0,33800000,33800000,,0.2,,800000.0,,,,4000000.0,900000,900000.0,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,33800000,,,,,,,,,
1992-12-31,,,,,,,,,,39200000,39200000,,,,2500000.0,,,,,2700000,2700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39200000,,,,,,,,,
1993-03-31,,,,,,,,,4137931.0,40200000,40200000,,0.58,,2400000.0,,,,4137931.0,2400000,2400000.0,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,40200000,,,,,,,,,
1993-06-30,,,,,,,,,3823529.0,35000000,35000000,,0.34,,1300000.0,,,,3823529.0,1400000,1400000.0,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,35000000,,,,,,,,,
1993-09-30,,,,,,,,,3870968.0,36700000,36700000,,0.31,,1200000.0,,,,3870968.0,1300000,1300000.0,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,36700000,,,,,,,,,
1993-12-31,,,,,,,,,,39700000,39700000,,,,2000000.0,,,,,2200000,2200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39700000,,,,,,,,,
1994-03-31,2100000.0,,-1400000.0,29700000.0,23600000.0,25200000.0,,,4246575.0,43200000,6200000,203100000.0,0.73,179500000.0,3100000.0,141800000.0,3500000.0,,4246575.0,3200000,3200000.0,2400000.0,61300000.0,22200000.0,0.0,6300000.0,16900000.0,-1400000.0,100000.0,21000000.0,1800000.0,2500000.0,,700000.0,14800000.0,43400000.0,55600000.0,2500000.0,2500000.0,,0.73,,1700000.0,4900000.0,118100000.0,1700000.0,35100000.0,-1400000.0,1400000.0,-2700000.0,9200000.0,,0.0,0.0,-54800000.0,4900000.0,800000.0,,172900000.0,,-100000.0,12800000.0,,-500000.0,,9200000.0,300000.0,8100000,,,,,,,,,
1994-06-30,1800000.0,,-1300000.0,27600000.0,20700000.0,25100000.0,,,4137931.0,36100000,3400000,200800000.0,0.29,180100000.0,1200000.0,139400000.0,2600000.0,109700000.0,4137931.0,1300000,1300000.0,3400000.0,61400000.0,20100000.0,0.0,6100000.0,13600000.0,-2200000.0,-100000.0,16000000.0,2100000.0,1600000.0,,-300000.0,12600000.0,43200000.0,55500000.0,1600000.0,1600000.0,,0.29,,600000.0,1900000.0,118600000.0,2500000.0,35300000.0,-2200000.0,1400000.0,-3400000.0,7100000.0,,0.0,100000.0,-56000000.0,4800000.0,-900000.0,,174600000.0,,,12900000.0,,1400000.0,,7100000.0,200000.0,5300000,,,,,,,,,
1994-09-30,1800000.0,,-1400000.0,33200000.0,19600000.0,25200000.0,,,4117647.0,35900000,3800000,201500000.0,0.34,181900000.0,1400000.0,139600000.0,600000.0,104300000.0,4117647.0,1500000,1500000.0,1400000.0,61900000.0,20000000.0,0.0,6500000.0,13700000.0,-3500000.0,-200000.0,15900000.0,2300000.0,2200000.0,,-100000.0,12100000.0,43100000.0,50400000.0,2200000.0,2200000.0,,0.34,,700000.0,2200000.0,120700000.0,1600000.0,35600000.0,-3500000.0,1400000.0,-100000.0,13100000.0,,0.0,0.0,-56700000.0,4100000.0,600000.0,,177400000.0,,,12100000.0,0.0,600000.0,,13100000.0,500000.0,5700000,,,,,,,,,
1994-12-31,2000000.0,,-1400000.0,19500000.0,21900000.0,27200000.0,,,,38300000,4600000,204500000.0,,182600000.0,1900000.0,140400000.0,400000.0,119000000.0,,2000000,2000000.0,2700000.0,64100000.0,20300000.0,0.0,6100000.0,13300000.0,-2100000.0,-100000.0,18000000.0,2100000.0,3800000.0,,100000.0,13400000.0,43100000.0,65300000.0,3800000.0,3800000.0,,,,1000000.0,3000000.0,121700000.0,2200000.0,35900000.0,-2100000.0,1500000.0,1100000.0,800000.0,,0.0,0.0,-57200000.0,2500000.0,1600000.0,,178900000.0,,,12500000.0,0.0,-1900000.0,,-100000.0,100000.0,6500000,,,,,,,,,
1995-03-31,2000000.0,,-1400000.0,21300000.0,23700000.0,27100000.0,,,4193548.0,41000000,5700000,204800000.0,0.62,181100000.0,2600000.0,140500000.0,3700000.0,,4193548.0,2700000,2700000.0,1400000.0,64300000.0,21400000.0,0.0,7700000.0,14500000.0,-300000.0,-100000.0,19600000.0,1500000.0,6300000.0,,600000.0,13900000.0,43100000.0,63500000.0,6300000.0,6300000.0,,0.62,,1500000.0,4200000.0,120300000.0,3800000.0,36000000.0,-2300000.0,1600000.0,-3100000.0,700000.0,,0.0,0.0,-57500000.0,6000000.0,2500000.0,,177800000.0,,,11400000.0,-100000.0,1100000.0,,700000.0,300000.0,7700000,,,,,,,,,
1995-06-30,1900000.0,,-1500000.0,18800000.0,19900000.0,27200000.0,,,4117647.0,37700000,3800000,202400000.0,0.34,182500000.0,1400000.0,137700000.0,-2800000.0,117100000.0,4117647.0,1500000,1500000.0,2700000.0,64700000.0,23100000.0,0.0,6000000.0,13000000.0,-4100000.0,100000.0,14600000.0,2000000.0,2200000.0,,-500000.0,10800000.0,42900000.0,63500000.0,2200000.0,2200000.0,,0.34,,800000.0,2300000.0,123000000.0,6300000.0,36300000.0,-4100000.0,1500000.0,-1400000.0,600000.0,,0.0,-100000.0,-58500000.0,1300000.0,-4100000.0,,181500000.0,,,10700000.0,0.0,-2300000.0,,600000.0,200000.0,5700000,,,,,,,,,
1995-09-30,2000000.0,,-1400000.0,21600000.0,22300000.0,27500000.0,,,4250000.0,37800000,4100000,205900000.0,0.4,183600000.0,1700000.0,140500000.0,2500000.0,117200000.0,4250000.0,1800000,1800000.0,1900000.0,65400000.0,23400000.0,0.0,7000000.0,14200000.0,-3600000.0,100000.0,14400000.0,2600000.0,3600000.0,,-600000.0,10300000.0,42800000.0,63500000.0,3600000.0,3600000.0,,0.4,,700000.0,2500000.0,125000000.0,2200000.0,36500000.0,-3600000.0,1500000.0,-1100000.0,700000.0,,0.0,-100000.0,-59900000.0,6100000.0,1400000.0,,184900000.0,,,12300000.0,0.0,2200000.0,,100000.0,300000.0,6000000,,,,,,,,,
1995-12-31,1700000.0,,-1500000.0,25600000.0,23600000.0,29800000.0,,,,40000000,4800000,211700000.0,,188100000.0,2200000.0,143800000.0,-1000000.0,116400000.0,,2300000,2300000.0,3000000.0,67900000.0,22800000.0,0.0,6100000.0,14900000.0,-4600000.0,-300000.0,17200000.0,2300000.0,3400000.0,,300000.0,12400000.0,42500000.0,62200000.0,3400000.0,3400000.0,,,,1200000.0,3500000.0,129500000.0,3600000.0,36800000.0,-4600000.0,1000000.0,800000.0,4700000.0,,2000000.0,100000.0,-60700000.0,3600000.0,-200000.0,,190200000.0,,-100000.0,14600000.0,0.0,-700000.0,,4700000.0,300000.0,6700000,,,,,,,,,
1996-03-31,2100000.0,,-1500000.0,28100000.0,22000000.0,30000000.0,,,4305556.0,44100000,6400000,214000000.0,0.72,192000000.0,3100000.0,145500000.0,1000000.0,,4305556.0,3200000,3200000.0,2100000.0,68500000.0,24200000.0,0.0,8300000.0,16000000.0,-5400000.0,0.0,19900000.0,1700000.0,2200000.0,,500000.0,13500000.0,42500000.0,62200000.0,2200000.0,2200000.0,,0.72,,1800000.0,5000000.0,133300000.0,3400000.0,37100000.0,-5400000.0,1400000.0,-2300000.0,3800000.0,,0.0,-100000.0,-61900000.0,6400000.0,-1200000.0,,195200000.0,,200000.0,14400000.0,,700000.0,,3800000.0,200000.0,8500000,,,,,,,,,
1996-06-30,2000000.0,,-1500000.0,32400000.0,23700000.0,30100000.0,,,4285714.0,40700000,3400000,218400000.0,0.35,194700000.0,1500000.0,149500000.0,-2300000.0,115400000.0,4285714.0,1600000,1600000.0,4600000.0,68900000.0,24800000.0,0.0,7400000.0,14400000.0,-4700000.0,600000.0,15900000.0,2200000.0,2500000.0,,-400000.0,12500000.0,42500000.0,62200000.0,2500000.0,2500000.0,,0.35,,900000.0,2500000.0,136600000.0,2200000.0,37300000.0,-4700000.0,1500000.0,2700000.0,8200000.0,,0.0,0.0,-62200000.0,2400000.0,300000.0,,198800000.0,,200000.0,15300000.0,,-1700000.0,,-100000.0,300000.0,5400000,,,,,,,,,
1996-09-30,2200000.0,,-1400000.0,39200000.0,25600000.0,30100000.0,,,4242424.0,42400000,3800000,223700000.0,0.33,198100000.0,1400000.0,154500000.0,-3700000.0,113600000.0,4242424.0,1500000,1500000.0,5900000.0,69200000.0,26700000.0,-100000.0,6900000.0,14300000.0,-4400000.0,0.0,15700000.0,2700000.0,2700000.0,,-500000.0,11900000.0,42400000.0,61000000.0,2700000.0,2700000.0,,0.33,,700000.0,2200000.0,140500000.0,2500000.0,37600000.0,-5200000.0,1600000.0,3100000.0,14100000.0,,0.0,-100000.0,-63500000.0,1500000.0,200000.0,,204000000.0,,0.0,16500000.0,0.0,-1500000.0,,14100000.0,400000.0,6100000,,,,,,,,,
1996-12-31,2400000.0,,-1600000.0,44000000.0,31100000.0,32500000.0,,,,43700000,5500000,232100000.0,,201000000.0,2300000.0,160200000.0,-8200000.0,114600000.0,,2400000,2400000.0,9300000.0,71900000.0,25100000.0,100000.0,5000000.0,16400000.0,-4000000.0,0.0,18600000.0,2500000.0,2900000.0,,200000.0,13100000.0,42200000.0,60900000.0,2900000.0,2900000.0,,,,1300000.0,3700000.0,143800000.0,2700000.0,37900000.0,-4100000.0,1800000.0,8300000.0,23700000.0,,0.0,0.0,-63800000.0,-4100000.0,200000.0,,207600000.0,,100000.0,15100000.0,0.0,-9200000.0,,23700000.0,300000.0,7700000,,,,,,,,,
1997-03-31,2200000.0,,-1500000.0,45300000.0,30000000.0,33900000.0,,,4307692.0,45400000,6200000,231800000.0,0.65,201800000.0,2800000.0,158200000.0,5900000.0,,4307692.0,2900000,2900000.0,7200000.0,73600000.0,25500000.0,0.0,7500000.0,17700000.0,-2600000.0,0.0,19900000.0,1800000.0,3300000.0,,700000.0,13700000.0,42100000.0,57900000.0,3300000.0,3300000.0,,0.65,,1600000.0,4500000.0,144600000.0,2900000.0,38100000.0,-2600000.0,1700000.0,-5500000.0,22700000.0,,0.0,-100000.0,-65500000.0,8500000.0,400000.0,,210100000.0,,,14900000.0,,3200000.0,,22700000.0,200000.0,8500000,,,,,,,,,
1997-06-30,2200000.0,,-1600000.0,38600000.0,27600000.0,32500000.0,,,4444444.0,40600000,4300000,231300000.0,0.36,203700000.0,1600000.0,158600000.0,1000000.0,118600000.0,4444444.0,1700000,1700000.0,6800000.0,72700000.0,24600000.0,0.0,6000000.0,15700000.0,-3300000.0,0.0,16000000.0,2300000.0,2800000.0,,-500000.0,11700000.0,42100000.0,65400000.0,2800000.0,2800000.0,,0.36,,800000.0,2500000.0,146200000.0,3300000.0,38500000.0,-3300000.0,1800000.0,-1600000.0,14800000.0,,-100000.0,-100000.0,-66800000.0,4300000.0,-600000.0,,213000000.0,,,16100000.0,,0.0,,14800000.0,400000.0,6500000,,,,,,,,,
1997-09-30,2200000.0,,-1500000.0,43200000.0,28200000.0,32400000.0,,,4375000.0,40600000,4000000,234400000.0,0.32,206200000.0,1400000.0,161500000.0,-1300000.0,116900000.0,4375000.0,1500000,1500000.0,6700000.0,72900000.0,25400000.0,0.0,6400000.0,16600000.0,-3700000.0,-100000.0,15200000.0,2700000.0,2200000.0,,-400000.0,11200000.0,42100000.0,64100000.0,2200000.0,2200000.0,,0.32,,700000.0,2200000.0,148100000.0,2800000.0,38700000.0,-3700000.0,1800000.0,900000.0,18500000.0,,100000.0,100000.0,-67400000.0,2400000.0,-500000.0,,215500000.0,,100000.0,16500000.0,,-1600000.0,,100000.0,200000.0,6200000,,,,,,,,,
1997-12-31,2600000.0,,-1600000.0,43700000.0,29100000.0,34500000.0,,,,43100000,5100000,238000000.0,,208900000.0,2000000.0,162500000.0,-3300000.0,117400000.0,,2100000,2100000.0,7200000.0,75500000.0,24500000.0,0.0,5400000.0,16900000.0,-4300000.0,-100000.0,18600000.0,2700000.0,2300000.0,,0.0,13500000.0,42300000.0,63900000.0,2300000.0,2300000.0,,,,1100000.0,3200000.0,151200000.0,2200000.0,39600000.0,-4300000.0,1900000.0,3300000.0,23400000.0,,0.0,0.0,-68400000.0,1000000.0,100000.0,,219600000.0,,400000.0,14700000.0,,-4400000.0,,23400000.0,900000.0,7500000,,,,,,,,,
1998-03-31,2400000.0,,-1500000.0,45900000.0,26600000.0,35600000.0,,,4464286.0,44000000,6000000,236200000.0,0.57,209600000.0,2500000.0,160600000.0,7800000.0,,4385965.0,2600000,2600000.0,3700000.0,75600000.0,25100000.0,0.0,7200000.0,17600000.0,-3000000.0,-100000.0,18900000.0,2000000.0,3300000.0,,600000.0,12900000.0,42100000.0,60800000.0,3300000.0,3300000.0,,0.56,,1400000.0,4000000.0,152300000.0,2300000.0,38500000.0,-3000000.0,1900000.0,-6900000.0,21100000.0,,0.0,-100000.0,-69900000.0,10800000.0,900000.0,,222200000.0,,100000.0,15900000.0,,5500000.0,,-100000.0,600000.0,8300000,,,,,,,,,
1998-06-30,2200000.0,,-1700000.0,46700000.0,26400000.0,35400000.0,,,4666667.0,41500000,3800000,238000000.0,0.31,211600000.0,1400000.0,162300000.0,-1100000.0,114300000.0,4516129.0,1500000,1500000.0,4900000.0,75700000.0,25600000.0,0.0,5600000.0,15400000.0,-3200000.0,-100000.0,15900000.0,2700000.0,3400000.0,,,12100000.0,41900000.0,60700000.0,3400000.0,3400000.0,,0.3,,500000.0,2000000.0,153800000.0,3300000.0,38800000.0,-3200000.0,1700000.0,1300000.0,23600000.0,,-100000.0,0.0,-71300000.0,2100000.0,200000.0,,225100000.0,,,15700000.0,,-1700000.0,,23600000.0,300000.0,6200000,,,,,,,,,
1998-09-30,2600000.0,,-1500000.0,37100000.0,27800000.0,35600000.0,,,4444444.0,40300000,4000000,241500000.0,0.37,213700000.0,1600000.0,165400000.0,-2200000.0,127300000.0,4324324.0,1700000,1700000.0,4300000.0,76100000.0,24900000.0,0.0,6200000.0,15600000.0,-4600000.0,-100000.0,15400000.0,3500000.0,4400000.0,,,11400000.0,41700000.0,74200000.0,4400000.0,4400000.0,,0.36,,600000.0,2300000.0,156700000.0,3400000.0,39000000.0,-4600000.0,1600000.0,3100000.0,14800000.0,,0.0,-100000.0,-72800000.0,2400000.0,900000.0,,229500000.0,,,14200000.0,,-2000000.0,,100000.0,300000.0,6500000,,,,,,,,,
1998-12-31,-100000.0,,-1700000.0,38600000.0,30600000.0,36400000.0,,,,40800000,5300000,376800000.0,,346200000.0,2300000.0,297600000.0,-5800000.0,,,2400000,2400000.0,7500000.0,79200000.0,22900000.0,0.0,4900000.0,16000000.0,-3700000.0,-100000.0,17900000.0,3000000.0,4100000.0,,500000.0,12600000.0,43000000.0,74000000.0,4100000.0,4100000.0,,,,1200000.0,3600000.0,146000000.0,4400000.0,42200000.0,-3700000.0,1700000.0,5500000.0,22100000.0,,100000.0,37200000.0,-63400000.0,-2100000.0,-300000.0,,209400000.0,,,11400000.0,,-5400000.0,,22100000.0,400000.0,7800000,,,,,,,,,
