date,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyBasicEPS,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyResearchAndDevelopment
1991-03-31,-3734460.0,-4232388.0,992453492.0,553363984.0,264233792.0,50373716.0,1959761620.0,321827464.0,0.016598,,61826060.0,750875424.0,5809160.0,2952215112.0,4307575128.0,3754211144.0,-18091384.0,35518864.0,8879716.0,8879716.0,58423552.0,1355360016.0,374441856.0,,,,-4813304.0,350000000.0,376433568.0,-46390292.0,0.0,,111120932.0,287885372.0,1636357384.0,314607508.0,,1576772.0,,152780908.0,,152780908.0,9460632.0,,,18340348.0,1149715752.0,207470000.0,414940.0,44979496.0,-42323880.0,648136280.0,174523764.0,0.016598,,88714172.0,2515781220.0,-621414144.0,0.0,24232496.0,152365968.0,,1771129896.0,,,8049836.0,344400200.0,,-39336312.0,,350000000.0,-82988.0,912868.0,,,112199776.0,
1991-06-30,-1393204.0,-4431596.0,1154520072.0,572795432.0,312433872.0,58014492.0,2119051352.0,368661360.0,0.079567,,101846016.0,988931888.0,27318072.0,3273571424.0,4578561912.0,4005766480.0,49299408.0,39518376.0,29881904.0,29881904.0,90795016.0,1304990488.0,519927448.0,,,,-30019448.0,343333333.0,469004440.0,-87371012.0,0.0,,137297624.0,332325672.0,1747207304.0,367158424.0,,3801544.0,,42524248.0,,42524248.0,29263048.0,,,59144952.0,1247790512.0,55255000.0,0.0,46502608.0,-58991688.0,721851320.0,-131203844.0,0.079567,,60029032.0,2697946936.0,-688344688.0,0.0,108291096.0,-110283760.0,,1936135200.0,,,25103164.0,432580344.0,,-3895200.0,,343333333.0,88408.0,1120516.0,,,159860508.0,
1991-09-30,2936209.0,-2942611.0,895574610.0,485529030.0,302420790.0,41848207.0,2121003780.0,333263490.0,-0.008117,,53325405.0,876176175.0,-3733590.0,3016578390.0,4158732270.0,3673203240.0,-446489.0,37173570.0,-1542135.0,-1542135.0,80272185.0,1142153880.0,469701855.0,,,,175297.0,344545455.0,406474320.0,-34574906.0,0.0,,127997205.0,313215735.0,1770614475.0,353148915.0,,81165.0,,31735515.0,,31735515.0,10713780.0,,,9171645.0,1154003970.0,,0.0,44153760.0,-38288232.0,539909580.0,-14100520.0,-0.008117,,56247345.0,2462951925.0,-638930880.0,81165.0,37841743.0,-10752518.0,-37147500.0,1792934850.0,,,8403480.0,355665030.0,,-10580883.0,,344545455.0,0.0,-166589.0,,,104053530.0,
1991-12-31,29236837.0,-123032.0,1035046194.0,527683793.0,310557373.0,37437617.0,2875327546.0,167800906.0,,,-117411623.0,507924403.0,-95537932.0,3910373740.0,4988154626.0,4460470833.0,-14325115.0,111991789.0,-96138154.0,-96138154.0,53642498.0,1077780886.0,277341036.0,,,,-131126254.0,,230583367.0,-163455341.0,0.0,,145761161.0,218305542.0,2545030215.0,347994990.0,,-2050244.0,,47889751.0,,47889751.0,-53332062.0,,,-149470216.0,1274270816.0,,0.0,30008349.0,-38507224.0,511396795.0,155540903.0,,,53343654.0,3132856363.0,-596940890.0,-81165.0,24182109.0,16186506.0,16135000.0,1871211706.0,,,-53286107.0,523649399.0,,106931916.0,,,0.0,-148442.0,,,-79974006.0,
1992-03-31,-17112420.0,-1285440.0,1119136200.0,592909200.0,294847800.0,69172740.0,3077343360.0,177149700.0,-0.008034,,46918560.0,893059440.0,-2008500.0,4196479560.0,5354419980.0,4761510780.0,-16228680.0,116091300.0,-2008500.0,-2008500.0,64030980.0,1157940420.0,482120340.0,,,,-241020.0,385886000.0,410939100.0,-18879900.0,0.0,,156100620.0,196029600.0,2765222460.0,364020540.0,,964080.0,,76965720.0,,76965720.0,-7471620.0,,,-9480120.0,1345534320.0,,51497940.0,57362760.0,-20647380.0,594355320.0,39928980.0,-0.008034,,73832460.0,3342144000.0,-681524220.0,0.0,4418700.0,25467780.0,,2027058540.0,,,-9560460.0,524780880.0,,-36072660.0,,385886000.0,0.0,,,,116091300.0,
1992-06-30,-2102646.0,-1097824.0,913832790.0,591943196.0,290907162.0,59449039.0,3004178749.0,169509652.0,0.014895,,96522192.0,1032102266.0,6479499.0,3918011539.0,4996885361.0,4404942165.0,1929096.0,106651064.0,6479499.0,6479499.0,74998339.0,1078873822.0,580175830.0,,,,-8919651.0,435000000.0,451926436.0,-49936848.0,0.0,,171520531.0,205035181.0,2692492504.0,355404244.0,,-3202511.0,,1564017.0,,1564017.0,27407536.0,,,33887035.0,1243244561.0,,0.0,59432646.0,-41987777.0,364267007.0,-65623545.0,0.014895,,74849385.0,3086848219.0,-666122288.0,0.0,43916873.0,-71643520.0,,1909366849.0,,,26243308.0,549565783.0,,-46298902.0,,435000000.0,0.0,,,,161019274.0,
1992-09-30,14035170.0,-1070000.0,818207739.0,544824339.0,282520161.0,56559503.0,2941389555.0,164101983.0,0.007194,,71151627.0,971662158.0,1510803.0,3759597294.0,4802698851.0,4257874512.0,-4333653.0,102734604.0,1510803.0,1510803.0,73597689.0,1043101557.0,557054649.0,,,,311682.0,310000000.0,414607509.0,-52766922.0,0.0,,153166647.0,204605892.0,2634049059.0,343455882.0,,503601.0,,4244637.0,,4244637.0,14172771.0,,,15683574.0,1210153203.0,,0.0,55971654.0,-55135534.0,335326323.0,6269955.0,0.007194,,87698517.0,2960022792.0,-668566299.0,0.0,50801881.0,4304914.0,,1878719502.0,,,11734637.0,482881416.0,,-32881124.0,,310000000.0,0.0,,,,132087348.0,
1992-12-31,39936996.0,-1512036.0,1079125200.0,580112550.0,498174771.0,136735668.0,4573868850.0,26481600.0,,,46825833.0,1474482210.0,-159895569.0,5652994050.0,6690741750.0,6110629200.0,8702637.0,373225050.0,-159895569.0,-18384519.0,66204000.0,1037747700.0,792745938.0,,,,-13494861.0,,681736272.0,-125026230.0,0.0,,175440600.0,1296770850.0,2903872950.0,634910439.0,,-3238668.0,,4965300.0,,4965300.0,-31474446.0,,,-49858965.0,1434144150.0,,0.0,93446130.0,-123046359.0,514736100.0,-12849840.0,,,0.0,4676485050.0,-805206150.0,0.0,131748996.0,-6127074.0,,2239350300.0,,,-45796035.0,475841250.0,,19256886.0,,,88547850.0,,,,183561501.0,
1993-03-31,8331200.0,-1666240.0,768969760.0,572353440.0,339912960.0,81645760.0,4887081920.0,21661120.0,-0.008331,,57485280.0,1006408960.0,-4165600.0,5656051680.0,6696618560.0,6124265120.0,-5831840.0,399064480.0,-4165600.0,-4165600.0,77480160.0,1040566880.0,527364960.0,,,,-2499360.0,500000000.0,479044000.0,-47487840.0,0.0,,161625280.0,1299667200.0,3188350240.0,421558720.0,,-833120.0,,833120.0,,833120.0,-8331200.0,,,-12496800.0,1442963840.0,,4998720.0,69148960.0,-47487840.0,257434080.0,1666240.0,-0.008331,,0.0,4681301280.0,-824788800.0,0.0,41656000.0,-4165600.0,,2267752640.0,,,-7498080.0,511535680.0,,-36657280.0,,500000000.0,0.0,,,,139131040.0,
1993-06-30,,-923990.0,991194680.0,747713060.0,365222430.0,90172830.0,5524960590.0,33672990.0,0.034536,,114833530.0,1250217680.0,13814560.0,6516155270.0,7613549380.0,6865836320.0,42958470.0,429978180.0,13814560.0,13814560.0,78570310.0,1097394110.0,682957310.0,,,,-225440880.0,400000000.0,567260370.0,-289242060.0,0.0,,201174530.0,1553274590.0,3541707820.0,452426840.0,,0.0,,2590230.0,,2590230.0,31082760.0,,,44897320.0,1627527850.0,,0.0,69936210.0,-70799330.0,302193500.0,177059630.0,0.034536,,0.0,5238308470.0,-873770920.0,-5180460.0,113757800.0,1575370.0,,2501298770.0,,,25629690.0,689001180.0,,,,400000000.0,0.0,,,,205006360.0,
