date,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyDilutedEPS,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyBasicEPS,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyNetPPE,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue
1999-09-30,,1951600000,,,353100000,1230500000,2826600000,-912700000,-9400000,144615385.0,24100000,192700000,-7300000,1331800000,0,36800000,-1049500000,36700000,,19000000.0,-33400000,,1970600000,121900000,101300000.0,-9400000,,-31500000,51400000,261700000,-0.065,216800000,0.0,,-7000000.0,144615385.0,856000000,1384700000,,0,1400000.0,,36800000,36800000,575800000.0,233100000.0,-500000.0,69000000,,-0.065,-1046600000,614800000,-358800000.0,804100000,638800000,803800000.0,-5600000,,,875000000,-100000.0,-111700000,133900000,0.0,44900000,26300000.0,59200000,1000000.0,-17900000,445000000,1700000,-612500000,,,,,
1999-12-31,,2005800000,,,536000000,1171400000,2878500000,34500000,-14500000,,33600000,192000000,-14500000,1314200000,142800000,27300000,-22500000,45400000,,30100000.0,-1900000,,2015400000,141900000,,-14500000,,-41200000,52300000,278500000,,225600000,0.0,,8200000.0,,863100000,1435900000,,36800000,1400000.0,,27300000,27300000,626500000.0,253800000.0,-13900000.0,86500000,,,-28500000,814500000,-367500000.0,-50200000,701200000,795500000.0,-18600000,,,872700000,,-9500000,63000000,0.0,52900000,29300000.0,-40300000,2400000.0,-17900000,428000000,-4100000,-627000000,,,,,
2000-03-31,,2008211000,,,507792000,1157899000,2838635000,15544000,17809000,176524000.0,33185000,249835000,17809000,1319072000,161173000,28487000,-20477000,47729000,-2605000.0,29763000.0,-1531000,,1941605000,159653000,,17809000,,428000,49905000,349687000,0.0975,283020000,-29000.0,,0.0,182464000.0,897030000,1425275000,,27284000,1451000.0,,28487000,28487000,527971000.0,267807000.0,-23883000.0,99852000,,0.1,-17613000,857479000,-385732000.0,-11477000,622533000,809015000.0,35196000,,,830424000,,1203000,33157000,,66667000,46833000.0,-82434000,1331000.0,-4161000,423283000,17387000,-609265000,,,,,
2000-06-30,,1981206000,,,489202000,1144381000,2936900000,83731000,30168000,178308000.0,43189000,252846000,30168000,1279744000,135363000,99427000,-27489000,50048000,-4481000.0,30204000.0,-3663000,,1995583000,142258000,,30168000,,-219000,47849000,387911000,0.16,296035000,0.0,,0.0,187924000.0,941317000,1413905000,,28487000,1456000.0,,99427000,99427000,621254000.0,303466000.0,-32464000.0,135065000,,0.17,-23089000,877113000,-404254000.0,-8391000,715839000,829297000.0,58213000,,,955694000,,70940000,106820000,,91876000,44537000.0,-34610000,6470000.0,5867000,425043000,28045000,-579126000,,,,,
2000-09-30,,1956806000,,,474230000,906063000,3006154000,79218000,28712000,179888000.0,41998000,251219000,28712000,1032341000,126278000,161786000,-42461000,282520000,-17169000.0,29463000.0,-4137000,,2019517000,164012000,,28712000,,2803000,43012000,376006000,0.15,293217000,0.0,,0.0,191540000.0,986637000,1368713000,,99427000,1461000.0,,161786000,161786000,669774000.0,331159000.0,-39606000.0,124787000,,0.16,-27259000,850236000,-426134000.0,-1657000,987176000,850215000.0,54019000,,,1049348000,,62359000,106477000,,82789000,34882000.0,-25211000,8326000.0,4177000,424081000,25307000,-550443000,,,,,
2000-12-31,,1883847000,,,496382000,760705000,2864536000,74512000,25363000,,15924000,247543000,28259000,877751000,117046000,171477000,42412000,265408000,-3160000.0,23662000.0,7599000,,1832741000,172388000,,25363000,,-6756000,44274000,339952000,,263467000,-6871000.0,,0.0,,1031795000,1261603000,,161786000,1465000.0,,171477000,171477000,689582000.0,279365000.0,-36535000.0,92409000,,,-48489000,836334000,-383697000.0,-155722000,954990000,833553000.0,53553000,,,980689000,,9691000,123001000,,76485000,0.0,-28038000,6020000.0,27954000,449856000,25294000,-525111000,,,,,
2001-03-31,,1950421000,,509272000.0,494800000,758481000,2903235000,-2884000,35748000,183780000.0,34265000,252802000,35748000,884000000,124519000,120730000,-90268000,265030000,-200000.0,22700000.0,-1592000,,1804019000,179678000,,35748000,,-298000,45161000,387753000,0.185,298167000,-118000.0,,0.0,193240000.0,1099216000,1297679000,,171477000,469000.0,,120730000,120730000,654989000.0,185533000.0,-37977000.0,134951000,,0.195,-43615000,882553000,,-1210000,920019000,473064000.0,65472000,,,952814000,,-50747000,40731000,,89586000,0.0,-92241000,3101000.0,-2743000,473064000,29724000,-489392000,,,,,
2001-06-30,,1941765000,,520873000.0,549391000,726673000,2898425000,76087000,25495000,185132000.0,36638000,256474000,47104000,847493000,120820000,174165000,-30319000,287747000,-9701000.0,20458000.0,-25061000,,1737552000,111894000,,25495000,,-4565000,44456000,382198000,0.13,268613000,-29000.0,,2000000.0,194608000.0,1160873000,1293469000,,120730000,1945000.0,,174165000,174165000,602312000.0,0.0,-26248000.0,150223000,,0.14,-34817000,931589000,-383697000.0,-27150000,890059000,870536000.0,85711000,,,956660000,,53435000,110904000,,113585000,0.0,-46720000,7031000.0,3990000,486839000,38607000,-463927000,,,,,
2001-09-30,1256222000.0,1945065000,,513637000.0,535564000,677913000,2933470000,117894000,50122000,186764000.0,37097000,251048000,50122000,801883000,122970000,238879000,-31997000,280618000,-1305000.0,14810000.0,-4290000,,1690548000,116174000,,50122000,,2437000,46188000,367625000,0.255,262490000,-29000.0,,989000.0,196092000.0,1242922000,26456000,,174165000,954000.0,,238879000,238879000,608047000.0,0.0,-20792000.0,142232000,,0.27,-31751000,903189000,-383697000.0,-52934000,888665000,876894000.0,89886000,,,988405000,,64714000,149645000,,105135000,0.0,-2002000,7380000.0,3977000,493197000,39764000,-413834000,,,,,
2001-12-31,,2054041000,,508340000.0,537574000,820337000,2930555000,125720000,50938000,,39727000,258356000,50938000,935945000,115608000,122332000,-144032000,1404000,-9222000.0,12555000.0,2484000,,1594568000,113601000,,50938000,,4116000,49906000,372866000,,269782000,-8778000.0,,0.0,,1335987000,1379143000,,238879000,960000.0,,122332000,122332000,657219000.0,0.0,-16723000.0,142811000,,,-38803000,910440000,-463408000.0,-137038000,658623000,972027000.0,91535000,,,876514000,,-116547000,164523000,,103084000,0.0,19760000,8119000.0,-5784000,508619000,40597000,-362926000,,,,,
2002-03-31,,2055849000,,548400000.0,557738000,820190000,3005716000,11588000,66689000,190844000.0,30310000,258403000,66689000,936431000,116241000,149427000,-32303000,1405000,,12675000.0,-3052000,,1560118000,104870000,,66689000,,614000,51533000,389024000,0.335,260558000,,,-549000.0,198614000.0,1445598000,1378562000,10660000.0,122332000,967000.0,,149427000,149427000,622282000.0,0.0,-13659000.0,158776000,,0.35,-41266000,946762000,-463408000.0,6544000,623687000,983352000.0,112523000,,,949867000,,27095000,52854000,,128466000,0.0,-111087000,9879000.0,4894000,519944000,45834000,-296237000,,,,,
2002-06-30,,2517671000,,597667000.0,630258000,820819000,3451485000,122968000,87151000,192786000.0,33505000,276821000,87151000,934910000,114091000,89840000,-375813000,301768000,,14916000.0,-3345000,,1881491000,99752000,,87151000,,5660000,57930000,438552000,0.435,278886000,,,549000.0,200594000.0,1569994000,1802481000,0.0,149427000,974000.0,,89840000,89840000,644813000.0,0.0,-10373000.0,193171000,,0.45,-42124000,1068810000,-463408000.0,151134000,946581000,1032402000.0,146472000,,,933814000,,-59587000,165092000,,159666000,0.0,-65568000,12224000.0,12669000,568994000,59321000,-209086000,,,,,
2002-09-30,1789452000.0,2535592000,,576461000.0,625075000,796778000,3465737000,96968000,86617000,193800000.0,32882000,272587000,86617000,926504000,129726000,113854000,-31670000,251100000,-1533000.0,13388000.0,-2868000,,1788011000,99276000,,86617000,,4165000,59015000,433639000,0.435,274610000,,,10660000.0,199424000.0,1677726000,22261000,,89840000,977000.0,,113854000,113854000,610407000.0,0.0,-8367000.0,191911000,,0.445,-35013000,1058714000,-463408000.0,-76297000,861507000,1034924000.0,146145000,,,930145000,,24014000,131981000,,159029000,0.0,-20655000,2148000.0,483000,571516000,59528000,-122469000,,,,,
2002-12-31,,2499754000,,522131000.0,619317000,796507000,3324197000,209651000,81697000,,34694000,267030000,81697000,919357000,122850000,96777000,-37426000,26032000,,12694000.0,-3442000,,1555334000,88916000,,81697000,,8036000,60899000,414448000,,269160000,,,-9728000.0,,1768863000,1810933000,,113854000,980000.0,,96777000,96777000,609945000.0,0.0,-8856000.0,179982000,,,-36793000,1033765000,-572136000.0,-226095000,635977000,1142285000.0,137237000,,,824443000,,-17077000,246444000,,145288000,0.0,-35221000,2783000.0,72355000,570149000,55540000,-40772000,,,,,
2003-03-31,,3279375000,,613638000.0,648097000,1144355000,4186295000,20820000,88036000,200074000.0,36701000,279199000,88036000,1270297000,125942000,55597000,-276496000,80624000,,13909000.0,-6797000,,1943220000,93789000,,88036000,,3028000,67068000,444700000,0.43,281222000,,,-2628000.0,204910000.0,2243075000,2537625000,,96777000,1053000.0,,55597000,55597000,592299000.0,0.0,-11466000.0,200179000,,0.44,-37481000,1092797000,-572136000.0,177015000,672923000,1155439000.0,148794000,,,906920000,,-41180000,58301000,,163478000,0.0,-141060000,2799000.0,10046000,583303000,60758000,47264000,,,,,
2003-06-30,,3290909000,,628404000.0,703124000,1065171000,4244041000,131052000,120412000,210098000.0,38271000,296062000,120412000,1204316000,139145000,88069000,-44433000,74393000,,16866000.0,-3263000,,1873149000,102250000,,120412000,,6005000,68482000,516811000,0.56,298130000,,,-8486000.0,215354000.0,2370892000,2538792000,,55597000,1056000.0,,88069000,88069000,594440000.0,0.0,-7406000.0,256952000,,0.575,-38325000,1219935000,-572136000.0,-92472000,668833000,1155178000.0,203405000,,,953132000,,32472000,169377000,,218681000,0.0,-56193000,6408000.0,-4155000,583042000,82993000,167676000,,,,,
2003-09-30,,3288764000,,643840000.0,711180000,1065141000,4260766000,126951000,120024000,209574000.0,38528000,292413000,120024000,1205856000,140715000,91068000,-40715000,56290000,-336000.0,14472000.0,-4404000,,1879406000,103087000,,120024000,,6259000,68424000,510041000,0.56,292518000,,,0.0,214556000.0,2381360000,2536377000,,88069000,1061000.0,,91068000,91068000,617260000.0,0.0,-4266000.0,256051000,,0.575,-45884000,1221221000,-572136000.0,-129121000,673550000,1164235000.0,202753000,,,972002000,,2999000,172835000,-114016000.0,217523000,0.0,-52135000,7566000.0,10698000,592099000,82729000,287700000,,,,,
2003-12-31,,3305632000,,609187000.0,706222000,1028707000,4301418000,209335000,108245000,,40403000,298026000,108245000,1182924000,154217000,154958000,-55406000,73950000,,14542000.0,-3725000,,1906724000,112839000,,108245000,,4491000,72484000,497783000,,301798000,,,-2392000.0,,2394694000,2535853000,,91068000,1068000.0,,154958000,154958000,649850000.0,0.0,3601000.0,236388000,,,-52951000,1204005000,-684883000.0,-142990000,723800000,1292188000.0,182846000,,,995786000,24559000.0,63890000,262286000,-133467000.0,195985000,0.0,-4721000,13114000.0,17264000,607305000,74601000,380559000,,,,,
2004-03-31,,3306436000,,650511000.0,737281000,1057749000,4380057000,65554000,116149000,206284000.0,41070000,307545000,116149000,1213606000,155857000,190075000,-45458000,44597000,,14644000.0,-3940000,,1875602000,113491000,,116149000,,5783000,72625000,518461000,0.55,309582000,-15429000.0,,-3614000.0,211484000.0,2504455000,2532351000,,154958000,1068000.0,,190075000,190075000,617399000.0,0.0,1751000.0,249949000,,0.565,-45137000,1255742000,-684883000.0,-30116000,661996000,1294648000.0,195537000,,,1073621000,,35117000,110691000,-44871000.0,208879000,0.0,-142942000,34483000.0,11419000,609765000,79388000,481151000,,,,,
2004-06-30,,3302731000,,677710000.0,758195000,971717000,4346851000,161723000,126829000,206018000.0,42847000,307402000,126829000,1137436000,165719000,137802000,-43524000,130409000,,16346000.0,-6435000,,1907478000,102657000,,126829000,,4174000,72848000,539479000,0.6,309460000,-15514000.0,,738000.0,210794000.0,2439373000,2530098000,,190075000,1068000.0,,137802000,137802000,639633000.0,0.0,590000.0,272866000,,0.615,-45710000,1297674000,-684883000.0,-216182000,770042000,1300184000.0,212828000,,,1044120000,,-52273000,207433000,-226232000.0,230019000,0.0,-40928000,32356000.0,-1671000,615301000,85999000,592708000,,,,,
2004-09-30,,3282123000,,686045000.0,748424000,971810000,4394958000,173784000,130144000,202488000.0,42538000,308248000,130144000,1137382000,165572000,201036000,-40790000,130182000,-301000.0,13630000.0,-3721000,,1917274000,101375000,,130144000,,5693000,73219000,541473000,0.63,309773000,-15271000.0,,0.0,206544000.0,2477684000,2529716000,,137802000,1068000.0,,201036000,201036000,649710000.0,0.0,-15000.0,274238000,,0.645,-43299000,1289897000,-684883000.0,-113059000,779892000,1302884000.0,218731000,,,1112835000,,63234000,217083000,-110042000.0,231700000,0.0,-56145000,16246000.0,21643000,618001000,88587000,707684000,,,,,
2004-12-31,,3272708000,,649281000.0,757430000,724021000,4203788000,221594000,126073000,,42271000,304551000,126073000,871349000,147328000,73302000,-43928000,374801000,,13329000.0,-4695000,,1915137000,105437000,,126073000,,5956000,75327000,525858000,,295019000,-15173000.0,,-1974000.0,,2288651000,2518412000,,201036000,1068000.0,,73302000,73302000,668987000.0,0.0,3855000.0,273110000,,,-41979000,1283288000,-813642000.0,-347379000,1043788000,1433127000.0,208030000,,,931080000,,-127734000,263573000,-353432000.0,230839000,0.0,-4639000,26031000.0,21060000,619485000,81957000,818734000,,,,,
2005-03-31,,3302702000,,702419000.0,780082000,624086000,4341967000,80648000,131611000,201718000.0,42528000,308348000,131611000,771750000,147664000,86162000,-75193000,230107000,,12783000.0,0,,1704006000,104737000,,131611000,,7758000,76260000,539403000,0.64,309490000,-20761000.0,,-500000.0,206142000.0,2637961000,2535877000,,73302000,1068000.0,,86162000,86162000,702149000.0,0.0,-2322000.0,272441000,,0.65,-55381000,1319485000,-813642000.0,-47976000,932256000,1447404000.0,220086000,,,1039265000,,12860000,136029000,-62300000.0,229913000,0.0,-97226000,35488000.0,-15993000,633762000,88475000,932135000,,,,,
2005-06-30,,3363020000,,693378000.0,798678000,624150000,4507604000,165991000,149089000,202597000.0,43003000,316765000,149089000,787102000,162952000,204107000,-91664000,230086000,,12640000.0,0,,1727269000,144630000,,149089000,,5896000,76264000,578851000,0.72,317651000,-23795000.0,,-23198000.0,206554000.0,2780335000,2535142000,,86162000,2136000.0,,204107000,204107000,710081000.0,0.0,-2465000.0,304203000,,0.74,-68489000,1377529000,-813642000.0,-24871000,940167000,1472614000.0,249337000,,,1144584000,,117945000,234480000,-29688000.0,261200000,0.0,-36983000,28675000.0,5554000,658972000,100248000,1062957000,,,,,
2005-09-30,,3383392000,,693792000.0,807020000,349399000,4534734000,123203000,135248000,202681000.0,43455000,313426000,135248000,515486000,166087000,210089000,-72126000,504900000,,11840000.0,-14782000,,1706993000,147527000,,135248000,,-7751000,78173000,564801000,0.66,321605000,-6936000.0,,-17704000.0,206126000.0,2827741000,2534420000,,204107000,2136000.0,,210089000,210089000,686607000.0,0.0,-6779000.0,286651000,,0.67,-54462000,1371821000,-813642000.0,-99557000,1191507000,1484504000.0,226039000,,,1151342000,,5982000,177665000,-98479000.0,243196000,0.0,-82768000,20682000.0,-491000,670862000,90791000,1180047000,,,,,
2005-12-31,,4236618000,,732907000.0,871555000,1255386000,5306115000,257471000,130329000,,47138000,320327000,130329000,1441839000,186453000,92130000,-840810000,336839000,,20208000.0,-12973000,,2543131000,138345000,,130329000,,-1263000,77939000,563321000,,329472000,-18181000.0,,13000.0,,2762984000,3344610000,,210089000,2137000.0,,92130000,92130000,764453000.0,0.0,-9526000.0,280987000,,,-45938000,1434876000,-896782000.0,419442000,1101292000,1650445000.0,214992000,,,1069497000,,-117959000,303409000,-199696000.0,233849000,0.0,34842000,13490000.0,11591000,753663000,84663000,1292510000,,,,,
2006-03-31,3199238000.0,4234584000,,775724000.0,922984000,1240501000,5434568000,198473000,144636000,198395000.0,49060000,358190000,144636000,1441854000,201353000,156461000,-27991000,291889000,,23524000.0,-3645000,,2569272000,145987000,,144636000,,-1903000,77917000,632424000,0.72,387883000,-17877000.0,,0.0,201034000.0,2865296000,143031000,14192000.0,92130000,2137000.0,,156461000,156461000,835529000.0,0.0,-4274000.0,293601000,,0.73,-42186000,1555408000,-896782000.0,-148337000,1127418000,1643110000.0,241061000,,,1199984000,,64331000,240659000,-103977000.0,244541000,0.0,-24120000,51542000.0,-11633000,746328000,96425000,1417329000,,,,,
2006-06-30,3200649000.0,4228283000,,800279000.0,936432000,1240613000,5447594000,124494000,131977000,198013000.0,49560000,383021000,131977000,1438084000,197471000,150679000,-47703000,291935000,,22662000.0,18935000,,2544594000,144805000,,131977000,,-6054000,71463000,647903000,0.66,385278000,-19809000.0,,-1042000.0,200586000.0,2903000000,140799000,-700000.0,156461000,2137000.0,,150679000,150679000,814575000.0,0.0,-1167000.0,312185000,,0.67,-45958000,1584335000,-896782000.0,-128531000,1106510000,1638812000.0,228059000,,,1219311000,,-5782000,170452000,-149998000.0,262625000,0.0,-99999000,21761000.0,-28552000,742030000,96082000,1529467000,,,,,
2006-09-30,3389584000.0,4462863000,,857030000.0,933735000,1239002000,5704810000,189318000,160522000,197164000.0,49388000,354631000,163853000,1458640000,219638000,105115000,-275567000,316913000,,24094000.0,-542000,,2636259000,136848000,,160522000,,4329000,77315000,649467000,0.8,356606000,-19709000.0,,0.0,200129000.0,3068551000,194754000,152000.0,150679000,2137000.0,,105115000,105115000,860706000.0,0.0,2418000.0,342249000,,0.81,-45377000,1583202000,-896782000.0,-4692000,1177619000,1638459000.0,267266000,,,1241947000,71876000.0,-45564000,234695000,-21951000.0,292861000,0.0,-59792000,18376000.0,-643000,741677000,103413000,1670364000,,,,,
