date,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfInvestment,quarterlyBasicAverageShares,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInventory,quarterlyChangeInAccountPayable,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable
2005-03-31,18349000,16862000.0,111063000.0,149452000,11025000.0,5771000.0,35000.0,533000.0,,26857000,9637000.0,,347000.0,-1001000.0,6696000.0,,567000,0.0,-13895000.0,149087000.0,40125000.0,0.086667,40752000.0,12348000.0,,5254000.0,4145000,1635000.0,8914000,0.0,6482000,,-1189000.0,,,6958000.0,138427000.0,10581000,,192689000,38241000,1667000.0,,14204000,-105964000.0,762000,-53117000.0,103551000.0,41614000,39003000,11347000.0,369200000,9104000,176511000,9104000,,9104000,0.0,0.083333,14351000,,204000.0,31407000.0,14550000.0,330197000,,-1601000.0,,-13789000.0,27263000,723000.0,11025000.0,7566000,,,,
2005-06-30,20289000,18396000.0,111732000.0,158542000,7972000.0,11025000.0,35000.0,1508000.0,,29291000,16292000.0,,171000.0,-3603000.0,1989000.0,,541000,0.0,-13895000.0,147695000.0,20765000.0,0.14,43186000.0,10418000.0,,-3053000.0,4355000,-7430000.0,15338000,397000.0,5382000,,-854000.0,,,2237000.0,150570000.0,16968000,,211995000,40833000,1630000.0,,15934000,-91235000.0,679000,-32587000.0,104370000.0,52756000,41512000,6815000.0,389522000,14784000,177527000,14784000,,14784000,0.0,0.133333,17129000,,0.0,39646000.0,16487000.0,348010000,,-1270000.0,,-15425000.0,35627000,954000.0,7972000.0,8836000,,,,
2005-09-30,21108000,20655000.0,114039000.0,189420000,8729000.0,7972000.0,35000.0,1719000.0,,29451000,22439000.0,,35000.0,-1345000.0,11422000.0,,1032000,0.0,-13895000.0,146571000.0,35717000.0,0.196667,43346000.0,21353000.0,0.0,757000.0,4587000,-2605000.0,21009000,345000.0,7497000,,,,,11558000.0,180691000.0,22648000,,250861000,46213000,1639000.0,,16521000,-70515000.0,1084000,-66398000.0,105462000.0,60874000,47297000,20008000.0,427915000,20720000,177054000,20720000,,20720000,0.0,0.183333,18757000,,1000.0,43756000.0,17681000.0,380618000,,-3384000.0,,-32015000.0,42117000,1430000.0,8729000.0,12220000,,,,
2005-12-31,25051000,25313000.0,,129187000,5508000.0,8729000.0,36000.0,-24087000.0,,52225000,25439000.0,,,-24105000.0,12209000.0,,74957000,0.0,-18586000.0,129991000.0,51836000.0,,70811000.0,26668000.0,0.0,-3221000.0,4267000,-1378000.0,23511000,0.0,7950000,,-1477000.0,,,12243000.0,123679000.0,25302000,,208655000,57987000,1791000.0,,20784000,-20989000.0,1009000,-68438000.0,,72094000,58996000,2563000.0,501587000,49526000,292932000,49526000,,49526000,0.0,,23532000,,-1371000.0,52849000.0,24724000.0,442591000,,-2950000.0,,-42078000.0,48562000,-3624000.0,5508000.0,15170000,,,,
2006-03-31,29955000,27654000.0,113472000.0,165447000,5216000.0,5508000.0,37000.0,9469000.0,,53861000,23927000.0,,,-4104000.0,6468000.0,,57330000,0.0,-18586000.0,5737000.0,27432000.0,0.133333,72447000.0,16116000.0,-33000.0,-292000.0,6145000,-13490000.0,21726000,0.0,9144000,7999000.0,-1547000.0,,,6501000.0,160231000.0,23900000,,267365000,55043000,2174000.0,,23810000,-6566000.0,769000,-46522000.0,109137000.0,77258000,55812000,12012000.0,524503000,14458000,257138000,14458000,,14458000,0.0,0.126667,25577000,124638000.0,319000.0,56975000.0,18245000.0,468691000,,-5103000.0,,-22875000.0,51681000,0.0,5216000.0,20368000,,,,
2006-06-30,34470000,30272000.0,114372000.0,160518000,31061000.0,5216000.0,37000.0,11080000.0,,58841000,27762000.0,,,-8071000.0,10685000.0,,84516000,5533000.0,-18586000.0,6672000.0,78486000.0,0.15,77427000.0,19725000.0,0.0,25845000.0,7205000,-5670000.0,24507000,0.0,5769000,4895000.0,-1659000.0,,,5152000.0,129457000.0,26696000,,276202000,61665000,2189000.0,,27265000,10116000.0,1103000,-75014000.0,110052000.0,87025000,62768000,11654000.0,565838000,16682000,289636000,16682000,,16682000,0.0,0.146667,28048000,124035000.0,0.0,70530000.0,25624000.0,503070000,,-4252000.0,,-4599000.0,58977000,0.0,31061000.0,24638000,,,,
2006-09-30,36557000,33523000.0,114552000.0,201808000,53445000.0,31061000.0,37000.0,11559000.0,,58739000,28822000.0,,,-2072000.0,13537000.0,,91732000,9310000.0,-18586000.0,6243000.0,51011000.0,0.156667,77325000.0,36078000.0,,22384000.0,7979000,2264000.0,25676000,0.0,10187000,-2591000.0,-691000.0,,,4194000.0,148363000.0,28279000,,319254000,68979000,2603000.0,16539000.0,28578000,27379000.0,1368000,-76180000.0,110625000.0,95832000,70347000,34006000.0,613993000,17263000,294739000,17263000,,17263000,0.0,0.15,33599000,122453000.0,0.0,71679000.0,25269000.0,543646000,,2300000.0,,-27241000.0,62233000,0.0,53445000.0,22330000,,,,
2006-12-31,39499000,36559000.0,,239743000,34390000.0,53445000.0,37000.0,15986000.0,,59939000,39627000.0,,,-3807000.0,11493000.0,,91074000,8197000.0,-25086000.0,5814000.0,48773000.0,,85025000.0,27926000.0,,-19055000.0,8448000,-11280000.0,35446000,0.0,11092000,-1223000.0,705000.0,,,3296000.0,205353000.0,63749000,,374451000,80667000,28303000.0,-11515000.0,31051000,51020000.0,1418000,-103285000.0,,112567000,82085000,24119000.0,671790000,23641000,297339000,23641000,,23641000,0.0,,37622000,118240000.0,-319000.0,94680000.0,33016000.0,589705000,,-1965000.0,,-58638000.0,74945000,0.0,34390000.0,24295000,,,,
2007-03-31,42169000,38975000.0,115194000.0,274699000,52755000.0,34390000.0,37000.0,15145000.0,,60278000,38947000.0,,,-2705000.0,22127000.0,,110495000,12467000.0,-25086000.0,5384000.0,80506000.0,0.213333,85364000.0,33369000.0,,18365000.0,8224000,-2356000.0,34339000,0.0,14165000,-721000.0,1496000.0,,,9660000.0,221944000.0,37191000,,407378000,77057000,2852000.0,9792000.0,33945000,72774000.0,3875000,-114932000.0,111867000.0,114229000,80932000,30664000.0,724168000,23802000,316790000,23802000,,23802000,0.0,0.206667,37721000,118207000.0,0.0,90482000.0,23917000.0,643236000,,-1931000.0,,-37131000.0,76508000,0.0,52755000.0,26261000,,,,
2007-06-30,49075000,42301000.0,115971000.0,305886000,65712000.0,52755000.0,38000.0,19602000.0,,62040000,50265000.0,,,-4398000.0,27101000.0,,142475000,16504000.0,-25086000.0,4955000.0,97824000.0,0.27,87126000.0,40352000.0,,12957000.0,10192000,-795000.0,45033000,0.0,16214000,-3186000.0,1222000.0,,,10597000.0,240174000.0,48101000,,455500000,91439000,3068000.0,10602000.0,38883000,103437000.0,5910000,-147956000.0,112908000.0,140249000,97349000,35954000.0,808698000,30663000,353198000,30663000,,30663000,0.0,0.263333,46141000,118207000.0,0.0,105649000.0,32924000.0,711349000,,2221000.0,,-54530000.0,94108000,0.0,65712000.0,24040000,,,,
