date,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyTotalRevenue,quarterlyDilutedEPS,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyNonCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyCostOfRevenue,quarterlyCurrentLiabilities,quarterlyStockBasedCompensation,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyResearchAndDevelopment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyCurrentAssets,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyCapitalExpenditure,quarterlyOperatingExpense,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyGrossProfit,quarterlyOtherNonCurrentAssets
2003-03-31,,,,,,69591500.0,69591500.0,,,69591500.0,,,,,0.067272,1034483834.0,,,,,,,,3576370450.0,0.067272,,1034483834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,,,,154033000000.0,105289389420.0,69691150.0,69691150.0,1541689440.0,,69691150.0,3466377200.0,,154033000000.0,,0.134995,1038059720.0,3677874690.0,1555000000.0,,,,100597660.0,,7053956400.0,0.134995,,1039099860.0,,0.0,,30300500.0,3025807930.0,11011807710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-30,,,,,,42133000.0,42133000.0,,,42133000.0,,,,,0.040275,1046123809.0,,,,,,,,8761858300.0,0.040275,,1046123809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,0.0,150266090.0,,160645000000.0,12326000000.0,437430000.0,484430000.0,,,484430000.0,,101495000000.0,155303000000.0,1265000000.0,,,5128000000.0,2657000000.0,-155000000.0,2225000000.0,7610000000.0,100000000.0,1140000000.0,-5824692200.0,,,,,,,,4572000000.0,11106842630.0,6470000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-31,,,,,,57675660.0,-201864810.0,,,-201864810.0,,,,,-0.19376,1041826670.0,,,,,,,,3468157140.0,-0.19376,,1041826670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-30,0.0,,,7904000000.0,13984562620.0,57899100.0,-201819720.0,,,-201819720.0,2130135460.0,,122200000000.0,,-0.193714,1042220280.0,-114296000000.0,2757100000.0,,,2872000000.0,101461280.0,2872000000.0,3466777540.0,-0.193714,,1044300560.0,,0.0,,72236020.0,3965261220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-30,,,,,,169101720.0,169101720.0,,,169101720.0,,,,,0.149718,1129465883.0,,,,,,,,13017516720.0,0.149718,,1129465883.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,,98963400.0,,174058000000.0,13933000000.0,393400700.0,-193599300.0,,,-193599300.0,,135231000000.0,167805000000.0,1758000000.0,,,5927000000.0,2995000000.0,-228000000.0,,12877000000.0,119000000.0,2037000000.0,2274392020.0,,,,,,,,4339000000.0,12349590600.0,10840000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,,,,,,149766430.0,150295640.0,,,150295640.0,,,,,0.12701,1183337060.0,,,,,,,,4079679890.0,0.12701,,1183337060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,1853000000.0,13202000000.0,,192605000000.0,11097000000.0,149517200.0,150075100.0,,49653100.0,150075100.0,5266018100.0,151435000000.0,187496000000.0,0.0,0.126756,1181000000.0,4979000000.0,1987000000.0,,8715000000.0,3708000000.0,119000000.0,3708000000.0,9364351500.0,0.126756,0.0,1182000000.0,816000000.0,0.0,,168485800.0,3302210100.0,816000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,,,,,,217059840.0,218190360.0,,,218190360.0,,,,,0.177944,1226174302.0,,,,,,,,10541533740.0,0.177944,,1226174302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,1948000000.0,231000000.0,,207377000000.0,452000000.0,237526060.0,238265020.0,,,226265020.0,,158335000000.0,201839000000.0,2991000000.0,,,5194000000.0,2440000000.0,,49879000000.0,7465000000.0,119000000.0,3586000000.0,11675519260.0,,0.0,,910000000.0,,,,3511000000.0,910000000.0,3879000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-31,,,,,,225419320.0,225419320.0,,,225419320.0,,,,,0.186114,1211186500.0,,,,,,,,4085797240.0,0.186114,,1211186500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,1341000000.0,15092000000.0,,207350000000.0,11142000000.0,258580680.0,223580680.0,,53526330.0,223580680.0,3152646770.0,157554000000.0,202205000000.0,0.0,,,5049000000.0,978000000.0,,14774000000.0,3665000000.0,121000000.0,3665000000.0,9930202760.0,,0.0,,1018000000.0,0.0,,201669910.0,3118043890.0,1018000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-30,,,,,,213069300.0,213069300.0,,,213069300.0,,,,,0.175274,1215635519.0,,,,,,,,10753575450.0,0.175274,,1215635519.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,1341000000.0,1052000000.0,,216520000000.0,4839000000.0,212236700.0,211236700.0,,,211236700.0,,166018000000.0,210900000000.0,0.0,,,5488000000.0,830000000.0,-125182750.0,1398000000.0,5071000000.0,122000000.0,5071000000.0,10694681900.0,,0.0,,1133000000.0,,517000000.0,,3642562550.0,1133000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-31,,,,,,237590100.0,358424550.0,,,358424550.0,,,,,0.29393,1218500000.0,,,,,,,,8651134800.0,0.29393,,1220000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-30,1341000000.0,7468000000.0,,215118000000.0,7140000000.0,183409900.0,302575450.0,,43860960.0,302575450.0,4675179600.0,170767000000.0,209236000000.0,0.0,,,5787000000.0,1145000000.0,,12076000000.0,4500000000.0,123000000.0,4500000000.0,8603865200.0,,0.0,,1107000000.0,0.0,,125601840.0,3961442160.0,1107000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-30,,,,,,153138960.0,153138960.0,,,153138960.0,,,,,0.137728,1222500000.0,,,,,,,,7840518420.0,0.137728,,1224000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,1341000000.0,1297000000.0,,219744000000.0,3479000000.0,152301790.0,148322600.0,,,148322600.0,,182438000000.0,213441000000.0,0.0,,,6201000000.0,192000000.0,-111523920.0,1020000000.0,4951000000.0,123000000.0,4951000000.0,7710471670.0,,0.0,,1012000000.0,,599000000.0,,4440000000.0,1012000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,1341000000.0,244000000.0,773000000.0,211155000000.0,5448000000.0,,,1956000000.0,,,,177755000000.0,205505000000.0,0.0,0.0,,5552000000.0,3482000000.0,,3755000000.0,88650000000.0,124000000.0,4844000000.0,,0.0,0.0,,1038000000.0,,,,4019000000.0,1038000000.0,83806000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,1341000000.0,1232000000.0,,215542000000.0,6243000000.0,,,,,,,170951000000.0,210429000000.0,0.0,,,5058000000.0,300000000.0,,1496000000.0,5955000000.0,125000000.0,5955000000.0,,,0.0,,635000000.0,,630000000.0,,3604000000.0,635000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,1310000000.0,389000000.0,626000000.0,199386000000.0,5053000000.0,,,2989000000.0,,,,170844000000.0,194637000000.0,0.0,0.0,,4720000000.0,4315000000.0,,2706000000.0,95941000000.0,126000000.0,6542000000.0,,0.0,0.0,,428000000.0,,,,3140000000.0,428000000.0,89399000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,1310000000.0,762000000.0,,227754000000.0,6726000000.0,,,,,,,176243000000.0,221451000000.0,0.0,,,6271000000.0,124000000.0,,3809000000.0,5307000000.0,127000000.0,5307000000.0,,,0.0,,367000000.0,,594000000.0,,3964000000.0,367000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,1465000000.0,575000000.0,555000000.0,243412000000.0,6001000000.0,,,4559000000.0,,,,203246000000.0,236214000000.0,0.0,0.0,,7161000000.0,4262000000.0,,2667000000.0,119374000000.0,127000000.0,6040000000.0,,0.0,0.0,,382000000.0,,,,4115000000.0,382000000.0,113334000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,1466000000.0,903000000.0,,260806000000.0,7244000000.0,,,,,,,208837000000.0,252731000000.0,0.0,,,8031000000.0,276000000.0,,3372000000.0,6631000000.0,127000000.0,6631000000.0,,,0.0,,612000000.0,,707000000.0,,4982000000.0,612000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,1469000000.0,384000000.0,585000000.0,269466000000.0,6910000000.0,,,4039000000.0,,,,225407000000.0,260919000000.0,0.0,0.0,,8501000000.0,5035000000.0,,3203000000.0,125802000000.0,127000000.0,8589000000.0,,0.0,0.0,,705000000.0,,,,4869000000.0,761000000.0,117213000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,1465000000.0,987000000.0,,273580000000.0,6964000000.0,,,,,,,230134000000.0,264420000000.0,0.0,,,9117000000.0,178000000.0,,3840000000.0,7257000000.0,127000000.0,7257000000.0,,,0.0,,748000000.0,,736000000.0,,5839000000.0,748000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,1467000000.0,308000000.0,641000000.0,282625000000.0,7242000000.0,,,2989000000.0,,,,227066000000.0,273299000000.0,3913000000.0,0.0,,9292000000.0,4595000000.0,,3778000000.0,6737000000.0,127000000.0,6737000000.0,,0.0,0.0,,798000000.0,,,,5816000000.0,798000000.0,128269000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,1647000000.0,294000000.0,,310253000000.0,5186000000.0,,,1535000000.0,,,,248074000000.0,299889000000.0,3970000000.0,,,10359000000.0,4345000000.0,,1134000000.0,6384000000.0,128000000.0,6384000000.0,,,-489000000.0,,1254000000.0,,833000000.0,,6851000000.0,765000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,1474000000.0,2318000000.0,,325837000000.0,5383000000.0,,,2123000000.0,,,,257350000000.0,316206000000.0,4102000000.0,0.0,,9625000000.0,5795000000.0,,3743000000.0,6840000000.0,128000000.0,6840000000.0,,0.0,,,868000000.0,,538000000.0,,6721000000.0,868000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,1638000000.0,319000000.0,,325932000000.0,5945000000.0,,,1634000000.0,,,,260201000000.0,316281000000.0,3778000000.0,,,9650000000.0,5367000000.0,,1159000000.0,6785000000.0,128000000.0,6785000000.0,,,-497000000.0,,1417000000.0,,824000000.0,,7425000000.0,920000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,1635000000.0,3643000000.0,,339290000000.0,5927000000.0,,,1650000000.0,,,,271562000000.0,328664000000.0,3855000000.0,0.0,,10625000000.0,6007000000.0,,4999000000.0,5903000000.0,128000000.0,5903000000.0,,0.0,,,910000000.0,,731000000.0,,7982000000.0,910000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,1649000000.0,396000000.0,,369204000000.0,5883000000.0,,,1704000000.0,,,,298753000000.0,357392000000.0,4291000000.0,,,11811000000.0,7322000000.0,,1431000000.0,6409000000.0,128000000.0,6409000000.0,,,-577000000.0,,1555000000.0,,947000000.0,,8788000000.0,978000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,1645000000.0,3626000000.0,,377901000000.0,6818000000.0,,,1577000000.0,,,,306235000000.0,365796000000.0,4325000000.0,0.0,,12104000000.0,7359000000.0,,5515000000.0,8298000000.0,128000000.0,8298000000.0,,0.0,,,984000000.0,,750000000.0,,9587000000.0,984000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,1648000000.0,414000000.0,,386985000000.0,7118000000.0,,,1107000000.0,,,,313511000000.0,374029000000.0,4010000000.0,,,12955000000.0,8472000000.0,,1828000000.0,7782000000.0,128000000.0,7782000000.0,,,-670000000.0,,1867000000.0,,952000000.0,,10436000000.0,1197000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,1677000000.0,3505000000.0,,439324000000.0,8156000000.0,,,1956000000.0,,,,355879000000.0,424718000000.0,5397000000.0,0.0,,14605000000.0,11271000000.0,,6520000000.0,8530000000.0,128000000.0,8530000000.0,,0.0,,,,,912000000.0,,10180000000.0,1214000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,1628000000.0,493000000.0,,470498000000.0,9347000000.0,,,1052000000.0,,,,379684000000.0,455831000000.0,5370000000.0,,,14666000000.0,10807000000.0,,2520000000.0,247000000.0,129000000.0,247000000.0,,,-773000000.0,,1516000000.0,,1150000000.0,,10942000000.0,743000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,1501000000.0,3417000000.0,,481130000000.0,11988000000.0,,,,,,,391878000000.0,465680000000.0,5683000000.0,0.0,,15449000000.0,10757000000.0,,,9893000000.0,129000000.0,9893000000.0,,0.0,,,727000000.0,,,,11700000000.0,727000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,1482000000.0,542000000.0,,493941000000.0,11251000000.0,,,485000000.0,,,,406604000000.0,477847000000.0,4715000000.0,,,16087000000.0,11011000000.0,,2296000000.0,328000000.0,129000000.0,328000000.0,,,-619000000.0,,1408000000.0,,,,12326000000.0,789000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,,,501170000000.0,10597000000.0,,,909000000.0,,,,401053000000.0,485280000000.0,4443000000.0,0.0,,15882000000.0,12979000000.0,,,8450000000.0,129000000.0,8450000000.0,,0.0,,,,,,,12954000000.0,951000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,1857000000.0,670000000.0,,508645000000.0,12016000000.0,,,472000000.0,,,,401828000000.0,491378000000.0,4022000000.0,,,17249000000.0,11923000000.0,,2363000000.0,349000000.0,130000000.0,349000000.0,,,-644000000.0,,2053000000.0,,,,14206000000.0,1409000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,510000000.0,,,554683000000.0,220263000000.0,,,,,,,286555000000.0,534988000000.0,3701000000.0,0.0,,19672000000.0,12659000000.0,,,5208000000.0,130000000.0,5208000000.0,,0.0,,,,,,,14795000000.0,785000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
