date,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBasicAverageShares,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfBusiness,quarterlyChangeInInventory
2011-06-30,2913000,-2101000,-210000,5443000.0,48620000,0.0,,926603000.0,-0.07,275002000.0,-3009000.0,4530000,50291000,-39598000.0,0.0,-96000,1041798000.0,-41819000,,77031000.0,-0.07,115195000.0,287486000.0,-684000,10710000,38273000,87836000.0,86893000.0,86893000.0,29161139.0,829284000.0,-7969000.0,,15125000,868882000.0,,29161139.0,,4415000,-7750000,12666000.0,12484000.0,-449000.0,0.0,-5975000,33407000,,337152000.0,-2101000,-6644000.0,3062000,-202442000.0,49666000.0,-1575000.0,11386000.0,15304000,-4584000,86893000,640145000.0,8754000.0,,,,0.0,-118000,18103000,13688000,,,,,,,,,,
2011-09-30,13607000,-2672000,-803000,5703000.0,-66178000,0.0,0.0,1014303000.0,-0.08,298672000.0,-60648000.0,4073000,-17627000,-46235000.0,0.0,-47041000,1064350000.0,-571000,,78943000.0,-0.08,50047000.0,317425000.0,-3000,11121000,86893000,87836000.0,20715000.0,20715000.0,33146334.0,912273000.0,-10588000.0,,15250000,958508000.0,,33146334.0,,4129000,2373000,12470000.0,18753000.0,-847000.0,0.0,413000,36917000,,367366000.0,-2672000,-6550000.0,2844000,-43506000.0,49941000.0,-1510000.0,10758000.0,18908000,-62158000,20715000,633051000.0,8754000.0,,,,0.0,-895000,18009000,13880000,,,,,,,,,,
2011-12-31,3995000,-3151000,-1318000,5651000.0,-7010000,0.0,0.0,1109801000.0,,399871000.0,-63295000.0,4235000,49205000,-53329000.0,0.0,-59300000,1152791000.0,-778000,,84131000.0,,42990000.0,412340000.0,-1770000,11315000,20715000,87838000.0,13705000.0,13705000.0,,1007175000.0,-13685000.0,,15554000,1060504000.0,,,,3917000,-5278000,10795000.0,12469000.0,-883000.0,0.0,1714000,37061000,,464122000.0,-3151000,-6891000.0,3986000,-31126000.0,51782000.0,3085000.0,8963000.0,17521000,-60210000,13705000,625313000.0,8754000.0,,,,0.0,-1006000,19540000,15623000,,,,,,,,,,
2012-03-31,11986000,-2638000,468000,6136000.0,8153000,0.0,57500000.0,1108034000.0,-0.08,361051000.0,-3074000.0,4891000,8141000,-60420000.0,437000.0,8912000,1160500000.0,-1865000,,78940000.0,-0.08,52466000.0,375499000.0,-1127000,12217000,13705000,145340000.0,21858000.0,21858000.0,33320450.0,1001034000.0,-16245000.0,,17591000,1061454000.0,,33320450.0,,5459000,-661000,6829000.0,14448000.0,-968000.0,0.0,458000,38231000,,422442000.0,-2638000,-7790000.0,4514000,-122704000.0,46943000.0,-8900000.0,8069000.0,16126000,-11974000,21858000,679000000.0,8754000.0,,,,0.0,-105000,22105000,16646000,,,,,,,,,,
2012-06-30,10415000,-5217000,-2229000,6215000.0,80667000,0.0,133298000.0,1203766000.0,-0.13,350332000.0,-100421000.0,4575000,170673000,-68539000.0,172000.0,-90006000,1340177000.0,-107000,,77784000.0,-0.13,136411000.0,364256000.0,-940000,13792000,21858000,145472000.0,102525000.0,102525000.0,39772030.0,1098022000.0,-21383000.0,,16397000,1166561000.0,,39772030.0,,2689000,-676000,9982000.0,13924000.0,-1215000.0,0.0,-2374000,40615000,,423028000.0,-5217000,-9455000.0,4151000,-10563000.0,58772000.0,0.0,10371000.0,20067000,-100421000,102525000,858746000.0,8754000.0,,,,0.0,-345000,20548000,17859000,,,,,,,,,,
2012-09-30,17289000,-95000,-274000,5974000.0,-75237000,0.0,0.0,1279953000.0,-0.07,359454000.0,-94469000.0,4511000,-2957000,-75892000.0,92000.0,-77180000,1344818000.0,-3437000,-274000.0,74389000.0,-0.07,64865000.0,382336000.0,-1179000,13413000,102525000,145472000.0,27288000.0,27288000.0,46668862.0,1183757000.0,-24709000.0,,17933000,1259649000.0,,46668862.0,,4351000,4425000,7143000.0,22882000.0,-1283000.0,0.0,1557000,42066000,,436642000.0,-3395000,-9440000.0,4157000,423000.0,54306000.0,4900000.0,8833000.0,19976000,-89569000,27288000,850263000.0,8754000.0,,,,0.0,-256000,22090000,17739000,,,,,,,,,,
2012-12-31,3131000,-2950000,-2971000,37794000.0,-8384000,0.0,0.0,1509591000.0,-0.13,582085000.0,-194356000.0,5094000,209991000,-499000.0,14322000.0,-191225000,1559690000.0,-2510000,-2971000.0,473000.0,-0.13,50099000.0,18833000.0,1098000,14038000,27288000,157950000.0,18904000.0,18904000.0,46690196.0,167000.0,-30580000.0,,19725000,666000.0,,46690196.0,,2219000,-11756000,11281000.0,18833000.0,-1287000.0,0.0,-3844000,45244000,,649993000.0,-5940000,-9438000.0,3675000,-10917000.0,631160000.0,0.0,26607000.0,21748000,-221506000,18904000,852688000.0,8754000.0,582085000.0,,,0.0,-253000,23496000,21277000,,,,,,,,,,
2013-03-31,15105000,307000,317000,35613000.0,122658000,0.0,189888000.0,1512900000.0,-0.06,530023000.0,-19542000.0,5592000,127095000,-90782000.0,14321000.0,15105000,1687329000.0,-305000,317000.0,63332000.0,-0.06,174429000.0,21696000.0,-1128000,17386000,18904000,158042000.0,141562000.0,141562000.0,52184280.0,1396479000.0,-33373000.0,1726000.0,24814000,1487261000.0,,52184280.0,,5804000,-3289000,9216000.0,21696000.0,-1271000.0,0.0,-1514000,49380000,,596548000.0,-2872000,-10616000.0,4989000,-60564000.0,574852000.0,0.0,29537000.0,19682000,-19542000,141562000,1034190000.0,8754000.0,530023000.0,,5126000.0,0.0,-45000,29698000,23894000,,,,,,,,,,
2013-06-30,15886000,-3137000,1124000,40887000.0,-45232000,1269000.0,0.0,1633400000.0,-0.11,637118000.0,-29075000.0,5762000,-12043000,-94775000.0,17716000.0,-14108000,1832112000.0,-87000,1124000.0,70806000.0,-0.11,198712000.0,22267000.0,-3075000,13454000,141562000,158042000.0,96330000.0,96330000.0,56075747.0,1510822000.0,-39478000.0,1786000.0,21268000,1605597000.0,,56075747.0,,7314000,1715000,8201000.0,,-1177000.0,0.0,3730000,47390000,,708473000.0,-6184000,-10619000.0,5186000,-715000.0,686206000.0,-20000000.0,26615000.0,20508000,-49075000,96330000,1022192000.0,8754000.0,637118000.0,,-2033000.0,0.0,-518000,26882000,19568000,,,,,,,,,,
2013-09-30,12941000,-2634000,-2597000,53750000.0,-66989000,0.0,0.0,2035223000.0,-0.1,891175000.0,-359889000.0,7319000,241918000,-104609000.0,17679000.0,-346948000,2102296000.0,-2128000,-2597000.0,84726000.0,-0.1,67073000.0,39270000.0,-2971000,18674000,96330000,158042000.0,29341000.0,29341000.0,56144099.0,1893384000.0,-45101000.0,1462000.0,24978000,1997993000.0,,56144099.0,,5170000,-1886000,6705000.0,,-1989000.0,0.0,-1872000,53348000,,991763000.0,-5694000,-10619000.0,5020000,-105976000.0,952493000.0,20000000.0,31523000.0,22902000,-321848000,29341000,1010203000.0,8754000.0,891175000.0,,13681000.0,0.0,-470000,30446000,25276000,,,,,,,,,,
2013-12-31,-2385000,3191000,3306000,51463000.0,1015000,0.0,12654000.0,2065465000.0,-0.001475,931308000.0,53576000.0,6797000,36977000,-629000.0,16750000.0,-2385000,2131274000.0,-1624000,3306000.0,372000.0,-0.001475,65809000.0,27511000.0,-2687000,15310000,29341000,156047000.0,30356000.0,30356000.0,56271285.0,490000.0,-45113000.0,1480000.0,27097000,1119000.0,,56271285.0,-4106000.0,10407000,-20602000,7651000.0,,-997000.0,0.0,3213000,57417000,,1017933000.0,-83000,-10646000.0,4757000,-34867000.0,990422000.0,-87153000.0,30283000.0,25259000,-33577000,30356000,1013921000.0,8754000.0,931308000.0,,-15817000.0,0.0,-314000,32158000,21751000,,,,,,,,,,
2014-03-31,19401000,4576000,4599000,53000000.0,-1293000,170000.0,197468000.0,2138516000.0,0.02,827438000.0,-75580000.0,6524000,79985000,-126483000.0,17714000.0,-56179000,2216189000.0,-2005000,4599000.0,79338000.0,0.02,77673000.0,22715000.0,-2553000,15424000,30356000,155845000.0,29063000.0,29063000.0,63625751.0,1993945000.0,-43784000.0,1277000.0,27791000,2120428000.0,,63625751.0,-298000.0,11220000,575000,10565000.0,,-1529000.0,0.0,2317000,55596000,,914193000.0,1260000,-11876000.0,5776000,-156147000.0,891478000.0,0.0,30699000.0,21932000,-100679000,29063000,1204306000.0,8754000.0,827438000.0,,-3086000.0,0.0,-106000,33664000,22444000,,,,,,,,,,
2014-06-30,16490000,6750000,6749000,50609000.0,3734000,113000.0,0.0,2147096000.0,0.05,852524000.0,-26407000.0,6445000,13651000,-122030000.0,17682000.0,16490000,2234983000.0,-127000,6749000.0,74295000.0,0.05,87887000.0,20407000.0,-4430000,16348000,29063000,155845000.0,32797000.0,32797000.0,66485639.0,2005321000.0,-40350000.0,1978000.0,31138000,2127351000.0,,66485639.0,0.0,13195000,-4195000,12187000.0,,-2313000.0,0.0,-2291000,62129000,,937097000.0,3365000,-11874000.0,6579000,-14292000.0,916690000.0,0.0,37571000.0,24411000,-26407000,32797000,1200577000.0,8754000.0,852524000.0,,536000.0,0.0,-12000,37718000,24523000,,,,,,,,,,
2014-09-30,22455000,11156000,11453000,49707000.0,36600000,0.0,0.0,2190748000.0,0.11,920860000.0,-2500000.0,6550000,53776000,-133463000.0,19650000.0,19955000,2317449000.0,-3252000,11453000.0,71787000.0,0.11,126701000.0,35642000.0,-1966000,15923000,32797000,155845000.0,69397000.0,69397000.0,66506179.0,2015857000.0,-32662000.0,1792000.0,35364000,2149320000.0,,66506179.0,0.0,12622000,1214000,11328000.0,,-1749000.0,0.0,-4951000,68155000,,1018444000.0,7620000,-11874000.0,6802000,-171197000.0,982802000.0,-30612000.0,45728000.0,31370000,-39631000,69397000,1202296000.0,8754000.0,920860000.0,,18944000.0,0.0,5380000,36785000,24163000,,,,,,,,,,
2014-12-31,4822000,891000,885000,47226000.0,-51644000,43214000.0,0.0,2198653000.0,-0.03,918059000.0,-35500000.0,6413000,23178000,-207000.0,14244000.0,-30678000,2340885000.0,-1780000,885000.0,271000.0,-0.03,142232000.0,80058000.0,-3039000,18886000,69397000,155845000.0,17753000.0,17753000.0,66512651.0,1405000.0,-34884000.0,2512000.0,27541000,1612000.0,,66512651.0,0.0,11640000,-14557000,8600000.0,,-2443000.0,0.0,-2450000,68787000,,1055693000.0,-2290000,-12127000.0,9096000,-75872000.0,975635000.0,0.0,49253000.0,27808000,-79644000,17753000,1189351000.0,8754000.0,918059000.0,,-13280000.0,0.0,-4351000,40979000,29339000,,,,,,,,,,
2015-03-31,27125000,23072000,24574000,45348000.0,230137000,326000.0,385572000.0,2230642000.0,0.25,787190000.0,-261648000.0,5493000,406979000,-143502000.0,16906000.0,-234523000,2801643000.0,209520000,24574000.0,58390000.0,0.25,571001000.0,62061000.0,-2818000,15714000,17753000,155972000.0,247890000.0,247890000.0,76783351.0,2062317000.0,-15603000.0,2149000.0,47225000,2205819000.0,,77330351.0,0.0,13326000,10283000,9606000.0,,-3049000.0,0.0,2960000,62824000,,906743000.0,19211000,-13482000.0,9200000,-173200000.0,844682000.0,-261648000.0,49125000.0,23140000,-203967000,247890000,1579061000.0,8754000.0,787190000.0,,13445000.0,0.0,16688000,39684000,26358000,,,,,,,,,,
2015-06-30,36426000,-37976000,-36083000,146895000.0,-207563000,275000.0,17000.0,6191501000.0,-0.28,2119157000.0,-1504448000.0,14113000,1300081000,-181163000.0,17319000.0,-1468022000,6313130000.0,-10836000,-36083000.0,328277000.0,-0.28,121629000.0,75480000.0,-9774000,63179000,247890000,156067000.0,40327000.0,40327000.0,88894258.0,5728509000.0,-40766000.0,2003000.0,51622000,5909672000.0,,88894258.0,0.0,16094000,15664000,21909000.0,,2856000.0,0.0,650000,151819000,,2365207000.0,-25243000,-21419000.0,10373000,-35433000.0,2289727000.0,260148000.0,59449000.0,51760000,-1544070000,40327000,1857245000.0,8754000.0,2119157000.0,,8393000.0,0.0,-38112000,100059000,83965000,,,,,,,,,,
2015-09-30,57594000,-3101000,-1828000,136324000.0,6341000,357000.0,0.0,6112852000.0,-0.04,2088335000.0,-38500000.0,14461000,-57471000,-228828000.0,18606000.0,19094000,6254509000.0,-5666000,-1828000.0,291104000.0,-0.04,141657000.0,90453000.0,-8093000,76291000,40327000,156068000.0,46668000.0,46668000.0,88984236.0,5680971000.0,-44592000.0,2034000.0,92828000,5909799000.0,,88984236.0,0.0,4165000,-2894000,19650000.0,,-6531000.0,0.0,-5006000,151556000,,2343376000.0,-3905000,-21421000.0,9378000,-90846000.0,2252923000.0,1500000.0,73378000.0,57818000,6218000,46668000,1834949000.0,8754000.0,2088335000.0,19650000.0,13973000.0,0.0,8451000,93738000,89573000,,,,,,,,,,
2015-12-31,53711000,-1930000,-2745000,116510000.0,6883000,13292000.0,0.0,5876002000.0,-0.07,2260716000.0,-1000.0,16600000,9052000,-269074000.0,18010000.0,53710000,6254035000.0,-2885000,-2745000.0,318031000.0,-0.07,378033000.0,97340000.0,-3380000,67814000,46668000,11068000.0,53551000.0,53551000.0,88990612.0,5500462000.0,-44955000.0,2235000.0,87981000,5769536000.0,,88990612.0,-145000000.0,13803000,-10802000,38245000.0,,-1081000.0,0.0,-4338000,154651000,-170590000.0,2514821000.0,-6460000,-31624000.0,9583000,-614215000.0,2417481000.0,0.0,80795000.0,57139000,-55880000,53551000,1676011000.0,8754000.0,2260716000.0,38245000.0,-17469000.0,0.0,46000,97512000,83709000,,,,,,,,,,
2016-03-31,58897000,4031000,5976000,108978000.0,3816000,262000.0,0.0,5855022000.0,0.03,2080005000.0,,17251000,-213295000,-302835000.0,20011000.0,58897000,6039119000.0,-2428000,5976000.0,311846000.0,0.03,184097000.0,98226000.0,-3930000,64052000,53551000,11069000.0,57367000.0,57367000.0,89190803.0,5485623000.0,-42505000.0,3342000.0,91595000,5788458000.0,,89597803.0,,19011000,-6749000,32972000.0,,-10568000.0,0.0,4412000,153537000,-54415000.0,2337845000.0,2253000,-29961000.0,12503000,-210906000.0,2239619000.0,0.0,81894000.0,53655000,158214000,57367000,1651926000.0,8754000.0,2080005000.0,32972000.0,3084000.0,0.0,4203000,99882000,80871000,,,,,,,,,,
2016-06-30,48814000,1639000,4035000,101989000.0,280033000,5267000.0,294209000.0,5756803000.0,0.01,2338882000.0,,17614000,229191000,-340262000.0,19166000.0,28814000,6276923000.0,-1823000,4035000.0,293191000.0,0.01,520120000.0,109423000.0,-3812000,62192000,57367000,11170000.0,337400000.0,337400000.0,95145496.0,5407455000.0,-41470000.0,3301000.0,87757000,5747717000.0,,95995496.0,,19811000,-14994000,30352000.0,,-16079000.0,0.0,5589000,154321000,-49697000.0,2607124000.0,839000,-29476000.0,13016000,-386510000.0,2497701000.0,-19501000.0,81079000.0,55386000,2028000,337400000,1951982000.0,8754000.0,2338882000.0,,2535000.0,28237000.0,1765000,98935000,79124000,,,,,,,,,,
2016-09-30,89048000,2692000,5217000,102618000.0,-248046000,14542000.0,586305000.0,6083548000.0,0.02,2407943000.0,-301049000.0,19910000,43129000,-380662000.0,22103000.0,-212001000,6363355000.0,-1073000,5217000.0,289682000.0,0.02,279807000.0,146682000.0,-6475000,63446000,337400000,11364000.0,89354000.0,89354000.0,115083622.0,5734304000.0,-39427000.0,3288000.0,92541000,6114966000.0,,116262622.0,-582004000.0,23740000,25703000,27150000.0,,-13639000.0,0.0,2520000,164583000,-79174000.0,2706806000.0,1847000,-29509000.0,12955000,-210590000.0,2560124000.0,0.0,87903000.0,60474000,-380223000,89354000,2547722000.0,8754000.0,2407943000.0,,27167000.0,28705000.0,1257000,104109000,80369000,,,,,,,,,,
2016-12-31,22848000,26106000,28530000,111625000.0,-6339000,3806000.0,569067000.0,6438089000.0,0.18,2688010000.0,-309096000.0,21269000,275729000,-419368000.0,25177000.0,-286248000,6678998000.0,25598000,28530000.0,76973000.0,0.18,240909000.0,124378000.0,-7987000,61823000,89354000,11541000.0,83015000.0,83015000.0,125994815.0,6050933000.0,-16971000.0,4213000.0,116996000,6470301000.0,,127212815.0,-569826000.0,26845000,-41882000,40755000.0,,9496000.0,0.0,2567000,167198000,-75432000.0,2966071000.0,22279000,-29509000.0,13926000,-80601000.0,2841693000.0,-8835000.0,94133000.0,59230000,-304916000,83015000,3113460000.0,8754000.0,2688010000.0,,-37212000.0,37228000.0,22910000,107968000,81123000,,,,,,,,,,
2017-03-31,92897000,21116000,24153000,106052000.0,32675000,0.0,647675000.0,6414630000.0,0.14,2388388000.0,-56323000.0,21930000,-8310000,-463882000.0,18000000.0,36574000,6701761000.0,-4410000,24153000.0,296645000.0,0.14,287131000.0,135198000.0,4312000,65672000,83015000,11730000.0,115690000.0,115690000.0,147950594.0,6044127000.0,3784000.0,3902000.0,116850000,6508009000.0,,149950346.0,-310855000.0,28503000,11185000,34779000.0,,8710000.0,0.0,4650000,168285000,-76225000.0,2665384000.0,20515000,-40078000.0,13810000,-300642000.0,2530186000.0,-1071000.0,86859000.0,55205000,-51912000,115690000,3716043000.0,8754000.0,2388388000.0,,12378000.0,38546000.0,17550000,113080000,84577000,,,,,,,,,,
2017-06-30,48139000,3980000,6954000,102093000.0,-50341000,0.0,-166000.0,6660834000.0,0.02,2598780000.0,-201411000.0,21695000,159289000,-506118000.0,17284000.0,-153272000,6864034000.0,-10514000,6954000.0,282272000.0,0.02,203200000.0,134237000.0,-6802000,71575000,115690000,11730000.0,73242000.0,73242000.0,155290559.0,6331289000.0,7592000.0,3886000.0,104064000,6837407000.0,,156095603.0,0.0,28108000,-26905000,33344000.0,,5960000.0,0.0,-1473000,180500000,-71251000.0,2869441000.0,3553000,-39403000.0,14506000,-20628000.0,2735204000.0,0.0,97181000.0,62471000,-257769000,90526000,3681291000.0,8754000.0,2598780000.0,,-6074000.0,15377000.0,525000,118029000,89921000,,,,,,,,,,
