date,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyEndCashPosition,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyDilutedEPS,quarterlyAccountsReceivable,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyOperatingIncome,quarterlyBasicEPS,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1986-12-31,,,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000000,,,,,,44000000,,,,,,,,,,44000000,,,,,,,
1987-03-31,,,,,,,,,,,23920000.0,,,,,,,,,,,7500000,,,,,,,,,,,0.0725,,,23920000.0,,,,,,,,,,,,,,,,,,47800000,0.0725,,,,,47800000,,,,,,,,,,47800000,,,,,,,
1987-06-30,,,,,,,,,,,23920000.0,,,,,,,,,,,5200000,,,,,,,,,,,0.0475,,,23920000.0,,,,,,,,,,,,,,,,,,40700000,0.0475,,,,,40700000,,,,,,,,,,40700000,,,,,,,
1987-09-30,,,,,,,,,,,23920000.0,,,,,,,,,,,6400000,,,,,,,,,,,0.0625,,,23920000.0,,,,,,,,,,,,,,,,,,39900000,0.0625,,,,,39900000,,,,,,,,,,39900000,,,,,,,
1987-12-31,,,,,,,,,,,,,,,,,,,,,,5100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41100000,,,,,,41100000,,,,,,,,,,41100000,,,,,,,
1988-03-31,,,,,,,,,,,23936000.0,,,,,,,,,,,9200000,,,,,,,,,,,0.09,,,23936000.0,,,,,,,,,,,,,,,,,,49700000,0.09,,,,,49700000,,,,,,,,,,49700000,,,,,,,
1988-06-30,,,,,,,,,,,23936000.0,,,,,,,,,,,5400000,,,,,,,,,,,0.105,,,23936000.0,,,,,,,,,,,,,,,,,,42400000,0.105,,,,,42400000,,,,,,,,,,42400000,,,,,,,
1988-09-30,,,,,,,,,,,23936000.0,,,,,,,,,,,5000000,,,,,,,,,,,0.095,,,23936000.0,,,,,,,,,,,,,,,,,,42400000,0.095,,,,,42400000,,,,,,,,,,42400000,,,,,,,
1988-12-31,,,,,,,,,,,,,,,,,,,,,,6800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43800000,,,,,,43800000,,,,,,,,,,43800000,,,,,,,
1989-03-31,,,,,,,,,,,23936000.0,,,,,,,,,,,9300000,,,,,,,,,,,0.185,,,23936000.0,,,,,,,,,,,,,,,,,,50700000,0.185,,,,,50700000,,,,,,,,,,50700000,,,,,,,
1989-06-30,,,,,,,,,4700000.0,,23872000.0,,,,,,,,,,5300000.0,5300000,,,,,,,,,,,0.1,,,23872000.0,,,,,,,,,,,,,,,,,,39500000,0.1,,,,,39500000,,,,,,,,,,39500000,,,,,,,
1989-09-30,,,,,,,,,5200000.0,,23744000.0,,,,,,,,,,5700000.0,5700000,,,,,,,,,,,0.11,,,23744000.0,,,,,,,,,,,,,,,,,,39300000,0.11,,,,,39300000,,,,,,,,,,39300000,,,,,,,
1989-12-31,,,,,,,,,4500000.0,,,,,,,,,,,,5000000.0,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200000,,,,,,43200000,,,,,,,,,,43200000,,,,,,,
1990-03-31,,,,,,,,,8200000.0,,22944000.0,,,,,,,,,,8700000.0,8700000,,,,,,,,,,,0.175,,,22944000.0,,,,,,,,,,,,,,,,,,49300000,0.175,,,,,49300000,,,,,,,,,,49300000,,,,,,,
1990-06-30,,,,,,,,,5000000.0,,23332000.0,,,,,,,,,,5500000.0,5500000,,,,,,,,,,,0.11,,,23332000.0,,,,,,,,,,,,,,,,,,39800000,0.11,,,,,39800000,,,,,,,,,,39800000,,,,,,,
1990-09-30,,,,,,,,,4800000.0,,22598000.0,,,,,,,,,,5300000.0,5300000,,,,,,,,,,,0.105,,,22598000.0,,,,,,,,,,,,,,,,,,41900000,0.105,,,,,41900000,,,,,,,,,,41900000,,,,,,,
1990-12-31,,,,,,,,,5000000.0,,,,,,,,,,,,5500000.0,5500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41500000,,,,,,41500000,,,,,,,,,,41500000,,,,,,,
1991-03-31,,,,,,,,,9000000.0,,22402000.0,,,,,,,,,,9500000.0,9500000,,,,,,,,,,,0.2,,,22402000.0,,,,,,,,,,,,,,,,,,50300000,0.2,,,,,50300000,,,,,,,,,,50300000,,,,,,,
1991-06-30,,,,,,,,,4900000.0,,22402000.0,,,,,,,,,,5400000.0,5400000,,,,,,,,,,,0.11,,,22402000.0,,,,,,,,,,,,,,,,,,41500000,0.11,,,,,41500000,,,,,,,,,,41500000,,,,,,,
1991-09-30,,,,,,,,,4900000.0,,22370000.0,,,,,,,,,,5400000.0,5400000,,,,,,,,,,,0.11,,,22370000.0,,,,,,,,,,,,,,,,,,41900000,0.11,,,,,41900000,,,,,,,,,,41900000,,,,,,,
1991-12-31,,,,,,,,,5300000.0,,,,,,,,,,,,5800000.0,5800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46100000,,,,,,46100000,,,,,,,,,,46100000,,,,,,,
1992-03-31,,,,,,,,,8400000.0,,22370000.0,,,,,,,,,,8900000.0,8900000,,,,,,,,,,,0.19,,,22370000.0,,,,,,,,,,,,,,,,,,52600000,0.19,,,,,52600000,,,,,,,,,,52600000,,,,,,,
1992-06-30,,,,,,,,,5900000.0,,22388000.0,,,,,,,,,,6400000.0,6400000,,,,,,,,,,,0.135,,,22388000.0,,,,,,,,,,,,,,,,,,50000000,0.135,,,,,50000000,,,,,,,,,,50000000,,,,,,,
1992-09-30,,,,,,,,,4000000.0,,22370000.0,,,,,,,,,,4600000.0,4600000,,,,,,,,,,,0.09,,,22370000.0,,,,,,,,,,,,,,,,,,48100000,0.09,,,,,48100000,,,,,,,,,,48100000,,,,,,,
1992-12-31,,,,,,,,,5900000.0,,,,,,,,,,,,6600000.0,6600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58800000,,,,,,58800000,,,,,,,,,,58800000,,,,,,,
1993-03-31,,,,,,,,,9200000.0,,22360000.0,,,,,,,,,,9200000.0,9200000,,,,,,,,,,,0.195,,,22360000.0,,,,,,,,,,,,,,,,,,59000000,0.195,,,,,59000000,,,,,,,,,,59000000,,,,,,,
1993-06-30,,,,,,,,,5200000.0,,22360000.0,,,,,,,,,,5800000.0,5800000,,,,,,,,,,,0.115,,,22360000.0,,,,,,,,,,,,,,,,,,71700000,0.115,,,,,71700000,,,,,,,,,,71700000,,,,,,,
1993-09-30,,,,,,,,,5100000.0,,22360000.0,,,,,,,,,,5700000.0,5700000,,,,,,,,,,,0.115,,,22360000.0,,,,,,,,,,,,,,,,,,67100000,0.115,,,,,67100000,,,,,,,,,,67100000,,,,,,,
1993-12-31,,,,,,,,,6100000.0,,,,,,,,,,,,6700000.0,6700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67400000,,,,,,67400000,,,,,,,,,,67400000,,,,,,,
1994-03-31,11700000.0,88200000.0,,,48300000.0,64100000.0,,570800000.0,8800000.0,506700000.0,22360000.0,-400000.0,,,,43800000.0,-100000.0,357600000.0,58000000.0,,9400000.0,9400000,300000.0,165800000.0,,116700000.0,-7000000.0,19700000.0,7800000.0,15400000.0,-5400000.0,23400000.0,0.195,25200000.0,3800000.0,22360000.0,94700000.0,,15200000.0,,39900000.0,0.0,,213200000.0,-275800000.0,,11400000.0,,,7700000.0,7800000.0,7800000.0,3300000.0,18100000,0.195,17200000.0,,1600000.0,900000.0,73400000,,727100000.0,-7900000.0,18800000.0,-7100000.0,7700000.0,5800000.0,451300000.0,,24500000,,6400000.0,,4000000.0,,,
1994-06-30,-4800000.0,87900000.0,,,45100000.0,58500000.0,,567100000.0,4800000.0,508600000.0,22360000.0,-200000.0,,269900000.0,,43100000.0,100000.0,354100000.0,53500000.0,,5400000.0,5400000,400000.0,165500000.0,,116400000.0,-8700000.0,19000000.0,1500000.0,15400000.0,-5400000.0,18400000.0,0.11,27500000.0,7800000.0,22360000.0,94700000.0,,8200000.0,,42500000.0,-100000.0,,213000000.0,-280600000.0,,10500000.0,,,11100000.0,1500000.0,1500000.0,3300000.0,11000000,0.11,15600000.0,,-7800000.0,300000.0,68900000,,735100000.0,-2300000.0,4800000.0,-9600000.0,11100000.0,2800000.0,454500000.0,,17200000,,6100000.0,,-6300000.0,,,
1994-09-30,5400000.0,88300000.0,,,47000000.0,59300000.0,,569400000.0,5300000.0,510100000.0,22360000.0,-800000.0,,270400000.0,,42800000.0,-100000.0,356100000.0,57200000.0,,5900000.0,5900000,400000.0,165300000.0,,116600000.0,-8600000.0,17200000.0,2300000.0,13900000.0,-5400000.0,17800000.0,0.12,28300000.0,1500000.0,22360000.0,94700000.0,,9100000.0,,45000000.0,200000.0,,213300000.0,-283800000.0,,11500000.0,,,12200000.0,2300000.0,2300000.0,3500000.0,12200000,0.12,17000000.0,,1200000.0,200000.0,71100000,,740100000.0,-4600000.0,13900000.0,-8500000.0,12200000.0,3200000.0,456300000.0,,18500000,,6300000.0,,800000.0,,,
1994-12-31,8800000.0,90400000.0,,,57900000.0,65400000.0,,579000000.0,7200000.0,513600000.0,,-200000.0,,268200000.0,,43900000.0,100000.0,363600000.0,57700000.0,,7800000.0,7800000,400000.0,162200000.0,,117100000.0,-5400000.0,19500000.0,1900000.0,16300000.0,-5400000.0,23800000.0,,32200000.0,2300000.0,,94700000.0,,12000000.0,,42600000.0,-200000.0,,215400000.0,-287900000.0,,11800000.0,,,11600000.0,1900000.0,1900000.0,3500000.0,15100000,,22500000.0,,2800000.0,0.0,74000000,,745200000.0,-9300000.0,14300000.0,-5500000.0,11600000.0,4200000.0,457300000.0,,22100000,,7000000.0,,-500000.0,,,
1995-03-31,8100000.0,94200000.0,,,59600000.0,71700000.0,,593800000.0,8100000.0,522100000.0,22360000.0,-2400000.0,,,,47700000.0,-100000.0,374500000.0,66900000.0,,8700000.0,8700000,-200000.0,168400000.0,,118400000.0,-10500000.0,22200000.0,2400000.0,17000000.0,-5500000.0,25200000.0,0.185,35200000.0,1900000.0,22360000.0,94700000.0,,14300000.0,,48800000.0,0.0,,219300000.0,-293400000.0,,11900000.0,,,14100000.0,2400000.0,2400000.0,3700000.0,18100000,0.185,20300000.0,,-2300000.0,200000.0,83900000,,756200000.0,-6800000.0,17800000.0,-9700000.0,14100000.0,5600000.0,462800000.0,,25100000,,7000000.0,,500000.0,,,
1995-06-30,-800000.0,94100000.0,,,57900000.0,67400000.0,,591600000.0,4700000.0,524200000.0,22360000.0,-700000.0,,278200000.0,,48200000.0,200000.0,372500000.0,58300000.0,,5300000.0,5300000,400000.0,167700000.0,,118600000.0,-10300000.0,21200000.0,1100000.0,15500000.0,-5500000.0,18700000.0,0.105,32600000.0,2400000.0,22360000.0,94700000.0,,8800000.0,,46400000.0,0.0,,219100000.0,-299500000.0,,12500000.0,,,20600000.0,1100000.0,1100000.0,3700000.0,11900000,0.105,18600000.0,,-4900000.0,300000.0,73800000,,764900000.0,300000.0,8800000.0,-9600000.0,20600000.0,3500000.0,465400000.0,,19000000,,7200000.0,,-1200000.0,,,
1995-09-30,4100000.0,95900000.0,,,71000000.0,67300000.0,,605800000.0,6500000.0,538500000.0,22360000.0,-5400000.0,,277800000.0,,58000000.0,-100000.0,384900000.0,66100000.0,,7100000.0,7100000,-100000.0,166400000.0,,119200000.0,-15900000.0,20700000.0,1000000.0,14900000.0,-5500000.0,22500000.0,0.15,33300000.0,1100000.0,22360000.0,94700000.0,,11200000.0,,50900000.0,100000.0,,220900000.0,-303600000.0,,12300000.0,,,28000000.0,1000000.0,1000000.0,3900000.0,15200000,0.15,20500000.0,,2000000.0,200000.0,81000000,,773200000.0,500000.0,15300000.0,-11200000.0,28000000.0,4100000.0,469600000.0,,22300000,,7000000.0,,-100000.0,,,
1995-12-31,3800000.0,98000000.0,,,67300000.0,78800000.0,,609200000.0,7100000.0,530400000.0,,6700000.0,,283400000.0,,20400000.0,-100000.0,386200000.0,75000000.0,,7700000.0,7700000,500000.0,168300000.0,,120400000.0,7500000.0,22700000.0,1900000.0,14800000.0,-5500000.0,25800000.0,,39500000.0,1000000.0,,94700000.0,,11000000.0,,60800000.0,-200000.0,,223000000.0,-308200000.0,,14700000.0,,,13700000.0,1900000.0,1900000.0,3900000.0,14200000,,27800000.0,,2700000.0,100000.0,89800000,,785900000.0,-22900000.0,16200000.0,-12400000.0,13700000.0,3300000.0,477700000.0,,21600000,,7400000.0,,800000.0,,,
1996-03-31,2500000.0,102400000.0,,,69500000.0,83700000.0,,617400000.0,9400000.0,533700000.0,22360000.0,-4100000.0,,,,23800000.0,0.0,389900000.0,72700000.0,,10000000.0,10000000,700000.0,170400000.0,,119800000.0,-13800000.0,22200000.0,4800000.0,15700000.0,-5600000.0,29800000.0,0.21,40200000.0,1900000.0,22360000.0,94700000.0,18600000.0,15900000.0,,53900000.0,0.0,,227500000.0,-315000000.0,,16500000.0,,1100000.0,19600000.0,4800000.0,4800000.0,3800000.0,18800000,0.21,20100000.0,,-3800000.0,-900000.0,88400000,,794200000.0,2200000.0,14500000.0,-12000000.0,19600000.0,5900000.0,479200000.0,,26400000,,7600000.0,,2900000.0,,,
1996-06-30,-12400000.0,102800000.0,,,86300000.0,84600000.0,,645500000.0,5400000.0,560900000.0,22360000.0,-800000.0,,296700000.0,,22900000.0,-100000.0,417700000.0,77200000.0,,6000000.0,6000000,600000.0,181500000.0,,119600000.0,-23700000.0,25100000.0,1400000.0,12400000.0,-5600000.0,22500000.0,0.125,43600000.0,4800000.0,22360000.0,94700000.0,,9000000.0,,65000000.0,0.0,,227800000.0,-320800000.0,,14500000.0,,1100000.0,37500000.0,1400000.0,1400000.0,4100000.0,12200000,0.125,26300000.0,,-3400000.0,-500000.0,89600000,,825600000.0,8700000.0,11700000.0,-24100000.0,37500000.0,3000000.0,504800000.0,,20800000,,8600000.0,,-3300000.0,,,
1996-09-30,400000.0,103400000.0,,,85400000.0,79300000.0,,651400000.0,5600000.0,572100000.0,22360000.0,-3800000.0,,303600000.0,,23100000.0,100000.0,423000000.0,80400000.0,,6200000.0,6200000,600000.0,187400000.0,,118700000.0,-23400000.0,25100000.0,2500000.0,12500000.0,-5700000.0,20100000.0,0.135,35900000.0,1400000.0,22360000.0,94700000.0,,8700000.0,,68100000.0,0.0,,228400000.0,-328600000.0,,15800000.0,,0.0,38900000.0,2500000.0,2500000.0,4400000.0,12300000,0.135,26400000.0,,6200000.0,-1200000.0,92900000,,844900000.0,1600000.0,22800000.0,-22400000.0,38900000.0,2500000.0,516300000.0,,21700000,,9400000.0,,1000000.0,,,
1996-12-31,2600000.0,105900000.0,,,118700000.0,80300000.0,,662300000.0,7200000.0,582000000.0,,-1900000.0,,278500000.0,,26300000.0,1100000.0,430300000.0,75200000.0,,7800000.0,7800000,500000.0,160500000.0,,118300000.0,-16800000.0,27000000.0,1200000.0,15700000.0,-5600000.0,24400000.0,,37600000.0,2500000.0,,94900000.0,,10500000.0,,60300000.0,100000.0,,232000000.0,-327700000.0,,14500000.0,,0.0,67700000.0,1200000.0,1200000.0,4400000.0,14900000,,26600000.0,,2800000.0,-2700000.0,90900000,,847600000.0,-2600000.0,18100000.0,-15500000.0,67700000.0,2700000.0,519900000.0,,24100000,,9100000.0,,-1200000.0,,,
1997-03-31,5400000.0,112000000.0,,,114800000.0,84700000.0,,670600000.0,9600000.0,585900000.0,22906000.0,,,,,26300000.0,0.0,430200000.0,76400000.0,,10200000.0,10200000,1100000.0,164700000.0,,118600000.0,-9200000.0,29200000.0,3200000.0,15400000.0,-5900000.0,26800000.0,0.22,38500000.0,1200000.0,22906000.0,96100000.0,22200000.0,15800000.0,,57100000.0,500000.0,,240400000.0,-338500000.0,,13800000.0,,300000.0,65200000.0,3200000.0,3200000.0,4500000.0,19300000,0.22,22800000.0,,-2800000.0,-500000.0,91800000,,863300000.0,-4800000.0,15900000.0,-10500000.0,65200000.0,5600000.0,524800000.0,,29200000,,9800000.0,2300000.0,1900000.0,,,
1997-06-30,-2000000.0,112200000.0,,,121900000.0,84700000.0,,676300000.0,4800000.0,591600000.0,23300000.0,,,280100000.0,,28000000.0,-100000.0,434200000.0,78800000.0,,5400000.0,5400000,1700000.0,162700000.0,,117800000.0,-12800000.0,28400000.0,2900000.0,12300000.0,-6300000.0,20000000.0,0.105,40000000.0,3200000.0,23300000.0,97100000.0,,6900000.0,,69000000.0,-1600000.0,,242100000.0,-347900000.0,,13400000.0,,0.0,74600000.0,2900000.0,2900000.0,4600000.0,9800000,0.105,27300000.0,,-2900000.0,-1000000.0,91100000,,875900000.0,2100000.0,9600000.0,-11600000.0,74600000.0,1500000.0,528000000.0,,19800000,,9900000.0,1300000.0,-1100000.0,,,
1997-09-30,5700000.0,114000000.0,,,120700000.0,90200000.0,,678800000.0,7200000.0,588600000.0,23384000.0,,,281100000.0,,26400000.0,0.0,433500000.0,89500000.0,,7800000.0,7800000,2600000.0,162700000.0,,117300000.0,-8000000.0,28100000.0,6000000.0,12400000.0,-6000000.0,20400000.0,0.155,42900000.0,2900000.0,23384000.0,97300000.0,,11600000.0,,75700000.0,400000.0,,245300000.0,-350100000.0,,13200000.0,,500000.0,73000000.0,6000000.0,6000000.0,4700000.0,13800000,0.155,27300000.0,,-1700000.0,-800000.0,101900000,,877300000.0,-6300000.0,17400000.0,-11700000.0,73000000.0,3800000.0,527200000.0,,23800000,,10200000.0,1400000.0,3100000.0,,,
1997-12-31,18300000.0,115900000.0,,,66700000.0,85800000.0,,655400000.0,7800000.0,569600000.0,,,,309000000.0,,26000000.0,-200000.0,406400000.0,91400000.0,,8400000.0,8400000,700000.0,190000000.0,,116300000.0,9100000.0,27600000.0,5300000.0,15700000.0,-6100000.0,23900000.0,,40100000.0,6000000.0,,97500000.0,,11700000.0,,75700000.0,200000.0,,249000000.0,-350600000.0,,12800000.0,,0.0,14400000.0,5300000.0,5300000.0,4600000.0,15700000,,28400000.0,400000.0,8100000.0,-900000.0,107100000,,860300000.0,-36400000.0,26500000.0,-8200000.0,14400000.0,3300000.0,509700000.0,,25100000,,9400000.0,1300000.0,-700000.0,,,
1998-03-31,8200000.0,115500000.0,,,68800000.0,97400000.0,,655800000.0,5100000.0,558400000.0,23532000.0,,,,,24500000.0,-200000.0,405900000.0,79800000.0,,5700000.0,1900000,400000.0,187000000.0,,112300000.0,-2900000.0,30400000.0,10000000.0,17100000.0,-6200000.0,26200000.0,0.11,38900000.0,5300000.0,23532000.0,97600000.0,20500000.0,2000000.0,,74200000.0,-400000.0,,249900000.0,-351300000.0,,18100000.0,,,18200000.0,10000000.0,10000000.0,3900000.0,5600000,0.11,24400000.0,500000.0,-11300000.0,-1900000.0,96900000,,852700000.0,-4200000.0,11800000.0,-3600000.0,18200000.0,100000.0,501400000.0,,14600000,,12900000.0,1300000.0,4700000.0,,,
1998-06-30,-2500000.0,117300000.0,,,67200000.0,94300000.0,,655000000.0,7400000.0,560700000.0,23616000.0,,,304800000.0,,25100000.0,100000.0,401900000.0,88900000.0,,8000000.0,8000000,1300000.0,186100000.0,,110800000.0,-9500000.0,29700000.0,4000000.0,18000000.0,-6300000.0,18200000.0,0.16,42100000.0,10000000.0,23616000.0,97800000.0,,11800000.0,,74300000.0,-1000000.0,,253100000.0,-358200000.0,,18500000.0,,,21200000.0,4000000.0,4000000.0,4100000.0,14600000,0.16,27800000.0,500000.0,-8200000.0,-1800000.0,106900000,,858800000.0,-2800000.0,6300000.0,-8800000.0,21200000.0,3800000.0,500600000.0,,23400000,,8700000.0,1500000.0,-6000000.0,,,
1998-09-30,15400000.0,120900000.0,,,67900000.0,101000000.0,,660800000.0,9300000.0,559800000.0,23692000.0,,,305600000.0,,24200000.0,100000.0,402800000.0,93700000.0,,9900000.0,9900000,900000.0,185600000.0,,112000000.0,-8100000.0,31400000.0,3800000.0,18500000.0,-6200000.0,18900000.0,0.2,46400000.0,4000000.0,23692000.0,98000000.0,,14900000.0,,75800000.0,400000.0,,258000000.0,-364400000.0,,19400000.0,,,10600000.0,3800000.0,3800000.0,3800000.0,17900000,0.2,38400000.0,300000.0,4700000.0,900000.0,112200000,,865300000.0,-16100000.0,24100000.0,-8700000.0,10600000.0,5000000.0,500900000.0,,26700000,,8800000.0,1300000.0,-200000.0,,,
