date,quarterlyOtherCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentAssets,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyCurrentDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCapitalExpenditure,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2013-12-31,0.0,9669000000,,,23493000000.0,-12984000000.0,342000000.0,,171000000,,5674000000,,11041000000,4503000000,538000000.0,173000000.0,4571000000.0,1627000000.0,18744000000,21005000000,1110000000.0,-1411000000.0,10509000000,2261000000,3995000000,209000000,209000000,1538000000,1205000000,654000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,0.0,9359000000,0.0,,,,378000000.0,,108000000,0.0,1163000000,,10978000000,4503000000,558000000.0,181000000.0,0.0,1648000000.0,18317000000,20662000000,1068000000.0,-1454000000.0,10421000000,2345000000,8196000000,287000000,287000000,1456000000,1205000000,768000000.0,4081000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,0.0,8989000000,,,24422000000.0,-13759000000.0,420000000.0,,142000000,,5015000000,,11293000000,4503000000,395000000.0,182000000.0,3952000000.0,1601000000.0,18305000000,20698000000,993000000.0,-1169000000.0,10663000000,2393000000,3974000000,359000000,359000000,1373000000,1205000000,714000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,0.0,9162000000,0.0,,,,460000000.0,,132000000,0.0,5070000000,,11391000000,4503000000,408000000.0,190000000.0,3957000000.0,1499000000.0,17915000000,21052000000,45000000.0,-1080000000.0,10495000000,3137000000,4092000000,1147000000,1147000000,1290000000,1205000000,949000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,0.0,9183000000,,,25350000000.0,-14694000000.0,497000000.0,,591000000,,4972000000,,11522000000,4503000000,230000000.0,191000000.0,3962000000.0,1551000000.0,17845000000,21274000000,858000000.0,-924000000.0,10656000000,3429000000,4211000000,1021000000,1021000000,1207000000,1205000000,1041000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,0.0,8748000000,0.0,,,,537000000.0,,116000000,0.0,5030000000,,11464000000,4503000000,234000000.0,203000000.0,3967000000.0,1287000000.0,17579000000,20762000000,818000000.0,-981000000.0,10530000000,3183000000,3718000000,1362000000,1362000000,1124000000,1205000000,857000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,0.0,9138000000,,,26327000000.0,-15696000000.0,573000000.0,,127000000,,5549000000,,11573000000,4503000000,183000000.0,56000000.0,4467000000.0,1337000000.0,19211000000,21294000000,47000000.0,-849000000.0,10631000000,2083000000,3589000000,237000000,237000000,2796000000,1205000000,730000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,0.0,9348000000,0.0,,,,617000000.0,,145000000,0.0,6020000000,,11471000000,4503000000,187000000.0,57000000.0,4874000000.0,1391000000.0,19105000000,21360000000,46000000.0,-894000000.0,10743000000,2255000000,3328000000,359000000,359000000,2669000000,1205000000,537000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,0.0,6537000000,,,10638000000.0,-8621000000.0,0.0,,125000000,,330000000,,15844000000,2155000000,135000000.0,56000000.0,0.0,573000000.0,7700000000,22492000000,37000000.0,3310000000.0,2017000000,14792000000,6207000000,13717000000,13717000000,2542000000,1205000000,406000000.0,3900000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,221000000.0,2249000000,0.0,,,,,,104000000,0.0,332000000,,15919000000,2155000000,137000000.0,57000000.0,,257000000.0,7980000000,18331000000,141000000.0,,2134000000,10351000000,1917000000,9491000000,9491000000,2416000000,1205000000,250000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,2191000000,,,9056000000.0,-6862000000.0,,,107000000,,288000000,,15976000000,2155000000,84000000.0,56000000.0,,258000000.0,7854000000,18338000000,132000000.0,3442000000.0,2194000000,10484000000,1903000000,9555000000,9555000000,2289000000,1205000000,314000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,2446000000,0.0,,2638000000.0,,,,70000000,0.0,432000000,,11855000000,2155000000,,,,279000000.0,8060000000,14301000000,,-386000000.0,2638000000,6241000000,2014000000,5353000000,5353000000,2166000000,1205000000,321000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
