date,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyFreeCashFlow,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTaxProvision,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyPretaxIncome,quarterlyOperatingIncome,quarterlyCurrentLiabilities,quarterlyNetPPE,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGrossProfit,quarterlyStockholdersEquity,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyDilutedAverageShares,quarterlyOtherIncomeExpense,quarterlyBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyBasicAverageShares,quarterlyInventory,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment
2012-09-30,126000000.0,-187000000,42000000.0,1509000000.0,392000000,-189000000,170000000.0,385000000.0,8696000000.0,9583000000.0,143000000.0,-64000000,23000000,,-63000000,,3406000000.0,-28000000,176000000,,7000000,-4757000000.0,-117000000.0,,0,-0.32,0.0,-337000000,1000000.0,148000000,,677000000,-91000000,-75000000,681000000.0,8413000000.0,13170000000.0,887000000.0,-22000000,,-34000000,32000000.0,-5000000,-35000000,16000000,441000000.0,2000000.0,427000000,285000000,5405000000.0,55000000.0,2000000.0,,199100000.0,7000000,-0.32,1459000000.0,67000000,240000000.0,240000000.0,,0.0,199100000.0,71000000.0,360000000,-1000000,,-335000000,240000000,-64000000,4087000000.0,131000000.0,,,,,
2012-12-31,133000000.0,-87000000,69000000.0,1508000000.0,1138000000,-151000000,274000000.0,443000000.0,8684000000.0,9456000000.0,145000000.0,-106000000,24000000,34000000.0,-103000000,,3359000000.0,-40000000,127000000,,6000000,-4923000000.0,-223000000.0,,58000000,-0.53,,-356000000,1000000.0,205000000,,749000000,-143000000,-82000000,726000000.0,8416000000.0,13339000000.0,772000000.0,-1000000,,-70000000,35000000.0,5000000,-60000000,14000000,209000000.0,2000000.0,240000000,-389000000,5268000000.0,2000000.0,-304000000.0,,199200000.0,-37000000,-0.53,1401000000.0,364000000,153000000.0,153000000.0,,0.0,199200000.0,66000000.0,-307000000,57000000,,-350000000,153000000,-106000000,4085000000.0,121000000.0,,,,,
2013-03-31,137000000.0,-41000000,85000000.0,1589000000.0,581000000,-128000000,145000000.0,411000000.0,8724000000.0,9404000000.0,148000000.0,-116000000,25000000,,-113000000,,3396000000.0,-63000000,80000000,8000000.0,22000000,-5162000000.0,-339000000.0,,87000000,-0.58,,-271000000,1000000.0,143000000,,725000000,-176000000,-57000000,751000000.0,8451000000.0,13613000000.0,680000000.0,71000000,,-68000000,50000000.0,12000000,33000000,5000000,521000000.0,2000000.0,153000000,144000000,5151000000.0,-1000000.0,0.0,,199900000.0,-94000000,-0.58,1347000000.0,147000000,112000000.0,112000000.0,,0.0,199900000.0,54000000.0,201000000,6000000,,-271000000,112000000,-116000000,4147000000.0,121000000.0,,,,,
2013-06-30,118000000.0,-22000000,27000000.0,1688000000.0,560000000,-133000000,159000000.0,422000000.0,8767000000.0,9483000000.0,157000000.0,18000000,27000000,,22000000,,3492000000.0,11000000,287000000,9000000.0,24000000,-5378000000.0,-321000000.0,,104000000,0.09,,-277000000,1000000.0,144000000,,737000000,33000000,-26000000,701000000.0,8469000000.0,13847000000.0,716000000.0,-129000000,,5000000,48000000.0,-21000000,-10000000,4000000,515000000.0,2000000.0,112000000,177000000,5179000000.0,-1000000.0,10000000.0,,203800000.0,86000000,0.09,1347000000.0,147000000,90000000.0,90000000.0,,-3000000.0,200400000.0,76000000.0,203000000,3000000,,-270000000,90000000,18000000,4193000000.0,121000000.0,,,,,
2013-09-30,126000000.0,18000000,28000000.0,1776000000.0,548000000,-64000000,180000000.0,390000000.0,8829000000.0,9523000000.0,161000000.0,-114000000,26000000,,-116000000,,3612000000.0,-32000000,119000000,7000000.0,42000000,-5580000000.0,-435000000.0,,82000000,-0.57,,-295000000,2000000.0,231000000,,673000000,-148000000,-82000000,726000000.0,8535000000.0,14115000000.0,694000000.0,68000000,,-4000000,45000000.0,4000000,32000000,-14000000,518000000.0,2000000.0,90000000,125000000,5074000000.0,-1000000.0,0.0,-200000000.0,200700000.0,-40000000,-0.57,1348000000.0,150000000,108000000.0,108000000.0,,0.0,200700000.0,74000000.0,207000000,-10000000,,-295000000,108000000,-114000000,4338000000.0,120000000.0,,,,,
2013-12-31,138000000.0,-4000000,164000000.0,1916000000.0,615000000,-193000000,410000000.0,536000000.0,7507000000.0,8429000000.0,145000000.0,-973000000,25000000,35000000.0,-984000000,,3212000000.0,-571000000,-1289000000,8000000.0,1427000000,-5445000000.0,-1408000000.0,,153000000,,,-311000000,2000000.0,118000000,,750000000,-1555000000,-423000000,1007000000.0,7241000000.0,12686000000.0,922000000.0,48000000,,-578000000,45000000.0,0,-98000000,46000000,213000000.0,2000000.0,108000000,135000000,4109000000.0,-1000000.0,36000000.0,-225000000.0,,-1107000000,,788000000.0,153000000,99000000.0,99000000.0,,0.0,,72000000.0,558000000,11000000,,-275000000,99000000,-973000000,4219000000.0,114000000.0,,,,,
2014-03-31,139000000.0,-36000000,128000000.0,2039000000.0,704000000,-146000000,147000000.0,664000000.0,7676000000.0,8637000000.0,148000000.0,18000000,29000000,,19000000,,3359000000.0,23000000,278000000,7000000.0,18000000,-5654000000.0,-1390000000.0,,112000000,0.09,,-352000000,4000000.0,206000000,,1182000000,42000000,265000000,1045000000.0,7398000000.0,13052000000.0,961000000.0,-59000000,,21000000,28000000.0,4000000,-128000000,104000000,758000000.0,2000000.0,99000000,478000000,4131000000.0,-1000000.0,-2000000.0,-497000000.0,205200000.0,-194000000,0.09,807000000.0,151000000,58000000.0,58000000.0,,,201500000.0,68000000.0,213000000,-17000000,,-354000000,58000000,18000000,4404000000.0,113000000.0,,,,,
2014-06-30,44000000.0,47000000,144000000.0,1794000000.0,545000000,-62000000,178000000.0,502000000.0,7141000000.0,8018000000.0,151000000.0,-135000000,27000000,,-133000000,,2881000000.0,-68000000,41000000,10000000.0,65000000,-4870000000.0,-1525000000.0,,-226000000,-0.66,,-376000000,8000000.0,314000000,,831000000,-201000000,36000000,1013000000.0,6938000000.0,11808000000.0,877000000.0,71000000,,-99000000,35000000.0,-13000000,162000000,-103000000,684000000.0,2000000.0,58000000,286000000,4020000000.0,-1000000.0,-3000000.0,-527000000.0,202700000.0,-210000000,-0.66,718000000.0,151000000,105000000.0,105000000.0,,,202700000.0,81000000.0,250000000,11000000,,-41000000,105000000,-135000000,3894000000.0,39000000.0,,,,,
2014-09-30,57000000.0,-39000000,122000000.0,2047000000.0,459000000,-338000000,175000000.0,465000000.0,7239000000.0,8244000000.0,135000000.0,62000000,30000000,,61000000,,3031000000.0,28000000,335000000,9000000.0,38000000,-4956000000.0,-1463000000.0,,246000000,0.3,,-597000000,3000000.0,259000000,,646000000,89000000,-30000000,1011000000.0,7037000000.0,11993000000.0,1005000000.0,-84000000,,23000000,31000000.0,10000000,37000000,-16000000,699000000.0,2000000.0,105000000,187000000,4094000000.0,-1000000.0,2000000.0,-792000000.0,207500000.0,149000000,0.3,713000000.0,148000000,65000000.0,65000000.0,,,203300000.0,70000000.0,217000000,-12000000,,-544000000,65000000,62000000,4042000000.0,45000000.0,,,,,
2014-12-31,57000000.0,5000000,197000000.0,2280000000.0,460000000,-191000000,491000000.0,459000000.0,6929000000.0,8798000000.0,,219000000,36000000,,207000000,,3161000000.0,106000000,574000000,10000000.0,10000000,-4911000000.0,-1244000000.0,,212000000,,,-482000000,1000000.0,291000000,,510000000,313000000,-115000000,1209000000.0,6842000000.0,11753000000.0,1869000000.0,-406000000,,101000000,26000000.0,18000000,-20000000,19000000,215000000.0,2000000.0,65000000,50000000,4319000000.0,-1000000.0,-1000000.0,-261000000.0,,464000000,,621000000.0,88000000,41000000.0,41000000.0,,,,45000000.0,165000000,-24000000,,-498000000,70000000,219000000,4370000000.0,49000000.0,,,,,
2015-03-31,59000000.0,12000000,69000000.0,2000000000.0,398000000,-286000000,139000000.0,347000000.0,7016000000.0,8103000000.0,,67000000,33000000,,22000000,,2878000000.0,13000000,284000000,9000000.0,24000000,-5130000000.0,-1177000000.0,,-269000000,0.32,,-480000000,2000000.0,194000000,,467000000,35000000,-81000000,836000000.0,6911000000.0,12041000000.0,1087000000.0,-8000000,,4000000,28000000.0,-3000000,110000000,-90000000,464000000.0,2000000.0,70000000,69000000,4389000000.0,0.0,4000000.0,-461000000.0,205900000.0,149000000,0.33,614000000.0,121000000,82000000.0,82000000.0,,,204100000.0,49000000.0,150000000,9000000,,87000000,82000000,67000000,3714000000.0,47000000.0,,,,,
2015-06-30,41000000.0,235000000,73000000.0,2000000000.0,355000000,37000000,169000000.0,280000000.0,6895000000.0,7962000000.0,,-30000000,32000000,,-23000000,,2865000000.0,-14000000,222000000,11000000.0,22000000,-5340000000.0,-1207000000.0,,-9000000,-0.14,,-199000000,0.0,236000000,,355000000,-37000000,-139000000,730000000.0,6818000000.0,12158000000.0,1067000000.0,246000000,,-21000000,28000000.0,1000000,66000000,-55000000,339000000.0,2000000.0,82000000,0,4367000000.0,0.0,-2000000.0,0.0,205000000.0,134000000,-0.14,611000000.0,114000000,317000000.0,317000000.0,,,205000000.0,48000000.0,139000000,-9000000,,8000000,317000000,-30000000,3595000000.0,45000000.0,,,,,
2015-09-30,176000000.0,-218000000,11000000.0,3400000000.0,360000000,-12000000,283000000.0,298000000.0,9970000000.0,10907000000.0,,-230000000,65000000,,-106000000,,5063000000.0,-52000000,-93000000,7000000.0,7000000,-5567000000.0,-1437000000.0,,937000000,-0.93,,-211000000,293000000.0,199000000,,332000000,-158000000,-205000000,772000000.0,9815000000.0,15382000000.0,937000000.0,167000000,,-121000000,28000000.0,-9000000,56000000,-41000000,413000000.0,342000000.0,317000000,-28000000,5072000000.0,0.0,0.0,-1230000000.0,251200000.0,112000000,-0.93,1255000000.0,104000000,99000000.0,99000000.0,,,251200000.0,71000000.0,177000000,299000000,,-1354000000,99000000,-234000000,5835000000.0,70000000.0,,,,,
2015-12-31,237000000.0,-61000000,43000000.0,3189000000.0,371000000,-52000000,319000000.0,312000000.0,7500000000.0,8350000000.0,,-1534000000,57000000,,-1532000000,,4125000000.0,-862000000,-2082000000,8000000.0,8000000,-1893000000.0,-2971000000.0,,-186000000,,,-234000000,0.0,182000000,41000000.0,316000000,-2394000000,-244000000,690000000.0,7401000000.0,9294000000.0,850000000.0,40000000,-22000000.0,-867000000,24000000.0,9000000,1000000,-61000000,125000000.0,342000000.0,99000000,-55000000,3535000000.0,,-1000000.0,-265000000.0,,-2093000000,,465000000.0,130000000,38000000.0,38000000.0,,,,59000000.0,189000000,0,,-57000000,38000000,-1539000000,4815000000.0,34000000.0,,,,,
2016-03-31,227000000.0,-27000000,282000000.0,2746000000.0,207000000,-169000000,223000000.0,190000000.0,6577000000.0,8140000000.0,,-12000000,57000000,304000000.0,0,,3596000000.0,35000000,253000000,7000000.0,-10000000,-2047000000.0,-2983000000.0,,-138000000,-0.06,,-185000000,1000000.0,16000000,,159000000,35000000,-163000000,1029000000.0,6504000000.0,8551000000.0,1563000000.0,28000000,,34000000,24000000.0,4000000,117000000,-26000000,220000000.0,342000000.0,38000000,-48000000,3515000000.0,,-1000000.0,-508000000.0,276100000.0,255000000,-0.06,505000000.0,95000000,11000000.0,11000000.0,,,276100000.0,42000000.0,115000000,4000000,-5000000.0,95000000,11000000,-17000000,4625000000.0,32000000.0,,,,,
2016-06-30,200000000.0,1020000000,47000000.0,2572000000.0,315000000,-37000000,264000000.0,192000000.0,6467000000.0,7862000000.0,,-198000000,53000000,160000000.0,-223000000,,3307000000.0,-130000000,-137000000,10000000.0,-20000000,-2184000000.0,-3181000000.0,,202000000,-0.68,,-106000000,539000000.0,69000000,,292000000,-353000000,-147000000,697000000.0,6418000000.0,8602000000.0,1395000000.0,-72000000,,-116000000,26000000.0,5000000,-15000000,-2000000,226000000.0,342000000.0,11000000,-23000000,3858000000.0,,-3000000.0,-333000000.0,300700000.0,-153000000,-0.68,390000000.0,96000000,1031000000.0,1031000000.0,,,300700000.0,37000000.0,124000000,-8000000,-6000000.0,749000000,1031000000,-204000000,4004000000.0,28000000.0,,,,,
2016-09-30,142000000.0,-408000000,55000000.0,2574000000.0,200000000,-125000000,259000000.0,147000000.0,6537000000.0,7446000000.0,,-219000000,49000000,125000000.0,-218000000,,3188000000.0,-132000000,-151000000,10000000.0,-12000000,-2314000000.0,-3400000000.0,,-48000000,-0.72,,-149000000,0.0,24000000,,213000000,-350000000,-102000000,624000000.0,6482000000.0,8796000000.0,909000000.0,-34000000,,-127000000,20000000.0,4000000,45000000,-51000000,185000000.0,235000000.0,1031000000,13000000,3634000000.0,,-236000000.0,-34000000.0,341500000.0,-199000000,-0.72,323000000.0,91000000,623000000.0,623000000.0,,,341500000.0,33000000.0,115000000,0,-4000000.0,-384000000,623000000,-245000000,3812000000.0,24000000.0,,,,,
2016-12-31,132000000.0,-127000000,180000000.0,2575000000.0,185000000,15000000,309000000.0,168000000.0,6510000000.0,7264000000.0,,-172000000,48000000,,-171000000,,3121000000.0,-98000000,-64000000,9000000.0,-11000000,-2455000000.0,-3572000000.0,0.0,-130000000,,,-138000000,0.0,153000000,0.0,236000000,-269000000,-74000000,677000000.0,6474000000.0,8929000000.0,754000000.0,43000000,0.0,-72000000,20000000.0,-3000000,-21000000,7000000,64000000.0,235000000.0,623000000,51000000,3466000000.0,,1000000.0,-126000000.0,,-147000000,,251000000.0,95000000,496000000.0,496000000.0,41000000.0,,,36000000.0,125000000,-1000000,-3000000.0,-150000000,496000000,-175000000,3798000000.0,24000000.0,,,,,
2017-03-31,126000000.0,-354000000,77000000.0,2575000000.0,173000000,-215000000,217000000.0,170000000.0,7482000000.0,7910000000.0,,92000000,47000000,,94000000,,3100000000.0,31000000,319000000,7000000.0,-11000000,-2581000000.0,-3480000000.0,,657000000,0.22,,-237000000,671000000.0,22000000,,258000000,125000000,-64000000,588000000.0,7395000000.0,9976000000.0,428000000.0,-38000000,-802000000.0,30000000,22000000.0,2000000,-14000000,29000000,294000000.0,236000000.0,496000000,85000000,4222000000.0,,-2000000.0,0.0,410400000.0,236000000,0.23,281000000.0,91000000,142000000.0,142000000.0,,,386300000.0,35000000.0,149000000,-10000000,-4000000.0,-1033000000,142000000,88000000,3688000000.0,22000000.0,,,,,
2017-06-30,106000000.0,-134000000,27000000.0,2601000000.0,200000000,-185000000,244000000.0,205000000.0,7569000000.0,7962000000.0,,76000000,46000000,,76000000,,3039000000.0,-53000000,240000000,10000000.0,-18000000,-2759000000.0,-3404000000.0,,21000000,0.18,,-305000000,0.0,120000000,,297000000,23000000,-46000000,619000000.0,7485000000.0,10244000000.0,393000000.0,23000000,4000000.0,-54000000,29000000.0,-5000000,-35000000,43000000,348000000.0,236000000.0,142000000,97000000,4304000000.0,,-1000000.0,-60000000.0,423200000.0,115000000,0.18,226000000.0,99000000,8000000.0,8000000.0,,,397800000.0,41000000.0,143000000,-1000000,-3000000.0,-275000000,8000000,72000000,3658000000.0,26000000.0,,,,,
2017-09-30,98000000.0,2000000,118000000.0,2859000000.0,198000000,-227000000,150000000.0,268000000.0,7447000000.0,8095000000.0,,-146000000,48000000,,-150000000,,3296000000.0,20000000,87000000,7000000.0,-11000000,-2291000000.0,-3550000000.0,,236000000,-0.38,,-313000000,0.0,86000000,,330000000,-130000000,-14000000,637000000.0,7384000000.0,9675000000.0,648000000.0,-83000000,0.0,49000000,30000000.0,-3000000,-63000000,19000000,369000000.0,236000000.0,8000000,132000000,4162000000.0,,1000000.0,-291000000.0,398100000.0,-68000000,-0.38,276000000.0,100000000,10000000.0,10000000.0,,-4000000.0,398100000.0,42000000.0,146000000,-3000000,-4000000.0,-320000000,10000000,-149000000,3933000000.0,29000000.0,,,,,
2017-12-31,448000000.0,179000000,207000000.0,2575000000.0,223000000,-27000000,434000000.0,307000000.0,7569000000.0,8207000000.0,70000000.0,-38000000,47000000,,-31000000,,3241000000.0,-146000000,56000000,8000000.0,-13000000,-2462000000.0,-3588000000.0,0.0,-290000000,,,-306000000,1000000.0,279000000,,448000000,-177000000,68000000,839000000.0,7454000000.0,9916000000.0,638000000.0,97000000,-1000000.0,-159000000,28000000.0,-2000000,-41000000,67000000,120000000.0,236000000.0,10000000,225000000,4127000000.0,,1000000.0,-475000000.0,,-198000000,,117000000.0,102000000,189000000.0,189000000.0,,-1000000.0,,44000000.0,157000000,-2000000,-4000000.0,190000000,189000000,-42000000,4080000000.0,22000000.0,,,,,
2018-03-31,439000000.0,493000000,242000000.0,2576000000.0,218000000,-176000000,161000000.0,337000000.0,6966000000.0,8127000000.0,85000000.0,-115000000,46000000,,-26000000,,3196000000.0,-15000000,173000000,8000000.0,-10000000,-2148000000.0,-3703000000.0,,-14000000,-0.3,,-321000000,1000000.0,145000000,,443000000,-41000000,78000000,925000000.0,6816000000.0,8964000000.0,1161000000.0,-48000000,0.0,-43000000,30000000.0,-8000000,-21000000,28000000,522000000.0,236000000.0,201000000,225000000,4006000000.0,,,-138000000.0,398600000.0,-73000000,-0.3,74000000.0,98000000,681000000.0,681000000.0,,-16000000.0,398600000.0,31000000.0,147000000,-11000000,-4000000.0,362000000,694000000,-119000000,4121000000.0,22000000.0,,,,,
