date,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyDilutedEPS,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,quarterlyEbitda,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyGoodwill,quarterlyChangeInInventory,quarterlyInventory,quarterlyCashDividendsPaid
2000-09-30,-5282000.0,,3388000.0,17292000,-523000.0,807000.0,,55771000,195000.0,55771000,,-0.75,553000.0,79587000.0,,-12093000.0,0.0,1085000,-5230000,-2057000,-749000,159996000,7244000.0,97432000,,,-8487000,,,13441000,,134961000.0,64258000,15411000.0,-0.75,-11570000,55771000,-2508000,,,,5878000,-7022000,381000.0,,,25035000,-7287000,,15717000,,20685000,62564000,-12900000,22574000.0,1186000.0,15411000.0,962000.0,,4837000,0.0,,,4350000.0,10880000,,23780000,,16817000,-451000.0,134961000,-11570000,-11570000,,,,
2000-12-31,-6474886.0,,987262.0,14692744,-112014.0,-2819485.0,,47101242,814983.0,47101242,,,408561.0,76658067.0,,-9959963.0,-962000.0,1057380,-7107265,-1045570,-147017,145870626,17092395.0,91759372,,,-8669885,,,1417199,155451.0,,55771000,,,-9847949,47101242,-1415603,,,,5101836,-5608895,-3229948.0,,,19496856,-8152835,-76543373.0,16841302,,18509594,54111254,-10710731,21167630.0,861613.0,,,,5130926,0.0,,,987262.0,11710376,,22421107,,16261891,293967.0,126373770,-9847949,-9847949,,,,
2001-03-31,-7624000.0,,946000.0,14392000,-41000.0,575000.0,,43699000,352000.0,43699000,,-0.49,313000.0,73264000.0,,-7690000.0,0.0,1229000,-2877000,-848000,352000,139011000,0.0,87969000,,,-3402000,,,12747000,,,47101000,15575000.0,-0.49,-7649000,43699000,-877000,,,,4573000,-3692000,-272000.0,,,19934000,-3725000,,17354000,,18988000,51042000,-8265000,22016000.0,0.0,15575000.0,,,7990000,0.0,6712000.0,,946000.0,9364000,,17629000,6241000.0,14610000,-29000.0,119077000,-7649000,-7649000,,,,
2001-06-30,-8971000.0,,904000.0,13375000,-41000.0,374000.0,,42020000,540000.0,42020000,,-0.38,283000.0,69852000.0,,-3936000.0,0.0,1357000,-1787000,-330000,540000,132314000,0.0,83510000,,,-1679000,,,12667000,,113722000.0,43699000,15610000.0,-0.38,-5895000,42020000,-432000,,,,4861000,-1449000,-1254000.0,,,18592000,-2117000,,18073000,,17688000,48804000,-6310000,22346000.0,0.0,15610000.0,,,7516000,0.0,6092000.0,,904000.0,10557000,,16867000,5021000.0,13603000,-102000.0,113722000,-5895000,-5895000,,,,
2001-09-30,-10078000.0,,452000.0,12704000,-452000.0,348000.0,,41468000,493000.0,41468000,,-0.26,291000.0,65988000.0,,-4465000.0,0.0,1322000,-619000,-437000,493000,127331000,0.0,78983000,,,-552000,,,11923000,,110202000.0,42020000,15657000.0,-0.26,-4013000,41468000,-426000,,,,4960000,147000,-1965000.0,-452000.0,,17129000,-1056000,,18447000,,16677000,48348000,-4813000,22782000.0,0.0,15657000.0,,,7532000,0.0,6099000.0,,452000.0,10915000,,15728000,4754000.0,12127000,11000.0,110202000,-4013000,-4013000,,,,
2001-12-31,-11390271.0,,,11875713,-453262.0,-1393505.0,,30746087,331930.0,42002202,,,356914.0,62471547.0,,-3057591.0,0.0,1228734,735288,-483354,331930,123645981,0.0,74704174,11256115.0,,-7546108,,,1216823,157178.0,,41468000,,,-2604329,30746087,-8613326,,,,4855867,1517499,-1632976.0,,,15626760,251934,-96704702.0,18638952,,15626760,48941807,-3338368,23265984.0,0.0,,,9877652.0,7278161,,5982896.0,,,11360791,,14699159,4532285.0,11600607,-49904.0,108019221,-2604329,-2604329,,,,
2002-03-31,-12626000.0,,,11085000,,239000.0,,31154000,81000.0,41643000,,-0.1,325000.0,34595000.0,,-1622000.0,0.0,1397000,116000,-535000,81000,120205000,0.0,71750000,10489000.0,,408000,,768000.0,8884000,,,30746000,15720000.0,-0.1,-1622000,31154000,211000,,,,3198000,1337000,-2027000.0,,,13727000,-419000,106478000.0,19061000,,13727000,48455000,-1861000,23711000.0,0.0,15720000.0,,4843000.0,7096000,,6282000.0,,,11965000,,13826000,,11536000,-22000.0,106478000,-1622000,-1622000,25745000.0,,,
2002-06-30,-13688000.0,,,11067000,,214000.0,,29843000,197000.0,42083000,,-0.08,281000.0,59024000.0,,-1267000.0,0.0,1385000,1657000,-1044000,197000,119226000,0.0,70372000,12240000.0,,-1311000,,,9224000,157000.0,,31154000,15742000.0,-0.08,-1267000,29843000,-3165000,,,,2847000,1366000,-511000.0,,,13732000,613000,-94191000.0,19539000,,13732000,48854000,-1481000,24755000.0,0.0,15742000.0,,,6937000,,6391000.0,,,12602000,,14083000,4508000.0,11800000,-369000.0,105494000,-1267000,-1267000,,,,
2002-09-30,-14442000.0,,,10983000,,183000.0,,27496000,288000.0,42618000,,-0.07,266000.0,57508000.0,,-1308000.0,0.0,1370000,1830000,-1303000,288000,118211000,0.0,68757000,15122000.0,,-2347000,,,9096000,,104657000.0,29843000,15777000.0,-0.07,-1125000,27496000,-4465000,-2882000.0,,,2868000,1560000,-422000.0,,,13554000,527000,,20075000,,13554000,49454000,-1308000,25425000.0,0.0,15777000.0,,,6996000,,6366000.0,,,13079000,,14387000,4458000.0,12115000,-25000.0,104657000,-1125000,-1125000,,,,
2002-12-31,-15510000.0,,,11048000,,-640000.0,,25546000,130000.0,27144000,,,272000.0,55704000.0,,-770000.0,0.0,1372000,1971000,-1134000,130000,118907000,0.0,67024000,1598000.0,,-1950000,,,1596000,158000.0,,27496000,,,-770000,25546000,-4051000,,,,2874000,1981000,-697000.0,,,14890000,837000,-101489000.0,20688000,,14890000,51883000,-893000,26558000.0,0.0,,,8528000.0,6983000,,6786000.0,,,13705000,,14598000,4766000.0,12319000,-16391000.0,104017000,-770000,-770000,,,,
2003-03-31,-16717000.0,,,10689000,,77000.0,,24910000,125000.0,26315000,,-0.05,280000.0,72755000.0,,,0.0,1700000,1097000,-681000,125000,118885000,0.0,83724000,1405000.0,,-636000,,193000.0,9050000,,205662000.0,25546000,15814000.0,-0.05,-843000,24910000,-1869000,,,,3267000,2347000,-1888000.0,,,15555000,416000,-102332000.0,22553000,,15555000,35161000,-920000,27406000.0,0.0,15814000.0,,,7603000,,7123000.0,,,14950000,,15870000,6505000.0,13058000,16038000.0,103330000,-843000,-843000,,,,
2003-06-30,-17940000.0,,,10087000,,56000.0,,30507000,2222000.0,31601000,,-0.02,290000.0,71574000.0,,-367000.0,0.0,1702000,3629000,-609000,2222000,120990000,0.0,81951000,1094000.0,,5597000,,16697000.0,9884000,,,24910000,15856000.0,-0.02,-367000,30507000,-299000,,,,3285000,2862000,120000.0,,,14978000,3020000,,23174000,,14978000,39039000,-423000,28027000.0,0.0,15856000.0,,,7716000,,5859000.0,,,15458000,,15881000,5094000.0,13066000,-16387000.0,106012000,-367000,-367000,,,,
2003-09-30,-18390000.0,,,10314000,158000.0,65000.0,,23294000,1332000.0,35911000,,0.02,914000.0,69670000.0,,439000.0,0.0,1729000,4421000,-1450000,1332000,123480000,0.0,80898000,12617000.0,,-7213000,,,10142000,,107901000.0,30507000,16482000.0,0.02,281000,23294000,-12991000,,,,3344000,3718000,242000.0,,,15579000,2971000,,24108000,,15579000,42582000,374000,28704000.0,0.0,15981000.0,,,7627000,,5011000.0,,,16481000,,16107000,5437000.0,13211000,16368000.0,107901000,281000,281000,,,,
2003-12-31,-18702000.0,,,10254000,124000.0,-200000.0,,35643000,58080000.0,97449000,,,967000.0,68941000.0,,1153000.0,0.0,1755000,4403000,-1140000,58080000,183900000,0.0,80162000,61806000.0,,12349000,,,1235000,179000.0,2396000.0,23294000,,,1029000,35643000,-50362000,-49212000.0,,,3270000,4242000,-268000.0,,,15531000,3263000,-101389000.0,25270000,,15531000,103738000,972000,28956000.0,0.0,,,8410000.0,7796000,,4308000.0,,,17474000,,16502000,5886000.0,13653000,-10000.0,168369000,1029000,1029000,,,,
2004-03-31,-18910000.0,,3067000.0,9734000,-12000.0,238000.0,,31240000,1856000.0,104639000,,0.08,992000.0,70719000.0,,1469000.0,0.0,1929000,6085000,-816000,1856000,191731000,0.0,81445000,73399000.0,,-4403000,,,9675000,,272205000.0,35643000,18699000.0,0.08,1481000,31240000,-12391000,-11571000.0,,,3314000,4545000,1176000.0,,,19434000,5269000,-99908000.0,26278000,,16367000,110286000,1231000,28644000.0,0.0,17961000.0,,,7941000,0.0,3304000.0,,3067000.0,18337000,,17106000,6692000.0,14051000,-4000.0,172297000,1481000,1481000,,,,
2004-06-30,-20047000.0,,3306000.0,12515000,-74000.0,0.0,,37295000,2720000.0,107318000,,0.1,1069000.0,71369000.0,,1662000.0,0.0,2236000,5992000,-4053000,2720000,197953000,0.0,84953000,70023000.0,,6055000,,,11755000,,274978000.0,31240000,18771000.0,0.09,1736000,37295000,-2812000,3280000.0,,,3226000,4602000,1230000.0,,,21147000,1939000,-98172000.0,27456000,,17841000,113000000,1376000,32562000.0,0.0,18151000.0,,,8842000,0.0,2904000.0,,3306000.0,18614000,,17238000,6086000.0,13931000,-70000.0,176806000,1736000,1736000,,,,
2004-09-30,-21326000.0,,3168000.0,12164000,-100000.0,311000.0,,33251000,1483000.0,113309000,,0.13,995000.0,70087000.0,,2267000.0,0.0,2150000,6417000,-940000,1483000,202578000,0.0,83246000,80058000.0,,-4044000,,,12705000,,180386000.0,37295000,18898000.0,0.13,2367000,33251000,-11757000,-10039000.0,,,3137000,5093000,702000.0,,,22192000,5477000,,28610000,,19024000,119332000,1956000,33490000.0,0.0,18247000.0,,,9189000,0.0,3490000.0,,3168000.0,19421000,,17465000,6319000.0,14230000,-477000.0,180386000,2367000,2367000,,,,
2004-12-31,-22647000.0,,2539000.0,13489000,-16739000.0,479000.0,,36807000,238000.0,117069000,,,1038000.0,69594000.0,,2662000.0,0.0,2177000,6229000,-3223000,238000,232691000,0.0,105608000,80262000.0,,3556000,,,1876000,183000.0,3959000.0,33251000,,,19401000,36807000,-2986000,-72258000.0,,,3333000,5516000,271000.0,,,21747000,3006000,-76404000.0,29741000,,19208000,127083000,2183000,36136000.0,0.0,,,11040000.0,9412000,0.0,3921000.0,,2539000.0,20329000,,18146000,6292000.0,14900000,551000.0,210944000,19401000,19401000,,,,
2005-03-31,-22647000.0,,2330000.0,14412000,644000.0,604000.0,,26515000,204000.0,112891000,,0.05,2458000.0,72223000.0,,1618000.0,0.0,2332000,2335000,-2442000,204000,235125000,0.0,110035000,86376000.0,,-10292000,,54103000.0,11595000,,288510000.0,36807000,18861000.0,0.05,974000,26515000,-12788000,-60287000.0,,,3175000,4189000,-2604000.0,,,22045000,-107000,-75430000.0,31343000,,19715000,125090000,1014000,37059000.0,0.0,18318000.0,,,10490000,0.0,4991000.0,,2330000.0,20853000,,19839000,8120000.0,16389000,0.0,213080000,974000,974000,,,,
2005-06-30,-22647000.0,,2074000.0,16124000,793000.0,0.0,,31017000,975000.0,113402000,,0.06,2385000.0,70015000.0,,1936000.0,0.0,2545000,3014000,-3216000,975000,233647000,0.0,108246000,82385000.0,,4502000,,74266000.0,10187000,,214096000.0,26515000,18868000.0,0.06,1143000,31017000,565000,-70235000.0,,,2956000,4173000,-1732000.0,,,19551000,-202000,,32871000,,17477000,125401000,1217000,38771000.0,0.0,18366000.0,,,10836000,0.0,5476000.0,,2074000.0,22035000,,20818000,7290000.0,17163000,0.0,214096000,1143000,1143000,,,,
2005-09-30,-22647000.0,,1869000.0,16146000,767000.0,-2217000.0,,28007000,4665000.0,124761000,,0.06,3604000.0,68401000.0,,1904000.0,0.0,2580000,8819000,-1739000,4665000,244825000,0.0,107368000,96754000.0,,-3010000,,50850000.0,15374000,,220464000.0,31017000,19092000.0,0.06,1137000,28007000,-16272000,-65383000.0,,,2759000,5948000,3647000.0,,,24361000,7080000,,34320000,,22492000,137457000,3189000,38793000.0,0.0,18485000.0,,,11001000,0.0,5519000.0,,1869000.0,23319000,,20130000,7118000.0,16418000,0.0,220464000,1137000,1137000,,,,
2005-12-31,-21231000.0,,1226000.0,15144000,2136000.0,0.0,,28065000,1568000.0,134185000,,,1277000.0,66410000.0,,5339000.0,0.0,2666000,8751000,-996000,1568000,248059000,0.0,101521000,106120000.0,,58000,,45015000.0,1484000,187000.0,-1364000.0,28007000,,,3203000,28065000,-10237000,-54367000.0,,,2824000,6963000,-166000.0,,,23263000,7755000,-69947000.0,35804000,,22037000,146538000,4139000,36375000.0,0.0,,,12915000.0,11959000,0.0,5673000.0,,1226000.0,23845000,,19706000,7638000.0,15931000,0.0,224796000,3203000,3203000,,,,
2006-03-31,-21231000.0,,1090000.0,14179000,1414000.0,1426000.0,,45093000,2629000.0,142254000,,0.1,1081000.0,22306000.0,,3274000.0,0.0,2898000,6798000,-1225000,2629000,255937000,0.0,98457000,97161000.0,,17028000,,34272000.0,15758000,,229880000.0,28065000,19269000.0,0.1,1860000,45093000,7586000,-25461000.0,,,2813000,4661000,-276000.0,,,26057000,5573000,,37274000,,24967000,157480000,1848000,35410000.0,0.0,18692000.0,,,12926000,0.0,7375000.0,,1090000.0,24348000,,22500000,9209000.0,18494000,0.0,229880000,1860000,1860000,43708000.0,,,
2006-06-30,-21231000.0,,1034000.0,14447000,1704000.0,0.0,,37250000,1712000.0,150229000,,0.12,1107000.0,22277000.0,,4008000.0,0.0,3084000,9003000,-2724000,1712000,260640000,0.0,97556000,112979000.0,,-7843000,,19917000.0,15473000,,235598000.0,45093000,19261000.0,0.12,2304000,37250000,-18615000,-35808000.0,,,2861000,5259000,887000.0,,,25042000,6279000,,38946000,,24008000,163084000,2398000,35678000.0,0.0,18822000.0,,,12606000,0.0,6405000.0,,1034000.0,26340000,,23942000,8535000.0,19742000,0.0,235598000,2304000,2304000,44292000.0,,,
2006-09-30,-21231000.0,,870000.0,16851000,2990000.0,0.0,,32769000,633000.0,154896000,,0.25,1557000.0,21916000.0,,7688000.0,0.0,2835000,8622000,-5010000,633000,268383000,0.0,97870000,122127000.0,,-4481000,,12154000.0,16407000,,242345000.0,37250000,19130000.0,0.25,4698000,32769000,-13792000,-20936000.0,,1726000.0,2953000,8789000,-3475000.0,,,26038000,3612000,,40571000,,25168000,170513000,5836000,38082000.0,0.0,18787000.0,,,14005000,0.0,7872000.0,,870000.0,26566000,,20730000,8761000.0,16819000,0.0,242345000,4698000,4698000,44722000.0,,,
2006-12-31,-26076000.0,,1182000.0,18407000,2408000.0,0.0,,38159000,608000.0,158148000,,,1637000.0,23172000.0,,5956000.0,0.0,3191000,8328000,-4000000,608000,275437000,1334000.0,96686000,119989000.0,,5390000,,29050000.0,1878000,191000.0,4520000.0,32769000,,,3548000,38159000,-3672000,-26835000.0,,1643000.0,3183000,7182000,-2231000.0,,,25327000,4328000,-57537000.0,42098000,,24145000,178751000,3999000,44483000.0,0.0,,,12116000.0,16599000,0.0,9202000.0,,1182000.0,25499000,,21500000,8817000.0,17426000,-1887000.0,250110000,3548000,3548000,46497000.0,,,
2007-03-31,-26076000.0,,2497000.0,19616000,1484000.0,1862000.0,,43118000,362000.0,150348000,,0.1,1287000.0,30847000.0,,3298000.0,0.0,3070000,11143000,-2581000,362000,290852000,0.0,118469000,107230000.0,,4959000,,39225000.0,3018000,,254922000.0,38159000,19207000.0,0.09,1814000,43118000,-6475000,-26382000.0,,2046000.0,3610000,5046000,2189000.0,,,35930000,8562000,,44831000,,33433000,172383000,1436000,45692000.0,0.0,18896000.0,,18159000.0,17826000,0.0,10103000.0,,2497000.0,27005000,,25569000,12256000.0,21229000,0.0,254922000,1814000,1814000,61600000.0,,,
2007-06-30,-26076000.0,,1803000.0,19968000,962000.0,1891000.0,,36434000,850000.0,154475000,,0.06,1723000.0,29221000.0,,2137000.0,0.0,3270000,5641000,-2346000,850000,291959000,0.0,117198000,118041000.0,,-6684000,,27206000.0,3750000,,259355000.0,43118000,19348000.0,0.06,1175000,36434000,-13341000,-38201000.0,,1945000.0,3981000,4227000,-2422000.0,,,32604000,3295000,,47794000,,30801000,174761000,246000,46044000.0,0.0,18952000.0,,16128000.0,19318000,0.0,8969000.0,,1803000.0,28476000,,28230000,10923000.0,23751000,0.0,259355000,1175000,1175000,62618000.0,,,
2007-09-30,-26076000.0,,942000.0,21302000,2659000.0,0.0,,43262000,1734000.0,164243000,,0.17,2336000.0,27157000.0,,5909000.0,0.0,3026000,11174000,-3492000,1734000,301739000,0.0,114617000,120981000.0,,6828000,,19395000.0,3785000,,266927000.0,36434000,19475000.0,0.17,3250000,43262000,-6294000,-22197000.0,,1950000.0,4116000,7953000,-801000.0,,,34812000,7682000,,49340000,,33870000,187122000,3837000,47378000.0,0.0,19045000.0,,19491000.0,19551000,0.0,10719000.0,,942000.0,29789000,,25952000,10594000.0,21598000,0.0,266927000,3250000,3250000,63328000.0,,,
2007-12-31,-31921000.0,,1801000.0,24045000,4841000.0,0.0,,57785000,5215000.0,187426000,,,2322000.0,25711000.0,,14553000.0,0.0,3087000,23841000,-5852000,5215000,321843000,1379000.0,116165000,129641000.0,,14523000,,21460000.0,3299000,195000.0,5626000.0,43262000,,,9712000,57785000,-14288000,-29896000.0,,1963000.0,4440000,16773000,2885000.0,4841000.0,,40038000,17989000,-41586000.0,50840000,,38237000,205678000,12333000,55966000.0,0.0,,,23185000.0,20009000,0.0,10875000.0,,1801000.0,30831000,,18498000,10374000.0,21768000,0.0,281805000,9712000,9712000,61854000.0,,,
2008-03-31,-31921000.0,,1089000.0,22714000,4126000.0,0.0,,94706000,412000.0,161561000,,0.26,33017000.0,23892000.0,,9168000.0,0.0,3414000,8082000,-1189000,412000,323514000,5167000.0,144777000,66855000.0,,36921000,,31172000.0,1883000,,286868000.0,57785000,19369000.0,0.26,5042000,94706000,28493000,-1490000.0,,2189000.0,4282000,11512000,-7557000.0,4126000.0,,36646000,6893000,,52264000,,35557000,178737000,7230000,54635000.0,0.0,19217000.0,,17784000.0,19721000,0.0,11708000.0,,1089000.0,32543000,,25313000,10723000.0,20678000,0.0,286868000,5042000,5042000,61819000.0,,,
