date,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyStockholdersEquity,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyNonCurrentDeferredRevenue
1993-09-30,97000000.0,55800000.0,,2000000.0,30700000.0,100000.0,11400000.0,,2300000.0,0.03,33100000,-1700000.0,5500000.0,5300000.0,137200000.0,40200000.0,33000000.0,1100000.0,5300000,5300000.0,0.0,8000000.0,15800000.0,0.0,700000.0,-100000.0,-8200000.0,,12000000.0,,,176666667.0,2200000.0,100000.0,,,,-800000.0,21100000.0,13400000.0,,,104200000.0,33500000.0,33500000.0,28600000.0,,,0.03,3000000.0,8300000.0,,300000.0,-5100000.0,-6400000.0,,1200000.0,0.0,,,176666667.0,44200000.0,,11900000.0,,7700000,4900000.0,22300000.0,1400000.0,,4500000.0,8100000.0,,39100000.0,,9700000,
1993-12-31,96000000.0,61500000.0,,1600000.0,31800000.0,,12900000.0,,2300000.0,0.03,36100000,-200000.0,2700000.0,5700000.0,142400000.0,46400000.0,34100000.0,1100000.0,5700000,5700000.0,0.0,7600000.0,15700000.0,0.0,600000.0,0.0,-8100000.0,,13400000.0,,,190000000.0,2200000.0,100000.0,,,,500000.0,22700000.0,14500000.0,,,108300000.0,34300000.0,34300000.0,0.0,,,0.03,3200000.0,8900000.0,,200000.0,-5100000.0,-7900000.0,,-1700000.0,0.0,,,190000000.0,50400000.0,,10600000.0,,8200000,800000.0,21000000.0,1200000.0,,3400000.0,10600000.0,,45300000.0,,9800000,
1994-03-31,104000000.0,67800000.0,,1800000.0,29900000.0,,8500000.0,,2200000.0,0.03,40600000,,5600000.0,6300000.0,153500000.0,49500000.0,32100000.0,1300000.0,6300000,6300000.0,-100000.0,8500000.0,17100000.0,0.0,400000.0,-200000.0,-600000.0,,15100000.0,,,210000000.0,2200000.0,100000.0,,,,-2300000.0,25500000.0,16000000.0,,,121400000.0,45600000.0,45600000.0,0.0,,,0.03,3600000.0,9900000.0,,200000.0,-5100000.0,-4700000.0,,1600000.0,-100000.0,,-800000.0,210000000.0,53300000.0,,10300000.0,,9500000,11400000.0,20100000.0,2600000.0,5700000.0,2200000.0,9600000.0,,48200000.0,,11300000,
1994-06-30,99500000.0,74500000.0,,2500000.0,43400000.0,,8700000.0,,4900000.0,,44100000,,12600000.0,6800000.0,178500000.0,79000000.0,48300000.0,1300000.0,6800000,6800000.0,0.0,14900000.0,18300000.0,0.0,500000.0,-26100000.0,-31200000.0,,15900000.0,,,,4900000.0,,,,,-5200000.0,28200000.0,18100000.0,,,130200000.0,28000000.0,28000000.0,0.0,,,,3800000.0,10600000.0,,100000.0,-6600000.0,-2800000.0,,-1700000.0,100000.0,,-2900000.0,,84300000.0,,15400000.0,-2300000.0,10100000,-17600000.0,32600000.0,1200000.0,6900000.0,3400000.0,10700000.0,,77700000.0,,12600000,
1994-09-30,112800000.0,82800000.0,,2700000.0,50500000.0,,9700000.0,,4900000.0,0.04,52000000,,16500000.0,8300000.0,194000000.0,81200000.0,55400000.0,3100000.0,8300000,8300000.0,0.0,14500000.0,15600000.0,0.0,400000.0,-1800000.0,-200000.0,,18900000.0,,,207500000.0,4900000.0,,,,,2900000.0,33100000.0,20700000.0,,,138600000.0,45200000.0,45200000.0,28000000.0,,,0.04,4500000.0,12800000.0,,100000.0,-6600000.0,-2800000.0,,-2000000.0,0.0,,-3700000.0,207500000.0,84700000.0,,19300000.0,4400000.0,12400000,17100000.0,41800000.0,1700000.0,8300000.0,8300000.0,8600000.0,,78100000.0,,15100000,
1994-12-31,119900000.0,91800000.0,,2900000.0,46600000.0,,10100000.0,,4800000.0,0.04,56200000,,9400000.0,8900000.0,199200000.0,79300000.0,51400000.0,3100000.0,8900000,8900000.0,-100000.0,15000000.0,16000000.0,0.0,600000.0,-200000.0,-23400000.0,,20400000.0,,,222500000.0,4900000.0,,,,,-800000.0,35800000.0,22600000.0,,,147800000.0,37300000.0,37300000.0,0.0,,,0.04,4800000.0,13700000.0,,100000.0,-28200000.0,-6600000.0,,-500000.0,-100000.0,,-2100000.0,222500000.0,104400000.0,,16000000.0,,13200000,-7900000.0,35700000.0,1700000.0,9600000.0,-1400000.0,10800000.0,,76200000.0,,16100000,
1995-03-31,142900000.0,101900000.0,,2500000.0,62400000.0,,11000000.0,,1700000.0,0.04,66600000,-12000000.0,12400000.0,10100000.0,224800000.0,81900000.0,64100000.0,7000000.0,10100000,10100000.0,0.0,22800000.0,17500000.0,0.0,700000.0,-3700000.0,-27700000.0,,25200000.0,,,252500000.0,1700000.0,,,,,-9300000.0,41400000.0,26600000.0,,,160700000.0,33700000.0,33700000.0,0.0,,,0.04,5500000.0,15600000.0,,100000.0,-41300000.0,-12000000.0,,-200000.0,0.0,,-3200000.0,252500000.0,116200000.0,,24400000.0,,14800000,-3500000.0,47500000.0,3000000.0,13100000.0,3900000.0,14800000.0,,74900000.0,,17300000,
1995-06-30,161800000.0,113500000.0,,3500000.0,65800000.0,,16800000.0,,11600000.0,,76000000,7300000.0,13000000.0,11500000.0,256100000.0,94300000.0,77400000.0,6400000.0,11500000,11500000.0,6000000.0,60000000.0,19100000.0,0.0,900000.0,500000.0,-6400000.0,,27500000.0,,,,5600000.0,,,,,-1500000.0,48500000.0,31700000.0,,,178700000.0,55000000.0,55000000.0,0.0,,,,6200000.0,17700000.0,,,-43800000.0,-14200000.0,,400000.0,-100000.0,,-2900000.0,,131700000.0,,27200000.0,,16800000,21200000.0,41000000.0,3400000.0,11400000.0,6800000.0,24800000.0,3900000.0,87900000.0,,20300000,
1995-09-30,192870000.0,136036000.0,,2558000.0,69865000.0,,10869000.0,53939000.0,7129000.0,0.08,96443000,-16610000.0,10704000.0,22585000.0,286513000.0,93643000.0,76994000.0,1830000.0,22585000,22585000.0,6000000.0,0.0,14488000.0,47898000.0,0.0,4556000.0,-20800000.0,53685000.0,38597000.0,15421000.0,,282200000.0,1129000.0,,14681000.0,,,4465000.0,57846000.0,23069000.0,,,209519000.0,101837000.0,47898000.0,54966000.0,30000.0,,0.08,13264000.0,35849000.0,,11000.0,-42600000.0,-8746000.0,,-5718000.0,0.0,-184000.0,-11772000.0,282200000.0,134413000.0,,19450000.0,,34777000,-7068000.0,16775000.0,6083000.0,12200000.0,-2059000.0,22977000.0,-4450000.0,91813000.0,,37335000,
1995-12-31,219349000.0,167910000.0,,3861000.0,97343000.0,,9661000.0,46508000.0,7129000.0,0.12,106182000,7431000.0,21396000.0,31874000.0,331784000.0,112435000.0,104472000.0,3157000.0,31874000,31874000.0,6000000.0,0.0,19833000.0,61511000.0,0.0,-1327000.0,-15118000.0,65373000.0,36330000.0,15342000.0,,283308000.0,1129000.0,,15133000.0,,,-8609000.0,69852000.0,21963000.0,,,227312000.0,108019000.0,61511000.0,47898000.0,60000.0,,0.12,17163000.0,49037000.0,,,-47300000.0,-21222000.0,,-13887000.0,29000.0,-549000.0,-15599000.0,283308000.0,156578000.0,,42618000.0,,47889000,13613000.0,23352000.0,1683000.0,12302000.0,6355000.0,43516000.0,0.0,109278000.0,,51750000,
