date,quarterlyCashAndCashEquivalents,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyNetPPE,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicEPS,quarterlyResearchAndDevelopment,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyRetainedEarnings,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,quarterlyGoodwill,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyCurrentAccruedExpenses
2009-06-30,131551000.0,42256000,-5738000.0,,,-46100000.0,943000.0,2029542000.0,54478000.0,864000.0,131551000.0,-264000.0,,100000000.0,16379000,-1437000.0,,,79423000.0,0.0,91607503.0,30514000.0,26823000.0,4652000.0,2029542000.0,,,189000.0,-0.09,18801000.0,,77073000.0,20846000.0,10615000,0.0,61285000.0,220630000.0,-7541000,-32864000.0,-254500000.0,86397618.0,12840000.0,1261000.0,23481000,-31202000.0,30250000.0,,69068000,2374000,,2161814000.0,4747000.0,2382444000.0,1436470000.0,42486000.0,0.0,878626000.0,,1375185000.0,24438000.0,-0.09,,131551000.0,44630000.0,-6050000.0,2161814000.0,5093000.0,-6681000,-7541000,1375185000.0,,,,,,,
2009-09-30,100992000.0,23801000,8300000.0,,,-128654000.0,726000.0,2042617000.0,131551000.0,864000.0,100992000.0,-328000.0,0.0,1264036000.0,18127000,-3345000.0,,,-26666000.0,0.0,91548984.0,16960000.0,25219000.0,0.0,2042617000.0,,,-1584000.0,0.07,22000.0,,-30559000.0,452000.0,9982000,0.0,65855000.0,194177000.0,5967000,-20853000.0,-248533000.0,86437877.0,13797000.0,792000.0,40224000,-19369000.0,16632000.0,132356000.0,71304000,23217000,,2174973000.0,-8281000.0,2369150000.0,1420415000.0,47725000.0,0.0,883612000.0,,1354560000.0,24286000.0,0.07,,100992000.0,47018000.0,-1156000.0,2174973000.0,1752000.0,7574000,5967000,1354560000.0,,,,,,,
2009-12-31,131950000.0,24933000,2457000.0,,,-13434000.0,1983000.0,,100992000.0,867000.0,131950000.0,-349000.0,0.0,,18676000,-2038000.0,,,32935000.0,0.0,,15073000.0,24974000.0,1315000.0,,,,-1056000.0,,106000.0,,30958000.0,-889000.0,11584000,-11274000.0,58360000.0,227248000.0,5932000,-17050000.0,-253875000.0,,13243000.0,857000.0,34376000,-20914000.0,14724000.0,,70850000,24373000,,2180308000.0,-7426000.0,2407556000.0,1461337000.0,50976000.0,0.0,884179000.0,,1402977000.0,21544000.0,,,131950000.0,49306000.0,2898000.0,2180308000.0,352000.0,7438000,5932000,1402977000.0,,,,,,,
2010-03-31,108740000.0,23545000,4723000.0,,,-48368000.0,1045000.0,1875643000.0,131950000.0,871000.0,108740000.0,-137000.0,,1240256000.0,17678000,-1900000.0,,,-51046000.0,0.0,91666076.0,16015000.0,23001000.0,,1875643000.0,,,-2242000.0,0.04,70000.0,,-23210000.0,404000.0,11056000,-8707000.0,56899000.0,215101000.0,3568000,11821000.0,-259014000.0,86873472.0,12419000.0,919000.0,34820000,-10038000.0,15878000.0,,67587000,20863000,,2022361000.0,-5507000.0,2237462000.0,1297155000.0,50395000.0,0.0,878521000.0,,1240256000.0,23179000.0,0.04,,108740000.0,44408000.0,6246000.0,2022361000.0,0.0,5179000,3568000,1240256000.0,,,,,,,
2010-06-30,28354000.0,23573000,7580000.0,,,-164163000.0,1214000.0,1896324000.0,108740000.0,875000.0,28354000.0,-978000.0,,1181370000.0,16649000,-1898000.0,,,-74940000.0,0.0,92304831.0,30056000.0,24783000.0,,1896324000.0,,,-4689000.0,0.07,142000.0,,-80386000.0,416000.0,11229000,-8748000.0,56976000.0,129815000.0,6180000,-35502000.0,-261582000.0,87367967.0,12202000.0,1483000.0,36431000,-33787000.0,29078000.0,,68777000,22806000,,2049300000.0,5189000.0,2179115000.0,1238346000.0,47173000.0,0.0,879037000.0,,1181370000.0,22398000.0,0.07,,28354000.0,46379000.0,-737000.0,2049300000.0,0.0,7925000,6180000,1181370000.0,,,,,,,
2010-09-30,21798000.0,25348000,8834000.0,,,-38175000.0,1088000.0,1902698000.0,28354000.0,875000.0,21798000.0,-335000.0,,1171432000.0,16118000,-5902000.0,,,-24401000.0,0.0,92189852.0,28659000.0,32241000.0,,1902698000.0,,,-8530000.0,0.09,211000.0,,-6556000.0,416000.0,10618000,-8751000.0,69686000.0,128331000.0,7667000,-10814000.0,-262666000.0,87484731.0,12519000.0,1055000.0,37471000,-18717000.0,28324000.0,,71979000,23561000,,2046819000.0,476000.0,2175150000.0,1241118000.0,49047000.0,0.0,876582000.0,,1171432000.0,23070000.0,0.09,,21798000.0,48909000.0,806000.0,2046819000.0,0.0,9482000,7667000,1171432000.0,,,,,,,
2010-12-31,46750000.0,25546000,9646000.0,,,-5854000.0,815000.0,,21798000.0,876000.0,46750000.0,-106145000.0,,,15335000,5671000.0,,,44078000.0,48197000.0,,30085000.0,0.0,1370000.0,,,,-5787000.0,,812000.0,,24952000.0,428000.0,11525000,-16237000.0,34210000.0,87309000.0,8916000,-49211000.0,-262508000.0,,13209000.0,1123000.0,38190000,52843000.0,-76060000.0,,73154000,23585000,,2161159000.0,1614000.0,2248468000.0,1309397000.0,0.0,28269000.0,881401000.0,,1275187000.0,24023000.0,,,46750000.0,49131000.0,18471000.0,2112962000.0,0.0,10788000,8916000,1246918000.0,,,,,,,
2011-03-31,42555000.0,25492000,8583000.0,,,-114995000.0,254000.0,1971413000.0,46750000.0,885000.0,42555000.0,-7551000.0,,125000000.0,16842000,-1555000.0,,,-13540000.0,47763000.0,92812067.0,30002000.0,0.0,,1971413000.0,,,-4678000.0,0.09,249000.0,,-4195000.0,10568000.0,11658000,-14406000.0,159333000.0,92416000.0,8301000,-20657000.0,-266588000.0,88045951.0,13585000.0,1126000.0,39010000,-3077000.0,22451000.0,,74481000,24030000,,2160701000.0,2308000.0,2253117000.0,1305974000.0,0.0,25632000.0,890803000.0,,1146641000.0,24959000.0,0.09,,42555000.0,49522000.0,-10029000.0,141525000.0,0.0,10140000,8301000,1121009000.0,,,,,,,
2011-06-30,35187000.0,28094000,10552000.0,,,-220698000.0,411000.0,2045627000.0,42555000.0,942000.0,35187000.0,-82477000.0,,129000000.0,16701000,-1916000.0,,,32419000.0,50856000.0,96010848.0,35191000.0,0.0,,2045627000.0,,,-6436000.0,0.12,1570000.0,,-7368000.0,-9700000.0,12432000,-15274000.0,161712000.0,76377000.0,10609000,-74978000.0,-269173000.0,91439042.0,14092000.0,1585000.0,41345000,-328000.0,-47286000.0,,78040000,25852000,,2234480000.0,1570000.0,2310857000.0,1251913000.0,0.0,28962000.0,1004272000.0,,1090201000.0,24094000.0,0.12,,35187000.0,53946000.0,7827000.0,137997000.0,0.0,12517000,10609000,1061239000.0,,,,,,,
2011-09-30,33895000.0,27016000,15417000.0,,,-54013000.0,-62000.0,2060188000.0,35187000.0,943000.0,33895000.0,-29183000.0,-180000.0,166000000.0,17196000,-949000.0,,,36797000.0,54390000.0,98867803.0,35464000.0,0.0,,2060188000.0,,,-7819000.0,0.16,346000.0,,-1292000.0,440000.0,12306000,-15226000.0,205891000.0,125431000.0,15261000,-73553000.0,-267122000.0,94314429.0,14364000.0,1184000.0,46977000,-332000.0,6281000.0,,84097000,31215000,,2248797000.0,1141000.0,2374228000.0,1312159000.0,0.0,30046000.0,1007380000.0,,1106268000.0,25866000.0,0.16,,33895000.0,58231000.0,-48652000.0,134219000.0,0.0,17352000,15261000,1076222000.0,,,,,,,
2011-12-31,26484000.0,29991000,17739000.0,,,-62641000.0,552000.0,2263795000.0,33895000.0,948000.0,26484000.0,-80764000.0,-3000.0,215000000.0,18323000,-10175000.0,,-319302000.0,31813000.0,51276000.0,,43507000.0,0.0,0.0,2583097000.0,,,-7936000.0,,731000.0,,-7411000.0,5486000.0,13287000,-7121000.0,260079000.0,70769000.0,16278000,-82731000.0,-264086000.0,,15973000.0,1862000.0,52035000,-351000.0,-37257000.0,,93212000,36516000,,2445481000.0,2599000.0,2516250000.0,1442489000.0,0.0,38156000.0,1018947000.0,,1182410000.0,26705000.0,,,26484000.0,66507000.0,-1616000.0,130410000.0,0.0,18414000,16278000,1144254000.0,,,,,,,
2012-03-31,37575000.0,29773000,15743000.0,,,-198048000.0,950000.0,2266536000.0,26484000.0,950000.0,37575000.0,-19026000.0,,139273000.0,18515000,-3418000.0,,,-13304000.0,54001000.0,99927352.0,40790000.0,0.0,1492000.0,,,,-8142000.0,0.21,609000.0,,11091000.0,444000.0,12640000,-21252000.0,177302000.0,77263000.0,20214000,-16395000.0,-262874000.0,94888078.0,16524000.0,957000.0,50782000,-356000.0,21764000.0,,90987000,32770000,,2445873000.0,-2172000.0,2523136000.0,1443394000.0,0.0,32916000.0,1024506000.0,,1266092000.0,28444000.0,0.21,,37575000.0,62543000.0,1495000.0,125336000.0,5429000.0,22518000,20214000,1233176000.0,,,,,,,
2012-06-30,185502000.0,29640000,23681000.0,,,-92021000.0,1634000.0,2278331000.0,37575000.0,1041000.0,185502000.0,-28694000.0,,103958000.0,15854000,-1528000.0,,,145616000.0,65571000.0,106653965.0,51831000.0,0.0,356000.0,,,,-11525000.0,0.22,469000.0,,147927000.0,-631000.0,12545000,-23075000.0,151081000.0,238712000.0,22413000,-49520000.0,-261288000.0,102107535.0,16626000.0,1364000.0,56161000,-346000.0,23137000.0,,94951000,37875000,,2469631000.0,8690000.0,2708343000.0,1397700000.0,0.0,38616000.0,1255560000.0,,1246619000.0,27436000.0,0.22,,185502000.0,67515000.0,-20836000.0,125729000.0,0.0,24745000,22413000,1208003000.0,,,,,,,
