date,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedAverageShares,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyFreeCashFlow,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyDilutedEPS,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt
2002-01-31,48969000.0,,-84260000,47846000,3896000.0,-50441000.0,11897000,,-75000,213877000,-841000.0,,47549000,-65491000,,31208000,,104028000,120128000,4176000,44528000,458377000.0,,,1503174000,269065000,,-36711000,333000000,791377000,,14759000,214019000,108000.0,150000.0,398491000,,117323000,-156105000.0,102564000,498039000,72820000,185370000,739355000,-160886000,,333000000,,,,170569000.0,433494000,1234109000,,,-41322000.0,,-30787000,306940000,147348000.0,763819000,312669000,141210000.0,81119000.0,50000.0,82806000,300000000.0,-92914000,70193000.0,0.0,72820000,,33824000,72820000,0.0,305861000,
2002-04-30,14981000.0,,-21192000,14111000,3944000.0,-50441000.0,10488000,,0,253927000,0.0,,48775000,-25849000,547695000.0,35677000,,118922000,131267000,528000,52492000,521246000.0,,,1599717000,280653000,0.183333,27583000,307151000,828397000,50075000.0,12830000,190360000,-166000.0,151000.0,333000000,,130021000,-113638000.0,117191000,582905000,83245000,207165000,731066000,-88735000,,307151000,452052000.0,,,181708000.0,426129000,1319064000,,,-120000.0,,-54290000,390185000,151429000.0,868651000,375740000,181928000.0,82857000.0,0.0,89974000,300000000.0,-40050000,49369000.0,0.0,83245000,0.156667,37482000,83245000,0.0,304937000,
2002-07-31,5200000.0,,-27832000,9846000,5607000.0,-50441000.0,10593000,,5734000,285350000,0.0,,668000,-60335000,506310000.0,2251000,,7505000,143578000,4117000,57229000,579595000.0,,,1615154000,290674000,0.01,-27164000,246816000,826411000,,14069000,165395000,2179000.0,153000.0,307151000,,20234000,-153908000.0,6165000,427285000,5254000,99302000,731622000,-70849000,,246816000,456888000.0,,,194019000.0,423696000,1324480000,,,0.0,,-22496000,395438000,133038000.0,883532000,327983000,186157000.0,80462000.0,10980000.0,93137000,300000000.0,-31423000,62420000.0,0.0,5254000,0.01,35908000,5254000,0.0,307926000,
2002-10-31,4326000.0,,-4159000,2713000,5580000.0,-50441000.0,66465000,,0,205043000,-61832000.0,,91264000,75719000,459994003.0,0,,-48636000,138778000,584000,57779000,589042000.0,,78158000.0,1629697000,283401000,-0.10672,87105000,322535000,911577000,,16166000,170589000,2326000.0,157000.0,246816000,,-33940000,-131963000.0,-50106000,430304000,-48636000,108198000,750420000,-18258000,,322535000,459994003.0,,,189219000.0,444080000,1346296000,,,0.0,,83650000,346802000,149861000.0,879277000,322106000,203832000.0,,0.0,158304000,300000000.0,80307000,63495000.0,0.0,-48636000,-0.10672,38693000,-48636000,0.0,306340000,
2003-01-31,980000.0,,-9940000,-384000,5676000.0,-93931000.0,10473000,,0,145046000,0.0,,124325000,24459000,,21830000,,72766000,135152000,4176000,57373000,681419000.0,,76471000.0,1617015000,265413000,,114385000,346994000,1028413000,150449000.0,15151000,141129000,3760000.0,158000.0,322535000,,85887000,-239991000.0,70736000,468953000,50936000,161347000,684328000,-99482000,,346994000,,,,229083000.0,379448000,1351602000,,,29888000.0,,28538000,397739000,154501000.0,932687000,307606000,228467000.0,,0.0,90611000,300000000.0,59997000,,0.0,50936000,,95070000,50936000,0.0,304880000,
2003-04-30,7846000.0,,-25592000,6432000,6203000.0,-93931000.0,55488000,,0,165785000,0.0,,40428000,-68198000,503775000.0,8463000,,28210000,148904000,525000,59310000,771542000.0,,82352000.0,1687533000,286744000,0.04,14836000,278796000,1050338000,185786000.0,15958000,234437000,4154000.0,159000.0,346994000,,42306000,-275252000.0,26348000,404983000,19747000,126568000,726703000,-115058000,,278796000,475866000.0,,,242835000.0,416509000,1400789000,,,,,4256000,417486000,155751000.0,960830000,278415000,175344000.0,,0.0,100220000,300000000.0,-20739000,,6000000.0,19747000,0.04,40910000,19747000,0.0,310194000,
2003-07-31,12038000.0,,-66271000,10648000,6528000.0,-93931000.0,56037000,,0,217859000,0.0,,18814000,-4499000,523653000.0,2511000,,26661000,198945000,4117000,65620000,737290000.0,,79088000.0,1780113000,334070000,0.05,-47457000,274297000,1011587000,213979000.0,19610000,282397000,2989000.0,161000.0,278796000,,44242000,-181669000.0,24632000,459774000,24150000,129974000,784260000,-33961000,,274297000,480231000.0,,,292876000.0,476238000,1446043000,,,,,-25830000,441636000,190213000.0,995853000,329800000,183196000.0,,0.0,105342000,300000000.0,-52074000,,4500000.0,24150000,0.046667,39722000,24150000,0.0,308022000,
2003-10-31,9868000.0,3794000.0,-23385000,-291825000,5788000.0,-93931000.0,6733000,6380000.0,0,260819000,-14140000.0,,-8615000,-42484000,519187406.0,-803000,,5553000,196230000,0,73052000,380313000.0,,153512000.0,1458780000,400676000,0.01334,-32000000,231813000,612126000,535932000.0,22842000,242309000,-5658000.0,162000.0,274297000,,41703000,-183288000.0,18861000,486069000,6356000,134131000,449098000,257956000,,231813000,484503748.0,,,290161000.0,435502000,1058104000,,,,,-47003000,447992000,157839000.0,1009682000,351938000,187405000.0,,-71303000.0,115270000,,-38894000,,4582000.0,6356000,0.01334,42218000,6356000,0.0,13596000,
2004-01-31,8005000.0,95000.0,-12356000,4454000,4015000.0,-147846000.0,7731000,8609000.0,-300000000,234238000,-75000.0,,-949000,-17391000,,2083000,,26249000,190029000,0,71990000,389621000.0,,148872000.0,1399344000,346632000,,-13305000,214422000,604043000,85893000.0,24278000,185342000,-4618000.0,164000.0,231813000,,48094000,-94433000.0,23816000,472119000,24166000,138205000,348159000,-20896000,,214422000,,,,337875000.0,334112000,1052712000,,,,,-112191000,472158000,196631000.0,1051185000,333914000,144755000.0,,0.0,114389000,,26581000,,4582000.0,24166000,,42399000,24166000,0.0,14047000,
2004-04-30,15181000.0,76000.0,-18599000,13698000,3043000.0,-166020000.0,7255000,8609000.0,0,234796000,32000.0,,61486000,-17747000,535437000.0,5338000,,26687000,185041000,0,77750000,460628000.0,,148937000.0,1458190000,341233000,0.043333,42887000,196675000,657303000,75348000.0,23412000,214618000,-6230000.0,166000.0,214422000,,47292000,-149680000.0,23880000,471905000,21349000,148836000,372087000,-92931000,,196675000,495513000.0,,,351061000.0,358551000,1116957000,,,,,16838000,493507000,205308000.0,1086103000,323069000,140890000.0,,0.0,124956000,,-558000,,4582000.0,21349000,0.04,47206000,21349000,0.0,13536000,
2004-07-31,4606000.0,46000.0,-16628000,3256000,2038000.0,-184662000.0,8277000,8609000.0,0,266985000,-42000.0,,-28891000,-16096000,532257000.0,1280000,,6399000,182988000,0,85420000,432745000.0,,143330000.0,1480889000,334595000,0.01,-45519000,180579000,613324000,46619000.0,24074000,223201000,-6645000.0,167000.0,196675000,,27873000,-20452000.0,3799000,456061000,5119000,140093000,385727000,9539000,,180579000,498756000.0,,,367650000.0,374036000,1146294000,,,,,-58742000,498626000,246396000.0,1095162000,315968000,148797000.0,,0.0,136294000,,-32189000,,3082000.0,5119000,0.01,50874000,5119000,0.0,11691000,
2004-10-31,11036000.0,25000.0,-14057000,-14286000,1360000.0,-203523000.0,8132000,8609000.0,0,297551000,983000.0,,434000,-23892000,518347826.0,6470000,,32349000,182198000,0,87880000,431163000.0,,138175000.0,1539656000,328505000,0.05336,-13623000,156687000,587850000,56668000.0,24026000,262960000,-4944000.0,168000.0,180579000,,52784000,-52651000.0,28758000,515591000,25879000,166742000,431245000,-10040000,,156687000,498116942.0,,,385721000.0,415153000,1211151000,,,,,-49200000,524505000,307409000.0,1108411000,348849000,150833000.0,,0.0,137984000,,-30566000,,7483000.0,25879000,0.050025,50104000,25879000,0.0,16092000,
2005-01-31,11679000.0,17000.0,-17977000,11175000,856000.0,-216867000.0,9034000,20754000.0,0,315518000,-379000.0,,99171000,51825000,,12001000,,60010000,178955000,0,84054000,461533000.0,,135621000.0,1628536000,323610000,,81194000,208512000,670045000,50433000.0,31085000,238223000,-6389000.0,169000.0,156687000,,88241000,-90977000.0,57156000,566476000,48009000,193815000,450268000,-58521000,,208512000,,,0.0,395822000.0,421156000,1304926000,,,,,-4007000,572514000,296279000.0,1178268000,372661000,170577000.0,,0.0,136659000,,-17967000,11500000.0,8358000.0,48009000,,52605000,48009000,0.0,29112000,
2005-04-30,36011000.0,10000.0,-13504000,-12476000,345000.0,-235448000.0,10678000,20754000.0,491000,307759000,488000.0,,89579000,72492000,541476000.0,16111000,,80555000,169236000,0,85913000,450508000.0,,135523000.0,1635094000,315437000,0.126667,76075000,281004000,731512000,65304000.0,24893000,182146000,-6546000.0,173000.0,208512000,,101075000,-56411000.0,76182000,583846000,64444000,210153000,404507000,-4611000,,281004000,505941000.0,,-48467000.0,404684000.0,375520000,1319657000,,,,,294000,636958000,255252000.0,1230587000,373693000,193029000.0,,0.0,133971000,8233000.0,7759000,,0.0,64444000,0.12,48058000,64444000,0.0,28987000,
2005-07-31,19884000.0,2000.0,-29185000,-30503000,,-254277000.0,15977000,20754000.0,0,300955000,354000.0,,47347000,-38834000,542370000.0,10419000,,85256000,178951000,0,85814000,475376000.0,,131375000.0,1728218000,326303000,0.146667,18162000,242170000,717546000,50310000.0,24774000,221047000,-6508000.0,174000.0,281004000,,104811000,-76803000.0,80037000,574812000,74837000,217534000,452985000,-55678000,,242170000,506829000.0,,-50042000.0,433228000.0,425498000,1401915000,,,,,-52486000,711795000,355393000.0,1275233000,357278000,198867000.0,,0.0,137497000,,6804000,5584000.0,6733000.0,74837000,0.136667,51683000,74837000,0.0,27487000,
2005-10-31,49325000.0,1000.0,-13466000,8834000,,-273443000.0,24713000,20754000.0,-491000,284847000,-13392000.0,,84099000,122138000,550275862.0,12429000,,77682000,178505000,0,87937000,421870000.0,,152314000.0,1805508000,355532000,0.12673,70633000,364308000,786178000,101672000.0,24522000,179777000,-6308000.0,178000.0,242170000,,96058000,-49317000.0,71536000,583415000,65253000,228168000,456067000,29205000,,364308000,510125937.0,,-40000000.0,451948000.0,427167000,1449976000,,,,,-6488000,777048000,351737000.0,1349441000,355247000,247390000.0,,-9684000.0,156632000,,16108000,,8146000.0,65253000,0.12006,54537000,65253000,0.0,28900000,
2006-01-31,22768000.0,59000.0,-23445000,-27232000,,-282249000.0,27477000,8260000.0,0,254792000,-2110000.0,,225383000,187448000,,18676000,,116728000,178152000,0,92435000,398418000.0,,160738000.0,1915299000,366367000,,201938000,551756000,950174000,180400000.0,23788000,179395000,-3633000.0,180000.0,364308000,,136130000,-155527000.0,112342000,633614000,98052000,254940000,457543000,-10703000,,551756000,,,-50000000.0,460401000.0,438659000,1548932000,,,,,78813000,875100000,318186000.0,1457756000,378674000,259264000.0,,0.0,142598000,,30055000,,10624000.0,98052000,,50163000,98052000,0.0,18884000,
2006-04-30,86655000.0,1000.0,-20667000,43125000,,-282249000.0,31028000,8260000.0,6470000,346366000,-244000.0,,50396000,-63993000,585555000.0,18572000,,109248000,180206000,0,122404000,467290000.0,,22989000.0,2161453000,438826000,0.173333,29729000,487763000,955053000,22523000.0,24031000,298147000,-2451000.0,371000.0,551756000,,124716000,-92344000.0,100685000,681807000,90676000,288757000,552802000,-157514000,,487763000,521905500.0,,-50000000.0,462455000.0,534386000,1722627000,,,,,-81747000,965776000,391270000.0,1608651000,393050000,229434000.0,204603000.0,0.0,188072000,,-87958000,6805000.0,10156000.0,90676000,0.153333,65668000,90676000,0.0,18416000,
2006-07-31,15775000.0,6000.0,-20111000,-101311000,,-282249000.0,37527000,,7892000,378661000,-106000.0,,17002000,-99340000,578383500.0,17769000,,104522000,177144000,0,127257000,462744000.0,,29428000.0,2183829000,457540000,0.166667,-3109000,388423000,851167000,71770000.0,24208000,230916000,-2374000.0,373000.0,487763000,,120024000,-66690000.0,95816000,687519000,86753000,292128000,529281000,-15031000,,388423000,525366000.0,,-124978000.0,459393000.0,505044000,1726289000,,,,,-143688000,926548000,459636000.0,1654548000,395391000,272899000.0,203657000.0,0.0,196312000,,-30357000,1229000.0,,86753000,0.146667,69055000,86753000,8816000.0,24237000,
2006-10-31,52177000.0,22000.0,-28786000,60374000,340000.0,-282249000.0,42104000,,8197000,373558000,84000.0,,289318000,353323000,586439280.0,21816000,,128327000,220540000,0,140732000,431849000.0,,26538000.0,2531153000,505265000,0.2001,260532000,741746000,1173595000,52452000.0,25031000,324396000,-1325000.0,380000.0,388423000,,142644000,-20024000.0,117613000,820572000,106511000,333942000,685436000,3631000,,741746000,528721139.0,23407000.0,0.0,502789000.0,657769000,2025888000,,,-2620000.0,,137091000,1033059000,439252000.0,1845717000,486630000,333033000.0,203679000.0,0.0,216329000,,5775000,,,106511000,0.18009,75597000,106511000,6608000.0,27667000,
2007-01-31,66553000.0,-8000.0,-75692000,-55818000,,-308670000.0,28349000,,-22371000,354680000,-505000.0,,230395000,-197332000,,-11947000,,151559000,260828000,0,162276000,573436000.0,,45511000.0,2675263000,643493000,,154703000,544414000,1117850000,80322000.0,34292000,272075000,1436000.0,388000.0,741746000,,172806000,-41776000.0,138514000,878873000,163506000,385706000,668344000,-371909000,,544414000,,46655000.0,-100000000.0,569498000.0,638807000,2031770000,,,16149000.0,,-44526000,1196565000,518680000.0,2006919000,493167000,365552000.0,301425000.0,0.0,247192000,,21145000,1180000.0,,163506000,,84916000,163506000,0.0,29537000,
2007-04-30,44111000.0,,-37627000,-80889000,,-308670000.0,33454000,,0,332635000,-665000.0,,306489000,134537000,598299000.0,21530000,,153789000,271190000,0,158321000,628073000.0,,50914000.0,2800868000,646635000,0.246667,268862000,678951000,1307024000,214775000.0,31334000,334046000,1284000.0,393000.0,544414000,,172580000,-268211000.0,141246000,844280000,132259000,380138000,704974000,-91063000,,678951000,541246500.0,37405000.0,-125000000.0,579860000.0,623867000,2154233000,,,,,105431000,1328824000,471519000.0,2095894000,464142000,285435000.0,291077000.0,0.0,238892000,,22840000,4386000.0,,132259000,0.22,80571000,132259000,0.0,81107000,
2007-07-31,86957000.0,,-30076000,-37429000,,-308670000.0,25912000,31897000.0,0,276305000,466000.0,,331111000,235794000,603829500.0,28119000,,200851000,264832000,0,157952000,656818000.0,,54735000.0,3036267000,638862000,0.313333,301035000,914745000,1571563000,159886000.0,31892000,323381000,1586000.0,402000.0,678951000,,216652000,-187698000.0,184760000,935253000,172732000,423992000,775989000,-57888000,,914745000,547305000.0,29460000.0,-124386000.0,573502000.0,680798000,2397405000,,,,,57625000,1501556000,508435000.0,2260278000,511261000,353833000.0,293383000.0,0.0,239232000,,55649000,3584000.0,63294000.0,172732000,0.286667,81280000,172732000,0.0,95191000,
2007-10-31,73322000.0,,-49703000,-51719000,,-308670000.0,25156000,59898000.0,0,306143000,1542000.0,,380125000,141957000,612985000.0,31138000,,266799000,322946000,0,179529000,796251000.0,,78173000.0,3475263000,719209000,0.42,330422000,1056702000,1852953000,147051000.0,33030000,449792000,3350000.0,615000.0,914745000,,280871000,-283797000.0,247841000,1115597000,235661000,515553000,997337000,-186449000,,1056702000,554966000.0,32003000.0,-125041000.0,631616000.0,856442000,2756054000,,,28002000.0,,100630000,1737217000,552407000.0,2477926000,600044000,402987000.0,292934000.0,0.0,267712000,,-29899000,3663000.0,80997000.0,235661000,0.38,88183000,235661000,0.0,140895000,
2008-01-31,21579000.0,,-70339000,-156286000,,-393710000.0,38051000,86900000.0,220000,358521000,-582000.0,,252471000,-329733000,,22909000,,279902000,359808000,0,195835000,1082509000.0,,106926000.0,3747671000,858842000,,182132000,726969000,1809478000,232127000.0,36936000,492099000,8034000.0,619000.0,1056702000,,299435000,-512164000.0,262499000,1202730000,256993000,549597000,1129759000,-425918000,,726969000,,-22538000.0,-178085000.0,753518000.0,967161000,2888829000,,,22237000.0,,-93737000,1994210000,666494000.0,2617912000,653133000,469206000.0,354057000.0,-75542000.0,287098000,,-52280000,5856000.0,75698000.0,256993000,,91263000,256993000,0.0,162598000,
2008-04-30,30457000.0,,-202173000,-93439000,,-393710000.0,40389000,114596000.0,0,420126000,-4284000.0,,145245000,76339000,591989000.0,36213000,,213018000,522056000,0,218830000,818331000.0,,125001000.0,3807458000,1058465000,0.32,-56928000,803308000,1621639000,545803000.0,41358000,427855000,1549000.0,623000.0,726969000,,244337000,-289649000.0,202979000,1153388000,176805000,514843000,1070280000,24533000,,803308000,555673000.0,37144000.0,-123896000.0,915766000.0,876552000,2748993000,,,31186000.0,,-142486000,2171015000,651800000.0,2737178000,638545000,433989000.0,371019000.0,-1500000.0,311864000,,-61149000,14708000.0,79132000.0,176805000,0.3,93034000,176805000,0.0,193728000,
