date,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyAccumulatedDepreciation,quarterlyCurrentDebt,quarterlyNetPPE,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCurrentAssets,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyAccountsPayable,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2014-12-31,3244237000.0,3759600000,611585000,1488679000.0,1470787000,612984000,236805000,0.0,58324000,1399000,4566914000,40013000.0,,116000.0,,-287302000.0,236805000.0,1201377000,1036788000,3248016000,35967000.0,36943000,141254000.0,5230387000,2211228000.0,87745000.0,8638000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,3187825000.0,3520569000,819012000,1524366000.0,1761865000,819128000,1463502000,0.0,80005000,116000,4417116000,40013000.0,,116000.0,,,236596000.0,1524366000,1442821000,3101719000,11443000.0,36687000,137770000.0,5282434000,1658898000.0,259828000.0,7185000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,3006320000.0,2386149000,1033718000,2250560000.0,3115949000,1198461000,583091000,0.0,239072000,164743000,4293846000,334839000.0,117584000.0,149993000.0,,-565766000.0,25142000.0,1684794000,1126957000,1880688000,18302000.0,36726000,953950000.0,5502098000,753731000.0,278499000.0,198132000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,2930719000.0,1964455000,930698000,1848581000.0,3242104000,1076701000,190654000,0.0,461505000,146003000,4120762000,368582000.0,143836000.0,135282000.0,,,121293000.0,1848581000,843919000,1206223000,15554000.0,36607000,867766000.0,5206559000,362304000.0,188504000.0,197584000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,2694515000.0,1782094000,820189000,2419899000.0,2996874000,950691000,55429000,0.0,362333000,130502000,3853829000,338237000.0,125285000.0,123218000.0,,-626387000.0,29000000.0,1793512000,876532000,1083811000,14585000.0,36571000,722498000.0,4778968000,207279000.0,104101000.0,215844000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,2679159000.0,1904257000,1066255000,1852850000.0,3068245000,1195148000,73265000,0.0,556255000,128893000,3826986000,345508000.0,103452000.0,122519000.0,,,199735000.0,1852850000,817892000,817892000,14210000.0,36631000,708402000.0,4972502000,0.0,94699000.0,329992000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,2695371000,1036606000,2598160000.0,3140286000,1351596000,160141000,,396594000,314990000,4549167000,388675000.0,106430000.0,130466000.0,86582000.0,-709835000.0,192358000.0,1888325000,1578477000,1578477000,,39094000,715578000.0,5835657000,,,242169000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,3080907000,1449461000,1912322000.0,3336640000,1846483000,379922000,,945816000,397022000,4658510000,453063000.0,127532000.0,164814000.0,93968000.0,,277919000.0,1912322000,1074087000,1074087000,,39029000,814341000.0,6417547000,,240976000.0,502677000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,3354915000,1482392000,2799713000.0,3391027000,1946962000,536848000,,450435000,464570000,4932804000,390640000.0,267420000.0,163843000.0,169604000.0,-849068000.0,155157000.0,1950645000,1483352000,1551984000,,38863000,824991000.0,6745942000,68632000.0,,281236000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,3939048000,1851271000,2271535000.0,3668587000,2518068000,626125000,,721005000,666797000,5268550000,378693000.0,311221000.0,159063000.0,325389000.0,,58633000.0,2271535000,1674425000,1674425000,,38815000,792729000.0,7607635000,,,451344000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
