date,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyAccountsReceivable,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherIntangibleAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyLongTermDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2014-03-31,2089696000.0,3665429000.0,1441510000,835145000,774354000,,38523000.0,31010000.0,0.0,60791000,,30458000,1104000.0,3729400000,1811704000,211759000,1035103000,1004093000,47313000,-1853725000.0,0.0,4567700000,3126190000,31010000,534867000.0,57730000,,208844000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,2233630000.0,3817176000.0,1412106000,999860000,935834000,,37869000.0,0.0,0.0,64026000,,36179000,1104000.0,3512853000,1857218000,243699000,936319000,905118000,44018000,-1959958000.0,0.0,4516156000,3104050000,31201000,649986000.0,58001000,,233510000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,2209219000.0,3733950000.0,1607293000,886697000,819708000,,39781000.0,15428000.0,0.0,66989000,,21147000,1104000.0,3671926000,1826047000,228281000,1072617000,1057189000,1028000,-1907903000.0,0.0,4562465000,2955172000,15428000,577555000.0,58162000,,212282000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,2314987000.0,3807583000.0,1521520000,1054096000,983016000,,38680000.0,0.0,0.0,71080000,,26579000,1104000.0,3409210000,1864972000,228975000,1064044000,1038511000,3150000,-1942611000.0,0.0,4466684000,2945164000,25533000,719312000.0,58259000,,221831000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,2025616000.0,3744853000.0,1663906000,903190000,802435000,,43197000.0,0.0,0.0,100755000,,28038000,1104000.0,3538277000,1813867000,214551000,1186643000,1186643000,4396000,-1930986000.0,0.0,4445187000,2781281000,0,575433000.0,58356000,,214468000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,2157114000.0,3852094000.0,1359943000,1061995000,956967000,,38506000.0,19301000.0,0.0,105028000,,30636000,1104000.0,3262832000,1815757000,231952000,886197000,866896000,3945000,-2036337000.0,0.0,4328649000,2968706000,19301000,676852000.0,58392000,,234445000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,2067388000.0,4006720000.0,1275881000,945690000,845913000,,45658000.0,22296000.0,0.0,99777000,,31964000,1104000.0,3487377000,2024139000,240154000,812313000,790017000,3517000,-1982581000.0,0.0,4436810000,3160929000,22296000,609109000.0,58518000,,211109000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,2170035000.0,4169438000.0,1280377000,1140631000,1040681000,,40272000.0,22759000.0,0.0,99950000,,30915000,1104000.0,3354897000,2057492000,228975000,754146000,731387000,3222000,-2111946000.0,0.0,4498502000,3218125000,22759000,759265000.0,58549000,,232186000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,1862995000.0,4206835000.0,1374427000,1042829000,955572000,,65261000.0,,,87257000,,33520000,1104000.0,3569681000,2100410000,234362000,824018000,801240000,2947000,-2106425000.0,,4616329000,3241902000,22778000,,58554000,,207478000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,1995266000.0,4247186000.0,1122430000,1096728000,1007712000,,61133000.0,,,89016000,,35132000,1104000.0,3176626000,2027777000,250549000,599346000,596318000,994000,-2219409000.0,,4277469000,3155039000,3028000,,58554000,,230103000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,1954764000.0,4292021000.0,1391643000,1072340000,984144000,,70869000.0,,,88196000,,29479000,1104000.0,3415488000,1997941000,241325000,857402000,835537000,748000,-2294080000.0,,4494090000,3102447000,21865000,,58554000,,219710000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,1746183000.0,7857347000.0,1071056000,3794007000,1748058000,,56430000.0,,,2045949000,,30401000,1104000.0,2880881000,4486598000,272686000,574666000,552693000,492000,-3370749000.0,,6680711000,5609655000,21973000,,58570000,,235961000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
