date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyInventory,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyGoodwill,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2013-12-31,35799000000,1900000000.0,,4952000000,10494000000,84184000000.0,1000000.0,21845000000,39000000.0,649000000.0,30847000000,,5955000000.0,69438000000,-35062000000.0,49122000000,948000000.0,503000000.0,7894000000,5297000000,0.0,105237000000,94743000000,0.0,2597000000.0,4476000000,4107000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,15030000000,0.0,113497000000.0,2821000000,64915000000,62000000.0,0.0,11357000000,0.0,1000000.0,12209000000,,0.0,122752000000,-29000000.0,33000000,0.0,0.0,64238000000,64238000000,0.0,137782000000,72867000000,0.0,,0,2739000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,13186000000,0.0,113961000000.0,2700000000,62101000000,62000000.0,0.0,10204000000,0.0,0.0,10486000000,,0.0,123088000000,-30000000.0,32000000,0.0,0.0,61291000000,46854000000,12000000.0,136274000000,74173000000,0.0,14437000000.0,0,2621000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,13083000000,,113961000000.0,2864000000,68239000000,62000000.0,0.0,9938000000,0.0,,10219000000,,69000000.0,121472000000,-30000000.0,32000000,,,67796000000,63170000000,0.0,134555000000,66316000000,0.0,4626000000.0,0,2771000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,11761000000,,,2119000000,68543000000,61000000.0,0.0,9405000000,0.0,1000000.0,9642000000,,27000000.0,123597000000,-31000000.0,30000000,,,68149000000,66097000000,0.0,135358000000,66815000000,0.0,2052000000.0,0,2034000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,11837000000,,117971000000.0,2348000000,66004000000,61000000.0,0.0,9064000000,0.0,0.0,9489000000,,1000000.0,120099000000,-32000000.0,29000000,,,65946000000,65687000000,0.0,131936000000,65932000000,0.0,259000000.0,0,2209000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,11366000000,,,2641000000,61871000000,61000000.0,46498000000.0,8514000000,0.0,0.0,8725000000,,14000000.0,118411000000,-32000000.0,29000000,,,61710000000,15212000000,0.0,129777000000,67906000000,0.0,46498000000.0,0,2595000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,12081000000,,,2916000000,42034000000,61000000.0,29471000000.0,8859000000,0.0,,9165000000,,2000000.0,108283000000,-33000000.0,28000000,,,41923000000,12452000000,0.0,120364000000,78330000000,0.0,29471000000.0,0,2810000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,11421000000,,,6832000000,25574000000,18000000.0,,3679000000,,,4589000000,,0.0,95580000000,-4000000.0,14000000,,3544000000.0,25407000000,24557000000,,107001000000,81427000000,,850000000.0,0,3183000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,7601000000,,,3428000000,7255000000,18000000.0,1000000.0,3572000000,,,4173000000,,,83405000000,-4000000.0,14000000,,0.0,6987000000,3907000000,,91006000000,83751000000,,3080000000.0,0,3393000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,7880000000,,,4072000000,5475000000,18000000.0,,3437000000,,1000000.0,3808000000,,,83557000000,-4000000.0,14000000,,,5229000000,5229000000,,91437000000,85962000000,,,0,4063000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,8222000000,,,4349000000,4112000000,25000000.0,,3338000000,,0.0,3873000000,,24000000.0,82679000000,-5000000.0,20000000,,63000000.0,3880000000,2068000000,,90901000000,86789000000,,1812000000.0,0,4284000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
