date,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyBasicEPS,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyInventory,quarterlyChangeInInventory,quarterlyDepreciationAndAmortization,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCommonStockIssuance,quarterlyRepurchaseOfCapitalStock
2017-09-30,,288000000,,1119000000.0,187155231.0,1119000000.0,2000000.0,-45000000,954000000,119000000,9282000000.0,-37000000.0,-13971000000.0,-96000000,-115000000,-89000000,23253000000.0,0.0,384000000,331000000,165000000,515000000.0,26000000,17000000.0,0.61,-41000000,,8000000,14000000.0,1618000000.0,-4033000000.0,184594233.0,7000000,509000000,2766000000.0,,3804000000.0,24000000,0.0,6370000000.0,309000000.0,13450000000.0,17254000000.0,113000000,2964000000,-8000000,288000000,9136000000.0,0.6,1745000000.0,113000000,169000000,303000000.0,329000000.0,-17000000,1119000000,4000000.0,840000000.0,-100000000,2361000000,450000000.0,,70000000,5862000000.0,1384000000.0,1408000000.0,90000000,603000000,272000000,1323000000.0,-16000000,,,,,,
2017-12-31,62000000.0,216000000,,1358000000.0,185078245.0,1358000000.0,2000000.0,-5000000,1119000000,272000000,9138000000.0,-6000000.0,-13908000000.0,-150000000,-53000000,-76000000,23046000000.0,0.0,455000000,549000000,239000000,597000000.0,27000000,16000000.0,-1.06,-125000000,68000000.0,9000000,112000000.0,1898000000.0,-5185000000.0,185078245.0,3000000,431000000,3252000000.0,,4238000000.0,298000000,0.0,7400000000.0,113000000.0,13209000000.0,17447000000.0,-196000000,3174000000,-22000000,305000000,10652000000.0,-1.06,1719000000.0,-196000000,-56000000,279000000.0,384000000.0,-306000000,1358000000,2000000.0,811000000.0,-170000000,2359000000,459000000.0,154000000.0,70000000,4520000000.0,1388000000.0,1410000000.0,268000000,815000000,266000000,1453000000.0,-136000000,,,,,,
2018-03-31,,412000000,,1196000000.0,188494931.0,1196000000.0,2000000.0,-4000000,1365000000,138000000,9034000000.0,43000000.0,-13803000000.0,-74000000,-147000000,-219000000,22837000000.0,,55000000,440000000,-162000000,407000000.0,26000000,15000000.0,0.81,-408000000,,8000000,-11000000.0,1813000000.0,-4530000000.0,185939770.0,10000000,632000000,2976000000.0,,4149000000.0,-33000000,,6603000000.0,263000000.0,12947000000.0,17096000000.0,150000000,3090000000,0,-19000000,9579000000.0,0.8,1701000000.0,150000000,274000000,249000000.0,,-2000000,1203000000,,814000000.0,-74000000,2381000000,,,67000000,5368000000.0,1445000000.0,1413000000.0,-106000000,709000000,269000000,1630000000.0,-169000000,,,,,,
2018-06-30,,410000000,,1089000000.0,188708013.0,1089000000.0,2000000.0,-3000000,1203000000,180000000,8556000000.0,-252000000.0,-13523000000.0,-95000000,433000000,-63000000,22079000000.0,,-430000000,682000000,-108000000,504000000.0,32000000,13000000.0,0.4,-1094000000,,9000000,-20000000.0,1752000000.0,-4967000000.0,186398784.0,10000000,635000000,3013000000.0,,4281000000.0,213000000,,6397000000.0,339000000.0,12237000000.0,16518000000.0,75000000,3579000000,-5000000,-525000000,9410000000.0,0.39,1635000000.0,75000000,230000000,243000000.0,,-240000000,1095000000,,1025000000.0,-100000000,2632000000,,,64000000,5024000000.0,1916000000.0,1390000000.0,1000000,947000000,265000000,1668000000.0,-98000000,,,,,,
2018-09-30,,406000000,,1022000000.0,186479038.0,1022000000.0,2000000.0,-98000000,1095000000,251000000,8355000000.0,0.0,-13484000000.0,-82000000,-280000000,-183000000,21839000000.0,,288000000,618000000,-69000000,452000000.0,33000000,4000000.0,-0.22,-245000000,,7000000,15000000.0,1711000000.0,-4740000000.0,186479038.0,9000000,612000000,3004000000.0,,4193000000.0,145000000,,5896000000.0,298000000.0,11992000000.0,16185000000.0,-41000000,3390000000,-1000000,206000000,8900000000.0,-0.22,1615000000.0,-41000000,155000000,237000000.0,,-179000000,1026000000,,1017000000.0,-83000000,2534000000,,,58000000,5216000000.0,1820000000.0,1381000000.0,-30000000,856000000,238000000,1666000000.0,-12000000,,,,,,
2018-12-31,57000000.0,369000000,,1113000000.0,,1113000000.0,2000000.0,-30000000,1026000000,157000000,8327000000.0,166000000.0,-13480000000.0,-148000000,-294000000,-221000000,21807000000.0,,535000000,563000000,90000000,429000000.0,31000000,1000000.0,,-39000000,61000000.0,7000000,-20000000.0,1663000000.0,-4565000000.0,,6000000,574000000,2919000000.0,,4134000000.0,143000000,,5625000000.0,341000000.0,11804000000.0,15938000000.0,43000000,3344000000,-1000000,387000000,8544000000.0,,138000000.0,43000000,212000000,54000000.0,,-163000000,1116000000,,830000000.0,-148000000,2534000000,,151000000.0,59000000,5389000000.0,1801000000.0,1360000000.0,-30000000,810000000,247000000,1644000000.0,1000000,,,,,,
2019-03-31,,92000000,,1017000000.0,185325040.0,1017000000.0,2000000.0,0,1116000000,150000000,8328000000.0,42000000.0,-13687000000.0,-69000000,-199000000,-200000000,22015000000.0,,168000000,276000000,-96000000,521000000.0,30000000,1000000.0,-1.07,-164000000,,7000000,33000000.0,1503000000.0,-4834000000.0,185325040.0,10000000,294000000,2803000000.0,,4114000000.0,136000000,,6070000000.0,371000000.0,11842000000.0,15956000000.0,-199000000,2719000000,-1000000,99000000,8873000000.0,-1.07,1480000000.0,-199000000,-58000000,364000000.0,,-154000000,1020000000,11000000.0,758000000.0,-59000000,2180000000,,,84000000,5157000000.0,1802000000.0,1362000000.0,-159000000,539000000,263000000,1799000000.0,17000000,,,,,,
2019-06-30,,-177000000,,834000000.0,185533936.0,834000000.0,2000000.0,0,1020000000,116000000,8273000000.0,52000000.0,-13853000000.0,-89000000,-71000000,-71000000,22126000000.0,,82000000,273000000,-183000000,498000000.0,30000000,1000000.0,-2.17,-266000000,,7000000,31000000.0,1523000000.0,-4705000000.0,185533936.0,11000000,27000000,2531000000.0,,3818000000.0,371000000,,5959000000.0,-31000000.0,11531000000.0,15349000000.0,-402000000,2711000000,-110000000,-7000000,8490000000.0,-2.17,1463000000.0,-402000000,-293000000,340000000.0,,-420000000,837000000,0.0,684000000.0,-199000000,2189000000,,,68000000,4895000000.0,1804000000.0,1141000000.0,15000000,522000000,249000000,1767000000.0,36000000,,,,,,
2019-09-30,,-52000000,,841000000.0,185566202.0,841000000.0,2000000.0,0,837000000,95000000,7929000000.0,33000000.0,-13527000000.0,-87000000,-81000000,-82000000,21456000000.0,,174000000,190000000,7000000,551000000.0,30000000,1000000.0,-1.19,-70000000,,7000000,-5000000.0,1418000000.0,-4849000000.0,185566202.0,8000000,162000000,2455000000.0,,3643000000.0,180000000,,5805000000.0,-252000000.0,11027000000.0,14670000000.0,-221000000,2567000000,-1000000,87000000,8260000000.0,-1.19,1377000000.0,-221000000,-147000000,338000000.0,,-212000000,844000000,12000000.0,596000000.0,-76000000,2120000000,,,66000000,4539000000.0,1805000000.0,1114000000.0,-55000000,447000000,257000000,1649000000.0,58000000,,,,,,
2019-12-31,,-301000000,,879000000.0,,879000000.0,2000000.0,-7000000,844000000,54000000,7916000000.0,,-13790000000.0,-134000000,-93000000,-86000000,21706000000.0,,262000000,137000000,39000000,561000000.0,31000000,1000000.0,,62000000,,6000000,-44000000.0,1484000000.0,-5004000000.0,,1000000,-87000000,2563000000.0,,3530000000.0,374000000,,6221000000.0,-555000000.0,11110000000.0,14640000000.0,-303000000,2436000000,0,128000000,8784000000.0,,1414000000.0,-303000000,-355000000,371000000.0,,-407000000,883000000,0.0,546000000.0,-134000000,2048000000,,,62000000,4082000000.0,1799000000.0,1113000000.0,46000000,388000000,251000000,1644000000.0,26000000,,,,,,
