date,quarterlyChangeInWorkingCapital,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyDilutedEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyBasicAverageShares,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyStockholdersEquity,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyDilutedAverageShares,quarterlyNetIncome,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyTaxProvision,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyCostOfRevenue,quarterlyBasicEPS,quarterlyOperatingExpense,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2003-09-30,256000000,30483000000,1697000000,70000000,,0.47,-2225000000,2921000000,7480000000,15331000000.0,1410000000,-2000000,-71000000,1612000000,,496000000,1723404255.0,-238000000,-40000000.0,-258000000.0,22774000000,6444000000.0,,1251000000,27743000000,,7920000000,1526000000,7709000000,12000000.0,,321000000,-5445000000.0,5650000000,,3820000000,293000000,-2008000000,,1241000000,810000000,1723404255.0,810000000,-261000000,-1010000000,17000000,9886000000,5485000000,3549000000,439000000,11639000000,672000000,4559000000,0.47,1511000000,3366000000,3080000000,0,980000000,1506000000,58226000000,810000000,496000000,496000000,50306000000,1974000000,159000000,36600000000.0,202000000,,,,,,,,
2003-12-31,159000000,30754000000,2005000000,142000000,,,-1792000000,3105000000,8330000000,15805000000.0,1491000000,302000000,-69000000,1714000000,,514000000,,-250000000,-246000000.0,-311000000.0,22893000000,7020000000.0,,1318000000,28530000000,,8124000000,1639000000,7861000000,7000000.0,,217000000,-5650000000.0,5446000000,,4126000000,106000000,-1046000000,,1299000000,869000000,,869000000,-327000000,18000000,21000000,10155000000,5856000000,3343000000,453000000,11591000000,-1000000,5225000000,,1614000000,3535000000,3369000000,0,972000000,496000000,59284000000,869000000,514000000,514000000,51160000000,1871000000,176000000,36879000000.0,223000000,,,,,,,,
2004-03-31,-603000000,30482000000,1793000000,4000000,,0.33,-1639000000,2945000000,7693000000,15871000000.0,989000000,-174000000,28000000,1198000000,,287000000,1700000000.0,-266000000,-152000000.0,-309000000.0,22867000000,7105000000.0,,824000000,28807000000,,8221000000,1646000000,7615000000,1000000.0,,259000000,-5876000000.0,5445000000,,4254000000,-205000000,-471000000,,494000000,561000000,1700000000.0,561000000,-148000000,-227000000,-308000000,9995000000,5726000000,3549000000,263000000,11696000000,384000000,4748000000,0.33,1956000000,3427000000,3455000000,0,346000000,514000000,59289000000,561000000,287000000,287000000,51068000000,1429000000,165000000,36819000000.0,209000000,,,,,,,,
2004-06-30,-338000000,30246000000,1856000000,55000000,,0.41,-1827000000,3032000000,8205000000,15757000000.0,1242000000,-101000000,111000000,1457000000,,164000000,1702439024.0,-199000000,-162000000.0,-311000000.0,22238000000,7527000000.0,,1083000000,28877000000,,8060000000,1657000000,8008000000,17000000.0,,274000000,-5952000000.0,5495000000,,4382000000,185000000,-758000000,,838000000,698000000,1702439024.0,698000000,-205000000,-123000000,-129000000,9805000000,5771000000,3598000000,383000000,10972000000,832000000,5173000000,0.41,1790000000,3341000000,3365000000,0,633000000,287000000,59123000000,698000000,164000000,164000000,51063000000,1979000000,159000000,36876000000.0,215000000,,,,,,,,
2004-09-30,110000000,30070000000,1901000000,26000000,,0.46,-1780000000,2904000000,7831000000,15966000000.0,1253000000,-181000000,5000000,1462000000,,202000000,1693478261.0,-212000000,-167000000.0,-309000000.0,22217000000,7993000000.0,,1090000000,29220000000,,8131000000,1596000000,7853000000,4000000.0,,224000000,-6131000000.0,5437000000,,4442000000,-409000000,-908000000,,1156000000,779000000,1693478261.0,779000000,-221000000,38000000,-53000000,9835000000,5808000000,3797000000,310000000,10972000000,221000000,4927000000,0.46,1651000000,3507000000,3248000000,0,935000000,164000000,59290000000,779000000,202000000,202000000,51159000000,1659000000,163000000,36882000000.0,209000000,,,,,,,,
2004-12-31,854000000,30017000000,2207000000,-44000000,,,-1205000000,3006000000,8439000000,16483000000.0,1128000000,391000000,-346000000,1374000000,,282000000,,-379000000,-207000000.0,-351000000.0,20939000000,8304000000.0,,969000000,29911000000,,9722000000,1759000000,9078000000,47000000.0,,1703000000,-6498000000.0,5366000000,,4410000000,409000000,-1081000000,,1520000000,632000000,,628000000,-432000000,80000000,-116000000,9985000000,5850000000,3447000000,318000000,9723000000,0,5433000000,,1878000000,3906000000,3541000000,0,1088000000,202000000,59928000000,628000000,282000000,282000000,50206000000,2795000000,192000000,35811000000.0,246000000,,,,,,,,
2005-03-31,-538000000,30016000000,1964000000,-24000000,,0.42,-1223000000,2955000000,8059000000,16464000000.0,1157000000,-269000000,-115000000,1375000000,,220000000,1697619048.0,55000000,-167000000.0,-350000000.0,20835000000,8520000000.0,,981000000,30124000000,,10125000000,1761000000,9181000000,4000000.0,,1783000000,-6643000000.0,5273000000,,4530000000,-34000000,-366000000,,242000000,699000000,1697619048.0,713000000,-139000000,-62000000,-34000000,9821000000,5838000000,3712000000,282000000,9724000000,0,5104000000,0.42,1798000000,3859000000,3635000000,0,103000000,282000000,60140000000,713000000,220000000,220000000,50015000000,2986000000,176000000,35664000000.0,218000000,,,,,,,,
2005-06-30,311000000,28351000000,1995000000,-198000000,,0.28,-1433000000,3059000000,8334000000,16395000000.0,1250000000,-27000000,226000000,1468000000,,396000000,1685714286.0,1160000000,-208000000.0,-350000000.0,20531000000,8690000000.0,,1076000000,29856000000,,8524000000,1777000000,7820000000,12000000.0,,263000000,-6665000000.0,5246000000,,4482000000,178000000,-2028000000,,1050000000,758000000,1685714286.0,472000000,-302000000,176000000,-30000000,9730000000,5562000000,3678000000,316000000,9723000000,0,5275000000,0.28,1809000000,3598000000,3461000000,0,748000000,220000000,58207000000,472000000,396000000,396000000,49683000000,1388000000,174000000,35471000000.0,218000000,,,,,,,,
2005-09-30,-104000000,28327000000,2159000000,-58000000,,0.4,-1436000000,2856000000,8057000000,16633000000.0,1148000000,-113000000,26000000,1363000000,,235000000,1685000000.0,-326000000,-408000000.0,-349000000.0,20390000000,9024000000.0,,1009000000,29775000000,,8343000000,1678000000,7937000000,5000000.0,,258000000,-6784000000.0,5171000000,,4496000000,191000000,-584000000,,746000000,674000000,1685000000.0,674000000,-343000000,-161000000,-26000000,9849000000,5496000000,3799000000,334000000,9723000000,0,5201000000,0.4,1708000000,3673000000,3335000000,0,403000000,396000000,58102000000,674000000,235000000,235000000,49759000000,1584000000,139000000,35414000000.0,215000000,,,,,,,,
2005-12-31,236000000,28035000000,2270000000,-128000000,,,-1663000000,3398000000,9663000000,16598000000.0,1197000000,367000000,81000000,1425000000,,316000000,,-364000000,-392000000.0,-388000000.0,19311000000,9453000000.0,,1050000000,29593000000,,8153000000,1919000000,8724000000,7000000.0,,230000000,-6781000000.0,4769000000,,4494000000,-70000000,-973000000,,1426000000,773000000,,773000000,-387000000,81000000,-281000000,9817000000,6067000000,3343000000,277000000,8475000000,652000000,6265000000,,2201000000,3492000000,3385000000,0,1039000000,235000000,57628000000,773000000,316000000,316000000,49475000000,2073000000,147000000,35164000000.0,228000000,,,,,,,,
2006-03-31,-933000000,27837000000,2020000000,-26000000,,0.61,-1566000000,2932000000,8123000000,16756000000.0,1018000000,-294000000,46000000,1234000000,,267000000,1649180328.0,-93000000,-315000000.0,-385000000.0,19136000000,10277000000.0,24663000000.0,922000000,29977000000,,8318000000,1707000000,8701000000,4000000.0,,277000000,-6976000000.0,4701000000,,4617000000,-28000000,-443000000,,480000000,1006000000,1649180328.0,1006000000,-185000000,-49000000,-205000000,9780000000,5959000000,3587000000,-85000000,8476000000,913000000,5191000000,0.61,1914000000,3397000000,3431000000,0,295000000,316000000,57814000000,1006000000,267000000,267000000,49496000000,2371000000,96000000,10436000000.0,216000000,,,,,,,,
2006-06-30,38000000,27854000000,2084000000,-30000000,,0.41,-1205000000,3184000000,8619000000,17046000000.0,1403000000,78000000,290000000,1620000000,,402000000,1663414634.0,-203000000,-318000000.0,-384000000.0,18156000000,10578000000.0,24985000000.0,1030000000,30368000000,,8374000000,1770000000,9698000000,59000000.0,,248000000,-7284000000.0,4809000000,,4673000000,-145000000,-806000000,,1126000000,682000000,1663414634.0,682000000,-265000000,135000000,-234000000,9762000000,5869000000,3550000000,347000000,7478000000,398000000,5435000000,0.41,1781000000,3358000000,3549000000,0,861000000,267000000,58222000000,682000000,402000000,402000000,49848000000,3858000000,147000000,10428000000.0,217000000,,,,,,,,
2006-09-30,478000000,28442000000,2376000000,27000000,,0.45,-1256000000,3000000000,8243000000,17363000000.0,1360000000,-310000000,53000000,1581000000,,655000000,1626086957.0,365000000,-310000000.0,-381000000.0,17571000000,10914000000.0,25740000000.0,1223000000,30398000000,,8959000000,1765000000,10871000000,19000000.0,,325000000,-7554000000.0,4801000000,,4257000000,35000000,-1307000000,,1190000000,748000000,1662222222.0,748000000,-237000000,253000000,123000000,9809000000,5689000000,3857000000,473000000,7081000000,927000000,5243000000,0.46,1640000000,3856000000,3573000000,0,953000000,402000000,58840000000,748000000,655000000,655000000,49881000000,3712000000,134000000,10075000000.0,221000000,,,,,,,,
2006-12-31,-111000000,27019000000,2602000000,-139000000,,,-3069000000,3300000000,9371000000,17050000000.0,960000000,377000000,276000000,1197000000,,239000000,,-185000000,-311000000.0,-412000000.0,16546000000,11128000000.0,25553000000.0,841000000,28555000000,,8254000000,2007000000,10473000000,25000000.0,,253000000,-7357000000.0,5535000000,,1897000000,84000000,-1164000000,,924000000,624000000,,624000000,-482000000,-416000000,-318000000,9693000000,3930000000,3506000000,216000000,7081000000,151000000,6071000000,,2340000000,3980000000,3869000000,0,442000000,655000000,55574000000,624000000,239000000,239000000,47320000000,3740000000,202000000,10177000000.0,237000000,,,,,,,,
2007-03-31,-807000000,27085000000,2574000000,-69000000,,0.43,-3013000000,3051000000,8586000000,17373000000.0,1122000000,-355000000,127000000,1342000000,,251000000,1632558140.0,26000000,-190000000.0,-409000000.0,16658000000,,25411000000.0,1058000000,28729000000,,8852000000,1872000000,10427000000,6000000.0,,349000000,-7749000000.0,5753000000,,1879000000,102000000,-176000000,,161000000,702000000,1632558140.0,702000000,-180000000,12000000,-55000000,9624000000,3824000000,3881000000,356000000,7081000000,608000000,5535000000,0.43,1929000000,3784000000,3977000000,0,-19000000,239000000,55814000000,702000000,251000000,251000000,46962000000,3461000000,64000000,10048000000.0,220000000,,,,,,,,
2007-06-30,-145000000,29019000000,2599000000,-31000000,,0.44,-2674000000,3260000000,9205000000,17814000000.0,1188000000,-74000000,504000000,1410000000,,419000000,1571111111.0,-319000000,-2017000000.0,-411000000.0,16753000000,11945000000.0,25516000000.0,1039000000,27476000000,,9158000000,1969000000,12266000000,4000000.0,,356000000,-8012000000.0,5749000000,,1959000000,-308000000,-774000000,,1249000000,707000000,1606818182.0,707000000,-326000000,168000000,-99000000,9802000000,3919000000,4033000000,332000000,7085000000,233000000,5945000000,0.45,2072000000,4002000000,3957000000,0,923000000,251000000,56495000000,707000000,419000000,419000000,47337000000,5432000000,149000000,10060000000.0,222000000,,,,,,,,
2007-09-30,125000000,30477000000,2908000000,-114000000,,0.38,-2496000000,3059000000,9054000000,18358000000.0,981000000,-310000000,-460000000,1201000000,,498000000,1568421053.0,-347000000,-964000000.0,-394000000.0,20283000000,12058000000.0,25768000000.0,816000000,26882000000,,9544000000,1901000000,10194000000,5000000.0,,343000000,-8391000000.0,5846000000,,2088000000,-10000000,-453000000,,870000000,596000000,1568421053.0,596000000,-352000000,79000000,-174000000,9967000000,3837000000,4375000000,220000000,10600000000,81000000,5995000000,0.38,2078000000,4349000000,3942000000,0,518000000,419000000,57359000000,596000000,498000000,498000000,47815000000,2856000000,165000000,9992000000.0,220000000,,,,,,,,
2007-12-31,605000000,40698000000,4065000000,-222000000,,,-1835000000,3220000000,10396000000,19204000000.0,1060000000,548000000,38000000,1284000000,,567000000,,-7776000000,-537000000.0,-424000000.0,23612000000,12209000000.0,31193000000.0,814000000,27295000000,,10737000000,2067000000,17086000000,31000000.0,,302000000,-8426000000.0,5834000000,,3085000000,160000000,6524000000,,1291000000,585000000,,585000000,-383000000,69000000,-109000000,10778000000,4876000000,4096000000,229000000,12902000000,100000000,7176000000,,2160000000,4814000000,5197000000,0,908000000,498000000,67993000000,585000000,567000000,567000000,57256000000,8107000000,320000000,12200000000.0,224000000,,,,,,,,
2008-03-31,-714000000,42760000000,4157000000,-27000000,,0.4,-1442000000,3481000000,10372000000,20065000000.0,1183000000,-493000000,68000000,1431000000,,605000000,1518000000.0,-294000000,-650000000.0,-415000000.0,28506000000,12389000000.0,31459000000.0,860000000,27266000000,,11678000000,2211000000,14254000000,-12000000.0,,430000000,-8754000000.0,5997000000,,3371000000,-43000000,99000000,,217000000,608000000,1534000000.0,608000000,-271000000,38000000,-98000000,11311000000,5081000000,4667000000,252000000,17428000000,2278000000,6891000000,0.4,2298000000,2575000000,5361000000,0,-54000000,567000000,70026000000,608000000,605000000,605000000,58348000000,5244000000,305000000,12207000000.0,248000000,,,,,,,,
2008-06-30,48000000,42895000000,3541000000,0,,0.48,-1174000000,4044000000,11176000000,20507000000.0,1510000000,-172000000,35000000,1769000000,,708000000,1508000000.0,-323000000,0.0,-411000000.0,31065000000,12670000000.0,30497000000.0,1179000000,27950000000,,11674000000,2353000000,11830000000,8000000.0,,416000000,-9043000000.0,6042000000,,3370000000,50000000,-724000000,,1132000000,732000000,1524000000.0,732000000,-319000000,103000000,-177000000,11464000000,5675000000,4846000000,447000000,19348000000,2548000000,7132000000,0.49,2534000000,2799000000,5223000000,0,813000000,605000000,70845000000,732000000,708000000,708000000,59171000000,2942000000,331000000,13840000000.0,259000000,,,,,,,,
2008-09-30,206000000,40544000000,3439000000,-91000000,,0.93,-2005000000,3366000000,10462000000,18903000000.0,1036000000,-152000000,64000000,1281000000,,737000000,1479000000.0,-307000000,-127000000.0,-410000000.0,30249000000,13623000000.0,28573000000.0,738000000,26401000000,,11257000000,2199000000,10295000000,80000000.0,,393000000,-8265000000.0,5936000000,,2981000000,25000000,-778000000,,1180000000,546000000,1496000000.0,1398000000,-311000000,29000000,-122000000,10638000000,5439000000,4664000000,192000000,18874000000,2484000000,7096000000,0.95,2330000000,2653000000,4709000000,0,869000000,708000000,66945000000,1398000000,737000000,737000000,55688000000,1719000000,298000000,13496000000.0,245000000,,,,,,,,
2008-12-31,816000000,40878000000,3373000000,-144000000,,,-5994000000,3394000000,10767000000,17815000000.0,301000000,687000000,742000000,535000000,,1244000000,,-396000000,0.0,-427000000.0,29834000000,13345000000.0,27581000000.0,-4000000,22200000000,,11366000000,2370000000,11044000000,-27000000.0,,828000000,-7898000000.0,7181000000,,1288000000,40000000,-654000000,,1612000000,86000000,,163000000,-466000000,507000000,-685000000,9917000000,4064000000,3729000000,-90000000,18589000000,3255000000,7373000000,,3093000000,2754000000,4704000000,0,1146000000,737000000,63078000000,163000000,1244000000,1244000000,51712000000,1662000000,338000000,12926000000.0,234000000,,,,,,,,
2009-03-31,-605000000,39898000000,3207000000,7000000,-174000000.0,0.45,-6146000000,3265000000,9396000000,,1268000000,-232000000,104000000,1483000000,40000000.0,1184000000,1475000000.0,-174000000,0.0,-426000000.0,29583000000,13661000000.0,27348000000.0,988000000,22393000000,,11141000000,1991000000,10315000000,33000000.0,-9000000.0,754000000,,2071000000,,1148000000,-4000000,-294000000,,423000000,662000000,1483000000.0,660000000,-207000000,-60000000,0,9735000000,4090000000,4050000000,326000000,18385000000,2761000000,6131000000,0.45,1997000000,2566000000,4472000000,0,216000000,1244000000,62353000000,660000000,1184000000,1184000000,51212000000,1781000000,280000000,12908000000.0,215000000,,,,,,,,
2009-06-30,35000000,40274000000,3225000000,103000000,-129000000.0,0.56,-4723000000,3665000000,10162000000,,1505000000,210000000,43000000,1748000000,44000000.0,1731000000,1478000000.0,-257000000,0.0,-429000000.0,29971000000,14016000000.0,28225000000.0,1219000000,24296000000,,11688000000,2140000000,10303000000,4000000.0,-44000000.0,618000000,,2204000000,,1160000000,14000000,-603000000,,1297000000,829000000,1484000000.0,827000000,-267000000,547000000,26000000,10224000000,4266000000,4011000000,390000000,18610000000,2747000000,6497000000,0.56,2160000000,2716000000,4646000000,0,1030000000,1184000000,64654000000,827000000,1731000000,1731000000,52966000000,1615000000,312000000,13257000000.0,217000000,,,,,,,,
2009-09-30,398000000,41458000000,3264000000,17000000,-48000000.0,0.55,-4355000000,3541000000,9803000000,,1419000000,-5000000,42000000,1646000000,39000000.0,2996000000,1479000000.0,-269000000,0.0,-429000000.0,29402000000,14394000000.0,28617000000.0,1096000000,25125000000,,13018000000,2116000000,12056000000,6000000.0,-162000000.0,575000000,,2094000000,,1184000000,65000000,-64000000,,1549000000,826000000,1487000000.0,824000000,-275000000,1265000000,0,10409000000,4314000000,4073000000,270000000,18108000000,3188000000,6262000000,0.56,2122000000,2987000000,4720000000,0,1274000000,1731000000,66669000000,824000000,2996000000,2996000000,53651000000,2617000000,323000000,13319000000.0,227000000,,,,,,,,
