date,quarterlyNetIncomeCommonStockholders,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyDilutedEPS,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,quarterlyBasicEPS,quarterlyInventory,quarterlyOperatingExpense,quarterlyNetPPE,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1992-09-30,16700000,107600000,,,,,,,107600000,,,,,,,,0.06,,,107600000,,,,,,,,,,,,278333333.0,,,,16700000,16700000,,,,,,,,,0.06,,,,,,,,,,,,,,,,278333333.0,,,,,,,,,,,,,,,
1992-12-31,15200000,117200000,,,,,,,117200000,,,,,,,,,,,117200000,,,,,,,,,,,,,,,,15200000,15200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-31,21100000,129500000,,,,,,,129500000,,,,,,,,0.08,,,129500000,,,,,,,,,,,,263750000.0,,,,21100000,21100000,,,,,,,,,0.08,,,,,,,,,,,,,,,,263750000.0,,,,,,,,,,,,,,,
1993-06-30,21800000,128800000,,,,,,,128800000,,,,,,,,0.08,,,128800000,,,,,,,,,,,,272500000.0,,,,21800000,21800000,,,,,,,,,0.08,,,,,,,,,,,,,,,,272500000.0,,,,,,,,,,,,,,,
1993-09-30,23100000,129200000,,,,,,,129200000,,,,,,,,0.08,,,129200000,,,,,,,,,,,,288750000.0,,,,23100000,23100000,,,,,,,,,0.08,,,,,,,,,,,,,,,,288750000.0,,,,,,,,,,,,,,,
1993-12-31,5300000,131100000,,,,,,,131100000,,,,,,,,,,,131100000,,,,,,,,,,,,,,,,5300000,5300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-03-31,24800000,64600000,292700000.0,-17400000.0,-300000.0,10600000.0,,-6000000.0,54000000,,35600000.0,1361000000.0,9100000.0,600000.0,80000000.0,1330600000.0,0.1,124200000.0,396400000.0,125200000,,1191300000.0,,49800000.0,30900000.0,31800000.0,54300000.0,,,,70900000.0,248000000.0,,-8100000.0,3300000.0,20900000,24800000,336000000.0,6300000.0,-131900000.0,,292700000.0,292700000.0,41300000.0,9100000.0,0.1,23000000.0,16900000.0,1198700000.0,,77600000.0,30200000.0,139800000.0,232400000.0,149800000.0,30000000.0,-1500000.0,,-3300000.0,38900000.0,100000.0,248000000.0,1858200000.0,,1461800000.0,,,161300000.0,131400000.0,700000.0,14700000.0,-4300000.0,,,,,
1994-06-30,25600000,73100000,299400000.0,-1300000.0,0.0,10700000.0,,,62300000,,34000000.0,1342200000.0,6500000.0,-8200000.0,105600000.0,1333100000.0,0.09,129600000.0,408500000.0,136000000,1212700000.0,1159800000.0,,47200000.0,40000000.0,35700000.0,56300000.0,,,,79700000.0,284444444.0,,-9900000.0,2200000.0,25600000,25600000,351300000.0,6600000.0,-141800000.0,,299400000.0,299400000.0,48900000.0,12100000.0,0.09,21900000.0,17400000.0,1191300000.0,,78600000.0,31900000.0,-27500000.0,239900000.0,3300000.0,37700000.0,-400000.0,,-1500000.0,35500000.0,78600000.0,284444444.0,1869600000.0,,1461100000.0,,,6700000.0,292700000.0,800000.0,15300000.0,-3700000.0,,,,,
1994-09-30,25600000,69000000,334600000.0,-500000.0,-400000.0,11000000.0,,,58200000,,45800000.0,1344400000.0,10800000.0,-4400000.0,131200000.0,1330400000.0,0.09,114400000.0,445900000.0,136400000,1230000000.0,1166700000.0,,44800000.0,42600000.0,40000000.0,58500000.0,,,,77900000.0,284444444.0,,1100000.0,3200000.0,25600000,25600000,378700000.0,8900000.0,-151600000.0,,334600000.0,334600000.0,59700000.0,11500000.0,0.09,23900000.0,19700000.0,1178800000.0,,60200000.0,30100000.0,-10700000.0,241300000.0,200000.0,37100000.0,1100000.0,,-600000.0,46400000.0,60200000.0,284444444.0,1899500000.0,,1453600000.0,,-1000000.0,35200000.0,299400000.0,800000.0,14200000.0,-2300000.0,,,,,
1994-12-31,24100000,68800000,255200000.0,-100700000.0,0.0,11100000.0,,,57600000,,38400000.0,1329900000.0,12200000.0,-3800000.0,164300000.0,1345000000.0,,107500000.0,435700000.0,135100000,1222400000.0,1144100000.0,,113800000.0,43600000.0,34400000.0,56500000.0,,,,78600000.0,,,-21700000.0,3300000.0,26200000,24100000,401000000.0,9800000.0,-161900000.0,,255200000.0,255200000.0,73300000.0,10800000.0,,23100000.0,21000000.0,1183100000.0,,60800000.0,29500000.0,-21400000.0,263200000.0,-800000.0,37000000.0,1400000.0,,-4300000.0,42700000.0,60800000.0,,1914900000.0,,1479200000.0,,,-79400000.0,334600000.0,700000.0,12300000.0,-4400000.0,,,,,
1995-03-31,24800000,70600000,231500000.0,-55400000.0,,12000000.0,,,58600000,,-33300000.0,1355000000.0,14100000.0,-7100000.0,189100000.0,1430000000.0,0.09,108600000.0,406600000.0,137500000,,1126800000.0,,97500000.0,52200000.0,32900000.0,59400000.0,,,,78100000.0,275555556.0,,-2100000.0,2300000.0,24800000,24800000,428800000.0,7500000.0,-172700000.0,,231500000.0,231500000.0,114600000.0,13500000.0,0.09,25400000.0,19500000.0,1257300000.0,,63100000.0,29000000.0,-10700000.0,276600000.0,600000.0,38300000.0,3700000.0,,-75700000.0,42400000.0,63100000.0,275555556.0,1972400000.0,,1565800000.0,,22400000.0,-23700000.0,255200000.0,700000.0,12600000.0,-2100000.0,,,,,
1995-06-30,26500000,72500000,242900000.0,-42500000.0,,11900000.0,,,60600000,,17600000.0,1462300000.0,12500000.0,-4800000.0,215600000.0,1627300000.0,0.09,187000000.0,429300000.0,167300000,1275300000.0,1135800000.0,,83100000.0,58800000.0,76400000.0,88300000.0,,,,79000000.0,294444444.0,,-27300000.0,3500000.0,26500000,26500000,458300000.0,6500000.0,-199600000.0,,242900000.0,242900000.0,134600000.0,14700000.0,0.09,44500000.0,18400000.0,1427700000.0,,73000000.0,30500000.0,-8400000.0,253800000.0,400000.0,41200000.0,0.0,,-44700000.0,62300000.0,73000000.0,294444444.0,2142700000.0,,1713400000.0,,29500000.0,11400000.0,231500000.0,700000.0,37600000.0,-2500000.0,,,,,
1995-09-30,27300000,79900000,248300000.0,-96700000.0,,14800000.0,,,65100000,,5800000.0,1521000000.0,11800000.0,18300000.0,242900000.0,1709400000.0,0.09,209800000.0,441200000.0,174100000,1311200000.0,1165300000.0,,84800000.0,65000000.0,64300000.0,86500000.0,,,,87600000.0,303333333.0,,-26400000.0,3100000.0,27300000,27300000,485700000.0,7700000.0,-212500000.0,,248300000.0,248300000.0,138700000.0,14800000.0,0.09,43100000.0,22500000.0,1496900000.0,,110100000.0,30700000.0,40100000.0,255200000.0,100000.0,42100000.0,-2000000.0,,-56200000.0,62000000.0,110100000.0,303333333.0,2225500000.0,-500000.0,1784300000.0,,-14100000.0,5400000.0,242900000.0,700000.0,35400000.0,-3200000.0,,,,,
1995-12-31,28400000,78600000,239000000.0,-148400000.0,,16300000.0,,,62300000,,48900000.0,1613000000.0,9600000.0,-23400000.0,271000000.0,1772000000.0,,228000000.0,425000000.0,172900000,1385000000.0,1223000000.0,,85000000.0,65000000.0,61000000.0,84000000.0,,,,88900000.0,,,-44200000.0,4600000.0,28400000,28400000,549000000.0,10300000.0,-222000000.0,,239000000.0,239000000.0,149000000.0,14000000.0,,36000000.0,26600000.0,1550000000.0,,134000000.0,29500000.0,109000000.0,313000000.0,,42400000.0,13300000.0,,18600000.0,30300000.0,134000000.0,,2320000000.0,-1200000.0,1895000000.0,,-1800000.0,-9100000.0,248300000.0,1000000.0,33000000.0,-10000000.0,,,,,
1996-03-31,29000000,79000000,207000000.0,-66000000.0,,14000000.0,,,65000000,,0.0,2688000000.0,14000000.0,-9000000.0,396000000.0,2502000000.0,0.1,382000000.0,502000000.0,172000000,,2008000000.0,,132000000.0,104000000.0,120000000.0,84000000.0,,,,88000000.0,290000000.0,,-9000000.0,5000000.0,29000000,29000000,721000000.0,9000000.0,-282000000.0,,185000000.0,185000000.0,243000000.0,15000000.0,0.1,81000000.0,23000000.0,2220000000.0,,198000000.0,30000000.0,-11000000.0,853000000.0,1000000.0,44000000.0,-1000000.0,,-45000000.0,45000000.0,198000000.0,290000000.0,3622000000.0,,3120000000.0,,8000000.0,-32000000.0,239000000.0,1000000.0,64000000.0,-33000000.0,,,,,
1996-06-30,28000000,214000000,220000000.0,-550000000.0,,7000000.0,,,69000000,,-137000000.0,2151000000.0,8000000.0,-23000000.0,328000000.0,2011000000.0,0.1,265000000.0,411000000.0,174000000,1886000000.0,1710000000.0,,77000000.0,74000000.0,57000000.0,46000000.0,,,,220000000.0,280000000.0,,-404000000.0,2000000.0,28000000,28000000,610000000.0,6000000.0,-249000000.0,,220000000.0,220000000.0,167000000.0,16000000.0,0.1,40000000.0,151000000.0,1762000000.0,,173000000.0,31000000.0,540000000.0,728000000.0,0.0,44000000.0,5000000.0,,-160000000.0,23000000.0,173000000.0,280000000.0,2941000000.0,,2530000000.0,,14000000.0,13000000.0,207000000.0,1000000.0,35000000.0,-10000000.0,,,,,
1996-09-30,32000000,89000000,243000000.0,-289000000.0,,22000000.0,,,75000000,,-40000000.0,2540000000.0,8000000.0,27000000.0,360000000.0,2363000000.0,0.11,492000000.0,460000000.0,205000000,2048000000.0,1751000000.0,,52000000.0,92000000.0,124000000.0,108000000.0,,,,97000000.0,290909091.0,,-75000000.0,9000000.0,32000000,32000000,689000000.0,8000000.0,-262000000.0,,243000000.0,243000000.0,175000000.0,16000000.0,0.11,73000000.0,22000000.0,2101000000.0,,332000000.0,38000000.0,233000000.0,817000000.0,,48000000.0,-11000000.0,,-119000000.0,79000000.0,332000000.0,290909091.0,3419000000.0,,2959000000.0,,16000000.0,23000000.0,220000000.0,1000000.0,36000000.0,-13000000.0,,,,,
1996-12-31,36000000,93000000,185000000.0,-230000000.0,,,,,71000000,,-147000000.0,2688000000.0,-4000000.0,-2000000.0,396000000.0,2502000000.0,,382000000.0,502000000.0,284000000,2306000000.0,2008000000.0,,132000000.0,104000000.0,120000000.0,159000000.0,,,,125000000.0,,,-30000000.0,19000000.0,36000000,36000000,721000000.0,12000000.0,-282000000.0,,185000000.0,185000000.0,243000000.0,13000000.0,,81000000.0,54000000.0,2220000000.0,,198000000.0,47000000.0,137000000.0,853000000.0,,49000000.0,14000000.0,,-182000000.0,35000000.0,198000000.0,,3622000000.0,,3120000000.0,,65000000.0,-58000000.0,243000000.0,1000000.0,64000000.0,-33000000.0,,,,,
1997-03-31,40000000,93000000,423000000.0,-238000000.0,,,,-6000000.0,78000000,,-87000000.0,2726000000.0,5000000.0,-22000000.0,436000000.0,2599000000.0,0.13,276000000.0,730000000.0,261000000,,2166000000.0,,138000000.0,98000000.0,105000000.0,152000000.0,,,,109000000.0,320000000.0,,-135000000.0,16000000.0,40000000,40000000,891000000.0,9000000.0,-295000000.0,,423000000.0,423000000.0,228000000.0,16000000.0,0.13,71000000.0,31000000.0,2304000000.0,52000000.0,110000000.0,44000000.0,466000000.0,933000000.0,149000000.0,56000000.0,246000000.0,,-97000000.0,10000000.0,110000000.0,321200000.0,4078000000.0,,3348000000.0,,,238000000.0,185000000.0,1000000.0,61000000.0,-52000000.0,,,,,
1997-06-30,42000000,108000000,323000000.0,-1706000000.0,,,,,89000000,,-24000000.0,4636000000.0,7000000.0,2000000.0,478000000.0,3482000000.0,0.13,1007000000.0,735000000.0,261000000,3629000000.0,3366000000.0,,133000000.0,208000000.0,235000000.0,144000000.0,,,,117000000.0,336400000.0,,-538000000.0,14000000.0,42000000,42000000,1073000000.0,6000000.0,-318000000.0,,323000000.0,323000000.0,221000000.0,19000000.0,0.13,71000000.0,28000000.0,3164000000.0,,697000000.0,48000000.0,1521000000.0,2300000000.0,0.0,61000000.0,256000000.0,,-109000000.0,85000000.0,697000000.0,350800000.0,6332000000.0,,5597000000.0,,,-100000000.0,423000000.0,1000000.0,75000000.0,-73000000.0,,,,,
1997-09-30,47000000,112000000,358000000.0,-183000000.0,,,,,93000000,,-122000000.0,4495000000.0,7000000.0,-36000000.0,525000000.0,3396000000.0,0.13,829000000.0,799000000.0,358000000,3666000000.0,3387000000.0,,153000000.0,219000000.0,222000000.0,227000000.0,,,,131000000.0,346200000.0,,-31000000.0,28000000.0,50000000,47000000,1444000000.0,10000000.0,-336000000.0,,358000000.0,358000000.0,231000000.0,15000000.0,0.13,69000000.0,38000000.0,3060000000.0,,533000000.0,62000000.0,196000000.0,2594000000.0,345000000.0,65000000.0,0.0,,-144000000.0,22000000.0,533000000.0,370600000.0,6568000000.0,,5769000000.0,,,35000000.0,323000000.0,2000000.0,74000000.0,-100000000.0,,,,,
1997-12-31,56000000,162000000,302000000.0,-1672000000.0,,,,-177000000.0,101000000,,-85000000.0,6353000000.0,1000000.0,-35000000.0,581000000.0,4522000000.0,,1204000000.0,1190000000.0,531000000,5149000000.0,4585000000.0,,447000000.0,346000000.0,403000000.0,344000000.0,,,,187000000.0,,,-23000000.0,47000000.0,56000000,56000000,1481000000.0,20000000.0,-373000000.0,,302000000.0,302000000.0,273000000.0,6000000.0,,95000000.0,86000000.0,4149000000.0,,596000000.0,90000000.0,1540000000.0,3425000000.0,9000000.0,62000000.0,-273000000.0,,-161000000.0,76000000.0,596000000.0,,8909000000.0,,7719000000.0,,,-56000000.0,358000000.0,2000000.0,205000000.0,-131000000.0,,,,,
1998-03-31,65000000,206000000,317000000.0,100000000.0,,,,,161000000,,-148000000.0,6279000000.0,20000000.0,-89000000.0,646000000.0,4706000000.0,0.19,751000000.0,1060000000.0,575000000,,4909000000.0,,267000000.0,381000000.0,364000000.0,352000000.0,,,,223000000.0,350200000.0,,50000000.0,42000000.0,65000000,65000000,1513000000.0,15000000.0,-410000000.0,,317000000.0,317000000.0,351000000.0,33000000.0,0.19,95000000.0,62000000.0,4296000000.0,22000000.0,200000000.0,101000000.0,-93000000.0,3497000000.0,7000000.0,98000000.0,-20000000.0,,-156000000.0,8000000.0,200000000.0,350200000.0,8995000000.0,,7935000000.0,,282000000.0,15000000.0,302000000.0,2000000.0,187000000.0,-171000000.0,,,,,
1998-06-30,71000000,198000000,367000000.0,-1431000000.0,,,,,168000000,,204000000.0,7736000000.0,15000000.0,46000000.0,717000000.0,6007000000.0,0.2,1436000000.0,1174000000.0,565000000,6300000000.0,5854000000.0,,285000000.0,401000000.0,456000000.0,355000000.0,,,,210000000.0,351200000.0,,-184000000.0,43000000.0,71000000,71000000,1532000000.0,12000000.0,-445000000.0,,367000000.0,367000000.0,302000000.0,36000000.0,0.21,121000000.0,42000000.0,5562000000.0,,773000000.0,99000000.0,1291000000.0,3554000000.0,3000000.0,107000000.0,-155000000.0,,14000000.0,190000000.0,773000000.0,351200000.0,10464000000.0,,9290000000.0,,-235000000.0,50000000.0,317000000.0,2000000.0,207000000.0,-226000000.0,,,,,
1998-09-30,81000000,270000000,383000000.0,-29000000.0,,,,,197000000,,-175000000.0,7474000000.0,28000000.0,-159000000.0,798000000.0,5989000000.0,0.23,1866000000.0,1230000000.0,612000000,5608000000.0,5057000000.0,,334000000.0,386000000.0,360000000.0,327000000.0,,,,285000000.0,357200000.0,,100000000.0,44000000.0,79000000,81000000,1712000000.0,15000000.0,-477000000.0,,383000000.0,383000000.0,318000000.0,30000000.0,0.23,127000000.0,88000000.0,5512000000.0,,1314000000.0,126000000.0,106000000.0,3469000000.0,185000000.0,109000000.0,100000000.0,,-114000000.0,-61000000.0,1314000000.0,357200000.0,10387000000.0,,9157000000.0,,-15000000.0,16000000.0,367000000.0,2000000.0,192000000.0,-312000000.0,,,,,
1998-12-31,94000000,274000000,491000000.0,-482000000.0,,,,,226000000,,130000000.0,7705000000.0,4000000.0,212000000.0,892000000.0,6029000000.0,,1976000000.0,1254000000.0,646000000,5729000000.0,5241000000.0,,261000000.0,383000000.0,348000000.0,357000000.0,,,,289000000.0,,,-61000000.0,63000000.0,92000000,94000000,1794000000.0,14000000.0,-525000000.0,,491000000.0,491000000.0,268000000.0,46000000.0,,119000000.0,63000000.0,5504000000.0,,1413000000.0,139000000.0,199000000.0,3856000000.0,5000000.0,138000000.0,-3000000.0,,-261000000.0,391000000.0,1413000000.0,,10781000000.0,,9527000000.0,,62000000.0,108000000.0,383000000.0,2000000.0,215000000.0,-343000000.0,,,,,
1999-03-31,-13000000,273000000,437000000.0,-170000000.0,,,,-7000000.0,213000000,,-55000000.0,7811000000.0,-21000000.0,33000000.0,879000000.0,6266000000.0,-0.04,2110000000.0,1284000000.0,638000000,,5286000000.0,,289000000.0,442000000.0,347000000.0,349000000.0,,,,289000000.0,350200000.0,,15000000.0,-97000000.0,-13000000,-13000000,1046000000.0,16000000.0,-578000000.0,,437000000.0,437000000.0,247000000.0,-6000000.0,-0.04,116000000.0,76000000.0,5688000000.0,66000000.0,1514000000.0,133000000.0,108000000.0,2968000000.0,7000000.0,-19000000.0,-50000000.0,,-63000000.0,8000000.0,1514000000.0,372600000.0,10165000000.0,,8881000000.0,,,-54000000.0,491000000.0,2000000.0,249000000.0,-1085000000.0,,,,,
1999-06-30,71000000,204000000,391000000.0,-1195000000.0,,,,,204000000,,-84000000.0,8400000000.0,,68000000.0,950000000.0,6932000000.0,0.18,1290000000.0,1271000000.0,640000000,7110000000.0,6660000000.0,,310000000.0,447000000.0,377000000.0,421000000.0,,,,219000000.0,383200000.0,,-378000000.0,41000000.0,71000000,71000000,1514000000.0,15000000.0,-626000000.0,,391000000.0,391000000.0,239000000.0,34000000.0,0.19,123000000.0,15000000.0,6306000000.0,,676000000.0,143000000.0,998000000.0,3404000000.0,507000000.0,105000000.0,-40000000.0,,-235000000.0,151000000.0,676000000.0,406600000.0,11237000000.0,,9966000000.0,,,-46000000.0,437000000.0,2000000.0,237000000.0,-1195000000.0,,,,,
1999-09-30,58000000,232000000,702000000.0,-372000000.0,,,,,232000000,,-159000000.0,9090000000.0,,126000000.0,1008000000.0,7399000000.0,0.15,1878000000.0,1866000000.0,847000000,7212000000.0,6837000000.0,,339000000.0,679000000.0,649000000.0,602000000.0,,,,245000000.0,383800000.0,,54000000.0,-17000000.0,58000000,58000000,1502000000.0,13000000.0,-718000000.0,,702000000.0,702000000.0,116000000.0,27000000.0,0.15,146000000.0,13000000.0,6681000000.0,,968000000.0,141000000.0,499000000.0,3241000000.0,0.0,85000000.0,31000000.0,,-343000000.0,184000000.0,968000000.0,393800000.0,12106000000.0,,10240000000.0,,4000000.0,311000000.0,391000000.0,2000000.0,261000000.0,-1314000000.0,,,,,
1999-12-31,112000000,276000000,669000000.0,-4651000000.0,,,,-76000000.0,276000000,,-339000000.0,17095000000.0,,-438000000.0,1120000000.0,14210000000.0,,2570000000.0,2587000000.0,1128000000,14525000000.0,12136000000.0,,675000000.0,936000000.0,973000000.0,539000000.0,,,,589000000.0,,,-133000000.0,130000000.0,129000000,112000000,2637000000.0,27000000.0,-763000000.0,,669000000.0,669000000.0,1787000000.0,56000000.0,,307000000.0,313000000.0,13447000000.0,,1216000000.0,224000000.0,4764000000.0,3815000000.0,791000000.0,185000000.0,-72000000.0,,-193000000.0,-146000000.0,1216000000.0,,20880000000.0,,18293000000.0,,41000000.0,-33000000.0,702000000.0,2000000.0,381000000.0,-1102000000.0,,,,,
2000-03-31,174000000,390000000,822000000.0,-859000000.0,,,,-2000000.0,390000000,,-38000000.0,19331000000.0,,75000000.0,1294000000.0,14577000000.0,0.4,2541000000.0,3354000000.0,1476000000,,13931000000.0,,653000000.0,1563000000.0,1051000000.0,1057000000.0,,,,419000000.0,409411765.0,,-570000000.0,118000000.0,181000000,174000000,2856000000.0,29000000.0,-845000000.0,,822000000.0,822000000.0,1894000000.0,71000000.0,0.425,316000000.0,29000000.0,13732000000.0,817000000.0,1102000000.0,269000000.0,763000000.0,5265000000.0,8000000.0,252000000.0,-40000000.0,,-287000000.0,249000000.0,1102000000.0,435000000.0,23402000000.0,,20048000000.0,,,153000000.0,669000000.0,2000000.0,388000000.0,-1065000000.0,,,,,
2000-06-30,111000000,316000000,1200000000.0,-1949000000.0,,,,,316000000,,54000000.0,23310000000.0,,251000000.0,1406000000.0,18180000000.0,0.25,4226000000.0,4482000000.0,1538000000,19084000000.0,15056000000.0,,1481000000.0,1364000000.0,1636000000.0,1203000000.0,,,,335000000.0,426923077.0,,-146000000.0,99000000.0,111000000,111000000,3990000000.0,19000000.0,-952000000.0,,1200000000.0,1200000000.0,2619000000.0,43000000.0,0.26,437000000.0,19000000.0,17228000000.0,,2192000000.0,313000000.0,1965000000.0,6232000000.0,907000000.0,154000000.0,-131000000.0,,-308000000.0,362000000.0,2192000000.0,444000000.0,29020000000.0,,24538000000.0,,,378000000.0,822000000.0,5000000.0,398000000.0,-1202000000.0,,,,,
