date,quarterlyDilutedAverageShares,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyRepaymentOfDebt,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyTaxProvision,quarterlyNetPPE,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyEndCashPosition,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherFinancingCharges,quarterlyAccountsPayable,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyInterestExpense,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentDebt,quarterlyLongTermDebt
2011-03-31,162864000.0,,,18143000,52405000,66859000,301598000.0,77000.0,68981000.0,0.0,-95000,12125000.0,550000,0.0,131105000.0,,187517000.0,258092000.0,13587000,27436000.0,,19695000,78512000.0,14421000,0.0,,15225000.0,2122000,0.0,3070000,93266000,4556000,7098000.0,8075000,-20338000.0,17445000,-694000,0.085,40176000,234981000.0,403198000.0,93737000.0,-5140000.0,232617000.0,1678000,5216000,19123000,,71326000.0,68981000,18697000.0,23416000,-46934000,13587000,37984000,83455000,0.09,69850000,-4225000,2756000.0,1115000,8696000.0,150308000.0,-129695000,1009000,183612000.0,13587000,586810000.0,3178000.0,328718000.0,39482000,,,,,,
2011-06-30,163887000.0,,,19435000,57686000,68981000,342020000.0,77000.0,78019000.0,-2623000.0,-207000,13650000.0,-2005000,0.0,126478000.0,,192450000.0,287520000.0,14494000,28899000.0,,14392000,80749000.0,15942000,0.0,,20677000.0,9038000,0.0,3870000,103023000,4941000,7339000.0,7635000,-21560000.0,18779000,-756000,0.09,34068000,246289000.0,454412000.0,101426000.0,9354000.0,264001000.0,1658000,3524000,20437000,,72212000.0,78019000,19976000.0,26558000,-32953000,14494000,41744000,128390000,0.1,76465000,4580000,3184000.0,3376000,13207000.0,152267000.0,-157964000,-946000,180823000.0,14494000,635235000.0,4895000.0,347715000.0,33312000,,,,,,
2011-09-30,163869000.0,,,27124000,59127000,78019000,389166000.0,155000.0,66630000.0,0.0,60000,12968000.0,-23000,0.0,113801000.0,,192927000.0,316867000.0,17917000,29711000.0,,12144000,82199000.0,16834000,0.0,,20254000.0,-11389000,0.0,5734000,116426000,9207000,7485000.0,7572000,-22226000.0,26160000,-1335000,0.11,36039000,251667000.0,503926000.0,102453000.0,27271000.0,322536000.0,1778000,17917000,27938000,,75835000.0,66630000,22286000.0,31139000,-52950000,17917000,42293000,67836000,0.12,85287000,2159000,-4000.0,4773000,15342000.0,153265000.0,-119451000,-3622000,167061000.0,17917000,670987000.0,4557000.0,354120000.0,34704000,,,,,,
2011-12-31,,,,27371000,61856000,66630000,390273000.0,156000.0,71990000.0,0.0,-112000,16249000.0,-4556000,0.0,148414000.0,,206928000.0,358354000.0,16494000,31819000.0,,5407000,87905000.0,16380000,0.0,,21624000.0,5360000,0.0,6341000,120861000,10877000,7966000.0,16515000,-23853000.0,26520000,-839000,,22559000,266864000.0,523570000.0,109529000.0,43765000.0,318283000.0,1875000,16494000,28395000,,95522000.0,71990000,15971000.0,32485000,-33989000,16494000,45476000,76646000,,88376000,4287000,402000.0,10565000,19768000.0,,-109796000,-19687000,211177000.0,16494000,734747000.0,4899000.0,376393000.0,21720000,,,,,,
2012-03-31,165751000.0,-550000.0,,19729000,67489000,71990000,428070000.0,158000.0,74783000.0,0.0,-71000,17959000.0,-3409000,0.0,172236000.0,,216558000.0,398327000.0,14173000,35177000.0,,24063000,98014000.0,19667000,0.0,13551000.0,21142000.0,2793000,,7246000,117247000,5556000,9560000.0,15871000,-25617000.0,18715000,-1624000,0.09,48518000,270961000.0,551500000.0,119156000.0,57938000.0,353287000.0,2082000,14173000,20797000,,84759000.0,74783000,16721000.0,31043000,-62299000,14173000,47822000,132442000,0.09,86204000,-6319000,2130000.0,2320000,13764000.0,156010000.0,-192567000,10763000,236944000.0,14173000,788444000.0,8625000.0,390117000.0,46894000,,,,,,
2012-06-30,166061000.0,,,22226000,70885000,74783000,401629000.0,159000.0,81226000.0,0.0,73000,20828000.0,-4543000,0.0,242769000.0,,226510000.0,426644000.0,13950000,37741000.0,,18274000,104858000.0,20388000,0.0,,20696000.0,6443000,,7852000,128962000,8276000,10247000.0,6937000,-27494000.0,20950000,-2231000,0.08,43518000,294977000.0,540441000.0,125554000.0,71888000.0,320403000.0,2995000,13950000,23945000,,95351000.0,81226000,17280000.0,37127000,-43634000,13950000,50497000,121055000,0.09,91835000,10640000,1154000.0,2838000,24101000.0,157474000.0,-162458000,-11091000,306734000.0,13950000,847175000.0,7715000.0,420531000.0,41287000,,,,,,
2012-09-30,166791000.0,,,26771000,72690000,81226000,374646000.0,161000.0,75466000.0,343174000.0,-317000,26182000.0,-7025000,0.0,315657000.0,,230562000.0,478469000.0,17206000,55789000.0,,12619000,109516000.0,20498000,0.0,,26589000.0,-5760000,,8830000,136268000,9565000,26020000.0,22809000,-29769000.0,25770000,-16428000,0.1,41537000,298694000.0,514652000.0,136105000.0,89094000.0,299180000.0,2999000,18062000,28769000,,89843000.0,75466000,19032000.0,37808000,-69546000,17206000,52192000,-227729000,0.11,98460000,-1272000,3577000.0,4453000,23160000.0,158751000.0,-168364000,6008000,398616000.0,17206000,913268000.0,6546000.0,434799000.0,25109000,,,,,,
2012-12-31,166955000.0,-500000.0,2117000.0,36270000,74680000,75466000,413694000.0,162000.0,122975000.0,0.0,-170000,21060000.0,3674000,0.0,325892000.0,,247268000.0,510934000.0,21507000,56858000.0,,18046000,115917000.0,20525000,0.0,2081000.0,29342000.0,47509000,,6762000,151162000,14763000,25638000.0,4539000,-31220000.0,35040000,-1800000,0.13,50293000,319304000.0,569274000.0,145259000.0,110601000.0,290719000.0,3488000,-12000,38528000,,107642000.0,122975000,51220000.0,41442000,-7232000,21507000,54155000,72766000,0.13,109720000,-2088000,3091000.0,2458000,20816000.0,160034000.0,-77698000,-17800000,406223000.0,21507000,975497000.0,6168000.0,464563000.0,48493000,,,,,,
2013-03-31,167823000.0,-5979000.0,7198000.0,16975000,81301000,122975000,460380000.0,164000.0,97384000.0,0.0,215000,23933000.0,-4520000,0.0,322158000.0,,257332000.0,547709000.0,12249000,59843000.0,,11969000,119082000.0,23334000,0.0,14464000.0,34210000.0,-25591000,,9299000,135820000,4726000,25803000.0,15917000,-34040000.0,15391000,-1534000,0.07,37673000,331728000.0,613660000.0,153292000.0,122850000.0,362996000.0,3098000,-540000,18489000,2800000.0,102359000.0,97384000,48027000.0,39128000,-79178000,12249000,57967000,99841000,0.08,96692000,4957000,2166000.0,1453000,26369000.0,161282000.0,-171506000,5747000,419069000.0,12249000,1032729000.0,61144000.0,485020000.0,36139000,,,,,,
2013-06-30,168042000.0,-6000.0,6773000.0,15014000,89943000,97384000,502697000.0,164000.0,123468000.0,0.0,-100000,33317000.0,-11855000,0.0,311713000.0,,265639000.0,567185000.0,8979000,63171000.0,,11737000,124043000.0,25158000,0.0,1126000.0,1409000.0,26084000,,10707000,147428000,6035000,27047000.0,1567000,-36124000.0,13777000,-2035000,0.05,37659000,360481000.0,672400000.0,158080000.0,131829000.0,379229000.0,4224000,-385000,18001000,2800000.0,108907000.0,123468000,58878000.0,43708000,-12336000,8979000,64785000,93228000,0.06,103720000,9298000,350000.0,441000,35964000.0,162247000.0,-103523000,-6548000,413346000.0,8979000,1085746000.0,3283000.0,518561000.0,35624000,,,,,,
2013-09-30,168666000.0,-1650000.0,7846000.0,18410000,92490000,123468000,513018000.0,163000.0,144546000.0,0.0,-1151000,46876000.0,-14969000,0.0,327987000.0,,271302000.0,599953000.0,11029000,67812000.0,,-5458000,128871000.0,26421000,0.0,8880000.0,1424000.0,21078000,,11778000,154699000,7381000,28380000.0,8524000,-39432000.0,18279000,-3160000,0.07,25384000,367326000.0,705967000.0,160863000.0,142858000.0,368472000.0,4189000,1445000,22468000,2800000.0,107802000.0,144546000,62767000.0,43930000,-12634000,11029000,66069000,136271000,0.07,110769000,-3201000,1653000.0,-356000,33257000.0,162906000.0,-144095000,1390000,422175000.0,11029000,1128142000.0,3200000.0,528189000.0,22224000,,,,,,
2013-12-31,168873000.0,0.0,6841000.0,25542000,98830000,144546000,491370000.0,161000.0,115873000.0,0.0,-419000,48672000.0,-3749000,0.0,351675000.0,,293664000.0,585760000.0,12016000,78450000.0,21421000.0,15148000,138964000.0,27747000,0.0,1114000.0,471000.0,-28673000,-33529000.0,12687000,177350000,13526000,33599000.0,-32431000,-41798000.0,24643000,-7148000,0.07,46668000,410008000.0,735546000.0,169643000.0,121863000.0,375497000.0,4112000,441000,28755000,2872000.0,130471000.0,115873000,62377000.0,53877000,-42586000,12016000,71083000,98216000,0.07,123473000,-569000,1092000.0,-16000,32546000.0,163281000.0,-133654000,-22669000,429865000.0,12016000,1165411000.0,4820000.0,579651000.0,39520000,,,,,,
2014-03-31,168114000.0,-17000.0,6218000.0,13759000,105391000,115873000,561051000.0,163000.0,172968000.0,0.0,-389000,43294000.0,3326000,0.0,327263000.0,,305702000.0,610094000.0,8393000,91457000.0,0.0,33290000,145601000.0,29055000,0.0,14471000.0,16610000.0,57095000,-12305000.0,12930000,168949000,5366000,47474000.0,-888000,-43983000.0,12815000,-11318000,0.05,60902000,394866000.0,781460000.0,195071000.0,123680000.0,388083000.0,4422000,-67000,17237000,2824000.0,111489000.0,172968000,61561000.0,50743000,-2364000,8393000,76336000,129561000,0.05,118206000,-6042000,77000.0,-3054000,27603000.0,162391000.0,-120590000,19119000,418571000.0,8393000,1200031000.0,4734000.0,589937000.0,49584000,,,,,,
2014-06-30,168345000.0,0.0,3377000.0,11887000,115199000,172968000,558121000.0,163000.0,203947000.0,0.0,-574000,46824000.0,-6633000,0.0,352473000.0,,321359000.0,625219000.0,6081000,104724000.0,0.0,12518000,158843000.0,29938000,0.0,8047000.0,18411000.0,30979000,-14862000.0,14716000,184098000,5806000,55300000.0,-6839000,-49424000.0,11142000,-9704000,0.04,43798000,426088000.0,806949000.0,213805000.0,116822000.0,354174000.0,6492000,3616000,17634000,2824000.0,127825000.0,203947000,68881000.0,57757000,-5935000,6081000,85261000,166517000,0.04,126341000,7295000,1181000.0,-24000,35848000.0,163161000.0,-162748000,-16891000,458163000.0,6081000,1265112000.0,7658000.0,639893000.0,34094000,,,,,,
2014-09-30,169727000.0,0.0,3104000.0,15785000,121012000,203947000,660591000.0,165000.0,258096000.0,0.0,-1005000,51344000.0,-7788000,0.0,303168000.0,,329132000.0,649226000.0,4056000,109208000.0,2490000.0,31892000,170880000.0,30790000,0.0,18011000.0,17467000.0,54149000,-11068000.0,14667000,193348000,11729000,56812000.0,5840000,-52396000.0,15451000,-5780000,0.02,56518000,434496000.0,896440000.0,228879000.0,111497000.0,402495000.0,5605000,252000,21056000,2824000.0,116382000.0,258096000,66354000.0,56885000,-8209000,4056000,90222000,103041000,0.02,136463000,2553000,114000.0,-1103000,36520000.0,164294000.0,-105470000,10912000,416161000.0,4056000,1312601000.0,7977000.0,663375000.0,50738000,,,,,,
2014-12-31,170927000.0,0.0,2832000.0,20118000,138429000,258096000,720020000.0,166000.0,283254000.0,0.0,-1200000,69477000.0,-21364000,0.0,271724000.0,,368929000.0,675966000.0,6813000,114352000.0,2689000.0,-326000,189828000.0,33097000,0.0,14795000.0,17385000.0,25158000,-5742000.0,16681000,223969000,13305000,58919000.0,2636000,-55433000.0,19916000,-5395000,0.04,35364000,496456000.0,1046865000.0,252352000.0,113645000.0,436766000.0,5509000,339000,25425000,2824000.0,184741000.0,283254000,74891000.0,65624000,-12842000,6813000,105332000,100829000,0.04,158345000,14227000,-349000.0,-6417000,49947000.0,165439000.0,-108276000,-69028000,377909000.0,6813000,1424774000.0,10530000.0,748808000.0,29969000,,,,,,
2015-03-31,173720000.0,0.0,2559000.0,1643000,148386000,283254000,803957000.0,169000.0,386352000.0,0.0,-677000,72060000.0,-6296000,0.0,268608000.0,,406526000.0,719747000.0,1560000,123815000.0,3343000.0,35729000,193645000.0,35816000,0.0,28955000.0,15998000.0,103098000,0.0,18880000,212886000,83000,63487000.0,22355000,-60328000.0,898000,-4927000,0.01,64619000,518633000.0,1111803000.0,259923000.0,115205000.0,417605000.0,6353000,159000,7251000,2824000.0,161854000.0,386352000,68600000.0,63602000,16124000,1560000,112570000,142042000,0.01,149284000,-11305000,226000.0,-6600000,40164000.0,168077000.0,-120991000,23621000,386500000.0,1560000,1498303000.0,10024000.0,778556000.0,59692000,,,,,,
2015-06-30,176234000.0,,693000.0,3486000,167335000,386352000,873027000.0,170000.0,481393000.0,0.0,-830000,68845000.0,-1621000,0.0,275344000.0,,441177000.0,750827000.0,792000,137783000.0,1096000.0,51164000,216384000.0,37389000,0.0,13692000.0,15601000.0,95041000,0.0,21645000,239785000,2694000,71465000.0,8930000,-66318000.0,2952000,-10761000,0.004494,84305000,565299000.0,1195510000.0,288750000.0,115997000.0,391634000.0,7029000,1732000,9981000,2824000.0,176849000.0,481393000,80690000.0,69498000,1806000,792000,129946000,121055000,0.004661,170287000,2922000,-309000.0,-4762000,42336000.0,169930000.0,-108488000,-14098000,409366000.0,792000,1604876000.0,14888000.0,854049000.0,73544000,,,,,,
2015-09-30,177897000.0,,18967000.0,-1160000,184324000,481393000,908158000.0,172000.0,540712000.0,-38025000.0,-6536000,80246000.0,-4106000,0.0,261506000.0,,471118000.0,795386000.0,8169000,154982000.0,5477000.0,18917000,235793000.0,42110000,0.0,20896000.0,15954000.0,59319000,0.0,26476000,260068000,-9329000,83372000.0,9269000,-71610000.0,4043000,-13325000,0.05,65065000,603134000.0,1251740000.0,308653000.0,124166000.0,367446000.0,8824000,790000,12867000,4260000.0,174111000.0,540712000,77746000.0,71701000,-15015000,8169000,142214000,136543000,0.05,188367000,-1459000,-90000.0,-11627000,48793000.0,171648000.0,-100208000,11400000,455433000.0,8169000,1707173000.0,15325000.0,911787000.0,51740000,,,,,,
2015-12-31,171831000.0,0.0,17640000.0,13036000,199969000,540712000,891351000.0,171000.0,543277000.0,0.0,-2724000,83868000.0,-6661000,0.0,272959000.0,,514652000.0,755377000.0,-2534000,140126000.0,8379000.0,30650000,276651000.0,42814000,0.0,3771000.0,19188000.0,2565000,-60000000.0,28087000,296529000,15570000,91067000.0,-62111000,-49059000.0,14584000,-8345000,-0.01,68558000,678670000.0,1270543000.0,356463000.0,68481000.0,348074000.0,9383000,1285000,23967000,4692000.0,259563000.0,543277000,94139000.0,81976000,-3882000,-2534000,157155000,134679000,-0.01,214553000,7325000,-933000.0,-5882000,61500000.0,171831000.0,-130216000,-86125000,519967000.0,-2534000,1790510000.0,14393000.0,1035133000.0,60213000,,,,,,
2016-03-31,171745000.0,,16457000.0,-5238000,212171000,543277000,952599000.0,171000.0,568008000.0,0.0,-1640000,78239000.0,-527000,0.0,241888000.0,,538449000.0,742403000.0,-3429000,170403000.0,9230000.0,61464000,298739000.0,44966000,0.0,17785000.0,17874000.0,24731000,-50000000.0,30881000,284576000,-1809000,115782000.0,-41656000,-54621000.0,-5344000,-29956000,-0.02,100591000,687342000.0,1285701000.0,381776000.0,23089000.0,384591000.0,10550000,-372000,5206000,4692000.0,220135000.0,568008000,91708000.0,77749000,-34204000,-3429000,167205000,111424000,-0.02,206827000,-11426000,294000.0,-9441000,47955000.0,171745000.0,-115672000,38920000,525820000.0,-3429000,1811521000.0,15305000.0,1069118000.0,70635000,,,,,,
2016-06-30,172436000.0,,31488000.0,-3690000,230380000,568008000,984768000.0,172000.0,596380000.0,-20660000.0,-1903000,81247000.0,-7492000,0.0,237223000.0,,563195000.0,804626000.0,-1388000,184645000.0,8161000.0,21262000,340786000.0,45502000,0.0,5187000.0,16498000.0,28372000,0.0,28368000,311391000,-2302000,125636000.0,-4356000,-59009000.0,-3492000,-14443000,-0.01,67941000,731964000.0,1353884000.0,423588000.0,58808000.0,388388000.0,11291000,1564000,7799000,14235000.0,254379000.0,596380000,103688000.0,84503000,-35213000,-1388000,184878000,115073000,-0.01,226888000,11296000,724000.0,-7917000,56920000.0,172436000.0,-115183000,-36898000,606294000.0,-1388000,1960178000.0,16930000.0,1155552000.0,53498000,,,,,,
2016-09-30,177938000.0,-1427000.0,27849000.0,6589000,224076000,596380000,1030422000.0,173000.0,647513000.0,0.0,-3070000,93731000.0,-16536000,0.0,240228000.0,0.0,582145000.0,823088000.0,6291000,189975000.0,7795000.0,21012000,352647000.0,47239000,0.0,19320000.0,16069000.0,51133000,-25000000.0,31093000,316646000,298000,126109000.0,-18208000,-63866000.0,7771000,-5920000,0.04,76139000,750360000.0,1394873000.0,436712000.0,43093000.0,382909000.0,13055000,3654000,20826000,14553000.0,238988000.0,647513000,102890000.0,84799000,-6798000,6291000,176837000,140267000,0.04,231847000,-1454000,153000.0,-12528000,57530000.0,173335000.0,-139718000,10766000,615287000.0,6291000,2010160000.0,17114000.0,1187072000.0,70219000,,,,,,
