date,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOtherIncomeExpense,quarterlyBasicAverageShares,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyEbitda,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyBasicEPS,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyCashDividendsPaid
2002-09-30,-31283000,-14809000,-23823000,-23823000,-0.659868,,3495000.0,10138000.0,134000.0,10517000.0,16654000.0,25861000.0,202223000.0,-23579000.0,37886409.0,,,,,62870000,,4850000,98140000,15354000.0,134335000,66857000,,,-5020000.0,,45587000,-24313000,223818000,0.0,9791000,-17910000,71329000,,58613000.0,,-18979000,,65000.0,0.0,40972000,,39931818.0,152489000,-20279000,3239000.0,66857000,-4686000,-0.659868,,37741000.0,,28503000,,,,178231000,70328000,1001000.0,,-1558458000,25279000,,67478000.0,-3101000,239964000,-25129000,-11643000,-33334000.0,,,,
2002-12-31,325000,-1183000,-7411000,-7411000,,715000.0,2063000.0,9773000.0,6000.0,,13636000.0,27889000.0,166817000.0,-4653000.0,,,,,,33659000,10517000.0,4466000,66857000,1884000.0,131336000,67182000,,,3324000.0,,41594000,-7411000,211162000,0.0,9664000,-2902000,79512000,,71525000.0,,425000,,101000.0,0.0,35375000,0.0,,131650000,1291000,-74000.0,67182000,1532000,,,30484000.0,,24086000,,,,169568000,65327000,14185000.0,,-1565869000,21413000,,64154000.0,-1719000,197301000,-3175000,6000,-50112000.0,,,,
2003-03-31,-14622000,-840000,-7731000,-7731000,-0.239952,422000.0,2833000.0,4930000.0,14000.0,,16106000.0,24983000.0,167500000.0,-6638000.0,37484162.0,,,,,41210000,10517000.0,3912000,67182000,1886000.0,122754000,52560000,,,-6040000.0,,46130000,-8028000,208258000,0.0,17923000,-1324000,77728000,,67802000.0,,-4332000,,,0.0,36020000,,37484162.0,130530000,-4311000,-7430000.0,52560000,-13954000,-0.239952,,32987000.0,,25730000,,,,162128000,63836000,13892000.0,,-1573796000,17690000,,70194000.0,-484000,200487000,-8223000,14000,-50112000.0,,,,
2003-06-30,16732000,8807000,7689000,7689000,0.2,276000.0,2134000.0,,4663000.0,,23565000.0,23296000.0,199072000.0,1105000.0,37635000.0,,,,,34315000,10517000.0,2787000,52560000,303000.0,132284000,69292000,,,,,48130000,7689000,229006000,0.0,21507000,7703000,86039000,,66218000.0,,-1641000,,-1503000.0,0.0,46863000,,39284000.0,142967000,8966000,-4256000.0,69292000,3221000,0.2,,40494000.0,,31528000,,,,180876000,72293000,13746000.0,,-1566208000,16106000,,62992000.0,-1104000,239566000,6179000,4663000,-50112000.0,,,,
2003-09-30,46010000,11114000,9730000,9730000,0.21,545000.0,3100000.0,,5563000.0,,18809000.0,22972000.0,202793000.0,2488000.0,38044000.0,125000000.0,,,,32536000,13741000.0,2645000,69292000,306000.0,263329000,115302000,,367000.0,,,52653000,8536000,362278000,120962000.0,22309000,8260000,203554000,,66715000.0,,-1724000,,-1040000.0,0.0,38467000,,39812000.0,158724000,10757000,-2512000.0,115302000,-91492000,0.22,,40648000.0,,30163000,,,,309625000,64539000,139015000.0,,-1557672000,16603000,,148027000.0,-2854000,243441000,8112000,126525000,-50112000.0,,,,
2003-12-31,-21570000,952000,2228000,2228000,,1069000.0,3522000.0,,68000.0,,10782000.0,21031000.0,148351000.0,-3097000.0,,124524000.0,,,,30852000,15832000.0,2527000,115302000,306000.0,245468000,93732000,,494000.0,-3744000.0,,54271000,2228000,337784000,-221000.0,21915000,-1188000,188677000,,75542000.0,,-2749000,,-734000.0,0.0,25061000,,,149107000,3491000,-4583000.0,93732000,-10467000,,,31816000.0,,27591000,,,,283513000,49614000,139063000.0,,-1555444000,16524000,,151736000.0,-2140000,180167000,964000,-12371000,-59018000.0,,,,
2004-03-31,82360000,10666000,5103000,5103000,0.11,435000.0,3127000.0,,564000.0,,19052000.0,18118000.0,180757000.0,-120000.0,37588000.0,124996000.0,,,,38695000,15593000.0,2436000,93732000,307000.0,255668000,176092000,,566000.0,,,52670000,4331000,353209000,0.0,21385000,9419000,198169000,72160000.0,74710000.0,,2876000,,-468000.0,0.0,38023000,,38905000.0,155040000,7115000,101000.0,176092000,71021000,0.12,,43374000.0,,36475000,,,,300539000,59268000,138901000.0,,-1551113000,15692000,,79576000.0,-1247000,224131000,4679000,513000,-59018000.0,,,,
2004-06-30,-19786000,10163000,11401000,11401000,0.29,2029000.0,12207000.0,,5353000.0,,23733000.0,22414000.0,205610000.0,-10000.0,38076000.0,223348000.0,,,,42831000,46407000.0,3610000,176092000,315000.0,362666000,156306000,,566000.0,,,78555000,11401000,494612000,-3055000.0,16674000,8908000,322848000,-72014000.0,74492000.0,,-5552000,,-1515000.0,0.0,49380000,,39932000.0,171073000,14558000,-3586000.0,156306000,-132207000,0.3,,53779000.0,,40266000,,,,416057000,84001000,238847000.0,,-1539712000,15474000,,206360000.0,-1255000,259389000,10948000,102349000,-59018000.0,,,,
2004-09-30,-79025000,15461000,10004000,10004000,0.23,632000.0,10910000.0,,99000.0,,24146000.0,25096000.0,184778000.0,65000.0,38684000.0,224572000.0,,25310000.0,,41454000,226769000.0,4276000,156306000,316000.0,221662000,77281000,,1299000.0,,,258854000,9264000,537853000,3390000.0,16186000,13007000,350630000,6646000.0,74917000.0,,146000,,61000.0,0.0,50640000,,40279000.0,182752000,13926000,-157504000.0,77281000,-97960000,0.24,,51104000.0,,38095000,10071000.0,,,278999000,86646000,263984000.0,67000.0,-1530448000,15899000,,144381000.0,-2454000,235882000,9650000,3489000,-59018000.0,,,,
2004-12-31,23989000,5728000,5001000,5001000,,5006000.0,4475000.0,,,138859000.0,18314000.0,23649000.0,145072000.0,147000.0,,224418000.0,9429000.0,25668000.0,,44765000,98908000.0,4067000,77281000,317000.0,224082000,101270000,,1291000.0,,,269536000,5001000,542082000,114000.0,383000,3740000,342939000,,85495000.0,,-4666000,,11941000.0,0.0,40612000,,,199143000,15684000,161086000.0,101270000,15742000,,,49898000.0,,30237000,5307000.0,,,272546000,74377000,268562000.0,-260000.0,-1525447000,15827000,,122812000.0,-1988000,194970000,5133000,888000,-69668000.0,,,,
2005-03-31,-1199000,22693000,4992000,4992000,0.1,1573000.0,11997000.0,,1143000.0,,25915000.0,19620000.0,175685000.0,-292000.0,38863000.0,223576000.0,,22624000.0,,52876000,226735000.0,6169000,101270000,319000.0,242038000,100071000,,1293000.0,-19188000.0,,261571000,4114000,559798000,0.0,17164000,18551000,351760000,,87340000.0,,11038000,-745000.0,3596000.0,0.0,58900000,,39764000.0,203579000,11000000,-288000.0,100071000,-24618000,0.11,,57707000.0,,47410000,4676000.0,,,298227000,90517000,261243000.0,-290000.0,-1521333000,17672000,,141967000.0,-4142000,233392000,4831000,1143000,-69668000.0,,,,
2005-06-30,18199000,13969000,12376000,12376000,0.29,844000.0,15402000.0,,1562000.0,,31811000.0,20607000.0,201323000.0,449000.0,39022000.0,224247000.0,,21857000.0,,53444000,214402000.0,5771000,100071000,320000.0,255868000,118270000,,1239000.0,4593000.0,,249460000,12376000,567255000,0.0,17431000,11908000,353602000,,87295000.0,,-5972000,364000.0,-5390000.0,0.0,57175000,,46516000.0,209177000,17561000,797000.0,118270000,4329000,0.32,,65234000.0,,48397000,12712000.0,,,317795000,93184000,260418000.0,336000.0,-1508957000,17627000,,137598000.0,-2061000,266557000,11790000,1562000,-69668000.0,,,,
2005-09-30,-18181000,12443000,171570000,171570000,3.71,3091000.0,14073000.0,,534000.0,,36200000.0,25096000.0,178795000.0,-1752000.0,39156000.0,223562000.0,,44585000.0,,65110000,361374000.0,8369000,118270000,321000.0,152970000,100089000,,1245000.0,,,544990000,170594000,775831000,18708000.0,17553000,10612000,372799000,,87374000.0,,-9608000,-161176000.0,-9314000.0,0.0,48922000,,46485000.0,379116000,23261000,422000.0,100089000,-50368000,4.36,,80002000.0,,57972000,12672000.0,,,230841000,88091000,284708000.0,-158573000.0,-1338362000,17706000,,52881000.0,-1831000,258797000,14892000,19242000,-69668000.0,,,,
2005-12-31,-19748000,13537000,3790000,3790000,,10889000.0,13292000.0,,22127000.0,,30043000.0,19872000.0,138994000.0,25000.0,,223549000.0,,42375000.0,,58885000,348092000.0,8469000,100089000,323000.0,153086000,80341000,,1298000.0,,,530346000,3790000,754028000,-18708000.0,17430000,10541000,361298000,67242000.0,95347000.0,,-1308000,939000.0,-15217000.0,0.0,37851000,,,369071000,14503000,295000.0,80341000,-23828000,,,64919000.0,,51170000,5917000.0,,,223682000,71015000,290283000.0,2250000.0,-1334572000,18271000,,72745000.0,-2996000,203913000,6034000,-8731000,-77076000.0,,,,
2006-03-31,1566000,20347000,-99000,-99000,-0.02,11173000.0,18599000.0,,1142000.0,201339000.0,33821000.0,20262000.0,169683000.0,1272000.0,39380000.0,223216000.0,,41173000.0,,73325000,146462000.0,8645000,80341000,325000.0,167453000,81907000,,1498000.0,-27235000.0,,529600000,-964000,773432000,0.0,17985000,18272000,377280000,14478000.0,95110000.0,,9299000,-1217000.0,-3475000.0,0.0,49387000,-5616000.0,39380000.0,371949000,7551000,1328000.0,81907000,-14714000,-0.02,,72231000.0,,65379000,-1041000.0,,,243832000,88248000,289032000.0,-741000.0,-1335536000,18034000,,85546000.0,-2075000,241914000,-1094000,-4474000,-77076000.0,,,,
2006-06-30,36864000,25102000,12517000,12517000,0.28,11710000.0,10447000.0,,5509000.0,213846000.0,53025000.0,36881000.0,201847000.0,-1509000.0,39481000.0,223261000.0,,41881000.0,,86767000,149270000.0,9066000,81907000,327000.0,191493000,118771000,,1554000.0,-45095000.0,,541324000,12517000,828177000,-1581000.0,15195000,20889000,394052000,57933000.0,97080000.0,,-2641000,1113000.0,11868000.0,0.0,56402000,-63000.0,46993000.0,408495000,28103000,-283000.0,118771000,6448000,0.32,,105804000.0,,78407000,18982000.0,,,286853000,103730000,290322000.0,5578000.0,-1323019000,20004000,,72722000.0,-4213000,307651000,19037000,3865000,-77076000.0,,,,
2006-09-30,189899000,34835000,48817000,48817000,1.05,12260000.0,7295000.0,,2941000.0,218813000.0,58577000.0,43239000.0,189920000.0,-1974000.0,39596000.0,523718000.0,,42986000.0,,91945000,153114000.0,9340000,118771000,329000.0,341356000,308670000,,1550000.0,-39623000.0,,596904000,47754000,1034534000,-58601000.0,21417000,31495000,696774000,79708000.0,97814000.0,,-4901000,-26002000.0,12236000.0,0.0,53806000,-129946000.0,46385000.0,317050000,40942000,3493000.0,308670000,40238000,1.21,,123547000.0,5388000.0,83281000,33032000.0,,,437630000,104340000,592434000.0,-18113000.0,-1275265000,20738000,,32686000.0,-3340000,313467000,31602000,114394000,-77076000.0,,,,
2006-12-31,114907000,31797000,13232000,13232000,,11885000.0,4768000.0,,4542000.0,226707000.0,48536000.0,46872000.0,160554000.0,-988000.0,,568865000.0,,39714000.0,,86941000,152925000.0,9780000,308670000,331000.0,431560000,423577000,,2457000.0,0.0,,602559000,13232000,1105648000,51409000.0,21844000,28574000,734606000,24726000.0,107122000.0,,3144000,-1699000.0,26347000.0,0.0,49032000,-20045000.0,,348556000,22356000,15346000.0,423577000,36849000,,,99517000.0,6801000.0,78462000,14660000.0,,,503089000,100672000,633934000.0,889000.0,-1262033000,21691000,,7983000.0,-3223000,260071000,12576000,43508000,-85431000.0,,,,
2007-03-31,31411000,18753000,-14716000,-14716000,-0.44,11466000.0,8769000.0,,7589000.0,228354000.0,52134000.0,96533000.0,181672000.0,-307000.0,37191000.0,,,39160000.0,,151452000,148261000.0,9268000,423577000,342000.0,454988000,454988000,568980000.0,2470000.0,,,609986000,-16271000,1165739000,169000.0,21024000,16536000,782814000,7996000.0,106831000.0,,31594000,-12451000.0,29541000.0,0.0,57906000,-1425000.0,37191000.0,359707000,-22467000,-160000.0,454988000,5619000,-0.44,,119717000.0,4965000.0,142947000,-26216000.0,,,555753000,732188000,50626000.0,-11593000.0,-1278304000,21400000,,,-2217000,301389000,-31735000,6333000,-85431000.0,,,,
2007-06-30,-28467000,8895000,34572000,34572000,0.79,11957000.0,10698000.0,,2059000.0,236612000.0,76831000.0,50094000.0,198669000.0,-1666000.0,37597000.0,,,40327000.0,,109637000,152241000.0,9805000,454988000,343000.0,448931000,426521000,569161000.0,2484000.0,,,615292000,34572000,1167664000,-14729000.0,20216000,5605000,741236000,-13000.0,107568000.0,,-45196000,5240000.0,35035000.0,0.0,58999000,-205000.0,43667000.0,405202000,57379000,-65000.0,426521000,-25765000,0.92,,157211000.0,3139000.0,100640000,50870000.0,,,552372000,688952000,52284000.0,14964000.0,-1243732000,22137000,,22410000.0,-3290000,355880000,47574000,-12875000,-85431000.0,,,,
2007-09-30,-3013000,61686000,104365000,104365000,2.27,12508000.0,7670000.0,,6548000.0,270807000.0,103558000.0,124576000.0,214956000.0,-3832000.0,37803000.0,,,47153000.0,,124247000,182438000.0,9916000,426521000,345000.0,496556000,423508000,569453000.0,2607000.0,-95858000.0,,740887000,104365000,1370709000,-328000.0,39820000,56182000,820719000,27219000.0,110487000.0,,-17232000,-42672000.0,49628000.0,0.0,59359000,-593000.0,45924000.0,534863000,88000000,-3000.0,423508000,-74146000,2.76,,202331000.0,4793000.0,115116000,80224000.0,,,629822000,761058000,59661000.0,-26657000.0,-1139368000,25056000,,73048000.0,-5504000,417287000,78084000,5627000,-85431000.0,,,,
2007-12-31,-38149000,66681000,32862000,32862000,,13368000.0,17750000.0,,3624000.0,287159000.0,70712000.0,59589000.0,174700000.0,-2469000.0,,,,46502000.0,,116141000,182748000.0,11712000,423508000,346000.0,507858000,385359000,569796000.0,2852000.0,-55649000.0,,737856000,32862000,1350856000,17151000.0,22342000,61743000,754713000,22652000.0,86521000.0,,10890000,1920000.0,50344000.0,0.0,47708000,-415000.0,,579107000,55724000,-74692000.0,385359000,-127207000,,,160153000.0,8242000.0,91923000,45145000.0,,,613000000,694843000,59870000.0,11228000.0,-1106506000,27088000,,122499000.0,-4938000,334853000,44012000,20360000,-59433000.0,,,,
2008-03-31,122876000,43382000,18154000,18154000,0.37,14172000.0,23948000.0,,1366000.0,295332000.0,97261000.0,55946000.0,222077000.0,-5594000.0,38224000.0,,,46573000.0,,149338000,182841000.0,11396000,385359000,347000.0,549661000,508235000,570077000.0,2671000.0,,,744593000,18154000,1428191000,550000.0,26751000,23850000,779650000,94131000.0,86318000.0,,-1086000,2527000.0,73578000.0,0.0,68934000,-3273000.0,49134000.0,628985000,43161000,-1536000.0,508235000,72600000,0.47,,181103000.0,11881000.0,138985000,28182000.0,,,683598000,718905000,60745000.0,9518000.0,-1088352000,26885000,,41426000.0,-19532000,403180000,31765000,-1357000,-59433000.0,,,,
2008-06-30,-37167000,89902000,54096000,54096000,1.08,16061000.0,31505000.0,,2342000.0,311200000.0,132523000.0,82504000.0,260251000.0,-1201000.0,38768000.0,,,49623000.0,,172771000,192555000.0,11953000,508235000,355000.0,551221000,471068000,520076000.0,2351000.0,,,768361000,54096000,1491546000,527000.0,33675000,102407000,778125000,41072000.0,86967000.0,,3201000,7734000.0,75100000.0,0.0,78356000,-132000.0,49948000.0,696416000,92907000,-30473000.0,471068000,-79819000,1.4,,253725000.0,11687000.0,161707000,81538000.0,,,723185000,712441000,65684000.0,26211000.0,-1034256000,27534000,,80153000.0,12505000,513976000,80954000,-47113000,-59433000.0,,,,
