date,quarterlyDilutedEPS,quarterlyNetIncome,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncomeContinuousOperations,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyBeginningCashPosition,quarterlyBasicAverageShares,quarterlyCapitalStock,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyNetIncomeCommonStockholders,quarterlyOtherCurrentAssets,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfInvestment,quarterlyDeferredIncomeTax,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2011-09-30,0.28,102000000,-1000000,326000000.0,-71000000,269000000,-124000000,103000000,14498000000.0,12798000000.0,,198000000,204000000.0,404000000.0,404000000.0,533000000.0,114000000,-1620000000.0,125000000,-18000000,149000000,374000000,359381233.0,30000000.0,1700000000.0,1688000000.0,44000000,388000000,557000000.0,8000000,0.0,3000000.0,8000000.0,30000000,859000000,,-258000000.0,939000000.0,,9944000000.0,24000000,1413000000,,274000000,120000000.0,102000000,0.0,0.28,,4581000000.0,8256000000.0,585000000,425000000.0,460000000,4543000000.0,-114000000,7143000000.0,-3000000.0,-92000000,-13000000,404000000,916000000.0,6807000000.0,364471804.0,554000000,,1052000000.0,,,,,,,,,,
2011-12-31,,95000000,-4000000,316000000.0,-154000000,302000000,-223000000,93000000,14504000000.0,12839000000.0,-681000000.0,148000000,144000000.0,319000000.0,319000000.0,556000000.0,109000000,-1525000000.0,133000000,-9000000,162000000,404000000,,30000000.0,1665000000.0,1692000000.0,73000000,404000000,609000000.0,9000000,291000000.0,5000000.0,9000000.0,-85000000,857000000,,-299000000.0,180000000.0,,9863000000.0,208000000,1421000000,1290000000.0,289000000,80000000.0,95000000,0.0,,,4561000000.0,8171000000.0,568000000,443000000.0,435000000,4633000000.0,-224000000,7155000000.0,1000000.0,-160000000,-19000000,319000000,996000000.0,6619000000.0,,564000000,,1080000000.0,218000000.0,,,,,,,,,
2012-03-31,0.068358,25000000,-4000000,322000000.0,-82000000,-3000000,70000000,25000000,14537000000.0,12888000000.0,,-85000000,293000000.0,295000000.0,295000000.0,548000000.0,106000000,-1500000000.0,131000000,-16000000,34000000,319000000,360881693.0,30000000.0,1649000000.0,1682000000.0,7000000,271000000,611000000.0,8000000,0.0,10000000.0,8000000.0,-24000000,775000000,,-211000000.0,898000000.0,,9765000000.0,-187000000,1340000000,,191000000,67000000.0,25000000,0.0,0.07,51000000.0,4544000000.0,8083000000.0,584000000,424000000.0,453000000,4764000000.0,-1271000000,7232000000.0,0.0,-98000000,-52000000,295000000,972000000.0,6563000000.0,365721058.0,565000000,,1057000000.0,,,,,,,,,,
2012-06-30,0.28,104000000,-5000000,322000000.0,-70000000,116000000,7000000,103000000,14405000000.0,12761000000.0,,46000000,324000000.0,283000000.0,283000000.0,528000000.0,107000000,-1396000000.0,127000000,-58000000,137000000,295000000,361528675.0,30000000.0,1644000000.0,1631000000.0,38000000,371000000,572000000.0,6000000,0.0,3000000.0,6000000.0,-12000000,821000000,,-301000000.0,850000000.0,,9620000000.0,-112000000,1385000000,,253000000,52000000.0,104000000,0.0,0.28,-64000000.0,4551000000.0,7989000000.0,568000000,405000000.0,441000000,4781000000.0,-88000000,7188000000.0,0.0,-128000000,-10000000,283000000,942000000.0,6519000000.0,365875719.0,564000000,,1089000000.0,,,,,,,,,,
2012-09-30,0.29,105000000,-2000000,312000000.0,-73000000,331000000,-157000000,106000000,14496000000.0,12813000000.0,,258000000,428000000.0,325000000.0,325000000.0,521000000.0,106000000,-1291000000.0,130000000,-63000000,176000000,283000000,362016373.0,30000000.0,1683000000.0,1806000000.0,69000000,412000000,555000000.0,10000000,0.0,-13000000.0,10000000.0,42000000,858000000,,-236000000.0,914000000.0,,9515000000.0,82000000,1423000000,,284000000,94000000.0,105000000,0.0,0.29,26000000.0,4556000000.0,7709000000.0,574000000,370000000.0,444000000,4976000000.0,-22000000,7276000000.0,0.0,-136000000,-3000000,325000000,936000000.0,6252000000.0,366221520.0,565000000,,1079000000.0,,,,,,,,,,
2012-12-31,,39000000,-87000000,272000000.0,-133000000,340000000,-218000000,39000000,14585000000.0,12909000000.0,-747000000.0,207000000,355000000.0,288000000.0,288000000.0,621000000.0,94000000,-1252000000.0,132000000,-27000000,61000000,325000000,,30000000.0,1676000000.0,1751000000.0,26000000,287000000,560000000.0,10000000,768000000.0,0.0,10000000.0,-37000000,880000000,,-333000000.0,150000000.0,,9607000000.0,-16000000,1464000000,1307000000.0,308000000,56000000.0,39000000,0.0,,-26000000.0,4555000000.0,7856000000.0,572000000,373000000.0,440000000,4930000000.0,-849000000,7352000000.0,0.0,-160000000,-154000000,288000000,1006000000.0,6229000000.0,,584000000,,1110000000.0,49000000.0,,,,,,,,,
2013-03-31,0.09,35000000,-5000000,259000000.0,-70000000,54000000,-12000000,37000000,14416000000.0,12807000000.0,,-16000000,372000000.0,233000000.0,233000000.0,585000000.0,83000000,-1217000000.0,128000000,-11000000,65000000,288000000,370583217.0,31000000.0,1609000000.0,1639000000.0,27000000,276000000,537000000.0,10000000,0.0,,34000000.0,-55000000,783000000,-165000000.0,-353000000.0,848000000.0,,9168000000.0,-149000000,1376000000,537000000.0,206000000,74000000.0,35000000,0.0,0.09,27000000.0,4519000000.0,7529000000.0,577000000,345000000.0,451000000,5199000000.0,-1889000000,7322000000.0,-1000000.0,-82000000,-59000000,233000000,996000000.0,5948000000.0,375557021.0,593000000,-56000000.0,1076000000.0,,,,,,,,,,
2013-06-30,1.12,426000000,-5000000,276000000.0,-100000000,206000000,-102000000,119000000,14540000000.0,11999000000.0,,106000000,335000000.0,1157000000.0,1157000000.0,555000000.0,73000000,-791000000.0,130000000,-8000000,161000000,233000000,376580064.0,31000000.0,2541000000.0,1534000000.0,46000000,364000000,535000000.0,11000000,0.0,,11000000.0,924000000,806000000,45000000.0,-432000000.0,829000000.0,,8960000000.0,-60000000,1386000000,535000000.0,246000000,89000000.0,426000000,0.0,1.14,-92000000.0,4330000000.0,7426000000.0,560000000,281000000.0,434000000,5533000000.0,-22000000,6691000000.0,1000000.0,827000000,-12000000,1157000000,951000000.0,5920000000.0,381559390.0,580000000,-59000000.0,1104000000.0,,,,,,,,,,
2013-09-30,0.35,134000000,-14000000,242000000.0,-85000000,321000000,524000000,131000000,15715000000.0,13504000000.0,,236000000,361000000.0,737000000.0,737000000.0,572000000.0,78000000,-657000000.0,117000000,-249000000,171000000,1157000000,377590584.0,32000000.0,2211000000.0,1774000000.0,40000000,366000000,555000000.0,11000000,0.0,,11000000.0,-420000000,814000000,-8000000.0,-379000000.0,990000000.0,,10003000000.0,65000000,1387000000,555000000.0,263000000,99000000.0,134000000,0.0,0.35,42000000.0,4855000000.0,8229000000.0,551000000,324000000.0,434000000,5666000000.0,-22000000,7686000000.0,0.0,-1268000000,-15000000,737000000,1136000000.0,6521000000.0,382302017.0,573000000,-74000000.0,1138000000.0,,,,,,,,,,
2013-12-31,,145000000,-11000000,256000000.0,-119000000,320000000,-327000000,159000000,15530000000.0,13396000000.0,-716000000.0,201000000,148000000.0,564000000.0,564000000.0,832000000.0,80000000,-512000000.0,146000000,-981000000,147000000,737000000,,32000000.0,2134000000.0,1535000000.0,-13000000,373000000,560000000.0,15000000,839000000.0,,15000000.0,-173000000,945000000,73000000.0,-387000000.0,143000000.0,,9723000000.0,96000000,1611000000,1276000000.0,294000000,55000000.0,145000000,0.0,,-61000000.0,4781000000.0,8188000000.0,651000000,306000000.0,505000000,5729000000.0,-238000000,7684000000.0,1000000.0,-164000000,-67000000,564000000,864000000.0,6492000000.0,,666000000,-76000000.0,1196000000.0,44000000.0,,,,,,,,,
2014-03-31,0.15,58000000,-2000000,265000000.0,-77000000,90000000,-75000000,55000000,15473000000.0,13540000000.0,,13000000,185000000.0,301000000.0,301000000.0,813000000.0,77000000,-454000000.0,141000000,-184000000,87000000,564000000,379012826.0,32000000.0,1933000000.0,1531000000.0,33000000,305000000,530000000.0,12000000,0.0,,12000000.0,-263000000,847000000,-167000000.0,-390000000.0,918000000.0,-16000000.0,9676000000.0,-147000000,1489000000,530000000.0,217000000,83000000.0,58000000,0.0,0.15,21000000.0,4817000000.0,8145000000.0,630000000,345000000.0,489000000,5716000000.0,-24000000,7812000000.0,0.0,-261000000,-54000000,301000000,871000000.0,6461000000.0,384739599.0,642000000,-74000000.0,1186000000.0,,,,,,,,,,
2014-06-30,0.19,74000000,-39000000,314000000.0,-94000000,210000000,-99000000,76000000,15556000000.0,13569000000.0,,116000000,136000000.0,310000000.0,310000000.0,794000000.0,78000000,-380000000.0,145000000,-8000000,149000000,301000000,379755766.0,32000000.0,1987000000.0,1503000000.0,74000000,372000000,530000000.0,12000000,0.0,,12000000.0,9000000,917000000,0.0,-349000000.0,883000000.0,-32000000.0,9712000000.0,-73000000,1594000000,530000000.0,290000000,145000000.0,74000000,0.0,0.19,-68000000.0,4765000000.0,8209000000.0,627000000,339000000.0,482000000,5762000000.0,-3724000000,7841000000.0,0.0,-102000000,-64000000,310000000,859000000.0,6556000000.0,385356813.0,677000000,-93000000.0,1266000000.0,,,,,,,,,,
2014-09-30,0.24,91000000,-50000000,327000000.0,-103000000,392000000,-202000000,92000000,15361000000.0,13379000000.0,,289000000,112000000.0,369000000.0,369000000.0,772000000.0,74000000,-289000000.0,139000000,-11000000,187000000,310000000,380884561.0,32000000.0,1982000000.0,1542000000.0,95000000,400000000,525000000.0,12000000,0.0,,12000000.0,59000000,924000000,8000000.0,-509000000.0,917000000.0,-27000000.0,9661000000.0,96000000,1572000000,525000000.0,317000000,201000000.0,91000000,0.0,0.24,38000000.0,4716000000.0,8119000000.0,607000000,312000000.0,468000000,5615000000.0,-825000000,7715000000.0,0.0,-114000000,-57000000,369000000,839000000.0,6508000000.0,385891391.0,648000000,-94000000.0,1189000000.0,,,,,,,,,,
2014-12-31,,161000000,-1000000,355000000.0,-138000000,401000000,-209000000,158000000,15376000000.0,13357000000.0,-846000000.0,263000000,397000000.0,273000000.0,273000000.0,955000000.0,71000000,-128000000.0,148000000,-117000000,198000000,369000000,,32000000.0,2019000000.0,1798000000.0,34000000,417000000,533000000.0,11000000,771000000.0,,11000000.0,-96000000,980000000,155000000.0,-777000000.0,223000000.0,-391000000.0,10243000000.0,-68000000,1633000000,1379000000.0,354000000,62000000.0,161000000,0.0,,-84000000.0,4715000000.0,8445000000.0,626000000,304000000.0,478000000,5056000000.0,-25000000,7671000000.0,0.0,-255000000,-85000000,273000000,1025000000.0,6465000000.0,,653000000,-95000000.0,1241000000.0,41000000.0,,,,,,,,,
2015-03-31,0.17,63000000,23000000,367000000.0,-102000000,75000000,314000000,63000000,15388000000.0,13323000000.0,,-27000000,188000000.0,343000000.0,343000000.0,922000000.0,73000000,-65000000.0,142000000,-191000000,101000000,273000000,371169651.0,32000000.0,2065000000.0,1438000000.0,38000000,316000000,512000000.0,14000000,0.0,,-12000000.0,70000000,836000000,-200000000.0,-940000000.0,858000000.0,-141000000.0,10545000000.0,-144000000,1458000000,512000000.0,213000000,72000000.0,63000000,0.0,0.17,47000000.0,4737000000.0,9107000000.0,623000000,320000000.0,481000000,4768000000.0,-230000000,7640000000.0,2000000.0,-291000000,-40000000,343000000,1026000000.0,7159000000.0,375361957.0,622000000,-90000000.0,1168000000.0,,,,,,,,,,
2015-06-30,0.31,114000000,-7000000,381000000.0,-97000000,251000000,-159000000,116000000,15465000000.0,13351000000.0,,154000000,331000000.0,331000000.0,331000000.0,921000000.0,79000000,49000000.0,146000000,-6000000,202000000,343000000,368364597.0,32000000.0,2114000000.0,1633000000.0,86000000,427000000,508000000.0,13000000,0.0,,11000000.0,-12000000,911000000,13000000.0,-898000000.0,831000000.0,-179000000.0,10713000000.0,-31000000,1559000000,508000000.0,300000000,139000000.0,114000000,0.0,0.31,-43000000.0,4702000000.0,9080000000.0,611000000,332000000.0,465000000,4677000000.0,109000000,7690000000.0,1000000.0,-102000000,-20000000,331000000,1017000000.0,7142000000.0,372581033.0,648000000,-102000000.0,1227000000.0,,,,,,,,,,
2015-09-30,0.38,142000000,-2000000,369000000.0,-107000000,452000000,-299000000,142000000,15277000000.0,13171000000.0,,345000000,339000000.0,358000000.0,358000000.0,917000000.0,79000000,191000000.0,144000000,-1000000,225000000,331000000,365498696.0,32000000.0,2106000000.0,1755000000.0,82000000,448000000,486000000.0,12000000,0.0,,10000000.0,27000000,916000000,47000000.0,-1046000000.0,918000000.0,-173000000.0,10779000000.0,160000000,1531000000,486000000.0,313000000,199000000.0,142000000,0.0,0.39,28000000.0,4655000000.0,9024000000.0,603000000,299000000.0,459000000,4426000000.0,-23000000,7588000000.0,-3000000.0,-111000000,-10000000,358000000,993000000.0,7114000000.0,369497939.0,615000000,-115000000.0,1163000000.0,,,,,,,,,,
2015-12-31,,251000000,-5000000,272000000.0,-102000000,401000000,-318000000,254000000,15303000000.0,13395000000.0,-780000000.0,299000000,310000000.0,357000000.0,357000000.0,887000000.0,80000000,341000000.0,142000000,-48000000,433000000,358000000,,32000000.0,1908000000.0,1687000000.0,177000000,655000000,490000000.0,9000000,749000000.0,,9000000.0,-1000000,970000000,176000000.0,-1059000000.0,216000000.0,-174000000.0,10676000000.0,-23000000,1624000000,1270000000.0,318000000,42000000.0,251000000,0.0,,-67000000.0,4772000000.0,8989000000.0,652000000,322000000.0,510000000,4433000000.0,-70000000,7783000000.0,36000000.0,-77000000,194000000,357000000,1074000000.0,7028000000.0,,654000000,-101000000.0,1235000000.0,48000000.0,,,,,,,,,
2016-03-31,0.27,100000000,-11000000,273000000.0,-109000000,87000000,130000000,101000000,15588000000.0,13534000000.0,,-22000000,189000000.0,432000000.0,432000000.0,877000000.0,79000000,387000000.0,147000000,-47000000,145000000,357000000,361580670.0,32000000.0,2054000000.0,1504000000.0,44000000,371000000,482000000.0,13000000,0.0,,13000000.0,75000000,846000000,-191000000.0,-969000000.0,915000000.0,-83000000.0,10876000000.0,-175000000,1487000000,482000000.0,234000000,84000000.0,100000000,0.0,0.28,3000000.0,4799000000.0,9372000000.0,612000000,316000000.0,465000000,4516000000.0,-189000000,7887000000.0,0.0,-156000000,-11000000,432000000,1024000000.0,7471000000.0,365201139.0,641000000,-101000000.0,1239000000.0,,,,,,,,,,
2016-06-30,0.31,113000000,-12000000,274000000.0,-112000000,210000000,21000000,114000000,15718000000.0,13683000000.0,,98000000,1075000000.0,346000000.0,346000000.0,864000000.0,83000000,389000000.0,152000000,-205000000,196000000,432000000,359264465.0,32000000.0,2035000000.0,2415000000.0,82000000,431000000,478000000.0,13000000,0.0,,13000000.0,-86000000,942000000,-9000000.0,-1011000000.0,868000000.0,-221000000.0,11250000000.0,-76000000,1596000000,478000000.0,316000000,148000000.0,113000000,0.0,0.31,-66000000.0,4863000000.0,8835000000.0,626000000,324000000.0,474000000,4275000000.0,133000000,7971000000.0,1000000.0,-316000000,-38000000,346000000,1038000000.0,6933000000.0,363216877.0,654000000,-111000000.0,1313000000.0,,,,,,,,,,
2016-09-30,0.36,130000000,-10000000,271000000.0,-103000000,456000000,-241000000,132000000,15700000000.0,13649000000.0,,353000000,578000000.0,446000000.0,446000000.0,853000000.0,85000000,408000000.0,151000000,-11000000,214000000,346000000,357088498.0,32000000.0,2051000000.0,2011000000.0,82000000,450000000,485000000.0,11000000,0.0,,11000000.0,100000000,928000000,-19000000.0,-1021000000.0,925000000.0,-90000000.0,11265000000.0,164000000,1570000000,485000000.0,325000000,207000000.0,130000000,0.0,0.36,71000000.0,4834000000.0,9254000000.0,603000000,301000000.0,452000000,4246000000.0,-45000000,7963000000.0,-5000000.0,-119000000,-27000000,446000000,1022000000.0,7379000000.0,360574807.0,642000000,-111000000.0,1240000000.0,,,,,,,,,,
2016-12-31,,159000000,19000000,329000000.0,-109000000,543000000,-158000000,160000000,15730000000.0,13508000000.0,-825000000.0,434000000,188000000.0,754000000.0,754000000.0,930000000.0,86000000,456000000.0,153000000,12000000,261000000,446000000,,32000000.0,2222000000.0,1594000000.0,101000000,500000000,471000000.0,14000000,723000000.0,,14000000.0,308000000,986000000,156000000.0,-1211000000.0,238000000.0,-24000000.0,11437000000.0,151000000,1656000000,1296000000.0,373000000,97000000.0,159000000,0.0,,45000000.0,4736000000.0,9843000000.0,613000000,297000000.0,460000000,4102000000.0,-1868000000,7845000000.0,4000000.0,-51000000,-27000000,754000000,1175000000.0,7738000000.0,,670000000,-111000000.0,1171000000.0,51000000.0,,,,,,,,,
2017-03-31,0.2,71000000,-3000000,336000000.0,-114000000,40000000,329000000,73000000,16332000000.0,14231000000.0,,-74000000,236000000.0,451000000.0,451000000.0,928000000.0,90000000,416000000.0,155000000,-572000000,116000000,754000000,357399749.0,32000000.0,2101000000.0,1635000000.0,43000000,361000000,464000000.0,15000000,0.0,2000000.0,15000000.0,-303000000,865000000,-133000000.0,-1134000000.0,933000000.0,-42000000.0,12015000000.0,-205000000,1526000000,464000000.0,239000000,102000000.0,71000000,0.0,0.2,-53000000.0,5086000000.0,10380000000.0,626000000,364000000.0,471000000,4123000000.0,-23000000,8212000000.0,0.0,-686000000,-34000000,451000000,1272000000.0,8180000000.0,359054968.0,661000000,-111000000.0,1287000000.0,,,,,,,,,,
