date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyBasicEPS,quarterlyTotalNonCurrentAssets,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses,quarterlyOperatingExpense,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetPPE,quarterlyOperatingCashFlow,quarterlyDilutedEPS,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyOtherCurrentLiabilities,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyCashDividendsPaid,quarterlyChangeInInventory
2014-03-31,3111000000.0,682000000.0,,304000000.0,,2182000000.0,1660000000.0,74000000.0,-328000000.0,-0.76,8581000000.0,36500000.0,10241000000.0,69000000.0,-28000000,20000000.0,88000000.0,2348000000.0,281000000.0,-11000000.0,37000000.0,5293000000.0,-10000000,-28000000,132000000,-42000000,1680000000.0,1357000000.0,,95000000.0,249000000,0.0,-183000000.0,802000000.0,155000000.0,0.0,,658000000.0,527000000.0,-32000000,2000000.0,,-15000000.0,,21000000.0,1484000000.0,802000000.0,165000000.0,6144000000.0,,55000000.0,227000000.0,74000000.0,22000000,-47000000.0,947000000.0,-24000000.0,,281000000,,69000000.0,351000000.0,-0.76,32000000,,-22000000,144000000.0,6000000.0,60000000.0,17000000.0,0.0,59000000,,,,,
2014-06-30,3151000000.0,646000000.0,,171000000.0,,2414000000.0,1995000000.0,111000000.0,-139000000.0,-0.38,8540000000.0,73000000.0,10535000000.0,71000000.0,-28000000,33000000.0,70000000.0,2144000000.0,323000000.0,1000000.0,74000000.0,5565000000.0,-8000000,-28000000,167000000,-46000000,1615000000.0,1425000000.0,,123000000.0,289000000,0.0,176000000.0,1141000000.0,188000000.0,0.0,,802000000.0,504000000.0,-33000000,13000000.0,,-10000000.0,,20000000.0,1787000000.0,1141000000.0,449000000.0,6270000000.0,,38000000.0,48000000.0,135000000.0,21000000,5000000.0,1009000000.0,-6000000.0,,323000000,,93000000.0,166000000.0,-0.38,34000000,,-25000000,339000000.0,15000000.0,63000000.0,19000000.0,0.0,59000000,,,,,
2014-09-30,1920000000.0,651000000.0,,111000000.0,,2064000000.0,1527000000.0,0.0,55000000.0,0.51,2056000000.0,73000000.0,3583000000.0,-140000000.0,37000000,0.0,-163000000.0,2056000000.0,0.0,-14000000.0,74000000.0,3984000000.0,34000000,37000000,8000000,47000000,787000000.0,1133000000.0,,19000000.0,8000000,0.0,-228000000.0,873000000.0,3000000.0,0.0,,1141000000.0,-401000000.0,20000000,1000000.0,,15000000.0,,0.0,1524000000.0,873000000.0,-299000000.0,0.0,,-99000000.0,134000000.0,,19000000,,927000000.0,-4000000.0,,0,,0.0,69000000.0,0.5,-8000000,,-14000000,83000000.0,-1000000.0,0.0,-33000000.0,,39000000,,,,,
2014-12-31,2081000000.0,868000000.0,,128000000.0,,2348000000.0,2964000000.0,11000000.0,-466000000.0,,2864000000.0,,5828000000.0,19000000.0,36000000,5000000.0,65000000.0,2478000000.0,165000000.0,1034000000.0,,4429000000.0,37000000,36000000,110000000,91000000,816000000.0,1254000000.0,,55000000.0,166000000,167000000.0,-136000000.0,1884000000.0,36000000.0,306000000.0,,873000000.0,1393000000.0,72000000,-2000000.0,,-176000000.0,,9000000.0,2752000000.0,1884000000.0,224000000.0,314000000.0,,62000000.0,98000000.0,106000000.0,18000000,,937000000.0,1004000000.0,,471000000,,67000000.0,143000000.0,,-1000000,,35000000,1011000000.0,-74000000.0,74000000.0,20000000.0,,90000000,,,,,
2015-03-31,2056000000.0,851000000.0,,-20000000.0,,2286000000.0,2866000000.0,12000000.0,-277000000.0,-0.06,2860000000.0,141000000.0,5726000000.0,16000000.0,-8000000,6000000.0,-42000000.0,2458000000.0,82000000.0,2000000.0,143000000.0,4342000000.0,-8000000,-8000000,45000000,-8000000,803000000.0,1241000000.0,,48000000.0,83000000,153000000.0,-63000000.0,1820000000.0,31000000.0,194000000.0,,1884000000.0,1378000000.0,-29000000,0.0,-20000000.0,-176000000.0,,11000000.0,2671000000.0,1820000000.0,247000000.0,329000000.0,,-22000000.0,31000000.0,85000000.0,20000000,-13000000.0,931000000.0,6000000.0,,276000000,,67000000.0,-7000000.0,-0.06,-1000000,,-21000000,-64000000.0,1000000.0,73000000.0,1000000.0,,7000000,,,,,
2015-06-30,2182000000.0,837000000.0,,23000000.0,,2311000000.0,3061000000.0,12000000.0,-365000000.0,0.92,2934000000.0,141000000.0,5995000000.0,12000000.0,130000000,5000000.0,4000000.0,2726000000.0,79000000.0,-19000000.0,143000000.0,4493000000.0,138000000,130000000,58000000,215000000,790000000.0,1380000000.0,,45000000.0,94000000,65000000.0,232000000.0,2092000000.0,59000000.0,175000000.0,,1820000000.0,1509000000.0,180000000,271000000.0,0.0,-164000000.0,,8000000.0,2929000000.0,2092000000.0,337000000.0,165000000.0,,-12000000.0,85000000.0,34000000.0,20000000,-11000000.0,907000000.0,6000000.0,,254000000,,38000000.0,34000000.0,0.91,-15000000,,42000000,272000000.0,6000000.0,82000000.0,9000000.0,,212000000,,,,,
2015-09-30,2094000000.0,893000000.0,,-23000000.0,,2268000000.0,3058000000.0,13000000.0,-520000000.0,0.26,2845000000.0,141000000.0,5903000000.0,9000000.0,36000000,6000000.0,-13000000.0,2637000000.0,54000000.0,4000000.0,143000000.0,4362000000.0,36000000,36000000,46000000,68000000,802000000.0,1279000000.0,,37000000.0,71000000,66000000.0,-42000000.0,2034000000.0,57000000.0,92000000.0,,2092000000.0,1549000000.0,33000000,0.0,0.0,-122000000.0,,8000000.0,2927000000.0,2034000000.0,436000000.0,165000000.0,,-13000000.0,40000000.0,30000000.0,18000000,-8000000.0,885000000.0,-1000000.0,,146000000,,37000000.0,-15000000.0,0.25,-17000000,,-3000000,-58000000.0,-8000000.0,90000000.0,20000000.0,,60000000,,,,,
2015-12-31,3460000000.0,898000000.0,,45000000.0,,997000000.0,3048000000.0,13000000.0,-167000000.0,,2991000000.0,,6039000000.0,9000000.0,71000000,6000000.0,4000000.0,2782000000.0,59000000.0,-33000000.0,,4457000000.0,71000000,71000000,54000000,131000000,2143000000.0,1304000000.0,,39000000.0,80000000,55000000.0,-29000000.0,2023000000.0,64000000.0,85000000.0,,2034000000.0,1592000000.0,91000000,0.0,0.0,-105000000.0,,8000000.0,2921000000.0,2023000000.0,146000000.0,167000000.0,,8000000.0,118000000.0,26000000.0,19000000,-8000000.0,868000000.0,-35000000.0,,144000000,,36000000.0,53000000.0,,-21000000,,20000000,-11000000.0,-112000000.0,109000000.0,21000000.0,,119000000,,,,,
2016-03-31,2190000000.0,601000000.0,,47000000.0,,2385000000.0,3018000000.0,12000000.0,-138000000.0,-0.19,3115000000.0,142000000.0,6133000000.0,8000000.0,-27000000,5000000.0,-3000000.0,2906000000.0,52000000.0,0.0,143000000.0,4575000000.0,-27000000,-27000000,44000000,-19000000,2164000000.0,14000000.0,,47000000.0,69000000,52000000.0,277000000.0,2303000000.0,54000000.0,91000000.0,,2023000000.0,1568000000.0,-53000000,1000000.0,0.0,-160000000.0,,8000000.0,2904000000.0,2303000000.0,413000000.0,167000000.0,,10000000.0,78000000.0,25000000.0,17000000,-8000000.0,2247000000.0,-52000000.0,,143000000,,37000000.0,55000000.0,-0.19,-17000000,,-26000000,280000000.0,-25000000.0,111000000.0,3000000.0,,-28000000,,,,,
2016-06-30,2944000000.0,,,-35000000.0,,1304000000.0,227000000.0,15000000.0,-168000000.0,1.75,5837000000.0,142000000.0,6064000000.0,7000000.0,249000000,7000000.0,-14000000.0,5627000000.0,56000000.0,4000000.0,143000000.0,4248000000.0,249000000,249000000,33000000,410000000,2531000000.0,398000000.0,,48000000.0,60000000,45000000.0,-1706000000.0,116000000.0,52000000.0,83000000.0,,2303000000.0,1826000000.0,385000000,0.0,0.0,-936000000.0,,14000000.0,116000000.0,116000000.0,749000000.0,167000000.0,,-4000000.0,416000000.0,19000000.0,21000000,-7000000.0,1431000000.0,-453000000.0,,139000000,,36000000.0,-28000000.0,1.74,-4000000,,136000000,-2187000000.0,-60000000.0,27000000.0,-76000000.0,,413000000,,,,,
2016-09-30,3551000000.0,,,111000000.0,,815000000.0,242000000.0,2000000.0,-25000000.0,2.87,6348000000.0,142000000.0,6590000000.0,6000000.0,408000000,3000000.0,-10000000.0,6185000000.0,38000000.0,-27000000.0,144000000.0,4366000000.0,408000000,408000000,29000000,608000000,2733000000.0,816000000.0,,37000000.0,48000000,41000000.0,188000000.0,157000000.0,39000000.0,71000000.0,,116000000.0,2233000000.0,579000000,-4000000.0,0.0,-1193000000.0,,5000000.0,157000000.0,157000000.0,0.0,134000000.0,,4000000.0,318000000.0,8000000.0,19000000,-4000000.0,887000000.0,-262000000.0,,109000000,,26000000.0,115000000.0,2.83,-10000000,,171000000,41000000.0,20000000.0,10000000.0,-1000000.0,,604000000,,,,,
2016-12-31,3322000000.0,,,37000000.0,,774000000.0,527000000.0,-3000000.0,-19000000.0,,5471000000.0,,5998000000.0,3000000.0,131000000,2000000.0,-22000000.0,5436000000.0,16000000.0,352000000.0,,4096000000.0,112000000,131000000,21000000,162000000,2520000000.0,805000000.0,,22000000.0,28000000,,-13000000.0,487000000.0,38000000.0,21000000.0,,157000000.0,1912000000.0,133000000,11000000.0,0.0,-31000000.0,,2000000.0,487000000.0,487000000.0,0.0,33000000.0,,-15000000.0,161000000.0,1000000.0,17000000,-8000000.0,862000000.0,298000000.0,,37000000,,,45000000.0,,-12000000,,21000000,330000000.0,-17000000.0,2000000.0,4000000.0,,153000000,,,,,
2017-03-31,3641000000.0,,7399000000.0,-20000000.0,6075000000.0,754000000.0,480000000.0,-3000000.0,-21000000.0,4.868396,6238000000.0,85449097.0,6718000000.0,1000000.0,416000000,0.0,-8000000.0,6203000000.0,4000000.0,1000000.0,85449097.0,4395000000.0,416000000,416000000,13000000,664000000,2800000000.0,844000000.0,,22000000.0,17000000,1050000000.0,-22000000.0,442000000.0,36000000.0,0.0,6000000.0,487000000.0,2332000000.0,636000000,0.0,,-5000000.0,-1087000000.0,2000000.0,442000000.0,442000000.0,,34000000.0,,2000000.0,280000000.0,727000000.0,15000000,-1000000.0,902000000.0,-4000000.0,,4000000,-243000000.0,1000000.0,-19000000.0,4.868396,-13000000,2211000000.0,220000000,-45000000.0,1000000.0,2000000.0,4000000.0,-152000000.0,652000000,,,,,
2017-06-30,3720000000.0,,,142000000.0,,908000000.0,523000000.0,4000000.0,-97000000.0,0.75,6497000000.0,85000000.0,7020000000.0,1000000.0,64000000,1000000.0,,6462000000.0,6000000.0,0.0,86000000.0,4628000000.0,64000000,64000000,14000000,102000000,2862000000.0,854000000.0,,26000000.0,17000000,,-98000000.0,485000000.0,37000000.0,0.0,,442000000.0,2401000000.0,76000000,-1000000.0,,-1000000.0,,1000000.0,485000000.0,485000000.0,,33000000.0,,6000000.0,216000000.0,,15000000,,945000000.0,-1000000.0,,6000000,,1000000.0,142000000.0,0.74,-11000000,,12000000,43000000.0,1000000.0,3000000.0,3000000.0,,92000000,,,,,
2017-09-30,3923000000.0,,,54000000.0,,971000000.0,551000000.0,40000000.0,-22000000.0,2.06,6916000000.0,86000000.0,7467000000.0,0.0,177000000,0.0,,6882000000.0,,0.0,87000000.0,4894000000.0,177000000,177000000,12000000,273000000,2991000000.0,892000000.0,,20000000.0,16000000,,-23000000.0,512000000.0,37000000.0,,,485000000.0,2583000000.0,248000000,0.0,,-5000000.0,,2000000.0,512000000.0,512000000.0,,33000000.0,,-3000000.0,206000000.0,-46000000.0,15000000,-1000000.0,994000000.0,-5000000.0,,6000000,,1000000.0,55000000.0,2.03,-10000000,,71000000,27000000.0,-1000000.0,3000000.0,4000000.0,,263000000,,,,,
2017-12-31,2771000000.0,,9068000000.0,91000000.0,7082000000.0,959000000.0,583000000.0,95000000.0,-19000000.0,,6302000000.0,,6885000000.0,2000000.0,576000000,4000000.0,47000000.0,6264000000.0,,-10000000.0,,3730000000.0,576000000,576000000,26000000,-648000000,1809000000.0,867000000.0,,28000000.0,30000000,0.0,-19000000.0,573000000.0,7000000.0,,0.0,512000000.0,3165000000.0,-688000000,0.0,,-2000000.0,-1223000000.0,3000000.0,573000000.0,573000000.0,,33000000.0,,72000000.0,-1129000000.0,1000000.0,17000000,-1000000.0,979000000.0,-12000000.0,,7000000,-133000000.0,1000000.0,92000000.0,,-23000000,2564000000.0,-1264000000,61000000.0,1000000.0,2000000.0,15000000.0,,-669000000,,,,,
2018-03-31,4051514000.0,,1744264000.0,-28144000.0,950198000.0,416970000.0,705120000.0,147290000.0,,-1.58,8879631000.0,107735000.0,9584751000.0,16021000.0,-170692000,48421000.0,-1889000.0,5443962000.0,,-1208934000.0,107735000.0,4468484000.0,-170731000,-170692000,32733000,-72276000,1062043000.0,2474835000.0,22729000.0,,68573000,,141458000.0,403642000.0,205666000.0,,0.0,574148000.0,5108945000.0,-87893000,,,-81386000.0,,38116000.0,402672000.0,402672000.0,,1111440000.0,60636000.0,-21982000.0,75596000.0,28995000.0,8248000,-6500000.0,,-290320000.0,,61204000,,1193509000.0,-21644000.0,-1.58,-7369000,,82838000,-170506000.0,243000.0,365246000.0,5236000.0,,-63624000,,,,,
2018-06-30,4352154000.0,,1441199000.0,35238000.0,957972000.0,188071000.0,1059390000.0,135984000.0,,-2.82,8284707000.0,107562411.0,9344097000.0,64388000.0,-303326000,47396000.0,70451000.0,4927961000.0,,-143698000.0,107562411.0,4540225000.0,-303480000,-303326000,100401000,-419851000,882257000.0,2965504000.0,31628000.0,,234083000,,-33803000.0,768847000.0,225820000.0,,1090000.0,403642000.0,4796705000.0,-455886000,,,-3585000.0,,37146000.0,767873000.0,767873000.0,,1068843000.0,64744000.0,51863000.0,-172799000.0,104290000.0,35442000,-33803000.0,,329967000.0,,233490000,-13118000.0,1200050000.0,69041000.0,-2.82,-593000,,-152406000,365205000.0,3134000.0,52153000.0,7929000.0,,-356056000,,,,,
2018-09-30,4579206000.0,,1760596000.0,-57907000.0,967687000.0,202177000.0,1002620000.0,152328000.0,,2.95,8877837000.0,107631000.0,9880457000.0,62848000.0,317383000,48603000.0,4292000.0,5523423000.0,,2760000.0,109061000.0,4781383000.0,317256000,317383000,102483000,505531000,1010021000.0,3049547000.0,33865000.0,,230015000,,-94955000.0,690353000.0,243734000.0,,1085000.0,768847000.0,5089124000.0,448048000,,,-3572000.0,,40795000.0,689562000.0,689562000.0,,1057084000.0,66753000.0,-30628000.0,133550000.0,97330000.0,37614000,-49073000.0,,25295000.0,,210146000,-18537000.0,1197988000.0,-8834000.0,2.91,-19869000,,130792000,-78494000.0,6744000.0,70982000.0,7761000.0,,548510000,,,,,
2018-12-31,3273338000.0,,1043933000.0,-651000.0,855837000.0,1080794000.0,750738000.0,129065000.0,0.0,,7910084000.0,,8660822000.0,63689000.0,-716668000,71514000.0,-11197000.0,4784920000.0,,-5878000.0,,4354132000.0,-716699000,-716668000,112059000,-909017000,793696000.0,1985275000.0,31743000.0,,249143000,,-44976000.0,492032000.0,182600000.0,,1065000.0,690353000.0,4297123000.0,-961230000,1000.0,,-165490000.0,-152516000.0,40100000.0,491257000.0,491257000.0,0.0,947506000.0,65954000.0,27706000.0,-219071000.0,100334000.0,37992000,-44976000.0,900759000.0,-197670000.0,,234922000,168000.0,1184606000.0,44325000.0,,-14221000,1337122000.0,-244531000,-198321000.0,3320000.0,47958000.0,7281000.0,-87755000.0,-859549000,,,,,
2019-03-31,3696316000.0,,1722471000.0,-19049000.0,855837000.0,1172962000.0,669375000.0,232152000.0,,6.47,9148885000.0,104875270.0,9818260000.0,67678000.0,678543000,163848000.0,-17194000.0,5956445000.0,,-1929000.0,105856942.0,4869278000.0,678486000,678543000,116309000,1020653000,1064198000.0,2042158000.0,32004000.0,,252880000,,-39311000.0,423208000.0,175825000.0,,1055000.0,492032000.0,4939472000.0,947891000,803000.0,,-4739000.0,,34349000.0,422420000.0,422420000.0,,936628000.0,62324000.0,3688000.0,269397000.0,,37618000,-40114000.0,901306000.0,-50578000.0,,217736000,3068000.0,1161345000.0,21065000.0,6.41,-35144000,,269405000,-68824000.0,2489000.0,158974000.0,5631000.0,-43910000.0,1053187000,,,,,
2019-06-30,4073882000.0,,2181515000.0,4934000.0,855837000.0,1078048000.0,640167000.0,278565000.0,,4.38,9928542000.0,104744000.0,10568709000.0,65891000.0,459044000,198193000.0,7425000.0,6740915000.0,,-5937000.0,105711000.0,5151930000.0,459044000,459044000,95278000,692860000,1246322000.0,2071113000.0,30360000.0,,229601000,,-27015000.0,423610000.0,175257000.0,,1056000.0,423208000.0,5407269000.0,640439000,3737000.0,,-327332000.0,,42049000.0,422861000.0,422861000.0,,924024000.0,60917000.0,9518000.0,181396000.0,,40386000,-30752000.0,901856000.0,-8269000.0,,217566000,4988000.0,1127338000.0,35686000.0,4.34,-12035000,,181395000,402000.0,-8887000.0,56909000.0,6754000.0,0.0,746716000,,,,,
