date,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyInvestmentsAndAdvances,quarterlyNetPPE,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyDilutedAverageShares,quarterlyAccountsReceivable,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyBasicAverageShares,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyRetainedEarnings,quarterlyEndCashPosition,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDeferredIncomeTax,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyInventory
2013-09-30,49314000.0,-7000.0,-83000.0,66929000.0,57449000.0,-18299000.0,-43622000.0,0.0,-148162000.0,241967000,-59063000,-59124000,16294000,1785000.0,7404000.0,1620693000.0,48148000,-59124000.0,,184807219.0,,139523000,0.0,,4103000,1632297000.0,-0.32,9967000.0,,65911000.0,213442000.0,,1329203000.0,-35000000.0,184807219.0,60870000.0,4200000.0,60884000,8633000,1720000,4815000.0,14740000.0,7404000.0,56781000,1698208000.0,57449000.0,8766000,347000.0,-42180000.0,-118738000.0,-480817000.0,150481000.0,7187000.0,-7520000.0,4454000,16211000,10958000.0,2937571000.0,-0.32,150481000.0,150481000.0,4857000.0,3151013000.0,-59116000,328733000.0,39443000.0,1848000.0,,0.0,24135000.0,-4000.0,,,,,,
2013-12-31,,185811000.0,-9642000.0,143425000.0,55079000.0,-43110000.0,-110104000.0,0.0,-213186000.0,1071837000,-157829000,-162131000,-29101000,18387000.0,16874000.0,3586084000.0,96479000,-162131000.0,,,,-113743000,0.0,113793000.0,10918000,3932986000.0,,-101000.0,,153129000.0,251379000.0,89875000.0,1351572000.0,-585079000.0,,9831000.0,60729000.0,94581000,-12816000,79228000,73052000.0,7363000.0,16874000.0,83663000,4086115000.0,55079000.0,31719000,11702000.0,-47997000.0,-1156479000.0,-692449000.0,36738000.0,29496000.0,-442392000.0,-58160000,-38743000,150481000.0,5326902000.0,,36738000.0,36738000.0,7697000.0,5578281000.0,-161092000,536250000.0,64155000.0,2023000.0,,8140000.0,39211000.0,-126000.0,,,,,,
2014-03-31,,0.0,-5054000.0,483486000.0,19979000.0,-57996000.0,-245782000.0,24712000.0,-422355000.0,1348590000,-308681000,-320655000,-106126000,4631000.0,195826000.0,10318898000.0,214712000,-320655000.0,,547781932.0,83679000.0,30342000,,92593000.0,64063000,11071222000.0,-0.61,6162000.0,-684010000.0,148491000.0,271256000.0,2287122000.0,8961871000.0,-3738025000.0,547781932.0,0.0,287199000.0,320614000,41839000,-167541000,-148052000.0,13059000.0,195826000.0,256551000,11219713000.0,19979000.0,49349000,135473000.0,-201485000.0,-1212122000.0,-1365467000.0,83067000.0,22510000.0,0.0,-38419000,-111180000,52725000.0,20209044000.0,-0.61,83067000.0,83067000.0,13397000.0,20480300000.0,-332313000,2581381000.0,165524000.0,8126000.0,,0.0,116712000.0,0.0,,,,,,
2014-06-30,,1595735000.0,-41861000.0,480932000.0,19923000.0,-53433000.0,8223000.0,58598000.0,-661005000.0,705012000,-40328000,-43265000,139911000,0.0,,9790744000.0,287394000,-43265000.0,,815740684.0,108683000.0,110623000,,105670000.0,46440000,10561584000.0,-0.08,-66707000.0,-74191000.0,159413000.0,512278000.0,2304880000.0,10298081000.0,-1775173000.0,815740684.0,0.0,283518000.0,381981000,48147000,-68479000,14092000.0,5241000.0,218023000.0,335541000,10720997000.0,19923000.0,28401000,18412000.0,-226056000.0,-734300000.0,-1628354000.0,193690000.0,9338000.0,0.0,343292000,98050000,83067000.0,20803209000.0,-0.08,193690000.0,193690000.0,12392000.0,21315487000.0,-63419000,2579293000.0,286922000.0,9506000.0,,0.0,99635000.0,0.0,,,,,,
2014-09-30,,-2390000.0,-2265029000.0,314315000.0,30153000.0,-2495000.0,-289047000.0,56230000.0,-828624000.0,1831013000,-280398000,-288047000,231359000,545382000.0,,11612539000.0,298100000,-288047000.0,,902096102.0,138918000.0,-48380000,,114114000.0,56375000,12126289000.0,-0.35,-6283000.0,-730000.0,738404000.0,2363024000.0,2096450000.0,9740715000.0,-332931000.0,902096102.0,0.0,318494000.0,457118000,102643000,6486000,80526000.0,4774000.0,195256000.0,400743000,12864693000.0,30153000.0,32950000,-61001000.0,-247557000.0,-2110752000.0,-2182731000.0,145310000.0,957000.0,-316126000.0,105695000,237032000,193690000.0,20504559000.0,-0.35,145310000.0,145310000.0,8600000.0,22867583000.0,-318041000,2747408000.0,292099000.0,9508000.0,,159049000.0,101643000.0,0.0,,,,,,
2014-12-31,,1700000.0,-5335000.0,254881000.0,21351000.0,-27159000.0,-343726000.0,16050000.0,-1034122000.0,-1469060000,-350623000,-360427000,237743000,0.0,,10513781000.0,272302000,-360427000.0,,932157876.0,155376000.0,271401000,,115365000.0,37049000,10959230000.0,-0.41,88984000.0,199000.0,173579000.0,566745000.0,1894794000.0,9153888000.0,-1328177000.0,902528136.0,0.0,317838000.0,418807000,109456000,-58911000,37155000.0,163025000.0,127611000.0,381758000,11132809000.0,21351000.0,46030000,0.0,-245166000.0,1502718000.0,-2778576000.0,416711000.0,-944000.0,-7690000.0,-7998000,232408000,145310000.0,19948394000.0,-0.41,416711000.0,416711000.0,2728000.0,20515139000.0,-350623000,2585413000.0,262619000.0,9483000.0,,703000.0,126157000.0,0.0,,,,,,
2015-03-31,,,-3649000.0,248062000.0,20565000.0,-790000.0,-25820000.0,19391000.0,-1238320000.0,-78161000,-29970000,-30693000,230132000,0.0,,10381966000.0,268038000,-28619000.0,2074000.0,902996270.0,177757000.0,372028000,,103699000.0,33030000,10825961000.0,-0.05,-2647000.0,0.0,170635000.0,1136146000.0,1871114000.0,9098177000.0,-59308000.0,902996270.0,0.0,304754000.0,393968000,92900000,6202000,2013000.0,11602000.0,139241000.0,360938000,10996596000.0,20565000.0,48897000,585000.0,-18014000.0,220057000.0,-2826524000.0,788739000.0,818000.0,-1207000.0,291191000,226483000,416711000.0,19185882000.0,-0.05,788739000.0,788739000.0,-4136000.0,20322028000.0,-47948000,2529755000.0,224111000.0,9479000.0,,,95699000.0,0.0,,,,,,
2015-06-30,,,-3142000.0,240703000.0,19749000.0,-5358000.0,-105965000.0,21508000.0,-1401843000.0,-954762000,-106522000,-108709000,220643000,118493000.0,,9326860000.0,268335000,-107459000.0,1250000.0,903339143.0,190387000.0,-667088000,,113222000.0,36308000,9747961000.0,-0.14,12602000.0,0.0,297576000.0,705079000.0,1847295000.0,8981079000.0,-931491000.0,903339143.0,0.0,298102000.0,393721000,89078000,-7369000,12828000.0,5806000.0,122999000.0,357413000,10045537000.0,19749000.0,50822000,5527000.0,-17937000.0,67031000.0,-2951019000.0,121651000.0,5355000.0,-132000.0,203715000,217501000,788739000.0,18544296000.0,-0.14,121651000.0,121651000.0,-1928000.0,19249375000.0,-124495000,2474613000.0,220602000.0,9479000.0,,,90572000.0,0.0,,,,,,
2015-09-30,,0.0,-4089000.0,200948000.0,19163000.0,3736000.0,404000.0,22948000.0,-1595667000.0,-224851000,7529000,8141000,177353000,118493000.0,,8848503000.0,250341000,9641000.0,1500000.0,903461323.0,209990000.0,50008000,,97022000.0,35846000,9227078000.0,-0.01,6576000.0,0.0,420585000.0,765675000.0,1828005000.0,8841950000.0,-196771000.0,903461323.0,0.0,264232000.0,384954000,98767000,-56276000,-8162000.0,7049000.0,114343000.0,349108000,9647663000.0,19163000.0,41799000,4012000.0,-31586000.0,97506000.0,-3085906000.0,171659000.0,4016000.0,-295000.0,315173000,173264000,121651000.0,17939213000.0,-0.01,171659000.0,171659000.0,-9806000.0,18704888000.0,-10662000,2441204000.0,216002000.0,9478000.0,,0.0,89530000.0,0.0,,,,,,
2015-12-31,,,-9600000.0,180678000.0,18180000.0,-24000.0,-225400000.0,15328000.0,-1778597000.0,-889442000,-187390000,-192231000,238885000,0.0,,8059802000.0,251575000,-233358000.0,-41127000.0,929457209.0,303637000.0,-102556000,,101690000.0,41866000,8398984000.0,-0.23,-11114000.0,,292923000.0,511911000.0,1656374000.0,8523987000.0,-780934000.0,903461323.0,0.0,251692000.0,383374000,89933000,-24651000,-7678000.0,151877000.0,87490000.0,341508000,8691907000.0,18180000.0,49160000,224064000.0,-167957000.0,548001000.0,-3415233000.0,69103000.0,4311000.0,-593000.0,51648000,229285000,171659000.0,16893955000.0,-0.23,69103000.0,69103000.0,-2025000.0,17405866000.0,-187390000,2269157000.0,205834000.0,9477000.0,,163000.0,82591000.0,-1911000.0,,,,,,
2016-03-31,,,-5962000.0,117218000.0,17889000.0,435000.0,-123204000.0,16079000.0,-1865674000.0,-344633000,-113086000,-116080000,178612000,0.0,,7802565000.0,238533000,-116024000.0,56000.0,903825726.0,218260000.0,35347000,,81289000.0,42881000,8136655000.0,-0.15,53498000.0,,262943000.0,482476000.0,1642858000.0,8259940000.0,-404948000.0,903825726.0,0.0,245093000.0,369020000,87606000,-50915000,-32556000.0,2547000.0,88997000.0,326139000,8399598000.0,17889000.0,34225000,162247000.0,-142525000.0,201368000.0,-3671050000.0,104450000.0,1730000.0,-801000.0,172764000,172650000,69103000.0,16361136000.0,-0.15,104450000.0,104450000.0,-11345000.0,16843612000.0,-131184000,2189061000.0,208362000.0,9476000.0,-13024000.0,,80426000.0,-574000.0,,,,,,
2016-06-30,,,-1067000.0,113937000.0,17551000.0,-16487000.0,-6522000.0,14934000.0,-2029121000.0,530014000,3146000,3233000,231584000,0.0,,8474300000.0,233902000,2953000.0,-280000.0,904107378.0,234254000.0,925170000,,113525000.0,45174000,8796189000.0,-0.02,-198000.0,,309817000.0,1558456000.0,1620233000.0,8121702000.0,-559759000.0,904107378.0,23374000.0,237403000.0,371019000,91943000,14343000,39273000.0,7144000.0,84486000.0,325845000,9106006000.0,17551000.0,36557000,11604000.0,-143048000.0,163572000.0,-3810341000.0,1029620000.0,2779000.0,-997000.0,287327000,230517000,104450000.0,15850055000.0,-0.02,1029620000.0,1029620000.0,-12297000.0,17408511000.0,-15037000,2139694000.0,201906000.0,9476000.0,-21775000.0,,82468000.0,,,,,,,
2016-09-30,,,-9589000.0,113594000.0,16845000.0,-2603000.0,19729000.0,14969000.0,-2188998000.0,-1349407000,29495000,30246000,194458000,0.0,,6553066000.0,230214000,31844000.0,1598000.0,968686543.0,245351000.0,-913002000,,90115000.0,40717000,6871560000.0,0.01,-14368000.0,,298565000.0,630011000.0,1602610000.0,8709440000.0,-2535303000.0,943480170.0,18443000.0,229340000.0,362915000,91984000,-21410000,-13443000.0,6223000.0,89154000.0,322198000,7170125000.0,16845000.0,35041000,9460000.0,-142855000.0,241947000.0,-3933092000.0,116618000.0,2588000.0,-2350000.0,311736000,184869000,1029620000.0,15427809000.0,0.01,116618000.0,116618000.0,-4687000.0,16057820000.0,11368000,2103925000.0,200023000.0,10170000.0,-16903000.0,,79869000.0,,,,,,,
2016-12-31,,0.0,-2209000.0,132747000.0,14702000.0,-822000.0,-126011000.0,5250000.0,-2331643000.0,-339346000,-115418000,-118223000,195874000,0.0,,6367248000.0,235713000,-123298000.0,-5075000.0,998001219.0,330705000.0,139834000,,102230000.0,38830000,6659310000.0,-0.14,17321000.0,-23277000.0,308731000.0,715216000.0,1462203000.0,8447361000.0,-437602000.0,973681227.0,0.0,224023000.0,351869000,77326000,-12361000,3403000.0,146137000.0,68039000.0,313039000,6968041000.0,14702000.0,44353000,131168000.0,-152080000.0,283306000.0,-4200423000.0,256452000.0,3631000.0,-504000.0,142675000,193665000,116618000.0,14872358000.0,-0.14,256452000.0,256452000.0,-2556000.0,15587574000.0,-115418000,2069130000.0,196257000.0,10169000.0,-924000.0,,74613000.0,-25536000.0,,,,,,
2017-03-31,,,-7059000.0,122684000.0,14056000.0,-3000.0,6609000.0,6895000.0,-2494811000.0,-235056000,14438000,14790000,184335000,0.0,,6287403000.0,225175000,19044000.0,4254000.0,973849610.0,255897000.0,29134000,,96293000.0,36676000,6573320000.0,-0.003813,4528000.0,,301589000.0,694330000.0,1462585000.0,8312445000.0,-84261000.0,973849610.0,13548000.0,217721000.0,348029000,86178000,-17869000,-3269000.0,2132000.0,68196000.0,311353000,6874909000.0,14056000.0,42023000,9836000.0,-152219000.0,79855000.0,-4338029000.0,285586000.0,3111000.0,-976000.0,282667000,177276000,256452000.0,14662205000.0,-0.003813,285586000.0,285586000.0,-1795000.0,15356535000.0,-3713000,2038203000.0,189880000.0,10170000.0,-20939000.0,,73743000.0,,,,,,,
2017-06-30,,,-3020000.0,121073000.0,13441000.0,-13000.0,36059000.0,6852000.0,-2623050000.0,-255613000,33408000,34186000,201923000,0.0,,6085909000.0,228110000,36757000.0,2571000.0,998093510.0,258679000.0,6912000,,104672000.0,34501000,6366210000.0,0.02,11526000.0,,318351000.0,684209000.0,1462585000.0,8196843000.0,-102829000.0,974160295.0,10947000.0,209566000.0,336930000,74319000,7071000,12375000.0,6038000.0,70735000.0,302429000,6684561000.0,13441000.0,43822000,22217000.0,-152219000.0,60602000.0,-4456708000.0,292498000.0,4448000.0,-1240000.0,300914000,198903000,285586000.0,14363831000.0,0.02,292498000.0,292498000.0,-1928000.0,15048040000.0,15223000,2016611000.0,190536000.0,10170000.0,-12147000.0,,73621000.0,,,,,,,
2017-09-30,,,-4448000.0,119180000.0,12982000.0,-9297000.0,5371000.0,7557000.0,-2784481000.0,-264161000,16094000,16494000,210292000,0.0,,5917287000.0,215826000,18547000.0,2053000.0,974167088.0,259157000.0,-238135000,,107430000.0,33018000,6185214000.0,-0.001973,15133000.0,,324550000.0,418985000.0,1462585000.0,8063274000.0,-703792000.0,974167088.0,8347000.0,204051000.0,333728000,84884000,11045000,4653000.0,8186000.0,63876000.0,300710000,6509764000.0,12982000.0,39303000,10028000.0,-152049000.0,-184266000.0,-4592533000.0,54363000.0,3665000.0,-215000.0,272512000,205844000,292498000.0,14317748000.0,-0.001973,54363000.0,54363000.0,-3330000.0,14736733000.0,-1922000,2039477000.0,182257000.0,10170000.0,13623000.0,,71708000.0,,,,,,,
2017-12-31,,0.0,-8358000.0,103297000.0,12089000.0,-161000.0,-8205000.0,4376000.0,-2908028000.0,-1765000,-32122000,-13975000,196717000,15881000.0,62985000.0,6073444000.0,146149000,-15971000.0,-1996000.0,,267450000.0,-35345000,,107773000.0,24522000,6334980000.0,,-15336000.0,0.0,327722000.0,534950000.0,1337773000.0,7884278000.0,-178610000.0,,0.0,198551000.0,233598000,62927000,9847000,-3017000.0,2570000.0,62985000.0,209076000,6662702000.0,12089000.0,-16690000,25218000.0,-152128000.0,-230297000.0,-4776581000.0,64036000.0,5527000.0,-235000.0,237549000,188359000,54363000.0,14170628000.0,,34176000.0,34176000.0,-3569000.0,14705578000.0,-50152000,2037675000.0,182826000.0,10170000.0,-1931000.0,,70694000.0,0.0,,,,,,
2018-03-31,,,-5078000.0,94797000.0,11230000.0,,19296000.0,5294000.0,,-266350000,31795000,29036000,149865000,,,6008494000.0,203132000,30248000.0,1212000.0,996707337.0,284007000.0,-7552000,,97539000.0,30565000,6270915000.0,0.01,6484000.0,,304369000.0,399710000.0,1337773000.0,7720482000.0,-447676000.0,972663193.0,,193703000.0,315074000,81377000,-40718000,-7653000.0,3098000.0,68718000.0,284509000,6575284000.0,11230000.0,36980000,936000.0,-152519000.0,108933000.0,-4896349000.0,,2927000.0,-46244000.0,273131000,144787000,,14052079000.0,0.01,28435000.0,28435000.0,-4284000.0,14451789000.0,13811000,2035004000.0,172458000.0,10109000.0,-23344000.0,1351000.0,70425000.0,,,,,,,
2018-06-30,,,-3016000.0,86021000.0,10890000.0,,-106943000.0,5721000.0,,-132724000,-72670000,-74691000,109698000,,,6040248000.0,180522000,-73557000.0,1134000.0,807444444.0,351163000.0,-10972000,,110329000.0,31436000,6293723000.0,-0.09,908000.0,,322480000.0,446414000.0,1337773000.0,7494717000.0,-249697000.0,807444444.0,,187352000.0,315664000,103706000,9800000,11893000.0,141746000.0,66123000.0,284228000,6616203000.0,10890000.0,16287000,,-151430000.0,12054000.0,-5120240000.0,,3953000.0,-6058000.0,160998000,106682000,,13815193000.0,-0.09,18434000.0,18434000.0,-4290000.0,14261607000.0,-72670000,2024014000.0,169858000.0,10102000.0,-217000.0,0.0,70320000.0,,,,,,,
2018-09-30,,,-5638000.0,82501000.0,10604000.0,-21000.0,-99702000.0,3971000.0,,-243702000,-72117000,-73942000,174094000,,,5949088000.0,185762000,-72801000.0,1141000.0,967798401.0,291244000.0,7201000,,231241000.0,31893000,6179943000.0,-0.09,1117000.0,,453063000.0,387251000.0,1337773000.0,7278110000.0,-975545000.0,967798401.0,,179192000.0,313866000,96211000,109188000,128446000.0,3778000.0,51663000.0,281973000,6633006000.0,10604000.0,28581000,,-151129000.0,76809000.0,-5343368000.0,,3323000.0,-61000.0,157722000,168456000,,13669629000.0,-0.09,25264000.0,25264000.0,-1031000.0,14056880000.0,-90101000,2019718000.0,161213000.0,10102000.0,-4959000.0,9529000.0,69310000.0,,,,,,,
2018-12-31,,,-9400000.0,35289000.0,9754000.0,-4752000.0,-10108000.0,3594000.0,,-12630000,27218000,27872000,60257000,,,6087922000.0,170270000,29486000.0,1614000.0,992337959.0,366092000.0,950000,,117730000.0,32567000,6331115000.0,0.01,286000.0,,332234000.0,422364000.0,1337773000.0,7157059000.0,-778469000.0,967817245.0,,173479000.0,313263000,110426000,-117857000,-130998000.0,145611000.0,69714000.0,280696000,6663349000.0,9754000.0,17220000,,-151601000.0,-46677000.0,-5467236000.0,53663000.0,3111000.0,-117000.0,253368000,50857000,52713000.0,13541129000.0,0.01,30758000.0,30758000.0,-1280000.0,13963493000.0,9245000,2012399000.0,156419000.0,10103000.0,-5576000.0,36086000.0,70832000.0,,,,,,,
