date,quarterlyBasicEPS,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyNetPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentAssets,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2000-09-30,0.44,16051000,387000.0,145586000,26350000,0,,34090000,,-74569000.0,15683000,15683000,45783000,4813000,195129000.0,,-93000.0,-15379000,60266000,97000,-52139000.0,14093000,42198943.0,0.0,270003000,-8771000,9503000,31346000,261042000.0,9216000,186473000,-368000,201669000.0,,,39124000,,7778000,345202000,-91607000,732000,,72460000,307718000,382255000,798506000,17134000,90330000,416251000,0.41,,34649000,125677000,0.0,652920000,17134000,17134000,-1405000,38753185.0,21928000,130717000,-220000,232944000,,94331000,15683000,-9851000,,,144326000,,,,,,,
2000-12-31,,15683000,393000.0,178840000,36615000,0,,47367000,,-85588000.0,21725000,21725000,50560000,4822000,228035000.0,,1775000.0,12650000,80513000,-22851000,-47804000.0,14959000,,5619000.0,297870000,-10987000,46877000,43242000,284976000.0,13315000,199388000,6042000,218080000.0,,,52082000,,8840000,359589000,-68307000,35890000,,79489000,349153000,423339000,887582000,23300000,95843000,464243000,,,36820000,146530000,0.0,708742000,23300000,23300000,-4081000,,25939000,141677000,-1791000,237807000,,103288000,21725000,-18361000,,,151340000,,,,,,,
2001-03-31,0.37,21725000,396000.0,192872000,22305000,0,,41470000,,-85588000.0,22985000,22985000,50078000,4783000,,,,-20346000,68022000,5025000,-53177000.0,14807000,42539345.0,4907000.0,265644000,-6086000,2184000,27095000,273970000.0,7807000,188382000,1260000,58928000.0,,,35953000,,8858000,345310000,-53809000,-3902000,222511000.0,73196000,320766000,411634000,858948000,14498000,94337000,447314000,0.34,,36421000,123956000,0.0,666076000,14498000,14498000,-6557000,39716936.0,24157000,142749000,-7000,226816000,,96861000,22985000,-5309000,143738000.0,204430000.0,141688000,,,,,,,
2001-06-30,0.17,22985000,400000.0,201617000,17540000,0,,40636000,,-85588000.0,23212000,23212000,49930000,4563000,,,,11938000,67898000,-18432000,-55150000.0,15503000,42472310.0,4036000.0,279033000,-9080000,27488000,37393000,268576000.0,10858000,182988000,227000,65618000.0,,,46139000,,8746000,319798000,-47127000,18408000,221023000.0,70928000,333869000,411291000,855284000,6682000,96366000,443993000,0.16,,39982000,126849000,0.0,653667000,6682000,6682000,2088000,40112438.0,22939000,137412000,-15290000,200493000,,89456000,23212000,-8874000,150423000.0,210031000.0,152184000,,,,,,,
2001-09-30,0.51,23212000,401000.0,232142000,31360000,0,,43753000,,-85588000.0,24708000,24708000,49974000,4056000,,,,-2207000,59142000,-12943000,-45817000.0,16170000,42463944.0,808000.0,285064000,-6595000,27306000,35412000,278858000.0,10976000,193270000,1496000,77569000.0,,,44412000,,9000000,326318000,-26743000,20711000,235255000.0,75973000,345450000,431810000,903910000,20384000,100474000,472100000,0.48,,43575000,131024000,0.0,671768000,20384000,20384000,593000,40157813.0,24750000,144799000,4000,201094000,,95612000,24708000,-12578000,158765000.0,218550000.0,154040000,,,,,,,
2001-12-31,,24708000,441000.0,388184000,47230000,0,,0,,-109176000.0,27721000,27721000,50239000,3760000,126524000.0,,,1896000,66327000,126576000,-71898000.0,18147000,,7089000.0,318281000,-11467000,44594000,18534000,301448000.0,16530000,192272000,3013000,119737000.0,,,28902000,,10368000,453641000,3957000,33127000,,79094000,347587000,431758000,1189412000,30700000,119109000,757654000,,,438858000,152699000,0.0,801228000,30700000,30700000,7407000,,25053000,145621000,-60000,309479000,,134165000,27721000,-168420000,111284000.0,227295000.0,165582000,,,,,,,
2002-03-31,0.42,27721000,441000.0,407223000,26677000,0,,0,,-109176000.0,23461000,23461000,50256000,4391000,131980000.0,,,-14742000,54384000,10552000,-72406000.0,16757000,45517058.0,873000.0,272957000,-9333000,11614000,30782000,299528000.0,8003000,190352000,-4260000,75581000.0,,,38523000,,7741000,460274000,22631000,2281000,401895000.0,75824000,336150000,423813000,1203647000,18674000,117984000,779834000,0.41,,55607000,125137000,0.0,796424000,18674000,18674000,4134000,44173850.0,23937000,141246000,286000,318353000,,94355000,23461000,-25778000,155929000.0,221090000.0,147820000,,,,,,,
2002-06-30,0.62,23461000,442000.0,451158000,6212000,0,,0,,-109176000.0,23875000,23875000,50439000,4355000,131134000.0,,,-2861000,58313000,-20888000,-56340000.0,17704000,45409690.0,391000.0,296454000,-8445000,32865000,39122000,320667000.0,-21266000,211491000,414000,52754000.0,,,47244000,,8122000,456791000,50109000,24420000,411779000.0,82355000,350410000,449941000,1258359000,27478000,125944000,808418000,0.61,,54014000,141082000,0.0,807201000,27478000,27478000,-3830000,44208274.0,26403000,153844000,-28555000,304444000,,101960000,23875000,-11047000,188904000.0,230071000.0,155372000,,,,,,,
2002-09-30,0.52,23875000,443000.0,475483000,32818000,0,,39051000,,-109176000.0,28282000,28282000,50627000,4429000,130287000.0,,,2437000,54370000,-21316000,-56852000.0,17469000,45235544.0,1860000.0,306990000,-7492000,34738000,37386000,317212000.0,9841000,208036000,4407000,47919000.0,,,46890000,,9504000,433806000,73086000,27246000,414182000.0,85263000,338684000,439499000,1247973000,22977000,127077000,808474000,0.51,,55969000,142923000,0.0,772490000,22977000,22977000,1472000,44355475.0,26158000,150729000,-139000,280571000,,105537000,28282000,-9001000,185768000.0,221437000.0,164067000,,,,,,,
2002-12-31,,28282000,444000.0,502386000,44703000,0,,28603000,,-155114000.0,31427000,31427000,50578000,4034000,537792000.0,,,-7519000,73072000,-26000000,-61649000.0,18695000,,408000.0,337306000,-7887000,36193000,48531000,372868000.0,13411000,217754000,3145000,66511000.0,,,57888000,,9357000,433343000,104378000,28306000,,88517000,367664000,475727000,1303393000,31292000,133600000,827666000,,,72120000,158595000,0.0,801007000,31292000,31292000,5602000,,37650000,150441000,206000,262093000,,110064000,31427000,-6641000,177503000.0,231673000.0,178711000,,,,,,,
2003-03-31,0.29,31427000,444000.0,515933000,18476000,0,,36343000,,-155114000.0,32021000,32021000,50422000,3905000,535032000.0,,,-13589000,62735000,-3243000,-61196000.0,18470000,45288823.0,159000.0,291808000,-4737000,8671000,27556000,371312000.0,5541000,216198000,594000,56852000.0,,,36685000,,9129000,430779000,117313000,3934000,,84805000,357715000,480021000,1304427000,12935000,133628000,824406000,0.29,,73176000,133658000,0.0,788494000,12935000,12935000,-5641000,44393312.0,37674000,156713000,-5175000,259477000,,106102000,32021000,-4839000,187706000.0,221181000.0,158150000,,,,,,,
2003-06-30,0.58,32021000,444000.0,553614000,36830000,0,,37807000,,-155114000.0,35150000,35150000,289910000,3671000,541721000.0,,,-4263000,64265000,-20970000,-50312000.0,19338000,45467106.0,1017000.0,321363000,-5865000,30720000,40225000,374470000.0,11050000,219356000,3129000,63712000.0,,,49452000,,9227000,179049000,143093000,24855000,,94008000,601654000,498969000,1334317000,25780000,139228000,835348000,0.57,,74271000,156411000,0.0,780703000,25780000,25780000,-6885000,44434612.0,38386000,166313000,276000,1435000,,116186000,35150000,-7131000,183767000.0,225410000.0,164952000,,,,,,,
2003-09-30,0.54,35150000,445000.0,577791000,34546000,0,,42047000,,-155114000.0,35395000,35395000,256707000,3102000,542403000.0,,,8600000,58996000,-32675000,-51271000.0,19277000,45568383.0,954000.0,320814000,-7040000,39063000,36895000,374408000.0,10364000,219294000,245000,74394000.0,,,45967000,,9072000,175834000,167275000,32023000,,92783000,582703000,499405000,1336328000,24182000,137544000,836923000,0.53,,75226000,151864000,0.0,758537000,24182000,24182000,5969000,44485712.0,36945000,160881000,753000,1345000,,114969000,35395000,-7304000,192606000.0,226697000.0,168950000,,,,,,,
2003-12-31,,35395000,446000.0,653996000,47059000,0,,31660000,,-195083000.0,45116000,45116000,18277000,3475000,548814000.0,,,-6178000,68243000,-19832000,-18294000.0,20918000,,1447000.0,370446000,-9510000,38777000,50951000,426595000.0,14118000,231512000,9721000,72106000.0,,,60333000,,9382000,405371000,200216000,29267000,,101226000,327909000,505537000,1387276000,32941000,135613000,881739000,,,60730000,176243000,-3077000.0,733280000,32941000,32941000,15330000,,46519000,151764000,-417000,223239000,,125292000,45116000,-10236000,154541000.0,249353000.0,194203000,,,,,,,
2004-03-31,0.42,45116000,447000.0,652505000,26602000,0,,36785000,,-195083000.0,44768000,44768000,18873000,3466000,548657000.0,,,1187000,64472000,-24347000,-23574000.0,20655000,45836934.0,1758000.0,318709000,-5869000,29423000,30004000,418768000.0,7980000,223685000,-348000,48317000.0,,,39285000,-16591000.0,9281000,390625000,218838000,23554000,,96809000,331119000,502071000,1374249000,18622000,133608000,872178000,0.41,,59967000,150276000,0.0,721744000,18622000,18622000,-3839000,44557443.0,45592000,153924000,64000,211425000,38666000.0,120272000,44768000,-5506000,146288000.0,239321000.0,168433000,,,,,,,
2004-06-30,0.64,44768000,448000.0,687116000,40599000,-991000,,34850000,,-195083000.0,47613000,47613000,18800000,3272000,549507000.0,,,7800000,66214000,-38081000,-19548000.0,20164000,45750652.0,5148000.0,344492000,-4798000,45500000,43839000,418806000.0,12181000,223723000,2845000,54019000.0,,,53173000,-2981000.0,9334000,352834000,244745000,40702000,,101020000,345487000,510654000,1385437000,28418000,133849000,874783000,0.62,,61604000,167919000,0.0,698321000,28418000,28418000,1820000,44469648.0,46179000,153292000,32000,172806000,36821000.0,124080000,47613000,-4776000,154991000.0,247423000.0,176573000,,,,,,,
2004-09-30,0.56,47613000,448000.0,673802000,35183000,0,,31854000,,-195083000.0,54048000,54048000,9512000,2909000,548670000.0,,,13150000,60259000,-33106000,-20960000.0,20190000,45520086.0,3993000.0,342048000,-6850000,47006000,37957000,419330000.0,10555000,224247000,6435000,59735000.0,,,47610000,-40523000.0,9653000,367659000,266438000,40156000,,104683000,341752000,509685000,1383213000,24628000,136316000,873528000,0.54,,60494000,165755000,0.0,709411000,24628000,24628000,-2491000,44320477.0,46020000,156038000,135000,185323000,31317000.0,127798000,54048000,-7807000,166530000.0,239939000.0,176293000,,,,,,,
2004-12-31,,54048000,448000.0,720886000,51840000,0,,30058000,,-213577000.0,67176000,67176000,6913000,3241000,560181000.0,,,-3594000,85129000,-21900000,2965000.0,22208000,,14668000.0,399205000,-10365000,44064000,55354000,456286000.0,15551000,242709000,13128000,59556000.0,,,66010000,-42302000.0,10656000,410940000,293093000,33699000,,117268000,348246000,552357000,1480072000,36289000,132723000,927715000,,,51978000,198457000,0.0,759186000,36289000,36289000,8959000,,81927000,156539000,-273000,196290000,26176000.0,143103000,67176000,-10261000,165144000.0,271097000.0,200748000,,,,,,,
2005-03-31,0.48,67176000,448000.0,699673000,29688000,0,,0,,-213577000.0,67780000,67780000,10351000,3516000,556119000.0,,-2606000.0,-20949000,66157000,-555000,-14041000.0,20802000,44388971.0,1974000.0,337160000,-5345000,6688000,32868000,442979000.0,8907000,229402000,604000,58684000.0,,,42329000,-28353000.0,9461000,419996000,313020000,1343000,,106317000,331530000,545744000,1451199000,20781000,129295000,905455000,0.47,,48388000,162795000,0.0,751526000,20781000,20781000,-4573000,43139233.0,73280000,156424000,336000,217421000,47201000.0,129927000,67780000,-5140000,135811000.0,259512000.0,174365000,,,,,,,
2005-06-30,0.43,67780000,448000.0,655433000,23038000,0,,26426000,,-213577000.0,103864000,103864000,7196000,3764000,530088000.0,,-9746000.0,12644000,69663000,-6987000,-32246000.0,20936000,43438961.0,1951000.0,368637000,-6578000,50592000,48383000,432018000.0,4727000,218441000,36084000,63868000.0,,,57837000,-46297000.0,9454000,452700000,330124000,44014000,,108115000,327097000,561386000,1435230000,18311000,124518000,873844000,0.42,,47381000,180425000,0.0,779797000,18311000,18311000,2137000,42356672.0,70709000,148856000,-21581000,257473000,41870000.0,132042000,103864000,-6402000,132027000.0,253760000.0,188212000,,,,,,,
2005-09-30,0.61,103864000,448000.0,657813000,44341000,0,,26232000,,-213577000.0,94396000,94396000,4388000,4006000,529984000.0,,7244000.0,18413000,70581000,-60525000,-29559000.0,19315000,42893530.0,7526000.0,365428000,-9123000,60309000,48098000,431652000.0,18723000,218075000,-9468000,70471000.0,,,57256000,-33481000.0,9158000,426874000,351473000,51186000,,108777000,338728000,553355000,1423415000,25618000,124977000,870060000,0.6,,49416000,179006000,0.0,765602000,25618000,25618000,-3294000,41786186.0,77907000,152379000,249000,223990000,34557000.0,130908000,94396000,-12614000,153048000.0,250588000.0,186422000,,,,,,,
2005-12-31,,94396000,469000.0,659002000,63117000,0,,23755000,,-190208000.0,324578000,324578000,6345000,3594000,528209000.0,,,-10383000,88553000,185805000,-45325000.0,20840000,,15556000.0,411247000,-11452000,59470000,65939000,408727000.0,18925000,218519000,230182000,59015000.0,,,75279000,-53701000.0,9340000,657315000,417075000,48018000,,118493000,353456000,800659000,1669773000,44192000,135160000,869114000,,,49344000,208093000,-760000.0,1010771000,44192000,44192000,559000,,78360000,150201000,772000,443795000,34803000.0,142154000,324578000,-11006000,159686000.0,271915000.0,203154000,,,,,,,
2006-03-31,0.58,324578000,474000.0,634750000,33877000,0,,28755000,,-190208000.0,263397000,263397000,8363000,4076000,105253000.0,,-1680000.0,-7538000,73933000,-75879000,-43737000.0,19939000,41774068.0,9741000.0,346160000,-6004000,19133000,35415000,405284000.0,10162000,215076000,-61181000,53380000.0,,,44624000,-72103000.0,9209000,641212000,440790000,13129000,423734000.0,112131000,322095000,729896000,1598057000,23715000,137363000,868161000,0.57,,50263000,170340000,5571000.0,963307000,23715000,23715000,-5025000,41050849.0,78716000,156472000,2538000,425133000,50601000.0,134925000,263397000,-4938000,130699000.0,249628000.0,175820000,,,,,,,
2006-06-30,0.86,263397000,448000.0,631765000,49654000,0,,27187000,,-190208000.0,246766000,246766000,8201000,4350000,104513000.0,,-3365000.0,12558000,79818000,-65870000,-44945000.0,20562000,41237812.0,7726000.0,389157000,-5795000,53114000,51447000,409774000.0,14897000,219566000,-16631000,64835000.0,,,60838000,-49241000.0,9391000,635538000,475547000,47319000,428751000.0,117576000,349375000,735509000,1616678000,34757000,142116000,881169000,0.84,,53108000,192435000,2177000.0,984913000,34757000,34757000,-1808000,40535389.0,80635000,162609000,2557000,412787000,49254000.0,140988000,246766000,-4054000,142170000.0,265586000.0,196722000,,,,,,,
2006-09-30,1.18,246766000,448000.0,626467000,50056000,0,,29615000,,-190208000.0,195358000,195358000,7738000,4409000,103614000.0,,-1549000.0,11076000,82599000,-111907000,-39836000.0,20478000,40455687.0,5065000.0,397318000,-8808000,67469000,53024000,410539000.0,3016000,220331000,-51408000,65369000.0,1598000.0,,62239000,-65272000.0,9215000,572722000,522587000,58661000,431147000.0,117762000,363375000,688442000,1562564000,47040000,143866000,874122000,1.16,,54422000,194057000,412000.0,936097000,47040000,47040000,2766000,39795452.0,67438000,160720000,1441000,361418000,45445000.0,141033000,195358000,-8369000,157116000.0,270712000.0,203261000,,,,,,,
2006-12-31,,195358000,448000.0,630862000,1914910000,0,,30196000,,-213470000.0,151269000,151269000,9962000,4657000,102750000.0,,13959000.0,-22901000,95971000,-83808000,-17321000.0,21823000,,7921000.0,462277000,-13722000,51850000,74532000,442608000.0,19240000,229138000,-44089000,49607000.0,-1215000.0,,84289000,-78024000.0,9757000,571844000,493691000,38128000,432871000.0,134240000,384379000,669770000,1587085000,52020000,143526000,917315000,,,83473000,233600000,3176000.0,956223000,52020000,52020000,15446000,,82613000,148372000,1385000,345705000,41553000.0,159068000,151269000,-13577000,181853000.0,306879000.0,228677000,,,,,,,
2007-03-31,0.8,151269000,448000.0,600286000,41684000,0,,31693000,,-213470000.0,95530000,95530000,12346000,4460000,102296000.0,,-2375000.0,-4762000,90315000,-81975000,-13878000.0,21336000,38931681.0,6023000.0,387764000,-7857000,32303000,45782000,444193000.0,11254000,230723000,-55739000,37467000.0,-374000.0,,55161000,-76939000.0,9379000,580916000,515643000,24446000,434457000.0,121436000,352870000,612945000,1534072000,30430000,167317000,921127000,0.78,,84078000,191479000,2455000.0,933786000,30430000,30430000,-10857000,38065483.0,82683000,160590000,362000,330916000,61823000.0,145697000,95530000,-7651000,145498000.0,290671000.0,196285000,,,,,,,
2007-06-30,1.1,95530000,448000.0,585867000,56207000,0,,33075000,,-213470000.0,99707000,99707000,15152000,5002000,101640000.0,,-1926000.0,12084000,92936000,-50407000,-9344000.0,22455000,38409325.0,4431000.0,430544000,-8440000,60580000,60825000,442998000.0,15176000,229528000,4177000,45524000.0,-130000.0,,70246000,-68964000.0,9421000,587956000,553417000,52140000,434911000.0,128855000,378741000,632373000,1552564000,41031000,167778000,920191000,1.07,,154112000,215093000,2188000.0,966697000,41031000,41031000,-1958000,37454360.0,82317000,163016000,384000,337861000,63903000.0,154268000,99707000,-7500000,155786000.0,300762000.0,215451000,,,,,,,
2007-09-30,1.19,99707000,448000.0,533994000,58392000,-106000,,34610000,,-213470000.0,75385000,75385000,12512000,5515000,100830000.0,,-2353000.0,24669000,95942000,-96073000,-69000.0,22699000,37597020.0,1076000.0,442600000,-8529000,76203000,63965000,450610000.0,14620000,237140000,-24322000,55994000.0,1467000.0,,73374000,-108603000.0,9409000,617575000,595968000,67674000,438714000.0,129520000,406107000,619104000,1557676000,43772000,173980000,938572000,1.16,,89975000,219009000,580000.0,1023682000,43772000,43772000,-2839000,36650215.0,84305000,171294000,-58000,359290000,57733000.0,155044000,75385000,-6383000,177565000.0,299906000.0,223591000,,,,,,,
