date,quarterlyBasicEPS,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyChangesInAccountReceivables,quarterlyNetPPE,quarterlyTaxProvision,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyBasicAverageShares,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyOperatingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyOtherIncomeExpense,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyInventory,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2015-03-31,-3.600918,862550334.88,-331185157.12,249903736.96,,12416.96,2674631809.44,454386234.24,,157149045.76,0.0,,,0.0,,,157149045.76,,-17669334.08,261283880.8,,,0.0,,100614626.88,,,-359067440.8,,89053468.0,1925572488.96,3041019048.16,-1043900035.68,,22375361.92,2220245575.2,,2339454599.68,,540640646.88,-325113263.68,5380473647.84,-359067440.8,,,1947947850.88,-325113263.68,89053468.0,-331185157.12,503482894.08,,22375361.92,-3.600918,,129173634.88,355044345.76,1307431386.24,19271121.92,0.0,37157752.8,,,,761935708.0,3442813248.32,,401446525.28,1063686461.44,,,,,,,,,
2015-06-30,-1.490777,1150823785.47,-229418126.38,292055598.26,,12423.14,2830581391.15,1179074005.83,,165289877.7,-41139228.11,,,0.0,,,165289877.7,,10323629.34,217398738.43,,,0.0,,154109051.7,,,-222523283.68,,110448364.0,2961856711.53,3383454602.14,-1211473554.95,,86104783.34,1651507385.32,,11106808931.88,,990937973.67,-167053963.58,14490263534.02,-222523283.68,,,3047961494.87,-167053963.58,110448364.0,-188278898.27,928300501.79,,24423893.24,-1.490777,,208056537.15,1141481584.19,1533065168.56,-11118710.3,0.0,62637471.88,,,61680890.1,996714733.77,11465272425.01,,8635076151.2,1336978326.8,,,,,,,,,
2015-09-30,-10.056005,1805899348.08,-1352494458.24,1903378949.04,,19093.68,3847516540.32,2819614642.08,,419284483.68,-10208754.24,,,0.0,,,419284483.68,,-23249737.68,552189225.6,,,0.0,,245315600.64,,2545824000.0,-542814228.72,,129881796.0,8088464721.6,4727735188.32,-2550291921.12,,581835346.08,1027901898.24,,21738740219.52,,1355294864.64,-1311258474.0,26466475407.84,-542814228.72,,,8670300067.68,-1308979961.52,129881796.0,-1342285704.0,1263085119.36,,24942710.64,-10.056005,,306962728.8,2332859457.84,18184935394.08,-797065671.6,23485226.4,92209745.28,,,464619244.56,1560583747.44,17851693397.04,,579626843.76,2157764047.68,,,,,,,,,
2015-12-31,-0.129836,1987574562.12,-47721368.82,1763334115.68,,19475.46,4880329554.12,3428758602.12,,812055271.98,1785250.5,,,21104906.82,,-239515698.9,812055271.98,,-1147448660.46,661724196.24,,,64230067.08,,283114762.02,,1795247902.8,-465353133.06,,139548360.0,7693287094.68,5800408710.9,-2621331997.8,,2436172307.76,1451570952.0,,22293312372.84,,1657562892.42,-23364060.18,28093721083.74,-465353133.06,,,10129459402.44,-19858477.38,139548360.0,-49506619.32,1522221429.06,,25915345.44,-0.129836,,359666303.46,2305089478.32,17279984902.38,442605795.78,18702933.42,135341463.36,,,430005173.16,1704459800.1,17922480327.78,,961912444.86,2326084024.2,,,,,,,,,
2016-03-31,-3.750645,1668455206.3,-545492573.65,1707035120.88,,19399.89,3319890242.44,2563850662.62,,825161387.89,-15164247.35,,,0.0,,,825161387.89,,-1060378587.51,909770774.81,,,0.0,,229836963.46,,1810772799.34,-330483592.78,,141338113.0,7814967621.41,4206555748.26,-2893571193.06,,520085184.38,756039579.82,,21965143921.33,,1495576319.88,-531459986.55,26171699669.59,-330483592.78,,,8335052805.79,-528006806.13,141338113.0,-530328326.3,1337971613.52,,3000516.32,-3.750645,,383846223.54,2097845904.93,15995429170.42,-208775149.55,0.0,157604706.36,,,416386305.7,1438618242.84,17792641446.65,,2698266033.8,2510869563.03,,,,,,,,,
2016-06-30,0.66379,1579514856.6,107925616.1,1649478322.6,,19913.7,2091091171.7,1027732781.2,,814171624.5,14072348.0,,,0.0,,,814171624.5,,-1528363199.2,668210841.4,,,0.0,15884494.7,261035417.5,,1759043500.0,123810110.8,,143459394.0,6520150291.9,3138784118.2,-2874157596.8,,478459832.0,1063358390.5,,21955518040.0,,1976886102.2,92505774.4,25094302158.2,235426399.3,,,6998610123.9,96050413.0,146190515.0,93853268.1,1814941255.9,,1878525.7,0.66379,,454516926.7,788363469.3,15919748586.9,-111616288.5,19913700.0,161944846.3,,,402369584.3,1318479439.1,18027945626.9,,2836188808.8,2768435763.5,,,,,,,,,
2016-09-30,-1.387499,1724121380.21,-206917512.73,1588346563.03,,20012.01,2009405924.1,1013715037.22,,1324054617.63,-12173972.75,,,0.0,,,1324054617.63,,-1663898571.45,546541334.44,,,0.0,,305756830.12,,1772810600.54,143419405.0,,144367366.0,6727824300.56,3583704056.11,-3083643950.23,,525995670.84,995690886.88,,21605426272.23,,2044240162.84,-199413008.98,25189130328.34,143419405.0,,,7253819971.4,-195297205.59,144367366.0,-194743539.98,1867540785.21,,59829239.23,-1.387499,,518024220.19,814021860.1,15886694234.58,-333106577.12,25348546.0,176699377.63,,,387472537.62,1418364550.09,17867189474.9,,2475165444.84,2995604447.57,,,,,,,,,
2016-12-31,-0.944357,1715757429.6,-170866086.6,1533732656.4,,20831.4,2062315543.8,1201631533.8,,1486139851.2,-37843710.0,,,48407000.0,,-359329000.0,1486139851.2,,-2419400458.8,612547317.0,,,64892000.0,,318317679.6,,1844523256.8,197960794.2,,144761593.0,6886826121.0,4067164198.8,-3341974558.2,,680867365.2,860684010.0,,21414325066.2,,2129170450.2,-136695646.8,25481489265.0,197960794.2,,,7567693486.2,-132071076.0,144761593.0,-133022376.6,1913718223.8,,70007391.6,-0.944357,,425307750.0,728619877.8,15919265610.6,-359320818.6,37876000.0,215452226.4,,,374173606.8,1397439750.0,17843885600.4,150145787.4,2251200791.4,3084942857.4,,,,,,,,,
2017-03-31,-0.14,1710768000.0,-18882000.0,1475664000.0,,18000.0,2355525000.0,1192865000.0,,1438565000.0,-1963000.0,,,0.0,,,1438565000.0,,-130236000.0,608776000.0,,,0.0,,314478000.0,,1829304000.0,77911000.0,,144996465.0,7049681000.0,4480262000.0,-3087764000.0,,637105000.0,1162660000.0,,21055635000.0,,1988271000.0,-21517000.0,25535897000.0,77911000.0,,,7686786000.0,-17029000.0,144996465.0,-16919000.0,1788679000.0,,36740000.0,-0.14,,493912000.0,723413000.0,15903677000.0,-91013000.0,15868000.0,199592000.0,,,359886000.0,1396290000.0,17781567000.0,150000000.0,2117333000.0,3365538000.0,,,,,,,,,
2017-06-30,3.7,1775604000.0,623926000.0,1419950000.0,,18000.0,3728329000.0,2594009000.0,,1416817000.0,55358000.0,,,792000000.0,,,1416817000.0,,-101551000.0,675849000.0,,,0.0,,323192000.0,,1068047000.0,582412000.0,,145384408.0,6381772000.0,6076511000.0,-2521205000.0,,3064612000.0,1134320000.0,,22026245000.0,,2593307000.0,539271000.0,28102756000.0,582412000.0,,,9446384000.0,566559000.0,146998434.0,568568000.0,2358016000.0,,30564000.0,3.66,,530969000.0,654594000.0,15903677000.0,46536000.0,5420000.0,235291000.0,,,346330000.0,1452412000.0,18586819000.0,878248000.0,2142885000.0,3366172000.0,,,,,,,,,
2017-09-30,2.42,1972330000.0,441001000.0,1365301000.0,,18000.0,4346988000.0,1834196000.0,,1380120000.0,51150000.0,,,792000000.0,,,1380120000.0,,-63825000.0,604849000.0,,,0.0,,372873000.0,,581311000.0,522429000.0,,145888880.0,5975734000.0,6332233000.0,-2136662000.0,,2934701000.0,2512792000.0,,21753669000.0,,2722520000.0,353257000.0,28085902000.0,522429000.0,,,8910435000.0,388066000.0,148209508.0,389851000.0,2494759000.0,,23970000.0,2.38,,569243000.0,562863000.0,15903677000.0,-83092000.0,0.0,227761000.0,,,332774000.0,1599457000.0,19089129000.0,863467000.0,2003761000.0,3542864000.0,,,,,,,,,
2017-12-31,2.82,1888116000.0,489886000.0,1309566000.0,,18000.0,4962689000.0,1524982000.0,,1355369000.0,42144000.0,,,792000000.0,,-494825000.0,1355369000.0,,-55671000.0,624300000.0,,,44563000.0,,357898000.0,,75000000.0,613713000.0,,146661738.0,5600948000.0,6381061000.0,-1689683000.0,,2850427000.0,3437707000.0,,21885451000.0,,2764682000.0,414057000.0,28266512000.0,613713000.0,,,8451375000.0,446979000.0,148840422.0,447742000.0,2501829000.0,,17376000.0,2.78,,667750000.0,689134000.0,15864655000.0,-131342000.0,56463000.0,262853000.0,,,319219000.0,1530218000.0,19743040000.0,777427000.0,1808601000.0,3489192000.0,,,,,,,,,
2018-03-31,1.18,1946422000.0,275628000.0,1253856000.0,,18000.0,5612456000.0,1492845000.0,,1326019000.0,70108000.0,,,792000000.0,,,1326019000.0,,80837000.0,832002000.0,,,,,346396000.0,,75000000.0,266805000.0,,147081530.0,5985055000.0,7161057000.0,-1483342000.0,,2754633000.0,4119611000.0,,21760632000.0,,2471173000.0,174575000.0,28921689000.0,266805000.0,,,8739688000.0,206341000.0,149460043.0,205520000.0,2213227000.0,,10781000.0,1.16,,659788000.0,686807000.0,15864655000.0,7649000.0,,257946000.0,,,305663000.0,1600026000.0,19990779000.0,750971000.0,1810831000.0,3729581000.0,,,,,,,,,
2018-06-30,4.64,2346066000.0,837006000.0,1198265000.0,,18000.0,6673518000.0,1887091000.0,,1312517000.0,119360000.0,,,,,,1312517000.0,,-24028000.0,944454000.0,,,,,394046000.0,,786285000.0,742929000.0,,147400294.0,7187328000.0,9199036000.0,-766095000.0,,2142212000.0,4786427000.0,,20976897000.0,,3430530000.0,685320000.0,30175933000.0,742929000.0,,,9329540000.0,717246000.0,149930102.0,717646000.0,3088995000.0,,4187000.0,4.58,,700212000.0,842865000.0,15864655000.0,92007000.0,,341535000.0,,,292107000.0,1952020000.0,20639059000.0,37500000.0,1908743000.0,3869371000.0,,,,,,,,,
2018-09-30,4.92,2575626000.0,774272000.0,1155521000.0,,19000.0,6350437000.0,1428996000.0,,1327772000.0,16798000.0,,,,,,1327772000.0,,-43798000.0,990496000.0,,,,,468782000.0,,814514000.0,670552000.0,,147534462.0,7303365000.0,9050468000.0,-5971000.0,,2247822000.0,4921441000.0,,22191597000.0,,3626801000.0,726164000.0,31242065000.0,670552000.0,,,9551187000.0,760123000.0,149919704.0,757474000.0,3246178000.0,,1675000.0,4.84,,906403000.0,735241000.0,15864655000.0,103330000.0,,380623000.0,,,294087000.0,2106844000.0,21476535000.0,37500000.0,3298113000.0,3925118000.0,,,,,,,,,
2018-12-31,2.78,2445245000.0,541857000.0,1099945000.0,,19000.0,6975088000.0,2387478000.0,,1333362000.0,93439000.0,,,1568000.0,,-645525000.0,1333362000.0,,-40622000.0,887558000.0,,,75615000.0,,493524000.0,,812794000.0,706375000.0,,147779497.0,7284898000.0,9517934000.0,439514000.0,,2229184000.0,4587610000.0,,22312911000.0,,3609311000.0,410936000.0,31830845000.0,706375000.0,,,9514082000.0,445487000.0,149352756.0,448418000.0,3151620000.0,,1675000.0,2.76,,917443000.0,878368000.0,15874220000.0,-176413000.0,68409000.0,457691000.0,,,283112000.0,1951721000.0,22020576000.0,,3365906000.0,3813502000.0,,,,,,,,,
2019-03-31,4.7,2450095000.0,835645000.0,1057756000.0,,19000.0,6847898000.0,2556108000.0,,1604974000.0,106109000.0,,,286345000.0,,,1604974000.0,,-45803000.0,969661000.0,,,124267000.0,,494977000.0,,723851000.0,281307000.0,,148345276.0,7368789000.0,9503444000.0,1171364000.0,,2414897000.0,4291790000.0,,23420220000.0,,3028253000.0,698150000.0,32923664000.0,281307000.0,,,9783686000.0,731850000.0,150125284.0,729536000.0,2731402000.0,,1675000.0,4.66,,934117000.0,802287000.0,15897711000.0,545876000.0,,296851000.0,,,323679000.0,1955118000.0,22840296000.0,,4324564000.0,4068593000.0,,,,,,,,,
2019-06-30,28.12,2732465000.0,4672255000.0,1001742000.0,,19000.0,8171765000.0,1659434000.0,,1559441000.0,461328000.0,,,,,,1559441000.0,,-20463000.0,1076499000.0,,,,,482021000.0,,38000000.0,967811000.0,,148622736.0,7297561000.0,10314251000.0,5384138000.0,,2759034000.0,6512331000.0,,27208181000.0,,4134739000.0,4178718000.0,37522432000.0,967811000.0,,,10056595000.0,4212774000.0,150494282.0,4210927000.0,3700276000.0,,,27.76,,1099248000.0,930818000.0,15897711000.0,3696033000.0,,434463000.0,,,598641000.0,2250444000.0,27152692000.0,,8192257000.0,4226052000.0,,,,,,,,,
2019-09-30,5.3,2894647000.0,942419000.0,945993000.0,,19000.0,9422373000.0,1700175000.0,,1573895000.0,108775000.0,,,,,,1573895000.0,,70023000.0,1171578000.0,,,,,520919000.0,,118000.0,862242000.0,,149111175.0,7706296000.0,12460395000.0,6217579000.0,,4334038000.0,7722198000.0,,28146967000.0,,4257997000.0,791580000.0,40607362000.0,862242000.0,,,12040334000.0,833441000.0,150498857.0,833644000.0,3756889000.0,,,5.26,,1233226000.0,1076696000.0,15897711000.0,68954000.0,,501108000.0,,,594912000.0,2373728000.0,28152153000.0,,8908412000.0,4279708000.0,,,,,,,,,
