date,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyCurrentLiabilities,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyBasicEPS,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyCashAndCashEquivalents,quarterlyBasicAverageShares,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyInventory,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2016-06-30,75644000,-1000,27781000,83474000,,9168000,13371000,-95174000,-61205000,-10023000,1439000.0,1924237000.0,-37086000,258510000.0,47022000,445274000,434021000.0,1861211000.0,,1516733000.0,-2336000,148994000.0,8040000.0,213048000.0,285200000,106960000.0,682112000.0,10300000,1665727000.0,160074000,0.21439,13371000,21505000,757658000.0,1500000,-422017000.0,-60218000,-1056000,9168000.0,63219600.0,9695000.0,9168000.0,-956000,113052000,174739000.0,25582000.0,-13934000,46040000.0,-3412000,-52544000,,-47553000,15458000,1439194000.0,20449000,-83076000,17731000.0,0.204645,-77770000,2268474000.0,2702495000.0,64400474.0,92244000,103624000.0,25617000,20500000.0,1320000.0,-1981000.0,,,,,,,,,
2016-09-30,64194000,-1100000,16306000,129462000,-8676000.0,31643000,44820000,-58295000,-5982000,1046000,46259000.0,1935303000.0,80747000,267316000.0,89937000,529437000,491098000.0,1908677000.0,,1515381000.0,10876000,152606000.0,8353000.0,247175000.0,335879000,108711000.0,774638000.0,14130000,1667987000.0,193558000,0.594445,44820000,61106000,760448000.0,0,-452186000.0,-50578000,1309000,31643000.0,75215851.0,16869000.0,31643000.0,-2249000,103621000,164875000.0,25205000.0,-3823000,47796000.0,-30085000,-30276000,,-34799000,111023000,1456491000.0,62415000,22475000,21907000.0,0.594445,-25745000,2289940000.0,2781038000.0,75365990.0,9168000,113329000.0,25273000,6500000.0,1043000.0,-2865000.0,,,,,,,,,
2016-12-31,58654000,-311000,3817000,76339000,-3985000.0,143392000,-290000,-34966000,105031000,405000,19028000.0,1921427000.0,128802000,239288000.0,35173000,422973000,483698000.0,1931006000.0,,1514456000.0,6775000,167683000.0,12800000.0,162377000.0,274103000,111605000.0,842044000.0,-29563000,1682139000.0,148870000,-0.003277,-290000,6049000,781824000.0,1421000,-484554000.0,-6448000,2614000,143392000.0,88498518.0,15456000.0,143392000.0,-1441000,113697000,157679000.0,24576000.0,-2826000,47001000.0,-13364000,-31538000,,-5495000,160340000,1444367000.0,8663000,111749000,24162000.0,-0.003277,83745000,2297768000.0,2781466000.0,88498518.0,31643000,81565000.0,25069000,6500000.0,961000.0,-2249000.0,,,,,,,,,
2017-03-31,58468000,868000,4748000,11026000,-79000.0,156107000,-52444000,-158090000,-35371000,-2354000,-33416000.0,1924143000.0,-96595000,243322000.0,-31511000,284277000,524913000.0,2046813000.0,,1513057000.0,-24677000,167764000.0,12038000.0,157637000.0,217572000,75610000.0,1034619000.0,4169000,1680821000.0,66705000,-0.493097,-52444000,-55108000,848034000.0,974000,-518554000.0,-3566000,-2178000,156107000.0,106644064.0,12860000.0,156107000.0,-616000,98216000,186998000.0,17685000.0,-17711000,52972000.0,216244000,-51056000,237600000.0,-112333000,-45539000,1528259000.0,-57286000,12715000,17852000.0,-0.493097,13847000,2446950000.0,2971863000.0,106644064.0,143392000,105390000.0,24969000,6500000.0,1065000.0,-1186000.0,,,,,,,,,
2017-06-30,58086000,-73000,4676000,126548000,0.0,353063000,50000000,-155574000,-47782000,2728000,16584000.0,2252219000.0,-1344000,277171000.0,83539000,524093000,825059000.0,2110249000.0,,1807713000.0,5405000,167335000.0,12352000.0,247546000.0,335904000,119260000.0,1099528000.0,24381000,1975048000.0,188189000,0.463511,50000000,52088000,918511000.0,-837000,-554433000.0,-5722000,3435000,353063000.0,108395091.0,16873000.0,353063000.0,-2030000,104650000,182886000.0,17344000.0,-524000,48438000.0,295754000,-58032000,0.0,-100791000,56688000,1555816000.0,55523000,196956000,17721000.0,0.453649,-82386000,2540109000.0,3365168000.0,109419612.0,156107000,116817000.0,25986000,6500000.0,1076000.0,2273000.0,,,,,,,,,
2017-09-30,59175000,-1565000,4724000,-322735000,-30000.0,287082000,79052000,-191821000,-16186000,4394000,95636000.0,2775428000.0,82894000,315123000.0,-372723000,634181000,815342000.0,2212209000.0,,1807064000.0,6437000,104356000.0,11669000.0,295491000.0,409545000,130502000.0,1201560000.0,9807000,2460305000.0,224636000,0.719921,79052000,82075000,1012771000.0,45000,-592086000.0,-3599000,-483584000,287082000.0,109536391.0,18043000.0,287082000.0,135000,597359000,181784000.0,16995000.0,7639000,50068000.0,4010000,-38390000,0.0,-158355000,121284000,1620123000.0,-401509000,-65981000,25153000.0,0.710059,-30422000,3177450000.0,3992792000.0,110833659.0,353063000,134925000.0,28921000,6500000.0,1085000.0,6688000.0,,,,,,,,,
2017-12-31,66941000,2267000,6992000,338755000,-1865000.0,383556000,43010000,-46990000,346858000,-293987000,95833000.0,2515612000.0,113082000,249975000.0,290826000,490024000,783601000.0,2247265000.0,,1810833000.0,-5774000,123464000.0,7764000.0,198330000.0,318756000,116629000.0,1258543000.0,-32165000,2265637000.0,171268000,0.39,43010000,44510000,1036320000.0,-653000,-631841000.0,-3551000,213099000,383556000.0,110128357.0,15750000.0,383556000.0,81000,-119558000,184439000.0,16833000.0,-32498000,51063000.0,-16253000,-46668000,0.0,-3451000,159750000,1615424000.0,257609000,96474000,14087000.0,0.38,95241000,3003732000.0,3787333000.0,111723427.0,287082000,98744000.0,28673000,4765000.0,1104000.0,7386000.0,,,,,,,,,
2018-03-31,69861000,1579000,8507000,3088000,-9000.0,178293000,-53729000,-154210000,-29614000,-17373000,42104000.0,2521233000.0,-100872000,281263000.0,-50259000,314421000,611552000.0,2346641000.0,9553000.0,1808535000.0,-35248000,99273000.0,13742000.0,185245000.0,247861000,80043000.0,1224949000.0,-7742000,2239970000.0,66560000,-0.49,-53729000,-55948000,1109448000.0,1500000,-673761000.0,-3972000,-16706000,178293000.0,110659098.0,15131000.0,178293000.0,6389000,116819000,226750000.0,16621000.0,-10782000,48350000.0,712000,-49505000,0.0,-113993000,-51367000,1672880000.0,-72654000,-205263000,37101000.0,-0.49,27979000,3145028000.0,3756580000.0,110659098.0,383556000,110348000.0,28784000,6354000.0,1116000.0,4823000.0,,,,,,,,,
2018-06-30,61657000,-1417000,5683000,127777000,-60000.0,50404000,35509000,-115849000,-83541000,10439000,77613000.0,2546485000.0,-64503000,299490000.0,78570000,600890000,621323000.0,2444869000.0,,1807290000.0,-9180000,106677000.0,12381000.0,268819000.0,410932000,118494000.0,1266446000.0,31654000,2246995000.0,189958000,0.32,35509000,36913000,1114967000.0,-816000,-711216000.0,-6800000,12190000,50404000.0,111564190.0,14724000.0,50404000.0,-375000,111388000,245238000.0,16294000.0,-22896000,50413000.0,-29616000,-82152000,0.0,-39203000,17649000,1733653000.0,49103000,-127889000,15634000.0,0.32,-85742000,3202933000.0,3824256000.0,112583321.0,178293000,144284000.0,28943000,6354000.0,1117000.0,4645000.0,,,,,,,,,
2018-09-30,59457000,711000,5643000,177913000,0.0,64930000,71289000,-81937000,-30096000,19511000,148902000.0,2537464000.0,52180000,286416000.0,109427000,694661000,659680000.0,2500075000.0,,1808190000.0,18401000,109706000.0,15690000.0,306310000.0,471803000,84668000.0,1344860000.0,1066000,2251048000.0,222858000,0.64,71289000,73992000,1147588000.0,1976000,-748265000.0,-68255000,20765000,64930000.0,111641344.0,13072000.0,64930000.0,14219000,113431000,229761000.0,18892000.0,-4106000,50832000.0,-7861000,-52095000,0.0,-57698000,104275000,1751810000.0,94757000,14526000,14148000.0,0.64,-32718000,3236654000.0,3896334000.0,111940067.0,50404000,140174000.0,28889000,4765000.0,1117000.0,6134000.0,,,,,,,,,
2018-12-31,62634000,1145000,5545000,109050000,0.0,128508000,-19163000,-67703000,52724000,44913000,129739000.0,2515496000.0,101878000,260657000.0,51650000,491030000,591540000.0,2574383000.0,,1807502000.0,14429000,137663000.0,16061000.0,214518000.0,345183000,100491000.0,1327741000.0,-38381000,2254839000.0,145847000,-0.17,-19163000,-18627000,1192028000.0,1144000,-794251000.0,-6015000,43498000,128508000.0,111656069.0,11840000.0,128508000.0,3153000,94197000,213851000.0,18460000.0,-1213000,50084000.0,-7228000,-36933000,0.0,-35123000,138811000,1780132000.0,24871000,63578000,34270000.0,-0.17,84685000,3266101000.0,3857641000.0,111656069.0,64930000,107702000.0,29932000,6354000.0,1117000.0,2681000.0,,,,,,,,,
2019-03-31,67610000,2897000,5906000,-12394000,0.0,64837000,-68772000,-62411000,4746000,-28028000,60967000.0,2582886000.0,-92864000,259260000.0,-57363000,332639000,510610000.0,2691304000.0,,1855346000.0,-705000,131347000.0,19245000.0,200994000.0,267004000,69193000.0,1266856000.0,-5431000,2323626000.0,65635000,-0.62,-68772000,-71501000,1195262000.0,-178000,-843444000.0,-256333000,-28037000,64837000.0,111811679.0,10656000.0,64837000.0,2495000,122998000,214038000.0,4535000.0,-15208000,49990000.0,29225000,-62188000,,-2842000,-30676000,1847860000.0,-99538000,-63671000,37422000.0,-0.62,20118000,3350751000.0,3861361000.0,111811679.0,128508000,101843000.0,30105000,4765000.0,1121000.0,4265000.0,,,,,,,,,
2019-06-30,60961000,-167000,4699000,138041000,0.0,67658000,36410000,-38434000,-63117000,15478000,97377000.0,2632085000.0,3243000,304825000.0,80812000,600891000,628387000.0,2723435000.0,,1854189000.0,5913000,136724000.0,12618000.0,299706000.0,405493000,83116000.0,1309511000.0,35329000,2327260000.0,195398000,0.32,36410000,37990000,1198177000.0,-261000,-887441000.0,-4692000,16707000,67658000.0,112070009.0,10733000.0,67658000.0,3286000,114586000,208136000.0,4424000.0,-698000,50785000.0,-5372000,-43381000,,0,46624000,1835994000.0,54697000,2821000,35470000.0,0.32,-99438000,3326469000.0,3954856000.0,112182555.0,64837000,131391000.0,29401000,4765000.0,1122000.0,5791000.0,,,,,,,,,
2019-09-30,62344000,-1489000,4819000,188771000,0.0,182589000,55757000,-28931000,-10880000,45286000,153134000.0,2655336000.0,113702000,332072000.0,131632000,732082000,778416000.0,2737855000.0,,1853414000.0,11088000,134423000.0,12037000.0,340556000.0,482979000,84451000.0,1371436000.0,22525000,2323264000.0,249103000,0.5,55757000,58237000,1198496000.0,232000,-929563000.0,-3881000,45602000,182589000.0,112179137.0,12476000.0,182589000.0,1124000,117471000,197015000.0,11506000.0,-1907000,51772000.0,-4013000,-34193000,,0,147895000,1808292000.0,103839000,114931000,34398000.0,0.48,-41876000,3263698000.0,4042114000.0,115505122.0,67658000,152232000.0,28917000,6354000.0,1124000.0,4938000.0,,,,,,,,,
