date,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyOperatingIncome,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyBasicEPS,quarterlyGrossPPE,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyDilutedAverageShares,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyDilutedEPS,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
2003-12-31,237500000,,51200000,41200000,,,399100000,-12200000,30100000,38500000,87500000,,-11500000.0,,265300000,,161600000,0.07,720400000.0,4400000,-11800000,119100000.0,44800000,150000000,200000.0,463800000,91600000,,147400000.0,46300000,-12700000,40600000,16200000,30100000,28300000,4100000.0,237500000,,461900000.0,28900000.0,-12400000,800000.0,-79500000,3000000,0.07,11800000,-152900000.0,90400000,73900000,0.0,-100000,31700000,-60300000,,567500000,22300000,38300000,5700000.0,10000000,,,458200000.0,862900000,3300000.0,597600000,19300000,38500000,38500000,10000000,,65600000,245100000.0,-32500000,98800000,,,
2004-03-31,251300000,,45000000,34800000,,,466500000,-7300000,32000000,72300000,89700000,,0.0,,365200000,,169300000,,772100000.0,4800000,-8300000,151100000.0,50800000,161600000,200000.0,504700000,118400000,,147400000.0,54900000,-12600000,46300000,84600000,32000000,31300000,37800000.0,297200000,,,28400000.0,-18300000,400000.0,400000,2900000,,23900000,-205000000.0,103200000,65200000,0.0,4800000,39900000,33300000,,567100000,11600000,39200000,6500000.0,7900000,,,,971200000,3000000.0,606000000,21600000,72300000,72300000,10200000,,78500000,245200000.0,-25600000,38500000,,,
2004-06-30,306100000,,67200000,58300000,,,464500000,-30300000,36300000,112900000,111300000,,,,362400000,,181700000,0.08,789800000.0,-800000,25200000,173700000.0,38600000,194800000,0.0,517200000,117200000,,147400000.0,53000000,9700000,48000000,67400000,36300000,37100000,1600000.0,282800000,,460800000.0,28100000.0,-30300000,400000.0,400000,2800000,0.08,20200000,-205000000.0,91300000,68000000,0.0,0,71000000,40600000,,584800000,28500000,55800000,5000000.0,18700000,,,458600000.0,981700000,3000000.0,619300000,40700000,112900000,112900000,8900000,,86500000,245300000.0,-36800000,72300000,,,
2004-09-30,300900000,,49000000,40000000,,,474200000,-50700000,24800000,114800000,97100000,,,,367700000,,192200000,0.05,834500000.0,4300000,23800000,198500000.0,45400000,203800000,100000.0,555000000,112400000,,147400000.0,57100000,3000000,51800000,64600000,24800000,24700000,9200000.0,282000000,,460400000.0,28600000.0,-50800000,300000.0,-13400000,1900000,0.05,18100000,-205000000.0,89500000,70000000,-13700000.0,-1900000,65900000,1900000,,629500000,17500000,36800000,5300000.0,12100000,,,458700000.0,1029200000,3100000.0,661500000,15100000,114800000,114800000,9000000,,100700000,245400000.0,-24700000,112900000,,,
2004-12-31,287000000,,42000000,33300000,,,452000000,-41100000,19500000,73500000,96700000,,0.0,,329300000,,180000000,0.008,875200000.0,9800000,-24500000,218000000.0,41700000,190300000,300000.0,583100000,106300000,,121700000.0,63400000,-1100000,57400000,70700000,19500000,19800000,14400000.0,272000000,,461100000.0,38200000.0,-44800000,700000.0,-16400000,1300000,0.008,17800000,-205000000.0,93300000,79600000,-17100000.0,500000,15000000,-41300000,,670200000,15000000,33000000,6100000.0,13200000,,,458900000.0,1035100000,3200000.0,705800000,-29800000,73500000,73500000,8700000,,85100000,245600000.0,-17500000,114800000,,,
2005-03-31,316400000,,74300000,64600000,,,464200000,-27100000,46300000,113500000,121300000,,0.0,,378600000,,198400000,,925800000.0,-2200000,7200000,264300000.0,43700000,195100000,200000.0,624700000,127200000,,121700000.0,56700000,-7300000,18000000,66600000,46300000,46300000,0.0,265800000,,,37600000.0,-27300000,1200000.0,1200000,1300000,,9200000,-240100000.0,99900000,77500000,0.0,-33300000,67900000,40000000,,685700000,23100000,64200000,5200000.0,17900000,84900000.0,,,1088900000,3100000.0,710300000,40600000,113500000,28600000,9700000,,94000000,245800000.0,-24800000,73500000,,,
2005-06-30,359400000,,96300000,86900000,,,523800000,-33900000,55900000,161600000,145300000,,,,461400000,,254300000,0.12,940700000.0,7300000,500000,292700000.0,32800000,214100000,100000.0,658700000,139000000,,121700000.0,58400000,-6400000,50700000,67400000,55900000,55900000,17000000.0,269500000,,462700000.0,25700000.0,-34000000,4600000.0,5200000,1700000,0.12,9700000,-240100000.0,104100000,80400000,0.0,-1400000,77200000,48100000,,700600000,91500000,86200000,6300000.0,30300000,,,460600000.0,1182500000,,721100000,43200000,161600000,161600000,9400000,,104300000,247100000.0,-25400000,113500000,,,
2005-09-30,376600000,,89500000,76400000,,,487800000,-38200000,47600000,170900000,137300000,,,,453100000,,218500000,0.1,968000000.0,-1500000,9600000,340300000.0,40400000,239300000,-100000.0,712700000,131900000,,121700000.0,60900000,-5800000,54400000,68100000,47600000,47600000,0.0,269300000,,466800000.0,25700000.0,-41000000,4800000.0,-23100000,2300000,0.1,9600000,-240100000.0,109700000,79500000,-27900000.0,600000,70600000,9300000,,727900000,32100000,75400000,7100000.0,27800000,,,461400000.0,1200500000,,747400000,29600000,170900000,170900000,13100000,,120300000,247900000.0,-25400000,161600000,,,
2005-12-31,362700000,,75700000,64400000,,,472700000,-48800000,40700000,149000000,128700000,,-18300000.0,,429400000,,226000000,0.1,1004400000.0,2500000,12900000,362700000.0,51700000,234000000,0.0,740000000,125100000,,94600000.0,64300000,-5200000,56000000,67700000,40700000,40700000,0.0,246700000,,233400000.0,27100000.0,-48800000,400000.0,-43600000,1100000,0.1,9500000,-240100000.0,114300000,84400000,0.0,0,69300000,-21900000,,764300000,39400000,65200000,8300000.0,24500000,,,231050000.0,1212700000,,783300000,20500000,149000000,149000000,11300000,,107800000,248000000.0,-22700000,170900000,,,
2006-03-31,389800000,,218700000,207200000,,,1350500000,-33100000,-650900000,315100000,139500000,,-100000.0,,656800000,,506000000,,1061000000.0,-4000000,-67000000,-288300000.0,57700000,250300000,8000000.0,94900000,145200000,,,-67700000,-9200000,49500000,764700000,-650900000,-650900000,0.0,844500000,,,302700000.0,-38200000,8900000.0,178000000,2100000,,8200000,-285400000.0,124000000,79800000,100000.0,-745600000,23500000,166100000,,775600000,27800000,208300000,7000000.0,-11000000,290200000.0,,,1445400000,,788600000,-14700000,315100000,24900000,11500000,,117800000,253200000.0,-28800000,149000000,,,
2006-06-30,415500000,,79900000,68900000,,,1239400000,-35500000,35500000,175400000,157700000,,,200000.0,537100000,,351300000,0.08,1087200000.0,9000000,-22000000,-271500000.0,44800000,257800000,0.0,112800000,158000000,,,88800000,-12200000,51700000,801300000,35500000,34600000,0.0,888100000,,466900000.0,137000000.0,-35500000,200000.0,-165500000,5600000,0.08,7900000,-285400000.0,136900000,86800000,0.0,-29600000,60700000,-139700000,,801800000,55000000,66900000,7500000.0,32300000,,,463300000.0,1352200000,,815100000,25200000,175400000,175400000,11000000,,114500000,253200000.0,-28100000,315100000,,,
2006-09-30,411400000,,54200000,41000000,,,1255600000,-25900000,21100000,47300000,155200000,,,75600000.0,426200000,,317600000,0.04,1101500000.0,8400000,-33500000,-250400000.0,46600000,256200000,0.0,140700000,157600000,,,114200000,-4600000,107600000,846400000,21100000,21100000,0.0,938000000,,465100000.0,135000000.0,-25900000,1300000.0,-19200000,200000,0.04,148700000,-285400000.0,142200000,91600000,-18500000.0,0,-83000000,-128100000,,816100000,19500000,42000000,6600000.0,20900000,,,463400000.0,1396300000,,970100000,-108900000,47300000,47300000,13200000,,116500000,253200000.0,-23900000,175400000,,,
2006-12-31,355100000,,32100000,19300000,,,1271400000,-18000000,-8000000,65300000,126300000,,0.0,39200000.0,420900000,,284800000,-0.017264,1110900000.0,2800000,29400000,-281800000.0,48600000,228800000,0.0,138800000,123300000,,,107000000,-8600000,100800000,892700000,-8000000,-8000000,0.0,986600000,,466000000.0,88000000.0,-18000000,13900000.0,-31600000,1500000,-0.017264,158300000,-285400000.0,152800000,93900000,1500000.0,0,67000000,18000000,,825500000,52000000,18000000,6200000.0,26000000,,,463400000.0,1410200000,,989300000,49000000,65300000,65300000,12800000,,96200000,255700000.0,-11300000,47300000,,,
2007-03-31,360900000,,-202100000,-215800000,,,1869400000,-13200000,103100000,34100000,133800000,,-23400000.0,-110500000.0,576600000,,317600000,,1163800000.0,-330600000,-188200000,-178700000.0,47700000,227100000,0.0,258700000,150900000,,105000000.0,349600000,5900000,-75100000,1353000000,103100000,103100000,2700000.0,1551800000,,,83000000.0,-13200000,3100000.0,79900000,4700000,,325100000,-336100000.0,147600000,93800000,100000.0,0,-111800000,-31200000,,827700000,129200000,-220000000,5600000.0,-323100000,,,,2128100000,,1551500000,-125000000,34100000,34100000,13700000,,57700000,251800000.0,5400000,65300000,,,
2007-06-30,424400000,,89200000,75000000,,,2070100000,-16500000,39100000,80600000,166900000,,,32000000.0,621300000,,411000000,0.016,1175700000.0,11700000,36300000,-300700000.0,44700000,257500000,0.0,147700000,168200000,,65000000.0,91900000,16000000,55500000,1500300000,39100000,39100000,2900000.0,1659100000,,469400000.0,60000000.0,-16500000,2200000.0,-60600000,1300000,0.016,423800000,-336100000.0,133600000,93800000,200000.0,-30100000,131500000,46500000,,839600000,180500000,75500000,6300000.0,36400000,,,467400000.0,2217800000,,1596500000,115000000,80600000,80600000,14200000,,125800000,252100000.0,12500000,34100000,,,
2007-09-30,390100000,,58200000,44700000,,,2085500000,-7700000,19100000,33100000,138800000,,,30100000.0,570900000,,388400000,0.04,1175100000.0,19000000,17400000,-281600000.0,45400000,251300000,0.0,112400000,171100000,,30000000.0,94100000,-1400000,58100000,1543200000,19100000,19100000,3000000.0,1697100000,,468300000.0,93000000.0,-7700000,0.0,-119800000,2500000,0.04,442400000,-336100000.0,136200000,123900000,0.0,-28900000,99500000,-47500000,,839000000,99100000,46700000,7100000.0,27600000,,,467200000.0,2197900000,,1627000000,91800000,33100000,33100000,13500000,,150900000,252100000.0,3600000,80600000,,,
2007-12-31,341400000,,39600000,25200000,,,2208500000,-4500000,17100000,69900000,117100000,,-52400000.0,33100000.0,569100000,-149200000.0,367700000,0.04,1135900000.0,-17500000,2400000,-316900000.0,50200000,224300000,0.0,-52600000,131800000,,196500000.0,91900000,-19300000,54300000,1536500000,17100000,17100000,3000000.0,1840800000,,451800000.0,106000000.0,-4500000,900000.0,-21300000,2900000,0.04,444500000,-336100000.0,156200000,107800000,-100000.0,-31200000,48400000,36800000,,799800000,97300000,26000000,6400000.0,8900000,77400000.0,,451300000.0,2155900000,,1586800000,43900000,147300000,69900000,14400000,,114200000,252300000.0,20400000,33100000,,,
2008-03-31,312900000,,-167100000,-181500000,,,2382500000,-9800000,-146900000,35400000,107200000,,-3100000.0,-16500000.0,532900000,-11700000.0,349200000,,1149000000.0,-67200000,25600000,-454500000.0,43900000,205700000,0.0,-202600000,120700000,,174500000.0,288700000,-21900000,60300000,1774600000,-146900000,-146900000,6900000.0,2033300000,,,90000000.0,-9800000,200000.0,-52700000,4400000,,480300000,-392600000.0,179700000,84200000,-100000.0,-220900000,39900000,-34500000,,756400000,141600000,-183700000,7500000.0,-36800000,77700000.0,,,2179900000,,1647000000,30100000,113100000,35400000,14400000,,73700000,219700000.0,16900000,69900000,,,
2008-06-30,365000000,,36900000,22900000,,,2594900000,-3800000,1400000,171300000,124000000,,,42500000.0,642100000,,395800000,0.0,1140800000.0,-6900000,46900000,-487700000.0,28800000,241000000,0.0,-237600000,140600000,,222800000.0,101100000,21200000,53300000,1850300000,1400000,1400000,7200000.0,2199100000,,432200000.0,101700000.0,-3800000,100000.0,60100000,2600000,0.0,505100000,-392600000.0,159000000,126000000,0.0,-40500000,94800000,135900000,,748200000,172900000,21800000,7300000.0,20400000,82300000.0,,432200000.0,2357300000,,1715200000,91000000,253600000,171300000,14000000,,92400000,219700000.0,13000000,35400000,,,
2008-09-30,341900000,,206800000,192200000,,,2160100000,-5600000,153500000,91900000,113200000,,,-139200000.0,556100000,,479200000,0.355,1115800000.0,9800000,-43700000,-334200000.0,40700000,228700000,0.0,-116400000,124900000,,161500000.0,-79000000,500000,54700000,1432000000,153500000,153500000,6000000.0,1680900000,,433000000.0,104700000.0,-5600000,0.0,-92900000,-1800000,0.355,423900000,-392600000.0,152400000,87400000,-34600000.0,140800000,-1500000,-79400000,,723200000,224800000,192500000,7100000.0,39000000,66700000.0,,433000000.0,2043700000,,1487600000,-7100000,158600000,91900000,14600000,,109000000,219700000.0,-20500000,171300000,,,
2008-12-31,254400000,,133300000,118900000,,,1864500000,-7400000,111000000,58400000,82400000,61200000.0,0.0,-96300000.0,448400000,,388200000,0.26,,-29500000,-71000000,-223200000.0,39200000,172000000,0.0,-37500000,88900000,,201000000.0,-36500000,7000000,50800000,1112700000,111000000,111000000,5200000.0,1476300000,,433500000.0,97200000.0,-7400000,0.0,32000000,2500000,0.26,172400000,,145200000,88600000,0.0,0,-68000000,-33500000,,707500000,84700000,117800000,6300000.0,6800000,54700000.0,,432200000.0,1827000000,,1378600000,-75400000,113100000,58400000,13000000,,105900000,219700000.0,-54200000,91900000,,,
2009-03-31,241300000,2000000.0,-157700000,-160400000,,,2007400000,-9300000,-129600000,42400000,69200000,1400000.0,0.0,176300000.0,464700000,0.0,315000000,,1149800000.0,-31600000,-117200000,-352800000.0,42900000,172100000,0.0,-108700000,111400000,,230700000.0,229600000,11600000,50000000,1269600000,-129600000,-129600000,600000.0,1692400000,,,93300000.0,-9300000,0.0,25800000,3800000,,248900000,-449000000.0,128900000,100800000,0.0,-14800000,-70500000,-16000000,,700800000,88300000,-176300000,3100000.0,-46700000,52900000.0,,,1898700000,,1434000000,-79800000,95300000,42400000,14800000,,89100000,219200000.0,2200000,58400000,,,
2009-06-30,284500000,2000000.0,-36500000,-57100000,,,2192800000,-9700000,-77900000,42700000,110400000,1300000.0,,119790000.0,471300000,,473600000,-0.18,,23900000,-390000,-430700000.0,31000000,174100000,0.0,-151200000,123100000,,25000000.0,167500000,-10900000,41400000,1481000000,-77900000,-77900000,700000.0,1719200000,-68000000.0,432300000.0,246000000.0,-9700000,0.0,-53000000,1500000,-0.18,210700000,,129300000,106400000,0.0,4800000,82400000,300000,,706600000,106800000,-53000000,6300000.0,24900000,59100000.0,,432300000.0,2041600000,,1570300000,72700000,101800000,42700000,15000000,,88500000,219200000.0,35600000,42400000,,,
2009-09-30,304200000,2000000.0,14100000,-800000,,,2273700000,-11200000,-19600000,45800000,117600000,3600000.0,,62910000.0,488200000,,458700000,-0.05,,200000,9390000,-450300000.0,41900000,186600000,0.0,-153000000,127600000,,18000000.0,118400000,15800000,49000000,1667300000,-19600000,-19600000,700000.0,1815000000,-59000000.0,432500000.0,194000000.0,-11200000,2000000.0,-57000000,1500000,-0.05,325200000,,128400000,109600000,0.0,-1000000,69700000,3100000,,709500000,122800000,-2200000,6700000.0,17400000,43500000.0,,432500000.0,2120700000,,1632500000,58500000,89300000,45800000,14800000,,96400000,219700000.0,49400000,42700000,,,
2009-12-31,261000000,1600000.0,44100000,25100000,,,2262000000,-14300000,14900000,51200000,96700000,9500000.0,0.0,17300000.0,458200000,,394100000,0.03,1204600000.0,21200000,-24300000,-435400000.0,44600000,164300000,0.0,-131100000,114700000,,53000000.0,71600000,-19300000,46900000,1583500000,14900000,14900000,27900000.0,1867900000,-115000000.0,438800000.0,139000000.0,-14300000,6300000.0,-12800000,1800000,0.03,267700000,-494600000.0,133300000,116400000,900000.0,2200000,46500000,5400000,,710000000,126200000,26500000,7200000.0,11600000,26900000.0,,433300000.0,2130900000,,1672700000,32200000,78100000,51200000,15800000,,74800000,221000000.0,47600000,45800000,,,
2010-03-31,274900000,2100000.0,29000000,11800000,,,2296700000,-15300000,-2300000,19200000,91400000,34900000.0,0.0,24300000.0,464500000,,414100000,,1221300000.0,-26100000,-28700000,-437700000.0,48800000,183500000,0.0,-117900000,155000000,,59000000.0,79600000,2200000,48500000,1593100000,-2300000,-2300000,100000.0,1882600000,-202000000.0,,95000000.0,-15300000,1800000.0,-36200000,2900000,,296600000,-510700000.0,149100000,113500000,0.0,300000,-15500000,-32000000,,710600000,134500000,10000000,6900000.0,12300000,13300000.0,,,2178800000,,1714300000,-30800000,32500000,19200000,16100000,,100900000,221100000.0,59200000,51200000,,,
2010-06-30,318400000,1800000.0,138700000,127000000,,,2158700000,-13300000,104900000,43100000,116800000,500000.0,,-63100000.0,502500000,,294500000,0.24,1229200000.0,4900000,-88900000,-332800000.0,34200000,201600000,0.0,-26700000,119100000,,170000000.0,-10200000,-8000000,45900000,1468100000,104900000,104900000,100000.0,1864200000,-315000000.0,438600000.0,45000000.0,-13500000,100000.0,61100000,1800000,0.24,278800000,-526100000.0,154900000,115900000,0.0,-4400000,-25000000,23900000,,703100000,121900000,121500000,7000000.0,16600000,4700000.0,,434700000.0,2132000000,,1629500000,-38500000,47800000,43100000,15400000,,92900000,221100000.0,43600000,19200000,,,
