date,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyChangeInAccountPayable,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
2001-09-30,46100000.0,3517000.0,-3827000,0.0,0.1,6136000.0,-22091000,,894000,,-2567000.0,24892000,6704000,-129568000,-1026000,-4552000,,819708000,3946000,,21065000,76437000.0,20551000,199500000.0,1060050000,1019208000,0.11,,,11322000.0,0,-1110000,53931000.0,47855000,6569000,27120000,,,8498000,-3827000,29530000,446648000,-2136000,,-21386000.0,949276000,,-4700000.0,-125085000,28062000,40842000,543000,83001000.0,,3900000.0,18325000,26042000.0,,613402000,22961000,,8498000,259000000.0,159586000.0,2410000,8498000,0.0,14800000.0,0,,418586000.0,,,,,,
2001-12-31,184616000.0,2888000.0,-3772000,2577000.0,,7800000.0,201432000,,-154000,,0.0,31260000,7687000,-189489000,6700000,-2808000,,1034312000,6771000,,27488000,,20497000,222670000.0,1297552000,1259559000,,4564000.0,4564000.0,16807000.0,0,-2136000,118306000.0,49766000,30333000,50830000,,,9579000,-225992000,33111000,528494000,4564000,,-20338000.0,1223801000,,-3000000.0,-139200000,35494000,37993000,4184000,,,3200000.0,16655000,24179000.0,,769058000,2778000,,9579000,307200000.0,185800000.0,2801000,9579000,0.0,9250000.0,-222220000,,493000000.0,,,,,,
2002-03-31,3497000.0,3613000.0,-2948000,0.0,0.17,11900000.0,-16719000,,-147000,,-1206000.0,21149000,7880000,-189489000,1482000,-3300000,,1023192000,13454000,,18201000,89448000.0,16645000,222670000.0,1290479000,1245862000,0.19,6046000.0,6046000.0,14280000.0,0,4564000,101407000.0,56540000,17214000,33859000,,,16754000,-2948000,36945000,526838000,6046000,,-23288000.0,1212681000,,-3600000.0,-148114000,37260000,44617000,-8650000,101354000.0,,3200000.0,19595000,29321000.0,,763641000,19731000,,16754000,307378000.0,182200000.0,3086000,16754000,0.0,9250000.0,0,,489578000.0,,,,,,
2002-06-30,3019000.0,3249000.0,-5827000,0.0,0.18,65000000.0,-28690000,,-80000,,1206000.0,32889000,8019000,-189489000,-1628000,-6700000,,1012669000,11901000,,27062000,91250000.0,16350000,222670000.0,1266889000,1235339000,0.2,4418000.0,4418000.0,6436000.0,0,6046000,90004000.0,55292000,15230000,31580000,,,18601000,-5827000,34269000,507484000,4418000,,18465000.0,1202158000,,-7000000.0,-155369000,82284000,31550000,4938000,101384000.0,,2829000.0,21023000,24150000.0,,759405000,19039000,,18601000,250000000.0,175200000.0,2689000,18601000,0.0,2982000.0,0,,425200000.0,,,,,,
2002-09-30,741000.0,4397000.0,-7305000,0.0,0.12,,-25782000,,-104000,,-5865000.0,28260000,10975000,-189489000,893000,-7000000,,996809000,5190000,,20955000,92629000.0,18428000,222670000.0,1252640000,1219479000,0.13,5311000.0,5311000.0,12483000.0,0,4418000,75668000.0,54719000,9691000,28119000,,,12190000,-1585000,31191000,506349000,5311000,,-66468000.0,1186298000,,-7000000.0,-169224000,23458000,33161000,4642000,101932000.0,,,23528000,24868000.0,,746291000,21500000,,12190000,314691000.0,168200000.0,2772000,12190000,0.0,2982000.0,5720000,,482891000.0,,,,,,
2002-12-31,372000.0,4576000.0,-12383000,0.0,,3300000.0,-15284000,,-494000,,-2342000.0,24680000,8189000,-256051000,-1052000,-2901000,,998341000,9090000,,12297000,,16550000,222670000.0,1255562000,1221011000,,4259000.0,4259000.0,21883000.0,0,5311000,73873000.0,57916000,14160000,30710000,,,11991000,-10448000,33090000,522945000,4259000,,-24495000.0,1254392000,,-4100000.0,-183270000,35886000,34551000,-169000,,,2514000.0,24826000,26383000.0,,732617000,18930000,,11991000,322959000.0,164100000.0,3280000,11991000,0.0,3909000.0,1935000,,487059000.0,,,,,,
2003-03-31,4826000.0,4682000.0,-1684000,0.0,0.13,6650000.0,10675000,,-115000,,0.0,27764000,8250000,-256051000,1438000,-5050000,,1017580000,8486000,,26080000,93966000.0,17683000,222670000.0,1274914000,1240250000,0.14,5697000.0,5697000.0,22905000.0,0,4259000,71744000.0,58216000,13283000,30966000,,,13536000,-37001000,33905000,550045000,5697000,,-24605000.0,1273631000,,-5300000.0,-195844000,40438000,34664000,1845000,101491000.0,,2633000.0,24311000,24808000.0,,724869000,20622000,,13536000,350807000.0,158800000.0,2939000,13536000,0.0,4159000.0,-35317000,,509607000.0,,,,,,
2003-06-30,10466000.0,4977000.0,-2428000,0.0,0.14,8905000.0,201863000,,-113000,,21727000.0,11678000,9791000,-256051000,-3848000,-8250000,,1140642000,7003000,,9250000,95420000.0,17796000,362670000.0,1538673000,1503312000,0.14,1849000.0,1849000.0,14064000.0,0,5697000,484436000.0,57030000,12093000,29889000,,,15253000,-217389000,33572000,604129000,1849000,,,1396693000,,-8500000.0,-417098000,32760000,35361000,-12871000,104883000.0,,,23458000,31415000.0,,934544000,21479000,,15253000,356069000.0,215300000.0,3683000,15253000,0.0,2097000.0,-26761000,,571369000.0,,,,,,
2003-09-30,10378000.0,5131000.0,-196923000,0.0,0.12,,-11079000,,630000,,-712000.0,40798000,8531000,-256051000,1335000,-7400000,,1148814000,10193000,,-156125000,96838000.0,20172000,361732000.0,1546343000,1510546000,0.12,3184000.0,3184000.0,27710000.0,0,1849000,269956000.0,61562000,14694000,34866000,,,16963000,-28384000,38497000,615515000,3184000,,,1404865000,,-7400000.0,-221331000,37746000,35797000,11063000,120871000.0,,1505000.0,23065000,30163000.0,,930828000,23803000,,16963000,369869000.0,207900000.0,3001000,16963000,0.0,2450000.0,-19661000,,577769000.0,,,,,,
2003-12-31,8626000.0,5501000.0,184477000,0.0,,134000000.0,18803000,,-1610000,,-10344000.0,23657000,8642000,-330411000,82000,-5146000,,1175084000,11362000,,208134000,,20671000,362428000.0,1574496000,1537512000,,3266000.0,3266000.0,21066000.0,0,3184000,-203742000.0,66266000,18473000,39144000,,,17638000,-42378000,40949000,648370000,3266000,,-25721000.0,1505495000,,-7300000.0,233736000,163708000,36984000,-6225000,,,,25317000,33718000.0,,926126000,22476000,,17638000,282111000.0,200600000.0,2935000,17638000,1951000.0,0.0,-38419000,,484662000.0,,,,,,
2004-03-31,8813000.0,5367000.0,-4670000,0.0,0.19,146200000.0,5615000,,-177000,,4432000.0,30176000,8760000,-330411000,-308000,-12290000,,1188021000,11302000,,25506000,99764000.0,21763000,361466000.0,1584713000,1549487000,0.19,2958000.0,2958000.0,14399000.0,0,3266000,-235808000.0,69026000,16846000,38609000,,,23592000,-36099000,42485000,663785000,2958000,,-26070000.0,1518432000,,-12800000.0,245913000,169359000,35226000,-3230000,122688000.0,,,26541000,32268000.0,,920928000,25639000,,23592000,288910000.0,187800000.0,3876000,23592000,17716000.0,0.0,-31429000,,494426000.0,,,,,,
2004-06-30,7545000.0,5596000.0,-6315000,0.0,0.11,8776000.0,-34795000,,736000,,-14510000.0,36554000,8829000,-330411000,-7734000,-8000000,,1176211000,8889000,,30239000,100647000.0,21901000,364111000.0,1567275000,1540322000,0.11,,,6672000.0,0,2958000,-263201000.0,67283000,13239000,35140000,,,16379000,-9493000,39556000,653886000,-4776000,,-26351000.0,1506622000,,-8000000.0,257249000,24277000,26953000,5113000,123541000.0,,,27727000,26953000.0,,913389000,26317000,,16379000,431899000.0,179800000.0,3906000,16379000,17910000.0,0.0,-3178000,,629609000.0,,,,,,
2004-09-30,7564000.0,6710000.0,-4739000,0.0,0.15,2246000.0,-18572000,,510000,,-129522000.0,29516000,8914000,-330411000,2967000,-6300000,,1165432000,14182000,,24777000,101502000.0,19802000,363306000.0,1554813000,1528738000,0.15,,,11178000.0,0,-4776000,-292969000.0,70142000,20382000,40184000,,,19972000,-7977000,44661000,645393000,-1809000,,-26560000.0,1495843000,,-6300000.0,272361000,22338000,26075000,-2409000,124360000.0,,,25481000,26075000.0,,909420000,24279000,,19972000,432082000.0,173500000.0,3967000,19972000,17473000.0,0.0,-3238000,,623055000.0,,,,,,
2004-12-31,8858000.0,26348000.0,-12151000,0.0,,6493000.0,-9893000,,-1515000,,139600000.0,23919000,9007000,-413102000,-1162000,-3989000,,1160613000,-5039000,,11768000,,21181000,361855000.0,1548900000,1522468000,,,,11668000.0,0,-1809000,,71840000,22824000,44005000,,,480000,-15188000,46561000,893850000,-2971000,-1429000.0,-26846000.0,1573715000,,-6200000.0,-286852000,27168000,26432000,9164000,,,,25279000,26432000.0,,655050000,23737000,,480000,682529000.0,167300000.0,5038000,480000,16853000.0,0.0,-3037000,,866682000.0,,,,,,
2005-03-31,7745000.0,11307000.0,-7922000,0.0,0.14,16681000.0,-23781000,,0,,0.0,36046000,9111000,-413102000,4155000,-6944000,,1152103000,7609000,,28124000,103776306.0,20568000,360789000.0,1540971000,1512892000,0.14,1184000.0,1184000.0,20368000.0,0,-2971000,,69103000,18916000,39484000,,,14553000,-8110000,44130000,885279000,1184000,-1167000.0,-27138000.0,1565205000,,-7344000.0,302288000,46160000,28079000,8237000,125376306.0,,,24973000,26895000.0,,655692000,25214000,,14553000,659396000.0,159956000.0,4646000,14553000,19767000.0,0.0,-188000,,839119000.0,,,,,,
2005-06-30,7823000.0,11094000.0,-10114000,0.0,0.14,24759000.0,-22896000,,1964000,,0.0,25225000,9183000,-413102000,-7971000,-6848000,,1142056000,7525000,,15111000,104948558.0,21333000,359716000.0,1526340000,1501772000,0.14,24568000.0,24568000.0,14694000.0,0,1184000,,68215000,16655000,37988000,,,14373000,-10300000,43452000,873784000,-6787000,-1167000.0,-27401000.0,1555158000,,-7344000.0,-312641000,48636000,24568000,-3347000,104948558.0,,,24763000,,,652556000,26797000,,14373000,652646000.0,152612000.0,5464000,14373000,19890000.0,0.0,-186000,,825148000.0,,,,,,
2005-09-30,11442000.0,10115000.0,-31454000,0.0,0.18,16734000.0,1761000,,414000,,0.0,36489000,9794000,-413102000,4233000,-7344000,,1155713000,12856000,,5035000,110845000.0,21350000,358646000.0,1541955000,1514359000,0.18,,,20775000.0,0,-6787000,,72382000,22135000,43485000,,,19778000,-34017000,47902000,814591000,-2554000,-3333000.0,-28489000.0,1568815000,,-7344000.0,-321963000,47303000,27596000,5034000,126427000.0,,,24480000,27596000.0,,727364000,25767000,,19778000,602558000.0,145268000.0,3995000,19778000,19462000.0,0.0,-2563000,,767288000.0,,,,,,
2005-12-31,11002000.0,7960000.0,-29967000,0.0,,23279000.0,79000,,-3156000,,83028000.0,14600000,9966000,-413102000,-4757000,-5608000,,1161691000,14779000,,-15367000,,22019000,,1559119000,1528107000,,,,18489000.0,0,-2554000,,80822000,27213000,49232000,,,21705000,-19436000,52302000,815507000,-7311000,-1927000.0,,1574793000,,-7345000.0,-688069000,51734000,31012000,-7683000,,,,28520000,31012000.0,366416000.0,743612000,25089000,,21705000,606134000.0,137923000.0,4388000,21705000,19716000.0,0.0,10531000,,763773000.0,,,,,,
2006-03-31,15481000.0,8362000.0,-38907000,0.0,0.17,11582000.0,4656000,,-324000,,-3705000.0,44264000,11383000,-413102000,7730000,-5698000,,1188845000,14452000,,5357000,117784000.0,21567000,,1587759000,1559174000,0.17,419000.0,419000.0,22802000.0,0,-7311000,,81506000,23139000,44706000,,,20150000,-41190000,51934000,786573000,419000,,-32154000.0,1601947000,,-6003000.0,-721639000,45767000,28585000,9442000,129692000.0,,,29572000,28166000.0,370329000.0,801186000,28795000,,20150000,580041000.0,131920000.0,7228000,20150000,28845000.0,0.0,-2283000,,740806000.0,,,,,,
2006-06-30,20822000.0,7251000.0,-41517000,0.0,0.14,38306000.0,2171000,,-6201000,,3705000.0,26055000,11593000,-413102000,-4800000,-6921000,,1209352000,10019000,,-15462000,121289000.0,21937000,,1612775000,1578217000,0.14,,,30567000.0,0,419000,,80924000,23471000,45408000,,,16940000,-33026000,53191000,798087000,-4381000,,-34356000.0,1622454000,,-6616000.0,-360972000,80466000,34558000,-7868000,129539000.0,,,27733000,34558000.0,368865000.0,814688000,29720000,,16940000,563125000.0,125304000.0,7783000,16940000,29192000.0,0.0,2283000,,717621000.0,,,,,,
2006-09-30,21709000.0,8210000.0,-21768000,0.0,0.2,22661000.0,24167000,,-351000,,0.0,32430000,12426000,-413102000,31088000,-3289000,,1211667000,21274000,,10662000,123576000.0,20428000,,1651167000,1584331000,0.2,26707000.0,26707000.0,27359000.0,0,-4381000,,85326000,29835000,50263000,,,24563000,-25509000,56155000,816865000,26707000,277000.0,-35627000.0,1624769000,,-3289000.0,-372870000,62446000,66836000,-5133000,130772000.0,,,29171000,40129000.0,372664000.0,834302000,26320000,,24563000,602863000.0,122015000.0,5892000,24563000,29541000.0,0.0,2467000,,754419000.0,,,,,,
2006-12-31,21898000.0,8756000.0,-66763000,0.0,,21106000.0,-6565000,,-519000,,102137000.0,41111000,12622000,-569515000,-24846000,-8398000,,1257729000,18834000,,-25652000,,21687000,,1676204000,1629396000,,1861000.0,1861000.0,37411000.0,0,26707000,,88062000,28109000,49796000,,,27232000,-59392000,55528000,823720000,1861000,6103000.0,,1827244000,,-8398000.0,-383325000,71139000,46808000,-1292000,,,,32534000,44947000.0,371667000.0,852484000,27419000,,27232000,609075000.0,113617000.0,5732000,27232000,29889000.0,0.0,7371000,,752581000.0,,,,,,
2007-03-31,24678000.0,8606000.0,-81452000,18075000.0,0.23,21419000.0,29619000,,-408000,,0.0,46907000,14107000,-569515000,-3883000,-2678000,,1319612000,26710000,,-34545000,127568000.0,20547000,,1757522000,1698380000,0.23,,,50142000.0,0,1861000,12830000.0,112948000,35724000,56271000,,,29388000,-80409000,65167000,875820000,-2022000,2033000.0,-40612000.0,1889127000,,-2678000.0,-396035000,85668000,59142000,-2583000,135206000.0,,,47781000,59142000.0,360693000.0,881702000,29443000,,29388000,643672000.0,116183000.0,8896000,29388000,30297000.0,0.0,1043000,,790152000.0,,,,,,
2007-06-30,25896000.0,8512000.0,-65230000,20097000.0,0.24,10551000.0,21890000,,-1751000,,0.0,42180000,14453000,-569515000,-2336000,-7380000,,1394201000,23571000,,-23050000,129966000.0,20999000,,1824977000,1776003000,0.24,,,37329000.0,0,-2022000,14365000.0,126373000,33834000,54833000,,,30951000,-66406000,62708000,912787000,-4358000,-1045000.0,-42545000.0,1963716000,,-7380000.0,-407974000,62333000,48974000,-1545000,135274000.0,,,63665000,48974000.0,361705000.0,912190000,28874000,,30951000,680898000.0,109291000.0,7875000,30951000,60265000.0,0.0,-1176000,,850454000.0,,,,,,
2007-09-30,1272000.0,8704000.0,-62582000,15103000.0,0.25,6593000.0,12370000,,-356000,,0.0,51665000,15848000,-569515000,4071000,-5583000,,1436445000,27779000,,-10917000,131994000.0,21418000,,1867228000,1811865000,0.25,,,46745000.0,0,-4358000,10797000.0,131477000,36839000,58257000,,,33362000,-59964000,66883000,962793000,-287000,1656000.0,-44804000.0,2005960000,,-5583000.0,-420810000,69186000,55363000,336000,136850000.0,,,64594000,55363000.0,360317000.0,904435000,30044000,,33362000,729993000.0,102282000.0,8626000,33362000,61332000.0,0.0,2618000,,893607000.0,,,,,,
2007-12-31,2696000.0,8403000.0,-91048000,10796000.0,,6422000.0,48216000,,-5653000,,0.0,48788000,15905000,-632318000,17023000,-6879000,,1524887000,41725000,,-42260000,,3486000,,1966808000,1893895000,,16736000.0,16736000.0,59485000.0,0,-287000,7935000.0,133990000,55781000,59267000,,,48604000,-79981000,65349000,1058071000,16736000,2271000.0,-47626000.0,2157205000,,-6879000.0,-419890000,81812000,72913000,1083000,,,,68641000,56177000.0,358212000.0,908737000,9568000,,48604000,820066000.0,93957000.0,6082000,48604000,62236000.0,0.0,11067000,,976259000.0,,,,,,
2008-03-31,2129000.0,9138000.0,-95168000,12284000.0,0.24,6918000.0,14422000,,-986000,,0.0,59034000,15938000,-632318000,-17115000,136000,,1603842000,32708000,,-36134000,132758000.0,17126000,,2027601000,1973480000,0.25,,,70069000.0,0,16736000,9031000.0,142735000,42832000,59958000,,,32572000,-90571000,71189000,1129080000,-379000,1157000.0,-47760000.0,2236160000,,136000.0,-435111000,92925000,54121000,8043000,137196000.0,,,71546000,54121000.0,357354000.0,898521000,28357000,,32572000,878490000.0,94485000.0,11231000,32572000,63180000.0,0.0,4597000,,1036155000.0,,,,,,
2008-06-30,4482000.0,9120000.0,-81900000,13455000.0,0.31,89148000.0,48787000,,19251000,,0.0,68229000,15993000,-632318000,-7110000,8363000,,1686082000,50485000,,-13671000,133117000.0,17469000,,2155717000,2055661000,0.32,,,71874000.0,0,-379000,9889000.0,181484000,40354000,57823000,,,42122000,-124126000,72007000,1255524000,-7489000,-19104000.0,-47866000.0,2318400000,,8362000.0,-440911000,177015000,100056000,19404000,137564000.0,,,109477000,100056000.0,356124000.0,900193000,31653000,,42122000,893726000.0,103137000.0,14184000,42122000,81646000.0,0.0,-42226000,,1078509000.0,,,,,,
2008-09-30,925000.0,12326000.0,-21771000,9372000.0,0.35,81780000.0,-64363000,,20254000,,0.0,29137000,17364000,-632318000,18690000,6599000,,1678919000,54730000,,7366000,133504000.0,17981000,,2121215000,2044311000,0.36,11201000.0,11201000.0,56966000.0,0,-7489000,6893000.0,201289000,46802000,64783000,,,48131000,53916000,76910000,1222570000,11201000,22107000.0,-49362000.0,2311237000,,6599000.0,-443512000,156110000,76904000,-22785000,137517143.0,,,124379000,65703000.0,356020000.0,898645000,30108000,,48131000,874909000.0,108649000.0,12127000,48131000,82902000.0,0.0,75687000,,1066460000.0,,,,,,
