date,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyBasicAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyOtherCurrentLiabilities,quarterlyDilutedEPS,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyDilutedAverageShares,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue
2000-10-31,77813000,91858000.0,2000.0,771000.0,,61292000.0,166599000,47693000,0.0,,-87000.0,22015000.0,,,277000.0,1998000.0,1030000.0,10923000,1462000.0,-9398000,2572000.0,-448000.0,,15818000.0,3252000,-7668000.0,-5411000.0,-2075000.0,0,-0.4825,,,10407000,,-8487000,-96802000.0,,,-44165000.0,118906000.0,-9743000.0,123920000.0,36657000,171350000,,6274000,0.0,1378000,-29588000,208007000,61292000.0,911000.0,-36223000.0,,3252000,-340000.0,,-21000000.0,130194000,4235000,-29588000,-29588000,-0.4825,,788000.0,123920000.0,,12650000,47693000.0,-37527000.0,,2637000.0,,,,,
2001-01-31,282214000,47693000.0,2000.0,-918000.0,,71996000.0,369904000,260669000,0.0,,43000.0,21940000.0,,,191000.0,1948000.0,209396000.0,9399000,209046000.0,-9221000,2826000.0,710000.0,,18038000.0,3027000,-2561000.0,-5411000.0,-2663000.0,0,-0.065,,,12627000,,-7717000,-101435000.0,,,212976000.0,109235000.0,-5224000.0,123920000.0,38545000,375970000,,8381000,0.0,1971000,-4633000,414515000,71996000.0,1504000.0,9722000.0,,3027000,436000.0,,,132301000,3978000,-4633000,-4633000,-0.065,,788000.0,123920000.0,,12248000,260669000.0,6141000.0,,4576000.0,,,,,
2001-04-30,267464000,260669000.0,2000.0,-323000.0,,72308000.0,363729000,231575000,0.0,,359000.0,21116000.0,,,92000.0,1943000.0,402000.0,8362000,290000.0,-9165000,1630000.0,-387000.0,,18898000.0,1960000,-5129000.0,-5411000.0,-1441000.0,0,-0.09,,,13487000,,-7669000,-116721000.0,,,-29094000.0,132154000.0,-6570000.0,132008000.0,38290000,368139000,,6957000,8088000.0,1916000,-6462000,406429000,72308000.0,1496000.0,-220582000.0,,1960000,211000.0,,,138965000,3687000,-6462000,-6462000,-0.09,,1446000.0,123920000.0,,11125000,231575000.0,-24367000.0,,3789000.0,,,,,
2001-07-31,260408000,231575000.0,2000.0,-59000.0,,,355274000,135188000,6980000.0,,572000.0,20270000.0,,227138000.0,,1909000.0,47000.0,10187000,104000.0,-9612000,1722000.0,-2051000.0,,20642000.0,3272000,-7814000.0,-6911000.0,-842000.0,2646000,,,,13731000,,-8002000,-124257000.0,,,-96387000.0,220086000.0,-8656000.0,131861000.0,37512000,362747000,,7990000,7941000.0,1870000,-7536000,400259000,,1610000.0,-314857000.0,,3272000,35000.0,,0.0,139851000,3511000,-7536000,-7536000,,,1351000.0,123920000.0,,12884000,135188000.0,-88620000.0,,2271000.0,,,,,
2001-10-31,255384000,135188000.0,2000.0,-24000.0,,72440000.0,349493000,120158000,0.0,,3233000.0,20230000.0,,207618000.0,,1917000.0,52000.0,9671000,50000.0,-9410000,1213000.0,-1217000.0,,20299000.0,1860000,-8027000.0,-6911000.0,-443000.0,921000,-0.1075,,,13388000,,-8485000,-132046000.0,,,-15030000.0,229335000.0,-8470000.0,131713000.0,36988000,357022000,,6913000,7793000.0,1599000,-7789000,394010000,72440000.0,925000.0,-214206000.0,,1860000,2000.0,,,138626000,3370000,-7789000,-7789000,-0.1075,,1427000.0,123920000.0,,11270000,120158000.0,-7055000.0,,3352000.0,,,,,
2002-01-31,242368000,120158000.0,2000.0,24000.0,,72476000.0,340939000,168794000,935000.0,,795000.0,,,-26667000.0,,1929000.0,130000.0,15043000,132000.0,-13499000,3597000.0,4399000.0,,20370000.0,3380000,-5304000.0,-6911000.0,-966000.0,0,-0.15,-700000.0,-11510000.0,13459000,,-12492000,-142856000.0,,,48636000.0,172145000.0,-6270000.0,131566000.0,39854000,343661000,20165000.0,9581000,7646000.0,1836000,-10810000,383515000,72476000.0,1007000.0,81419000.0,,3380000,-2000.0,,0.0,141147000,6230000,-10810000,-10810000,-0.15,,610000.0,123920000.0,,16879000,168794000.0,53810000.0,,5374000.0,,,,,
2002-04-30,224881000,168794000.0,2000.0,0.0,,72640000.0,325177000,121427000,469000.0,,338000.0,20165000.0,,214597000.0,,1927000.0,54000.0,15906000,54000.0,-17799000,8032000.0,1784000.0,,20647000.0,539000,-16448000.0,-6911000.0,-950000.0,0,-0.235,,-17105000.0,13736000,,-16908000,-159961000.0,,,-47367000.0,203750000.0,-17398000.0,131419000.0,43021000,327139000,,13860000,7499000.0,2432000,-17105000,370160000,72640000.0,891000.0,-244620000.0,,539000,0.0,,0.0,145279000,9120000,-17105000,-17105000,-0.235,,589000.0,123920000.0,,18338000,121427000.0,-30973000.0,,5239000.0,,,,,
2002-07-31,205478000,121427000.0,2000.0,304000.0,,,308584000,47574000,863000.0,,1678000.0,19954000.0,,99642000.0,,1927000.0,90000.0,19385000,90000.0,-20754000,9843000.0,3504000.0,,24738000.0,757000,-16442000.0,-9864000.0,-1737000.0,0,,0.0,-20838000.0,14874000,,-20015000,-180799000.0,,,-73853000.0,261010000.0,-18179000.0,131272000.0,43285000,310784000,,17319000,7352000.0,2126000,-20838000,354069000,,739000.0,-155710000.0,,757000,0.0,,0.0,148591000,8457000,-20838000,-20838000,,,546000.0,123920000.0,,21511000,47574000.0,-57501000.0,,6930000.0,,,,,
2002-10-31,184023000,47574000.0,2000.0,0.0,,72816000.0,283458000,20204000,297000.0,,1838000.0,19954000.0,,36908000.0,,1927000.0,9000.0,19677000,9000.0,-21546000,8262000.0,-3578000.0,,24974000.0,323000,-24323000.0,-9864000.0,-972000.0,0,-0.2975,49000.0,-21591000.0,15110000,,-20667000,-202439000.0,,,-27370000.0,263254000.0,-25295000.0,131125000.0,43622000,286081000,,14555000,7205000.0,2192000,-21640000,329703000,72816000.0,879000.0,-38992000.0,,323000,0.0,,1882000.0,145680000,8558000,-21640000,-21640000,-0.2975,,546000.0,123920000.0,,21869000,20204000.0,-3056000.0,,5747000.0,,,,,
2003-01-31,162344000,20204000.0,2000.0,0.0,,72828000.0,253183000,52301000,389000.0,,1532000.0,19954000.0,,72741000.0,,1926000.0,41000.0,19304000,41000.0,-21142000,6289000.0,-9113000.0,,24600000.0,220000,-29597000.0,-9864000.0,-413000.0,0,-0.295,59000.0,-21406000.0,14736000,,-20212000,-223904000.0,,,32097000.0,200882000.0,-30010000.0,130978000.0,50293000,255544000,,12515000,7058000.0,2058000,-21465000,305837000,72828000.0,930000.0,-10675000.0,,220000,0.0,,1662000.0,143493000,15603000,-21465000,-21465000,-0.295,,589000.0,123920000.0,,21362000,52301000.0,61653000.0,,5637000.0,,,,,
