date,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyBeginningCashPosition,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCashDividendsPaid,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable
2016-10-31,1400000000.0,-444000000,-3697000000.0,841000000,2509000000.0,3097000000.0,3097000000.0,78000000.0,-1.59,398000000.0,454000000.0,106000000.0,0.0,235000000,15068000000.0,806000000,6000000,-242000000,-193000000,532000000.0,-1129000000.0,1352000000,42841000000.0,0,49966000000.0,1136000000,846000000.0,1961000000,,0.0,15000000.0,700000000,,-134000000.0,1261000000.0,3097000000,26000000,-632000000,407000000,205000000,0.0,1041000000,3638000000.0,7125000000.0,3078000000.0,28090000000.0,,718000000.0,-38000000,-215000000.0,785000000,1159000000,-1.59,4136000000,4000000,421000000.0,2181000000.0,1965000000,-92000000,447000000.0,11293000000.0,517000000.0,-213000000.0,94000000,25012000000.0,2171000000,1386000000,18892000000.0,10287000000.0,13188000000.0,,24732000000.0,-606000000,-632000000,224000000,,
2017-01-31,1336000000.0,-174000000,-13668000000.0,10000000,2646000000.0,3536000000.0,3536000000.0,61000000.0,0.6,399000000.0,0.0,111000000.0,,267000000,14067000000.0,808000000,-107000000,-595000000,-325000000,854000000.0,,1353000000,42267000000.0,234000000,49617000000.0,439000000,739000000.0,3097000000,,0.0,,1114000000,,-134000000.0,1047000000.0,3536000000,-319000000,239000000,30000000,202000000,,1492000000,,7350000000.0,2122000000.0,27607000000.0,,-25000000.0,-356000000,-337000000.0,552000000,1028000000,0.57,4139000000,-4000000,439000000.0,1947000000.0,2138000000,65000000,531000000.0,11405000000.0,336000000.0,-431000000.0,-137000000,25485000000.0,2001000000,1449000000,19033000000.0,10274000000.0,13562000000.0,,24700000000.0,257000000,239000000,201000000,,
2017-04-30,1311000000.0,-24000000,-4000000.0,-103000000,2762000000.0,4454000000.0,4254000000.0,89000000.0,1.09,403000000.0,0.0,112000000.0,-37000000.0,365000000,13016000000.0,829000000,-20000000,-372000000,-256000000,897000000.0,,1583000000,41381000000.0,-126000000,49849000000.0,718000000,663000000.0,3536000000,200000000.0,0.0,0.0,1193000000,,-133000000.0,925000000.0,4254000000,-493000000,440000000,32000000,216000000,-200000000.0,1670000000,,8468000000.0,2052000000.0,27506000000.0,,-86000000.0,-236000000,-311000000.0,501000000,1327000000,1.05,4190000000,0,442000000.0,2073000000.0,2214000000,31000000,630000000.0,11379000000.0,464000000.0,-437000000.0,-114000000,25454000000.0,1976000000,1475000000,19425000000.0,10239000000.0,13567000000.0,,24706000000.0,468000000,440000000,204000000,,
2017-07-31,1431000000.0,-21000000,-6000000.0,39000000,2909000000.0,5449000000.0,5249000000.0,41000000.0,1.18,407000000.0,0.0,112000000.0,-3000000.0,548000000,11927000000.0,827000000,0,-403000000,-255000000,457000000.0,,1656000000,39999000000.0,-344000000,49942000000.0,995000000,514000000.0,4254000000,200000000.0,0.0,0.0,1211000000,,-133000000.0,1158000000.0,5249000000,-258000000,481000000,32000000,251000000,0.0,1871000000,,9943000000.0,2218000000.0,27238000000.0,,12000000.0,-357000000,-245000000.0,681000000,1401000000,1.14,4463000000,-1000000,445000000.0,2417000000.0,2314000000,-119000000,646000000.0,10945000000.0,546000000.0,-438000000.0,217000000,25020000000.0,2149000000,1468000000,19802000000.0,9859000000.0,13572000000.0,,24706000000.0,509000000,481000000,200000000,,
2017-10-31,1447000000.0,-46000000,-6000000.0,89000000,2599000000.0,11204000000.0,11204000000.0,66000000.0,1.56,408000000.0,117000000.0,119000000.0,0.0,755000000,10832000000.0,828000000,-1000000,3600000000,-233000000,458000000.0,-1493000000.0,1959000000,38595000000.0,-31000000,54418000000.0,5955000000,630000000.0,5249000000,,0.0,200000000.0,1219000000,,-91000000.0,1105000000.0,11204000000,396000000,636000000,-314000000,252000000,-7000000.0,2093000000,4092000000.0,15823000000.0,2478000000.0,31122000000.0,,-74000000.0,198000000,-25000000.0,920000000,1726000000,1.5,4844000000,-4000000,424000000.0,2448000000.0,2461000000,-16000000,724000000.0,11101000000.0,260000000.0,-439000000.0,-63000000,28644000000.0,2383000000,1463000000,20389000000.0,10019000000.0,17431000000.0,,24706000000.0,666000000,636000000,194000000,,
2018-01-31,1291000000.0,-95000000,-862000000.0,-5786000000,2747000000.0,7076000000.0,7076000000.0,34000000.0,15.2,410000000.0,117000000.0,183000000.0,-4786000000.0,795000000,13171000000.0,925000000,-3000000,-1586000000,-220000000,507000000.0,,1685000000,43324000000.0,199000000,54544000000.0,-4128000000,704000000.0,11204000000,,0.0,,1184000000,,-82000000.0,816000000.0,7076000000,-4227000000,6230000000,-115000000,299000000,-244000000.0,2162000000,,11220000000.0,1970000000.0,25463000000.0,,-5832000000.0,-417000000,5132000000.0,1073000000,1465000000,14.62,5327000000,4000000,426000000.0,2459000000.0,2699000000,250000000,394000000.0,4775000000.0,333000000.0,-755000000.0,-403000000,23493000000.0,2628000000,1555000000,25901000000.0,1243000000.0,17475000000.0,,26899000000.0,6581000000,6230000000,291000000,,
2018-04-30,1235000000.0,-7000000,-15000000.0,-2637000000,2720000000.0,8187000000.0,8187000000.0,78000000.0,8.83,421000000.0,117000000.0,148000000.0,0.0,1099000000,12346000000.0,936000000,3000000,-1047000000,-189000000,488000000.0,,2313000000,42462000000.0,-277000000,54936000000.0,1111000000,754000000.0,7076000000,,24305000000.0,54000000.0,964000000,-347000000.0,-106000000.0,836000000.0,8187000000,-155000000,3718000000,25000000,296000000,-5000000.0,2211000000,,12474000000.0,2124000000.0,22869000000.0,,-2702000000.0,-3000000,7868000000.0,1254000000,2124000000,8.33,5014000000,-16000000,448000000.0,2749000000.0,2463000000,56000000,303000000.0,3264000000.0,,-766000000.0,91000000,20745000000.0,2551000000,1297000000,32067000000.0,266000000.0,17481000000.0,,26908000000.0,3736000000,3718000000,294000000,,
2018-07-31,1216000000.0,20000000,0.0,32000000,2695000000.0,4136000000.0,4136000000.0,6000000.0,2.78,430000000.0,117000000.0,149000000.0,-7000000.0,1229000000,11598000000.0,959000000,2000000,-6124000000,-120000000,464000000.0,,2247000000,41677000000.0,-262000000,50372000000.0,-4051000000,663000000.0,8187000000,,23291000000.0,0.0,965000000,-5378000000.0,-106000000.0,785000000.0,4136000000,-174000000,1196000000,13000000,315000000,0.0,2343000000,,8695000000.0,2187000000.0,22920000000.0,,22000000.0,-264000000,4267000000.0,1358000000,2127000000,2.71,5063000000,-47000000,441000000.0,3010000000.0,2444000000,19000000,333000000.0,3246000000.0,163000000.0,-754000000.0,-41000000,20733000000.0,2619000000,1261000000,27452000000.0,178000000.0,17487000000.0,183000000.0,26920000000.0,1197000000,1196000000,234000000,,
2018-10-31,1124000000.0,-113000000,-117000000.0,307000000,2635000000.0,4292000000.0,4292000000.0,38000000.0,2.71,412000000.0,,148000000.0,-16000000.0,1422000000,10762000000.0,948000000,-26000000,-2361000000,-106000000,707000000.0,-1894000000.0,2635000000,41017000000.0,-312000000,50124000000.0,156000000,812000000.0,4136000000,,23285000000.0,0.0,968000000,-1533000000.0,-115000000.0,811000000.0,4292000000,-118000000,1115000000,29000000,317000000,0.0,2538000000,4529000000.0,9107000000.0,2338000000.0,23467000000.0,,242000000.0,-142000000,3487000000.0,1683000000,2529000000,2.64,5444000000,3000000,423000000.0,3325000000.0,2509000000,92000000,366000000.0,3636000000.0,326000000.0,-723000000.0,28000000,21129000000.0,2935000000,1252000000,26657000000.0,169000000.0,17493000000.0,164000000.0,26913000000.0,1115000000,1115000000,237000000,,
2019-01-31,1074000000.0,-505000000,0.0,-203000000,2684000000.0,5093000000.0,5093000000.0,62000000.0,1.17,401000000.0,3537000000.0,345000000.0,-15070000000.0,278000000,21493000000.0,1133000000,-124000000,13862000000,-99000000,682000000.0,,2132000000,61506000000.0,68000000,72110000000.0,801000000,3611000000.0,4292000000,,23081000000.0,,1459000000,-3436000000.0,-116000000.0,738000000.0,5093000000,-15193000000,471000000,84000000,465000000,0.0,2082000000,,10604000000.0,8349000000.0,48886000000.0,517000000.0,-379000000.0,32000000,259000000.0,1128000000,2033000000,1.12,5789000000,-24000000,419000000.0,3677000000.0,2581000000,50000000,760000000.0,6433000000.0,,-1067000000.0,-169000000,40537000000.0,3208000000,2080000000,23224000000.0,2076000000.0,34104000000.0,1692000000.0,36647000000.0,481000000,471000000,471000000,,
2019-04-30,1034000000.0,-13000000,-12000000000.0,-36000000,2654000000.0,5328000000.0,5328000000.0,121000000.0,1.74,397000000.0,3537000000.0,376000000.0,0.0,657000000,20188000000.0,1151000000,-501000000,-2326000000,-125000000,735000000.0,,2667000000,60239000000.0,193000000,70916000000.0,235000000,3729000000.0,5093000000,,22288000000.0,3000000.0,1447000000,-830000000.0,-116000000.0,759000000.0,5328000000,-106000000,691000000,-19000000,544000000,-5000000.0,2480000000,,10677000000.0,8503000000.0,48744000000.0,442000000.0,-94000000.0,98000000,0.0,1046000000,2542000000,1.64,5517000000,21000000,422000000.0,3484000000.0,2428000000,40000000,831000000.0,6230000000.0,,-1057000000.0,30000000,40241000000.0,3089000000,2043000000,22172000000.0,1871000000.0,34011000000.0,2028000000.0,36662000000.0,693000000,691000000,419000000,,
2019-07-31,1091000000.0,-8000000,-230000000.0,-171000000,2611000000.0,5462000000.0,5462000000.0,11000000.0,1.8,398000000.0,3537000000.0,362000000.0,-6000000.0,544000000,18879000000.0,1235000000,-238000000,-2250000000,-112000000,693000000.0,,2419000000,58869000000.0,-60000000,69767000000.0,134000000,3174000000.0,5328000000,,21619000000.0,2000000.0,1450000000,-736000000.0,-116000000.0,996000000.0,5462000000,-35000000,715000000,17000000,632000000,0.0,2356000000,,10898000000.0,8282000000.0,48264000000.0,397000000.0,-235000000.0,-160000000,0.0,914000000,2307000000,1.71,5515000000,-1000000,418000000.0,3539000000.0,2481000000,-57000000,806000000.0,5954000000.0,,-1057000000.0,244000000,39982000000.0,3034000000,2120000000,21503000000.0,1660000000.0,34028000000.0,1872000000.0,36686000000.0,715000000,715000000,410000000,,
2019-10-31,874000000.0,16000000,-4904000000.0,-100000000,2565000000.0,5055000000.0,5055000000.0,59000000.0,2.06,397000000.0,2787000000.0,361000000.0,0.0,747000000,17554000000.0,1177000000,-145000000,-2798000000,-96000000,743000000.0,-2331000000.0,2479000000,57576000000.0,285000000,67493000000.0,-407000000,2616000000.0,5462000000,,0.0,0.0,1452000000,-433000000.0,-140000000.0,855000000.0,5055000000,-88000000,818000000,16000000,544000000,0.0,2560000000,4896000000.0,9917000000.0,6928000000.0,42552000000.0,,-226000000.0,-154000000,0.0,1092000000,2383000000,1.97,5776000000,2000000,416000000.0,3259000000.0,2624000000,217000000,729000000.0,5613000000.0,309000000.0,-1054000000.0,-147000000,35624000000.0,3152000000,2060000000,24941000000.0,,30011000000.0,1501000000.0,36714000000.0,847000000,847000000,409000000,,
