date,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyNetIncome,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyTaxProvision,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyDilutedEPS,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNetIncomeCommonStockholders,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2004-09-30,455000,-37222000,527000.0,234896000,-72000,11351000,-4405000,27361000,11351000,7400000.0,8209000,130064000,,28831000.0,1683000,235161000,6677000,22739000.0,2111000.0,0.065,80478000,21000,22956000,132255000,88687000,11351000,163891432.0,421153000,,250455000,6808000,2518000,288000.0,-53043000,126000,37841000,0.06875,16471000,165230000,13589000,611000.0,16242000.0,,251632000.0,12000.0,28831000.0,253743000,-599000.0,18989000,,,88687000,-19607000,174560720.0,43568000,12971000,94277000.0,152259000,0.0,18028000,0.0,170698000,255923000,32187000,17142000.0,,5571000.0,-72000.0,12561000,,,,,,,,
2004-12-31,41012000,70785000,-2332000.0,116787000,43344000,12010000,-15522000,41930000,12010000,46973000.0,-4582000,3956000,,,1902000,-531772000,6973000,,802392000.0,,88687000,41000,26408000,178388000,84105000,12010000,,527934000,,303642000,14439000,2795000,486000.0,-46973000,363000,54705000,,17444000,256622000,-12425000,-1335000.0,,,-514328000.0,,,288064000,40023000.0,26670000,,,84105000,-87524000,,94283000,54463000,106287000.0,202159000,-79734000.0,18983000,,224292000,271312000,38948000,101631000.0,,7490000.0,,14429000,,,,,,,,
2005-03-31,-2816000,-83257000,1390000.0,233818000,-85000,14411000,-3665000,19877000,14411000,42852000.0,19171000,181517000,,45264000.0,2120000,310215000,8465000,36987000.0,843000.0,0.08,84105000,42000,16212000,192564000,103276000,14411000,166242348.0,560784000,,311544000,13889000,2782000,486000.0,-21767000,562000,27542000,0.0875,21318000,270785000,-305000,-983000.0,9135000.0,,331533000.0,-1598000.0,45264000.0,332376000,3962000.0,24100000,,,103276000,2110000,179447956.0,89288000,48787000,120698000.0,221998000,0.0,22876000,0.0,249240000,289999000,42459000,101830000.0,,5935000.0,-4121000.0,19689000,,,,,,,,
2005-06-30,11388000,-59020000,1474000.0,222281000,35000,15249000,-5103000,-26902000,15249000,52731000.0,-37678000,163250000,,48479000.0,2523000,326580000,8960000,69839000.0,728000.0,0.085,103276000,42000,-32005000,130935000,65598000,15249000,168815784.0,574446000,,357190000,15188000,3119000,486000.0,-53161000,634000,57442000,0.09,22320000,255727000,-49597000,2174000.0,-18537000.0,,348900000.0,-809000.0,48479000.0,349628000,2124000.0,25439000,,,65598000,-22164000,180351088.0,65337000,60946000,135947000.0,194781000,0.0,24209000,-21342000.0,217256000,318719000,44365000,130262000.0,,8215000.0,-121000.0,16482000,,,,,,,,
2005-09-30,35617000,-51392000,1061000.0,211333000,-363000,12106000,-8069000,51937000,12106000,87650000.0,55826000,161326000,,55073000.0,2818000,383500000,4662000,43235000.0,2002000.0,0.0675,65598000,43000,43868000,180066000,121424000,12106000,170328516.0,639611000,,395810000,21217000,3757000,486000.0,-33702000,1190000,44111000,0.07,15140000,306378000,38831000,-4758000.0,4109000.0,,398640000.0,-1522000.0,55073000.0,400642000,1982000.0,18897000,,,121424000,-31728000,181113312.0,58642000,97264000,148053000.0,209114000,0.0,16768000,-34068000.0,243801000,333233000,52450000,159579000.0,,9614000.0,-81000.0,20500000,,,,,,,,
2005-12-31,1467000,29919000,-3925000.0,123661000,-4552000,13866000,-10072000,29136000,13866000,92448000.0,25934000,14347000,,67199000.0,3194000,-826382000,8137000,,1229187000.0,,121424000,43000,19064000,204058000,147358000,13866000,,668030000,,395425000,17368000,3411000,,-41814000,1604000,47292000,,20413000,315982000,679000,5353000.0,,,-805969000.0,-1754000.0,67199000.0,423218000,457000.0,34479000,,,147358000,-4669000,,56700000,101331000,161919000.0,214651000,-75000.0,22003000,,272605000,352048000,54639000,157278000.0,,8883000.0,,24439000,,,,,,,,
2006-03-31,35226000,-63666000,2139000.0,221249000,1454000,8766000,-14136000,9343000,8766000,130940000.0,-28846000,185286000,,82853000.0,3540000,426894000,5372000,66368000.0,15588000.0,0.05,147358000,43000,-4793000,189684000,118512000,8766000,171951568.0,737807000,,456763000,19341000,4520000,1712000.0,-53194000,1998000,33827000,0.05,12596000,373558000,-7634000,232000.0,11281000.0,,439490000.0,-2148000.0,82853000.0,455078000,3447000.0,17116000,-3082000.0,,118512000,-73415000,179001084.0,71172000,138781000,170685000.0,234777000,0.0,14138000,-39912000.0,281044000,364249000,65222000,196986000.0,,7841000.0,-2285000.0,24992000,,,,,,,,
2006-06-30,34812000,-68454000,1622000.0,217965000,523000,4965000,-9336000,5099000,4965000,164462000.0,12924000,202617000,,90344000.0,3891000,474670000,2776000,96852000.0,14317000.0,0.0275,118512000,43000,-4237000,208136000,131436000,4965000,172678360.0,801136000,,475434000,20203000,5021000,1034000.0,-60471000,2456000,63618000,0.03,6306000,427097000,-8096000,-519000.0,17772000.0,,480976000.0,-2276000.0,90344000.0,495293000,3707000.0,11327000,-98000.0,,131436000,-26987000,179356596.0,76700000,170906000,175650000.0,256191000,0.0,7741000,-20798000.0,325702000,374039000,74441000,215376000.0,,6444000.0,-2202000.0,20714000,,,,,,,,
2006-09-30,290000,12211000,833000.0,172231000,117000,-71193000,-16022000,110113000,-71193000,168429000.0,69044000,265266000,,103175000.0,-82466000,595341000,6180000,86108000.0,15373000.0,-0.4125,131436000,44000,94091000,414538000,200480000,-71193000,172876212.0,813841000,,439085000,14949000,5745000,1032000.0,-121836000,3082000,102710000,-0.4125,20535000,507936000,88662000,-4206000.0,76059000.0,,615876000.0,-1356000.0,103175000.0,631249000,91105000.0,26280000,-4034000.0,,200480000,-41359000,172876212.0,214058000,173681000,104457000.0,334255000,0.0,-65013000,-6211000.0,374756000,305905000,93991000,136519000.0,,5252000.0,-8018000.0,-125890000,,,,,,,,
2006-12-31,8586000,34975000,,145417000,-16659000,13833000,-10824000,70477000,13833000,174646000.0,70567000,33816000,,110688000.0,92927000,-1069523000,7649000,,1835268000.0,,200480000,44000,59653000,337968000,271047000,13833000,,894980000,,443159000,16202000,5314000,971000.0,-83821000,3100000,86000000,,-68345000,568557000,48649000,-2199000.0,,,-1137868000.0,-1251000.0,110688000.0,697400000,-9991000.0,-45139000,-619000.0,,271047000,-8496000,,66921000,180606000,118290000.0,387951000,149000.0,21482000,,451821000,326423000,112630000,135877000.0,,5960000.0,,22189000,,,,,,,,
2007-03-31,22255000,39678000,,182267000,417000,38211000,-14794000,35980000,38211000,200404000.0,40858000,38613000,,121403000.0,4501000,102648000,-19691000,,551036000.0,0.2125,271047000,44000,21186000,354959000,311905000,38211000,173733276.0,971377000,,489843000,16011000,6274000,965000.0,-135866000,3132000,122835000,0.22,17151000,601913000,-6760000,-1398000.0,,,119799000.0,155623000.0,121403000.0,670835000,-4218000.0,27926000,-644000.0,3871000.0,311905000,-17377000,179693360.0,43054000,210528000,,391385000,10448000.0,18520000,,481534000,369464000,106866000,130484000.0,,10124000.0,-169386000.0,48499000,,,,,,,,
2007-06-30,-1592000,40115000,,287719000,380000,17782000,-14558000,23894000,17782000,200162000.0,-75462000,42019000,,131829000.0,5948000,119342000,817000,,591532000.0,0.1,311905000,44000,9336000,279803000,236443000,17782000,174469440.0,1050002000,,610451000,14472000,6717000,972000.0,-155096000,4213000,73572000,0.1025,16864000,658969000,-2388000,1071000.0,,,136206000.0,,131829000.0,727738000,-3254000.0,29529000,-2587000.0,3966000.0,236443000,-97764000,179261476.0,43360000,208941000,174330000.0,450028000,-1682000.0,18599000,,439551000,391033000,122596000,136316000.0,,8779000.0,-1168000.0,46257000,,,,,,,,
2007-09-30,-4389000,59529000,,289608000,231000,15936000,-12422000,104878000,15936000,201140000.0,38605000,44496000,,139671000.0,6352000,121139000,9305000,,605750000.0,0.09,236443000,44000,92456000,323143000,275048000,15936000,174131328.0,1086240000,,635788000,13829000,7390000,998000.0,-199841000,4171000,145043000,0.0925,23060000,677691000,78168000,-532000.0,,,144199000.0,,139671000.0,749949000,0.0,36802000,-5350000.0,3916000.0,275048000,-61884000,178514240.0,48095000,212852000,190266000.0,464839000,5336000.0,25241000,,450452000,408549000,121139000,133151000.0,,11712000.0,-11356000.0,42496000,,,,,,,,
2007-12-31,4487000,63368000,,317041000,-1028000,1473000,-12163000,37488000,-30660000,206406000.0,-6464000,44877000,,138139000.0,8368000,136130000,31936000,,637622000.0,,275048000,44000,25325000,314853000,268584000,1473000,,1119122000,,672783000,13205000,7426000,971000.0,-151564000,4110000,115288000,,-2982000,704075000,26718000,-9364000.0,,,133148000.0,,138139000.0,770770000,7207000.0,12812000,-960000.0,4028000.0,268584000,-48439000,,46269000,217275000,191739000.0,486800000,0.0,1276000,,446339000,415047000,49086000,141030000.0,,10869000.0,-5252000.0,41414000,,,,,,,,
2008-03-31,5690000,66596000,,324173000,2638000,25623000,-19879000,26716000,25537000,215818000.0,-4804000,2985000,,151265000.0,7769000,121914000,15168000,,657795000.0,0.1425,268584000,44000,6837000,324769000,263780000,25623000,174152828.0,1139275000,,695665000,12608000,7798000,416000.0,-88219000,3994000,70888000,0.1475,36930000,696040000,-20190000,9472000.0,,,158844000.0,3110000.0,151265000.0,816639000,4013000.0,52497000,-6953000.0,4013000.0,263780000,-37210000,178971572.0,60989000,229278000,217362000.0,466762000,0.0,40705000,,443610000,443235000,99283000,141023000.0,,13460000.0,-17148000.0,37373000,,,,,,,,
2008-06-30,1533000,70679000,,254578000,154000,18203000,-14702000,59960000,18039000,221757000.0,93708000,5466000,,157775000.0,5600000,135391000,11146000,,697026000.0,0.1025,263780000,43000,45258000,427012000,357488000,18203000,173503776.0,1215065000,,636218000,12177000,8431000,338000.0,-84654000,4065000,139389000,0.105,27650000,755297000,27093000,2407000.0,,,163041000.0,1722000.0,157775000.0,860067000,3826000.0,41681000,-6363000.0,3826000.0,357488000,32215000,177102404.0,69524000,237250000,235565000.0,518047000,-7818000.0,29185000,,578847000,459768000,113199000,141009000.0,,15493000.0,-24139000.0,38602000,,,,,,,,
2008-09-30,24914000,78789000,,288212000,224000,18248000,-18007000,39838000,18261000,249697000.0,-82204000,15878000,15623000.0,170038000.0,2165000,146684000,12395000,,717585000.0,0.1025,357488000,43000,21831000,435660000,275284000,18248000,172931764.0,1358053000,,723933000,19886000,9789000,276000.0,-199348000,4377000,146090000,0.105,32868000,880479000,1033000,2108000.0,,,179552000.0,349000.0,170038000.0,897137000,3737000.0,35033000,-4928000.0,3737000.0,275284000,-146956000,178121388.0,160376000,283714000,253813000.0,596765000,0.0,30656000,,634120000,477574000,122627000,167008000.0,,34017000.0,-68123000.0,48109000,,,,,,,,
2008-12-31,10321000,95585000,,332411000,84000,21423000,-12568000,95464000,22344000,264637000.0,103815000,31013000,17107000.0,175858000.0,6194000,200590000,13726000,,555969000.0,,275284000,43000,82896000,488492000,379099000,21423000,,1451152000,,784809000,17575000,9396000,255000.0,-177431000,4237000,189897000,,34113000,949880000,70983000,-12701000.0,,,234703000.0,3152000.0,250052000.0,790672000,3752000.0,49703000,-5266000.0,3752000.0,379099000,-1970000,,109393000,308902000,275236000.0,640978000,0.0,36070000,-1868000.0,666343000,501272000,109624000,163380000.0,-74194000.0,44265000.0,-69081000.0,85320000,,,,,,,,
2009-03-31,24712000,61394000,,435647000,-1198000,18458000,-11157000,23418000,19694000,269711000.0,-36870000,30865000,63336000.0,176719000.0,3613000,122279000,10845000,,779244000.0,0.105,379099000,43000,12261000,417629000,342229000,18458000,172271968.0,1552830000,,915579000,23603000,10233000,393130000.0,-292964000,3986000,224312000,0.1075,30912000,1003308000,-12570000,2282000.0,,,153191000.0,5136000.0,,932435000,3789000.0,44758000,-407000.0,3789000.0,342229000,-85000000,176955452.0,75400000,321845000,293694000.0,681463000,0.0,30539000,-5191000.0,637251000,526200000,122279000,218216000.0,,52134000.0,-82573000.0,71723000,,,,,,,,
2009-06-30,-6245000,56412000,,408921000,506000,20230000,-18676000,38701000,19904000,288513000.0,42270000,23851000,62958000.0,194277000.0,4418000,129221000,11789000,,878813000.0,0.115,342229000,45000,20025000,445716000,384499000,20230000,172004628.0,1586209000,,900445000,22714000,10659000,395030000.0,-122088000,4160000,153008000,0.1175,31435000,1001192000,5560000,-770000.0,,,160656000.0,5081000.0,282746000.0,1039469000,3822000.0,46512000,-5040000.0,3822000.0,384499000,9814000,176969356.0,61217000,337748000,313924000.0,663444000,0.0,31693000,-2430000.0,685764000,545674000,129221000,218121000.0,-88469000.0,49235000.0,-181930000.0,82185000,,,,,,,,
2009-09-30,-5886000,64307000,,504175000,5059000,21268000,-12863000,114858000,25270000,276687000.0,9483000,23846000,68024000.0,209920000.0,3750000,181319000,12426000,,818905000.0,0.12,384499000,45000,101995000,439674000,393982000,21268000,172007480.0,1635014000,,1020956000,23454000,9908000,645000.0,-232034000,4064000,169320000,0.1225,38010000,1041757000,74508000,3004000.0,,,219329000.0,7812000.0,306234000.0,1038234000,3817000.0,51668000,-92000.0,3817000.0,393982000,-99489000,177166416.0,45692000,333834000,335192000.0,707923000,-12863000.0,37696000,-23912000.0,614058000,574261000,130024000,219100000.0,-96314000.0,57147000.0,-191961000.0,69586000,,,,,,,,
2009-12-31,33964000,63114000,,545629000,3735000,23715000,-40417000,71218000,23799000,307085000.0,9770000,20685000,91644000.0,230421000.0,3910000,175108000,13781000,,879840000.0,,393982000,46000,30801000,443306000,403752000,23715000,,1702364000,,1086230000,22479000,13204000,646000.0,-144108000,4108000,96143000,,37778000,1082937000,32259000,-820000.0,,,212886000.0,7348000.0,334304000.0,1092726000,3206000.0,54892000,-765000.0,3206000.0,403752000,-95412000,,39554000,367029000,358907000.0,715908000,-40417000.0,37580000,-7030000.0,616134000,600845000,133005000,224587000.0,-103883000.0,59944000.0,-160213000.0,69372000,,,,,,,,
2010-03-31,26001000,58869000,104557000.0,578888000,-3489000,24002000,-23099000,-38500000,20330000,232064000.0,-53663000,20650000,18362000.0,269492000.0,7057000,135507000,12525000,,903603000.0,0.1225,403752000,51000,-61599000,390309000,350089000,24002000,189042856.0,1730671000,,1158769000,22008000,12527000,445486000.0,-146935000,3813000,117469000,0.1275,29611000,981137000,-67939000,950000.0,,,165118000.0,7203000.0,381430000.0,1068721000,3460000.0,49195000,-480000.0,3460000.0,350089000,-41164000,195046112.0,40220000,296024000,382909000.0,685113000,13420000.0,32855000,-2019000.0,571902000,733299000,135507000,229512000.0,-111938000.0,63960000.0,-97136000.0,71473000,,,,,,,,
2010-06-30,20147000,46999000,-23000.0,557969000,-1056000,22773000,-40503000,-59756000,24728000,252028000.0,-84489000,7365000,5695000.0,313839000.0,4142000,133470000,17254000,,901593000.0,0.1125,350089000,52000,-100259000,295260000,265600000,22773000,196542208.0,1733537000,,1187700000,24589000,12391000,456146000.0,-159189000,3869000,174266000,0.115,41709000,954369000,-103615000,3978000.0,,,175179000.0,9400000.0,432834000.0,1076772000,3428000.0,58242000,-88000.0,3428000.0,265600000,-44880000,203465272.0,29660000,317550000,405682000.0,636819000,0.0,41982000,-19454000.0,545837000,763230000,133470000,244304000.0,-118995000.0,65522000.0,-57000.0,86157000,,,,,,,,
2010-09-30,9448000,35876000,0.0,499753000,4969000,22662000,-28358000,72563000,22940000,263513000.0,132066000,461616000,52936000.0,311195000.0,713000,132095000,13163000,,949518000.0,0.11,265600000,52000,44205000,428523000,397666000,22662000,196953624.0,1795177000,,1119189000,24608000,13702000,663000.0,-76606000,4858000,160393000,0.115,40248000,991245000,27054000,2084000.0,,,172343000.0,9661000.0,439164000.0,1121861000,3336000.0,54663000,-146000.0,3336000.0,397666000,50055000,203753428.0,30857000,330153000,428344000.0,661092000,0.0,36103000,-5374000.0,675988000,790294000,132095000,247757000.0,-127969000.0,66640000.0,-274000.0,65086000,,,,,,,,
2010-12-31,16493000,57681000,0.0,595879000,-55874000,25399000,-17876000,194625000,26384000,327824000.0,36500000,459867000,117344000.0,326341000.0,3293000,311869000,16958000,136243000.0,823599000.0,,397666000,52000,176749000,455512000,434166000,25399000,,1943882000,,1287061000,29109000,13380000,2817000.0,-232776000,5452000,118295000,,45501000,1146827000,147977000,3305000.0,,,357370000.0,6424000.0,464970000.0,1180969000,3650000.0,62174000,-2510000.0,3650000.0,434166000,-174618000,,21346000,381581000,453743000.0,765246000,-8720000.0,43342000,,656821000,793939000,146751000,278051000.0,-138629000.0,53378000.0,-98261000.0,64154000,,,,,,,,
2011-03-31,-24134000,62952000,0.0,556806000,-4973000,23745000,-16882000,93991000,22823000,302326000.0,57879000,0,127451000.0,334180000.0,0,200010000,14328000,,977250000.0,0.115,434166000,53000,77109000,544744000,492045000,23745000,199001720.0,2003685000,,1259856000,27813000,14325000,3037000.0,-40423000,5695000,45327000,0.12,39097000,1172489000,53267000,-700000.0,,,239107000.0,5969000.0,482231000.0,1216357000,4394000.0,57171000,-402000.0,4394000.0,492045000,-11978000,207246884.0,52699000,355442000,477488000.0,817047000,0.0,37151000,0.0,743829000,829002000,162581000,278105000.0,-148051000.0,53116000.0,-152577000.0,67062000,,,,,,,,
