date,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyInventory,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyTaxProvision,quarterlyGoodwill,quarterlyDilutedAverageShares,quarterlyLongTermDebt,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyBasicAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyGrossPPE,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyChangeInInventory,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyDilutedEPS,quarterlyOperatingExpense,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyIncomeTaxPayable
1997-09-30,-12400000,-12400000,0.0,,18000000.0,6500000.0,,,2000000.0,4700000.0,9800000.0,-15100000.0,100000.0,,22142857.0,,,,,,,,8100000.0,,,,0.0,42600000.0,42600000.0,27800000.0,-0.56,,,0.0,1300000.0,,,,160200000.0,-12400000,22142857.0,,10600000.0,,15600000.0,2700000,18700000,,4900000.0,,,12000000.0,0.0,,2700000,,,,,0.0,,-12300000.0,132400000.0,-0.56,7900000.0,160200000.0,,,5900000.0,144600000.0,,2900000.0,12700000.0,56000000.0,-2200000.0,,
1997-12-31,4600000,4600000,0.0,,,6900000.0,,,2400000.0,5600000.0,,1900000.0,0.0,,,,,,,,,,10100000.0,,,,0.0,45200000.0,45200000.0,19400000.0,,,,0.0,900000.0,,,,166700000.0,4600000,,,12100000.0,,17700000.0,2700000,22200000,,7000000.0,,,,0.0,,2700000,,,,,0.0,,4600000.0,147300000.0,,9400000.0,6600000.0,,,7000000.0,149000000.0,,2900000.0,14800000.0,63800000.0,,,
1998-03-31,4800000,4800000,0.0,,13300000.0,7200000.0,,,2400000.0,6000000.0,12400000.0,1400000.0,100000.0,,23414634.0,,,,,,,,9800000.0,,,,0.0,38200000.0,38200000.0,25700000.0,0.22,,,0.0,1500000.0,,,,171600000.0,4800000,21818182.0,,13100000.0,,17500000.0,3600000,22900000,,5600000.0,,,,0.0,,3600000,,,,,0.0,,4900000.0,145900000.0,0.205,9500000.0,11500000.0,,,7100000.0,154100000.0,,3200000.0,14300000.0,65000000.0,,,
1998-06-30,-4000000,-4000000,0.0,,12500000.0,10500000.0,,,2500000.0,5600000.0,11500000.0,-7500000.0,100000.0,,22857143.0,,8500000.0,,,,,,10200000.0,,,3900000.0,0.0,40400000.0,48900000.0,24000000.0,-0.175,,,0.0,800000.0,,,,173100000.0,-4000000,22857143.0,,13800000.0,,19900000.0,3700000,24000000,,5000000.0,,,,0.0,,3700000,,,,,0.0,,-3900000.0,149100000.0,-0.175,10100000.0,7500000.0,,,7600000.0,153200000.0,,3600000.0,16300000.0,52800000.0,,,
1998-09-30,1500000,1500000,0.0,,17800000.0,10200000.0,,,2800000.0,7000000.0,13100000.0,1500000.0,100000.0,,23076923.0,,15400000.0,,,,,,8800000.0,,,3900000.0,0.0,27500000.0,42900000.0,30900000.0,0.065,,,0.0,,,,,174500000.0,1500000,23076923.0,,11800000.0,,19500000.0,100000,20600000,,5700000.0,,,,0.0,,100000,,,,,0.0,,1600000.0,143600000.0,0.065,11700000.0,9000000.0,,,8900000.0,155000000.0,,3600000.0,15900000.0,54200000.0,,,
1998-12-31,2100000,2100000,0.0,,,9600000.0,,,3000000.0,8500000.0,,1500000.0,0.0,,,,18500000.0,,,,,,9900000.0,,,3900000.0,0.0,29000000.0,47500000.0,35000000.0,,,,0.0,,,,,179200000.0,2100000,,,13600000.0,,22000000.0,900000,23500000,,8400000.0,,,,0.0,,900000,,,,,0.0,,2100000.0,144200000.0,,12700000.0,11100000.0,,,9700000.0,157200000.0,,4000000.0,18000000.0,45400000.0,,,
1999-03-31,3100000,3100000,0.0,,28400000.0,9300000.0,,,3100000.0,9700000.0,15500000.0,1000000.0,,,22962963.0,,23400000.0,,,,,,11300000.0,,,4000000.0,0.0,13700000.0,37100000.0,43900000.0,0.14,,,0.0,,,,,184600000.0,3100000,22142857.0,,15200000.0,,21500000.0,2100000,26500000,,7500000.0,,,,0.0,,2100000,,,,,0.0,,,140700000.0,0.135,13100000.0,14200000.0,,,10000000.0,163100000.0,,4700000.0,16800000.0,51400000.0,,,
1999-06-30,4300000,4300000,0.0,,22200000.0,10200000.0,,,3300000.0,8200000.0,16800000.0,1300000.0,,,23888889.0,,31300000.0,,,,,,12100000.0,,,4000000.0,0.0,15100000.0,46400000.0,39000000.0,0.185,,,0.0,,,,,191000000.0,4300000,23243243.0,,16400000.0,,21500000.0,3000000,28500000,,6500000.0,,,,0.0,,3000000,,,,,0.0,,,152000000.0,0.18,13400000.0,18600000.0,,,10100000.0,169500000.0,,4800000.0,16700000.0,51400000.0,,,
1999-09-30,5700000,5700000,0.0,,30500000.0,10100000.0,,,3700000.0,8200000.0,18200000.0,1400000.0,,,24782609.0,,28700000.0,,,,,,13400000.0,,,4000000.0,0.0,27800000.0,56500000.0,48700000.0,0.245,,,0.0,,,,,200600000.0,5700000,23265306.0,,18600000.0,,23900000.0,4400000,32000000,,8900000.0,,,,0.0,,4400000,,,,,0.0,,,151900000.0,0.23,14200000.0,24300000.0,,,10500000.0,176700000.0,,4900000.0,19000000.0,37700000.0,,,
1999-12-31,1909000,1909000,19626000.0,,30918000.0,10510000.0,,,3825000.0,8866000.0,19992000.0,-7330000.0,-26000.0,,,418000.0,73082000.0,,,,,,8287000.0,,,4062000.0,0.0,23833000.0,96915000.0,50910000.0,,,,9564000.0,3000.0,,,,210304000.0,1909000,,,28314000.0,-103000.0,26952000.0,5933000,36601000,,11201000.0,,,31256000.0,23833000.0,,5933000,,,,,-35095000.0,,1883000.0,159394000.0,,22381000.0,26233000.0,,,11551000.0,183352000.0,,5238000.0,21714000.0,0.0,-11264000.0,4820000.0,
2000-03-31,6044000,6044000,0.0,,33452000.0,14839000.0,,,4720000.0,11550000.0,21345000.0,6000.0,64000.0,,27466000.0,,64429000.0,,,,,,15668000.0,,,4096000.0,0.0,33408000.0,97837000.0,54797000.0,0.255,,,0.0,,,,,223944000.0,6044000,27466000.0,,21852000.0,,31534000.0,4835000,37520000,,10409000.0,,,32609000.0,0.0,,4835000,,,,,0.0,,6108000.0,169147000.0,0.22,17017000.0,32277000.0,,,12297000.0,192410000.0,,6286000.0,25248000.0,0.0,-11264000.0,,
2000-06-30,104000,104000,0.0,,50668000.0,15929000.0,,,5359000.0,13580000.0,22588000.0,-6773000.0,59000.0,,27678000.0,,60443000.0,,,,,,17894000.0,,,4170000.0,0.0,21419000.0,81862000.0,73256000.0,0.005,,,0.0,,,,,241440000.0,104000,27678000.0,,25028000.0,,36318000.0,5211000,42922000,,13764000.0,,,33852000.0,0.0,,5211000,,,,,0.0,,163000.0,168184000.0,0.005,19817000.0,32381000.0,,,14458000.0,205122000.0,,6625000.0,29693000.0,0.0,-11264000.0,,
2000-09-30,8149000,8149000,0.0,,49365000.0,14749000.0,,,5455000.0,16061000.0,24340000.0,11000.0,72000.0,,28298000.0,,56293000.0,,,,,,19292000.0,,,4220000.0,0.0,24949000.0,81242000.0,73705000.0,0.325,,,0.0,,,,,254452000.0,8149000,24886000.0,,27343000.0,,35830000.0,6793000,46635000,,13760000.0,,,35604000.0,0.0,,6793000,,,,,0.0,,8221000.0,180747000.0,0.29,20550000.0,40530000.0,,,15095000.0,218622000.0,,7321000.0,28509000.0,0.0,-11264000.0,,
2000-12-31,-19616000,-19616000,-2068000.0,,72157000.0,0.0,,,5964000.0,21159000.0,25896000.0,23000.0,78000.0,,,247000.0,29089000.0,,,,23467000.0,46367000.0,21948000.0,,,4313000.0,0.0,18640000.0,47729000.0,98053000.0,,,,-16229000.0,,,,,251489000.0,-19616000,,,4138000.0,-47000.0,42912000.0,-28126000,26086000,,12650000.0,,,45241000.0,18640000.0,,-28126000,,,,,-18113000.0,,-19538000.0,153436000.0,,32264000.0,16632000.0,,,19514000.0,208577000.0,,6795000.0,36117000.0,24371000.0,-19345000.0,6548000.0,
2001-03-31,-28866000,-28866000,0.0,,84417000.0,30000000.0,,,5371000.0,23051000.0,24685000.0,-14575000.0,33000.0,,25908000.0,6873000.0,20498000.0,,,,6402000.0,38206000.0,17875000.0,,,4323000.0,0.0,32749000.0,53247000.0,109102000.0,-1.115,,,0.0,14000.0,,,,235697000.0,-28866000,25908000.0,,7249000.0,,55238000.0,-15372000,25124000,,11949000.0,,,24685000.0,0.0,,-14492000,,,,,0.0,,-28833000.0,126595000.0,-1.115,22621000.0,-12234000.0,,,16370000.0,180459000.0,,6873000.0,48365000.0,1000.0,,0.0,
2001-06-30,-7858000,-7858000,0.0,,80455000.0,0.0,,,4783000.0,17592000.0,24162000.0,-69000.0,10000.0,,25948000.0,6916000.0,21492000.0,,,,34569000.0,35143000.0,18263000.0,,,4333000.0,0.0,31706000.0,53198000.0,104617000.0,-0.3,,,0.0,,,,,222687000.0,-7858000,25948000.0,,12214000.0,,49377000.0,-8825000,30477000,,7892000.0,,,24162000.0,0.0,,-7917000,,,,,0.0,,-7848000.0,118070000.0,-0.3,21039000.0,-20092000.0,,,15348000.0,173310000.0,,6916000.0,42461000.0,0.0,,0.0,
2001-09-30,-4142000,-4142000,0.0,,74454000.0,0.0,,,4597000.0,13797000.0,23508000.0,-276000.0,9000.0,,26084000.0,6608000.0,40876000.0,,,,29213000.0,34996000.0,18264000.0,,,4344000.0,0.0,14507000.0,55383000.0,97962000.0,-0.16,,,0.0,,,,,214518000.0,-4142000,26084000.0,,15544000.0,,45013000.0,-5044000,33808000,,9192000.0,,,23508000.0,0.0,,-4232000,,,,,0.0,,-4133000.0,116556000.0,-0.16,20588000.0,-24234000.0,,,15179000.0,169505000.0,,6608000.0,38405000.0,0.0,,0.0,
2001-12-31,-5929000,-5929000,843000.0,,81533000.0,0.0,,,4439000.0,11057000.0,22111000.0,10074000.0,146000.0,,,,29270000.0,,,,25314000.0,28435000.0,19365000.0,,,4398000.0,0.0,25567000.0,54837000.0,103644000.0,,,,-6805000.0,,,,,210012000.0,-5929000,,,18334000.0,-62000.0,42994000.0,-16764000,37699000,,11123000.0,,,46923000.0,25256000.0,,-1397000,,,,,3913000.0,,-5783000.0,106368000.0,,35098000.0,-30163000.0,,,15292000.0,167018000.0,,6557000.0,36437000.0,0.0,-24812000.0,,
2002-03-31,-1190000,-1190000,0.0,,77336000.0,0.0,,,4279000.0,9189000.0,19977000.0,31000.0,20000.0,,26684000.0,6278000.0,32784000.0,,,,28674000.0,38815000.0,19790000.0,,,,0.0,29979000.0,62763000.0,97313000.0,-0.045,,,0.0,8000.0,,,,214378000.0,-1190000,26684000.0,,16275000.0,166356000.0,48022000.0,-2160000,36065000,,13062000.0,,,19977000.0,0.0,,-2160000,,,,,0.0,,-1170000.0,117065000.0,-0.045,18435000.0,,,,14156000.0,166356000.0,,6278000.0,41744000.0,0.0,,0.0,
2002-06-30,52000,52000,0.0,,69512000.0,0.0,,,4189000.0,9022000.0,19614000.0,-334000.0,150000.0,,25988000.0,,36595000.0,,,,27000000.0,40616000.0,20003000.0,,,,0.0,32690000.0,69285000.0,89126000.0,0.002001,,,0.0,,,,,214429000.0,52000,25988000.0,,18216000.0,166837000.0,47592000.0,-840000,38219000,,14329000.0,,,19614000.0,0.0,,-840000,,,,,0.0,,202000.0,125303000.0,0.002001,19056000.0,,,,14867000.0,166837000.0,,6263000.0,41329000.0,0.0,,,
2002-09-30,425000,425000,0.0,,69723000.0,0.0,,,3922000.0,7507000.0,18284000.0,20000.0,25000.0,,26928000.0,,32883000.0,,,,28793000.0,40229000.0,19617000.0,,,,0.0,35704000.0,68587000.0,88007000.0,0.015,,,0.0,193000.0,,,,213404000.0,425000,26928000.0,,18922000.0,168106000.0,45298000.0,-542000,38539000,,10152000.0,,,43096000.0,0.0,,-542000,,,,,0.0,,450000.0,125397000.0,0.015,19464000.0,,,,15542000.0,168106000.0,,6160000.0,39138000.0,0.0,-24812000.0,,
2002-12-31,-33269000,-33269000,-2068000.0,,22825000.0,0.0,,,5535000.0,13480000.0,24345000.0,-3782000.0,155000.0,,,,33853000.0,,,,45859000.0,45863000.0,25337000.0,47900000.0,,4908000.0,0.0,19281000.0,53134000.0,95070000.0,,,,-16229000.0,24000.0,,,,236288000.0,-33269000,,,24345000.0,770000.0,81752000.0,-30017000,49682000,,16129000.0,,,57982000.0,18640000.0,,-30017000,,,,,-18113000.0,,-33114000.0,141218000.0,,54362000.0,-64145000.0,,,19735000.0,154536000.0,,19740000.0,62012000.0,208000.0,-33637000.0,,
2003-03-31,209000,209000,8020000.0,,69970000.0,0.0,-1521000.0,694000.0,5821000.0,14608000.0,22521000.0,-481000.0,50000.0,,31632000.0,,32670000.0,,718000.0,11827000.0,41271000.0,48016000.0,26562000.0,,4889000.0,,19281000.0,31108000.0,63778000.0,92491000.0,0.005,-7788000.0,,6499000.0,,0.0,8845000.0,,231160000.0,209000,31616000.0,,26714000.0,155075000.0,76085000.0,181000,53276000,2967000.0,14782000.0,,,22521000.0,31108000.0,-636000.0,5070000,,-1344000.0,,,3161000.0,,259000.0,138669000.0,0.005,26533000.0,,4000.0,,20712000.0,155075000.0,,20032000.0,56053000.0,0.0,,,
2003-06-30,1429000,1429000,9740000.0,,81914000.0,0.0,-1213000.0,542000.0,5787000.0,15083000.0,20971000.0,-830000.0,314000.0,,32350000.0,,28813000.0,,542000.0,-5459000.0,47336000.0,44735000.0,27552000.0,,4988000.0,,31108000.0,25649000.0,54462000.0,102885000.0,0.045,-25080000.0,,8527000.0,,0.0,11326000.0,,232644000.0,1429000,31644000.0,,28694000.0,158671000.0,73973000.0,2239000,56246000,3109000.0,15797000.0,,,54608000.0,25649000.0,3075000.0,7227000,,-172000.0,,,-15812000.0,,1743000.0,129759000.0,0.045,26455000.0,,,,20668000.0,158671000.0,,10840000.0,63133000.0,179000.0,-33637000.0,,
2003-09-30,3538000,3538000,9778000.0,,96470000.0,0.0,-3000000.0,3344000.0,6012000.0,14531000.0,19271000.0,-425000.0,456000.0,,33768000.0,,22780000.0,,3344000.0,-3198000.0,43448000.0,44132000.0,27191000.0,,4565000.0,,25649000.0,22451000.0,45231000.0,115741000.0,0.11,-23258000.0,,6778000.0,,0.0,13491000.0,,233635000.0,3538000,32074000.0,,30839000.0,165498000.0,68137000.0,3628000,58030000,1574000.0,14997000.0,,,52908000.0,22451000.0,-2414000.0,8193000,,643000.0,,,-16355000.0,,3994000.0,117894000.0,0.105,27211000.0,,,,21199000.0,165498000.0,,9692000.0,58445000.0,194000.0,-33637000.0,,
2003-12-31,1915000,432000,10638000.0,,68118000.0,1878000.0,242000.0,7482000.0,5213000.0,12634000.0,18627000.0,2028000.0,385000.0,,,,17187000.0,,7482000.0,7408000.0,47370000.0,45973000.0,25010000.0,41504000.0,4646000.0,5142000.0,22451000.0,29859000.0,47046000.0,128249000.0,,-16083000.0,,10880000.0,,0.0,9000000.0,,249415000.0,1915000,,,31696000.0,3888000.0,72584000.0,-1561000,56706000,4395000.0,15744000.0,,,61041000.0,29859000.0,4319000.0,3085000,,2388000.0,,,-10836000.0,,817000.0,121166000.0,,33257000.0,-57054000.0,-74000.0,,20962000.0,176831000.0,,7592000.0,64992000.0,4134000.0,-42414000.0,,
2004-03-31,5851000,2615000,7908000.0,,124072000.0,2203000.0,-1838000.0,8022000.0,6215000.0,12445000.0,18350000.0,0.0,310000.0,,37136000.0,,14219000.0,,8022000.0,8019000.0,46188000.0,44548000.0,26978000.0,,3813000.0,,29859000.0,37878000.0,52097000.0,142422000.0,0.17,-35362000.0,,6070000.0,,0.0,23147000.0,,261056000.0,5851000,34214000.0,,31365000.0,191122000.0,69934000.0,2024000,58343000,1274000.0,14177000.0,,,60764000.0,37878000.0,3570000.0,5837000,,285000.0,,,-7905000.0,,2925000.0,118634000.0,0.155,29341000.0,,11000.0,,23126000.0,191122000.0,,7366000.0,62568000.0,3393000.0,-42414000.0,,
2004-06-30,4504000,4504000,8778000.0,,151534000.0,826000.0,-1351000.0,1896000.0,6218000.0,11364000.0,17467000.0,7000.0,585000.0,,37106000.0,,8298000.0,,1896000.0,-13748000.0,47247000.0,45776000.0,28002000.0,,3843000.0,,37878000.0,24130000.0,32428000.0,169001000.0,0.13,-34501000.0,,7427000.0,,0.0,11640000.0,,267625000.0,4504000,34790000.0,,33267000.0,243944000.0,70380000.0,3912000,61269000,-301000.0,14666000.0,,,59881000.0,24130000.0,-274000.0,7755000,,1006000.0,,,-24351000.0,,5089000.0,98624000.0,0.12,29355000.0,-46699000.0,,,23137000.0,197245000.0,,7641000.0,62739000.0,1525000.0,-42414000.0,,
2004-09-30,5182000,5182000,11251000.0,,154142000.0,134000.0,-1970000.0,2753000.0,6084000.0,11331000.0,17337000.0,-2000.0,630000.0,,37098000.0,,7421000.0,,2753000.0,7599000.0,49211000.0,45864000.0,28754000.0,,3639000.0,,24130000.0,31729000.0,39150000.0,171479000.0,0.145,-14267000.0,,9281000.0,,0.0,11473000.0,,277367000.0,5182000,35190000.0,,34758000.0,246765000.0,72119000.0,5119000,63512000,2734000.0,15172000.0,,,59751000.0,31729000.0,-3192000.0,8758000,,0.0,,,-6473000.0,,5812000.0,105888000.0,0.14,29639000.0,-41517000.0,,,23555000.0,205248000.0,,7602000.0,64517000.0,924000.0,-42414000.0,,
2004-12-31,9018000,9018000,17081000.0,,124215000.0,8000.0,-1542000.0,7196000.0,6349000.0,12615000.0,16981000.0,49000.0,794000.0,,,,24523000.0,,7196000.0,-5150000.0,55302000.0,46407000.0,30574000.0,38410000.0,3703000.0,5464000.0,31729000.0,26579000.0,51102000.0,179606000.0,,-38191000.0,,15539000.0,,0.0,12944000.0,,298319000.0,9018000,,,38945000.0,5506000.0,75448000.0,8973000,69519000,4214000.0,11975000.0,,,67998000.0,26579000.0,2604000.0,12676000,,-1413000.0,,,-29480000.0,,9812000.0,118713000.0,,29972000.0,-32499000.0,,,23623000.0,222871000.0,,8163000.0,67285000.0,3345000.0,-51017000.0,,
2005-03-31,5776000,5776000,12843000.0,,127348000.0,8000.0,-1378000.0,5703000.0,6756000.0,11306000.0,16247000.0,0.0,685000.0,,39722000.0,,41647000.0,,5703000.0,-1159000.0,59860000.0,49365000.0,29548000.0,36064000.0,3289000.0,,26579000.0,25420000.0,67067000.0,179659000.0,0.155,-104143000.0,,11465000.0,,0.0,83518000.0,,316666000.0,5776000,36822000.0,,36574000.0,233693000.0,82973000.0,5409000,66122000,3827000.0,15037000.0,,,67264000.0,25420000.0,2314000.0,8698000,,229000.0,,,-19689000.0,,6461000.0,137007000.0,0.145,31165000.0,,,,24409000.0,233693000.0,,8068000.0,74905000.0,652000.0,-51017000.0,,
2005-06-30,6801000,6801000,19155000.0,,146915000.0,6000.0,-1344000.0,5766000.0,6999000.0,20296000.0,15683000.0,0.0,1030000.0,,40610000.0,,22746000.0,,5766000.0,9533000.0,83560000.0,54951000.0,31589000.0,49432000.0,3117000.0,,25420000.0,34953000.0,57699000.0,212030000.0,0.18,-47005000.0,,17811000.0,,0.0,72139000.0,,353693000.0,6801000,37536000.0,,40641000.0,244769000.0,108924000.0,6586000,72230000,8919000.0,17121000.0,,,66700000.0,34953000.0,-210000.0,9703000,,-1524000.0,,,-15314000.0,,7831000.0,141663000.0,0.165,34055000.0,,,,26850000.0,244769000.0,,8237000.0,100687000.0,653000.0,-51017000.0,,
2005-09-30,7869000,7869000,15267000.0,,158764000.0,7000.0,-1670000.0,4750000.0,7771000.0,22304000.0,15373000.0,0.0,1806000.0,,41506000.0,,35823000.0,,4750000.0,-9881000.0,90410000.0,56881000.0,36491000.0,50445000.0,3691000.0,,34953000.0,25072000.0,60895000.0,224582000.0,0.205,-36649000.0,,13597000.0,,0.0,11033000.0,,373457000.0,7869000,38248000.0,,46226000.0,269387000.0,116123000.0,8418000,82717000,-6234000.0,17209000.0,,,66390000.0,25072000.0,-41693000.0,12109000,,-1516000.0,,,-30037000.0,,9675000.0,148875000.0,0.19,37808000.0,-12053000.0,9930000.0,,29492000.0,257334000.0,,8497000.0,107626000.0,653000.0,-51017000.0,,
