date,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyDepreciationAndAmortization,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyDilutedEPS,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyBasicAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyResearchAndDevelopment,quarterlyTotalRevenue,quarterlyEbitda,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCashItems,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyPretaxIncome,quarterlyDeferredIncomeTax,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyPurchaseOfBusiness
2015-03-31,2616596000.0,-75139000,,,87499000.0,,142614000.0,3175247000.0,,217290000,0.364,217290000,24524000,0.0,1492000.0,0.0,-1190856000,0.0,,35000000.0,,,328538000,-328311000,571815789.0,587099000.0,0.0,,0.38,217290000,2588148000.0,596950549.0,359087000,58134000.0,,,-66162000,328538000.0,2945134000.0,478088000.0,882285000,95824000.0,0.0,-60000.0,107282000.0,0.0,-19740000,0.0,172940000,85532000.0,106778000,217304000,317122000.0,-30429000,0.0,,,-55399000,-66588000,23810000.0,14000,-4802051000.0,585607000.0,3032633000.0,23810000.0,-258081000,217304000,,,,,,,,,,
2015-06-30,2590595000.0,-120702000,,,96837000.0,,229152000.0,3283766000.0,,16489000,0.027,16489000,23607000,0.0,1433000.0,,-358398000,0.0,,,,,367182000,-97288000,588892857.0,514145000.0,0.0,,0.028,16489000,2769621000.0,610703704.0,328538000,58717000.0,,,134425000,367182000.0,2957777000.0,405932000.0,358773000,91778000.0,0.0,-39000.0,106543000.0,0.0,-97663000,0.0,39417000,110818000.0,173842000,39417000,160332000.0,39194000,0.0,,,-23039000,40005000,25482000.0,0,-4776903000.0,512712000.0,3054614000.0,25482000.0,-87188000,16489000,,,,,,,,,,
2015-09-30,2621343000.0,135707000,,,73548000.0,,221987000.0,3501141000.0,,140267000,0.23,140267000,20599000,0.0,1433000.0,0.0,-22888000,0.0,,,,,584263000,-41594000,589357143.0,461961000.0,0.0,,0.238,140267000,3039180000.0,609856522.0,367182000,59322000.0,,,135087000,584263000.0,3205606000.0,357296000.0,-16213000,91715000.0,0.0,-79000.0,103054000.0,0.0,-2493000,0.0,142678000,114488000.0,277765000,142678000,120824000.0,20565000,0.0,,,138200000,217430000,25624000.0,0,-4628184000.0,460528000.0,3279154000.0,25624000.0,-28999000,140267000,,,,,,,,,,
2015-12-31,2619243000.0,236194000,,,174660000.0,,234659000.0,3902548000.0,,389467000,,389467000,22494000,0.0,1433000.0,118000.0,-503316000,0.0,,3000.0,,,873986000,-13690000,,415828000.0,0.0,0.0,,389467000,3486720000.0,,584263000,59531000.0,192642000.0,,199312000,873986000.0,3493229000.0,282708000.0,505119000,94476000.0,0.0,-59000.0,31989000.0,0.0,-15493000,2564000.0,375344000,176818000.0,574656000,383585000,44814000.0,-56478000,0.0,-128915000.0,,251687000,282811000,28812000.0,-6000000,-4228278000.0,414395000.0,3667889000.0,157727000.0,-164174000,383467000,,,,,,,,,,
2016-03-31,2855608000.0,-12740000,,,192510000.0,,228101000.0,3911133000.0,,-11525000,-0.019,-11525000,26716000,0.0,1433000.0,,-424385000,0.0,,-36000000.0,,,634914000,-244817000,606578947.0,389880000.0,0.0,,-0.019,-11525000,3521253000.0,606578947.0,873986000,59678000.0,,,153832000,634914000.0,3490522000.0,260081000.0,183672000,90109000.0,0.0,-60000.0,128307000.0,0.0,-4104000,38444000.0,16339000,127116000.0,170171000,16339000,38384000.0,50014000,0.0,,,-8636000,-215069000,30521000.0,14000,-4227822000.0,388447000.0,3683032000.0,30521000.0,-57533000,-11511000,,,,,,,,,,
2016-06-30,3120422000.0,206993000,,,145133000.0,,221018000.0,4128273000.0,,168230000,0.272,168230000,24541000,0.0,1433000.0,,-933754000,0.0,,,,,641700000,-257175000,596560284.0,379652000.0,0.0,,0.282,168230000,3748621000.0,618492647.0,634914000,59834000.0,,,212046000,641700000.0,3762122000.0,242264000.0,679512000,92544000.0,4104000.0,-59000.0,135955000.0,0.0,-2933000,43557000.0,141781000,187505000.0,353827000,141781000,43498000.0,-3126000,0.0,,,209926000,-3751000,31085000.0,0,-4046446000.0,378219000.0,3907255000.0,31085000.0,36742000,168230000,,,,,,,,,,
2016-09-30,3145808000.0,203176000,,,199589000.0,,210991000.0,4353053000.0,,188957000,0.306,188957000,27231000,,0.0,,-559538000,0.0,,,,,796665000,-32731000,599863492.0,418941000.0,0.0,,0.315,188957000,3934112000.0,617506536.0,641700000,60248000.0,,,177828000,796665000.0,3942473000.0,251854000.0,528335000,92163000.0,-1528000.0,0.0,165654000.0,0.0,-1528000,101814000.0,186836000,150597000.0,364664000,186836000,-16285000.0,21597000,0.0,,,204704000,155688000,30215000.0,0,-3962388000.0,418941000.0,4142062000.0,30215000.0,-11235000,188957000,,,,,,,,,,
2016-12-31,3614942000.0,-102819000,,,975674000.0,,340597000.0,5238236000.0,,841413000,,841413000,23925000,,0.0,,-1090807000,0.0,,67014000.0,,,307023000,-479816000,,411540000.0,0.0,0.0,,841413000,4826696000.0,,796665000,60350000.0,181895000.0,,219583000,307023000.0,3921965000.0,228150000.0,635535000,102883000.0,-20855000.0,1000.0,22271000.0,0.0,-24544000,25590000.0,707877000,195658000.0,927460000,785474000,25591000.0,-145869000,0.0,-131752000.0,0.0,-78275000,-532500000,32194000.0,-56872000,-3106114000.0,411540000.0,4897639000.0,163946000.0,-826845000,784541000,,,,,,,,,,
2017-03-31,3986210000.0,748065000,,,325564000.0,,329405000.0,5405594000.0,,16099000,0.026,16099000,34636000,,0.0,,-1240948000,0.0,,,,,764415000,-387209000,596259259.0,399375000.0,0.0,,0.027,16099000,5006219000.0,619192308.0,307023000,60735000.0,,,204707000,764415000.0,4750625000.0,204447000.0,857595000,102790000.0,0.0,0.0,131883000.0,0.0,-3856000,103278000.0,46070000,170071000.0,250777000,46070000,103278000.0,54537000,0.0,,,751921000,467990000,33491000.0,4383000,-3029776000.0,399375000.0,5076189000.0,33491000.0,665377000,20482000,,,,,,,,,,
2017-06-30,4183038000.0,508050000,,,503968000.0,,309788000.0,6028515000.0,,307265000,0.495,307265000,35365000,,0.0,,-883632000,0.0,,,,,1031721000,-332345000,608445545.0,589161000.0,0.0,,0.505,307265000,5439354000.0,620737374.0,764415000,61118000.0,,,236933000,1031721000.0,5214759000.0,181509000.0,587275000,103270000.0,0.0,0.0,344607000.0,0.0,-35988000,90481000.0,536415000,201568000.0,773348000,536415000,90481000.0,176779000,0.0,,,544038000,302174000,66725000.0,83675000,-2687602000.0,589161000.0,5718727000.0,66725000.0,-35414000,390940000,,,,,,,,,,
