date,quarterlyNetPPE,quarterlyInventory,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBasicEPS,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyNetIncome,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyDilutedAverageShares,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyCurrentAssets,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyAccountsReceivable,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2014-09-30,1045900000.0,978100000.0,2200000,4700000,-622400000.0,158700000.0,,65600000,149400000.0,149400000.0,0.332042,150400000.0,-200000,45800000,386000000,0.0,137934515.0,163200000,381900000.0,-19900000,45800000,0.0,0.0,0.0,178400000.0,-13800000,-918500000.0,0.0,-3000000,,48000000,137934515.0,-25700000,-25500000,54000000,,-51900000,2608900000,1634900000.0,1668300000.0,107100000,2795400000.0,-24000000,149400000,45800000,171400000,3900000,4400000,,493100000,-158100000.0,0.332042,-162000000,1141000000.0,233600000,4281500000.0,1761100000.0,3502900000.0,6298300000.0,-16800000,3743600000.0,28300000,258900000.0,2115800000,57800000,1462200000.0,144100000,600700000.0,76700000.0,5916400000.0,,,,,,,
2014-12-31,1032300000.0,942700000.0,-33200000,-21300000,-644800000.0,119700000.0,,59600000,206000000.0,206000000.0,,141800000.0,1600000,-82600000,501100000,0.0,,149400000,248100000.0,-19500000,-82600000,0.0,0.0,0.0,145900000.0,56600000,-1001300000.0,-42200000.0,-41200000,,-115800000,,-39800000,3600000,148200000,,87700000,2387200000,1518900000.0,1677100000.0,-36400000,2621800000.0,-76500000,206000000,-82600000,6500000,600000,5800000,,464700000,-208200000.0,,-136500000,991900000.0,342700000,4309600000.0,1767600000.0,3454800000.0,6076600000.0,20400000,3739500000.0,108400000,308100000.0,1922500000,62700000,1277500000.0,167500000,574900000.0,64500000.0,5828500000.0,,,,,,,
2015-03-31,1012700000.0,945400000.0,7600000,2700000,-656000000.0,124300000.0,,64400000,181400000.0,181400000.0,0.14,125700000.0,1900000,19700000,373800000,0.0,137934515.0,206000000,150200000.0,-53700000,19700000,0.0,0.0,0.0,135600000.0,-24600000,-981600000.0,,3800000,,27300000,137934515.0,-31900000,-48400000,88100000,,8800000,2299100000,1543700000.0,1668700000.0,87800000,2578500000.0,-30200000,181400000,19700000,145600000,1500000,3400000,,461600000,-329300000.0,0.14,99800000,1045300000.0,232900000,4222400000.0,1722000000.0,3337800000.0,5916300000.0,-44700000,3681900000.0,56200000,298000000.0,1837500000,53900000,1242500000.0,-22900000,538100000.0,53800000.0,5766100000.0,,,,,,,
2015-06-30,1032400000.0,902800000.0,-600000,-32900000,-690500000.0,128900000.0,763800000.0,64600000,197000000.0,197000000.0,-0.12,108000000.0,-3800000,-12400000,384200000,1400000.0,102846681.0,181400000,923700000.0,-709400000,-12400000,-5500000.0,0.0,38600000.0,136900000.0,15600000,-994200000.0,-18600000.0,-5600000,,-13000000,102846681.0,-30500000,38000000,20500000,,-31800000,2510100000,1612100000.0,1722900000.0,83000000,2713900000.0,-51300000,197000000,-12400000,111700000,1900000,4000000,,467200000,-304500000.0,-0.12,128000000,1185000000.0,219000000,3545900000.0,1737100000.0,3367800000.0,6081700000.0,53000000,3006200000.0,-10000000,253100000.0,2042900000,60100000,1407600000.0,-149300000,526600000.0,61700000.0,5158000000.0,,,,,,,
2015-09-30,1035800000.0,859800000.0,7600000,-20700000,-710600000.0,100900000.0,-500000.0,40800000,187400000.0,187400000.0,0.09,73500000.0,-30400000,12100000,354000000,1400000.0,137585461.0,197000000,853100000.0,-2774800000,12100000,0.0,0.0,0.0,135500000.0,-9600000,-982100000.0,-32000000.0,-5200000,,19700000,138383633.0,-40900000,-3800000,82600000,,13800000,2206300000,1390500000.0,1746400000.0,96500000,2471300000.0,-71600000,187400000,12100000,116800000,2100000,1700000,,450500000,-388800000.0,0.09,-192000000,978900000.0,215000000,3576500000.0,1723500000.0,3348800000.0,5820100000.0,27600000,3080900000.0,41700000,266700000.0,1755800000,56300000,1243400000.0,150200000,505700000.0,76400000.0,4967000000.0,,,,,,,
2015-12-31,1082500000.0,803400000.0,-4400000,-8800000,-723500000.0,58000000.0,0.0,41500000,188100000.0,188100000.0,-0.02,93400000.0,500000,-2900000,377200000,1400000.0,137600000.0,187400000,816700000.0,-9900000,-2900000,0.0,0.0,0.0,135000000.0,700000,-985000000.0,-102800000.0,-400000,-500000.0,-7300000,137600000.0,-41700000,-5600000,164800000,,113200000,1966300000,1293500000.0,1806000000.0,42600000,2196300000.0,-141300000,188100000,-2900000,88900000,2000000,1100000,,419800000,-424400000.0,-0.02,-139900000,836000000.0,232100000,3502200000.0,1745100000.0,3416100000.0,5612400000.0,46400000,3057400000.0,123100000,301300000.0,1546500000,54700000,1026200000.0,220700000,518900000.0,66100000.0,4795700000.0,,,,,,,
2016-03-31,1093000000.0,922300000.0,5100000,-16300000,-779100000.0,52000000.0,,41500000,222100000.0,222100000.0,0.1,89100000.0,100000,14000000,354300000,1400000.0,137600000.0,188100000,900300000.0,-9400000,14000000,-1300000.0,0.0,0.0,131900000.0,34000000,-971000000.0,-53300000.0,-6900000,,19100000,137800000.0,-23500000,17800000,64700000,,1200000,1999000000,1497000000.0,1872100000.0,76000000,2446800000.0,-77200000,222100000,14000000,116100000,2200000,1700000,,430300000,-357100000.0,0.1,181000000,1043700000.0,227100000,3538100000.0,1796700000.0,3488600000.0,5935400000.0,-95100000,3101800000.0,41200000,292100000.0,1568700000,55500000,1140200000.0,-84800000,523800000.0,70400000.0,5035100000.0,,,,,,,
2016-06-30,1069700000.0,801700000.0,900000,-2200000,-789500000.0,53800000.0,,41400000,223800000.0,223800000.0,0.29,122100000.0,900000,39800000,362100000,1400000.0,137600000.0,222100000,938700000.0,-7900000,39800000,-400000.0,0.0,0.0,133000000.0,1700000,-931200000.0,-1500000.0,3300000,,40700000,138100000.0,-21700000,-19000000,50400000,,-55700000,2262500000,1540000000.0,1859200000.0,83300000,2503700000.0,-21600000,223800000,39800000,143400000,1300000,1900000,,445400000,-360700000.0,0.29,61800000,1100800000.0,225200000,3475700000.0,1803300000.0,3450700000.0,5954400000.0,113400000,3039400000.0,28700000,258000000.0,1817100000,61300000,1325000000.0,-189300000,500000000.0,74400000.0,5015700000.0,,,,,,,
2016-09-30,1030600000.0,753600000.0,-44600000,-140000000,-815400000.0,24800000.0,0.0,40600000,267100000.0,267100000.0,-0.46,134100000.0,4000000,-63000000,366200000,1400000.0,137700000.0,223800000,862800000.0,-23300000,-63000000,100000.0,0.0,0.0,133200000.0,43300000,-994200000.0,0.0,-53600000,,-107600000,137700000.0,-20700000,-45400000,109100000,,21900000,1999700000,1336000000.0,1846000000.0,71900000,2300600000.0,-19400000,267100000,-63000000,-2100000,3600000,1400000,,438100000,-381000000.0,-0.46,-202000000,890300000.0,219600000,3398100000.0,1795900000.0,3296300000.0,5596900000.0,41900000,2993600000.0,88400000,244500000.0,1561600000,64900000,1127600000.0,190900000,361800000.0,79900000.0,4734100000.0,,,,,,,
2016-12-31,1019500000.0,756600000.0,27400000,5000000,-811500000.0,17200000.0,0.0,40300000,336400000.0,336400000.0,-0.43,134300000.0,-5200000,-59200000,410700000,1400000.0,138100000.0,267100000,809900000.0,-137600000,-59200000,-100000.0,0.0,0.0,109700000.0,69300000,-1053400000.0,1200000.0,25600000,0.0,-31800000,138100000.0,-24200000,-119500000,225400000,,197500000,1812500000,1339500000.0,1831000000.0,2600000,2178100000.0,-17800000,336400000,-59200000,64700000,3300000,2000000,,413300000,-389900000.0,-0.43,-28800000,852300000.0,283600000,3240500000.0,1784400000.0,3211800000.0,5389900000.0,-18200000,2845000000.0,201200000,287300000.0,1399200000,56200000,950300000.0,153400000,339200000.0,50500000.0,4580000000.0,,,,,,,
2017-03-31,1011200000.0,829900000.0,1600000,-7600000,-845000000.0,24900000.0,,36700000,300600000.0,300600000.0,0.16,137400000.0,-4400000,22600000,367600000,1400000.0,139400000.0,336400000,875100000.0,-2211500000,22600000,-300000.0,0.0,0.0,102600000.0,-35800000,-1031300000.0,-500000.0,-3300000,-6000000.0,24200000,140800000.0,-20900000,60700000,-80300000,,-161900000,1998800000,1420900000.0,1856200000.0,71800000,2388400000.0,-21700000,300600000,22600000,113500000,6400000,2500000,,439400000,-371700000.0,0.16,79900000,931600000.0,232500000,3300000000.0,1789400000.0,3207600000.0,5596000000.0,-66400000,2905700000.0,-101200000,272100000.0,1559400000,52600000,1102100000.0,-142400000,325000000.0,52900000.0,4720900000.0,,,,,,,
2017-06-30,1008800000.0,817300000.0,7300000,-14000000,-878800000.0,17700000.0,,36600000,321800000.0,321800000.0,0.22,118700000.0,-7000000,31300000,378000000,1400000.0,140100000.0,300600000,959700000.0,-26500000,31300000,1300000.0,0.0,0.0,106900000.0,21200000,-1000000000.0,0.0,-2000000,,38600000,141300000.0,-17700000,-39900000,64600000,,-22400000,2247000000,1561000000.0,1887600000.0,88400000,2604200000.0,-16400000,321800000,31300000,125800000,5100000,2100000,,466400000,-326800000.0,0.22,172500000,1130000000.0,238700000,3286200000.0,1800500000.0,3202700000.0,5806900000.0,28500000,2895500000.0,46900000,239700000.0,1780600000,50600000,1313500000.0,-179200000,312700000.0,56700000.0,4847200000.0,,,,,,,
2017-09-30,1019100000.0,792300000.0,6500000,-12100000,-912200000.0,19600000.0,,39300000,293900000.0,293900000.0,0.28,98200000.0,-500000,38900000,358900000,1400000.0,140400000.0,321800000,1064300000.0,-29600000,38900000,-2200000.0,0.0,0.0,107400000.0,-27900000,-961100000.0,-23900000.0,1300000,,45400000,141400000.0,-19400000,-53100000,48300000,,-46700000,2048700000,1366000000.0,1931300000.0,95900000,2447400000.0,-42300000,293900000,38900000,134000000,4500000,1100000,,454800000,-269100000.0,0.28,-194300000,945400000.0,232500000,3259800000.0,1825900000.0,3242700000.0,5690100000.0,39400000,2872600000.0,28900000,224900000.0,1593900000,49300000,1205300000.0,123300000,308200000.0,66700000.0,4625800000.0,,,,,,,
2017-12-31,1003000000.0,839500000.0,33600000,-300000,-927200000.0,35400000.0,,39400000,467000000.0,467000000.0,,75400000.0,-3200000,27000000,344900000,1400000.0,,293900000,1090100000.0,-2318100000,27000000,0.0,0.0,0.0,110700000.0,173100000,-934100000.0,0.0,15700000,,60600000,,-24700000,-76400000,246300000,,158800000,1959200000,1419400000.0,1930200000.0,100000000,2518500000.0,1300000,467000000,27000000,147900000,3700000,1500000,,444900000,-278500000.0,,-4500000,941700000.0,219900000,3223200000.0,1818400000.0,3214200000.0,5732700000.0,-49200000,2820000000.0,221600000,301600000.0,1514300000,47900000,1062400000.0,139800000,287700000.0,82300000.0,4642600000.0,,,,,,,
2018-03-31,983800000.0,921900000.0,10200000,-700000,-940100000.0,45800000.0,,36100000,115900000.0,115900000.0,0.46,29000000.0,-2700000,65400000,375400000,1400000.0,140900000.0,467000000,1165700000.0,-320100000,65400000,,,,100800000.0,-351100000,-868400000.0,-8900000.0,-3000000,,75600000,142000000.0,-16200000,-186800000,-139000000,,-258000000,2158000000,1446000000.0,1923900000.0,111200000,2500900000.0,-22900000,115900000,65400000,156500000,9400000,2400000,,486600000,-276100000.0,0.46,67300000,1011700000.0,250400000,3082600000.0,1809200000.0,3193400000.0,5694300000.0,-80100000,2683500000.0,-155200000,330700000.0,1671400000,44800000,1288500000.0,-219400000,279000000.0,91100000.0,4528600000.0,,,,,,,
2018-06-30,964200000.0,880300000.0,27200000,-7500000,-951800000.0,49200000.0,,32900000,128600000.0,128600000.0,0.4,87800000.0,100000,56100000,377700000,1400000.0,141100000.0,115900000,1171000000.0,-233400000,56100000,,,,98800000.0,12700000,-812300000.0,-11500000.0,8000000,,83300000,142000000.0,-28900000,-25700000,90000000,,-25800000,2372600000,1553500000.0,1916000000.0,122800000,2558000000.0,-40100000,128600000,56100000,160900000,4300000,2600000,,500500000,-331500000.0,0.4,139200000,1127300000.0,245200000,2984600000.0,1800200000.0,3151100000.0,5709100000.0,28500000,2590100000.0,61100000,264000000.0,1872100000,44700000,1369200000.0,-110800000,267100000.0,95900000.0,4538100000.0,,,,,,,
2018-09-30,960700000.0,843600000.0,20300000,-8600000,-976400000.0,49900000.0,,32800000,85900000.0,85900000.0,0.35,66000000.0,-500000,49600000,358000000,1400000.0,141200000.0,128600000,1230700000.0,-4600000,49600000,,,,103400000.0,-42700000,-762700000.0,400000.0,3900000,,69900000,142300000.0,-14800000,-77600000,46400000,,-56100000,2130700000,1329800000.0,1937100000.0,110700000,2355300000.0,-8300000,85900000,49600000,147700000,4000000,0,,468700000,-329600000.0,0.35,-213800000,920800000.0,233000000,2936600000.0,1807100000.0,3141800000.0,5497100000.0,39700000,2543700000.0,31600000,251900000.0,1662000000,45000000,1261000000.0,113900000,254200000.0,99100000.0,4266400000.0,,,,,,,
2018-12-31,955800000.0,803300000.0,-7800000,-61200000,-970100000.0,42900000.0,,33800000,121600000.0,121600000.0,0.01,29800000.0,-1400000,1200000,356400000,1400000.0,141400000.0,85900000,1191700000.0,-3800000,1200000,-200000.0,,,98400000.0,35700000,-761500000.0,1400000.0,-6100000,,-6600000,142200000.0,-34700000,-228200000,292500000,,241400000,1971200000,1334600000.0,1925900000.0,87900000,2188700000.0,-27700000,121600000,900000,72200000,3000000,3300000,,444300000,-373200000.0,0.01,16600000,925400000.0,223500000,2746100000.0,1780700000.0,3083700000.0,5272400000.0,26300000,2350400000.0,257800000,285800000.0,1526900000,45000000,1094700000.0,154200000,238100000.0,84300000.0,4080700000.0,,,,,,,
2019-03-31,1168200000.0,996600000.0,-23300000,-159400000,-1007500000.0,114400000.0,,34800000,788000000.0,788000000.0,-0.43,31500000.0,-2000000,-63900000,396100000,1700000.0,149200000.0,121600000,1781000000.0,-4600000,-70000000,-1300000.0,,,258000000.0,666400000,-822200000.0,-1165500000.0,-28200000,,-93300000,149200000.0,-16500000,1330500000,-123500000,,-88000000,2160000000,1687900000.0,2175700000.0,100300000,3447000000.0,-532600000,788000000,-63900000,-10900000,6000000,2300000,,496400000,-376500000.0,-0.43,37300000,1096700000.0,259400000,4318900000.0,2472100000.0,4340800000.0,7787800000.0,-42900000,3694000000.0,-140000000,467000000.0,1663600000,47600000,1466500000.0,-86600000,398500000.0,277600000.0,6006800000.0,,,,,,,
2019-06-30,1153500000.0,938000000.0,18500000,-44900000,-1040000000.0,118800000.0,,39000000,109500000.0,109500000.0,0.1,22200000.0,-200000,16300000,459000000,1700000.0,169800000.0,788000000,1774500000.0,-454900000,17000000,0.0,,,270100000.0,-678500000,-805900000.0,10000000.0,3300000,,35500000,170700000.0,-28900000,-597600000,-57000000,,-151800000,2584600000,1599900000.0,2193500000.0,118300000,2806200000.0,-28800000,109500000,16300000,132800000,11300000,5500000,,577300000,-380700000.0,0.1,-26900000,1081500000.0,292100000,3756700000.0,2488000000.0,4324900000.0,7131100000.0,65300000,3117100000.0,-85900000,409600000.0,2007300000,58300000,1544400000.0,-67200000,381000000.0,277100000.0,5356600000.0,,,,,,,
2019-09-30,1161100000.0,872900000.0,43200000,-41500000,-1067600000.0,111100000.0,,37400000,134600000.0,134600000.0,0.01,21900000.0,0,2500000,420900000,1700000.0,168600000.0,109500000,1745000000.0,-5900000,2500000,0.0,,,261200000.0,25100000,-803400000.0,-45500000.0,29300000,,45700000,169500000.0,-26700000,-121600000,214700000,,109500000,2387300000,1445700000.0,2228700000.0,124000000,2576300000.0,-45100000,134600000,2500000,136800000,4400000,8300000,,544900000,-417000000.0,0.01,-95600000,973300000.0,273600000,3594000000.0,2409500000.0,4208400000.0,6784700000.0,49700000,2977100000.0,188000000,349800000.0,1842400000,53700000,1375700000.0,157500000,348200000.0,267600000.0,5039700000.0,,,,,,,
