date,quarterlyBasicAverageShares,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyDilutedEPS,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue
1986-09-30,376420000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.115,,,,,,,,,,596400000,596400000,596400000,,,,,,,,,,,,,,376420000.0,,,,,,,,,,,,,,0.115,,,43500000,,,,,,,,
1986-12-31,,,,,8400000.0,,20600000.0,-337800000.0,158900000.0,,,237500000.0,,,213700000.0,,,,793300000.0,,,149000000.0,,962900000.0,1356300000.0,,,27600000.0,27600000.0,,,,,,,615000000,-1284000000,-1284000000,,628400000.0,,,,,,,1131100000.0,,393400000.0,,222100000.0,,,,,592200000.0,,,,727900000.0,,,210800000.0,,,,36600000.0,,37700000,,,406300000.0,50900000.0,,,,
1987-03-31,360744000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,590200000,590200000,590200000,,,,,,,,,,,,,,360744000.0,,,,,,,,,,,,,,0.09,,,32900000,,,,,,,,
1987-06-30,360744000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,,,,497700000,497700000,497700000,,,,,,,,,,,,,,360744000.0,,,,,,,,,,,,,,0.075,,,27000000,,,,,,,,
1987-09-30,360744000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,,,,,,,,,680100000,680100000,680100000,,,,,,,,,,,,,,360744000.0,,,,,,,,,,,,,,0.135,,,47700000,,,,,,,,
1987-12-31,,,,,31400000.0,,35700000.0,-397300000.0,163800000.0,,,285400000.0,,,268400000.0,,,,863000000.0,,,261600000.0,,1160300000.0,1645200000.0,,,15000000.0,15000000.0,,,,,,,665700000,-1474000000,-1474000000,,812800000.0,,,,,,,1260300000.0,,484900000.0,,299800000.0,,,,,688900000.0,,,,832400000.0,,,306100000.0,,,,43100000.0,,40500000,,,513000000.0,63000000.0,,,,
1988-03-31,360744000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.105,,,,,,,,,,617500000,617500000,617500000,,,,,,,,,,,,,,360744000.0,,,,,,,,,,,,,,0.105,,,36900000,,,,,,,,
1988-06-30,360744000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,553600000,553600000,553600000,,,,,,,,,,,,,,360744000.0,,,,,,,,,,,,,,0.08,,,28600000,,,,,,,,
1988-09-30,360744000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.285,,,,,,,,,,597600000,597600000,597600000,,,,,,,,,,,,,,360744000.0,,,,,,,,,,,,,,0.285,,,41700000,,,,,,,,
1988-12-31,,,,,54900000.0,,38300000.0,-282900000.0,132400000.0,,,308800000.0,,,290500000.0,,,,736000000.0,,,371300000.0,,1145600000.0,1764700000.0,,,70100000.0,70100000.0,,,,,,,672200000,-1229800000,-1229800000,,758800000.0,,,,,,,1018900000.0,,619100000.0,,345400000.0,,,,,844300000.0,,,,1005900000.0,,,233000000.0,,,,48000000.0,,46200000,,,413400000.0,73400000.0,,,,
1989-03-31,360744000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,572200000,572200000,572200000,,,,,,,,,,,,,,360744000.0,,,,,,,,,,,,,,0.11,,,39700000,,,,,,,,
1989-06-30,358571429.0,,4700000.0,,103500000.0,,41400000.0,-309000000.0,138000000.0,0.0,,405700000.0,,,133300000.0,,17100000.0,42200000.0,784600000.0,,,365500000.0,,1191500000.0,1749400000.0,0.07,,4800000.0,4800000.0,,,,,60700000.0,,485500000,46900000,46900000,,712600000.0,,25100000.0,,,188400000.0,,1093600000.0,,557900000.0,,297500000.0,358571429.0,,,,878100000.0,,,297100000.0,1036800000.0,,,227200000.0,,141500000.0,0.07,49900000.0,141500000.0,25100000,25100000.0,,415100000.0,65500000.0,,,,
1989-09-30,360000000.0,,6600000.0,-6100000.0,125400000.0,-36600000.0,42900000.0,-320700000.0,143200000.0,-100000.0,0.0,340400000.0,8900000.0,63000000.0,163200000.0,,35500000.0,87700000.0,807100000.0,,,364000000.0,26400000.0,1214000000.0,1853300000.0,0.145,,13800000.0,13800000.0,,,0.0,,79400000.0,,682400000,94400000,94400000,,779400000.0,,52200000.0,0.0,-48000000.0,262200000.0,,1127800000.0,,639300000.0,-17300000.0,368000000.0,360000000.0,,,,913000000.0,,,420200000.0,1073900000.0,-11400000.0,,216500000.0,,167800000.0,0.145,51700000.0,167800000.0,52200000,52200000.0,,411400000.0,65300000.0,,,,
1989-12-31,,,4400000.0,-124600000.0,18600000.0,-47200000.0,43200000.0,-320400000.0,141500000.0,-100000.0,0.0,309800000.0,38700000.0,190400000.0,165000000.0,,39300000.0,93400000.0,829900000.0,,,373400000.0,143200000.0,1246500000.0,1814100000.0,,,52500000.0,52500000.0,,,0.0,,102200000.0,,680900000,97900000,97900000,,697000000.0,,54100000.0,0.0,-27100000.0,347000000.0,,1150300000.0,,567600000.0,-17300000.0,285800000.0,,,,,949800000.0,,,333900000.0,1117100000.0,20100000.0,,216100000.0,,249100000.0,,53600000.0,183400000.0,54100000,54100000.0,,411200000.0,83400000.0,,,,
1990-03-31,362307692.0,,5200000.0,29000000.0,70700000.0,-30800000.0,46000000.0,-332100000.0,143400000.0,0.0,0.0,357300000.0,-33400000.0,45500000.0,193400000.0,,32300000.0,79400000.0,874700000.0,,,422100000.0,14700000.0,1342800000.0,1918300000.0,0.13,,19100000.0,19100000.0,,,52500000.0,,97600000.0,,681200000,84600000,84600000,,774200000.0,,47100000.0,0.0,-107900000.0,281900000.0,,1206800000.0,,575500000.0,-17300000.0,361700000.0,362307692.0,,,,979600000.0,,,399300000.0,1144100000.0,-77100000.0,,214000000.0,,197300000.0,0.13,55100000.0,197300000.0,47100000,47100000.0,,412500000.0,57200000.0,,,,
1990-06-30,355675676.0,,5700000.0,52800000.0,141400000.0,-43500000.0,32500000.0,-347000000.0,145000000.0,60500000.0,0.0,452800000.0,-6300000.0,-65200000.0,172900000.0,,46200000.0,112000000.0,919900000.0,,,405500000.0,-108700000.0,1357900000.0,2004800000.0,0.185,,12800000.0,12800000.0,,,0.0,,79900000.0,,535900000,57200000,57200000,,811400000.0,,65800000.0,0.0,6100000.0,221700000.0,,1266900000.0,,646900000.0,-17300000.0,394200000.0,355675676.0,,,,1028200000.0,,,314200000.0,1193400000.0,-28400000.0,,213300000.0,,164500000.0,0.185,58900000.0,164500000.0,65800000,65800000.0,,417200000.0,93300000.0,,,,
1990-09-30,353750000.0,,7900000.0,34000000.0,219300000.0,-36900000.0,44800000.0,-357900000.0,149100000.0,100000.0,-100000.0,434500000.0,11500000.0,15700000.0,203800000.0,,36200000.0,92800000.0,940400000.0,,,403600000.0,-21200000.0,1388800000.0,2146400000.0,0.16,0.0,24300000.0,24300000.0,,,0.0,,91200000.0,,735400000,100600000,100600000,,928200000.0,,56600000.0,0.0,-38200000.0,302000000.0,,1298300000.0,,757600000.0,-33200000.0,514300000.0,353750000.0,,,,1051500000.0,,,433400000.0,1218200000.0,-1300000.0,,202700000.0,,201400000.0,0.16,62100000.0,201400000.0,56600000,56600000.0,,413900000.0,82400000.0,,,,
1990-12-31,,,5800000.0,-144100000.0,24400000.0,-68200000.0,47300000.0,-371500000.0,154500000.0,-25000000.0,300000.0,379100000.0,2400000.0,215800000.0,189300000.0,,30900000.0,77300000.0,952100000.0,,,417600000.0,147600000.0,1417000000.0,2078800000.0,,0.0,26600000.0,26600000.0,,,0.0,,127600000.0,,763100000,108100000,108100000,,835300000.0,,46400000.0,0.0,-69300000.0,395500000.0,,1323600000.0,,661800000.0,-20000000.0,341300000.0,,,,,1077900000.0,,,367600000.0,1243500000.0,-1100000.0,,273400000.0,,287400000.0,,66100000.0,213500000.0,46400000,46400000.0,,494000000.0,113100000.0,,,,
1991-03-31,360000000.0,,5100000.0,9700000.0,35100000.0,-42100000.0,48500000.0,-384500000.0,156800000.0,-200000.0,0.0,398300000.0,5800000.0,35600000.0,223400000.0,,30300000.0,78900000.0,982300000.0,,,412600000.0,-6500000.0,1443400000.0,2137200000.0,0.135,,32400000.0,32400000.0,,,26600000.0,,93500000.0,,684600000,84200000,84200000,,864900000.0,,48600000.0,0.0,-39500000.0,272800000.0,,1366800000.0,,693800000.0,-19900000.0,352000000.0,360000000.0,,,,1106600000.0,,,411800000.0,1272300000.0,2600000.0,,292300000.0,,188600000.0,0.135,63800000.0,188600000.0,48600000,48600000.0,,512900000.0,139100000.0,,,,
1991-06-30,354444444.0,,7200000.0,182600000.0,244000000.0,-51600000.0,52100000.0,-401400000.0,158400000.0,0.0,0.0,532600000.0,-20200000.0,-113700000.0,187200000.0,,20400000.0,52300000.0,1048300000.0,,,423100000.0,-165300000.0,1523500000.0,2328900000.0,0.09,,12200000.0,12200000.0,,,0.0,,84200000.0,,585200000,59500000,59500000,,1046500000.0,,31900000.0,0.0,-89100000.0,245700000.0,,1449700000.0,,805400000.0,-20000000.0,515400000.0,354444444.0,,,,1118500000.0,,,339500000.0,1282400000.0,-37500000.0,,303500000.0,,186200000.0,0.09,69200000.0,186200000.0,31900000,31900000.0,,531100000.0,154500000.0,,,,
1991-09-30,356111111.0,,8600000.0,-62000000.0,214500000.0,-54100000.0,68900000.0,-418600000.0,161600000.0,-100000.0,0.0,492200000.0,500000.0,118100000.0,235300000.0,,44100000.0,108200000.0,1081500000.0,,,421900000.0,64000000.0,1572300000.0,2419500000.0,0.18,,12700000.0,12700000.0,,,0.0,,113400000.0,,765500000,116900000,116900000,,1093300000.0,,64100000.0,0.0,-55600000.0,319800000.0,,1500100000.0,,847200000.0,-21700000.0,563200000.0,356111111.0,,,,1160900000.0,,,445700000.0,1326200000.0,-1500000.0,,291600000.0,,202900000.0,0.18,76900000.0,202900000.0,64100000,64100000.0,,530100000.0,86900000.0,,,,
1991-12-31,,,5800000.0,-161500000.0,84600000.0,-78300000.0,29900000.0,-435600000.0,172000000.0,-100000.0,0.0,436900000.0,58400000.0,307300000.0,248200000.0,,49100000.0,124000000.0,1145700000.0,,,421700000.0,229000000.0,1597300000.0,2341800000.0,,,71100000.0,71100000.0,,,0.0,,137900000.0,,864000000,129900000,129900000,,1006500000.0,,74900000.0,0.0,-87500000.0,452000000.0,,1581300000.0,,744500000.0,-21800000.0,470700000.0,,,,,1214000000.0,,,412000000.0,1335300000.0,-9200000.0,,282900000.0,,322100000.0,,80900000.0,236700000.0,74900000,74900000.0,,535800000.0,76700000.0,,,,
1992-03-31,356969697.0,,5200000.0,24700000.0,139400000.0,-51000000.0,24600000.0,-453000000.0,177700000.0,-100000.0,0.0,449300000.0,-35400000.0,-12900000.0,248000000.0,,40100000.0,99000000.0,1169100000.0,,,414500000.0,-63900000.0,1608200000.0,2404800000.0,0.165,,35800000.0,35800000.0,,,71100000.0,,118000000.0,,801000000,104300000,104300000,,1039800000.0,,58900000.0,0.0,-47200000.0,337600000.0,,1622100000.0,,796600000.0,-21800000.0,505400000.0,356969697.0,,,,1251200000.0,,,463400000.0,1365000000.0,3800000.0,,274100000.0,,233300000.0,0.165,82600000.0,233300000.0,58900000,58900000.0,,534400000.0,96300000.0,,,,
1992-06-30,345000000.0,,5700000.0,249900000.0,412000000.0,-60400000.0,200500000.0,-470800000.0,180900000.0,0.0,0.0,545600000.0,-17700000.0,-33500000.0,202200000.0,,16500000.0,51000000.0,1210300000.0,,,413500000.0,-93900000.0,1824300000.0,2635400000.0,0.1,,18000000.0,18000000.0,,,0.0,,101300000.0,,621800000,56700000,56700000,,1256500000.0,,34500000.0,0.0,-234100000.0,266800000.0,,1681100000.0,,811100000.0,-21700000.0,715500000.0,345000000.0,,,,1263900000.0,,,355000000.0,1378900000.0,-173700000.0,,273600000.0,,210100000.0,0.1,86500000.0,210100000.0,34500000,34500000.0,,541000000.0,129200000.0,,,,
1992-09-30,361621622.0,,8000000.0,10200000.0,445800000.0,-70800000.0,202400000.0,-483900000.0,188800000.0,0.0,0.0,484000000.0,2600000.0,62800000.0,217600000.0,,45700000.0,112600000.0,1257500000.0,,,407100000.0,-8000000.0,1867000000.0,2754000000.0,0.185,,20600000.0,20600000.0,,,0.0,,119000000.0,,827500000,120600000,120600000,,1337700000.0,,66900000.0,0.0,-70500000.0,352800000.0,,1741400000.0,,887000000.0,-24000000.0,782400000.0,361621622.0,,,,1306800000.0,,,474700000.0,1416300000.0,300000.0,,274200000.0,,232200000.0,0.185,92300000.0,232200000.0,66900000,66900000.0,,555300000.0,91200000.0,,,,
1992-12-31,,,8300000.0,-205700000.0,363200000.0,-67600000.0,37100000.0,-483900000.0,203500000.0,0.0,100000.0,457200000.0,3500000.0,279800000.0,246500000.0,,56100000.0,138400000.0,1296000000.0,,,399800000.0,212200000.0,1732900000.0,2672900000.0,,,24100000.0,24100000.0,,,0.0,,127200000.0,,969500000,146700000,146700000,,1207600000.0,,82300000.0,0.0,-70500000.0,526400000.0,,1779900000.0,,940000000.0,-23900000.0,736900000.0,,,,,1365200000.0,,,443100000.0,1465300000.0,176200000.0,,174300000.0,,379700000.0,,92900000.0,282600000.0,82300000,82300000.0,,470700000.0,285100000.0,,,,
1993-03-31,360744000.0,,7600000.0,4800000.0,59300000.0,-65700000.0,33900000.0,-522500000.0,146300000.0,80600000.0,100000.0,448100000.0,20600000.0,81800000.0,666600000.0,,81800000.0,186900000.0,1333400000.0,,,406000000.0,16100000.0,1773300000.0,2861900000.0,0.0,,44700000.0,44700000.0,,,24100000.0,,95300000.0,,897800000,113800000,113800000,,1416500000.0,,1100000.0,0.0,-66000000.0,387000000.0,,1855900000.0,,1088600000.0,-24000000.0,821200000.0,360744000.0,,,,1342400000.0,,,510800000.0,1445400000.0,-300000.0,,174300000.0,,273200000.0,0.0,274700000.0,273200000.0,105100000,1100000.0,,595300000.0,393300000.0,,,,
1993-06-30,346666667.0,,6200000.0,-140900000.0,276600000.0,-47800000.0,35200000.0,-542800000.0,148000000.0,0.0,-200000.0,556500000.0,-12000000.0,-85200000.0,240500000.0,,16800000.0,42800000.0,1353200000.0,,,399800000.0,-133000000.0,1788200000.0,2641600000.0,0.075,,32700000.0,32700000.0,,,0.0,,81600000.0,,618400000,49000000,49000000,,1197900000.0,,26000000.0,0.0,214100000.0,254800000.0,,1896000000.0,,853400000.0,-23900000.0,598700000.0,346666667.0,,,,1344400000.0,,,363600000.0,1443700000.0,2200000.0,,172600000.0,,205800000.0,0.075,278600000.0,205800000.0,26000000,26000000.0,,599200000.0,143500000.0,,,,
1993-09-30,360975610.0,,6300000.0,111600000.0,435500000.0,-179500000.0,36000000.0,-564000000.0,153300000.0,0.0,200000.0,510200000.0,12700000.0,82700000.0,282600000.0,,53400000.0,127400000.0,1410700000.0,,,475300000.0,-96800000.0,1922000000.0,2891600000.0,0.205,0.0,45500000.0,45500000.0,,,0.0,,93800000.0,,935700000,133700000,133700000,,1417700000.0,,74000000.0,0.0,-181500000.0,390900000.0,,1974700000.0,,969600000.0,-26700000.0,811900000.0,360975610.0,,,,1381500000.0,,,544800000.0,1473900000.0,-2000000.0,,162500000.0,,257200000.0,0.205,290000000.0,257200000.0,74000000,74000000.0,,605800000.0,94700000.0,,,,
1993-12-31,,,6900000.0,-244000000.0,350600000.0,-83400000.0,31800000.0,-580900000.0,172700000.0,0.0,-100000.0,453400000.0,-29500000.0,299600000.0,337500000.0,,61600000.0,153700000.0,1460900000.0,,,473400000.0,216200000.0,1966100000.0,2855100000.0,,0.0,16000000.0,16000000.0,,,0.0,,125700000.0,,1036300000,160700000,160700000,,1442800000.0,,92100000.0,0.0,-85200000.0,573100000.0,,2041800000.0,,889000000.0,-25900000.0,813800000.0,,-121200000.0,,,1445600000.0,,,463200000.0,1412300000.0,-1800000.0,,165800000.0,,412400000.0,,290500000.0,299300000.0,92100000,92100000.0,,629000000.0,124600000.0,,,,
1994-03-31,341935484.0,,7500000.0,47800000.0,443400000.0,-43000000.0,32800000.0,-603000000.0,177100000.0,-100000.0,100000.0,521100000.0,15100000.0,9600000.0,306800000.0,,35000000.0,88000000.0,1471900000.0,,,467000000.0,-33400000.0,1971700000.0,2904000000.0,0.155,,31000000.0,31000000.0,,,16000000.0,,106400000.0,,883900000,95600000,95600000,,1483700000.0,,53000000.0,0.0,-42300000.0,357200000.0,,2074900000.0,,932300000.0,-25800000.0,856600000.0,341935484.0,-12500000.0,,,1472800000.0,,,526700000.0,1420300000.0,700000.0,,159100000.0,,261600000.0,0.155,290900000.0,261600000.0,53000000,53000000.0,,627100000.0,127400000.0,,,,
1994-06-30,337333333.0,,8500000.0,15100000.0,18400000.0,-36400000.0,31900000.0,-622500000.0,178000000.0,-100000.0,-100000.0,615700000.0,-15400000.0,3900000.0,744100000.0,,16700000.0,42000000.0,1482200000.0,,,469400000.0,-32500000.0,1983500000.0,2908500000.0,0.075,,15700000.0,15700000.0,,,0.0,,102600000.0,,676000000,50600000,50600000,,1497000000.0,,25300000.0,0.0,-34400000.0,272900000.0,,2104700000.0,,925000000.0,-25700000.0,865100000.0,337333333.0,-18800000.0,,,1472500000.0,,,403100000.0,1411500000.0,2000000.0,,159000000.0,,222300000.0,0.075,294900000.0,222300000.0,25300000,25300000.0,,631900000.0,132500000.0,,,,
1994-09-30,345106383.0,,10300000.0,-6300000.0,532700000.0,-29800000.0,31200000.0,-651600000.0,182400000.0,100000.0,-100000.0,581700000.0,19000000.0,55200000.0,296400000.0,,53600000.0,134700000.0,1485900000.0,,,470200000.0,25400000.0,1987300000.0,3054500000.0,0.235,,34700000.0,34700000.0,,,0.0,,114800000.0,,966500000,144900000,144900000,,1589900000.0,,81100000.0,0.0,-29900000.0,404500000.0,,2137500000.0,,1067200000.0,-27700000.0,943900000.0,345106383.0,-7500000.0,,,1525800000.0,,,562000000.0,1464600000.0,-100000.0,,159000000.0,,259600000.0,0.235,304600000.0,259600000.0,81100000,81100000.0,,646000000.0,112700000.0,,,,
1994-12-31,,,9100000.0,-238100000.0,324700000.0,-29500000.0,20300000.0,-655100000.0,193400000.0,-106100000.0,100000.0,445700000.0,-7900000.0,268600000.0,356100000.0,,43500000.0,68300000.0,1468400000.0,,,453600000.0,239100000.0,1942300000.0,2891000000.0,,,26700000.0,26700000.0,,,0.0,,115400000.0,,1079900000,183500000,183500000,,1449900000.0,,24800000.0,0.0,-38400000.0,603100000.0,,2123500000.0,,948700000.0,-27800000.0,796200000.0,,-900000.0,,,1522900000.0,,,476800000.0,1441100000.0,-8900000.0,,157200000.0,,419600000.0,,303100000.0,290600000.0,24800000,24800000.0,,653700000.0,144600000.0,,,,
1995-03-31,346285714.0,,10300000.0,-46800000.0,307100000.0,-33000000.0,21700000.0,-684500000.0,194900000.0,1000000.0,-100000.0,512000000.0,-1700000.0,83400000.0,354500000.0,,40800000.0,101400000.0,1471000000.0,,,450500000.0,50400000.0,1943200000.0,2882800000.0,0.175,,25000000.0,25000000.0,,,26700000.0,,95800000.0,,867400000,110500000,110500000,,1413800000.0,,60600000.0,0.0,-38300000.0,364000000.0,,2155500000.0,,939600000.0,-27700000.0,757400000.0,346285714.0,-1200000.0,,,1555800000.0,,,503400000.0,1469000000.0,-5300000.0,,157900000.0,,253500000.0,0.175,303600000.0,253500000.0,60600000,60600000.0,,656400000.0,143100000.0,,,,
1995-06-30,350526316.0,,7800000.0,14000000.0,350300000.0,-33600000.0,32600000.0,-707500000.0,189100000.0,-100000.0,100000.0,577900000.0,6900000.0,27200000.0,291600000.0,,21600000.0,54900000.0,1445000000.0,,,449500000.0,-6400000.0,1927100000.0,2845200000.0,0.095,,31900000.0,31900000.0,,,0.0,,86400000.0,,722300000,62800000,62800000,,1381300000.0,,33300000.0,0.0,-34300000.0,298500000.0,,2152500000.0,,918100000.0,-27800000.0,728300000.0,350526316.0,-11700000.0,,,1561400000.0,,,423800000.0,1463900000.0,-700000.0,,154100000.0,,235700000.0,0.095,309800000.0,235700000.0,33300000,33300000.0,,653000000.0,149000000.0,,,,
