date,quarterlyOperatingExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyAccumulatedDepreciation,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyBasicEPS,quarterlyOtherNonCashItems,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyDilutedAverageShares,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyCommonStockIssuance,quarterlyInventory,quarterlyChangeInInventory
2014-09-30,418000000,673000000.0,1621000000.0,2325000000.0,377000000.0,-87000000,3000000.0,-496000000.0,566000000,63000000,1786000000.0,0.0,150000000,70000000,-42000000,-294000000,754000000.0,227000000,10818000000.0,33000000,87000000,375000000.0,5320000000.0,282000000.0,340000000.0,0.1,-4000000.0,,517000000,243000000.0,14391000000.0,14021000000.0,-29000000,4397000000.0,-73000000,667000000,377000000,,-132000000,0.1,-8000000,8020000000.0,209000000,11964000000.0,3231000000.0,2171000000.0,-87000000.0,1184000000,195000000,11251000000.0,90000000,341000000.0,33845000000.0,31674000000.0,33000000,346000000.0,1000000.0,2282000000.0,237000000,-458000000,-3000000.0,-189000000,157000000.0,,-90000000,699000000.0,249000000,70000000,53000000,310000000,296000000.0,,,,,,
2014-12-31,350000000,880000000.0,1641000000.0,2438000000.0,681000000.0,-276000000,3000000.0,-501000000.0,377000000,35000000,1756000000.0,0.0,165000000,70000000,-41000000,-10000000,257000000.0,233000000,10769000000.0,73000000,130000000,348000000.0,5595000000.0,326000000.0,298000000.0,,-24000000.0,,539000000,235000000.0,14345000000.0,11398000000.0,29000000,1667000000.0,5000000,556000000,681000000,,-10000000,,-20000000,8381000000.0,233000000,11416000000.0,2650000000.0,2344000000.0,-53000000.0,1095000000,283000000,11031000000.0,87000000,,31207000000.0,28863000000.0,73000000,,108000000.0,2257000000.0,324000000,-507000000,-21000000.0,304000000,40000000.0,,3000000,712000000.0,206000000,82000000,66000000,322000000,199000000.0,,,,,,
2015-03-31,316000000,1245000000.0,1730000000.0,2539000000.0,1172000000.0,-658000000,3000000.0,-552000000.0,681000000,86000000,1769000000.0,0.0,105000000,77000000,-64000000,32000000,258000000.0,8000000,10754000000.0,-19000000,19000000,354000000.0,6213000000.0,356000000.0,298000000.0,-0.06,-14000000.0,,520000000,228000000.0,14345000000.0,11308000000.0,-63000000,1469000000.0,62000000,561000000,1172000000,,144000000,-0.06,6000000,9106000000.0,202000000,11333000000.0,2684000000.0,2737000000.0,-27000000.0,1081000000,251000000,11790000000.0,84000000,342000000.0,31430000000.0,28693000000.0,-19000000,345000000.0,249000000.0,2321000000.0,315000000,-593000000,-28000000.0,491000000,29000000.0,,40000000,667000000.0,245000000,70000000,44000000,266000000,73000000.0,,,,,,
2015-06-30,394000000,841000000.0,1756000000.0,2529000000.0,790000000.0,-3000000,3000000.0,-604000000.0,1172000000,35000000,1717000000.0,0.0,134000000,83000000,-75000000,-722000000,258000000.0,4000000,10798000000.0,61000000,99000000,354000000.0,6299000000.0,367000000.0,348000000.0,0.18,-8000000.0,,657000000,332000000.0,14345000000.0,11075000000.0,46000000,1406000000.0,305000000,565000000,790000000,,-27000000,0.18,8000000,9182000000.0,199000000,11112000000.0,2970000000.0,2478000000.0,-24000000.0,1222000000,292000000,12152000000.0,92000000,339000000.0,31111000000.0,28633000000.0,61000000,342000000.0,80000000.0,2321000000.0,367000000,-791000000,-40000000.0,-382000000,17000000.0,,171000000,939000000.0,171000000,11000000,47000000,309000000,51000000.0,,,,,,
2015-09-30,396000000,607000000.0,1717000000.0,2429000000.0,588000000.0,-157000000,3000000.0,-656000000.0,790000000,29000000,1787000000.0,0.0,70000000,84000000,-37000000,-329000000,256000000.0,-41000000,10785000000.0,-22000000,41000000,502000000.0,6546000000.0,353000000.0,385000000.0,-0.07,-18000000.0,,567000000,278000000.0,14345000000.0,10994000000.0,-167000000,1300000000.0,-225000000,717000000,588000000,,-66000000,-0.07,5000000,9477000000.0,207000000,11037000000.0,2761000000.0,2110000000.0,-88000000.0,1284000000,156000000,12238000000.0,96000000,335000000.0,30680000000.0,28570000000.0,-22000000,338000000.0,77000000.0,2443000000.0,193000000,-567000000,-46000000.0,-202000000,33000000.0,,-210000000,755000000.0,321000000,17000000,56000000,250000000,19000000.0,,,,,,
2015-12-31,379000000,216000000.0,1797000000.0,1667000000.0,201000000.0,-378000000,3000000.0,-708000000.0,588000000,60000000,1879000000.0,0.0,149000000,84000000,-120000000,-388000000,255000000.0,-27000000,10770000000.0,44000000,89000000,561000000.0,6626000000.0,465000000.0,228000000.0,,13000000.0,,612000000,247000000.0,14345000000.0,10933000000.0,16000000,1648000000.0,103000000,596000000,201000000,,-337000000,,2000000,8854000000.0,253000000,10981000000.0,2813000000.0,691000000.0,-357000000.0,1208000000,218000000,11667000000.0,90000000,,29798000000.0,29107000000.0,44000000,,127000000.0,2587000000.0,338000000,-417000000,-51000000.0,-387000000,3000000.0,,36000000,758000000.0,217000000,77000000,57000000,323000000,15000000.0,,,,,,
2016-03-31,265000000,102000000.0,1797000000.0,1724000000.0,102000000.0,-72000000,,-615000000.0,112000000,100000000,1388000000.0,,263000000,81000000,-30000000,-332000000,256000000.0,4000000,10543000000.0,101000000,163000000,272000000.0,5719000000.0,157000000.0,232000000.0,0.301598,-4000000.0,,599000000,228000000.0,14165000000.0,9706000000.0,8000000,168000000.0,10000000,601000000,102000000,,-34000000,0.301598,6000000,7715000000.0,167000000,,2867000000.0,562000000.0,,1200000000,326000000,10582000000.0,79000000,334883235.0,26983000000.0,26421000000.0,101000000,334883235.0,,2003000000.0,356000000,-594000000,,-10000000,3000000.0,,-3000000,696000000.0,336000000,94000000,24000000,423000000,,,,,,,
2016-06-30,277000000,526000000.0,1814000000.0,1796000000.0,526000000.0,-672000000,,-637000000.0,102000000,99000000,1348000000.0,,259000000,86000000,-37000000,34000000,256000000.0,51000000,10534000000.0,100000000,160000000,272000000.0,6107000000.0,140000000.0,232000000.0,0.24,0.0,,615000000,225000000.0,14165000000.0,9980000000.0,2000000,166000000.0,24000000,620000000,526000000,,-37000000,0.24,20000000,8175000000.0,180000000,,2791000000.0,983000000.0,,1235000000,390000000,10966000000.0,77000000,335000000.0,27336000000.0,26353000000.0,100000000,337000000.0,,1985000000.0,427000000,-402000000,,424000000,3000000.0,,44000000,715000000.0,343000000,99000000,30000000,422000000,,,,,,,
2016-09-30,299000000,611000000.0,1811000000.0,1952000000.0,611000000.0,-5000000,,-703000000.0,526000000,127000000,1335000000.0,,277000000,93000000,-65000000,-264000000,609000000.0,-30000000,10531000000.0,96000000,150000000,279000000.0,5753000000.0,156000000.0,236000000.0,0.28,0.0,,610000000,233000000.0,14165000000.0,10026000000.0,3000000,165000000.0,33000000,666000000,611000000,,-65000000,0.29,1000000,7984000000.0,202000000,,3149000000.0,1080000000.0,,1276000000,349000000,11133000000.0,79000000,335000000.0,27432000000.0,26352000000.0,96000000,337000000.0,,2038000000.0,414000000,-229000000,,85000000,3000000.0,,32000000,732000000.0,367000000,117000000,36000000,449000000,,,,,,,
2016-12-31,314000000,287000000.0,1833000000.0,1967000000.0,287000000.0,-722000000,4000000.0,-746000000.0,611000000,13000000,1333000000.0,,199000000,82000000,-74000000,-757000000,5000000.0,-46000000,10528000000.0,119000000,186000000,278000000.0,6102000000.0,145000000.0,206000000.0,,0.0,,683000000,223000000.0,14165000000.0,10085000000.0,-25000000,164000000.0,117000000,620000000,287000000,,-74000000,,0,8347000000.0,212000000,11727000000.0,2674000000.0,716000000.0,,1303000000,433000000,11021000000.0,77000000,,27051000000.0,26335000000.0,119000000,,,2079000000.0,507000000,-449000000,-62000000.0,-324000000,3000000.0,,170000000,828000000.0,306000000,9000000,38000000,358000000,,,,,,,
2017-03-31,298000000,330000000.0,1857000000.0,2073000000.0,330000000.0,-194000000,,-777000000.0,287000000,108000000,1335000000.0,,297000000,84000000,-54000000,-200000000,5000000.0,-15000000,10511000000.0,124000000,189000000,286000000.0,6242000000.0,150000000.0,211000000.0,0.37,-7000000.0,,624000000,234000000.0,14165000000.0,10141000000.0,9000000,165000000.0,-100000000,670000000,330000000,-15000000.0,-61000000,0.37,6000000,8601000000.0,184000000,,2578000000.0,775000000.0,,1294000000,250000000,11179000000.0,90000000,335000000.0,27101000000.0,26326000000.0,124000000,339000000.0,,2112000000.0,304000000,-306000000,,43000000,3000000.0,,-114000000,721000000.0,372000000,102000000,34000000,471000000,,,,,,,
2017-06-30,316000000,173000000.0,1865000000.0,2174000000.0,173000000.0,-182000000,,-821000000.0,330000000,110000000,1320000000.0,,295000000,85000000,-65000000,-32000000,5000000.0,-7000000,10518000000.0,123000000,185000000,286000000.0,6712000000.0,146000000.0,219000000.0,0.36,-541000000.0,,640000000,234000000.0,14250000000.0,10203000000.0,-12000000,783000000.0,61000000,708000000,173000000,-15000000.0,-606000000,0.37,-1000000,9172000000.0,202000000,,2647000000.0,626000000.0,,1348000000,416000000,11819000000.0,87000000,335000000.0,27643000000.0,27017000000.0,123000000,339000000.0,,2141000000.0,481000000,-478000000,,-157000000,3000000.0,,60000000,783000000.0,392000000,104000000,37000000,467000000,,,,,,,
2017-09-30,333000000,234000000.0,1846000000.0,2292000000.0,234000000.0,-2727000000,,-859000000.0,173000000,116000000,1332000000.0,,390000000,95000000,-88000000,-59000000,4000000.0,-58000000,10502000000.0,183000000,274000000,285000000.0,6978000000.0,147000000.0,198000000.0,0.54,-317000000.0,,638000000,225000000.0,14247000000.0,10277000000.0,77000000,1232000000.0,40000000,741000000,234000000,-15000000.0,-405000000,0.54,35000000,9555000000.0,210000000,,2687000000.0,657000000.0,-316000000.0,1379000000,437000000,12242000000.0,93000000,336000000.0,28117000000.0,27460000000.0,183000000,340000000.0,,2191000000.0,525000000,-212000000,,61000000,8000000.0,,73000000,838000000.0,408000000,104000000,42000000,578000000,,,,,,,
2017-12-31,330000000,615000000.0,1882000000.0,1447000000.0,615000000.0,-113000000,,-927000000.0,234000000,-800000000,1347000000.0,,211000000,92000000,-81000000,24000000,755000000.0,-55000000,10503000000.0,694000000,1011000000,283000000.0,6741000000.0,117000000.0,207000000.0,,-101000000.0,,699000000,242000000.0,14247000000.0,10861000000.0,-72000000,1252000000.0,126000000,705000000,615000000,-15000000.0,-182000000,,-37000000,8471000000.0,216000000,,3583000000.0,1064000000.0,-101000000.0,1404000000,458000000,12054000000.0,82000000,,28530000000.0,27466000000.0,694000000,,,2274000000.0,539000000,-413000000,,381000000,3000000.0,,138000000,934000000.0,375000000,-808000000,37000000,385000000,,,,,,,
2018-03-31,322000000,658000000.0,1910000000.0,1523000000.0,658000000.0,-569000000,,-973000000.0,625000000,81000000,1334000000.0,-389000000.0,363000000,97000000,-82000000,121000000,5000000.0,24000000,10495000000.0,200000000,282000000,281000000.0,7951000000.0,120000000.0,177000000.0,0.59,,,657000000,245000000.0,14247000000.0,10945000000.0,64000000,1682000000.0,-19000000,718000000,668000000,-15000000.0,-471000000,0.6,-1000000,9755000000.0,202000000,,2768000000.0,1080000000.0,,1375000000,311000000,12523000000.0,89000000,336000000.0,28958000000.0,27878000000.0,200000000,340000000.0,,2307000000.0,393000000,-340000000,,43000000,4000000.0,,-31000000,852000000.0,396000000,73000000,40000000,549000000,,,,,,,
2018-06-30,343000000,174000000.0,1935000000.0,1569000000.0,174000000.0,-819000000,,-1019000000.0,668000000,59000000,1322000000.0,-6000000.0,307000000,99000000,-92000000,-948000000,4000000.0,-53000000,10488000000.0,165000000,248000000,283000000.0,7288000000.0,121000000.0,170000000.0,0.49,,,756000000,247000000.0,14247000000.0,10864000000.0,73000000,1745000000.0,182000000,676000000,185000000,-14000000.0,-95000000,0.5,-7000000,9140000000.0,224000000,,2940000000.0,591000000.0,,1432000000,468000000,12080000000.0,92000000,333000000.0,28514000000.0,27923000000.0,165000000,337000000.0,,2341000000.0,560000000,-212000000,,-483000000,4000000.0,,195000000,997000000.0,333000000,51000000,42000000,498000000,,,,,,,
2018-09-30,338000000,126000000.0,1955000000.0,1607000000.0,126000000.0,-514000000,,-1065000000.0,185000000,30000000,1339000000.0,-2000000.0,313000000,95000000,-65000000,-320000000,4000000.0,-41000000,10478000000.0,185000000,283000000,266000000.0,7507000000.0,124000000.0,202000000.0,0.55,1000000.0,,675000000,246000000.0,14250000000.0,10759000000.0,-47000000,1711000000.0,-149000000,793000000,137000000,-15000000.0,-66000000,0.56,1000000,9380000000.0,214000000,,2835000000.0,574000000.0,,1468000000,273000000,12215000000.0,93000000,330000000.0,28476000000.0,27902000000.0,185000000,335000000.0,0.0,2404000000.0,338000000,-478000000,,-48000000,17000000.0,,-183000000,842000000.0,455000000,56000000,35000000,501000000,,,,,,,
2018-12-31,370000000,91000000.0,1932000000.0,1673000000.0,91000000.0,-529000000,,-1112000000.0,137000000,71000000,1338000000.0,-8000000.0,262000000,97000000,-117000000,-405000000,3000000.0,-7000000,10473000000.0,126000000,191000000,257000000.0,7855000000.0,120000000.0,191000000.0,,1000000.0,,690000000,233000000.0,14250000000.0,10599000000.0,-77000000,1596000000.0,7000000,806000000,102000000,-15000000.0,-124000000,,1000000,9785000000.0,241000000,,2800000000.0,515000000.0,,1496000000,377000000,12585000000.0,95000000,,28292000000.0,27777000000.0,126000000,,,2450000000.0,494000000,-750000000,,-35000000,15000000.0,,36000000,854000000.0,436000000,73000000,39000000,454000000,,,,,,,
2019-03-31,505000000,98000000.0,1994000000.0,1734000000.0,98000000.0,-725000000,,-1174000000.0,102000000,113000000,1386000000.0,-4000000.0,205000000,102000000,-90000000,-663000000,,-34000000,11560000000.0,61000000,92000000,639000000.0,8361000000.0,596000000.0,253000000.0,0.19,-3000000.0,,856000000,592000000.0,15791000000.0,10937000000.0,-76000000,1097000000.0,-19000000,888000000,109000000,-19000000.0,288000000,0.19,3000000,10734000000.0,326000000,,3209000000.0,943000000.0,,1744000000,292000000,13943000000.0,125000000,323000000.0,31373000000.0,30430000000.0,61000000,327000000.0,72000000.0,2560000000.0,382000000,-798000000,,7000000,68000000.0,,-27000000,1144000000.0,383000000,110000000,76000000,432000000,,,,,,,
2019-06-30,571000000,236000000.0,1974000000.0,1809000000.0,236000000.0,-1635000000,,-1223000000.0,109000000,75000000,1369000000.0,-5000000.0,318000000,109000000,-70000000,-688000000,,-19000000,11518000000.0,167000000,243000000,653000000.0,8703000000.0,711000000.0,239000000.0,0.52,2000000.0,,986000000,628000000.0,15812000000.0,10842000000.0,7000000,649000000.0,34000000,991000000,248000000,-17000000.0,300000000,0.52,1000000,11165000000.0,361000000,,3265000000.0,1103000000.0,,1977000000,457000000,14430000000.0,136000000,319000000.0,31162000000.0,30059000000.0,167000000,323000000.0,373000000.0,2592000000.0,527000000,-982000000,,139000000,71000000.0,,28000000,1220000000.0,420000000,67000000,62000000,563000000,,,,,,,
2019-09-30,441000000,133000000.0,1938000000.0,1856000000.0,133000000.0,-1951000000,,-1275000000.0,248000000,63000000,1364000000.0,-5000000.0,271000000,115000000,-79000000,-552000000,,-97000000,11494000000.0,140000000,208000000,634000000.0,8857000000.0,702000000.0,225000000.0,0.44,3000000.0,,1116000000,632000000.0,15816000000.0,10735000000.0,-68000000,638000000.0,-41000000,895000000,144000000,-16000000.0,-80000000,0.44,59000000,11347000000.0,363000000,,3256000000.0,990000000.0,,2011000000,449000000,14603000000.0,135000000,317000000.0,31004000000.0,30014000000.0,140000000,321000000.0,1000000.0,2639000000.0,528000000,-553000000,,-104000000,74000000.0,,-13000000,1240000000.0,454000000,56000000,66000000,521000000,,,,,,,
