date,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyInventory,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBasicEPS,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyBasicAverageShares,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInInventory,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyCurrentDeferredRevenue,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredRevenue
1988-03-31,,,,,,,-5100000,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025,,,,,,214232000.0,,,,,,227300000,,,227300000,,,,,,,,227300000,,-0.025,,,,,,214232000.0,,,,,,,,,,,,,
1988-06-30,,,,,,,16200000,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,,214584000.0,,,,,,335000000,,,335000000,,,,,,,,335000000,,0.075,,,,,,214584000.0,,,,,,,,,,,,,
1988-09-30,,,,,,,19000000,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,215800000.0,,,,,,337700000,,,337700000,,,,,,,,337700000,,0.09,,,,,,215800000.0,,,,,,,,,,,,,
1988-12-31,30000000.0,,,,,,14100000,253700000.0,,268700000.0,,186000000.0,,91000000.0,,,,,,,,,358200000.0,,943300000.0,,656900000.0,,,,18900000.0,18900000.0,,,42800000.0,,510000000.0,,,,,,,,311900000,,486800000.0,-791100000,,,,,,,,-791100000,281200000.0,,,,,352900000.0,228800000.0,,,286400000.0,,433300000.0,,,,-218100000.0,14900000.0,27500000.0,,,
1989-03-31,31100000.0,500000.0,-33200000.0,-14400000.0,42000000.0,-7700000.0,-7700000,268000000.0,,268700000.0,0.0,120500000.0,-5600000.0,92900000.0,,,,98500000.0,,-10400000.0,,18900000.0,355200000.0,-47600000.0,968600000.0,-7700000.0,655000000.0,,,,8500000.0,8500000.0,-0.035,7600000.0,73200000.0,18600000.0,549400000.0,-42200000.0,220000000.0,61700000.0,-700000.0,,,136900000.0,235400000,,496700000.0,-5700000,-18900000.0,0.0,-3200000.0,,-1200000.0,-4500000.0,,12900000,294000000.0,-0.035,,-13300000.0,142600000.0,340200000.0,255400000.0,220000000.0,,313600000.0,124000000.0,419200000.0,-4500000.0,,,-228000000.0,50600000.0,26000000.0,,,
1989-06-30,31800000.0,1500000.0,32900000.0,-18600000.0,2200000.0,11900000.0,11900000,265300000.0,,272600000.0,0.0,129300000.0,8700000.0,84900000.0,,,,166600000.0,,13800000.0,,0.0,349800000.0,14300000.0,995700000.0,11900000.0,654200000.0,,,,22300000.0,22300000.0,0.055,7900000.0,78600000.0,18200000.0,571700000.0,3900000.0,216363636.0,73600000.0,-1300000.0,,,193200000.0,359800000,,508500000.0,28500000,-20900000.0,0.0,6100000.0,,300000.0,-4400000.0,,46700000,290200000.0,0.055,,20600000.0,164700000.0,347300000.0,281500000.0,216363636.0,,341500000.0,146500000.0,424000000.0,-2300000.0,,,-235900000.0,48000000.0,24900000.0,,,
1989-09-30,35300000.0,300000.0,49200000.0,-12100000.0,-35100000.0,18400000.0,18400000,259300000.0,,273000000.0,0.0,139600000.0,13500000.0,89900000.0,,,,166500000.0,,-1900000.0,,0.0,345300000.0,37100000.0,985200000.0,18400000.0,653600000.0,,,,20400000.0,20400000.0,0.085,8600000.0,54200000.0,17600000.0,545700000.0,14400000.0,216470588.0,68500000.0,-1800000.0,,,203300000.0,369800000,,520100000.0,40500000,-15900000.0,0.0,-4400000.0,,600000.0,-4600000.0,,58100000,283400000.0,0.085,,31900000.0,162800000.0,361200000.0,262300000.0,216470588.0,,331600000.0,145300000.0,439500000.0,-3800000.0,,,-247100000.0,28100000.0,24100000.0,,,
1989-12-31,32200000.0,400000.0,65700000.0,-16900000.0,47800000.0,-19400000.0,-19400000,225000000.0,,274100000.0,-47500000.0,134600000.0,-6000000.0,95400000.0,,,,143200000.0,,102000000.0,110000000.0,0.0,336300000.0,48800000.0,1042900000.0,-19800000.0,642600000.0,,,,122300000.0,122300000.0,,7300000.0,44000000.0,20900000.0,527300000.0,70600000.0,,78700000.0,-12500000.0,,,197500000.0,340700000,,517600000.0,29400000,-11900000.0,0.0,-3700000.0,,6100000.0,-4500000.0,-11400000.0,50300000,270000000.0,,,-25400000.0,168100000.0,336800000.0,257300000.0,,,400300000.0,147200000.0,515600000.0,3300000.0,,,-243500000.0,15500000.0,45000000.0,,,
1990-03-31,40600000.0,700000.0,-6300000.0,-13500000.0,-65000000.0,-2300000.0,-2300000,224300000.0,,274000000.0,100000.0,141100000.0,-1600000.0,96200000.0,,,,109400000.0,,-93400000.0,110000000.0,122300000.0,332200000.0,-19800000.0,981100000.0,-4200000.0,646800000.0,,,,29000000.0,29000000.0,-0.025,6600000.0,90900000.0,19400000.0,574400000.0,-21800000.0,168000000.0,73700000.0,-1600000.0,,,159500000.0,268900000,,531300000.0,2600000,-22100000.0,0.0,-500000.0,,100000.0,-6900000.0,-104400000.0,22000000,268700000.0,-0.025,,-3900000.0,156900000.0,328300000.0,305700000.0,168000000.0,,334300000.0,137500000.0,406700000.0,-8600000.0,,,-257300000.0,41100000.0,44400000.0,,,
1990-06-30,42100000.0,400000.0,49200000.0,-16000000.0,-19200000.0,15400000.0,15400000,213500000.0,,276300000.0,100000.0,159500000.0,10800000.0,91500000.0,,,,163400000.0,,6300000.0,110000000.0,0.0,332100000.0,33200000.0,1001100000.0,13500000.0,650500000.0,,,,35200000.0,35200000.0,0.075,8100000.0,88200000.0,20400000.0,584000000.0,13100000.0,180000000.0,81000000.0,400000.0,,,209600000.0,373000000,,546400000.0,34200000,-23600000.0,0.0,5700000.0,,-200000.0,-5900000.0,0.0,54700000,255300000.0,0.075,,26200000.0,175400000.0,337800000.0,328700000.0,180000000.0,,350600000.0,154900000.0,417100000.0,-7600000.0,,,-270100000.0,39300000.0,41800000.0,,,
1990-09-30,46000000.0,-300000.0,38300000.0,-13900000.0,-12100000.0,23400000.0,23400000,213400000.0,,278300000.0,-100000.0,162200000.0,16400000.0,89200000.0,,,,166400000.0,,7300000.0,110000000.0,0.0,328200000.0,24400000.0,1010300000.0,21500000.0,652500000.0,,,,42500000.0,42500000.0,0.115,7000000.0,84600000.0,19900000.0,571300000.0,-3400000.0,186956522.0,76100000.0,-1800000.0,,,222100000.0,388500000,,565000000.0,46900000,-19400000.0,0.0,3900000.0,,200000.0,-5800000.0,0.0,66800000,248400000.0,0.11,,39800000.0,175200000.0,355300000.0,322900000.0,195454545.0,,357800000.0,155300000.0,439000000.0,-5500000.0,,,-286700000.0,24400000.0,35000000.0,,,
1990-12-31,107700000.0,-100000.0,65000000.0,-20800000.0,-46400000.0,17200000.0,17200000,204700000.0,,254300000.0,100000.0,135300000.0,14100000.0,76000000.0,,,,147300000.0,,-14700000.0,110000000.0,0.0,314600000.0,44200000.0,926000000.0,15300000.0,676600000.0,,,,27900000.0,27900000.0,,6400000.0,35600000.0,23200000.0,473400000.0,15400000.0,,63500000.0,8600000.0,,,212300000.0,359600000,,507900000.0,37600000,-33400000.0,0.0,-1100000.0,,600000.0,-5800000.0,0.0,60800000,239000000.0,,,31300000.0,174700000.0,366400000.0,234400000.0,,,249400000.0,151500000.0,452600000.0,-800000.0,,,-253600000.0,10600000.0,34300000.0,,,
1991-03-31,426600000.0,900000.0,-2900000.0,-11800000.0,29800000.0,-29600000.0,7600000,204200000.0,,180200000.0,-37400000.0,65600000.0,4300000.0,63000000.0,,,,84700000.0,,17300000.0,110000000.0,21200000.0,24900000.0,-14700000.0,862600000.0,-31500000.0,631700000.0,,,,38500000.0,38500000.0,-0.17,6700000.0,71200000.0,13600000.0,445500000.0,-35300000.0,185294118.0,49900000.0,-400000.0,,,122500000.0,207200000,,405800000.0,18800000,-9200000.0,0.0,,,-1000000.0,-6000000.0,-100000.0,32400000,258800000.0,-0.17,,11900000.0,103700000.0,330800000.0,186700000.0,185294118.0,,230900000.0,90100000.0,417100000.0,2000000.0,,,-225600000.0,6200000.0,54600000.0,,,
1991-06-30,436600000.0,-300000.0,30400000.0,-13800000.0,900000.0,15000000.0,15100000,200700000.0,,181900000.0,-100000.0,75300000.0,8500000.0,62600000.0,,,,88000000.0,,14500000.0,110000000.0,0.0,24800000.0,16600000.0,885900000.0,13100000.0,643300000.0,,,,53000000.0,53000000.0,0.065,6700000.0,81300000.0,13900000.0,463900000.0,13200000.0,201538462.0,50600000.0,-400000.0,,,133400000.0,221400000,,415800000.0,30300000,-17300000.0,0.0,,,-1800000.0,-6200000.0,0.0,44200000,256700000.0,0.065,,23600000.0,103100000.0,339600000.0,207200000.0,201538462.0,,242600000.0,89200000.0,422000000.0,-3600000.0,,,-233900000.0,6300000.0,56000000.0,,,
1991-09-30,662800000.0,500000.0,47100000.0,-11500000.0,103800000.0,21600000.0,19200000,343300000.0,,184300000.0,1400000.0,95900000.0,10100000.0,72800000.0,,,,95500000.0,,11000000.0,,0.0,28400000.0,35600000.0,1151400000.0,21400000.0,875500000.0,,,,64000000.0,64000000.0,0.09,8000000.0,52300000.0,14300000.0,609100000.0,18800000.0,237777778.0,60100000.0,-1100000.0,,,148500000.0,244000000,,428800000.0,35900000,-139900000.0,0.0,-4700000.0,,-500000.0,-4400000.0,-100000.0,50200000,400800000.0,0.09,,29300000.0,112600000.0,347800000.0,208300000.0,237777778.0,,275900000.0,98300000.0,542300000.0,-128100000.0,,,-244500000.0,7000000.0,57500000.0,,,
1991-12-31,415300000.0,900000.0,47700000.0,-14900000.0,-7900000.0,-250600000.0,13800000,318800000.0,,188800000.0,3200000.0,96300000.0,6000000.0,71300000.0,,,,99300000.0,,13600000.0,,0.0,33400000.0,32800000.0,921900000.0,-250600000.0,637500000.0,,,,77600000.0,77600000.0,,8800000.0,81500000.0,13200000.0,623700000.0,14800000.0,,59800000.0,-1500000.0,,,146200000.0,245500000,,429200000.0,25400000,-26400000.0,0.0,3700000.0,,1100000.0,-5400000.0,-2200000.0,38600000,386100000.0,,,19800000.0,120800000.0,91700000.0,237600000.0,,,284400000.0,107600000.0,298200000.0,-6700000.0,,,-240400000.0,4700000.0,67300000.0,,,
1992-03-31,426100000.0,800000.0,-4700000.0,-12600000.0,-14200000.0,11200000.0,11200000,312000000.0,,188000000.0,3100000.0,80800000.0,4500000.0,72100000.0,,,,91500000.0,,-31000000.0,,77600000.0,31500000.0,-17300000.0,895500000.0,11200000.0,645600000.0,,100000.0,,46600000.0,46600000.0,0.045,9600000.0,78100000.0,15200000.0,594200000.0,-18300000.0,248888889.0,54500000.0,-500000.0,,,142500000.0,234000000,,433900000.0,22200000,-12300000.0,0.0,-1300000.0,,100000.0,-5500000.0,,37400000,380800000.0,0.045,,15700000.0,120300000.0,97400000.0,213400000.0,248888889.0,,249900000.0,105100000.0,301300000.0,-600000.0,,,-245900000.0,7200000.0,68800000.0,,,
1992-06-30,367100000.0,1400000.0,22300000.0,-14900000.0,-52100000.0,14300000.0,14300000,268200000.0,,190300000.0,1700000.0,104700000.0,6400000.0,72300000.0,,,,97100000.0,,53100000.0,,0.0,30000000.0,7400000.0,896000000.0,14300000.0,587400000.0,,,,99700000.0,99700000.0,0.06,9200000.0,74800000.0,15400000.0,579600000.0,9300000.0,238333333.0,55300000.0,-700000.0,,,150100000.0,247200000,,447200000.0,28200000,83100000.0,0.0,-400000.0,,-400000.0,-5500000.0,,43600000,344800000.0,0.06,,20700000.0,121900000.0,106200000.0,234800000.0,238333333.0,,308600000.0,106500000.0,316400000.0,103200000.0,,,-256900000.0,7200000.0,76600000.0,,,
1992-09-30,407700000.0,2100000.0,44200000.0,-15700000.0,-31300000.0,20200000.0,20200000,252300000.0,,193700000.0,2800000.0,104400000.0,9400000.0,71500000.0,,,,101800000.0,,-14300000.0,,0.0,28600000.0,28500000.0,934100000.0,20200000.0,630000000.0,0.0,,,85400000.0,85400000.0,0.08,8600000.0,74400000.0,14700000.0,573900000.0,7300000.0,252500000.0,56300000.0,1000000.0,,,158900000.0,260700000,,461300000.0,35300000,-27000000.0,0.0,1000000.0,,700000.0,-5500000.0,-100000.0,50000000,338800000.0,0.08,,29600000.0,123600000.0,120900000.0,235100000.0,252500000.0,,304100000.0,108900000.0,360200000.0,-11400000.0,,,-267600000.0,7900000.0,86500000.0,,,
1992-12-31,356500000.0,2100000.0,51300000.0,-14000000.0,-91500000.0,18600000.0,18600000,208500000.0,,195300000.0,1000000.0,110000000.0,7000000.0,67700000.0,,,,102500000.0,,-48900000.0,,0.0,26900000.0,37300000.0,832400000.0,18600000.0,578700000.0,1700000.0,,,36500000.0,36500000.0,,7100000.0,19200000.0,14100000.0,488900000.0,1000000.0,,58600000.0,500000.0,,,160400000.0,262900000,,447300000.0,31800000,-8500000.0,0.0,2800000.0,,1700000.0,-5500000.0,-200000.0,45900000,301100000.0,,,25600000.0,128600000.0,133500000.0,187800000.0,,,253700000.0,114500000.0,343500000.0,3600000.0,,,-252000000.0,9700000.0,92600000.0,,,
1993-03-31,367700000.0,800000.0,28600000.0,-14200000.0,-6100000.0,17300000.0,12600000,208600000.0,,195900000.0,1200000.0,104000000.0,2900000.0,69500000.0,,,,92100000.0,,8100000.0,,36500000.0,23200000.0,14400000.0,864900000.0,17300000.0,586800000.0,-4700000.0,,,44600000.0,44600000.0,0.07,6400000.0,19400000.0,15300000.0,519200000.0,-2600000.0,247142857.0,58600000.0,-3300000.0,,,148700000.0,240800000,,455800000.0,20700000,-14300000.0,0.0,-5600000.0,,200000.0,-6100000.0,-900000.0,36000000,337200000.0,0.07,,15500000.0,128000000.0,144800000.0,182000000.0,247142857.0,,278100000.0,112700000.0,345700000.0,3500000.0,,,-259900000.0,26800000.0,128600000.0,,,
1993-06-30,347500000.0,1200000.0,39900000.0,-15200000.0,-4800000.0,15200000.0,19200000,137500000.0,,199200000.0,2400000.0,112200000.0,9100000.0,73100000.0,,,,97600000.0,,22800000.0,,0.0,22500000.0,24700000.0,904400000.0,15200000.0,569200000.0,100000.0,,,67400000.0,67400000.0,0.06,5900000.0,94400000.0,14600000.0,543600000.0,2500000.0,253333333.0,62700000.0,200000.0,,,160200000.0,257800000,,471400000.0,31700000,-12500000.0,0.0,-3500000.0,,100000.0,-6000000.0,-3400000.0,46300000,274300000.0,0.06,,28300000.0,128500000.0,154100000.0,269300000.0,253333333.0,,335200000.0,113900000.0,360800000.0,2500000.0,,,-272200000.0,57500000.0,136800000.0,,,
1993-09-30,330000000.0,1800000.0,52100000.0,-19000000.0,-93400000.0,23300000.0,23300000,132300000.0,,200700000.0,2600000.0,117600000.0,11700000.0,74100000.0,,,,103300000.0,,-46300000.0,,0.0,21700000.0,33100000.0,840500000.0,23300000.0,552400000.0,,,,21100000.0,21100000.0,0.095,4200000.0,12000000.0,16300000.0,476700000.0,12700000.0,245263158.0,64900000.0,-1500000.0,,,172200000.0,275500000,,483000000.0,36700000,-4700000.0,0.0,-1100000.0,,800000.0,-6100000.0,-4000000.0,53000000,282200000.0,0.095,,35000000.0,135500000.0,120900000.0,194500000.0,245263158.0,,288100000.0,119300000.0,363800000.0,200000.0,,,-282300000.0,48000000.0,149900000.0,,,
1993-12-31,320200000.0,1300000.0,49400000.0,-18600000.0,-11600000.0,20800000.0,20800000,125700000.0,,207100000.0,1800000.0,108900000.0,9700000.0,76200000.0,,,,100700000.0,,27000000.0,,0.0,37300000.0,30800000.0,862600000.0,20800000.0,564600000.0,,18700000.0,,48100000.0,48100000.0,,4000000.0,17900000.0,13300000.0,488300000.0,15700000.0,,69500000.0,-10600000.0,,,166700000.0,267400000,,478800000.0,32700000,-10600000.0,0.0,-1100000.0,,-2700000.0,-5800000.0,-1000000.0,46000000,292000000.0,,,30500000.0,134000000.0,185800000.0,196300000.0,,,298000000.0,120700000.0,374300000.0,-12700000.0,,,-271700000.0,32000000.0,166300000.0,,,
1994-03-31,327600000.0,700000.0,25200000.0,-19200000.0,-8000000.0,15800000.0,15800000,122500000.0,,212400000.0,1900000.0,117100000.0,9200000.0,84600000.0,,,,95100000.0,,-2300000.0,,48100000.0,37100000.0,6000000.0,886700000.0,15800000.0,577100000.0,,,,45800000.0,45800000.0,0.065,3900000.0,20500000.0,16300000.0,500700000.0,-6600000.0,243076923.0,69400000.0,,,,165000000.0,260100000,,490500000.0,27100000,-18500000.0,0.0,-8200000.0,,-400000.0,-7100000.0,-1100000.0,43400000,293700000.0,0.065,,25000000.0,137900000.0,194500000.0,207000000.0,243076923.0,,309600000.0,121600000.0,386000000.0,100000.0,,,-278100000.0,34500000.0,171200000.0,,,
1994-06-30,331600000.0,1000000.0,52100000.0,-19900000.0,-19600000.0,21700000.0,21700000,115400000.0,,217700000.0,3200000.0,122200000.0,12100000.0,91000000.0,,,,104000000.0,,18800000.0,,0.0,36200000.0,32200000.0,922300000.0,21700000.0,585500000.0,,,,64700000.0,64700000.0,0.085,3200000.0,19000000.0,16200000.0,518500000.0,16400000.0,255294118.0,70100000.0,,,,178400000.0,282400000,,501800000.0,33800000,-13500000.0,0.0,-6500000.0,,-200000.0,-6900000.0,-5200000.0,50100000,307200000.0,0.085,,33800000.0,144600000.0,209300000.0,211300000.0,255294118.0,,336800000.0,128300000.0,403800000.0,5700000.0,,,-284100000.0,34900000.0,191800000.0,,,
1994-09-30,339300000.0,500000.0,52300000.0,-22500000.0,-5600000.0,26500000.0,26500000,114200000.0,,221100000.0,2500000.0,136400000.0,16400000.0,92600000.0,,,,113100000.0,,29000000.0,,0.0,37900000.0,29800000.0,975600000.0,26500000.0,598300000.0,,,,93700000.0,93700000.0,0.105,3100000.0,23100000.0,16300000.0,546200000.0,8300000.0,252380952.0,71600000.0,-500000.0,,,189700000.0,302800000,,512300000.0,43500000,-17500000.0,0.0,-1400000.0,,100000.0,-6900000.0,-1500000.0,59800000,315100000.0,0.105,,42900000.0,146200000.0,230300000.0,231100000.0,252380952.0,,377300000.0,129900000.0,429400000.0,-1300000.0,,,-291200000.0,32000000.0,200900000.0,,,
1994-12-31,335500000.0,-1100000.0,39700000.0,-26900000.0,-7600000.0,20600000.0,20600000,105400000.0,,246200000.0,-4500000.0,135000000.0,12600000.0,100000000.0,,,,153800000.0,,4100000.0,,0.0,37500000.0,12800000.0,1020400000.0,20600000.0,619200000.0,,2000000.0,,98300000.0,98300000.0,,2700000.0,41800000.0,18100000.0,558600000.0,-12700000.0,,76900000.0,3100000.0,,,208500000.0,362300000,,551800000.0,40700000,-28600000.0,0.0,1800000.0,,800000.0,-7000000.0,-100000.0,58800000,304900000.0,,,33200000.0,167800000.0,257500000.0,253700000.0,,,401200000.0,149700000.0,461800000.0,-3900000.0,,,-305600000.0,34100000.0,199500000.0,,,
