date,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyRepaymentOfDebt,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyNetPPE,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2016-12-31,,117814000,90951000.0,253119000.0,202881000.0,1729007000.0,,47820000,58783000,58783000,4942000,161634000.0,0.84,69980000.0,918000.0,,7958000.0,-94727000.0,560000,236490000.0,-6428000,567923000,58527000,-376000,36136000.0,18824000.0,12523000,3168000,61262000,210155000,621187000.0,273350000.0,132660000,0.79,-42876000,-2007000.0,74384000.0,1107820000.0,-74363000,95938000.0,-1475000.0,,7000.0,500481000,79457000.0,79140000.0,867833000.0,567923000.0,327969000,16324000,78055000,76961000.0,77495000,-49132000.0,-4935000,21446000,459553000.0,126093000.0,77137000,52755000,,435105000.0,-8000000,1526126000.0,,-6981000,71398000,99585000.0,18354000,4011000.0,67442000,15795000.0,9299000.0,299910000.0,,,
2017-03-31,,121265000,75291000.0,209062000.0,202773000.0,1939598000.0,,158217000,82961000,82961000,4939000,178711000.0,1.16,71114000.0,715000.0,,8069000.0,-61511000.0,1025000,286786000.0,-2920000,746567000,82694000,-383000,36136000.0,19885000.0,-580000,-18648000,59182000,214210000,711224000.0,383245000.0,140792000,1.07,44057000,-1252000.0,77516000.0,1228374000.0,-50296000,64488000.0,-1630000.0,,7000.0,567923000,60984000.0,112216000.0,1043242000.0,746567000.0,335475000,16439000,79382000,76319000.0,73418000,-53719000.0,-4645000,18518000,532513000.0,130038000.0,73728000,162862000,,518874000.0,2521000,1736825000.0,,55672000,81610000,113925000.0,-9233000,16769000.0,178644000,12993000.0,19481000.0,296675000.0,,,
2017-06-30,,145434000,84413000.0,269624000.0,213751000.0,2162940000.0,,74344000,102685000,102685000,5094000,194394000.0,1.42,71992000.0,623000.0,,7992000.0,-52684000.0,1119000,363803000.0,-10010000,823475000,102454000,-390000,36136000.0,20306000.0,-776000,19947000,61949000,259777000,805191000.0,426750000.0,143143000,1.3,-60562000,-2000.0,78756000.0,1357749000.0,-77017000,47565000.0,-1253000.0,,7000.0,746567000,80418000.0,124362000.0,1124839000.0,823475000.0,405211000,18400000,122847000,75840000.0,116634000,-58601000.0,-4889000,7458000,610797000.0,134441000.0,117130000,79233000,,621559000.0,-11036000,1949189000.0,,-36333000,81194000,127760000.0,14445000,18823000.0,76908000,19216000.0,8624000.0,301364000.0,,,
2017-09-30,,157016000,94459000.0,212611000.0,226171000.0,2301710000.0,,203243000,133722000,133722000,5322000,209611000.0,1.84,72588000.0,701000.0,,7811000.0,-211219000.0,2136000,333157000.0,-187417000,854479000,133540000,-397000,36136000.0,21277000.0,-1101000,-47374000,60175000,280617000,777158000.0,423705000.0,139785000,1.68,57013000,2997000.0,79322000.0,1524552000.0,30646000,23430000.0,-1075000.0,,7000.0,823475000,32893000.0,126190000.0,1343114000.0,854479000.0,437633000,20152000,148290000,73061000.0,140832000,-63789000.0,-2625000,12267000,567547000.0,136850000.0,142267000,205868000,,755281000.0,-14228000,2075539000.0,,60547000,79610000,141440000.0,8545000,20505000.0,31004000,16490000.0,13765000.0,488635000.0,,,
2017-12-31,,160702000,133827000.0,247346000.0,194431000.0,2460860000.0,,180544000,103833000,103833000,5285000,269041000.0,1.42,73310000.0,741000.0,,9745000.0,-259959000.0,2988000,306198000.0,-192233000,859192000,103752000,-447000,36136000.0,18891000.0,-1568000,15971000,60597000,307165000,798946000.0,327706000.0,167777000,1.29,-34735000,-3000.0,80243000.0,1661914000.0,26959000,70849000.0,-1938000.0,,7000.0,854479000,52200000.0,96215000.0,1535555000.0,859192000.0,467867000,20436000,147661000,74279000.0,139388000,-69020000.0,-3120000,13226000,529905000.0,143299000.0,141635000,183664000,,859114000.0,31169000,2266429000.0,,22595000,107180000,187556000.0,37802000,20782000.0,4713000,16172000.0,15241000.0,676363000.0,,,
2018-03-31,,169570000,85728000.0,207339000.0,200860000.0,2580034000.0,,189205000,144538000,144538000,5697000,277216000.0,1.95,73994000.0,687000.0,,21343000.0,-267976000.0,4843000,268131000.0,-183864000,891668000,144449000,-456000,36136000.0,22879000.0,-1536000,20040000,61819000,302919000,734995000.0,274677000.0,164181000,1.79,40007000,,80721000.0,1845039000.0,38067000,90448000.0,-3626000.0,,8000.0,864697000,70431000.0,82837000.0,1738040000.0,886160000.0,472489000,20851000,149278000,73825000.0,138738000,-74026000.0,-6336000,15308000,457779000.0,147851000.0,142894000,195541000,,1007226000.0,-3541000,2379174000.0,,28026000,102362000,181377000.0,-1644000,,26971000,26943000.0,17300000.0,851880000.0,,,
2018-06-30,,185962000,86693000.0,260917000.0,197552000.0,2733091000.0,,123849000,150708000,150708000,5631000,285378000.0,2.02,74503000.0,680000.0,,22116000.0,-436689000.0,-1489000,245439000.0,-313108000,716669000,150629000,-465000,35036000.0,20019000.0,-2927000,-16443000,64608000,333883000,707141000.0,262345000.0,168686000,1.86,-53578000,,80826000.0,2025950000.0,22692000,132316000.0,-4551000.0,,8000.0,891668000,53182000.0,87157000.0,1860404000.0,711157000.0,519845000,22478000,169339000,73736000.0,165197000,-79256000.0,-6735000,8118000,421763000.0,152992000.0,163028000,130584000,,1157934000.0,-740000,2535539000.0,,-55840000,104078000,186299000.0,12320000,,-174999000,19543000.0,11510000.0,1149247000.0,,,
2018-09-30,55168000.0,201726000,103108000.0,322053000.0,362192000.0,2798238000.0,,-123367000,168524000,168524000,7112000,312580000.0,2.25,75011000.0,673000.0,,23065000.0,-130533000.0,9292000,216313000.0,-86480000,528897000,168439000,-471000,35036000.0,20199000.0,-2451000,26918000,63224000,361583000,852362000.0,318850000.0,180813000,2.08,-54621000,0.0,81018000.0,1945876000.0,37525000,144235000.0,-4442000.0,62110000.0,8000.0,716669000,85097000.0,118262000.0,1661799000.0,524687000.0,563309000,23254000,197174000,75397000.0,180770000,-84397000.0,-4542000,17910000,539782000.0,159794000.0,189389000,-118825000,,1020481000.0,-45334000,2436046000.0,,34676000,117589000,211005000.0,20865000,,-187772000,32727000.0,20832000.0,1137112000.0,,,
2018-12-31,53684000.0,220734000,123254000.0,331777000.0,367181000.0,3081983000.0,,289602000,170322000,170322000,9231000,332090000.0,2.26,75473000.0,661000.0,,31851000.0,-347061000.0,5509000,264557000.0,-171661000,654164000,170211000,-537000,30336000.0,22704000.0,-1964000,8822000,62911000,374992000,938594000.0,358586000.0,181350000,2.1,-9724000,,80928000.0,2143389000.0,-47230000,180798000.0,-3994000.0,58610000.0,8000.0,528897000,93757000.0,95730000.0,1956147000.0,649950000.0,595726000,24619000,208382000,75355000.0,193642000,-90012000.0,-6217000,1515000,606504000.0,165367000.0,198490000,295819000,,1190803000.0,-8281000,2714802000.0,-1181000.0,96725000,118439000,228641000.0,28168000,,125267000,30907000.0,4016000.0,1306197000.0,,,
2019-03-31,53684000.0,214854000,104228000.0,271246000.0,431470000.0,3332444000.0,,164860000,201029000,201029000,8362000,388884000.0,2.65,75920000.0,0.0,,25601000.0,-332247000.0,12333000,347153000.0,-35220000,813709000,200911000,0,31486000.0,25063000.0,-1850000,-2391000,66559000,380570000,932077000.0,304729000.0,186228000,2.47,60531000,,81201000.0,2400367000.0,-82596000,302264000.0,-580000.0,55111000.0,8000.0,654164000,89823000.0,63436000.0,2150918000.0,809491000.0,595424000,24291000,215037000,140081000.0,194342000,-83214000.0,-5237000,24473000,543193000.0,140081000.0,206675000,170097000,,1395534000.0,-718000,2900974000.0,,-59648000,119669000,231742000.0,5646000,,159545000,44413000.0,26323000.0,1341427000.0,,,
2019-06-30,53684000.0,218130000,113898000.0,343080000.0,412774000.0,3441292000.0,,192977000,189251000,189251000,8395000,390712000.0,2.47,76552000.0,0.0,,25351000.0,-217136000.0,13811000,314177000.0,29710000,948636000,189152000,0,31486000.0,27106000.0,-2812000,-4392000,69059000,390191000,915732000.0,272366000.0,183354000,2.33,-71834000,,81335000.0,2525560000.0,32976000,250248000.0,2035000.0,51612000.0,8000.0,813709000,86134000.0,43665000.0,2257803000.0,944414000.0,608321000,24297000,215232000,135226000.0,206837000,-88023000.0,-3402000,-91039000,525020000.0,135226000.0,220648000,196379000,,1484777000.0,8632000,3028518000.0,,-39960000,114295000,229852000.0,31397000,,134927000,52622000.0,,1313389000.0,,,
2019-09-30,54855000.0,237141000,128930000.0,447252000.0,379405000.0,3619825000.0,,264717000,208895000,208895000,8191000,415632000.0,2.73,76426000.0,,,30627000.0,-290715000.0,19169000,239802000.0,-14533000,1099491000,208799000,0,4150000.0,29360000.0,-2407000,-7578000,69936000,417274000,963821000.0,291384000.0,188668000,2.59,-104172000,,80753000.0,2656004000.0,74571000,282227000.0,201000.0,48319000.0,8000.0,948636000,78600000.0,52800000.0,2447040000.0,1095265000.0,654415000,26257000,236797000,132091000.0,228606000,-92663000.0,-4680000,-102943000,548189000.0,132091000.0,247775000,269397000,-114609000.0,1579063000.0,3031000,3240420000.0,,25020000,118732000,237628000.0,38880000,4052000.0,150855000,49275000.0,,1351775000.0,,,
