date,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,quarterlyCurrentDebt,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentLiabilities,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyInventory,quarterlyAccountsReceivable,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2013-12-31,4425734000,5771138000,-237547000.0,978635000,1409877000,1779867000.0,,0,0.0,1096453000,1733757000.0,1647424000.0,1733757000.0,1345404000.0,,4666256000.0,8244010000,3572037000,6119889000,23471047000,9691926000,15227037000,5141254000.0,0.0,43468000.0,20793000,13374264000,75524000,1376719000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,3997842000,4854327000,,1122875000,1388361000,2138949000.0,0.0,0,0.0,1289408000,1824240000.0,1388361000.0,1208437000.0,856485000.0,0.0,5235808000.0,7625630000,4025580000,5950165000,24114918000,9975745000,16489288000,4827290000.0,0.0,53008000.0,20793000,13664810000,132518000,513498000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,4094096000,4918206000,-306884000.0,1834422000,1546595000,2611369000.0,,0,0.0,2571006000,2302381000.0,1853479000.0,2302381000.0,824110000.0,,5794571000.0,8487095000,4981410000,8375414000,31199794000,13356824000,22712699000,6525142000.0,0.0,231943000.0,834845000,16263256000,117450000,1973567000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,4734624000,4757133000,,2058841000,2248248000,1954595000.0,0.0,0,0.0,2532047000,2500893000.0,2248248000.0,1416052000.0,22509000.0,0.0,6525497000.0,9289126000,4538558000,10345280000,34302888000,14883838000,25013762000,8278499000.0,0.0,110682000.0,836616000,17243073000,226699000,1043275000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,5953481000,6118135000,-378469000.0,2424749000,2501312000,3409555000.0,,0,0.0,3357187000,2794456000.0,2879781000.0,2794456000.0,164654000.0,,7190745000.0,11488029000,6323306000,14879225000,40623072000,21202531000,29135043000,12411111000.0,0.0,164654000.0,1061891000,17196154000,202314000,3060436000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,6014226000,6083644000,,2691859000,2569016000,4043033000.0,0.0,0,0.0,3956439000,3211502000.0,2569016000.0,2181053000.0,69418000.0,0.0,7827315000.0,12502711000,7360288000,17300807000,44555055000,24661095000,32052344000,14567364000.0,0.0,69418000.0,1047485000,17556542000,330336000,1504571000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,6340579000,6384543000,-494770000.0,3075645000,3181508000,4399348000.0,,0,0.0,5686374000,4804142000.0,3676278000.0,4804142000.0,43964000.0,,8900213000.0,12307190000,9313790000,20372730000,49531728000,29686520000,37224538000,17175695000.0,0.0,43964000.0,1563390000,17389302000,361540000,3337241000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,8906462000,10040369000,,3588359000,3401387000,5239728000.0,0.0,0,0.0,7043006000,6246346000.0,3401387000.0,5013660000.0,1133907000.0,0.0,10113029000.0,17605554000,11603841000,24813264000,61964490000,36417105000,44358936000,21123155000.0,0.0,3802383000.0,1654818000,20175137000,490522000,1960391000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,8657193000,9497632000,-743959000.0,4312044000,4195920000,5396847000.0,,0,,8592924000,,4939879000.0,8505257000.0,840439000.0,,11101362000.0,19637448000,14033220000,30446434000,73123192000,44479654000,53485744000,26014563000.0,,840439000.0,1747451000,22554279000,509825000,5589106000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,7989932000,8046402000,,4985587000,4560976000,5829495000.0,0.0,0,,10755557000,,4560976000.0,9065868000.0,56470000.0,0.0,,20424578000,15070749000,35299468000,82066784000,50370217000,61642206000,30217240000.0,,,1784610000,25047466000,880230000,10458044000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,12136379000,14859098000,-956463000.0,5301410000,4623182000,4917577000.0,,0,,12642951000,,5579645000.0,10167760000.0,2722719000.0,,,29664373000,15234387000,39191911000,95121637000,54426298000,65457264000,33566391000.0,,,1753737000,33926107000,658759000,2423557000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,12037686000,12075012000,,6074442000,4888534000,,,0,,15376205000,,4888534000.0,8715299000.0,37326000.0,,,29889333000,17267965000,44735392000,105313513000,62003357000,75424180000,,,,1932633000,35521392000,1079876000,3192449000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
