date,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyCapitalExpenditure,quarterlyBasicAverageShares,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyNetPPE,quarterlyBasicEPS,quarterlyOtherIncomeExpense,quarterlyAccountsReceivable,quarterlyTaxProvision,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyOtherIntangibleAssets,quarterlyDilutedEPS,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAccruedExpenses,quarterlyChangeInInventory,quarterlyDepreciationAndAmortization,quarterlyStockBasedCompensation,quarterlyInventory,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDeferredIncomeTax,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2012-03-31,7432000000.0,535828000000.0,3435000000.0,9122000000.0,892000000.0,49490000000,-34391000000,18026000000,18645000000.0,,20485000000.0,-242000000,34472000000.0,887000000,515343000000.0,80784000000.0,964000000.0,,962000000.0,5113000000,4965000000.0,8150000000.0,,0.0,50121000000.0,330938000000.0,16952000000,-563000000,8150000000.0,8000000000.0,654000000,212659000000.0,652000000,20742000000.0,7432000000.0,0.08,265000000,55933000000.0,233000000,3060000000,4805000000.0,123713000000.0,,521000000.0,0.08,20179000000,652000000,617930000000.0,583458000000.0,141729000000.0,18016000000.0,14966000000,8600000000.0,25918000000,,,-59387000000,,,,,,,,,,,,,,,,,,,,
2012-06-30,7519000000.0,557460000000.0,3113000000.0,11032000000.0,2569000000.0,42805000000,-3822000000,27904000000,17621000000.0,,21973000000.0,-3462000000,39368000000.0,2594000000,535487000000.0,81748000000.0,966000000.0,,962000000.0,5533000000,5451000000.0,,,0.0,48486000000.0,342793000000.0,4003000000,-423000000,,8231000000.0,2014000000,211275000000.0,1986000000,13154000000.0,7519000000.0,,276000000,56243000000.0,580000000,9878000000,5904000000.0,126119000000.0,,561000000.0,,12731000000,1986000000,640517000000.0,601149000000.0,147122000000.0,21003000000.0,18026000000,8600000000.0,19738000000,,,-22791000000,,,,,,,,,,,,,,,,,,,,
2012-09-30,7839000000.0,563471000000.0,3362000000.0,9943000000.0,480000000.0,39767000000,-14280000000,17631000000,18118000000.0,,23365000000.0,-393000000,34962000000.0,482000000,540106000000.0,81407000000.0,955000000.0,,962000000.0,5592000000,5401000000.0,8283333333.0,,0.0,45594000000.0,357539000000.0,-12410000000,-710000000,8283333333.0,15500000000.0,496000000,210553000000.0,497000000,9307000000.0,7839000000.0,0.06,284000000,55816000000.0,-14000000,-10273000000,6345000000.0,132165000000.0,,617000000.0,0.06,8597000000,497000000,646169000000.0,611207000000.0,147212000000.0,15047000000.0,27904000000,8600000000.0,17513000000,,,-30582000000,,,,,,,,,,,,,,,,,,,,
2012-12-31,8858000000.0,583933000000.0,4376000000.0,10812000000.0,2103000000.0,39389000000,-18499000000,24990000000,19596000000.0,,24807000000.0,-752000000,41575000000.0,2150000000,559126000000.0,96177000000.0,958000000.0,,962000000.0,5928000000,7885000000.0,,,0.0,43784000000.0,386295000000.0,17700000000,-1361000000,,15500000000.0,1966000000,211240000000.0,1942000000,8921000000.0,8858000000.0,,314000000,58395000000.0,184000000,7359000000,7298000000.0,135815000000.0,8314000000.0,798000000.0,,7560000000,1942000000,681502000000.0,639927000000.0,159690000000.0,23875000000.0,17631000000,9062000000.0,37418000000,,,-54127000000,,,,,,,,,,,,,,,,,,,,
2013-03-31,8818000000.0,598460000000.0,3506000000.0,10641000000.0,3100000000.0,53165000000,-5934000000,26974000000,21821000000.0,-11000000.0,25672000000.0,-415000000,47330000000.0,3114000000,572788000000.0,99482000000.0,959000000.0,,962000000.0,5948000000,6601000000.0,8900000000.0,,0.0,39476000000.0,393439000000.0,-4511000000,-1335000000,8900000000.0,15500000000.0,2258000000,218341000000.0,2225000000,12870000000.0,8818000000.0,0.25,240000000,62192000000.0,856000000,1984000000,7276000000.0,139848000000.0,,750000000.0,0.25,11535000000,2225000000,699388000000.0,652058000000.0,166612000000.0,26764000000.0,24990000000,9062000000.0,31206000000,,,-35273000000,,,,,,,,,,,,,,,,,,,,
2013-06-30,8947000000.0,623519000000.0,3219000000.0,12212000000.0,3788000000.0,50903000000,-16516000000,28599000000,21888000000.0,-371000000.0,27662000000.0,-356000000,49153000000.0,3814000000,595857000000.0,96306000000.0,1006000000.0,,962000000.0,6078000000,6426000000.0,,,0.0,40033000000.0,423542000000.0,2822000000,-497000000,,15688000000.0,3288000000,204531000000.0,3239000000,15775000000.0,8947000000.0,,247000000,62467000000.0,526000000,1625000000,8836000000.0,161520000000.0,,770000000.0,,15278000000,3239000000,721207000000.0,672054000000.0,188458000000.0,26938000000.0,26974000000,9062000000.0,53767000000,,,-68741000000,,,,,,,,,,,,,,,,,,,,
2013-09-30,9101000000.0,639059000000.0,3272000000.0,12497000000.0,3495000000.0,45560000000,-19691000000,19984000000,24506000000.0,0.0,28995000000.0,-4052000000,42515000000.0,3508000000,610064000000.0,100837000000.0,1011000000.0,,962000000.0,5970000000,6324000000.0,9024137931.0,0.0,0.0,34610000000.0,446944000000.0,5953000000,-601000000,9024137931.0,15688000000.0,2656000000,208641000000.0,2617000000,9182000000.0,9101000000.0,0.29,276000000,64551000000.0,852000000,-8615000000,9325000000.0,181029000000.0,,793000000.0,0.29,8581000000,2617000000,741349000000.0,698834000000.0,200462000000.0,19433000000.0,28599000000,9062000000.0,34343000000,,,-52675000000,,,,,,,,,,,,,,,,,,,,
2013-12-31,10065000000.0,623147000000.0,4886000000.0,14822000000.0,1485000000.0,43509000000,22131000000,19335000000,25294000000.0,-7000000.0,29849000000.0,-848000000,32859000000.0,1478000000,593298000000.0,98968000000.0,1021000000.0,,962000000.0,6916000000,12742000000.0,,-1000000.0,0.0,35053000000.0,443368000000.0,-29172000000,-1243000000,,15688000000.0,1193000000,198572000000.0,1180000000,7287000000.0,10065000000.0,,456000000,66471000000.0,285000000,-649000000,10119000000.0,175489000000.0,,966000000.0,,6044000000,1180000000,723533000000.0,690674000000.0,192050000000.0,16561000000.0,19984000000,9062000000.0,57679000000,,,-33514000000,,,,,,,,,,,,,,,,,,,,
2014-03-31,10259000000.0,675683000000.0,3706000000.0,14714000000.0,4425000000.0,63720000000,-37867000000,26006000000,28505000000.0,,33727000000.0,-252000000,42249000000.0,4438000000,641956000000.0,103245000000.0,1027000000.0,,962000000.0,6216000000,7989000000.0,9174285714.0,,0.0,33563000000.0,467851000000.0,23018000000,-795000000,9174285714.0,19683000000.0,3262000000,221702000000.0,3211000000,17738000000.0,10259000000.0,0.35,456000000,79286000000.0,1176000000,6671000000,11098000000.0,188320000000.0,,913000000.0,0.35,16943000000,3211000000,780414000000.0,738165000000.0,211646000000.0,23326000000.0,19335000000,9062000000.0,40164000000,,,-76177000000,,,,,,,,,,,,,,,,,,,,
2014-06-30,10320000000.0,713523000000.0,3444000000.0,15530000000.0,4689000000.0,50425000000,-28534000000,23798000000,28517000000.0,,34085000000.0,-412000000,43734000000.0,4741000000,679438000000.0,106341000000.0,1035000000.0,,962000000.0,6736000000,8035000000.0,,,0.0,58867000000.0,492247000000.0,20521000000,-446000000,,187000000.0,3697000000,251181000000.0,3637000000,6210000000.0,10320000000.0,,351000000,83351000000.0,1044000000,-2208000000,11360000000.0,177163000000.0,,899000000.0,,5764000000,3637000000,821391000000.0,777657000000.0,199707000000.0,22544000000.0,26006000000,9062000000.0,64321000000,19570000000.0,,-91484000000,,,,,,,,,,,,,,,,,,,,
