date,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyNetPPE,quarterlyInventory,quarterlyAccountsReceivable,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2014-12-31,3431040131,5754137654,2856479485.0,168992811.0,5631283306.0,14165961716,4986749963,767387691,,13770533,14374351,10990995686,-973120018.0,3053675472.0,0.0,37492529,81904425.0,1883359467,2207339644,2813878700,11315264.0,3005078548.0,283623161,2758941814,16924903530,2679867325,4385940.0,1175476637,5684945873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,3926527045,8147151716,3002299018.0,195736355.0,6255751858.0,16210825990,6324234213,1822917503,0.0,600699778,103549443,11747785676,-1083420476.0,2091465151.0,6418498.0,904359698,15737660.0,1918878542,3525839219,4569828152,8146384.0,2091465151.0,701452486,3862193392,20073019382,3930417655,91724715.0,1175476637,6021882806,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,4166208933,8135724595,3136964588.0,228974815.0,7829036380.0,18002900950,6150134453,1985590142,,575023668,100187611,13472266840,-1165019984.0,3269523254.0,0.0,1025396909,59574457.0,1971944604,3069080313,3967858997,6913197.0,3210864995.0,689814790,3809426209,21812327159,3403680982,62930683.0,1175476637,6614545977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,3835225275,8826486761,3180759703.0,226110242.0,8448498132.0,19370666626,6848217225,1978269536,0.0,536825833,86809210,14139971617,-1228087619.0,0.0,0.0,1066642577,663534.0,1952672084,3522627529,5842690094,6986527.0,1097121096.0,628388105,3821927221,23192593847,5987193589,116012445.0,1175476637,7084314685,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,4622303269,7663614725,4352296763.0,292301752.0,9944778161.0,18860364887,6751294930,912319795,,485174198,78575067,15799781009,-1337049188.0,0.0,0.0,101317364,75271984.0,3015247575,3238717660,5317077521,1586759.0,2300752192.0,708626170,4863197007,23723561894,3201134282,160752792.0,1175476637,5501886474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,4780906062,8431748975,4479353203.0,305665510.0,10425937873.0,20242675180,7540944283,890804692,0.0,471155933,75937703,16395246523,-1493255255.0,93163794.0,0.0,100910544,78829546.0,2986097948,3804993452,8463680820,1090508.0,751020274.0,685656305,4862209348,25104884528,4936793139,135274464.0,1175476637,5687813413,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,5454698714,8593082715,4582318798.0,346645279.0,11723779095.0,21612648018,7623290568,969792147,,454291856,70136010,17764353968,-1627552124.0,0.0,0.0,99427028,113520722.0,2954766674,3498039948,6248888609,2579207.0,2351398082.0,812151225,5037000457,26649648475,3807870646,205006567.0,1175476637,6159268728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,5702381668,9216860813,4704794942.0,344042603.0,12068058870.0,22688389796,8319652459,897208354,0.0,458086273,59394258,18255618524,-1760869341.0,3390933.0,,113021934,900000.0,2943925601,4096720555,7011902182,710099393.0,2588989502.0,784756415,5060334975,27748724771,5824436853,214496178.0,1175476637,8413426355,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,5534578308,8911008412,4897307115.0,348057962.0,13603735926.0,23582506303,7836895535,1074112877,,475530053,54475133,19824763980,-1880679830.0,,23833959.0,232329655,,3016627285,3114014551,6662732773,,3638465616.0,864045440,5452016273,29034522576,4394379150,173246814.0,1175476637,8032844766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,5920438060,9868427560,5066453212.0,503594830.0,14141049320.0,24961599309,8548215422,1320212138,,477353482,50116291,20316596666,-2051693994.0,,22403063.0,230264397,,3014759218,3796348849,9488568875,61370378.0,3452687808.0,835455281,5536899201,30498498510,4080518631,216748270.0,1175476637,7533206439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
