date,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyStockholdersEquity,quarterlyBasicEPS,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNetPPE,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyCapitalExpenditure,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyInventory,quarterlyGoodwill,quarterlyOtherIncomeExpense,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment
1989-12-31,,,,,,,,,,,,,,,,,,,,,,661900000,,,,,,661900000,661900000,,,,,,,,,,,,,,,,,,,,,,108100000,,108100000.0,,,,,,,,59700000.0,,,,,,,,,,,,,,,,
1990-03-31,,,,,,,0.32,,,,,,,,,,,,,,,634200000,,,,,,634200000,634200000,336250000.0,,,,,,,,0.32,,,,,,,,,,,,,107600000,,107600000.0,,,,,336250000.0,,,107600000.0,,,,,,,,,,,,,,,,
1990-06-30,,,,,,,0.185,,,,,,,,,,,,,,,558700000,,,,,,558700000,558700000,361081081.0,,,,,,,,0.185,,,,,,,,,,,,,66800000,,66800000.0,,,,,361081081.0,,,66800000.0,,,,,,,,,,,,,,,,
1990-09-30,,,,,,,0.24,,,,,,,,,,,,,,,578900000,,,,,,578900000,578900000,345416667.0,,,,,,,,0.24,,,,,,,,,,,,,82900000,,82900000.0,,,,,345416667.0,,,82900000.0,,,,,,,,,,,,,,,,
1990-12-31,,,,,,,,,,,,,,,,,,,,,,616900000,,,,,,616900000,616900000,,,,,,,,,,,,,,,,,,,,,,86600000,,86600000.0,,,,,,,,40500000.0,,,,,,,,,,,,,,,,
1991-03-31,,,,,,,0.33,,,,,,,,,,,,,,,664900000,,,,,,664900000,664900000,334545455.0,,,,,,,,0.33,,,,,,,,,,,,,110400000,,110400000.0,,,,,334545455.0,,,110400000.0,,,,,,,,,,,,,,,,
1991-06-30,,,,,,,0.205,,,,,,,,,,,,,,,655100000,,,,,,655100000,655100000,353658537.0,,,,,,,,0.205,,,,,,,,,,,,,72500000,,72500000.0,,,,,353658537.0,,,72500000.0,,,,,,,,,,,,,,,,
1991-09-30,,,,,,,0.23,,,,,,,,,,,,,,,630700000,,,,,,630700000,630700000,351739130.0,,,,,,,,0.23,,,,,,,,,,,,,80900000,,80900000.0,,,,,351739130.0,,,80900000.0,,,,,,,,,,,,,,,,
1991-12-31,,,,,,,,,,,,,,,,,,,,,,655500000,,,,,,655500000,655500000,,,,,,,,,,,,,,,,,,,,,,84700000,,84700000.0,,,,,,,,40000000.0,,,,,,,,,,,,,,,,
1992-03-31,,,,,,,0.34,,,,,,,,,,,,,,,756800000,,,,,,756800000,756800000,332352941.0,,,,,,,,0.34,,,,,,,,,,,,,113000000,,113000000.0,,,,,332352941.0,,,113000000.0,,,,,,,,,,,,,,,,
1992-06-30,,,,,,,0.195,,,,,,,,,,,,,,,645100000,,,,,,645100000,645100000,306153846.0,,,,,,,,0.195,,,,,,,,,,,,,69800000,,69800000.0,,,,,306153846.0,,,59700000.0,,,,,,,,,,,,,,,,
1992-09-30,,,,,,,0.205,,,,,,,,,,,,,,,655900000,,,,,,655900000,655900000,306341463.0,,,,,,,,0.205,,,,,,,,,,,,,72900000,,72900000.0,,,,,306341463.0,,,62800000.0,,,,,,,,,,,,,,,,
1992-12-31,,,,,,,,,,,,,,,,,,,,,,686300000,,,,,,686300000,686300000,,,,,,,,,,,,,,,,,,,,,,91000000,,91000000.0,,,,,,,,81100000.0,,,,,,,,,,,,,,,,
1993-03-31,,,,,,,0.35,,,,,,,,,,,,,,,727400000,,,,,,727400000,727400000,303714286.0,,,,,,,,0.35,,,,,,,,,,,,,115800000,,115800000.0,,,,,303714286.0,,,106300000.0,,,,,,,,,,,,,,,,
1993-06-30,,,,,,,0.2,,,,,,,,,,,,,,,620400000,,,,,,620400000,620400000,301500000.0,,,,,,,,0.2,,,,,,,,,,,,,69900000,,69900000.0,,,,,301500000.0,,,60300000.0,,,,,,,,,,,,,,,,
1993-09-30,,,,,,,0.245,,,,,,,,,,,,,,,683500000,,,,,,683500000,683500000,305714286.0,,,,,,,,0.245,,,,,,,,,,,,,81800000,,81800000.0,,,,,305714286.0,,,74900000.0,,,,,,,,,,,,,,,,
1993-12-31,,,,,,,,,,,,,,,,,,,,,,695700000,,,,,,695700000,695700000,,,,,,,,,,,,,,,,,,,,,,80700000,,80700000.0,,,,,,,,72900000.0,,,,,,,,,,,,,,,,
1994-03-31,-5800000.0,176200000.0,-9200000.0,-20000000.0,5600000.0,3036100000.0,0.35,8300000.0,111300000.0,27900000.0,,544300000.0,17500000.0,,,801100000.0,201100000.0,,1108100000.0,87400000.0,7148900000.0,345600000,87400000.0,,-97900000.0,,80000000.0,258100000,769500000,303142857.0,-4200000.0,-141500000.0,840700000.0,9895300000.0,54500000.0,71200000.0,-2746400000.0,0.35,319600000.0,9694500000.0,247500000.0,,19600000.0,,,225200000.0,299200000.0,226700000.0,,-1300000.0,113700000,2739900000.0,113700000.0,87900000.0,87900000.0,2504100000.0,,303142857.0,-70400000.0,286200000.0,106100000.0,,-106000000.0,,-32800000.0,1937200000.0,319600000.0,58000000.0,-43400000.0,,-18700000.0,8853800000.0,248800000.0,6658400000.0,,,
1994-06-30,,,,,,,0.155,,,,,,,,,,,,,,,640200000,,,,,,640200000,640200000,303870968.0,,,,,,,,0.155,,,,,,,,,,,,,54000000,,54000000.0,,,,,303870968.0,,,47100000.0,,,,,,,,,,,,,,,,
1994-09-30,,,,,,,0.23,,,,,,,,,,,,,,,661100000,,,,,,661100000,661100000,304782609.0,,,,,,,,0.23,,,,,,,,,,,,,77000000,,77000000.0,,,,,304782609.0,,,70100000.0,,,,,,,,,,,,,,,,
1994-12-31,,,,,,,,,,,,,,,,,,,,,,654300000,,,,,,654300000,654300000,,,,,,,,,,,,,,,,,,,,,,-300000,,-300000.0,,,,,,,,-7200000.0,,,,,,,,,,,,,,,,
1995-03-31,15800000.0,129700000.0,-8400000.0,,43100000.0,2978100000.0,0.325,10100000.0,111000000.0,8000000.0,,539900000.0,2900000.0,,,576200000.0,190300000.0,,1060100000.0,82000000.0,7194300000.0,344400000,88600000.0,,-102900000.0,,19400000.0,243700000,727500000,312000000.0,-13100000.0,15900000.0,762000000.0,10140600000.0,197400000.0,-111300000.0,-2946300000.0,0.325,112700000.0,9426200000.0,219200000.0,,-2100000.0,,,187600000.0,280200000.0,235800000.0,,600000.0,108300000,2941300000.0,108300000.0,106700000.0,106700000.0,2279800000.0,,312000000.0,-71700000.0,296200000.0,101400000.0,,-88100000.0,,-41200000.0,1926400000.0,112700000.0,58600000.0,94500000.0,,0.0,8664200000.0,240900000.0,6448100000.0,,,
1995-06-30,-6800000.0,124200000.0,-8000000.0,,107000000.0,2976700000.0,0.14,8000000.0,106100000.0,7600000.0,,448300000.0,-400000.0,,,703100000.0,87400000.0,,1039100000.0,35700000.0,7215100000.0,236000000,99600000.0,,-119500000.0,,19300000.0,139900000,609200000,320000000.0,-5300000.0,-74500000.0,729000000.0,10202100000.0,69700000.0,26900000.0,-2987000000.0,0.14,-100000.0,9451100000.0,205400000.0,5546600000.0,-400000.0,,,160900000.0,186300000.0,241000000.0,,2300000.0,51700000,2826500000.0,51700000.0,97400000.0,97400000.0,2280200000.0,,320000000.0,-72300000.0,308400000.0,44800000.0,,-97000000.0,,-106500000.0,468000000.0,338100000.0,59000000.0,-49800000.0,,0.0,8722100000.0,261000000.0,6474400000.0,,,
1995-09-30,,103100000.0,-41300000.0,,,3016800000.0,0.275,7600000.0,138200000.0,9200000.0,,490100000.0,1100000.0,,,635000000.0,194500000.0,,1112400000.0,100400000.0,7206300000.0,370600000,130100000.0,,-95900000.0,,,271300000,682200000,317090909.0,36600000.0,7000000.0,667000000.0,10257900000.0,271800000.0,-171100000.0,-3051600000.0,0.275,164900000.0,9470200000.0,254700000.0,5596500000.0,1600000.0,,,192100000.0,192300000.0,214800000.0,,-20200000.0,94100000,2827400000.0,94100000.0,94400000.0,94400000.0,2311300000.0,,317090909.0,-72700000.0,218800000.0,87200000.0,,-99200000.0,,134300000.0,468000000.0,164900000.0,58900000.0,175900000.0,,-109900000.0,8803200000.0,607600000.0,6453400000.0,,,
1995-12-31,,83100000.0,-1100000.0,,,3063500000.0,,9200000.0,128300000.0,19900000.0,,544300000.0,-8000000.0,,,600300000.0,163800000.0,,1083100000.0,67300000.0,7178900000.0,277300000,65200000.0,,-84500000.0,,,180300000,732900000,,-2400000.0,59800000.0,692600000.0,10292300000.0,153400000.0,-113500000.0,-3113400000.0,,200200000.0,9491700000.0,211200000.0,5608600000.0,10700000.0,,,188600000.0,198400000.0,190300000.0,,39700000.0,96500000,2828700000.0,96500000.0,115900000.0,115900000.0,2325800000.0,,,-73000000.0,364000000.0,89500000.0,,-29200000.0,,-289600000.0,468000000.0,200200000.0,57300000.0,68900000.0,,71100000.0,8799100000.0,289400000.0,6428200000.0,,,
1996-03-31,,148000000.0,-2000000.0,,138000000.0,3130000000.0,0.365,20000000.0,114000000.0,22000000.0,,574000000.0,1000000.0,,,611000000.0,212000000.0,,1133000000.0,89000000.0,7135000000.0,369000000,89000000.0,,-68000000.0,,17000000.0,265000000,789000000,317808219.0,-14000000.0,22000000.0,787000000.0,10314000000.0,220000000.0,-140000000.0,-3179000000.0,0.365,136000000.0,9531000000.0,238000000.0,,2000000.0,,,215000000.0,287000000.0,197000000.0,,3000000.0,123000000,2830000000.0,123000000.0,125000000.0,125000000.0,2304000000.0,,317808219.0,-73000000.0,309000000.0,116000000.0,,-78000000.0,,-152000000.0,468000000.0,136000000.0,56000000.0,152000000.0,,0.0,8744000000.0,299000000.0,6401000000.0,,,
1996-06-30,,340000000.0,,,,3141000000.0,0.19,22000000.0,148000000.0,201000000.0,,494000000.0,-2000000.0,,,709000000.0,121000000.0,,,53000000.0,7114000000.0,294000000,183000000.0,,-87000000.0,,,173000000,669000000,321052632.0,-15000000.0,-103000000.0,951000000.0,10179000000.0,134000000.0,114000000.0,-3065000000.0,0.19,249000000.0,9645000000.0,289000000.0,5581000000.0,179000000.0,,,175000000.0,177000000.0,202000000.0,,2000000.0,68000000,2831000000.0,68000000.0,120000000.0,120000000.0,2280000000.0,,321052632.0,-74000000.0,321000000.0,61000000.0,,-69000000.0,,128000000.0,466000000.0,249000000.0,54000000.0,47000000.0,,-62000000.0,8694000000.0,296000000.0,6504000000.0,,,
1996-09-30,,194000000.0,,,,3169000000.0,0.245,201000000.0,164000000.0,281000000.0,,507000000.0,46000000.0,,,677000000.0,138000000.0,,,52000000.0,7100000000.0,300000000,99000000.0,,-95000000.0,,,188000000,715000000,322448980.0,,65000000.0,758000000.0,10241000000.0,278000000.0,-105000000.0,-3141000000.0,0.245,219000000.0,9627000000.0,267000000.0,5569000000.0,-101000000.0,,,208000000.0,158000000.0,187000000.0,,6000000.0,86000000,2832000000.0,86000000.0,110000000.0,110000000.0,2261000000.0,,322448980.0,-74000000.0,319000000.0,79000000.0,,-274000000.0,,-192000000.0,466000000.0,219000000.0,56000000.0,183000000.0,,-19000000.0,8869000000.0,501000000.0,6458000000.0,,,
1996-12-31,,74000000.0,10000000.0,,,3211000000.0,,281000000.0,133000000.0,101000000.0,,535000000.0,-241000000.0,,,621000000.0,140000000.0,,1143000000.0,60000000.0,6960000000.0,285000000,142000000.0,,-110000000.0,,,185000000,737000000,,,-61000000.0,749000000.0,10297000000.0,161000000.0,-149000000.0,-3337000000.0,,255000000.0,9636000000.0,215000000.0,5595000000.0,1000000.0,,,202000000.0,158000000.0,201000000.0,,11000000.0,80000000,2802000000.0,80000000.0,174000000.0,174000000.0,2261000000.0,,,-75000000.0,350000000.0,73000000.0,,-11000000.0,,-384000000.0,468000000.0,255000000.0,56000000.0,51000000.0,,63000000.0,8887000000.0,520000000.0,6425000000.0,,,
1997-03-31,,361000000.0,2000000.0,-75000000.0,68000000.0,3270000000.0,0.36,101000000.0,114000000.0,72000000.0,,559000000.0,-13000000.0,,,758000000.0,212000000.0,,1192000000.0,88000000.0,6941000000.0,351000000,92000000.0,,-72000000.0,,17000000.0,259000000,786000000,325000000.0,,-14000000.0,959000000.0,10348000000.0,202000000.0,-207000000.0,-3407000000.0,0.36,334000000.0,9902000000.0,227000000.0,,-29000000.0,,,227000000.0,235000000.0,194000000.0,,7000000.0,124000000,2802000000.0,124000000.0,94000000.0,94000000.0,2265000000.0,,325000000.0,,300000000.0,117000000.0,,-24000000.0,,-28000000.0,468000000.0,334000000.0,54000000.0,130000000.0,,0.0,8943000000.0,537000000.0,6632000000.0,,,
1997-06-30,,,,-294000000.0,,3152000000.0,0.195,72000000.0,,45000000.0,,477000000.0,109000000.0,,,849000000.0,165000000.0,,,96000000.0,6850000000.0,307000000,93000000.0,,-48000000.0,,269000000.0,214000000,686000000,333333333.0,,-56000000.0,724000000.0,10304000000.0,105000000.0,-132000000.0,-3454000000.0,0.195,0.0,9508000000.0,,,-27000000.0,,,209000000.0,849000000.0,,,6000000.0,69000000,2482000000.0,69000000.0,,,2263000000.0,,333333333.0,,263000000.0,65000000.0,,0.0,,,347000000.0,,55000000.0,57000000.0,,-203000000.0,8784000000.0,485000000.0,6356000000.0,,,
1997-09-30,,93000000.0,-18000000.0,0.0,,2887000000.0,0.125,45000000.0,102000000.0,49000000.0,,505800000.0,-222000000.0,,,846000000.0,101000000.0,,1160000000.0,53000000.0,6810000000.0,244800000,94000000.0,,-80000000.0,,-233000000.0,150800000,777800000,336000000.0,,130000000.0,657000000.0,10312000000.0,272000000.0,-81000000.0,-3502000000.0,0.125,491000000.0,9485000000.0,211000000.0,5550000000.0,4000000.0,,,272000000.0,177000000.0,200000000.0,,3000000.0,48000000,2732000000.0,48000000.0,81000000.0,81000000.0,2237000000.0,,336000000.0,-73000000.0,355000000.0,42000000.0,,-187000000.0,,,99000000.0,491000000.0,53000000.0,192000000.0,,33000000.0,8828000000.0,590000000.0,6598000000.0,,,
1997-12-31,,74000000.0,-26000000.0,0.0,11000000.0,2906000000.0,,49000000.0,140000000.0,50000000.0,,537200000.0,-30000000.0,,,769000000.0,132000000.0,,1164000000.0,52000000.0,6820000000.0,347200000,166000000.0,,-110000000.0,,23000000.0,181200000,799200000,,,-30000000.0,695000000.0,10390000000.0,198000000.0,-117000000.0,-3570000000.0,,343000000.0,9485000000.0,238000000.0,5611000000.0,1000000.0,,,262000000.0,210000000.0,200000000.0,,3000000.0,80000000,2835000000.0,80000000.0,56000000.0,56000000.0,2221000000.0,,,-75000000.0,356000000.0,73000000.0,,-80000000.0,,-11000000.0,99000000.0,343000000.0,52000000.0,88000000.0,,0.0,8790000000.0,605000000.0,6579000000.0,,,
1998-03-31,,150000000.0,-26000000.0,,4000000.0,2953000000.0,0.3,50000000.0,144000000.0,148000000.0,,553000000.0,-105000000.0,,,966000000.0,191000000.0,,1195000000.0,84000000.0,6806000000.0,330000000,94000000.0,,-79000000.0,,16000000.0,236000000,880000000,336666667.0,,-27000000.0,894000000.0,10439000000.0,174000000.0,107000000.0,-3633000000.0,0.3,469000000.0,9778000000.0,263000000.0,,98000000.0,,,327000000.0,277000000.0,201000000.0,,7000000.0,107000000,2896000000.0,107000000.0,154000000.0,154000000.0,2223000000.0,,336666667.0,-76000000.0,317000000.0,101000000.0,,-183000000.0,,-4000000.0,99000000.0,469000000.0,52000000.0,95000000.0,,0.0,8884000000.0,722000000.0,6825000000.0,,,
1998-06-30,,147000000.0,-28000000.0,,10000000.0,2004000000.0,-2.67,148000000.0,182000000.0,36000000.0,,502000000.0,-165000000.0,,,1038000000.0,98000000.0,,231000000.0,38000000.0,4325000000.0,242000000,94000000.0,,-70000000.0,,17000000.0,148000000,838000000,335205993.0,,-47000000.0,772000000.0,10370000000.0,107000000.0,0.0,-6045000000.0,-2.67,560000000.0,9199000000.0,239000000.0,,-112000000.0,,,336000000.0,220000000.0,175000000.0,,4000000.0,60000000,2980000000.0,-888000000.0,36000000.0,36000000.0,1556000000.0,,335205993.0,-76000000.0,354000000.0,-895000000.0,,-219000000.0,,-8000000.0,99000000.0,560000000.0,54000000.0,37000000.0,,-1000000.0,8427000000.0,904000000.0,7195000000.0,,,
1998-09-30,,93000000.0,-21000000.0,,1000000.0,1834000000.0,0.405,36000000.0,200000000.0,34000000.0,,602000000.0,276000000.0,,,1423000000.0,220000000.0,,323000000.0,78000000.0,6810000000.0,355000000,69000000.0,,-53000000.0,,,287000000,1166000000,335802469.0,,-9000000.0,657000000.0,10312000000.0,202000000.0,-392000000.0,-3502000000.0,0.405,940000000.0,9485000000.0,211000000.0,,33000000.0,,,564000000.0,233000000.0,200000000.0,,-9000000.0,142000000,3085000000.0,142000000.0,81000000.0,81000000.0,1579000000.0,,335802469.0,-93000000.0,315000000.0,136000000.0,,223000000.0,,-2000000.0,99000000.0,940000000.0,58000000.0,149000000.0,,0.0,8828000000.0,590000000.0,7651000000.0,,,
1998-12-31,,76000000.0,-31000000.0,,55000000.0,1887000000.0,,34000000.0,197000000.0,195000000.0,,575000000.0,-296000000.0,,,1267000000.0,154000000.0,,372000000.0,59000000.0,4480000000.0,358000000,208800000.0,,-102000000.0,,,219000000,902000000,,,-51800000.0,948000000.0,10606000000.0,154000000.0,278000000.0,-6126000000.0,,801000000.0,9607000000.0,298000000.0,,126000000.0,,,327000000.0,223000000.0,207000000.0,,1000000.0,95000000,3233000000.0,95000000.0,195000000.0,195000000.0,1574000000.0,,,-33000000.0,356000000.0,89000000.0,,-306000000.0,,-1000000.0,99000000.0,801000000.0,66000000.0,52000000.0,,0.0,8659000000.0,1360000000.0,7720000000.0,,,
1999-03-31,,207000000.0,-38000000.0,-46000000.0,11000000.0,1969000000.0,0.38,195000000.0,258000000.0,140000000.0,,666000000.0,-15000000.0,,,1364000000.0,200000000.0,,453000000.0,74000000.0,4476000000.0,367000000,105000000.0,,-66000000.0,,8000000.0,262000000,1067000000,315789474.0,,-109000000.0,1084000000.0,4476000000.0,122000000.0,-107000000.0,,0.38,771000000.0,9729000000.0,341000000.0,,-55000000.0,,,401000000.0,289000000.0,200000000.0,,0.0,126000000,3212000000.0,126000000.0,140000000.0,140000000.0,1572000000.0,,315789474.0,,404000000.0,120000000.0,,-70000000.0,,,99000000.0,771000000.0,62000000.0,56000000.0,,0.0,8645000000.0,924000000.0,7760000000.0,,,
