date,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyOperatingExpense,quarterlyCurrentDebt,quarterlyDilutedEPS,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyDilutedAverageShares,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyPretaxIncome,quarterlyBasicEPS,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyBasicAverageShares,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlyInventory
2006-12-31,1093010000,,3239000,,4109000,,,,1974000.0,8450000,,108581000.0,40050000,43629000,11665000,63607000.0,43629000,41527000.0,8858000.0,188255000.0,22108000.0,4669000.0,50983000,,,4815000.0,43742000.0,22108000,-67398000,-17025000,321000,,41320000,453260000,,,-2000.0,9275000.0,,47580000.0,,,24000.0,17999000,745969000.0,631985000,-37114000,29191000.0,-77026000,,574110000.0,-20191000,,72468000,2206000.0,40019000.0,-114008000,40490000.0,69241000.0,,178000,2409000.0,166147000.0,,71080000,115117000,-29760000.0,,,,574110000.0,64134000,21935000.0,,,,
2007-03-31,1107457000,,317542000,,-8808000,,,,,7308000,,283777000.0,10948000,10800000,12237000,63607000.0,10800000,,2293000.0,188690000.0,13300000.0,-27710000.0,26600000,56651000.0,0.27,4863000.0,41259000.0,13300000,-30569000,-17484000,116000,,-31870000,470726000,,1093000.0,0.0,-158000.0,,43417000.0,39851353.0,,425000.0,22108000,748379000.0,628931000,27174000,6378000.0,-15687000,,596178000.0,-285000,,26606000,,-18102000.0,-119873000,45919000.0,17326000.0,0.28,22004000,1000000.0,175390000.0,37930777.0,-279000,45898000,-31591000.0,,,,596178000.0,19298000,45624000.0,,,,
2007-06-30,1123717000,,322244000,,5750000,,,,,7201000,,291112000.0,39278000,42030000,23256000,63607000.0,42030000,,-1043000.0,202276000.0,19050000.0,-12671000.0,36644000,63581000.0,1.1,5669000.0,40116000.0,19050000,6693000,-17718000,965000,,-4224000,460123000,,20623000.0,-2038000.0,-44798000.0,,50776000.0,40004379.0,,549000.0,13300000,751508000.0,655985000,9343000,31144000.0,-61592000,,603534000.0,-53157000,,80692000,,15853000.0,-96072000,0.0,70422000.0,1.1,-12908000,2917000.0,183226000.0,38308202.0,11927000,110135000,-16151000.0,,,,603534000.0,73491000,64744000.0,,,,
2007-09-30,1150288000,,348395000,,-1982000,,,,,6631000,,107371000.0,22428000,20409000,12345000,,20409000,,9419000.0,219526000.0,17068000.0,-464000.0,26993000,,0.53,5618000.0,101723000.0,17068000,-2204000,-18230000,157000,,-32471000,500007000,,2642000.0,-19066000.0,10867000.0,,79715000.0,39601853.0,,2025000.0,19050000,734518000.0,642701000,41334000,11519000.0,-8482000,,599732000.0,-8076000,,37807000,,1233000.0,-93842000,0.0,33947000.0,0.53,-13240000,615000.0,202458000.0,38298979.0,13245000,55852000,-45716000.0,,,,599732000.0,28859000,71897000.0,,,,
2007-12-31,1153284000,,316751000,,-4931000,,,,,6181000,,89463000.0,-3793000,6013000,13983000,,6013000,,6659000.0,254814000.0,12137000.0,35765000.0,55945000,,,4730000.0,99873000.0,12137000,-14968000,-18176000,1805000,,-60933000,512923000,,,-4421000.0,-21808000.0,,101041000.0,,,2738000.0,17068000,748584000.0,634271000,2050000,2698000.0,-46751000,,586594000.0,-5029000,,2860000,,5127000.0,-117051000,0.0,-1095000.0,,-12393000,16150000.0,242677000.0,,22578000,51607000,-83511000.0,,,,586594000.0,-4338000,65152000.0,,,,
2008-03-31,1126088000,,343058000,,5488000,,,,,6588000,,89056000.0,17062000,17101000,15413000,,17101000,,7433000.0,274914000.0,17625000.0,-2339000.0,36317000,,0.43,5043000.0,98022000.0,17625000,2306000,-29581000,59000,,7927000,463812000,,1826000.0,-5134000.0,-1672000.0,-29979000.0,56174000.0,40202798.0,,6068000.0,12137000,756931000.0,756931000,5651000,7144000.0,-65996000,,588313000.0,3067000,,27643000,,-15997000.0,-119341000,,24206000.0,0.44,-7805000,10910000.0,257289000.0,38876136.0,10759000,57372000,-2832000.0,,,,588313000.0,21055000,64580000.0,,,,
2008-06-30,1131066000,0.0,261688000,0.0,-3206000,1068521000.0,13226000.0,,,6918000,261688000.0,355444000.0,16023000,19848000,17178000,,19848000,,5478000.0,14419000.0,14419000.0,1502000.0,23457000,81000000.0,0.5,4532000.0,96172000.0,14419000,-2652000,-20416000,1869000,30556000.0,12653000,463362000,0.0,1599000.0,0.0,,,58841000.0,40256658.0,45277000.0,6533000.0,17625000,760723000.0,648444000,-5015000,7422000.0,-20370000,-96854000.0,586349000.0,-22678000,,34895000,,11939000.0,-118812000,,23445000.0,0.51,-17084000,1833000.0,,39204221.0,16460000,58503000,-3807000.0,62545000.0,,201674000.0,683203000.0,21820000,,,,,
2008-09-30,1124854000,0.0,255478000,0.0,6066000,1053175000.0,13292000.0,,,6906000,255478000.0,351044000.0,19198000,19198000,18828000,,19198000,,1168000.0,20485000.0,20485000.0,-524000.0,25223000,73500000.0,0.48,5004000.0,95178000.0,20485000,6779000,-19649000,726000,30654000.0,18373000,453270000,0.0,4141000.0,0.0,,,63651000.0,40299073.0,53344000.0,97000.0,14419000,771283000.0,652061000,5062000,5839000.0,-31201000,-99724000.0,576299000.0,-8412000,1972000.0,36947000,,152000.0,-119319000,,25037000.0,0.49,-20594000,8499000.0,,39294889.0,20273000,66636000,-1900000.0,71679000.0,0.0,197792000.0,676023000.0,28121000,,,,,
2008-12-31,1111136000,16224000.0,245874000,0.0,-3686000,1041263000.0,10422000.0,,,6785000,262098000.0,344412000.0,21590000,21900000,16413000,,21900000,,1655000.0,16799000.0,16799000.0,-408000.0,23312000,81000000.0,,4710000.0,93310000.0,16799000,6165000,-23661000,1684000,29212000.0,10042000,463000000,0.0,,-10279000.0,-1667000.0,,61930000.0,,50940000.0,-828000.0,20485000,0.0,648136000,-5698000,3116000.0,-11627000,-113262000.0,574329000.0,-9909000,1384000.0,36315000,,-4619000.0,-116990000,,24706000.0,,-25306000,2108000.0,,,15755000,61362000,-5713000.0,69873000.0,0.0,200902000.0,687591000.0,27628000,,,,,
2009-03-31,1129247000,15326000.0,347507000,0.0,4786000,1071979000.0,12005000.0,,,5523000,362833000.0,382450000.0,17831000,17709000,21035000,,17709000,,4541000.0,21585000.0,21585000.0,0.0,26718000,,0.44,4329000.0,,21585000,-14175000,-19587000,-6215000,31274000.0,-19407000,497345000,0.0,27589000.0,-10486000.0,-4985000.0,,76431000.0,39927886.0,50130000.0,-4435000.0,16799000,0.0,625504000,0,6200000.0,-60111000,-116476000.0,567089000.0,-6402000,1725000.0,34043000,,10441000.0,-118715000,,24031000.0,0.45,-4775000,0.0,,39175020.0,24282000,62135000,-43689000.0,57268000.0,,134512000.0,683565000.0,23412000,,,,,
2009-06-30,1137045000,15126000.0,358065000,0.0,1884000,1082517000.0,12822000.0,,,7234000,373191000.0,392821000.0,15054000,14977000,16490000,,14977000,,3302000.0,23469000.0,23469000.0,,23610000,,0.37,3923000.0,,23469000,938000,-19473000,326000,38148000.0,7484000,492064000,0.0,,-200000.0,-431000.0,,66056000.0,40065495.0,42604000.0,-1072000.0,21585000,0.0,638301000,1945000,3720000.0,-29066000,-120636000.0,563023000.0,-8084000,3535000.0,29931000,,-7478000.0,-123310000,,18774000.0,0.37,-10039000,874000.0,,39350684.0,10401000,55426000,-2917000.0,54528000.0,,118873000.0,683659000.0,18994000,,,,,
2009-09-30,1096739000,14789000.0,220021000,0.0,-4461000,1043598000.0,15261000.0,,,5628000,234810000.0,387483000.0,14114000,13351000,17206000,,13351000,,3174000.0,19008000.0,19008000.0,,25532000,100000000.0,0.33,3889000.0,,19008000,26558000,-19727000,-2509000,33963000.0,15564000,452835000,0.0,,0.0,-2780000.0,,67580000.0,40368946.0,45909000.0,648000.0,23469000,0.0,637224000,29529000,6018000.0,-55786000,-118268000.0,535162000.0,-4029000,2517000.0,29957000,,-1178000.0,-129780000,,20132000.0,0.33,-46045000,482000.0,,39727460.0,14700000,61170000,864000.0,53141000.0,,218025000.0,653430000.0,20377000,,,,,
2009-12-31,1093336000,118692000.0,215330000,0.0,-558000,1038888000.0,16680000.0,,,6091000,334022000.0,385212000.0,13333000,22986000,16262000,,22986000,,-2181000.0,18450000.0,18450000.0,837000.0,17448000,,,3589000.0,,18450000,4785000,-19831000,-7701000,69241000.0,-12636000,460928000,0.0,-1742000.0,-11150000.0,-3476000.0,,83075000.0,,42970000.0,-681000.0,19008000,0.0,625633000,0,6855000.0,-28833000,-112286000.0,499248000.0,-24207000,1559000.0,29868000,,934000.0,-138442000,,20188000.0,,-30416000,151000.0,,,25161000,59650000,-37797000.0,54448000.0,0.0,126906000.0,611534000.0,25522000,,,,,
2010-03-31,1090157000,7411000.0,209158000,0.0,14646000,1031636000.0,16863000.0,,,6403000,216569000.0,389074000.0,13599000,14413000,20036000,,14413000,,1326000.0,33096000.0,33096000.0,,26405000,150000000.0,0.36,3711000.0,,33096000,117000,-32482000,-890000,32562000.0,-34580000,467138000,0.0,5556000.0,0.0,-3244000.0,,62779000.0,39495845.0,46228000.0,-4532000.0,18450000,0.0,616514000,0,4112000.0,-16559000,-112910000.0,521256000.0,7007000,2461000.0,27825000,,-18989000.0,-144864000,,17711000.0,0.36,1569000,,,39088114.0,13623000,63091000,-48203000.0,58521000.0,,250569000.0,634166000.0,19823000,,,,,
2010-06-30,1124406000,7119000.0,206247000,0.0,6353000,1055723000.0,17127000.0,,,5974000,213366000.0,391167000.0,24444000,23432000,20510000,,23432000,,7680000.0,39449000.0,39449000.0,,26325000,171750000.0,0.59,3765000.0,,39449000,-27801000,-22145000,430000,43144000.0,-5685000,491303000,0.0,2206000.0,0.0,-6108000.0,,65740000.0,39510231.0,53269000.0,-9859000.0,33096000,0.0,616899000,31910000,6751000.0,-16263000,-113348000.0,532053000.0,-6387000,2475000.0,40934000,,-2554000.0,-141571000,,31195000.0,0.59,12066000,,,39081064.0,22668000,70396000,-28353000.0,68683000.0,,277937000.0,645401000.0,26944000,,,,,
2010-09-30,1157730000,6887000.0,254144000,0.0,6801000,1083263000.0,17895000.0,,,6119000,261031000.0,401634000.0,16367000,16346000,18048000,,16346000,,6769000.0,46250000.0,46250000.0,,24115000,141750000.0,0.41,4298000.0,,46250000,-10918000,-20020000,4687000,39869000.0,-6756000,493735000,0.0,2202000.0,0.0,-548000.0,,54038000.0,39717931.0,41059000.0,-3592000.0,39449000,0.0,624093000,4222000,3377000.0,-32979000,-118510000.0,552766000.0,-8128000,1759000.0,30161000,,-1227000.0,-145519000,,19744000.0,0.41,1150000,2738000.0,,39180720.0,15977000,58954000,-22733000.0,74467000.0,,232704000.0,671276000.0,16944000,,,,,
2010-12-31,1172326000,7546000.0,255232000,0.0,18443000,1068840000.0,-32876000.0,,,5947000,255232000.0,398844000.0,20406000,19781000,75044000,,19781000,,2228000.0,64693000.0,64693000.0,0.0,80955000,141750000.0,,4460000.0,87768000.0,64693000,759000,-18637000,11722000,34097000.0,25626000,499306000,0.0,8794000.0,0.0,-10337000.0,,40808000.0,,114845000.0,-3463000.0,46250000,0.0,625013000,-36132000,11582000.0,-2227000,-122312000.0,548131000.0,28217000,387000.0,42395000,,7667000.0,-145769000,,31988000.0,,-16333000,187000.0,,,34149000,81969000,-8523000.0,103486000.0,,244074000.0,670443000.0,33890000,,,,,
2011-03-31,1144202000,6920000.0,250997000,0.0,-30615000,1074783000.0,5712000.0,,,5457000,250997000.0,409429000.0,22686000,23343000,39042000,,23343000,,6697000.0,34078000.0,34078000.0,-2297000.0,44492000,121750000.0,0.58,4440000.0,86521000.0,34078000,9140000,-20259000,-515000,37260000.0,5806000,462233000,0.0,2915000.0,,-7305000.0,,28495000.0,40242706.0,71820000.0,2301000.0,64693000,0.0,634277000,363000,7574000.0,-117241000,-124780000.0,541573000.0,10730000,2451000.0,40157000,,-24546000.0,-142845000,,30260000.0,0.58,-46880000,,,39738207.0,6686000,77532000,-880000.0,69419000.0,,211236000.0,666353000.0,27328000,,,,,
2011-06-30,1459706000,6792000.0,342941000,0.0,-7617000,1401231000.0,6008000.0,,,7325000,342941000.0,604126000.0,78886000,79112000,41644000,,79112000,,17182000.0,26461000.0,26461000.0,-118323000.0,48949000,233160000.0,1.94,5396000.0,130122000.0,26461000,-134344000,-20590000,-7478000,39384000.0,38806000,720898000,0.0,106360000.0,,-1917000.0,,64774000.0,40243548.0,112390000.0,2904000.0,34078000,0.0,693349000,-2232000,24760000.0,-33487000,-129072000.0,627599000.0,-28319000,6177000.0,116367000,,20037000.0,-85874000,,103646000.0,1.96,87176000,,,39782796.0,39301000,118398000,-495000.0,58475000.0,,377957000.0,756671000.0,63441000,,,,,
2011-09-30,1468889000,6631000.0,335354000,0.0,10634000,1392135000.0,6397000.0,,,7378000,335354000.0,613270000.0,24142000,25202000,39894000,,25202000,,10838000.0,37095000.0,37095000.0,-2000000.0,47074000,253160000.0,0.62,5989000.0,128249000.0,37095000,-2681000,-22211000,-1989000,41021000.0,11309000,731118000,0.0,-94628000.0,,-8510000.0,,71708000.0,40404520.0,71975000.0,-4639000.0,26461000,0.0,695864000,98948000,5931000.0,-12165000,-131725000.0,609595000.0,1985000,4398000.0,43440000,,-15585000.0,-80954000,,30073000.0,0.62,-2939000,16000.0,,39861064.0,16665000,78372000,-5356000.0,76754000.0,0.0,395764000.0,741320000.0,24901000,,,,,
2011-12-31,1462623000,7700000.0,356209000,0.0,-7798000,1394957000.0,5974000.0,,,9456000,356209000.0,596749000.0,13324000,9091000,37956000,,9091000,,7981000.0,29297000.0,29297000.0,8000.0,47348000,233160000.0,,6260000.0,125957000.0,29297000,1801000,-22754000,-6764000,51069000.0,10956000,738521000,0.0,6978000.0,,-1805000.0,,82055000.0,,57195000.0,-8507000.0,37095000,0.0,682581000,-195000,-1313000.0,-22434000,-135175000.0,621182000.0,1787000,4690000.0,27727000,,-4555000.0,-95046000,,12011000.0,,-26855000,454000.0,,,17464000,63169000,-6508000.0,67666000.0,0.0,382312000.0,756357000.0,9847000,,,,,
2012-03-31,1458986000,6929000.0,354722000,0.0,1416000,1394040000.0,5197000.0,,,7881000,354722000.0,599521000.0,14158000,12290000,45646000,,12290000,,10993000.0,30713000.0,30713000.0,-90000.0,52510000,248160000.0,0.3,7345000.0,123294000.0,30713000,9464000,-22792000,1802000,73347000.0,-5541000,734067000,0.0,7381000.0,,-3916000.0,,62263000.0,40487652.0,64212000.0,-5976000.0,29297000,0.0,683795000,1232000,1695000.0,-2432000,-126081000.0,597878000.0,7587000,5261000.0,31079000,,-31112000.0,-108100000,,15853000.0,0.3,-4173000,4249000.0,,40037496.0,-4060000,69409000,-1481000.0,64946000.0,,379345000.0,723959000.0,11702000,,,,,
2012-06-30,1438615000,6788000.0,346532000,0.0,9087000,1364907000.0,5835000.0,,,7173000,346532000.0,610424000.0,31759000,31777000,47066000,,31777000,,28560000.0,39800000.0,39800000.0,-90000.0,53799000,233160000.0,0.77,7246000.0,121402000.0,39800000,31916000,-23221000,5120000,54272000.0,15534000,703252000,0.0,8726000.0,,-990000.0,,62948000.0,40757055.0,62207000.0,-11096000.0,30713000,0.0,694978000,838000,-1882000.0,-22953000,-127139000.0,578809000.0,3719000,4494000.0,44296000,,-6142000.0,-99653000,,29877000.0,0.78,-38361000,1443000.0,,40047220.0,15865000,68042000,-331000.0,73708000.0,,356720000.0,705948000.0,8408000,,,,,
2012-09-30,4782495000,60000000.0,1717720000,0.0,196944000,4516194000.0,5026000.0,,,7478000,1777720000.0,948733000.0,2977000,2588000,74705000,338558000.0,2588000,,5444000.0,236744000.0,236744000.0,-2876000.0,81276000,418160000.0,0.06,7868000.0,753668000.0,236744000,41188000,-25033000,1943000,130506000.0,7100000,2542191000,0.0,11448000.0,,-3596000.0,,275714000.0,41127404.0,66010000.0,-9265000.0,39800000,68000.0,1961826000,24519000,379000.0,-18757000,-126166000.0,2344729000.0,-17327000,9805000.0,18702000,,23428000.0,-141573000,,3356000.0,0.06,135744000,272000.0,,40366298.0,19934000,71036000,-12834000.0,266301000.0,0.0,764471000.0,2470895000.0,-15266000,,,,,
2012-12-31,4609042000,47531000.0,1968397000,0.0,-112840000,4447691000.0,105743000.0,,,32582000,2015928000.0,565626000.0,25761000,15478000,-22608000,329132000.0,15478000,,26772000.0,123904000.0,123904000.0,-1614000.0,6254000,253000000.0,,28114000.0,737363000.0,123904000,43898000,-42821000,-3290000,141442000.0,57346000,2351719000,0.0,-27183000.0,-20270000.0,-11802000.0,,265132000.0,,60256000.0,3709000.0,236744000,69000.0,1987146000,-35708000,6591000.0,-290982000,-136068000.0,2875000.0,20460000,6478000.0,93048000,,-21843000.0,-172182000,,32352000.0,,-206502000,45680000.0,,,48904000,165999000,-38509000.0,161351000.0,-153082000.0,335791000.0,2875000.0,54002000,24959000.0,,,,
2013-03-31,4609614000,7404000.0,1993335000,0.0,-12340000,4472626000.0,19854000.0,2371000.0,,33803000,2000739000.0,564092000.0,16848000,14181000,28973000,328474000.0,14181000,,8468000.0,111564000.0,111564000.0,-1418000.0,59849000,298000000.0,0.2,26906000.0,746461000.0,111564000,-27734000,-45746000,3468000,136420000.0,15649000,2396234000,0.0,11955000.0,,,,317520000.0,69975293.0,93532000.0,3997000.0,123904000,69000.0,1949992000,23621000,-1233000.0,-112612000,-150207000.0,2322395000.0,719000,9149000.0,76324000,,-44352000.0,-218191000,,15615000.0,0.2,-865000,,,68967209.0,17475000,113386000,-1826000.0,136988000.0,-1418000.0,395495000.0,2472602000.0,33683000,20847000.0,,,,
2013-06-30,4635360000,7082000.0,2071155000,0.0,-48799000,4530295000.0,23780000.0,2459000.0,,33855000,2078237000.0,559361000.0,43043000,43167000,30250000,328011000.0,43167000,,34418000.0,62765000.0,62765000.0,-37000.0,61177000,385000000.0,0.62,26912000.0,747542000.0,62765000,-70905000,-57177000,-5078000,142439000.0,49998000,2422326000,0.0,9952000.0,,,,272595000.0,69493902.0,95276000.0,10427000.0,111564000,69000.0,1951569000,-2254000,-1122000.0,-107224000,-165009000.0,2384615000.0,16611000,8429000.0,102688000,,-7724000.0,-233107000,,41921000.0,0.63,-32534000,,,68406771.0,53978000,119056000,-3980000.0,105065000.0,-37000.0,344089000.0,2549624000.0,34099000,13458000.0,,,,
2013-09-30,4726360000,7316000.0,2175556000,0.0,30855000,4572516000.0,30659000.0,1292000.0,,35021000,2182872000.0,557513000.0,21062000,18506000,28761000,327973000.0,18506000,,6618000.0,93620000.0,93620000.0,-15490000.0,60321000,490000000.0,0.27,27482000.0,764946000.0,93620000,-60614000,-58030000,-7629000,132558000.0,70516000,2536032000,0.0,11075000.0,0.0,-1682000.0,,282489000.0,69400825.0,107255000.0,19980000.0,62765000,69000.0,1929115000,-8699000,5375000.0,-288927000,-170085000.0,2429286000.0,4773000,7852000.0,85479000,,13229000.0,-273850000,,26437000.0,0.27,14414000,,,68397176.0,74874000,137914000,-4358000.0,153844000.0,-490000.0,353160000.0,2599371000.0,46934000,11232000.0,,,,
2013-12-31,4678950000,128202000.0,2067410000,0.0,23899000,4445608000.0,22903000.0,3716000.0,,37637000,2203048000.0,530020000.0,9768000,23022000,36659000,350208000.0,23022000,,-3331000.0,117519000.0,117519000.0,0.0,65740000,575000000.0,,22541000.0,718427000.0,117519000,152879000,-59442000,10931000,127108000.0,57706000,2476219000,0.0,25036000.0,0.0,-9821000.0,,161369000.0,,99573000.0,26690000.0,93620000,69000.0,1904415000,33007000,-1768000.0,-296001000,-168958000.0,2353391000.0,8427000,11765000.0,68178000,,-17546000.0,-318577000,,8000000.0,,-191603000,,,,61581000,122476000,-3875000.0,233342000.0,0.0,273171000.0,2522349000.0,33833000,44056000.0,,,,
2014-03-31,8339468000,182741000.0,3826487000,0.0,81428000,8012815000.0,54191000.0,1203000.0,,57557000,4105781000.0,186965000.0,108597000,112892000,35156000,700024000.0,112892000,89250000.0,82851000.0,198947000.0,198947000.0,-7664000.0,87938000,366278000.0,1.25,39075000.0,1592950000.0,198947000,127619000,-68159000,-12881000,255489000.0,38202000,4486898000,0.0,7970000.0,-678000.0,,,291038000.0,90375311.0,154980000.0,46785000.0,117519000,100000.0,3699157000,5060000,2221000.0,-1413527000,-193370000.0,4379052000.0,16180000,7043000.0,202675000,,-36568000.0,-302799000,,110818000.0,1.26,-90466000,,,89366055.0,43696000,209171000,-5494000.0,326653000.0,-1791000.0,381117000.0,4572422000.0,67042000,,,,,
2014-06-30,8293748000,180364000.0,3798370000,0.0,16024000,8039261000.0,65168000.0,3623000.0,,66351000,4073143000.0,211225000.0,44333000,64739000,29541000,698891000.0,64739000,87991000.0,5366000.0,214971000.0,214971000.0,0.0,92986000,476700000.0,0.64,47733000.0,1536904000.0,214971000,4001000,-90153000,-6162000,346853000.0,116958000,4462185000,0.0,919000.0,1000.0,,,298432000.0,100995225.0,187739000.0,44839000.0,198947000,100000.0,3680570000,-117281000,8053000.0,-159901000,-217155000.0,4365388000.0,-508000,7957000.0,163564000,,-2282000.0,-327460000,,52386000.0,0.64,-112438000,,,100236362.0,124941000,252907000,-7983000.0,254487000.0,-6000.0,389042000.0,4582543000.0,94753000,,,,,
2014-09-30,8501449000,178070000.0,3819378000,0.0,315305000,7945098000.0,35231000.0,1862000.0,,60900000,4100166000.0,218103000.0,27821000,27337000,28621000,702791000.0,27337000,96372000.0,2687000.0,530276000.0,530276000.0,0.0,88145000,618945000.0,0.27,46534000.0,1480470000.0,530276000,-85539000,-90606000,-3976000,291991000.0,94280000,4493526000,0.0,1168000.0,-2000.0,,,294364000.0,101130448.0,160714000.0,9353000.0,214971000,105000.0,3863290000,85429000,901000.0,-134434000,-243639000.0,4413268000.0,3531000,7979000.0,134780000,,-550000.0,-399116000,,28722000.0,0.27,302043000,,,100282082.0,108517000,195945000,-14237000.0,556351000.0,-9000.0,393360000.0,4656907000.0,72569000,,,,,
2014-12-31,8637328000,175070000.0,4088546000,0.0,-331593000,8396913000.0,54613000.0,2680000.0,,63741000,4352669000.0,249403000.0,28100000,32272000,40270000,692415000.0,32272000,82982000.0,-12655000.0,198683000.0,198683000.0,0.0,101751000,,0.3,44780000.0,1516616000.0,198683000,-686307000,-98984000,-4202000,289179000.0,104986000,4746593000,0.0,,0.0,,,293846000.0,105794118.0,193720000.0,-44935000.0,530276000,105000.0,3750889000,-408000,6434000.0,-132948000,-258493000.0,4833074000.0,40578000,8096000.0,140795000,,3309000.0,-465606000,,34534000.0,0.31,244001000,-424000.0,,104894480.0,121938000,248333000,-16952000.0,240415000.0,-25000000.0,393924000.0,5091567000.0,91969000,,,,,
2015-03-31,8730530000,174126000.0,4336224000,0.0,8708000,8480157000.0,27282000.0,4982000.0,,66994000,4619711000.0,249088000.0,37397000,36116000,39438000,682623000.0,36116000,95987000.0,-942000.0,207391000.0,207391000.0,0.0,104838000,250000000.0,0.34,47949000.0,1503884000.0,207391000,-365371000,-99860000,-7196000,312323000.0,55702000,5019278000,0.0,11443000.0,0.0,,,298217000.0,106109877.0,193106000.0,-118184000.0,198683000,105000.0,3576229000,17311000,1980000.0,-895932000,-286953000.0,4957101000.0,14114000,7009000.0,154320000,,-55214000.0,-537525000,,39377000.0,0.34,318798000,,,105303679.0,67373000,220388000,-11671000.0,250373000.0,0.0,399567000.0,5244054000.0,88268000,,,,,
2015-06-30,8967604000,171544000.0,4544507000,0.0,26238000,8557179000.0,27116000.0,5068000.0,,67135000,4818461000.0,263418000.0,66907000,63348000,35612000,687084000.0,63348000,89036000.0,19425000.0,233629000.0,233629000.0,0.0,100778000,350234000.0,0.59,47693000.0,1447293000.0,233629000,-157578000,-101055000,-3677000,318397000.0,156012000,5232499000,0.0,1904000.0,0.0,,,312521000.0,106281983.0,210963000.0,-63382000.0,207391000,105000.0,3598945000,-97125000,15010000.0,-54031000,-324136000.0,5057155000.0,9064000,5089000.0,194776000,,-5752000.0,-575404000,,81917000.0,0.6,43910000,,,105764032.0,148679000,238079000,-1310000.0,410425000.0,-8643000.0,414038000.0,5381291000.0,110185000,,,,,
2015-09-30,8888428000,165647000.0,4600108000,165647000.0,-42311000,8544547000.0,30800000.0,4083000.0,,78144000,4867947000.0,275883000.0,21799000,21745000,28556000,684576000.0,21745000,87570000.0,-4955000.0,191318000.0,191318000.0,0.0,104068000,,0.2,49683000.0,1421716000.0,191318000,-102252000,-101290000,-12913000,353369000.0,112291000,5268106000,0.0,-3089000.0,0.0,,,298514000.0,106337040.0,183866000.0,-99274000.0,233629000,105000.0,3485647000,455000,3361000.0,-218659000,-351666000.0,5028764000.0,8099000,3965000.0,150355000,,-10414000.0,-655095000,,25160000.0,0.2,-53326000,,,105813237.0,114851000,214666000,-2560000.0,343881000.0,-7260000.0,400159000.0,5380430000.0,79798000,,,,,
2015-12-31,8754673000,154315000.0,4492793000,154315000.0,-34091000,8476182000.0,57073000.0,15711000.0,,75562000,4748156000.0,275473000.0,52637000,51049000,32495000,681809000.0,51049000,86104000.0,17463000.0,157227000.0,157227000.0,-326000.0,106732000,,0.48,49001000.0,1377920000.0,157227000,-19984000,-101350000,1636000,373482000.0,144536000,5193245000,0.0,-2058000.0,,,,342374000.0,106383786.0,208177000.0,-116251000.0,191318000,104000.0,3427243000,118230000,17270000.0,-343388000,-381529000.0,5011145000.0,-15003000,5563000.0,193145000,,5615000.0,-738652000,,69907000.0,0.48,-156845000,,,105818926.0,146374000,265250000,-1838000.0,278491000.0,-326000.0,445089000.0,5392674000.0,101445000,,,,,
