date,quarterlyGoodwill,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyRepaymentOfDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyResearchAndDevelopment,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyCashDividendsPaid,quarterlyChangeInInventory
2004-06-30,69477000.0,,25411000.0,113799000,190531000.0,1638000.0,285656000.0,14743000,13879000.0,6878000,6878000,10986000,3050000,25666000.0,4213000.0,,45311000,-18007000,690000.0,37000.0,13235000.0,-167000,122162000.0,,,6878000,628000.0,23001000,,0.0,11232000,0.52,,163494000.0,0.5,0.0,7255000.0,46484000,133000.0,,-167000,45311000.0,45311000.0,14075000.0,4618000.0,,14819000,-1027000,11769000,136800000,1231000,,,107297000.0,,96496000.0,15770000,11829000,-16980000.0,95125000.0,17183000.0,-1173000,,6543000,62656000.0,778000.0,4951000,1398000,107297000.0,32149000.0,,,,,,,
2004-09-30,73173000.0,,29839000.0,116025000,194631000.0,1463000.0,291394000.0,-2118000,13941000.0,6779000,6779000,10991000,3172000,25051000.0,4270000.0,,42283000,-5380000,837000.0,50000.0,13300000.0,-198000,119218000.0,,,6779000,684000.0,22929000,,0.0,11345000,0.51,,172176000.0,0.49,0.0,7064000.0,45311000,133000.0,57674000.0,-169000,42283000.0,42283000.0,13159000.0,4799000.0,,14756000,-3447000,11584000,138954000,897000,,1712000.0,108574000.0,,94167000.0,1329000,11656000,-1936000.0,96763000.0,16589000.0,-3028000,645000.0,-9584000,69435000.0,357000.0,4877000,1095000,108574000.0,33944000.0,,,,,,,
2004-12-31,72987000.0,,26182000.0,119580000,201997000.0,1321000.0,296605000.0,348000,,7568000,7568000,11918000,3251000,27572000.0,5203000.0,,42472000,-6927000,778000.0,33000.0,,-212000,110361000.0,,,7568000,789000.0,25082000,,0.0,12132000,,,186244000.0,,0.0,12747000.0,42283000,268000.0,51956000.0,-241000,42472000.0,42472000.0,14750000.0,8474000.0,,16201000,-5224000,12950000,144662000,1296000,,274000.0,112637000.0,,82789000.0,5572000,13126000,-1741000.0,94608000.0,16146000.0,189000,-113000.0,-3140000,77003000.0,-1994000.0,5558000,1508000,112637000.0,29781000.0,,,,,,,
2005-03-31,77543000.0,,30988000.0,123855000,207002000.0,1146000.0,317209000.0,18464000,28203000.0,8359000,8359000,12559000,3333000,27008000.0,5295000.0,,55399000,-9214000,750000.0,38000.0,26894000.0,-199000,120811000.0,,,8359000,1028000.0,26903000,,0.0,12935000,0.31,,196398000.0,0.3,0.0,13052000.0,42472000,270000.0,58085000.0,-199000,55399000.0,55399000.0,12362000.0,7516000.0,,17301000,-2452000,13968000,150758000,1310000,,398000.0,112204000.0,,93803000.0,20916000,14195000,-6762000.0,110207000.0,15354000.0,12927000,260000.0,8037000,85362000.0,927000.0,5836000,1509000,112204000.0,34570000.0,,,,,,,
2005-06-30,75695000.0,,29717000.0,128279000,204953000.0,988000.0,341656000.0,24249000,28365000.0,9461000,9461000,12763000,3454000,28180000.0,5496000.0,,82169000,-3034000,717000.0,49000.0,27057000.0,-188000,133732000.0,,,9461000,1046000.0,28738000,,0.0,13147000,0.35,,207924000.0,0.33,0.0,12924000.0,55399000,272000.0,63875000.0,-188000,82169000.0,82169000.0,13410000.0,5038000.0,,19045000,-3034000,15591000,157017000,2778000,,2755000.0,111461000.0,,105552000.0,27283000,15961000,0.0,136703000.0,16309000.0,26770000,-1522000.0,14621000,94823000.0,1253000.0,6500000,2966000,111461000.0,38205000.0,,,,,,,
2005-09-30,120387000.0,,29132000.0,126582000,270501000.0,850000.0,360767000.0,-3660000,28557000.0,9038000,9038000,12668000,3590000,31939000.0,5787000.0,,30344000,-53838000,664000.0,36000.0,27279000.0,-190000,142490000.0,2193000.0,,9038000,2074000.0,27843000,,0.0,13110000,0.33,,218277000.0,0.32,0.0,26079000.0,82169000,273000.0,58531000.0,-190000,30344000.0,30344000.0,16996000.0,3923000.0,,18323000,-4308000,14733000,154425000,1392000,,599000.0,119446000.0,,110551000.0,648000,15289000,-49530000.0,90266000.0,15943000.0,-51825000,894000.0,-13410000,103861000.0,552000.0,6251000,1582000,119446000.0,50757000.0,,,,,,,
2005-12-31,120507000.0,,28738000.0,131254000,274604000.0,684000.0,353699000.0,-4533000,,9843000,9843000,14727000,4133000,32409000.0,13356000.0,,21650000,1169000,628000.0,68000.0,,-201000,136520000.0,2195000.0,,9843000,2448000.0,31805000,,0.0,15441000,,,217179000.0,,0.0,28720000.0,30344000,274000.0,54478000.0,-201000,21650000.0,21650000.0,14235000.0,3155000.0,,20497000,-5805000,16364000,163059000,-11026000,,3260000.0,116462000.0,,104111000.0,1272000,16497000,1369000.0,79095000.0,16174000.0,-8694000,-4885000.0,-11739000,113704000.0,3920000.0,6654000,409000,116462000.0,45745000.0,,,,,,,
2006-03-31,121565000.0,,33299000.0,136234000,278739000.0,530000.0,362977000.0,22761000,28023000.0,9990000,9990000,15185000,4165000,31711000.0,6011000.0,,23228000,-7718000,613000.0,57000.0,26897000.0,628000,155198000.0,2220000.0,,9990000,2443000.0,32905000,,0.0,15795000,0.37,,207779000.0,0.36,0.0,28284000.0,21650000,276000.0,58409000.0,-171000,23228000.0,23228000.0,13190000.0,3532000.0,,21275000,-7177000,17110000,169139000,-20701000,,4597000.0,120029000.0,-23023000.0,123487000.0,29938000,17228000,-580000.0,84238000.0,15636000.0,1578000,1095000.0,14116000,123694000.0,572000.0,7238000,1865000,120029000.0,59868000.0,,,,,,,
2006-06-30,123264000.0,,32906000.0,139940000,286124000.0,419000.0,362332000.0,6625000,27484000.0,10875000,10875000,15835000,4495000,33750000.0,6842000.0,,14874000,-7033000,605000.0,36000.0,26425000.0,514000,155778000.0,2322000.0,,10875000,2550000.0,35292000,,0.0,16586000,0.41,,206554000.0,0.4,0.0,27882000.0,23228000,277000.0,53143000.0,-119000,14874000.0,14874000.0,14072000.0,5318000.0,,23201000,-7124000,18706000,175232000,-15371000,,9755000.0,124330000.0,-16958000.0,122028000.0,13749000,18785000,-4000.0,76208000.0,14745000.0,-8354000,-2559000.0,240000,134569000.0,698000.0,7910000,1192000,124330000.0,58525000.0,,,,,,,
2006-09-30,136372000.0,,38103000.0,138888000,318075000.0,3787000.0,393352000.0,-2670000,27044000.0,9899000,9899000,15267000,4835000,37273000.0,7421000.0,,7629000,-28355000,614000.0,239000.0,26008000.0,654000,179749000.0,2673000.0,,9899000,3152000.0,33311000,,0.0,16124000,0.38,,213603000.0,0.37,0.0,38752000.0,14874000,278000.0,52294000.0,-198000,7629000.0,7629000.0,13372000.0,6766000.0,,22022000,-9312000,17187000,172199000,14378000,,7010000.0,131740000.0,-7350000.0,142476000.0,6642000,17030000,-19105000.0,75277000.0,13974000.0,-7245000,741000.0,-9527000,144468000.0,694000.0,7131000,1272000,131740000.0,82558000.0,,,,,,,
2006-12-31,145070000.0,,38644000.0,144529000,329864000.0,77000.0,409370000.0,-4767000,,10959000,10959000,16948000,5361000,34173000.0,17947000.0,,7115000,-15026000,4376000.0,516000.0,,814000,185532000.0,2682000.0,,10959000,3474000.0,36766000,,0.0,18106000,,,223838000.0,,-890000.0,38150000.0,7629000,279000.0,48735000.0,-152000,7115000.0,7115000.0,13832000.0,9546000.0,,24021000,-9102000,18660000,181295000,10217000,,5507000.0,137312000.0,-6718000.0,151359000.0,4335000,18224000,-5082000.0,79506000.0,13467000.0,-514000,986000.0,-13648000,155427000.0,677000.0,7265000,1273000,137312000.0,92741000.0,,,,,,,
2007-03-31,145168000.0,,42905000.0,151651000,331844000.0,22000.0,417916000.0,25566000,26961000.0,11216000,11216000,17703000,5562000,36579000.0,9763000.0,,9302000,-6318000,4277000.0,396000.0,26018000.0,786000,183238000.0,2542000.0,,11216000,3560000.0,38426000,,0.0,18883000,0.43,,234678000.0,0.42,-29000.0,36969000.0,7115000,281000.0,58521000.0,-21753000,9302000.0,9302000.0,13267000.0,9577000.0,,25105000,-6304000,19543000,190077000,-23392000,,3059000.0,139209000.0,-5196000.0,146659000.0,31870000,19272000,0.0,86072000.0,12819000.0,2187000,-653000.0,15007000,166643000.0,738000.0,8056000,2771000,139209000.0,80802000.0,,,,,,,
2007-06-30,148446000.0,,42829000.0,160253000,349675000.0,58000.0,434477000.0,3874000,26868000.0,12543000,12543000,18182000,5882000,38051000.0,10265000.0,,5866000,-19311000,500000.0,287000.0,25996000.0,359000,183613000.0,2600000.0,,12543000,3659000.0,41141000,,0.0,19318000,0.48,,250864000.0,0.47,-134000.0,36688000.0,9302000,282000.0,56572000.0,-2609000,5866000.0,5866000.0,14069000.0,10895000.0,,27705000,-13561000,21823000,201394000,-1628000,,5768000.0,152450000.0,0.0,145562000.0,17435000,21626000,-5616000.0,84802000.0,12126000.0,-3436000,-2412000.0,449000,179186000.0,973000.0,9083000,622000,152450000.0,82722000.0,,,,,,,
2007-09-30,153295000.0,,42277000.0,153144000,361715000.0,54000.0,444091000.0,4105000,26938000.0,10185000,10185000,17368000,5926000,38463000.0,11990000.0,,5886000,-14173000,347000.0,262000.0,26061000.0,-21838000,178641000.0,2610000.0,,10185000,3700000.0,36386000,,0.0,18557000,0.39,,265450000.0,0.38,196000.0,35918000.0,5866000,282000.0,65056000.0,20205000,5886000.0,5886000.0,13698000.0,12797000.0,,23755000,-10913000,17829000,189530000,-933000,,660000.0,159126000.0,0.0,140178000.0,15018000,17631000,-3462000.0,82376000.0,10726000.0,20000,-1000000.0,-1070000,189371000.0,977000.0,7446000,700000,159126000.0,74115000.0,,,,,,,
2007-12-31,152397000.0,,47022000.0,152739000,363367000.0,47000.0,454513000.0,2242000,,5190000,5190000,18925000,6369000,37930000.0,12587000.0,,8954000,-11175000,98000.0,218000.0,,735000,183872000.0,2167000.0,,5190000,4410000.0,40861000,,0.0,27149000,,,270641000.0,,-25000.0,34299000.0,5886000,283000.0,62128000.0,-311000,8954000.0,8954000.0,16264000.0,11240000.0,,20081000,-11069000,13712000,193600000,770000,,1563000.0,164892000.0,0.0,145942000.0,13311000,13608000,-102000.0,91146000.0,10016000.0,3068000,-582000.0,1632000,194561000.0,702000.0,8418000,346000,164892000.0,82153000.0,,,,,,,
2008-03-31,160453000.0,,47869000.0,158118000,377193000.0,42000.0,470856000.0,21474000,27008000.0,6567000,6567000,19683000,6231000,37529000.0,12390000.0,,11319000,-15891000,41000.0,121000.0,26142000.0,429000,191146000.0,2064000.0,,6567000,5734000.0,41709000,,0.0,26395000,0.25,,279710000.0,0.24,0.0,35849000.0,8954000,283000.0,74995000.0,-9273000,11319000.0,11319000.0,15152000.0,11871000.0,,21545000,-5360000,15314000,199827000,-8520000,,833000.0,167416000.0,0.0,153617000.0,26834000,15282000,-10536000.0,93663000.0,9500000.0,2365000,635000.0,12611000,201128000.0,790000.0,8715000,324000,167416000.0,77748000.0,,,,,,,
2012-03-31,,,,200102000,,,,25195000,6046056.0,3590000,3509000,25367000,16069000,,,,51551000,-12920000,,19883000.0,6046056.0,3506000,,,-3532000.0,-15070000,,58020000,,0.0,31916000,-2.49,12630000.0,,-2.49,0.0,,30448000,,,-4835000,,,,,225000.0,42185000,-12920000,26104000,258122000,-4354000,,,,-5140000.0,,38115000,6233000,,,,21103000,-2957000.0,15046000,,5657000.0,2643000,0,,,,,,,,,
2012-06-30,,,,206910000,,,,37560000,6062664.0,-1914000,-1967000,41859000,16548000,,,,62764000,-122936000,,20549000.0,6062664.0,0,,,21299000.0,-25482000,,64553000,,0.0,48492000,-4.2,58000.0,,-4.2,-108168000.0,,51551000,,,-213000,,,,,15574000.0,32659000,-14768000,16061000,271463000,82108000,,,,0.0,,52328000,-4438000,,,,11213000,-10353000.0,26220000,,5840000.0,-2524000,0,,,,,,,,,
2012-09-30,,,,207835000,,,,-17897000,6062664.0,2606000,2446000,27621000,12593000,,,,45057000,-19975000,,21376000.0,6062664.0,-125000,,,-11435000.0,-18521000,,60092000,,0.0,34737000,-3.05,471000.0,,-3.05,0.0,,62764000,,,-212000,,,,,901000.0,37992000,-20103000,25355000,267927000,-337000,,,,0.0,,2206000,4023000,128000.0,,,-17707000,-1603000.0,-23368000,,11082000.0,1417000,0,,,,,,,,,
