date,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyBasicEPS,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOtherIntangibleAssets,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2013-12-31,182280000000,139399000000,2865000000.0,0.0,1758000000.0,42846000000,,5695000000.0,33322000000,,1657000000.0,34321000000,34321000000,51113000000,8000000,0.0,,4479000000,4219000000,124534000000,9524000000,-152000000.0,289000000,76111000000.0,8267000000,,441000000.0,42881000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,185224000000,142253000000,1348000000.0,0.0,0.0,42333000000,,5504000000.0,32857000000,0.0,5185000000.0,36119000000,36119000000,54319000000,7000000,0.0,,39661000000,6085000000,124106000000,9476000000,,302000000,76767000000.0,11986000000,0.0,302000000.0,42971000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,193179000000,147271000000,1916000000.0,0.0,1904000000.0,39032000000,,4046000000.0,29441000000,,5657000000.0,39946000000,39946000000,54176000000,6000000,0.0,,39663000000,6002000000,132327000000,9591000000,-198000000.0,300000000,84513000000.0,15144000000,,498000000.0,45908000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,192088000000,150789000000,1297000000.0,0.0,0.0,38523000000,,3933000000.0,28848000000,,6286000000.0,36069000000,36069000000,53113000000,5000000,0.0,,39667000000,6740000000,132617000000,9675000000,,292000000,84719000000.0,14590000000,,292000000.0,41299000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,184018000000,147726000000,1173000000.0,0.0,2089000000.0,37126000000,,3830000000.0,28078000000,,4693000000.0,31289000000,31289000000,49126000000,4000000,0.0,,39903000000,4717000000,128989000000,9048000000,-242000000.0,336000000,86237000000.0,12000000000,,578000000.0,36292000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,180689000000,146530000000,2282000000.0,0.0,0.0,38067000000,,3144000000.0,29259000000,0.0,2308000000.0,28733000000,28733000000,47012000000,3000000,0.0,,39903000000,5945000000,127817000000,8808000000,,334000000,86581000000.0,8945000000,0.0,334000000.0,34159000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,174907000000,144291000000,3939000000.0,0.0,2056000000.0,34935000000,,2352000000.0,26514000000,,568000000.0,24325000000,24325000000,42762000000,2000000,0.0,,39912000000,4271000000,126565000000,8421000000,-281000000.0,1449000000,89092000000.0,7827000000,,1730000000.0,30616000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,175990000000,150196000000,1501000000.0,0.0,0.0,30476000000,,1844000000.0,21895000000,0.0,1904000000.0,22449000000,22449000000,40260000000,86000000,0.0,,39912000000,6727000000,129814000000,8581000000,,1487000000,90327000000.0,9784000000,0.0,1487000000.0,25794000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,183586000000,161323000000,2036000000.0,0.0,2325000000.0,32052000000,,1612000000.0,22708000000,,2112000000.0,18401000000,18401000000,41341000000,85000000,0.0,,39912000000,4348000000,136158000000,9025000000,-327000000.0,220000000,93995000000.0,9289000000,,547000000.0,22263000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,185023000000,167195000000,1754000000.0,,,31723000000,,1262000000.0,22383000000,0.0,3151000000.0,14735000000,14735000000,41492000000,87000000,,,39915000000,6079000000,137593000000,9026000000,,217000000,96087000000.0,9769000000,0.0,217000000.0,17828000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,186453000000,171354000000,2046000000.0,,2399000000.0,33913000000,,2442000000.0,24839000000,,2414000000.0,10510000000,10510000000,42859000000,93000000,,,39915000000,3528000000,137561000000,8776000000,-358000000.0,216000000,,8946000000,,574000000.0,15099000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,191916000000,180806000000,2309000000.0,,,37683000000,,4336000000.0,28536000000,,3079000000.0,4355000000,4355000000,47673000000,93000000,,,39915000000,6288000000,138191000000,8845000000,,209000000,,9990000000,,209000000.0,11110000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,199980000000,188753000000,2279000000.0,,,39731000000,,5642000000.0,26979000000,,2694000000.0,3306000000,3306000000,52168000000,87000000,,,39915000000,8911000000,138669000000,12459000000,,234000000,,12437000000,,234000000.0,11227000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
