date,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,quarterlyTaxProvision,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyTotalNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
1986-09-30,,,,,,,,,,,0.0375,,,,,,,,,,,,,,,,,,189552000.0,,,,,,,,,,,,233600000,,,,,233600000,233600000,,0.0375,,,,,,,,,,,,,,,,,,,,,,7900000,,,189552000.0,,,
1986-12-31,78900000.0,78900000.0,,,,,,,,4700000.0,,,,,59800000.0,,,,,,158300000.0,-8700000.0,,88400000.0,,,13400000.0,523700000.0,,,,,,148200000.0,,,,163600000.0,,,-533200000,,,,,-533200000,266500000,,,163000000.0,,,360700000.0,335500000.0,,23000000.0,0.0,188200000.0,,187300000.0,,,,,,,258800000.0,,,,9100000,16900000.0,,,170400000.0,,
1987-03-31,,,,,,,,,,,0.0125,,,,,,,,,,,,,,,,,,189904000.0,,,,,,,,,,,,160100000,,,,,160100000,160100000,,0.0125,,,,,,,,,,,,,,,,,,,,,,2600000,,,189904000.0,,,
1987-06-30,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,189904000.0,,,,,,,,,,,,200900000,,,,,200900000,200900000,,0.04,,,,,,,,,,,,,,,,,,,,,,8100000,,,189904000.0,,,
1987-09-30,,,,,,,,,,,0.0175,,,,,,,,,,,,,,,,,,190720000.0,,,,,,,,,,,,189700000,,,,,189700000,189700000,,0.0175,,,,,,,,,,,,,,,,,,,,,,3800000,,,190720000.0,,,
1987-12-31,370600000.0,370600000.0,,,,,,,,-8700000.0,,,,,657900000.0,,,,,,1920600000.0,-8700000.0,,698700000.0,,,0.0,3742200000.0,,,,,,1356600000.0,,,,198000000.0,,,-575800000,,,,,-575800000,234700000,,,1911900000.0,,,1830300000.0,3516700000.0,,811600000.0,1786800000.0,225500000.0,,2160100000.0,,,,,,,360300000.0,,,,-7000000,266800000.0,,,106500000.0,,
1988-03-31,,,,,,,,,,,0.0075,,,,,,,,,,,,,,,,,,190880000.0,,,,,,,,,,,,216500000,,,,,216500000,216500000,,0.0075,,,,,,,,,,,,,,,,,,,,,,1300000,,,190880000.0,,,
1988-06-30,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,198080000.0,,,,,,,,,,,,274700000,,,,,274700000,274700000,,0.03,,,,,,,,,,,,,,,,,,,,,,6100000,,,198080000.0,,,
1988-09-30,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,198080000.0,,,,,,,,,,,,297700000,,,,,297700000,297700000,,0.025,,,,,,,,,,,,,,,,,,,,,,5000000,,,198080000.0,,,
1988-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,4892200000.0,,,,,,0.0,,,,226800000.0,,,-694700000,,,,,-694700000,390300000,,,4892200000.0,,,0.0,4637600000.0,,,4431000000.0,254600000.0,,4637600000.0,,,,,,,,,,,20700000,206600000.0,,,,,
1989-03-31,,,,,,,,,,,0.0525,,,,,,,,,,,,,,,,,,200640000.0,,,,,,,,,,,,274000000,,,,,274000000,274000000,,0.0525,,,,,,,,,,,,,,,,,,,,,,10800000,,,200640000.0,,,
1989-06-30,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,200640000.0,,,,,,,,,,,,289200000,,,,,289200000,289200000,,0.11,,,,,,,,,,,,,,,,,,,,,,23400000,,,200640000.0,,,
1989-09-30,,,,,,,,,,,0.0575,,,,,,,,,,,,,,,,,,202240000.0,,,,,,,,,,,,290700000,,,,,290700000,290700000,,0.0575,,,,,,,,,,,,,,,,,,,,,,12200000,,,202240000.0,,,
1989-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,4325400000.0,,,,,,0.0,,,,277600000.0,,,-582600000,,,,,-582600000,284300000,,,4325400000.0,,,0.0,4019800000.0,,,3118900000.0,305600000.0,,4019800000.0,,,,,,,,,,,9500000,900900000.0,,,,,
1990-03-31,,,,188200000.0,12900000.0,,,,700000.0,,0.0575,81800000.0,,,45200000.0,,46700000.0,-8900000.0,-600000.0,-77000000.0,,,7400000.0,-45200000.0,78800000.0,,,4256900000.0,212173913.0,,,,,0.0,-800000.0,12200000.0,85000000.0,315900000.0,,,59500000,-32800000.0,-8700000.0,,-600000.0,59500000,247700000,,0.0575,4256900000.0,,-4100000.0,0.0,3939800000.0,,,1453700000.0,317100000.0,,3939800000.0,,,,0.0,247700000.0,39000000.0,,100000.0,,,12200000,2486100000.0,12200000.0,212173913.0,,,
1990-06-30,,,,228400000.0,9200000.0,,,,700000.0,,0.045,0.0,,,40300000.0,,44800000.0,16400000.0,-20700000.0,-86100000.0,,,-30600000.0,-40300000.0,23700000.0,,,4203100000.0,188888889.0,,,,,0.0,-700000.0,8500000.0,76100000.0,323700000.0,,,54000000,-38800000.0,-39600000.0,,-20700000.0,54000000,282400000,,0.045,4203100000.0,,10300000.0,0.0,3894300000.0,,,1494200000.0,308800000.0,,3894300000.0,,,,0.0,282400000.0,91200000.0,,0.0,,,8500000,2400100000.0,8500000.0,188888889.0,,,
1990-09-30,,,,248200000.0,5900000.0,,,,700000.0,,0.0275,0.0,,,39200000.0,,45500000.0,8900000.0,84400000.0,-10600000.0,,,-8300000.0,-39200000.0,75700000.0,,,4180200000.0,189090909.0,,,,,0.0,-700000.0,5200000.0,-82100000.0,328200000.0,,,51400000,-138200000.0,47200000.0,,84400000.0,51400000,299600000,,0.0275,4180200000.0,,32000000.0,0.0,3867300000.0,,,1496800000.0,312900000.0,,3867300000.0,,,,0.0,299600000.0,-19600000.0,,0.0,,,5200000,2370500000.0,5200000.0,189090909.0,,,
1990-12-31,,,,294400000.0,3500000.0,,,,-200000.0,,,0.0,,,34100000.0,,24300000.0,3800000.0,106700000.0,-158300000.0,,,3200000.0,-34100000.0,44500000.0,,,3992900000.0,,0.0,,,,0.0,-700000.0,3700000.0,54800000.0,304400000.0,,,27900000,-21200000.0,123800000.0,,106700000.0,27900000,322300000,,,3992900000.0,,-20800000.0,0.0,3676800000.0,,,1453400000.0,316100000.0,,3676800000.0,,,,0.0,322300000.0,31500000.0,,-100000.0,,,3700000,2223400000.0,3700000.0,,,,
1991-03-31,,,,215900000.0,,,,,,,0.0025,53500000.0,,,25000000.0,,38100000.0,14700000.0,169800000.0,-61300000.0,,,-300000.0,-25000000.0,,,,3851400000.0,188632000.0,,,,,0.0,-700000.0,300000.0,-108800000.0,304000000.0,,,38300000,-92000000.0,180500000.0,,169800000.0,38300000,254200000,,0.0025,3851400000.0,,-11000000.0,0.0,3535700000.0,,,1440300000.0,315700000.0,,3535700000.0,,,,0.0,254200000.0,-16800000.0,,,,,300000,2095400000.0,300000.0,188632000.0,,,
1991-06-30,,,,250500000.0,8100000.0,,,,200000.0,,0.04,0.0,,,22800000.0,,37900000.0,12300000.0,-86100000.0,-118200000.0,,,17400000.0,-22800000.0,,,,3749400000.0,197500000.0,,,,,0.0,-700000.0,7900000.0,221600000.0,311200000.0,,,46100000,87500000.0,-120200000.0,,-86100000.0,46100000,296600000,,0.04,3749400000.0,,26200000.0,0.0,3426200000.0,,,1468800000.0,323200000.0,,3426200000.0,,,,0.0,296600000.0,96600000.0,,-100000.0,,,7900000,1957400000.0,7900000.0,197500000.0,,,
1991-09-30,,,,258400000.0,14400000.0,,,,900000.0,,0.06,0.0,,,16300000.0,,36300000.0,44100000.0,120700000.0,-67500000.0,,,-2300000.0,-16300000.0,,,,3752900000.0,193333333.0,,,,,0.0,-700000.0,11600000.0,-55400000.0,324000000.0,,,50800000,-66200000.0,88500000.0,,120700000.0,50800000,309200000,,0.06,3752900000.0,,18700000.0,0.0,3418800000.0,,,1517500000.0,334100000.0,,3418800000.0,,,,0.0,309200000.0,48300000.0,,-2000000.0,,,13500000,1901300000.0,11600000.0,193333333.0,,,
1991-12-31,,,,298200000.0,22200000.0,,,,1300000.0,,,0.0,,,18200000.0,,33600000.0,9700000.0,22800000.0,-74600000.0,,,-4900000.0,-18200000.0,,,,3634800000.0,,,,,,0.0,-800000.0,20900000.0,46900000.0,342200000.0,,,55600000,-57700000.0,5200000.0,,22800000.0,55600000,353800000,,,3634800000.0,,-3300000.0,0.0,3278000000.0,,,1514300000.0,356800000.0,,3278000000.0,,,,0.0,353800000.0,38000000.0,,200000.0,,,20900000,1763700000.0,20900000.0,,,,
1992-03-31,,,,214700000.0,10200000.0,,,,700000.0,,0.045,63400000.0,,,19800000.0,,32200000.0,2200000.0,-55100000.0,282900000.0,,,-48300000.0,-19800000.0,12000000.0,,,3898900000.0,200000000.0,,,,,0.0,-1600000.0,9500000.0,-276000000.0,350100000.0,,,42400000,-126300000.0,-70000000.0,,-55100000.0,42400000,257100000,,0.0475,3898900000.0,,5400000.0,0.0,3474800000.0,,,1513500000.0,424100000.0,,3474800000.0,,,,0.0,257100000.0,-161700000.0,,0.0,,,9500000,1961300000.0,9500000.0,211111111.0,,,
1992-06-30,,,,267300000.0,17000000.0,,,,1000000.0,,0.0725,0.0,,,16400000.0,,31800000.0,-20700000.0,138600000.0,-113200000.0,,,7900000.0,-16400000.0,100000.0,,,3811300000.0,213333333.0,,,,,0.0,-1600000.0,16000000.0,-17500000.0,364500000.0,,,48800000,-56800000.0,111800000.0,,138600000.0,48800000,316100000,,0.075,3811300000.0,,10800000.0,0.0,3372800000.0,,,1495100000.0,438500000.0,,3372800000.0,,,,0.0,316100000.0,39200000.0,,0.0,,,16000000,1877700000.0,16000000.0,220689655.0,,,
1992-09-30,,,,303900000.0,24200000.0,,,,1400000.0,,0.095,0.0,,,17100000.0,,29200000.0,-23200000.0,38800000.0,-35900000.0,,,-8000000.0,-17100000.0,883600000.0,,,3856300000.0,218461538.0,,,,,0.0,-1700000.0,21300000.0,-11100000.0,322100000.0,,,53400000,-949700000.0,-13000000.0,,38800000.0,53400000,357300000,,0.0975,3856300000.0,,28900000.0,0.0,3399600000.0,,,1497700000.0,456700000.0,,3399600000.0,,,,0.0,357300000.0,55000000.0,,-1500000.0,,,22800000,1901900000.0,21300000.0,224210526.0,,,
1992-12-31,,,,378400000.0,26500000.0,,,,2700000.0,,,0.0,,,511500000.0,,34600000.0,-2800000.0,52800000.0,-174700000.0,,,52000000.0,-511500000.0,,,,3705500000.0,,,,,,0.0,-1600000.0,23200000.0,174000000.0,405800000.0,,,61000000,1034900000.0,30400000.0,,52800000.0,61000000,439400000,,,3705500000.0,,-1400000.0,0.0,3224100000.0,,,2811600000.0,481400000.0,,3224100000.0,,,,0.0,439400000.0,34800000.0,,-500000.0,,,23800000,412500000.0,23200000.0,,,,
1993-03-31,,,,268000000.0,15600000.0,,,,4700000.0,,0.0725,67000000.0,,,444800000.0,,32000000.0,-10300000.0,46400000.0,-199000000.0,,,-25500000.0,-444800000.0,208200000.0,,,3712300000.0,219310345.0,,,,,0.0,-1700000.0,15900000.0,127000000.0,350100000.0,,,47600000,-198200000.0,35600000.0,,46400000.0,47600000,315600000,,0.0725,3712300000.0,,-100000.0,0.0,3216700000.0,,,2128500000.0,495600000.0,,3216700000.0,,,,0.0,315600000.0,117000000.0,,5000000.0,,,10900000,1088200000.0,15900000.0,219310345.0,,,
1993-06-30,,,,314700000.0,32200000.0,,,,9700000.0,,0.1025,0.0,,,333600000.0,,58000000.0,-19600000.0,-178900000.0,-190300000.0,,,15300000.0,-333600000.0,470300000.0,,,3610000000.0,219512195.0,,,,,0.0,-1600000.0,22500000.0,384600000.0,364500000.0,,,90300000,-49300000.0,-34600000.0,,-178900000.0,90300000,405000000,,0.1025,3610000000.0,,-166800000.0,0.0,3093100000.0,,,2061400000.0,516900000.0,,3093100000.0,,,,0.0,405000000.0,-36400000.0,,-100000.0,,,22500000,1031700000.0,22500000.0,219512195.0,,,
1993-09-30,,,,346900000.0,29300000.0,,,,9600000.0,,0.09,0.0,,,262700000.0,,55500000.0,-26100000.0,-63500000.0,113400000.0,,,-33100000.0,-262700000.0,217200000.0,,,3776600000.0,218888889.0,,,,,0.0,-1700000.0,19700000.0,-83000000.0,459000000.0,,,84700000,-273500000.0,-12000000.0,,-63500000.0,84700000,431600000,,0.09,3776600000.0,,-71300000.0,0.0,3240400000.0,,,2020000000.0,536200000.0,,3240400000.0,,,,0.0,431600000.0,-26700000.0,,100000.0,,,19700000,1220400000.0,19700000.0,218888889.0,,,
1993-12-31,,,,488800000.0,36300000.0,,,,11700000.0,,,0.0,,,619300000.0,,-44700000.0,-48600000.0,15300000.0,-300000.0,,,85300000.0,-619300000.0,252000000.0,,,3810900000.0,,,,,,0.0,-1600000.0,21200000.0,70400000.0,478600000.0,,,-8200000,-167100000.0,-298900000.0,,15300000.0,-8200000,480600000,,,3810900000.0,,289600000.0,0.0,3254600000.0,,,2869700000.0,556300000.0,,3254600000.0,,,,0.0,480600000.0,-14500000.0,,-3600000.0,,,24600000,384900000.0,21200000.0,,,,
1994-03-31,24300000.0,24300000.0,,1900000.0,18600000.0,,,,7300000.0,,0.0675,109000000.0,,,82300000.0,,,187400000.0,-143300000.0,-1900000.0,,,-84700000.0,0.0,79600000.0,,,3820300000.0,222222222.0,,,289500000.0,,371800000.0,-1700000.0,15000000.0,60400000.0,,1900000.0,,20500000,,-170500000.0,,-143300000.0,18600000,340600000,,0.0675,3159300000.0,,17700000.0,661000000.0,3263300000.0,-69700000.0,0.0,2335300000.0,557000000.0,320100000.0,2891500000.0,,,,0.0,20500000.0,-19200000.0,636700000.0,3700000.0,,,11300000,556200000.0,15000000.0,222222222.0,,,
1994-06-30,72600000.0,72600000.0,,2000000.0,26100000.0,,,,10200000.0,,0.395,0.0,,,134500000.0,,,-798200000.0,-11700000.0,-794100000.0,,,48200000.0,0.0,53100000.0,,,3102400000.0,222531646.0,,,328200000.0,,462700000.0,-1600000.0,87900000.0,854200000.0,,2000000.0,,28000000,,5000000.0,,-11700000.0,26000000,427900000,,0.395,2339600000.0,,-32000000.0,762800000.0,2457900000.0,-54500000.0,0.0,1481800000.0,644500000.0,399900000.0,1995200000.0,,,,0.0,28000000.0,801100000.0,690200000.0,72100000.0,,,15900000,513400000.0,87900000.0,222531646.0,,,
1994-09-30,1352900000.0,1352900000.0,,200000.0,29500000.0,,,,11600000.0,,0.075,0.0,,,91400000.0,,,66700000.0,23700000.0,82200000.0,,,1280400000.0,0.0,27400000.0,,,3223300000.0,218666667.0,,,342200000.0,,433600000.0,-3300000.0,16400000.0,1174400000.0,,200000.0,,29700000,,-1800000.0,,23700000.0,29500000,452600000,,0.075,1125800000.0,,9200000.0,2097500000.0,2553800000.0,-53300000.0,0.0,1380200000.0,669500000.0,422900000.0,2120200000.0,,,,0.0,29700000.0,1147000000.0,744600000.0,-1500000.0,,,17900000,740000000.0,16400000.0,218666667.0,,,
1994-12-31,281500000.0,281500000.0,,9100000.0,29500000.0,,,,12200000.0,,,0.0,,,76100000.0,,,-8800000.0,53900000.0,-48900000.0,,,-1071400000.0,0.0,22300000.0,,,1941400000.0,,,,332000000.0,,408100000.0,0.0,43600000.0,-1076600000.0,634700000.0,9100000.0,,38600000,,-9400000.0,,53900000.0,29500000,534800000,,,907500000.0,,38200000.0,1033900000.0,1230800000.0,-9400000.0,0.0,259400000.0,710600000.0,496200000.0,822700000.0,,,,0.0,38600000.0,-1098900000.0,752400000.0,26300000.0,,,17300000,563300000.0,43600000.0,,,,
1995-03-31,196900000.0,196900000.0,,1200000.0,-700000.0,,,,-300000.0,,0.015,281500000.0,,,85400000.0,,,-31500000.0,-60900000.0,-42000000.0,,,-84600000.0,0.0,10100000.0,,,1907000000.0,233333333.0,-4300000.0,,307600000.0,,393000000.0,-1600000.0,3500000.0,18300000.0,,1200000.0,,500000,,4900000.0,,-60900000.0,-700000,332900000,,0.015,878800000.0,,-66600000.0,1028200000.0,1198800000.0,-79000000.0,0.0,253800000.0,708200000.0,332400000.0,805800000.0,,,,0.0,500000.0,8200000.0,831300000.0,3900000.0,,,-400000,552000000.0,3500000.0,233333333.0,,,
1995-06-30,107300000.0,107300000.0,,2500000.0,16000000.0,,,,6500000.0,,0.0475,0.0,,,112000000.0,,,-43200000.0,-18600000.0,-72200000.0,,,-89500000.0,0.0,12000000.0,,,1962100000.0,225263158.0,-7400000.0,,335900000.0,,447900000.0,-1700000.0,10700000.0,1300000.0,578100000.0,2300000.0,,18600000,,-9700000.0,,-18600000.0,16100000,485500000,,0.0475,992200000.0,,-40300000.0,969900000.0,1252200000.0,-31300000.0,0.0,262600000.0,709900000.0,466900000.0,804300000.0,,,,0.0,18600000.0,26000000.0,862600000.0,1100000.0,,,9500000,541700000.0,10700000.0,225263158.0,,,
1995-09-30,84900000.0,84900000.0,,2100000.0,27300000.0,,,,11000000.0,,0.0875,0.0,,,93600000.0,,,-34400000.0,34100000.0,-70600000.0,,,-22500000.0,0.0,44900000.0,,,1906300000.0,214857143.0,0.0,,372600000.0,,466200000.0,-3200000.0,18800000.0,13900000.0,591200000.0,2300000.0,,29500000,-8200000.0,-2800000.0,,34100000.0,27200000,543300000,,0.0875,911300000.0,,10900000.0,995000000.0,1171600000.0,-47400000.0,0.0,175700000.0,734700000.0,514000000.0,705400000.0,,,,0.0,29300000.0,-22800000.0,910100000.0,2600000.0,,,16300000,529700000.0,18800000.0,214857143.0,,,
1995-12-31,295200000.0,295200000.0,,500000.0,39500000.0,,,,16000000.0,,,0.0,,,140600000.0,,,-18100000.0,7000000.0,126000000.0,,,210300000.0,45400000.0,75100000.0,,,2048500000.0,,0.0,,381400000.0,,567400000.0,0.0,25400000.0,77300000.0,686600000.0,500000.0,,39900000,-25200000.0,,,7000000.0,39400000,667400000,,,893600000.0,,800000.0,1154900000.0,1287500000.0,50300000.0,0.0,130800000.0,761000000.0,627500000.0,720100000.0,,,,0.0,39900000.0,27400000.0,859700000.0,2000000.0,,,23500000,589300000.0,25400000.0,,,,
1996-03-31,177500000.0,177500000.0,,1600000.0,8600000.0,,,,3500000.0,,0.035,292200000.0,,,96300000.0,,,100000.0,-11000000.0,-120800000.0,,,-114800000.0,47700000.0,69500000.0,,,1921000000.0,202857143.0,-9300000.0,,369100000.0,,513100000.0,-1600000.0,7100000.0,17000000.0,683600000.0,1600000.0,,10200000,,,,-11000000.0,8600000,432500000,,0.035,822700000.0,-4600000.0,-11200000.0,1098300000.0,1166900000.0,-61100000.0,0.0,125100000.0,754100000.0,422300000.0,653800000.0,,,,0.0,10200000.0,-52500000.0,920800000.0,2000000.0,,,5100000,528700000.0,7100000.0,202857143.0,,,
1996-06-30,177700000.0,177700000.0,,1700000.0,27600000.0,,,,11200000.0,,0.09,0.0,,,117900000.0,,,6100000.0,-29400000.0,-167400000.0,,,-2700000.0,57200000.0,145000000.0,,,1851100000.0,202857143.0,-51500000.0,,418300000.0,,593400000.0,-1500000.0,18200000.0,194200000.0,653500000.0,1700000.0,,29300000,,,,-58800000.0,27600000,588400000,,0.09,700500000.0,,-43400000.0,1150600000.0,1135100000.0,-52100000.0,0.0,179000000.0,716000000.0,559100000.0,541700000.0,,,,0.0,29300000.0,46900000.0,972900000.0,1800000.0,,,16400000,362700000.0,18200000.0,202857143.0,,,
1996-09-30,121300000.0,121300000.0,,2200000.0,27400000.0,,,,11000000.0,,0.645,0.0,,,115600000.0,,,-600000.0,-53000000.0,-11800000.0,,,-56300000.0,54400000.0,24400000.0,,,1948600000.0,202857143.0,-31800000.0,,439800000.0,,609800000.0,-2900000.0,127600000.0,8400000.0,749700000.0,2200000.0,,29600000,,,,-23600000.0,27400000,625200000,,0.645,762500000.0,,-70200000.0,1186100000.0,1139300000.0,-91800000.0,0.0,141900000.0,809300000.0,595600000.0,529500000.0,,,,0.0,29600000.0,28500000.0,1064800000.0,111200000.0,,,16400000,387600000.0,127600000.0,202857143.0,,,
1996-12-31,192200000.0,192200000.0,,1200000.0,38900000.0,,,,13600000.0,,,0.0,,,154100000.0,,,-1500000.0,20300000.0,19400000.0,,,70800000.0,0.0,17200000.0,,,1985100000.0,,-7000000.0,,439600000.0,,593700000.0,0.0,26700000.0,31000000.0,770100000.0,1200000.0,,40200000,0.0,,,20300000.0,39000000,738300000,,,775600000.0,,-61500000.0,1209500000.0,1155800000.0,47500000.0,0.0,125600000.0,829300000.0,698100000.0,562100000.0,,,,0.0,40200000.0,13800000.0,1017300000.0,1300000.0,,,25300000,436500000.0,26700000.0,,,,
