date,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyTaxProvision,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,quarterlyEbitda,quarterlyBasicAverageShares,quarterlyStockBasedCompensation,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyBasicEPS,quarterlyDepreciationAndAmortization,quarterlyCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyGrossProfit,quarterlyNetIncome,quarterlyChangeInAccountPayable,quarterlyNetIncomeContinuousOperations,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCurrentAccruedExpenses,quarterlyRepaymentOfDebt,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyInterestExpense,quarterlyInventory,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2015-09-30,280148000.0,11668000,0.0,295109000.0,153028000.0,8000.0,4801000,195595000,0.08,16819000.0,1548000,-11947000.0,-3522000,8478000,3539000.0,7566000,0.0,-425000.0,-2828000,-30773000,58238000.0,-16954000,28766000.0,11668000,-42383000,0.0,,3514000.0,62053000.0,17967000,84583000.0,3113000,107613000.0,344413000.0,0.08,6299000,82268000.0,142081000.0,-37000,94703000.0,6867000,688072000.0,1032485000.0,-88623000.0,85662000,176971000.0,-20476000,49613000,6867000,3324000,6867000,85867000.0,0.0,0.0,0.0,153028000,-33907000,16395000.0,,36049000,44337000.0,387566000.0,0.0,855514000.0,31646000,88965000.0,37945000,62053000.0,,,,,,,,,
2015-12-31,285567000.0,15639000,-18220000.0,310741000.0,169293000.0,8000.0,4351000,153028000,0.13,19082000.0,2569000,-11185000.0,-3460000,6728000,3105000.0,5498000,0.0,-604000.0,-1042000,9824000,67016000.0,31165000,30267000.0,15639000,16422000,0.0,,8189000.0,64326000.0,22296000,84823000.0,4072000,118900000.0,356274000.0,0.13,6657000,89612000.0,141448000.0,105000,93040000.0,11288000,703974000.0,1060248000.0,-66399000.0,99959000,182652000.0,27705000,58674000,11288000,3945000,11288000,86028000.0,0.0,0.0,0.0,169293000,-21471000,16671000.0,,41285000,42051000.0,396220000.0,-408000.0,877596000.0,36378000,87584000.0,43035000,64326000.0,,,,,,,,,
2016-03-31,280772000.0,17331000,0.0,324441000.0,203312000.0,8000.0,7398000,169293000,0.12,24226000.0,-9956000,-13448000.0,-5840000,1169000,3383000.0,9928000,-9771000.0,-826000.0,-3321000,-2624000,76615000.0,18666000,37674000.0,17331000,34210000,,,4176000.0,74375000.0,24639000,84710000.0,6901000,128833000.0,379433000.0,0.12,7308000,98478000.0,121129000.0,26000,89785000.0,9933000,704601000.0,1084034000.0,-56227000.0,112240000,188263000.0,12826000,67061000,9933000,-5434000,9933000,85699000.0,0.0,0.0,0.0,203312000,14375000,19504000.0,,45179000,51414000.0,396220000.0,-173000.0,895771000.0,42422000,84262000.0,49730000,74375000.0,,,,,,,,,
2016-06-30,323816000.0,22512000,-67528000.0,269807000.0,132924000.0,8000.0,9707000,203312000,0.15,32320000.0,-1766000,-16538000.0,-8152000,3287000,5218000.0,6424000,-5003000.0,-1396000.0,-853000,-8082000,51875000.0,18527000,48858000.0,22512000,-69890000,,,11282000.0,71276000.0,31397000,84741000.0,5505000,141638000.0,333496000.0,0.15,8885000,103963000.0,136883000.0,290000,109194000.0,12805000,798363000.0,1131859000.0,-67496000.0,120173000,213157000.0,10375000,68910000,12805000,4576000,12805000,85749000.0,0.0,0.0,0.0,132924000,-91704000,20385000.0,,51263000,57087000.0,437009000.0,-403000.0,918702000.0,37513000,103376000.0,46398000,71276000.0,,,,,,,,,
2016-09-30,318431000.0,20767000,1679000.0,296581000.0,177838000.0,9000.0,7585000,132924000,0.15,43398000.0,-10577000,-19650000.0,-12200000,12016000,4873000.0,3080000,0.0,-1641000.0,2266000,-5317000,82077000.0,25240000,63048000.0,20767000,45115000,,,9532000.0,78321000.0,29856000,85217000.0,5349000,154821000.0,368574000.0,0.15,9089000,110795000.0,118743000.0,-608000,111887000.0,13182000,803711000.0,1172285000.0,-63733000.0,123461000,222682000.0,13040000,68109000,13182000,-3734000,13182000,86424000.0,0.0,0.0,0.0,177838000,7859000,22157000.0,,55352000,65729000.0,437009000.0,36000.0,949603000.0,38253000,105642000.0,47342000,78321000.0,,,,,,,,,
2016-12-31,313630000.0,23242000,0.0,323619000.0,239528000.0,9000.0,9605000,177838000,0.16,46555000.0,4811000,-22693000.0,-10954000,2872000,4530000.0,1218000,0.0,-2078000.0,2935000,2383000,74095000.0,35245000,69248000.0,23242000,62068000,,,7590000.0,83349000.0,33153000,85608000.0,5804000,168457000.0,396337000.0,0.16,9911000,110490000.0,84091000.0,-114000,114898000.0,13637000,801170000.0,1197507000.0,-39238000.0,137457000,225388000.0,24291000,75041000,13637000,1388000,13637000,86666000.0,0.0,0.0,0.0,239528000,23951000,18686000.0,,62416000,60550000.0,436455000.0,48000.0,972119000.0,41888000,108022000.0,51799000,83349000.0,,,,,,,,,
2017-03-31,313357000.0,24985000,,361272000.0,275037000.0,9000.0,7270000,239528000,0.2,51579000.0,-1721000,-27236000.0,-12206000,-2104000,4316000.0,-3688000,0.0,-1971000.0,-4741000,21290000,55833000.0,51590000,78815000.0,24985000,35421000,,,10030000.0,94660000.0,35025000,85874000.0,7243000,188823000.0,432917000.0,0.21,10040000,132507000.0,86235000.0,-110000,107529000.0,17715000,805707000.0,1238624000.0,-57783000.0,156134000,240036000.0,39384000,83423000,17715000,483000,17715000,87120000.0,0.0,0.0,0.0,275037000,-14065000,24755000.0,,72711000,62400000.0,436455000.0,91000.0,998588000.0,48398000,100631000.0,58438000,94660000.0,,,,,,,,,
2017-06-30,308257000.0,22095000,,373560000.0,293269000.0,9000.0,7341000,275037000,0.17,56673000.0,2505000,-32203000.0,-9661000,4889000,4060000.0,-1835000,0.0,-1628000.0,-2039000,-14992000,58470000.0,16166000,88876000.0,22095000,17940000,,,8107000.0,81718000.0,32509000,86162000.0,8195000,203577000.0,442113000.0,0.17,10414000,114148000.0,80291000.0,234000,105433000.0,14754000,805445000.0,1247558000.0,-52325000.0,158794000,219581000.0,6505000,81794000,14754000,-1461000,14754000,87700000.0,0.0,0.0,0.0,293269000,-3115000,23824000.0,,77000000,59734000.0,436455000.0,401000.0,1027977000.0,49285000,98592000.0,59699000,81718000.0,,,,,,,,,
2017-09-30,360549000.0,17420000,-51859000.0,331608000.0,265958000.0,9000.0,4432000,293269000,0.15,62225000.0,-12892000,-37955000.0,-31110000,1739000,4130000.0,-2458000,0.0,-1329000.0,4618000,-134000,50430000.0,38677000,100180000.0,17420000,-27585000,,,11869000.0,89021000.0,30033000,86449000.0,8475000,216564000.0,414783000.0,0.15,12613000,133568000.0,65650000.0,26000,109721000.0,12988000,881461000.0,1296244000.0,-35559000.0,163059000,243289000.0,7567000,83415000,12988000,3943000,12988000,88543000.0,0.0,0.0,0.0,265958000,-68001000,32434000.0,,79644000,73745000.0,454557000.0,97000.0,1052955000.0,53382000,103210000.0,65995000,89021000.0,,,,,,,,,
2017-12-31,515553000.0,25148000,-281442000.0,257695000.0,234090000.0,9000.0,-28378000,265958000,0.6,71384000.0,-15725000,-45396000.0,-12466000,173535000,6487000.0,-4554000,0.0,-1228000.0,-29017000,-8281000,51250000.0,46307000,116780000.0,26158000,-31939000,,3906000.0,7607000.0,119922000.0,44939000,86702000.0,8835000,269992000.0,360483000.0,0.62,18781000,174548000.0,23605000.0,773000,251405000.0,53526000,1183286000.0,1543769000.0,-9091000.0,205080000,425953000.0,33841000,108719000,53526000,-7209000,53526000,89366000.0,0.0,0.0,0.0,234090000,-251781000,40004000.0,,96361000,95970000.0,589862000.0,-32000.0,1117816000.0,63780000,74292000.0,82561000,119922000.0,169645000.0,,,,,,,,
2018-03-31,504011000.0,30530000,737000.0,288310000.0,272258000.0,9000.0,-236000,238239000,0.34,79399000.0,3918000,-52748000.0,-11724000,-30318000,6697000.0,-11485000,,-872000.0,-2976000,10480000,18166000.0,71500000,132147000.0,31552000,37840000,,4688000.0,12202000.0,126853000.0,52503000,87085000.0,10231000,301640000.0,398286000.0,0.35,20951000,189391000.0,16052000.0,90000,231644000.0,30766000,1179969000.0,1578255000.0,-10537000.0,232570000,421035000.0,59776000,118956000,30766000,601000,30766000,90091000.0,,,,276435000,-3342000,44134000.0,-25781000.0,113614000,100129000.0,589862000.0,16000.0,1157220000.0,66453000,71316000.0,87404000,126853000.0,143121000.0,,,,,,,,
2018-06-30,494484000.0,34311000,0.0,481647000.0,442678000.0,9000.0,4191000,276435000,0.33,89208000.0,1852000,-56982000.0,-20687000,169997000,9177000.0,-7232000,,-1528000.0,-332000,-18053000,10950000.0,44517000,146190000.0,34319000,171051000,,5469000.0,8829000.0,110011000.0,54168000,89503000.0,11939000,331760000.0,592021000.0,0.34,19849000,172517000.0,38969000.0,-226000,205827000.0,30120000,1182731000.0,1774752000.0,-33734000.0,239741000,378344000.0,23830000,118579000,30120000,-708000,30120000,92503000.0,,,,446812000,-43463000,47005000.0,-25781000.0,121162000,98254000.0,589862000.0,8000.0,1396408000.0,64411000,70983000.0,84260000,110011000.0,116598000.0,,,,,,,,
2018-09-30,520867000.0,21511000,-367593000.0,311237000.0,294550000.0,9000.0,-1234000,446812000,0.24,105434000.0,-23739000,-67447000.0,-21044000,167749000,11666000.0,-9521000,,-1620000.0,5356000,-15448000,25800000.0,49445000,172881000.0,21848000,-149000000,0.0,6250000.0,17184000.0,122900000.0,42835000,90494000.0,14275000,354504000.0,462692000.0,0.25,20987000,200122000.0,16687000.0,-8000,353829000.0,22745000,1523317000.0,1986009000.0,-3371000.0,247225000,553951000.0,28401000,114456000,22745000,5372000,22745000,93678000.0,,,,297724000,-366194000,52222000.0,-782000.0,132769000,120306000.0,885350000.0,14000.0,1432058000.0,71621000,44073000.0,92608000,122900000.0,290073000.0,,,,,,,,
2018-12-31,549013000.0,-4919000,-151053000.0,225329000.0,211245000.0,9000.0,231000,297724000,-0.06,119495000.0,11877000,-78597000.0,-32609000,39257000,14186000.0,-7361000,,-1891000.0,-324000,21590000,12250000.0,60065000,198092000.0,-2756000,-81683000,0.0,6250000.0,26656000.0,127344000.0,21397000,90705000.0,18816000,349355000.0,363775000.0,-0.06,24153000,223168000.0,14084000.0,618000,400201000.0,-5150000,1701933000.0,2065708000.0,-9555000.0,287721000,623369000.0,27456000,118667000,-5150000,5895000,-5150000,93144000.0,,,,215802000,-181005000,62496000.0,-1562000.0,169054000,110855000.0,1019239000.0,,1442339000.0,97270000,46383000.0,121423000,,335548000.0,,,,,,,,
2019-03-31,534989000.0,6028000,,204398000.0,189694000.0,9000.0,-862000,215802000,0.07,215021000.0,-30391000,-91457000.0,-24089000,-11220000,22427000.0,-11613000,,-1664000.0,-986000,-34262000,11636000.0,13944000,215021000.0,8840000,-21762000,,10156000.0,15677000.0,140469000.0,33929000,90951000.0,16478000,356245000.0,376246000.0,0.08,25089000,249667000.0,14704000.0,735000,442760000.0,6890000,1777818000.0,2154064000.0,-12160000.0,323770000,692427000.0,-10145000,135170000,6890000,-18644000,6890000,92918000.0,82405000.0,,,194272000,-24486000,68750000.0,-2031000.0,188600000,141047000.0,1005381000.0,,1461637000.0,101241000,31411000.0,126330000,,328193000.0,,,,,,,,
2019-06-30,527423000.0,650000,,377037000.0,358847000.0,9000.0,-602000,194272000,0.01,253073000.0,17042000,-106606000.0,-30128000,147523000,23166000.0,-12701000,,-1980000.0,1284000,3532000,10000000.0,55845000,253073000.0,6117000,169874000,,,21527000.0,124261000.0,33340000,91177000.0,20049000,357497000.0,534110000.0,0.01,27223000,220656000.0,18190000.0,2505000,640893000.0,1252000,1809139000.0,2343249000.0,-13366000.0,325058000,861549000.0,25717000,133252000,1252000,8428000,1252000,92786000.0,114724000.0,,,363912000,-33494000,67993000.0,-340282000.0,191806000,123801000.0,1005477000.0,,1481700000.0,99912000,32695000.0,127135000,,492723000.0,,,,,,,,
2019-09-30,513848000.0,-2437000,,426214000.0,394000000.0,9000.0,-3447000,363912000,0.01,261104000.0,14000,-123681000.0,-32442000,-4215000,25452000.0,-5325000,,-2346000.0,-6506000,40813000,10100000.0,86215000,261104000.0,3588000,35428000,0.0,,23392000.0,130544000.0,34237000,91349000.0,18279000,358507000.0,570382000.0,0.01,30649000,244215000.0,32214000.0,1970000,633828000.0,1010000,1808372000.0,2378754000.0,-23980000.0,322053000,878043000.0,53773000,131183000,1010000,10166000,1010000,92847000.0,,,,399049000,-46572000,82223000.0,0.0,190870000,123309000.0,1007968000.0,,1500711000.0,96946000,28681000.0,127595000,,492776000.0,,,,,,,,
