date,quarterlyOperatingExpense,quarterlyDilutedAverageShares,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNetPPE,quarterlyTaxProvision,quarterlyChangesInAccountReceivables,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicEPS,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyTotalNonCurrentAssets,quarterlyBasicAverageShares,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyEndCashPosition,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyOtherIncomeExpense,quarterlyChangeInInventory,quarterlyInventory,quarterlyGrossProfit,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyLongTermDebt,quarterlyIncomeTaxPayable
2006-03-31,11558000,42418000.0,,,,11156000,44000,36239000,11709000,8094000,,,-174000,-7064000.0,0.0,289000,34817000,15158000.0,553000,-0.21,-8630000,15891000,9251000,,-9417000,0.0,-1691000,289000.0,,5045000.0,-196000.0,,-8613000,10541000,38006000,804000,,2307000,2403000.0,24530000,-152277000,42911000,42418000.0,2141000,-6823000,12944000,80917000,-8703000,-8804000,-8703000,-8703000,,0.0,357000.0,,0.0,,11709000,,8894000,67973000,,5496000.0,-0.21,714000,,,2141000.0,,,,,,,,,
2006-06-30,12409000,50077000.0,,,,11709000,53000,97073000,35165000,8018000,,,-532000,-7064000.0,0.0,43408000,7471000,15082000.0,23456000,-0.17,-9123000,46694000,10007000,,-9569000,0.0,-2431000,43408000.0,,5014000.0,-120000.0,,-8620000,10204000,100251000,949000,,2402000,1721000.0,61908000,-160920000,15489000,50077000.0,2840000,-56991000,11925000,115740000,-8643000,-9655000,-8643000,-8643000,,0.0,759000.0,,0.0,,35165000,,-10829000,103815000,,5190000.0,-0.17,926000,,,2840000.0,,,,,,,,,
2006-09-30,12416000,50997000.0,,,,35165000,53000,86875000,27911000,7864000,,,-452000,-7064000.0,0.0,183000,9990000,14928000.0,-7254000,-0.17,-7738000,16448000,9797000,,-9975000,0.0,-758000,183000.0,,5197000.0,-15000.0,,-9926000,9353000,89407000,49000,1295000.0,2619000,1165000.0,58964000,-169569000,17854000,50997000.0,2441000,-15695000,10518000,107261000,-8649000,-8190000,-8649000,-8649000,,0.0,734000.0,,0.0,,27911000,,301000,96743000,,4156000.0,-0.17,1326000,,,2441000.0,,,,,,,,,
2006-12-31,13827000,,,,,27911000,53000,82587000,9137000,7794000,,,-522000,-9374000.0,0.0,43000,4472000,17168000.0,-18774000,,-9690000,30057000,11081000,,-11244000,0.0,-1387000,43000.0,,5389000.0,-37000.0,,-10679000,8549000,85429000,565000,1486000.0,2746000,912000.0,73450000,-179589000,12266000,,2583000,-38662000,9461000,97695000,-10020000,-10212000,-10020000,-10020000,,0.0,898000.0,,0.0,,9137000,,-9127000,88234000,,3160000.0,,1224000,,,2583000.0,,,,,,,,,
2007-03-31,14625000,54539000.0,,,,9137000,58000,108567000,17508000,8087000,,,-886000,-9374000.0,0.0,876000,32184000,17461000.0,8371000,-0.16,53396000,38301000,11805000,,-10289000,0.0,60643000,876000.0,,4792000.0,-113000.0,,-10078000,18963000,114311000,211000,1370000.0,2820000,54039000.0,91059000,-188417000,40271000,54539000.0,4336000,-83316000,73002000,154582000,-8828000,52510000,-8828000,-8828000,,0.0,3733000.0,,0.0,,17508000,,-45901000,81580000,,14171000.0,-0.16,1461000,,,4336000.0,,,,,,,,,
2007-06-30,17993000,57064000.0,,,,17508000,58000,93501000,5075000,7984000,,,-532000,-9374000.0,0.0,1411000,39199000,17358000.0,-12433000,-0.18,-9099000,52831000,15179000,,-12382000,0.0,-1025000,1411000.0,,6658000.0,-136000.0,,-11939000,20832000,101584000,443000,2045000.0,2814000,53476000.0,88426000,-198967000,47183000,57064000.0,5611000,-57044000,74308000,148767000,-10550000,-9631000,-10550000,-10550000,,0.0,4985000.0,,0.0,,5075000,,-4745000,74459000,,14174000.0,-0.18,1832000,,,5611000.0,,,,,,,,,
2007-09-30,21032000,65957000.0,,,,5075000,67000,91927000,13399000,8241000,,,-908000,-9374000.0,0.0,2634000,32969000,17615000.0,8324000,-0.22,-9967000,38625000,17735000,,-16395000,0.0,2084000,2634000.0,,8255000.0,51000.0,,-15819000,22718000,100135000,576000,1974000.0,3297000,53958000.0,78528000,-213580000,41210000,65957000.0,4637000,-22060000,76676000,141345000,-14613000,-10875000,-14613000,-14613000,,0.0,5388000.0,,0.0,,13399000,,15657000,64669000,,14463000.0,-0.22,1782000,,,4637000.0,,,,,,,,,
2007-12-31,24415000,,,,,13399000,68000,111361000,59644000,10294000,,,-1957000,-11804000.0,0.0,1683000,18885000,22098000.0,46245000,,5500000,64516000,20109000,,-16579000,0.0,17330000,1683000.0,,2678000.0,115000.0,,-15261000,29348000,119351000,1318000,2500000.0,4306000,65196000.0,51717000,-228521000,29179000,,7836000,-23497000,94544000,148530000,-14941000,3543000,-14941000,-14941000,,0.0,5988000.0,,0.0,7797000.0,59644000,,39062000,53986000,,18873000.0,,1638000,,,7836000.0,,,,,,,,,
2008-03-31,26087000,76258000.0,,,,59644000,79000,167419000,115123000,10368000,,,-1114000,-11804000.0,0.0,98775000,49303000,22172000.0,55479000,-0.22,-11299000,27081000,22152000,,-19002000,0.0,1743000,98775000.0,,9807000.0,300000.0,,-18157000,30098000,177743000,845000,3225000.0,3935000,69254000.0,52296000,-245633000,59671000,76258000.0,7085000,-57964000,99352000,237414000,-17112000,-12413000,-17112000,-17112000,,0.0,7365000.0,,0.0,,115123000,,-31997000,138062000,,20291000.0,-0.22,1890000,,,7085000.0,,,,,,,,,
2008-06-30,27593000,79277000.0,,,,115123000,79000,113511000,34908000,10674000,,,-1557000,-11804000.0,0.0,267000,85015000,22478000.0,-80215000,-0.2,-15584000,11934000,23499000,,-17589000,0.0,-3354000,267000.0,,11150000.0,-626000.0,,-16358000,32462000,129986000,1231000,2567000.0,4094000,69092000.0,78603000,-261661000,95689000,79277000.0,10004000,-75275000,101554000,225675000,-16028000,-17141000,-16028000,-16028000,,0.0,7592000.0,,0.0,,34908000,,-64898000,124121000,,21312000.0,-0.2,1561000,,,10004000.0,,,,,,,,,
