date,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,quarterlyNetPPE,quarterlyTaxProvision,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyFreeCashFlow,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyEndCashPosition,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyInventory,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyDilutedEPS,quarterlyBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyChangeInInventory
2002-03-31,,,,-1299000.0,,580724000.0,,24590000,176000.0,13877000,13877000,,-52483000.0,,5733000.0,,0,,34854000,,,6829000,,,,-4451000.0,,-10713000,,522000.0,,-6659000,,2898000,-11742000.0,,,-305000.0,-45654000,10438000,,,6947000,,-2641000,638763000,6877000,323851000,6877000,,,299842000,,87000.0,,,,13877000,,-52396000,,,12398000.0,,,6877000,313467000,,,,,,,,,,
2002-06-30,,,,-1241000.0,,630795000.0,,13877000,199000.0,16007000,16007000,,,,5883000.0,,55435000,,46185000,,,8997000,,,,-1526000.0,,2130000,,567000.0,,-8125000,,3248000,-13167000.0,,,-1892000.0,61480000,11491000,,,7601000,,415000,691949000,6732000,322403000,7226000,,,354171000,,76000.0,,,,16007000,,-53052000,,,10971000.0,,,7226000,312226000,,,,,,,,,,
2002-09-30,,,,-1279000.0,,665556000.0,,16007000,200000.0,19220000,19220000,,,,6278000.0,,-55523000,,12124000,,,11334000,,,,-5264000.0,,3213000,,589000.0,,-8650000,,3658000,-14280000.0,,,2626000.0,-120155000,13060000,,,8788000,,-3160000,712997000,7047000,344165000,8413000,,,353457000,,5633000.0,,,,19220000,,-20245000,,,,,,8413000,332947000,,,,,,,,,,
2002-12-31,,,,-1330000.0,,679937000.0,,19220000,200000.0,10091000,10091000,,-32185000.0,,6580000.0,,-1614000,,1824000,,,18695000,,,,-4801000.0,,-9129000,,614000.0,,-10346000,,4106000,-15135000.0,,,-601000.0,-13490000,13769000,,,9019000,,6545000,730387000,7279000,361834000,8644000,,,353178000,,-528000.0,,,,10091000,,-29648000,,,1109000.0,,,8644000,346617000,,,,,,,,,,
2003-03-31,,,,-92737000.0,,688477000.0,,10091000,200000.0,82767000,82767000,,-10447000.0,,7234000.0,,-6906000,,65702000,,,18449000,,,,-5844000.0,,72676000,,856000.0,,-10278000,,3687000,-16493000.0,,,-3289000.0,8002000,13902000,,,9033000,,9393000,808586000,7292000,441376000,8658000,,,352210000,,-113000.0,,,,82767000,,-11475000,,,,,,8658000,429380000,,,,,,,,,,
2003-06-30,,,,-2434000.0,,746628000.0,,82767000,201000.0,21982000,21982000,,-58189000.0,,7477000.0,,-220000,,-11719000,,,15132000,,,,-5613000.0,,-60785000,,1150000.0,,-9988000,,3870000,-17639000.0,,,4377000.0,-43057000,14564000,,,9242000,,-1982000,807384000,7501000,439722000,8867000,,,352287000,,-222000.0,,,,21982000,,-64198000,,,,,,8867000,426946000,,,,,,,,,,
2003-09-30,,,,-2494000.0,,742658000.0,,21982000,224000.0,107314000,107314000,,-8662000.0,,7653000.0,,-288000,,73705000,,,13860000,,,,-5381000.0,,85332000,,929000.0,,-10387000,,4074000,-19201000.0,,,514000.0,5198000,15472000,,,10006000,,-359000,890447000,8265000,451933000,9631000,,,423139000,,-273000.0,,,,107314000,,-2233000,,,,,,9631000,439152000,,,,,,,,,,
2003-12-31,,,,-2598000.0,,870944000.0,,107314000,224000.0,30527000,30527000,,-48377000.0,,8207000.0,,-136000,,-14515000,,,3561000,,,,-5150000.0,,-76787000,,924000.0,,-11942000,,4728000,-19957000.0,,,565000.0,-44816000,17052000,,,10868000,,-12170000,965918000,9072000,521509000,10438000,,,422779000,,4531000.0,,,,30527000,,-65833000,,,,,,10438000,506555000,,,,,,,,,,
2004-03-31,,,,-68584000.0,,1093192000.0,,30527000,232000.0,31784000,31784000,,-204325000.0,,8818000.0,,-2525000,,190722000,,,29451000,,,,-6872000.0,,1257000,,1120000.0,,-12076000,,5060000,-21505000.0,,,648000.0,-174874000,18921000,,,11760000,,12413000,1164327000,9964000,694264000,11330000,,,448884000,,311000.0,,,,31784000,,-218916000,,,,,,11330000,669997000,,,,,,,,,,
2004-06-30,,,,-107498000.0,10349000.0,1087911000.0,,31784000,268000.0,23688000,23688000,,-15065000.0,,10026000.0,,-2539000,,-6123000,,,14808000,,,,-6558000.0,,-1333000,,1486000.0,,-12957000,,5956000,-24690000.0,,,1477000.0,-257000,21605000,,,12206000,,-4340000,1171818000,10350000,587253000,11716000,,,562975000,,-9855000.0,,,,36946000,,-10018000,,,,,,11716000,562499000,,,,,,,,,,
2004-09-30,,,,-3460000.0,10624000.0,1124859000.0,,36946000,277000.0,10252000,10252000,,-51313000.0,,9457000.0,,-22000,,6394000,,,14282000,,,,-2596000.0,,-14147000,,1078000.0,,-15410000,,6020000,-24724000.0,,,312000.0,-37031000,23320000,,,15416000,,-7404000,1201219000,13988000,612916000,15354000,,,582159000,,16490000.0,,,,23115000,,-34823000,,,,,,15354000,589127000,,,,,,,,,,
2004-12-31,,,,88619000.0,23630000.0,1144553000.0,,23115000,279000.0,11255000,11255000,,,,9753000.0,,-47000,,-42993000,,,25875000,,,,1617000.0,,-5151000,,1031000.0,,-15454000,,9628000,-24873000.0,,,181000.0,296578000,23733000,,,15285000,,752000,1213448000,13948000,620059000,15314000,,,587340000,,-524677000.0,,,,11255000,,11967000,,,,,,15314000,592892000,,,,,,,,,,
2005-03-31,,,,-61425000.0,10796000.0,1212327000.0,,11255000,311000.0,8026000,8026000,,-78400000.0,,9522000.0,,-23000,,51610000,,,23419000,,,,941000.0,,-3164000,,1280000.0,,-15663000,,7274000,-27323000.0,,,309000.0,-54981000,28595000,,,15813000,,23000,1277989000,13207000,611176000,15813000,,,660964000,,207000.0,,,,8026000,,-78193000,,,,,,15813000,581991000,,,,,,,,,,
2005-06-30,,,,-33556000.0,10489000.0,1236930000.0,,8026000,314000.0,7214000,7214000,,-30394000.0,,10239000.0,,-1387000,,43854000,,,22491000,,,,-872000.0,,-788000,,1899000.0,,-18446000,,7632000,-28680000.0,,,393000.0,-7903000,30723000,,,17322000,,-2856000,1340718000,14406000,675195000,17322000,,,659857000,,-36739000.0,,,,7214000,,-67133000,,,,,,17322000,644894000,,,,,,,,,,
2005-09-30,,,,-10748000.0,10733000.0,1254024000.0,,7214000,314000.0,8364000,8364000,,-17931000.0,,11005000.0,,-723000,,-5124000,,,23844000,,,,6244000.0,,954000,,1115000.0,,-18879000,,7880000,-29550000.0,,,263000.0,5913000,31004000,,,17814000,,-2112000,1364188000,14898000,692369000,17814000,,,666353000,,165000.0,,,,8364000,,-17766000,,,,,,17814000,664606000,,,,,,,,,,
2005-12-31,,,,-90980000.0,10461000.0,1303758000.0,,8364000,314000.0,6546000,6546000,,-57033000.0,,11661000.0,,-798000,,30331000,,,24777000,,,,6618000.0,,-1714000,,1251000.0,,-18100000,,8156000,-30124000.0,,,352000.0,-32256000,32795000,,,18146000,,-1843000,1414165000,15196000,742509000,18112000,,,666421000,,211000.0,,,,6546000,,-56822000,,,,,,18112000,714591000,,,,,,,,,,
2006-03-31,,,,-121912000.0,10159000.0,1340884000.0,,6546000,326000.0,5788000,5788000,,-45559000.0,,11239000.0,,-2247000,,37821000,,,25022000,,,,9113000.0,,-732000,,2481000.0,,-18686000,,8265000,-32525000.0,,,769000.0,-20537000,35157000,,,18698000,,-2710000,1465844000,15782000,751391000,18698000,,,709351000,,-18619000.0,,,61157000.0,5788000,,-63575000,,,2268000.0,,,18698000,721015000,,,,,,,,,,
2006-06-30,,,,-51014000.0,10299000.0,1356386000.0,,5788000,326000.0,7477000,7477000,,-14066000.0,,11706000.0,,-450000,,-13848000,,,29916000,,,,15917000.0,,1619000,,5295000.0,,-21098000,,8431000,-32836000.0,,,3571000.0,15850000,39666000,,,20795000,,-2535000,1488193000,17879000,763602000,20795000,,,719556000,,220000.0,,,65740000.0,7477000,,-14449000,,,2240000.0,,,20795000,733265000,,,,,,,,,,
2006-09-30,,,,-63188000.0,10007000.0,1384633000.0,,7477000,326000.0,7675000,7675000,,-36006000.0,,12234000.0,,-537000,,11981000,,,24009000,,,,15696000.0,,203000,,2253000.0,,-21105000,,8544000,-33580000.0,,,789000.0,-11997000,36297000,,,20373000,,-5131000,1520812000,17457000,796783000,20373000,,,719261000,,219000.0,,,68069000.0,7675000,,-35787000,,,2211000.0,,,20373000,766520000,,,,,,,,,,
2006-12-31,,,,-156828000.0,9366000.0,1415175000.0,,7675000,381000.0,9414000,9414000,,-39198000.0,,12259000.0,,-506000,,22626000,,,26615000,,,,8976000.0,,1900000,,,,-21118000,,8628000,-24814000.0,,,413000.0,-12583000,38047000,,,22424000,,-4657000,1571279000,19314000,714123000,22424000,,,852682000,,-8143000.0,,,76093000.0,9414000,,-47341000,,,2182000.0,,,22424000,675305000,,,,,,,,,,
2007-03-31,,,,-42095000.0,9165000.0,1426241000.0,,9414000,383000.0,6755000,6755000,,-24158000.0,,10952000.0,,-275000,,34645000,,,27502000,,,,10201000.0,,-2708000,,3232000.0,,-21314000,,8959000,-27013000.0,,,583000.0,3344000,39656000,,,22910000,,-4950000,1624326000,18054000,768287000,22910000,,,851698000,,-40697000.0,,,,6755000,,-64855000,,,2156000.0,,,22910000,734456000,,,,,,,,,,
2007-06-30,,,,-187316000.0,17003000.0,1608121000.0,,6755000,407000.0,8937000,8937000,,-19291000.0,,14632000.0,,-832000,,143975000,,,30186000,,,,22933000.0,,1952000,,2828000.0,,-26004000,,9805000,-26340000.0,,,-2116000.0,10895000,42655000,,,24276000,,-5778000,1964107000,20940000,1022620000,24276000,,,921903000,,-121974000.0,,,,8937000,,-172209000,,,2131000.0,,,28275000,980084000,,,,,,,,,,
2007-09-30,,,,-65656000.0,17058000.0,1670812000.0,,8937000,407000.0,10758000,10758000,,-58056000.0,,16085000.0,,-1185000,,48047000,,,35772000,,,,29119000.0,,1438000,,3023000.0,,-24606000,,10630000,-25880000.0,,,-136000.0,-22284000,45124000,-347000.0,,25362000,,-1072000,2062355000,20739000,1114126000,26350000,,,929645000,,-23978000.0,,,,10758000,,-82381000,,,2312000.0,,,26350000,1060607000,,,,,,,,,,
2007-12-31,,,,-178922000.0,16528000.0,1673313000.0,,10758000,421000.0,15170000,15170000,,-11281000.0,,19213000.0,,-1132000,,67672000,,,38130000,,,,32469000.0,,4599000,,3887000.0,,-25891000,,10933000,-25706000.0,,,-44000.0,26849000,49578000,-39711000.0,,26681000,,241000,2171633000,21518000,1145599000,27129000,,,1007893000,,-50211000.0,,,32000.0,15170000,,-101203000,,,42331000.0,,,27129000,1081264000,,,,,,,,,,
2008-03-31,,,,-22102000.0,15677000.0,1662196000.0,,15170000,422000.0,10571000,10571000,,-8458000.0,,17468000.0,,-833000,,430000,,,26064000,,,,26065000.0,,-4413000,,4413000.0,,-26955000,,11472000,-27892000.0,,,669000.0,17606000,49673000,,,26591000,,-13199000,2181411000,21511000,1162380000,27122000,,,1001421000,,-22449000.0,,,,10571000,,-30907000,,,42165000.0,,,27122000,1106336000,,,,,,,,,,
2008-06-30,,,,-10933000.0,15178000.0,1795132000.0,,10571000,482000.0,12201000,12201000,,,,16960000.0,,-138000,,239451000,,,37439000,,,,27605000.0,,1619000,,3938000.0,,-29307000,,11164000,-29768000.0,,,463000.0,45897000,52040000,,,30830000,,-5598000,2461776000,23859000,1247447000,31308000,,,1197198000,,-133126000.0,,,,12201000,,-275271000,,,164469000.0,,,31411000,1181157000,,,,,,,,,,
2008-09-30,,,,-299289000.0,14308000.0,1793744000.0,,12201000,504000.0,11125000,11125000,,,,17689000.0,,-417000,,119788000,,,46874000,,,,25847000.0,,-800000,,3718000.0,,-33588000,,9548000,-28876000.0,,,2926000.0,-121831000,57500000,,,35570000,,-1658000,2613482000,28506000,1286884000,36058000,,,1309936000,,-149360000.0,,,,11125000,,-167462000,,,2412000.0,,,36058000,1217569000,,,,,,,,,,
2008-12-31,,,,-13832000.0,12400000.0,1766452000.0,,11125000,504000.0,50082000,50082000,,-9194000.0,,20541000.0,,-1548000,-214078000.0,21527000,,,35879000,1980530000.0,,,-6169000.0,,38506000,,4844000.0,,-35080000,,11645000,-28417000.0,,,-1796000.0,26685000,55982000,,,32544000,,-12177000,2633925000,27834000,1341274000,35385000,,,1277434000,,180892000.0,,35665000.0,,50082000,,-18312000,,,168582000.0,,,35386000,1262368000,,,,,,,,,,
2009-03-31,,,,-62123000.0,10746000.0,1754748000.0,,50082000,525000.0,13504000,13504000,44354000.0,-6464000.0,,17437000.0,,-318000,-223503000.0,-50522000,,,35321000,1978251000.0,,,-2202000.0,-1202000.0,-36578000,,4125000.0,,-35239000,,12629000,-33593000.0,,1077000.0,243000.0,28857000,49267000,,,24095000,,-3260000,2602098000,17777000,1265402000,24095000,,,1322814000,,-14714000.0,,27684000.0,,13504000,,-21178000,,,169485000.0,,,25329000,1201117000,,,,,,,,,,
2009-06-30,,,,-22160000.0,10188000.0,1767847000.0,,13504000,390000.0,16202000,16202000,54000.0,-8323000.0,,17482000.0,,-4608000,-235472000.0,-17854000,,,41696000,1767847000.0,,,9951000.0,0.0,2698000,,4278000.0,,-30140000,,11834000,,,1078000.0,250000.0,33373000,49235000,,,25770000,,1954000,2641577000,20152000,1283464000,25995000,,,1345979000,,-13181000.0,,27122000.0,,16202000,,-21504000,,,170402000.0,,,25995000,1225356000,,,,,,,,,,
2009-09-30,,,0.0,-74296000.0,6908000.0,1746711000.0,,16202000,541000.0,11196000,11196000,49904000.0,-6090000.0,,19355000.0,-989000.0,-220000,-247425000.0,-29866000,,,35849000,1746711000.0,,,16985000.0,0.0,-5006000,,3557000.0,,-30254000,,11920000,,,1083000.0,250000.0,29759000,48767000,,,-75591000,,-4475000,2553537000,-66843000,1256324000,-75362000,,,1301206000,,-5269000.0,,28608000.0,31714000.0,11196000,,-11359000,,,171319000.0,,,-59291000,1184139000,,,,,,,,,,
2009-12-31,,,-1664000.0,-108595000.0,6727000.0,1867358000.0,,11196000,605000.0,23138000,23138000,190653000.0,-133907000.0,,18516000.0,-1394000.0,129000,-258638000.0,113900000,,,35951000,2125996000.0,,,18961000.0,1000.0,11942000,,6537000.0,,-31483000,,11337000,-147927000.0,,1069000.0,360000.0,-97956000,50826000,,,13026000,,-2506000,2680732000,6713000,1212775000,13365000,,,1472862000,,-2390000.0,,28411000.0,33289000.0,23138000,,-137961000,,,173930000.0,,,14264000,1141423000,,,,,,,,,,
2010-03-31,,,,-29753000.0,38451000.0,2058429000.0,,23138000,607000.0,21029000,21029000,41000.0,-112785000.0,,19327000.0,-2246000.0,-3019000,-272993000.0,121377000,,,33492000,2331422000.0,,,24027000.0,-2182000.0,-2109000,,12613000.0,,-35404000,,12403000,-153278000.0,,1163000.0,269000.0,-79293000,56241000,-44232000.0,,28858000,,-2690000,2862505000,22523000,1397512000,29091000,,,1470871000,,-591000.0,,48375000.0,37391000.0,21029000,,-157608000,,,219552000.0,,,30075000,1308623000,,,,,,,,,,
2010-06-30,,,,-598853000.0,35534000.0,2210278000.0,,21029000,643000.0,20144000,20144000,141014000.0,-126745000.0,,18726000.0,-1142000.0,-10769000,-273286000.0,112219000,,,41151000,2210278000.0,,,21188000.0,0.0,-885000,,4744000.0,,-35399000,,12305000,-175463000.0,,1171000.0,6544000.0,-85594000,58835000,0.0,,16684000,,9000,2910654000,8036000,1292737000,17107000,,,1589903000,,-19973000.0,,37190000.0,37195000.0,20144000,,-146718000,,,235842000.0,,,15588000,1208567000,,,,,,,,,,
2010-09-30,,,-466000.0,-38801000.0,35642000.0,2212552000.0,,20144000,644000.0,14860000,14860000,40000.0,-4301000.0,,19274000.0,-2296000.0,-854000,-286392000.0,-49007000,,,52497000,2498944000.0,,,29988000.0,0.0,-5284000,,4087000.0,,-37746000,,13457000,-178255000.0,,1188000.0,796000.0,48196000,100258000,-7601000.0,,72701000,,1714000,2922251000,27457000,1297801000,34859000,,,1596403000,,0.0,,44673000.0,36364000.0,14860000,,-11213000,,,244521000.0,,,35009000,1202180000,,,,,,,,,,
2010-12-31,,,-1044000.0,-44473000.0,34951000.0,2217047000.0,,14860000,644000.0,11776000,11776000,39000.0,-3286000.0,,19335000.0,-2918000.0,-31000,-297068000.0,-51792000,,,53251000,2514115000.0,,,38842000.0,0.0,-3084000,,-3216000.0,,-37775000,,13934000,-181856000.0,,1188000.0,831000.0,49965000,62338000,0.0,,23013000,6691000.0,2865000,2923420000,26651000,1292162000,34174000,,,1603239000,693000.0,0.0,,56488000.0,39814000.0,11776000,,-4779000,,,248443000.0,,,34202000,1191179000,,,,,,,,,,
2011-03-31,,20881000.0,,-310305000.0,5625000.0,2060189000.0,,11776000,646000.0,15164000,15164000,66000.0,-38628000.0,,18845000.0,-1440000.0,-619000,-305751000.0,-189205000,,,35004000,2365940000.0,,,25940000.0,-3070000.0,3388000,,6741000.0,,-37778000,,12062000,-180326000.0,51788000.0,1367000.0,2411000.0,-3624000,54777000,-4859000.0,,20881000,5995000.0,-8105000,2758057000,34179000,1138428000,21655000,,,1591608000,,-1524000.0,,41612000.0,38204000.0,15164000,,157439000,,,253371000.0,,,41731000,1050621000,,,,,,,,,,
